Mass bin  mean bias  bias stdev
,0,1,2
0,1.31e+12,2.3361,0.67128
1,1.342e+12,2.3377,0.76231
2,1.374e+12,2.3026,0.70561
3,1.406e+12,2.3649,0.68213
4,1.438e+12,2.3354,0.71899
5,1.475e+12,2.3755,0.64918
6,1.512e+12,2.3921,0.68719
7,1.549e+12,2.4629,0.69319
8,1.587e+12,2.3982,0.65279
9,1.624e+12,2.4167,0.70606
10,1.666e+12,2.4754,0.74697
11,1.709e+12,2.4814,0.65652
12,1.752e+12,2.4856,0.66286
13,1.794e+12,2.4923,0.65457
14,1.837e+12,2.5121,0.70049
15,1.879e+12,2.5167,0.7049
16,1.927e+12,2.5113,0.67528
17,1.975e+12,2.5178,0.70027
18,2.023e+12,2.5602,0.68849
19,2.071e+12,2.6891,0.68507
20,2.119e+12,2.6588,0.6562
21,2.172e+12,2.6757,0.70799
22,2.226e+12,2.625,0.69548
23,2.284e+12,2.7477,0.63975
24,2.343e+12,2.675,0.75683
25,2.396e+12,2.7652,0.66967
26,2.454e+12,2.748,0.70022
27,2.518e+12,2.8295,0.70564
28,2.582e+12,2.8671,0.63501
29,2.646e+12,2.8521,0.73691
30,2.71e+12,2.8745,0.71845
31,2.774e+12,2.8795,0.72862
32,2.843e+12,2.9322,0.72594
33,2.912e+12,2.9315,0.66843
34,2.981e+12,3.0395,0.65204
35,3.056e+12,3.0457,0.67793
36,3.13e+12,3.0288,0.74235
37,3.205e+12,3.0902,0.71233
38,3.285e+12,3.0967,0.75325
39,3.37e+12,3.08,0.8157
40,3.455e+12,3.0589,0.69116
41,3.54e+12,3.1367,0.77361
42,3.626e+12,3.1914,0.8153
43,3.711e+12,3.2813,0.81046
44,3.801e+12,3.1638,0.76461
45,3.897e+12,3.2721,0.70976
46,3.993e+12,3.2971,0.72499
47,4.089e+12,3.2926,0.87681
48,4.19e+12,3.2607,0.8919
49,4.296e+12,3.3127,0.80028
50,4.403e+12,3.3891,0.76431
51,4.509e+12,3.4456,0.82804
52,4.621e+12,3.4396,0.80295
53,4.733e+12,3.5016,0.8611
54,4.845e+12,3.4771,0.96331
55,4.967e+12,3.5401,0.84638
56,5.09e+12,3.5216,0.86527
57,5.212e+12,3.6424,0.93746
58,5.34e+12,3.5522,0.91473
59,5.473e+12,3.5777,0.95381
60,5.611e+12,3.6055,0.96496
61,5.75e+12,3.7262,0.94446
62,5.888e+12,3.723,1.008
63,6.032e+12,3.6387,0.93442
64,6.181e+12,3.7108,0.92012
65,6.335e+12,3.6945,0.97709
66,6.49e+12,3.6563,1.0849
67,6.649e+12,3.7088,1.0761
68,6.815e+12,3.9046,1.0604
69,6.98e+12,3.9314,1.0635
70,7.15e+12,3.8178,1.1105
71,7.326e+12,4.0241,1.0946
72,7.507e+12,3.8417,1.1355
73,7.693e+12,4.1451,1.2512
74,7.884e+12,4.0649,1.138
75,8.076e+12,3.8482,1.2275
76,8.274e+12,4.1041,1.287
77,8.481e+12,4.0754,1.0721
78,8.689e+12,4.0567,1.2385
79,8.902e+12,4.1996,1.2132
80,9.12e+12,4.2316,1.2261
81,9.343e+12,4.1267,1.2923
82,9.578e+12,4.4122,1.2627
83,9.812e+12,4.314,1.188
84,1.005e+13,4.5894,1.2434
85,1.03e+13,4.4307,1.506
86,1.055e+13,4.605,1.3304
87,1.081e+13,4.5333,1.4303
88,1.107e+13,4.5085,1.4601
89,1.135e+13,4.7484,1.4978
90,1.163e+13,4.4549,1.5242
91,1.191e+13,4.703,1.3567
92,1.221e+13,4.7767,1.6656
93,1.251e+13,4.8739,1.6427
94,1.282e+13,4.7246,1.6899
95,1.313e+13,5.0085,1.5487
96,1.345e+13,4.6844,1.7734
97,1.378e+13,4.9881,1.7265
98,1.412e+13,4.8699,1.7462
99,1.447e+13,5.0217,1.6154
100,1.483e+13,4.7513,1.828
101,1.519e+13,5.1357,1.7018
102,1.557e+13,5.3292,1.8352
103,1.595e+13,5.214,1.8143
104,1.6539e+13,5.3867,1.4976
105,1.7359e+13,4.7887,1.5955
106,1.8224e+13,5.4671,1.51
107,1.9139e+13,5.6652,1.5093
108,2.0094e+13,5.9764,1.5417
109,2.1093e+13,5.8194,1.7421
110,2.2138e+13,5.9683,1.7553
111,2.3523e+13,5.8392,1.6158
112,2.5308e+13,6.1445,1.6162
113,2.7557e+13,6.2309,1.7609
114,3.0739e+13,6.5366,1.5975
115,3.513e+13,6.9504,1.6808
116,4.2665e+13,7.9558,1.4601
117,8.742e+13,9.9699,2.307
