,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1,0.75383,0.54185,0.72783,0.7206,0.42912,0.60039,0.63746,0.57728,0.29534,0.43442,0.27064,0.23714,0.5707,0.13735,0.063718,0.047974,0.21135,-0.10363,-0.11741,-0.25935,0.066722,-0.27401,-0.25797,-0.10876,-0.44583,-0.20519,-0.24977,-0.28927,-0.11118,-0.07948,-0.030647,-0.087046,-0.11676,-0.38673,-0.32134,-0.1429,0.040173,-0.41147,-0.27771,-0.13951,-0.13568,-0.017932,0.036733,-0.10782,0.31009,0.059646,-0.034706,0.24031,-0.046485,-0.0049674,-0.023399,-0.19442,-0.053969,0.14989,0.25988,0.09007,0.055172,0.10754,0.094825,0.13799,0.12745,0.22224,0.14702
1,0.75383,1,0.71271,0.72204,0.60782,0.58126,0.55596,0.68842,0.59829,0.32819,0.34346,0.54035,0.079779,0.29227,0.17353,0.038067,0.30077,0.34469,-0.17972,0.10544,-0.18227,0.097953,0.062694,-0.14344,-0.18392,-0.38158,-0.16351,-0.21554,-0.3924,-0.021957,-0.19414,0.019108,-0.11595,-0.17006,-0.3899,-0.42357,-0.15022,-0.015647,-0.16611,-0.18874,0.029317,-0.017162,-0.031084,0.042523,-0.11548,0.19575,-0.082059,-0.057733,0.1014,-0.026697,-0.098359,-0.064393,-0.11096,-0.11497,-0.029655,0.32214,0.16192,0.046185,0.014084,0.10987,0.012956,0.12264,0.24966,-0.015567
2,0.54185,0.71271,1,0.61738,0.61079,0.40576,0.62824,0.60448,0.53581,0.32238,0.37892,0.47404,0.074615,0.31795,0.1956,0.047193,0.11057,0.33669,-0.048101,0.083281,-0.1489,0.076244,-0.08444,0.065798,-0.16407,-0.41114,-0.10187,-0.098631,-0.47558,-0.15673,-0.20895,-0.13965,-0.059177,-0.29897,-0.28629,-0.27732,-0.020193,0.033784,-0.27256,-0.22149,-0.045782,-0.18033,0.16939,0.1009,-0.2647,0.17172,-0.06479,-0.066157,0.10117,-0.081336,-0.19655,0.084947,0.045149,-0.21982,0.066489,0.23987,0.15392,0.0028035,-0.22768,0.23228,0.17706,0.027143,0.21347,-0.056203
3,0.72783,0.72204,0.61738,1,0.67534,0.46016,0.57107,0.52656,0.44628,0.3135,0.38589,0.30233,0.22696,0.32287,0.33866,0.045835,0.04784,0.23841,-0.17468,-0.028088,-0.34976,-0.10004,-0.18069,-0.12965,-0.18811,-0.39543,-0.16145,-0.36974,-0.42017,0.04615,-0.24739,-0.049991,-0.027756,-0.25802,-0.49578,-0.48567,-0.098196,0.043717,-0.35258,-0.11259,-0.036185,-0.15396,-0.13945,0.097523,-0.2034,0.073299,0.057274,-0.094498,0.062828,-0.043069,-0.0064774,-0.18424,-0.070815,-0.21288,0.048383,0.32852,0.079726,-0.051641,0.11351,0.095907,0.079387,0.13483,-0.019921,0.087808
4,0.7206,0.60782,0.61079,0.67534,1,0.42271,0.66441,0.49481,0.32557,0.29101,0.42514,0.2876,0.13225,0.33046,0.17137,0.10879,0.019043,0.06818,0.0259,-0.18689,-0.32688,-0.028279,-0.14267,-0.1706,-0.15515,-0.41332,-0.37322,-0.27879,-0.30054,-0.053782,-0.27302,0.059995,-0.11002,-0.2136,-0.2867,-0.10204,0.0046644,-0.097736,-0.38706,-0.14249,-0.15272,-0.11259,0.039321,0.22823,-0.2553,0.1005,-0.046683,-0.20484,0.12225,-0.17578,-0.11234,0.028411,0.037695,-0.21459,-0.007928,0.17543,0.11704,0.12222,-0.10336,-0.058237,0.13109,0.13074,0.012245,0.057545
5,0.42912,0.58126,0.40576,0.46016,0.42271,1,0.42641,0.42691,0.27058,0.19734,0.24654,0.17173,0.037904,0.35396,0.21379,0.020623,0.084319,0.015561,-0.01229,-0.095516,-0.19643,0.0097011,0.065664,-0.21975,0.0099134,-0.30225,-0.17851,0.11573,-0.39794,0.24253,-0.28044,-0.00017278,0.031275,-0.18442,-0.36503,-0.12762,-0.18712,0.079305,-0.051969,-0.13099,-0.13175,0.1571,-0.21223,-0.048707,-0.13971,0.1449,0.029953,-0.024824,-0.084734,-0.14092,-0.19134,0.044483,-0.080765,-0.1661,-0.10134,0.31384,-0.18999,-0.24492,-0.075547,0.07986,0.10189,0.15812,0.024417,-0.044564
6,0.60039,0.55596,0.62824,0.57107,0.66441,0.42641,1,0.4186,0.50771,0.23662,0.51346,0.27399,0.13435,0.40706,0.16106,0.11867,-0.015195,0.098869,0.061891,-0.12304,-0.21035,-0.08694,-0.0052238,-0.09255,-0.16658,-0.36712,-0.22368,-0.13158,-0.34738,0.12373,-0.1226,-4.8318e-05,-0.11803,-0.22085,-0.23026,-0.31291,-0.073361,-0.10047,-0.2684,-0.17018,-0.11903,-0.11758,-0.062142,0.11053,-0.10289,0.20325,0.12174,-0.018636,0.1198,-0.24021,-0.24552,0.079485,-0.03721,-0.053981,-0.041395,0.14202,0.17347,0.0018767,-0.081971,0.038736,0.19169,0.22278,0.051139,-0.1128
7,0.63746,0.68842,0.60448,0.52656,0.49481,0.42691,0.4186,1,0.52173,0.24691,0.29383,0.18939,0.14745,0.36053,0.19918,-0.062646,0.083749,0.46806,0.014303,-0.034474,-0.10731,0.084631,-0.020015,0.043991,-0.15342,-0.28038,-0.10866,-0.061694,-0.22019,-0.20584,-0.25297,-0.11769,-0.087023,-0.095224,-0.18169,-0.15711,-0.23337,0.097224,0.029308,-0.18981,0.15695,-0.025289,0.023646,0.030351,-0.022849,0.26636,-0.057082,0.015525,-4.4374e-05,0.036294,-0.014926,-0.054634,-0.15273,-0.089738,0.072765,0.36917,0.13138,-0.012657,0.16312,0.032395,0.09257,-0.090232,0.14672,0.16006
8,0.57728,0.59829,0.53581,0.44628,0.32557,0.27058,0.50771,0.52173,1,0.15381,0.0039274,0.39695,0.109,0.35693,0.064443,0.22675,0.2494,0.3998,0.024212,0.051642,-0.31275,0.01529,-0.10867,-0.22257,-0.17602,-0.41202,0.055386,-0.18356,-0.291,-0.22447,-0.052203,-0.14995,-0.080449,-0.20558,-0.16423,-0.27706,-0.11355,0.19018,-0.225,-0.12348,0.019988,-0.03271,0.039738,0.13428,-0.086208,0.24623,0.0040576,0.31509,0.13758,0.020571,0.069863,-0.16432,0.016988,0.018113,-0.016088,0.065286,0.082057,-0.26346,-0.077557,0.10276,0.11307,0.08446,0.3041,-0.13007
9,0.29534,0.32819,0.32238,0.3135,0.29101,0.19734,0.23662,0.24691,0.15381,1,0.35458,0.17127,0.12408,0.16754,0.23141,-0.018384,-0.02357,0.082981,0.03628,0.10925,0.031026,-0.30048,0.156,0.065219,-0.16234,-0.20653,0.017879,-0.063577,-0.18431,-0.049597,-0.1494,-0.34586,-0.19519,-0.099701,-0.09795,-0.42728,0.013228,0.036053,-0.092495,0.021621,-0.014779,-0.032456,-0.13079,-0.0013299,-0.0067445,0.13372,-0.0409,-0.028515,0.112,0.10354,-0.39658,-0.045837,0.15429,-0.22948,0.018177,0.2647,0.076738,0.04191,0.21353,-0.17337,-0.017777,0.25158,0.097168,0.17414
