,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1,0.29016,0.020232,0.15696,0.024416,0.27443,0.082697,0.169,0.13841,-0.068714,0.014007,0.18349,0.065728,-0.025483,0.26691,0.041161,0.11059,0.11829,0.040249,-0.0084877,-0.010693,-0.1918,0.046872,0.021549,0.16666,0.32846,-0.044636,0.37047,0.1703,0.084589,0.11264,0.0014624,-0.17414,-0.0045347,0.19379,-0.01047,-0.034185,-0.13915,0.03891,-0.030646,0.034452,0.028586,-0.05121,0.21105,0.024765,-0.13848,0.17701,0.16504,-0.11398,-0.11276,-0.017026,0.1388,0.19962,-0.17948,-0.25154,0.11211,0.026507,-0.33457
1,0.29016,1,0.23691,0.26991,0.093981,0.16188,0.23138,0.28567,0.0036983,0.2241,0.1972,0.21555,0.065451,0.088239,0.046362,0.047186,0.23643,0.087348,0.29291,-0.032076,-0.29613,0.018454,0.27769,0.17276,0.33864,0.16684,0.23639,0.16527,0.38901,0.19942,0.086101,-0.24666,-0.09492,-0.097786,0.14542,0.02463,-0.27097,0.22045,-0.0040584,0.014194,-0.10098,0.050736,-0.06816,-0.075811,0.024292,-0.031058,0.13013,-0.0904,-0.32732,-0.010032,-0.024052,-0.09913,0.075384,-0.032585,0.065519,0.27484,-0.07504,-0.18917
2,0.020232,0.23691,1,0.44989,0.18098,0.52755,0.11055,0.46249,0.26968,0.45207,0.17462,0.20373,0.2103,0.39621,0.32936,0.28461,0.32102,0.38193,-0.069995,0.36352,0.12599,0.1938,0.3503,0.2004,0.19953,0.21589,0.19943,0.18275,0.29567,0.025065,0.2866,0.1202,0.18775,0.062922,0.17787,-0.23502,0.25419,0.11544,0.18141,0.21454,-0.05271,0.056292,0.028693,-0.035754,-0.10286,0.051669,0.13822,-0.048437,0.055295,0.29651,0.042903,0.16471,-0.28615,0.046283,-0.046379,0.22104,0.22312,-0.096243
3,0.15696,0.26991,0.44989,1,0.14953,0.35987,0.28319,0.18198,0.22737,0.1483,0.26107,0.14903,-0.065737,0.24687,0.21121,0.24152,0.4108,0.34368,0.21507,0.15382,0.16334,0.09727,0.18215,0.16678,0.28667,0.13421,0.088125,0.15963,0.23563,0.32775,0.15104,0.10485,0.071913,0.24599,0.34933,-0.14363,-0.038707,0.026971,-0.26182,-0.064198,0.3213,0.12803,-0.1432,0.030733,0.13633,0.068386,-0.024652,-0.055492,0.038134,0.21173,-0.079834,0.16354,-0.18764,0.24986,-0.15286,0.27385,-0.053075,-0.10084
4,0.024416,0.093981,0.18098,0.14953,1,-0.0044339,0.12024,0.18972,0.30391,0.25138,0.16419,0.10873,0.22607,0.19853,0.1613,0.23262,0.21668,-0.0080244,0.060926,0.089849,0.24938,0.31826,0.12521,0.26562,0.062922,-0.015396,0.39071,0.36227,0.34017,0.34974,0.32128,0.39494,0.12287,0.25063,0.073483,-0.040996,-0.032752,-0.12685,-0.075177,0.094241,-0.022601,-0.10928,-0.063146,-0.29857,-0.10738,0.081619,-0.16883,0.048035,-0.053226,0.14504,0.16678,-0.02032,-0.095171,-0.21878,-0.060792,0.039858,-0.24545,0.036925
5,0.27443,0.16188,0.52755,0.35987,-0.0044339,1,0.12068,0.36288,0.26717,0.28852,0.47338,0.13682,0.094712,0.083705,0.2245,0.45191,0.19569,0.25486,0.052049,0.040223,0.02771,0.021055,-0.049398,0.077975,0.062501,0.35995,0.099437,0.17347,0.21016,0.076686,-0.01087,0.12861,-0.09218,0.13415,0.13428,-0.2732,0.35088,-0.081009,0.11537,-0.074897,0.064851,-0.05575,0.075514,-0.036279,0.0044733,0.045584,0.17551,0.15082,-0.17972,-0.020256,-0.23327,0.11142,-0.036782,-0.25464,-0.3137,0.23582,-0.048911,-0.064171
6,0.082697,0.23138,0.11055,0.28319,0.12024,0.12068,1,0.036968,0.18024,0.34071,0.022353,0.22695,0.23417,-0.010011,-0.076424,0.49341,0.20664,0.3682,0.17775,-0.075547,0.047177,-0.023605,-0.02802,0.13792,0.21224,0.29258,0.18523,0.043268,0.1504,0.30589,0.33792,-0.14768,0.29196,0.081788,0.055237,0.094296,-0.059527,0.22645,-0.20817,-0.18741,0.31524,-0.15049,0.064309,0.030625,0.063534,0.28111,0.10223,0.12677,-0.034762,0.22907,0.0074033,-0.21063,-0.064401,-0.030737,-0.20298,-0.075155,0.067544,0.1785
7,0.169,0.28567,0.46249,0.18198,0.18972,0.36288,0.036968,1,0.18091,0.2133,0.3175,0.17583,-0.042546,0.33408,0.046092,0.20648,0.1276,0.31738,0.17485,0.3513,0.0032599,0.10781,0.18165,0.28118,0.1196,0.37263,0.39277,0.12439,0.26885,-0.023319,0.084822,0.059927,-0.078358,0.10533,0.058412,-0.041533,0.34222,0.095332,0.096106,0.33502,-0.081804,-0.23167,-0.025082,-0.10637,-0.027527,0.070196,0.25739,0.055408,-0.16212,-0.027555,-0.039194,0.073023,-0.030736,-0.10622,-0.11022,0.17539,-0.11364,-0.17003
8,0.13841,0.0036983,0.26968,0.22737,0.30391,0.26717,0.18024,0.18091,1,0.18125,0.29205,0.31953,0.27714,0.21207,0.25805,0.26117,0.23021,0.13113,0.19576,0.13066,0.28542,0.28635,0.09686,0.22558,0.11448,-0.062182,0.36925,0.33738,0.076133,0.29771,0.31844,0.12159,0.098131,0.15281,0.072775,-0.23617,0.067775,0.07983,-0.072778,0.062566,-0.084945,-0.11829,0.18355,-0.095405,-0.02612,0.024017,0.23171,0.17252,0.17829,0.13585,0.00043601,0.023167,-0.068472,0.063252,-0.48125,0.11585,0.18458,-0.12259
9,-0.068714,0.2241,0.45207,0.1483,0.25138,0.28852,0.34071,0.2133,0.18125,1,0.22128,0.4551,0.20693,0.37288,0.21199,0.26046,0.20985,0.24869,-0.032161,0.049884,0.079401,0.19612,0.03395,0.057212,0.031058,0.14367,0.23534,0.1969,0.21917,0.22489,0.1446,-0.22533,0.20569,0.1996,-0.050356,-0.031264,0.20693,-0.0025945,0.055174,0.087106,-0.05316,-0.12337,0.19813,-0.19199,-0.18375,0.36302,-0.016899,-0.14992,-0.14177,0.16386,0.17403,-0.23954,-0.13635,0.027123,-0.13662,-0.18132,0.090634,0.19423
10,0.014007,0.1972,0.17462,0.26107,0.16419,0.47338,0.022353,0.3175,0.29205,0.22128,1,0.10294,0.081208,0.15658,0.12283,0.27383,0.057289,0.15556,0.38946,0.16023,0.19133,0.25496,-0.058575,0.078939,0.18313,0.057906,0.22014,-0.040215,-0.048679,0.18138,-0.022019,0.044791,-0.1502,0.055104,0.22262,-0.26486,0.043675,-0.03966,-0.11839,0.12049,0.01232,-0.14178,0.016908,-0.28371,-0.14831,0.049994,0.067238,-0.052447,-0.24237,0.078856,-0.11837,-0.067651,-0.22347,-0.080096,-0.38916,-0.0042244,-0.20723,-0.19455
11,0.18349,0.21555,0.20373,0.14903,0.10873,0.13682,0.22695,0.17583,0.31953,0.4551,0.10294,1,0.27442,0.13517,0.38728,0.26732,0.35682,0.24486,0.056074,0.19106,0.086814,-0.10738,0.28672,0.19768,0.11812,0.27137,0.15661,0.49659,0.27475,0.33824,0.20083,0.027963,0.035264,0.019436,-0.20884,-0.048132,0.066487,-0.15557,0.05659,0.10047,0.17596,-0.22021,-0.031412,0.0033189,-0.16675,0.32043,-0.2217,0.018857,-0.021296,0.25754,0.020815,-0.16566,-0.13986,0.13666,-0.18354,-0.12052,0.10912,-0.13159
12,0.065728,0.065451,0.2103,-0.065737,0.22607,0.094712,0.23417,-0.042546,0.27714,0.20693,0.081208,0.27442,1,0.060269,0.22681,0.21349,0.23893,0.083396,0.0047912,0.081389,0.11483,0.039098,0.085764,0.1484,-0.077629,-0.04549,0.084913,0.32235,-0.03045,0.1344,0.3601,0.29154,0.28624,-0.057415,0.18161,-0.26978,-0.18879,0.058856,0.017154,0.21537,-0.067178,-0.034813,-0.23945,-0.20267,-0.13359,0.04221,0.12961,-0.028919,0.2916,-0.0036104,-0.070157,-0.13602,-0.12627,0.033357,-0.11034,0.0036718,0.042548,-0.11936
13,-0.025483,0.088239,0.39621,0.24687,0.19853,0.083705,-0.010011,0.33408,0.21207,0.37288,0.15658,0.13517,0.060269,1,0.12226,-0.095098,0.22747,0.42775,0.16983,0.33461,0.2026,0.41733,0.055851,-0.029016,0.23433,0.14022,0.1924,0.23518,-0.030247,0.0086244,-0.060855,-0.10646,-0.072111,0.36786,0.056325,-0.13603,0.11211,0.088943,0.086402,0.15772,-0.083315,-0.04031,0.091353,-0.11542,0.31397,0.018334,-0.074258,-0.1069,0.17317,0.08603,0.026661,-0.0073578,-0.32449,-0.0013898,0.047665,-0.095205,0.14318,-0.1188
14,0.26691,0.046362,0.32936,0.21121,0.1613,0.2245,-0.076424,0.046092,0.25805,0.21199,0.12283,0.38728,0.22681,0.12226,1,0.089369,0.36067,0.20347,-0.1464,0.010775,0.14187,0.088944,0.23205,0.14257,0.11328,0.14455,0.16382,0.11989,0.3519,0.079733,0.32043,0.080317,0.01626,0.1416,0.072699,0.019691,0.19102,-0.053882,-0.023148,0.066337,-0.0047612,-0.07169,-0.13342,0.1087,-0.25284,-0.11753,-0.11694,0.024089,0.17276,0.24372,0.13825,-0.0088652,-0.29993,-0.034745,-0.40283,0.26684,0.068676,-0.12788
15,0.041161,0.047186,0.28461,0.24152,0.23262,0.45191,0.49341,0.20648,0.26117,0.26046,0.27383,0.26732,0.21349,-0.095098,0.089369,1,0.15751,0.17162,0.26453,0.077231,0.2451,0.00123,0.056889,0.21455,0.025254,0.27807,0.19005,0.1405,0.25575,0.21572,0.47174,0.10872,0.13694,0.036425,-0.14453,-0.16267,0.19184,0.12216,0.029599,-0.19811,0.15265,-0.27339,0.07614,-0.023142,-0.28614,0.058524,-0.015827,0.097174,-0.14695,0.34595,0.010167,-0.015668,-0.022807,-0.14884,-0.329,0.018933,-0.089569,-0.15179
16,0.11059,0.23643,0.32102,0.4108,0.21668,0.19569,0.20664,0.1276,0.23021,0.20985,0.057289,0.35682,0.23893,0.22747,0.36067,0.15751,1,0.015384,0.042642,0.17009,0.098741,0.20236,0.2731,0.16784,0.17831,0.25632,0.064038,0.076271,0.18059,0.19488,0.21126,0.13288,0.15201,0.2124,-0.062396,-0.14264,-0.18031,-0.098858,-0.068244,0.074797,0.11931,0.1462,0.045141,-0.085254,0.068117,0.22562,0.039286,-0.077363,0.062393,0.33107,0.00052818,0.08424,-0.21826,-0.14061,-0.14486,0.26089,0.20603,0.10323
17,0.11829,0.087348,0.38193,0.34368,-0.0080244,0.25486,0.3682,0.31738,0.13113,0.24869,0.15556,0.24486,0.083396,0.42775,0.20347,0.17162,0.015384,1,0.07219,0.080005,0.36587,0.10564,0.091955,0.30191,0.34603,0.3314,0.38703,0.1578,0.19555,-0.043677,0.21772,-0.25537,-0.068593,0.1076,0.14989,0.024063,0.32559,0.12934,0.10227,0.00060038,0.11119,-0.079438,-0.043438,0.058227,0.13917,0.051304,-0.03419,0.22467,0.2149,0.1782,0.063727,-0.084239,-0.28056,0.12134,-0.071875,-0.23783,-0.035898,-0.15155
18,0.040249,0.29291,-0.069995,0.21507,0.060926,0.052049,0.17775,0.17485,0.19576,-0.032161,0.38946,0.056074,0.0047912,0.16983,-0.1464,0.26453,0.042642,0.07219,1,0.038161,0.001706,0.23217,-0.21458,0.022899,0.1317,0.077792,0.17305,0.014318,0.099969,0.11018,0.0071232,-0.080447,-0.14888,0.035382,0.10243,-0.16386,-0.01975,0.28943,-0.32357,0.13789,-0.00061907,-0.12239,0.29453,0.04857,0.11322,-0.13454,-0.13869,0.0036016,-0.17957,-0.04366,-0.17424,-0.15084,-0.0035233,-0.13177,-0.28206,-0.16807,-0.053117,-0.16187
