,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0,1,0.89505,0.86926,0.89342,0.8588,0.84987,0.8762,0.88017,0.84741,0.85153,0.88393,0.88821,0.84594,0.83456,0.84098,0.88858,0.87097,0.88657,0.85471,0.86226,0.82865,0.79963,0.83935,0.86856,0.82803,0.80885,0.80626,0.87302,0.82198,0.91058,0.7895,0.75135,0.76882,0.82885,0.74584,0.63257,0.83962,0.67425,0.67265,0.75493,0.70009,0.71205,0.56021,0.67157,0.70392,0.70548,0.59478,0.66072,0.65616,0.49552,0.61645,0.60012,0.57326,0.54707,0.2458,0.57808,0.46356,0.67444,0.39988,0.65503,0.29853,0.42963,0.3101,0.48478,0.4196,0.25279,0.307,0.42044,0.31981,0.34533,0.37929,0.33516,0.14938,0.20695,0.11671,-0.013513,0.37145,0.15305,0.21259,0.25108,0.29463,0.21969,0.29748,0.088987,0.055646,0.30049,0.20016,0.28903,0.093161,0.10748,-0.02628,0.19217,0.088267,0.025866,0.094541,0.045403,-0.053556,0.13627,-0.010643,0.006309,0.35846,0.06125,0.04837,0.10728,-0.11103,0.15786,0.24942,0.019232,-0.0062402,0.1832,-0.26489,-0.13416,0.017166,-0.11174,-0.18017,0.21905,-0.10096,0.12982,-0.086971,-0.063043,0.27972,0.17399,0.26837,0.13194,-0.0008513,-0.090812,0.34515,-0.024751,0.070752,0.13668,0.16653,0.033731,-0.077382,0.080145,0.18687,0.12948,-0.0089028
1,0.89505,1,0.84524,0.86491,0.77984,0.85264,0.83402,0.87278,0.8179,0.80601,0.87951,0.89826,0.8171,0.7794,0.83787,0.88072,0.84489,0.83975,0.8732,0.8109,0.82708,0.8344,0.83609,0.8408,0.80108,0.84498,0.78262,0.83647,0.82829,0.86197,0.7801,0.76762,0.65753,0.79618,0.77291,0.7239,0.85632,0.74768,0.64561,0.68598,0.7181,0.65181,0.61206,0.69432,0.71693,0.69929,0.49751,0.66305,0.7045,0.55372,0.71797,0.57973,0.61061,0.50881,0.21743,0.62912,0.34183,0.62215,0.41533,0.55561,0.21606,0.43879,0.32086,0.40123,0.42113,0.22634,0.27955,0.47171,0.39798,0.24816,0.47382,0.22214,0.046546,0.19793,0.094574,0.087653,0.39453,0.074247,0.10094,0.29439,0.19189,0.3582,0.33948,0.22888,0.0076556,0.1282,0.070181,0.32703,0.070491,0.0057634,-0.026072,0.16455,0.0093826,-0.027538,0.01372,0.078688,-0.099154,0.027442,-0.035735,0.17742,0.45961,0.089318,-0.063562,0.20704,-0.10299,0.27597,0.15137,-0.042939,0.089408,0.061866,-0.25094,-0.085399,-0.041201,-0.098192,-0.20338,0.21923,-0.11417,0.011891,-0.27084,-0.14062,0.33984,0.1793,0.27381,0.11618,0.10208,-0.0013712,0.42171,0.031141,0.026784,0.22765,0.14215,0.00090678,-0.079845,0.044396,0.13743,0.16738,-0.020949
2,0.86926,0.84524,1,0.8585,0.8665,0.86574,0.8738,0.87449,0.84745,0.78061,0.86245,0.86565,0.82254,0.7743,0.84957,0.81463,0.85762,0.93137,0.87849,0.79965,0.77731,0.88134,0.81666,0.85772,0.83334,0.81278,0.7538,0.86635,0.84944,0.84337,0.79392,0.67955,0.68244,0.83706,0.66546,0.70664,0.82812,0.72946,0.66838,0.67774,0.59061,0.68519,0.60277,0.71973,0.64561,0.70998,0.621,0.63802,0.69061,0.49129,0.65206,0.63343,0.60564,0.49629,0.24793,0.50821,0.45452,0.5531,0.49572,0.57111,0.24737,0.37483,0.25127,0.42822,0.27679,0.35384,0.36149,0.41837,0.21624,0.4131,0.37007,0.16442,0.061586,0.25696,-0.076786,-0.019438,0.34098,0.23108,0.30118,0.31408,0.18801,0.11786,0.16456,0.18026,0.073644,0.28104,0.33016,0.42961,0.10138,0.18066,-0.04754,0.17638,0.08326,-0.073327,0.0042603,0.14424,-0.0041889,0.1082,-0.012751,0.191,0.38179,-0.034814,-0.050442,0.22737,-0.11011,0.27011,0.22883,-0.060158,0.092849,0.079871,-0.26382,-0.14668,-0.018005,-0.17406,-0.22703,0.24414,-0.096359,0.097563,-0.23439,0.034139,0.28399,0.28622,0.19425,0.11441,0.087658,-0.16595,0.31376,-0.028092,0.133,0.16924,0.21024,0.061073,-0.097437,-0.00087176,0.054241,0.23192,0.02367
3,0.89342,0.86491,0.8585,1,0.85698,0.85246,0.91672,0.89634,0.88022,0.78467,0.8933,0.84295,0.82484,0.79622,0.89279,0.90272,0.84166,0.89399,0.85796,0.80562,0.80827,0.87777,0.87595,0.86119,0.80328,0.78236,0.82496,0.8533,0.85896,0.86772,0.78851,0.7525,0.71339,0.8234,0.73259,0.64147,0.79365,0.71365,0.55861,0.75862,0.64497,0.71481,0.62489,0.6819,0.66965,0.69081,0.58297,0.63649,0.67345,0.41788,0.61577,0.57581,0.5396,0.49249,0.28685,0.52638,0.38596,0.64147,0.42058,0.62628,0.34416,0.29967,0.34879,0.34551,0.34053,0.29477,0.30024,0.32237,0.2596,0.46689,0.3976,0.21489,0.039601,0.20101,0.1011,-0.0020279,0.37873,0.24359,0.27037,0.21961,0.23124,0.20321,0.22243,0.2159,0.10594,0.26727,0.21704,0.38623,0.15111,0.15011,-0.048987,0.1434,0.099782,-0.066636,0.038638,0.027441,-0.0082524,0.13133,0.079801,0.11281,0.39885,0.036852,-0.14865,0.13228,-0.065802,0.2559,0.21019,0.026677,-0.0017476,0.1476,-0.22596,-0.10823,0.022448,-0.20704,-0.1854,0.2005,-0.12559,0.084807,-0.23235,-0.084769,0.4252,0.20451,0.25329,0.14841,0.066761,-0.12764,0.30996,0.0062899,0.025543,0.1096,0.092102,0.028036,0.028787,0.068909,0.10557,0.19574,-0.066063
4,0.8588,0.77984,0.8665,0.85698,1,0.79224,0.8834,0.86848,0.85393,0.80438,0.8574,0.81882,0.81038,0.71724,0.8486,0.79172,0.83878,0.85928,0.82374,0.80375,0.77138,0.80691,0.75667,0.82175,0.75438,0.74496,0.80181,0.81695,0.80616,0.86353,0.75756,0.71995,0.69648,0.73746,0.65332,0.62948,0.8052,0.67044,0.58981,0.70475,0.67939,0.68569,0.54905,0.69828,0.72004,0.63284,0.6558,0.60805,0.58943,0.36348,0.58803,0.53203,0.54709,0.55392,0.28692,0.54986,0.4218,0.47273,0.41221,0.55569,0.39709,0.28634,0.37311,0.38853,0.30146,0.30985,0.4507,0.42673,0.19408,0.4279,0.37279,0.21162,0.031457,0.063376,0.046034,-0.029848,0.3022,0.18265,0.24492,0.31383,0.28097,0.13258,0.072258,0.14519,0.021071,0.30337,0.32641,0.37834,-0.0039047,0.35045,-0.13088,0.065064,0.057859,-0.06226,0.012883,-0.018608,-0.046919,0.087735,-0.11185,0.065229,0.37338,-0.0059012,-0.092192,0.1908,-0.0085969,0.2361,0.18969,-0.078021,0.12836,0.073393,-0.19363,-0.063537,-0.12676,-0.13652,-0.19352,0.15914,-0.036819,0.1762,-0.10306,-0.057338,0.31081,0.22815,0.18246,0.18264,0.081233,-0.23759,0.2494,-0.059073,0.19172,0.13192,0.11923,-0.049733,-0.018172,0.05749,0.12009,0.080127,0.016408
5,0.84987,0.85264,0.86574,0.85246,0.79224,1,0.83986,0.85126,0.84179,0.75652,0.8591,0.84492,0.81451,0.80779,0.86011,0.81167,0.85195,0.86798,0.89642,0.81665,0.79871,0.87198,0.81885,0.792,0.82328,0.75502,0.70786,0.77079,0.78485,0.83094,0.76265,0.7343,0.72159,0.85895,0.70198,0.62607,0.77072,0.7393,0.55654,0.68457,0.62863,0.68594,0.5881,0.65082,0.68031,0.64517,0.5843,0.68955,0.67343,0.51282,0.6791,0.53558,0.5073,0.47267,0.28789,0.50283,0.44147,0.45917,0.43831,0.57495,0.19183,0.31432,0.34664,0.35233,0.26892,0.19911,0.26632,0.31493,0.24663,0.32824,0.36217,0.14349,0.18902,0.21507,-0.02118,0.046004,0.28477,0.22187,0.19593,0.31186,0.21742,0.17778,0.26096,0.18201,-0.030645,0.22569,0.20969,0.45772,0.093614,0.028508,-0.0010069,0.1289,-0.021237,0.0045759,0.012082,0.058056,-0.043078,0.081261,0.022523,0.18463,0.47631,0.076008,0.09249,0.36549,-0.21767,0.26829,0.27274,-0.04026,0.024872,0.1061,-0.22483,-0.10264,-0.024099,-0.035059,-0.15566,0.31336,-0.12407,-0.0042466,-0.23868,0.151,0.30091,0.24813,0.17541,0.061741,0.0072502,-0.03977,0.35815,-0.063927,0.12094,0.17241,0.1263,0.034329,-0.025086,0.10606,0.1547,0.27753,0.067555
6,0.8762,0.83402,0.8738,0.91672,0.8834,0.83986,1,0.88689,0.84895,0.749,0.8911,0.85513,0.8469,0.79578,0.89126,0.87313,0.85546,0.90754,0.84941,0.84057,0.7865,0.84918,0.80459,0.85056,0.8349,0.78774,0.78023,0.81497,0.86788,0.85545,0.81166,0.73949,0.7253,0.77711,0.68315,0.65498,0.84164,0.73926,0.65151,0.66235,0.62597,0.65085,0.58568,0.6795,0.67368,0.65622,0.64052,0.63917,0.66321,0.41055,0.6186,0.53462,0.553,0.51922,0.307,0.6128,0.43581,0.64153,0.35476,0.63146,0.34895,0.41431,0.38029,0.29782,0.36521,0.36579,0.34229,0.29251,0.27681,0.49527,0.42683,0.25468,0.095013,0.16035,0.12907,-0.079195,0.35064,0.18458,0.29808,0.21411,0.30549,0.11384,0.079234,0.24699,0.076603,0.35211,0.33003,0.37921,0.14109,0.22021,-0.013737,0.090901,0.15657,-0.017756,-0.059179,0.0086717,-0.043166,0.12912,-0.014849,0.21209,0.4877,-0.03571,-0.08951,0.18156,-0.042907,0.16452,0.26951,0.036453,0.046609,0.066597,-0.22851,-0.13006,-0.076843,-0.089008,-0.22872,0.21109,-0.16118,0.12279,-0.15377,-7.0341e-05,0.37848,0.22891,0.27845,0.1309,0.012306,-0.11601,0.26375,0.0064443,0.090016,0.085635,0.13451,0.010832,0.0012869,0.16105,0.18419,0.15606,0.00028791
7,0.88017,0.87278,0.87449,0.89634,0.86848,0.85126,0.88689,1,0.86144,0.84522,0.87577,0.87404,0.85273,0.80688,0.85383,0.88679,0.85815,0.89334,0.84725,0.79301,0.84277,0.87932,0.83928,0.85274,0.79196,0.8257,0.82678,0.84727,0.85062,0.90502,0.81064,0.70632,0.71722,0.77754,0.80198,0.73273,0.80786,0.75444,0.6261,0.76642,0.66383,0.71237,0.5756,0.71695,0.69901,0.72641,0.62554,0.60122,0.68408,0.52098,0.60319,0.56012,0.56236,0.50669,0.33065,0.56991,0.41966,0.56952,0.39302,0.53567,0.31453,0.34267,0.35766,0.38445,0.4376,0.3197,0.33627,0.37301,0.37183,0.35082,0.4062,0.2556,0.10164,0.17651,0.048335,-0.03767,0.2762,0.17261,0.29644,0.22292,0.20081,0.23043,0.22038,0.074549,0.046444,0.17515,0.19098,0.39872,0.11276,0.14243,-0.10212,0.11679,0.075313,-0.050135,-0.024765,-0.12199,-0.071038,0.084787,0.05604,0.20237,0.47934,0.042323,-0.05222,0.27033,-0.086672,0.20052,0.2143,0.0075107,0.038069,0.076188,-0.22365,-0.098933,0.02518,-0.077398,-0.15429,0.22973,-0.096446,0.12457,-0.23651,-0.091569,0.3688,0.19821,0.24632,0.1191,0.1294,-0.14184,0.41412,0.0061649,0.010182,0.21685,0.099455,-0.036378,-0.025247,0.11825,0.059741,0.19952,-0.050403
8,0.84741,0.8179,0.84745,0.88022,0.85393,0.84179,0.84895,0.86144,1,0.79285,0.83122,0.81485,0.82313,0.71495,0.78617,0.80276,0.84908,0.84603,0.81989,0.81743,0.78598,0.81014,0.78178,0.77879,0.78382,0.79819,0.77192,0.82531,0.79513,0.86013,0.75553,0.69586,0.70176,0.7454,0.75652,0.65204,0.79626,0.70809,0.57728,0.73798,0.69494,0.65065,0.66308,0.62135,0.70732,0.64944,0.5869,0.65457,0.61951,0.34654,0.65872,0.6047,0.56226,0.65575,0.30138,0.57317,0.34089,0.58269,0.48876,0.55298,0.37643,0.30414,0.3976,0.46669,0.36802,0.18247,0.21576,0.42234,0.35908,0.2994,0.26123,0.22883,-0.050687,0.16057,0.034997,-0.041919,0.35811,0.30871,0.18445,0.27907,0.22324,0.25092,0.14296,0.23043,-0.05668,0.24734,0.091529,0.37814,0.015506,0.14596,-0.046748,0.1855,0.056064,-0.0082167,-0.072358,0.030772,-0.18758,0.12667,0.017557,0.1986,0.31305,0.069751,-0.065995,0.18509,-0.11519,0.3948,0.30827,0.017227,-0.0098373,0.075543,-0.20363,-0.045769,0.0080435,-0.24737,-0.29469,0.28288,0.012614,0.094021,-0.20812,-0.029605,0.20335,0.10537,0.26841,0.058298,0.041894,-0.19696,0.30272,-0.016947,0.037688,0.17919,0.14667,0.070803,-0.021949,0.090423,0.060212,0.178,-0.07289
9,0.85153,0.80601,0.78061,0.78467,0.80438,0.75652,0.749,0.84522,0.79285,1,0.82043,0.82221,0.76065,0.76995,0.7204,0.81359,0.81373,0.79837,0.78252,0.78092,0.73938,0.70955,0.77073,0.71302,0.75015,0.77879,0.75782,0.77393,0.76903,0.864,0.66521,0.71499,0.6979,0.7245,0.70634,0.60401,0.80637,0.73191,0.47544,0.7249,0.60642,0.60709,0.57021,0.71917,0.70698,0.63985,0.53972,0.61107,0.49067,0.54463,0.56614,0.61098,0.38237,0.53358,0.284,0.51819,0.44595,0.66107,0.44233,0.51823,0.29766,0.35785,0.23594,0.48835,0.36083,0.28943,0.33034,0.36361,0.33333,0.25901,0.4568,0.27777,0.030656,0.101,0.0095032,0.017853,0.33028,0.18015,0.19997,0.2258,0.2501,0.15018,0.31767,0.052188,0.086283,0.13059,0.1733,0.26366,-0.040743,0.10021,-0.046453,0.18579,0.08784,0.065669,-0.019932,-0.079849,-0.056287,0.11985,0.03538,0.016085,0.35116,0.10419,0.0072801,0.18449,-0.043231,0.29404,0.21969,-0.069109,0.026971,0.093123,-0.15006,0.041522,-0.14288,-0.082557,-0.081894,0.25132,-0.010711,0.089183,-0.12907,-0.064414,0.31811,0.26593,0.22327,0.18053,0.10213,-0.15254,0.45038,-0.061643,0.013657,0.15319,0.073737,-0.13252,-0.081538,0.088003,0.22619,0.18195,-0.16067
