,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,1,0.69636,0.69159,0.77675,0.74017,0.62715,0.63619,0.18735,0.46778,0.10506,0.29076,0.27494,0.44334,0.13562,0.05178,0.29477,0.15836,0.18999,-0.048355,-0.074737,0.098997,-0.13638,0.18945,0.15933,0.054729,-0.15169,-0.092412,0.039007,-0.037741,-0.2541,-0.098946,-0.38508,-0.10657,-0.27661,-0.13193,-0.53379,-0.057854,-0.26323,-0.28931,-0.058253,-0.27203,-0.20113,-0.22847,-0.062994,-0.19919,0.11021,0.043121,-0.21058,0.11662,0.086654,-0.15207,-0.32394,0.10481,-0.1093,-0.17383,0.13388,-0.018851,-0.095141,0.058886,0.17297,-0.12887,0.14027,0.045258,0.17928,-0.090819,0.20489,-0.013933,0.23674,-0.018828,0.23541,0.033616,-0.13675
1,0.69636,1,0.62734,0.70084,0.62961,0.6787,0.63298,0.14993,0.47866,0.2744,0.21773,0.029707,0.32227,0.092378,0.038815,0.26176,0.14618,0.14224,0.099592,0.098863,0.0014573,-0.13929,0.26471,0.12952,-0.19476,-0.034761,-0.23984,0.050437,0.15005,-0.21676,-0.21053,-0.35365,-0.084822,-0.16002,0.042974,-0.40956,-0.16606,-0.056125,-0.17263,-0.13265,-0.11611,-0.042149,-0.24472,-0.15715,-0.17078,0.10386,0.17088,-0.062529,0.29544,0.044455,-0.010642,-0.17864,0.16722,0.052516,-0.090803,0.18024,0.078851,-0.0043682,0.073807,0.031901,-0.19953,0.10874,0.21626,0.24311,0.022417,0.20801,0.23768,0.19355,-0.024387,0.029684,-0.20948,0.059801
2,0.69159,0.62734,1,0.61178,0.58247,0.51102,0.48822,0.48183,0.49776,0.25379,0.23855,0.068801,0.29558,0.0057585,-0.03448,0.11174,0.068885,0.046529,0.14099,0.11647,0.13869,-0.34425,0.039377,0.0093936,-0.055601,0.037668,0.0031991,-0.010596,0.015751,-0.24472,-0.10181,-0.44932,-0.11994,-0.27555,-0.1487,-0.19843,-0.020819,-0.21141,-0.27907,0.010462,-0.20679,-0.22921,-0.40038,-0.24217,-0.15509,0.16631,-0.014789,-0.21383,0.12057,-0.02537,0.011048,-0.12384,0.080506,-0.24189,-0.16945,0.0021937,0.024326,-0.016294,-0.048296,0.1442,-0.089541,-0.030179,0.11725,0.087009,-0.25762,0.047675,0.23282,0.142,-0.14351,0.17313,-0.0090614,-0.0049703
3,0.77675,0.70084,0.61178,1,0.79382,0.57091,0.59125,0.23417,0.56362,0.14484,0.25908,0.27221,0.34208,0.044035,0.13645,0.11275,0.12933,0.32036,0.0032371,0.026306,0.14135,-0.18557,0.22821,0.14336,0.0056274,-0.090881,0.042268,0.05977,-0.076027,-0.23966,-0.30637,-0.2,-0.099218,-0.13844,-0.15677,-0.38078,-0.021583,-0.10611,-0.26162,-0.17005,-0.24908,0.0037651,-0.26327,-0.07319,-0.23632,0.094244,-0.034596,-0.25511,0.1681,-0.058116,-0.14123,-0.37654,0.10261,-0.14175,-0.26978,0.1815,0.17217,-0.15956,0.043826,0.058339,0.026101,0.22988,0.093542,0.29576,-0.11068,0.13527,0.063386,0.19708,0.17953,0.30768,0.008807,-0.045054
4,0.74017,0.62961,0.58247,0.79382,1,0.59338,0.46221,0.1635,0.35489,-0.050482,0.18385,0.31991,0.22339,0.1128,-0.041349,0.20589,0.0026145,0.25984,-0.042181,-0.033796,-0.0059128,-0.19799,0.14931,0.093227,-0.06164,-0.062424,-0.017404,0.098304,-0.089822,-0.3184,-0.069546,-0.28189,-0.049923,-0.14737,-0.0719,-0.38125,-0.09009,-0.13386,-0.28273,-0.13555,-0.24048,-0.11401,-0.19373,-0.13759,-0.096614,0.088106,0.041548,-0.17482,0.17636,-0.025996,-0.22929,-0.32145,0.15077,-0.012415,-0.2102,0.1675,0.18865,-0.23877,0.18484,0.060144,-0.17709,0.13047,0.22237,0.24279,-0.17156,0.13409,0.24417,0.081658,0.2367,0.1558,0.10361,-0.071088
5,0.62715,0.6787,0.51102,0.57091,0.59338,1,0.48689,0.22843,0.37045,0.30936,0.3306,0.1637,0.26177,0.20651,0.058433,0.26865,0.24514,0.17068,0.038928,-0.07305,0.16053,-0.0639,0.23775,-0.030952,0.07292,0.019086,-0.043027,0.084138,0.1102,-0.11555,-0.15116,-0.33486,-0.094782,-0.10971,-0.047582,-0.37756,-0.086684,-0.007315,-0.060714,-0.23861,-0.20563,-0.27184,-0.21069,-0.11696,-0.28401,0.12329,-0.0099653,0.032684,0.19181,0.043143,-0.10416,-0.40406,0.18058,0.15658,-0.1998,0.14027,0.098126,-0.15343,0.26395,0.039102,-0.1141,0.071668,0.23971,0.19773,-0.040606,0.1714,0.30998,0.1647,0.15947,0.13542,-0.06839,0.19067
6,0.63619,0.63298,0.48822,0.59125,0.46221,0.48689,1,0.13259,0.53942,0.35922,0.21185,0.018473,0.36215,0.11294,-0.014378,0.25524,0.098659,0.20334,0.019575,0.019455,0.03287,-0.16482,0.35512,0.13116,-0.075036,-0.03238,-0.10667,0.16895,0.079835,-0.1746,-0.12864,-0.30823,-0.1182,-0.25421,0.0026459,-0.31761,-0.042628,-0.37983,-0.13364,-0.080211,-0.16589,0.016055,-0.067101,-0.058658,-0.18468,0.083315,0.023143,-0.22328,0.28158,0.064536,-0.080819,-0.27774,0.32275,0.092229,-0.024313,0.2324,0.11556,0.052608,0.051693,0.075575,-0.18669,-0.042346,0.074579,0.1083,-0.03879,0.17229,0.05781,0.29997,0.024156,0.0024856,-0.016779,-0.098347
7,0.18735,0.14993,0.48183,0.23417,0.1635,0.22843,0.13259,1,0.20083,-0.051855,0.36595,0.023312,0.10316,-0.0031759,0.18903,0.12811,0.21114,0.027486,-0.034119,0.045785,0.12843,-0.24717,0.15149,-0.061783,-0.023204,0.21852,0.21059,-0.26097,0.24013,-0.10044,-0.16308,-0.0469,-0.015651,-0.204,-0.12989,0.01095,-0.0080805,0.10201,-0.059663,0.04936,0.11679,-0.27927,-0.1842,-0.18775,-0.068142,0.15967,-0.0060913,-0.074441,0.045249,0.063705,0.19577,-0.0040911,0.01939,-0.2529,-0.24051,-0.022767,0.0019779,0.016511,-0.12758,0.14731,-0.12625,-0.17921,0.032783,-0.071519,-0.060663,-0.29686,0.15546,0.12481,0.04702,0.13619,-0.042184,0.23749
8,0.46778,0.47866,0.49776,0.56362,0.35489,0.37045,0.53942,0.20083,1,0.4664,0.050962,-0.0072884,0.29409,-0.068619,0.30982,-0.029216,-0.063453,-0.006651,0.0042129,0.29156,0.15063,-0.10561,0.23696,0.094848,0.075529,-0.12346,-0.071401,0.15406,0.17918,-0.018157,-0.097434,-0.25086,-0.10284,-0.085131,-0.20668,-0.18237,-0.024709,0.015768,-0.012556,-0.16962,-0.029505,0.011191,-0.11804,-0.18208,-0.18668,0.18394,-0.070419,-0.21186,0.25453,-0.1416,0.29434,-0.0048659,0.21207,-0.12282,-0.24253,0.41018,0.26406,-0.17525,-0.01225,-0.064628,0.054187,0.22689,-0.038248,0.16546,-0.0052849,0.29749,0.24828,0.36273,-0.10456,0.15785,0.0048638,-0.0029493
9,0.10506,0.2744,0.25379,0.14484,-0.050482,0.30936,0.35922,-0.051855,0.4664,1,0.03548,-0.097133,0.11478,-0.037583,0.15742,0.082093,-0.096069,-0.065976,0.028544,0.048146,0.246,-0.15164,-0.091888,-0.021589,0.24923,-0.033226,-0.031327,0.1802,0.093235,0.018063,-0.043986,-0.26353,-0.17946,-0.18161,-0.0264,-0.14897,-0.03454,-0.21925,0.0041278,-0.16626,-0.1819,-0.039395,0.089159,0.0075334,-0.15242,0.1657,-0.076374,-0.1906,0.15125,0.16409,-0.050492,0.068847,0.075623,-0.17033,-0.16747,0.081231,0.22262,0.037188,0.15909,-0.24739,-0.0099532,-0.047065,-0.03587,-0.16687,-0.079485,0.0011942,0.15657,0.12268,-0.064409,-0.067193,0.083023,0.020951
