,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
0,1,0.83701,0.82268,0.87201,0.85614,0.86403,0.86366,0.86214,0.87036,0.75922,0.89383,0.87711,0.80811,0.87417,0.87812,0.84894,0.77511,0.86142,0.80085,0.82587,0.7999,0.8689,0.8177,0.82464,0.89054,0.7561,0.82508,0.7956,0.83742,0.859,0.76066,0.84662,0.80046,0.82429,0.83281,0.77362,0.72481,0.76449,0.70025,0.71166,0.75783,0.67287,0.78396,0.58301,0.67554,0.62401,0.65773,0.50161,0.65991,0.67182,0.44204,0.52828,0.4528,0.76853,0.58862,0.40222,0.38894,0.19682,0.5611,0.37502,0.53998,0.36273,0.496,0.1063,0.16616,0.2582,0.36761,0.18297,0.46753,0.44798,0.53287,0.3863,0.14085,-0.088786,0.14944,0.25986,-0.028896,0.31433,0.22591,0.15192,0.38542,0.21814,0.034006,0.062821,0.086502,0.1525,0.21121,0.33713,0.16291,0.18776,0.053586,0.11287,0.059143,0.27883,0.17491,0.26564,0.17985,-0.14611,0.19915,-0.076698,-0.23099,0.2998,-0.031502,0.15398,0.045416,0.1871,0.043247,-0.26891,-0.17576,-0.12968,-0.038285,0.18034,-0.11801,-0.20734,0.011143,0.018264,0.048268,0.067641,-0.128,0.17677,0.22388,0.018577,-0.17277,-0.016439,0.02783,-0.021908,0.21248,0.09864,-0.073118,0.20156,-0.27378,0.0073472,0.16985,0.45895,0.11052,0.10198,0.1232,0.057298,0.02753,-0.019598,-0.079288,0.063399,0.19286,0.30687,0.10211,-0.090353,-0.052941
1,0.83701,1,0.87144,0.8696,0.86304,0.89531,0.85286,0.83227,0.8984,0.79261,0.87138,0.84289,0.82315,0.85592,0.83613,0.8265,0.82589,0.88584,0.82708,0.81843,0.82998,0.85063,0.82183,0.76347,0.85129,0.85808,0.82418,0.86144,0.8063,0.8261,0.78765,0.82511,0.79273,0.75442,0.72784,0.74008,0.72559,0.69251,0.76553,0.65573,0.74492,0.73834,0.73441,0.63894,0.54659,0.61666,0.71454,0.66509,0.59588,0.56781,0.46383,0.59833,0.55291,0.77707,0.53702,0.49496,0.36128,0.25751,0.49324,0.39142,0.47603,0.41208,0.52585,0.0047905,0.21104,0.20287,0.30252,0.21335,0.50518,0.3315,0.4517,0.36349,0.19216,0.03642,0.20867,0.23135,-0.19082,0.22253,0.1651,0.069812,0.29105,0.33508,0.099829,0.10345,0.10015,0.18754,0.41757,0.34603,0.17496,0.11063,0.083397,0.18122,0.16398,0.27483,0.054015,0.19117,0.3201,0.045619,0.12249,-0.0055474,-0.091876,0.25297,0.022318,0.23449,0.021885,0.10084,-0.096999,-0.11759,-0.17164,0.012693,0.15739,0.33242,0.027358,-0.046474,0.016886,0.11591,0.14289,0.038805,-0.086657,0.14971,0.35881,0.012038,-0.03878,-0.091865,-0.09321,-0.040973,0.24481,-0.049016,-0.10298,0.089462,-0.2505,0.095946,0.31206,0.49555,0.061695,0.13916,0.080667,-0.0070039,0.11326,0.0031445,-0.1393,0.089207,0.10874,0.40362,0.16075,0.09349,-0.051221
2,0.82268,0.87144,1,0.87626,0.83334,0.79674,0.80081,0.83529,0.87496,0.77302,0.81908,0.82709,0.81616,0.79662,0.85374,0.82014,0.84737,0.7847,0.77912,0.80845,0.7408,0.87637,0.70831,0.74,0.81235,0.76095,0.7707,0.7799,0.78329,0.79859,0.74627,0.78738,0.80362,0.72408,0.75815,0.7346,0.67073,0.67582,0.67714,0.66232,0.74109,0.73705,0.64515,0.41869,0.57083,0.56925,0.70708,0.44808,0.56076,0.57518,0.48637,0.60092,0.49255,0.68537,0.57183,0.47659,0.39765,0.23142,0.59836,0.36947,0.45128,0.47762,0.49911,-0.02907,0.038991,0.11236,0.38185,0.33191,0.41452,0.38522,0.40841,0.31126,0.21419,0.020908,0.14517,0.17435,-0.1805,0.3308,0.1099,0.048325,0.34112,0.37661,-0.074999,0.076992,0.09814,0.26791,0.24724,0.34642,0.24933,0.1879,0.047297,0.09311,0.12406,0.21077,0.16377,0.21995,0.19415,0.026329,0.083931,0.01111,-0.032951,0.26963,0.096178,0.27326,0.067909,0.1053,-0.062805,-0.21287,-0.23042,0.050497,0.035266,0.31472,-0.065131,0.06671,0.11603,0.065735,0.18534,0.0074265,-0.040991,0.080889,0.24642,0.13668,-0.053764,-0.14856,-0.10366,-0.076351,0.19289,0.026007,-0.047472,0.036777,-0.26406,-0.0061459,0.20892,0.4042,0.058455,-0.028193,0.091831,0.07138,0.069547,0.034346,-0.04078,-0.015882,0.15782,0.31536,0.014808,-0.023156,0.13658
3,0.87201,0.8696,0.87626,1,0.92825,0.84344,0.87373,0.89568,0.9022,0.82496,0.90007,0.87698,0.8778,0.88494,0.91637,0.86193,0.88887,0.85117,0.8707,0.85735,0.82828,0.88311,0.78769,0.8051,0.85369,0.85217,0.85196,0.79859,0.8033,0.82128,0.76987,0.8701,0.84592,0.81207,0.81152,0.78667,0.70042,0.75277,0.71945,0.73922,0.72556,0.70353,0.75938,0.56101,0.64073,0.69909,0.72882,0.53975,0.68775,0.62002,0.52244,0.60346,0.4871,0.70002,0.46421,0.47243,0.45955,0.23764,0.50399,0.46939,0.57244,0.53092,0.5614,-0.022079,0.18323,0.22799,0.32985,0.29499,0.33993,0.37355,0.43341,0.44516,0.17241,0.13565,0.15137,0.28621,-0.068737,0.32748,0.16766,0.039505,0.32722,0.28837,0.049322,0.07037,0.19376,0.15746,0.33829,0.40027,0.088085,0.20944,-0.0063702,0.12951,0.20452,0.26932,0.18706,0.20315,0.2179,0.033053,0.14688,-0.061617,-0.17796,0.359,-0.012238,0.25843,0.039241,0.11343,0.040195,-0.16916,-0.13756,-0.062658,-0.026909,0.2543,-0.084223,-0.16574,0.065181,0.25443,0.19204,-0.0025182,-0.15116,0.17894,0.32115,0.14556,-0.089131,-0.057228,-0.16835,-0.036089,0.22474,0.043399,0.04852,0.008528,-0.23027,-0.047763,0.22143,0.51897,0.12855,0.066896,0.13969,-0.062057,0.026034,-0.15905,-0.018699,0.12298,0.19814,0.39998,0.043967,-0.095315,0.0074909
4,0.85614,0.86304,0.83334,0.92825,1,0.85673,0.85657,0.85429,0.87606,0.80202,0.88999,0.85115,0.82886,0.85255,0.87803,0.84478,0.82878,0.8367,0.87402,0.82536,0.8479,0.87242,0.74003,0.7507,0.85934,0.81419,0.82775,0.81972,0.82252,0.81124,0.71396,0.78941,0.79809,0.817,0.815,0.78614,0.72465,0.74719,0.73472,0.69901,0.74763,0.67012,0.74335,0.58292,0.57795,0.68055,0.6458,0.54722,0.57545,0.59292,0.47979,0.57677,0.51699,0.73074,0.44193,0.41659,0.38224,0.10974,0.52084,0.39291,0.54497,0.42913,0.58521,0.053011,0.217,0.25688,0.3409,0.29854,0.51112,0.33302,0.38819,0.39549,0.17174,0.12227,0.14249,0.26329,-0.035939,0.31164,0.16978,0.099097,0.29008,0.22037,0.096421,0.1322,0.21418,0.1786,0.33129,0.301,0.16802,0.1882,0.14147,0.11664,0.077718,0.22758,0.17955,0.1312,0.17152,0.015029,0.10211,-0.024952,-0.26426,0.31536,-0.064397,0.25003,0.054823,0.090414,0.021298,-0.0015249,-0.092333,-0.13248,0.031632,0.27074,-0.1109,-0.087999,0.060336,0.20129,0.12165,0.015874,-0.21134,0.1536,0.27894,0.17593,-0.070548,-0.091271,-0.17425,0.0043189,0.19293,0.023812,0.021805,-0.070151,-0.24704,-0.12404,0.26908,0.49879,0.061631,0.0011061,0.13964,-0.038747,0.078987,-0.057421,-0.053851,0.077954,0.15157,0.44003,0.14625,0.001414,0.026313
5,0.86403,0.89531,0.79674,0.84344,0.85673,1,0.86114,0.80421,0.88523,0.81518,0.88392,0.83816,0.80323,0.83763,0.83034,0.80819,0.81011,0.84258,0.79436,0.80155,0.86049,0.83349,0.8442,0.84583,0.84496,0.79875,0.84364,0.82751,0.88878,0.7959,0.80228,0.85421,0.7822,0.76076,0.75484,0.72673,0.79081,0.75215,0.79165,0.7051,0.76952,0.70523,0.70084,0.53406,0.56669,0.64928,0.66126,0.62901,0.67771,0.64817,0.48965,0.56352,0.56246,0.81496,0.54291,0.44174,0.40835,0.1795,0.50667,0.40933,0.54616,0.32742,0.49295,0.08167,0.098384,0.17052,0.34896,0.19916,0.51419,0.41074,0.43643,0.29834,0.18574,-0.026192,0.07157,0.21451,-0.16534,0.29723,0.2776,-0.021926,0.21891,0.25678,0.071617,0.14798,0.099882,0.21894,0.31272,0.35285,0.25471,0.14425,0.17431,0.16281,0.057619,0.28753,0.21302,0.1994,0.36911,0.015738,0.18842,0.029303,-0.19055,0.28637,-0.12741,0.25091,0.13563,0.11681,0.023408,-0.11623,-0.1602,-0.012548,0.11521,0.35278,-0.11329,-0.10421,-0.10717,0.026794,0.18879,0.10579,-0.11162,0.2108,0.25549,0.016917,-0.10227,0.046629,-0.1775,0.013946,0.23049,0.13535,-0.21872,0.098139,-0.30042,0.04918,0.20193,0.49544,0.03723,0.091945,0.14775,0.053035,0.025265,-0.026579,-0.13607,-0.04917,0.22659,0.29917,0.2205,0.050262,-0.036447
6,0.86366,0.85286,0.80081,0.87373,0.85657,0.86114,1,0.86305,0.85187,0.82929,0.87991,0.88795,0.85614,0.88518,0.89443,0.83012,0.81684,0.83737,0.83357,0.83109,0.84257,0.85635,0.84257,0.83304,0.79732,0.79827,0.86011,0.77017,0.85704,0.80898,0.77455,0.81294,0.80693,0.81293,0.83442,0.71246,0.74149,0.69673,0.75095,0.71721,0.71992,0.71332,0.79538,0.61442,0.53919,0.59366,0.61981,0.56182,0.58409,0.59776,0.48346,0.59996,0.593,0.76485,0.4971,0.53312,0.38593,0.10638,0.51143,0.37611,0.51601,0.4431,0.48265,0.060141,0.22478,0.29086,0.39087,0.34342,0.36582,0.43818,0.48614,0.45508,0.24255,-0.040589,0.111,0.30291,0.0070558,0.24487,0.24757,0.075093,0.34014,0.22434,-0.036787,0.20312,0.11355,0.16316,0.39392,0.38498,0.12034,0.25019,0.0097309,0.11205,0.082963,0.31189,0.20951,0.12393,0.16585,-0.0099587,0.23684,-0.1006,-0.11505,0.20302,-0.12855,0.18259,0.08172,0.10821,0.029982,-0.075946,-0.096179,-0.0090646,0.061674,0.28022,-0.041653,-0.12057,0.02409,0.062943,0.14286,-0.069936,-0.13847,0.17994,0.23724,0.0033536,-0.12184,0.020609,-0.12139,0.045964,0.2679,0.086923,0.021328,0.11468,-0.18576,0.0053999,0.13101,0.46963,0.095701,0.09286,0.13071,-0.0071415,-0.013771,0.040231,-0.20108,-0.028796,0.22363,0.29796,0.099688,-0.10678,0.0018218
7,0.86214,0.83227,0.83529,0.89568,0.85429,0.80421,0.86305,1,0.85345,0.74366,0.85044,0.86898,0.84591,0.86723,0.86206,0.83594,0.80879,0.83377,0.84344,0.80224,0.76533,0.85892,0.79695,0.78029,0.78865,0.79003,0.77989,0.76133,0.81221,0.77849,0.76153,0.81427,0.7819,0.80264,0.75893,0.77671,0.70056,0.7068,0.73246,0.64064,0.73478,0.70956,0.74144,0.53947,0.61341,0.6719,0.71636,0.46407,0.65547,0.64094,0.45675,0.56719,0.48046,0.75148,0.54479,0.38515,0.35233,0.26696,0.49005,0.3949,0.4961,0.4651,0.55998,-0.039435,0.24675,0.26867,0.38339,0.25465,0.42819,0.50825,0.51722,0.45306,0.22769,0.060041,0.20975,0.20147,-0.046605,0.31985,0.21714,0.088584,0.3716,0.3298,0.054188,0.0044403,0.054793,0.30828,0.27749,0.30379,0.10508,0.26623,-0.033957,0.10974,0.14519,0.32743,0.21661,0.16745,0.27433,-0.076014,0.18371,-0.032938,-0.12676,0.18648,0.077108,0.27955,0.082502,0.18356,-0.049193,-0.22176,-0.077533,0.022941,0.07313,0.11013,-0.046808,-0.022302,-0.012366,0.19011,0.12617,-0.077506,-0.1304,0.23253,0.28616,0.15311,-0.11899,0.023276,-0.16456,0.03038,0.25421,-0.047138,0.029103,0.12142,-0.25286,-0.02741,0.12343,0.36231,0.079723,0.072554,0.17708,0.052907,-8.8299e-05,-0.094573,-0.099648,0.066509,-0.026273,0.34066,0.14124,-0.051177,-0.040762
8,0.87036,0.8984,0.87496,0.9022,0.87606,0.88523,0.85187,0.85345,1,0.83086,0.86256,0.83946,0.87487,0.82261,0.83273,0.82739,0.87327,0.82501,0.82548,0.85296,0.81776,0.8684,0.80618,0.81145,0.85771,0.79646,0.83786,0.84149,0.84863,0.80681,0.8014,0.80988,0.82123,0.82851,0.73571,0.72701,0.77907,0.74234,0.7101,0.78396,0.73213,0.69832,0.73046,0.57217,0.59136,0.64847,0.72075,0.5469,0.61041,0.69206,0.54746,0.57579,0.50421,0.72123,0.6151,0.47317,0.3788,0.16766,0.54498,0.41466,0.54536,0.42723,0.47319,0.049792,0.16956,0.25102,0.30428,0.20724,0.49048,0.43439,0.41442,0.39912,0.16712,0.038657,0.18184,0.16594,-0.21507,0.24526,0.18273,-0.036588,0.36336,0.24952,-0.019132,0.10809,0.10313,0.20084,0.29338,0.41141,0.20433,0.20675,0.10371,0.19948,0.084295,0.23799,0.22829,0.15272,0.30121,0.068166,0.18621,-0.064462,-0.15076,0.27733,-0.025871,0.2427,0.051476,0.08328,0.034098,-0.065798,-0.19873,0.093577,0.081331,0.31779,-0.060728,-0.083313,-0.10665,0.058384,0.17878,0.071799,-0.18076,0.17968,0.35713,0.10996,-0.1045,-0.054706,-0.21721,-0.087789,0.24568,-0.022541,-0.12165,0.10908,-0.32902,0.07447,0.25181,0.42882,0.046787,0.097222,0.12772,0.016051,-0.059919,-0.098836,-0.037885,0.077586,0.19212,0.32335,0.087627,-0.014346,0.050401
9,0.75922,0.79261,0.77302,0.82496,0.80202,0.81518,0.82929,0.74366,0.83086,1,0.76911,0.82239,0.81593,0.78638,0.82001,0.757,0.8096,0.77525,0.77666,0.77514,0.77533,0.76216,0.80828,0.79129,0.79538,0.66779,0.72086,0.7663,0.82578,0.76419,0.79599,0.74386,0.74822,0.76555,0.76165,0.71005,0.78145,0.66174,0.79072,0.62945,0.66042,0.7893,0.65641,0.59099,0.49042,0.5998,0.68286,0.47239,0.62857,0.61341,0.57245,0.49032,0.43772,0.6705,0.48988,0.47988,0.45022,0.18201,0.42213,0.39819,0.44293,0.34219,0.45248,-0.0083573,0.062085,0.1959,0.30523,0.38339,0.41871,0.35284,0.38324,0.51231,0.012394,0.069653,0.11363,0.30311,-0.03958,0.31978,0.14246,0.060987,0.35907,0.19923,0.098727,0.31223,0.22573,0.18816,0.29437,0.37771,0.13271,0.13096,0.032229,0.22461,0.023218,0.18632,0.38877,0.1087,0.24894,0.083767,0.17321,0.073497,-0.089817,0.28447,-0.083867,0.20111,0.022529,0.085424,0.065129,0.011879,-0.17075,-0.063636,0.057229,0.28186,-0.035274,-0.048975,-0.030091,0.10841,0.23594,0.20333,-0.070056,0.18036,0.26443,0.040925,-0.10414,0.11254,-0.1434,-0.031311,0.12774,-0.0020759,-0.048425,-0.021607,-0.2986,0.028437,0.073963,0.39052,0.082195,0.14188,0.063244,-0.10734,-0.030896,-0.17437,-0.17312,-0.11094,0.22265,0.27667,-0.048735,-0.02089,0.064017
