,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0,1,0.79335,0.82713,0.84946,0.81717,0.83958,0.87352,0.79825,0.87844,0.83421,0.78283,0.81438,0.84389,0.83168,0.80439,0.81391,0.85793,0.89653,0.79135,0.78447,0.76737,0.77638,0.79415,0.84317,0.7863,0.75866,0.78241,0.78654,0.66058,0.75897,0.82599,0.77393,0.77412,0.74778,0.55227,0.7663,0.72846,0.83674,0.73829,0.62271,0.69044,0.67819,0.65166,0.57486,0.65689,0.67029,0.64392,0.65228,0.57082,0.7113,0.44882,0.59956,0.44601,0.41935,0.5604,0.53936,0.65137,0.4304,0.43424,0.28955,0.45759,0.14282,0.20417,0.2612,0.33964,0.21959,0.50365,0.21995,0.30572,0.44253,0.16164,0.053386,0.20258,0.30824,0.38319,0.10514,0.21858,0.16258,0.17291,0.2306,0.11648,0.17358,0.173,0.005606,0.17933,0.33825,-0.027908,0.094359,0.2233,0.14357,0.18582,0.14259,0.19248,0.051915,0.016598,0.078749,0.084425,0.089801,0.086009,0.099238,0.1985,-0.010411,0.12588,0.038734,-0.083908,0.063013,0.045379,0.36514,0.25259,-0.039184,0.13685,-0.14939,0.041692,0.21517,-0.086075,0.081248,0.11028,-0.055785,0.21676,-0.089653,-0.038192,0.11063,-0.019948,0.040214,0.03298,0.11296,0.022586,0.23005,-0.088276,0.16835,0.0040565,-0.18846,0.0058802,0.051479,0.029569,-0.12026,0.035155,0.11283,-0.071117,0.05437,-0.15413,0.019511,-0.0070651,0.10296,0.28968,-0.032605,0.15778,0.11389,0.044447,0.34544,0.13476,0.021649,-0.042974
1,0.79335,1,0.85363,0.87427,0.85112,0.82319,0.78921,0.82628,0.87621,0.74161,0.84448,0.80397,0.83071,0.80722,0.76212,0.84174,0.86908,0.84428,0.80362,0.83009,0.79536,0.81373,0.75599,0.82081,0.77952,0.84957,0.75152,0.80675,0.83143,0.84094,0.84168,0.74361,0.77413,0.80835,0.79812,0.75619,0.68414,0.7944,0.70104,0.66775,0.68645,0.73428,0.67087,0.55656,0.67011,0.61355,0.52174,0.65209,0.53449,0.65719,0.51568,0.49478,0.3001,0.46143,0.55912,0.54649,0.47572,0.4553,0.46633,0.31747,0.4412,0.29475,0.27174,0.30769,0.34014,0.32762,0.51743,0.2029,0.21888,0.42095,0.27016,0.0085919,0.12957,0.22137,0.57565,0.38504,0.17037,0.34837,0.18266,0.19378,0.061588,0.17037,0.15871,0.012662,0.10156,0.094141,0.010923,0.18993,0.2126,0.14823,-0.021771,0.17596,0.18364,-0.13077,0.3408,0.14991,0.076458,0.091166,0.052544,0.052218,0.12,0.16166,0.16904,0.10094,0.0004774,0.12994,0.12877,0.27162,0.23256,-0.043197,0.18938,-0.18769,-0.044728,0.15432,0.033515,-0.0026111,0.14587,-0.15499,0.081577,-0.067099,0.012305,0.063967,0.09061,0.096583,-0.0048977,0.16017,0.060835,0.10128,-0.061858,0.18651,0.070562,-0.2862,0.065564,-0.17099,-0.045421,-0.013138,-0.033463,0.021949,0.083097,0.032566,-0.043964,-0.039415,-0.072955,0.090286,0.25521,0.025372,0.26146,0.2079,-0.048602,0.35974,-0.046831,0.13206,-0.19897
2,0.82713,0.85363,1,0.8551,0.81293,0.84639,0.82668,0.80131,0.89172,0.84616,0.82314,0.80451,0.83999,0.84809,0.78872,0.83269,0.84211,0.84641,0.82083,0.80418,0.78868,0.83754,0.82182,0.84503,0.82886,0.78582,0.72716,0.7965,0.79217,0.79262,0.78459,0.74003,0.81839,0.83337,0.73257,0.80763,0.71718,0.8058,0.74483,0.68062,0.64542,0.70422,0.65663,0.5645,0.70727,0.69811,0.54206,0.66914,0.57852,0.66182,0.50612,0.48317,0.4539,0.45399,0.47296,0.45884,0.67462,0.42283,0.35496,0.30351,0.37096,0.25923,0.18234,0.24693,0.36116,0.37363,0.40043,0.23703,0.31093,0.52463,0.227,-0.035125,0.12409,0.19849,0.45092,0.27178,0.23685,0.1893,0.17322,0.22166,0.13143,0.12985,0.1433,0.13306,0.11298,0.31441,-0.010299,0.093314,0.23803,0.1524,0.065492,0.21775,0.28543,0.01125,0.29613,0.076873,0.058917,-0.061541,0.08738,0.13154,0.17016,0.12945,0.23872,0.2842,0.023979,0.096008,0.093871,0.22566,0.20434,-0.041515,0.18584,0.026989,-0.046542,0.23764,-0.021858,-0.075493,0.19202,-0.04079,0.21901,-0.075323,0.10671,0.14677,-0.001212,0.141,0.00065548,0.043515,-0.036881,0.059714,-0.098341,0.27387,0.1,-0.28284,0.069827,-0.11198,-0.049265,-0.018432,-0.042219,-0.046313,0.088388,0.0084582,-0.073979,0.063026,-0.12541,0.095907,0.16555,-0.0018819,0.20231,0.081213,0.0030663,0.26515,-0.099547,0.12658,-0.00049813
3,0.84946,0.87427,0.8551,1,0.84508,0.80946,0.88037,0.83169,0.90847,0.7471,0.83042,0.86569,0.85612,0.83024,0.826,0.83493,0.8677,0.86001,0.8283,0.83431,0.80026,0.88327,0.80855,0.87585,0.82124,0.81452,0.79032,0.7871,0.74778,0.80364,0.80991,0.83536,0.78692,0.81713,0.68412,0.78817,0.73858,0.8288,0.71713,0.68277,0.71491,0.67801,0.66419,0.50552,0.65285,0.67712,0.50495,0.66959,0.47909,0.62132,0.51751,0.47509,0.48672,0.56886,0.5649,0.53671,0.60429,0.45012,0.41294,0.31723,0.49247,0.26896,0.33519,0.28025,0.34472,0.23558,0.4855,0.28331,0.34925,0.43849,0.27611,0.029426,0.20533,0.21932,0.45451,0.30923,0.12877,0.28862,0.14564,0.1917,-0.029794,0.031214,0.19339,0.0011186,0.17636,0.29903,-0.011597,0.10484,0.1994,0.092069,0.14141,0.24107,0.18674,0.048829,0.21102,0.19026,0.14985,0.049497,0.020943,0.11606,0.126,0.11611,0.25212,0.15478,-0.0092669,0.072443,0.10057,0.33164,0.27873,0.048985,0.13307,-0.099744,0.060934,0.083486,-0.030013,0.14475,0.19137,-0.087343,0.17202,-0.086093,-0.035055,0.13013,0.0062303,0.047034,0.035302,0.11859,0.073481,0.092289,-0.14136,0.25525,0.015204,-0.2652,0.060653,-0.072442,-0.097705,-0.0074757,-0.1086,-0.028022,0.066218,0.0072824,-0.12091,-0.047162,-0.040038,0.20038,0.31809,0.02365,0.2683,0.12259,0.0051336,0.30966,0.019014,0.13726,-0.067179
4,0.81717,0.85112,0.81293,0.84508,1,0.76797,0.84477,0.78727,0.89242,0.76635,0.8224,0.80954,0.83069,0.81991,0.79311,0.77785,0.86774,0.81438,0.86487,0.77925,0.85864,0.8396,0.85733,0.83638,0.79438,0.81287,0.78756,0.87705,0.74668,0.74574,0.81003,0.78126,0.75568,0.81167,0.65848,0.75494,0.76431,0.8224,0.67323,0.62091,0.72715,0.77622,0.70585,0.58192,0.62744,0.53991,0.56012,0.68449,0.59303,0.63029,0.48138,0.5291,0.48113,0.35703,0.57178,0.49428,0.50389,0.49123,0.37294,0.31303,0.45566,0.25305,0.21846,0.28435,0.33481,0.28411,0.46767,0.28291,0.25499,0.36207,0.31513,-0.025525,0.24141,0.22848,0.58718,0.11166,0.21277,0.31095,0.18774,0.23653,0.059151,0.24409,-0.030567,0.041412,0.092341,0.17514,-0.056464,0.17549,0.25054,0.16249,0.059624,0.23439,0.085611,0.025433,0.16109,0.16859,0.17112,0.075104,0.17378,0.22477,0.22018,0.18183,0.26021,0.01402,0.097722,-0.0057052,0.1346,0.25807,0.28592,-0.031369,0.26166,-0.11898,-0.028638,0.13497,-0.068417,0.14139,0.12467,-0.05113,0.15426,0.0054965,-0.051111,0.012428,0.016247,0.22389,0.0099466,0.22422,-0.026469,0.15569,-0.079981,0.25216,0.0027631,-0.25421,0.027363,-0.061981,0.05375,-0.097534,-0.064726,0.042548,0.082166,-0.030416,-0.1686,-0.10867,-0.12871,0.15528,0.19232,0.061192,0.21126,0.29818,-0.038543,0.30212,-0.052988,0.11744,-0.033883
5,0.83958,0.82319,0.84639,0.80946,0.76797,1,0.81537,0.80404,0.8629,0.79906,0.80374,0.79457,0.83212,0.84717,0.80606,0.81552,0.88613,0.77394,0.80165,0.80031,0.77771,0.77403,0.80421,0.77723,0.82552,0.74502,0.82747,0.74792,0.73387,0.82695,0.81429,0.75053,0.78206,0.78212,0.70496,0.78667,0.72735,0.81081,0.70008,0.66426,0.63864,0.66572,0.54533,0.61532,0.69029,0.56351,0.62899,0.72301,0.57774,0.6183,0.51381,0.5027,0.34214,0.58509,0.48397,0.58393,0.58185,0.39559,0.51478,0.2626,0.363,0.23475,0.18329,0.28248,0.35751,0.34569,0.41942,0.21171,0.18349,0.47119,0.22485,-0.041154,0.19238,0.2559,0.39989,0.13336,0.11724,0.22228,0.15264,0.19481,0.17336,0.13607,0.24297,-0.017536,0.050678,0.25207,0.0032112,0.25286,0.31558,0.14725,0.035432,0.16442,0.25657,0.16452,0.16327,0.093073,-0.02371,-0.025551,0.071915,0.01575,0.25561,0.018323,0.20923,0.24589,-0.071472,0.040677,0.14476,0.40279,0.32474,-0.098831,0.16345,-0.088972,-0.024489,0.090853,0.012489,-0.026191,0.1151,-0.1511,0.27686,-0.02292,-0.02551,0.24573,-0.025179,0.032089,0.089086,0.04268,-0.042346,0.172,-0.076812,0.18912,0.15386,-0.31829,0.022999,-0.14194,-0.051877,-0.11237,0.049519,-0.035288,0.063446,0.23901,0.089219,0.0083358,0.04197,-0.032509,0.27524,-0.063132,0.17657,0.27331,0.062141,0.35922,0.037032,0.086716,-0.057708
6,0.87352,0.78921,0.82668,0.88037,0.84477,0.81537,1,0.87245,0.90004,0.81935,0.82511,0.85839,0.81773,0.84244,0.85214,0.82294,0.86664,0.85353,0.82251,0.79782,0.80905,0.79579,0.85141,0.83517,0.7699,0.80837,0.77756,0.80738,0.72395,0.76719,0.83385,0.82083,0.79935,0.82855,0.63798,0.78662,0.7989,0.85377,0.72965,0.64921,0.71418,0.72378,0.74601,0.58417,0.64839,0.61586,0.58504,0.63713,0.5464,0.61363,0.57442,0.42262,0.58017,0.42234,0.55312,0.44534,0.57428,0.58432,0.47157,0.34148,0.52071,0.23519,0.25667,0.26615,0.51411,0.24468,0.42049,0.26213,0.33131,0.45759,0.12981,0.16081,0.31511,0.21886,0.42051,0.14382,0.22397,0.32112,0.17713,0.18637,-0.030856,0.20701,0.046114,-0.053093,0.081964,0.34343,0.036005,0.12125,0.15246,0.21809,0.11965,0.22653,0.17508,0.11098,0.035819,0.22682,0.0058559,0.05705,0.14798,0.27246,0.18481,0.059992,0.2428,0.19517,0.044593,-0.03615,0.090638,0.34231,0.31503,0.029139,0.07872,-0.18191,-0.030388,0.16102,0.055076,0.05561,0.23264,-0.11368,0.15645,0.048763,-0.041906,0.10291,0.0071926,0.030343,0.081065,0.079275,-0.018068,0.14948,-0.13324,0.23174,-0.013956,-0.26142,0.060094,-0.091372,-0.02084,-0.19309,0.03346,0.078999,0.087881,-0.007353,-0.14565,-0.064219,-0.037685,0.052936,0.27477,0.017155,0.21722,0.15118,0.047441,0.3544,-0.053629,0.054863,-0.086992
7,0.79825,0.82628,0.80131,0.83169,0.78727,0.80404,0.87245,1,0.86783,0.77072,0.84139,0.80326,0.76035,0.79446,0.8023,0.79823,0.8448,0.81105,0.82566,0.72752,0.84342,0.73872,0.80122,0.76421,0.7624,0.78869,0.78491,0.81341,0.69886,0.76697,0.81636,0.77002,0.74916,0.80474,0.68842,0.77607,0.73189,0.80445,0.76442,0.65268,0.72926,0.62028,0.66648,0.57793,0.68964,0.60114,0.45065,0.60099,0.57727,0.66272,0.51069,0.4685,0.50104,0.51562,0.48863,0.52421,0.50153,0.46044,0.47543,0.29099,0.52022,0.26615,0.21343,0.29159,0.35532,0.27941,0.43959,0.18263,0.26197,0.39643,0.25623,0.0098614,0.19733,0.1944,0.3922,0.22497,0.11465,0.30287,0.044227,0.19863,-0.047871,0.12069,0.053713,-0.14746,0.12476,0.22004,0.033571,0.10017,0.12667,0.15001,-0.0034141,0.2062,0.22384,0.034823,0.13555,0.17286,-0.0045004,0.085933,-0.015279,0.2154,0.045063,0.12133,0.13843,0.211,-0.018777,0.0074664,0.15607,0.21448,0.20426,-0.00043462,0.14481,-0.259,-0.042828,0.14498,-0.08464,0.11565,0.084482,-0.081138,0.093804,0.10128,-0.048258,0.16676,0.22006,0.073422,-0.054628,0.040961,-0.032815,0.2089,-0.10215,0.26033,-0.011585,-0.27097,0.10746,-0.070779,-0.048351,-0.058318,0.01583,0.062777,0.21229,0.12165,-0.16517,0.15591,0.0042009,0.062617,0.29643,0.19218,0.24203,0.1973,0.1053,0.35559,-0.09557,0.06116,-0.17495
8,0.87844,0.87621,0.89172,0.90847,0.89242,0.8629,0.90004,0.86783,1,0.84078,0.8298,0.85826,0.83595,0.86658,0.83661,0.84343,0.88522,0.86631,0.87516,0.79896,0.86122,0.8368,0.86663,0.86347,0.83587,0.87331,0.82074,0.87677,0.83161,0.78062,0.84035,0.82891,0.7942,0.86634,0.70864,0.77473,0.77884,0.88411,0.73868,0.69731,0.76457,0.73625,0.67549,0.55906,0.74897,0.62404,0.55632,0.73615,0.57729,0.69849,0.56651,0.51258,0.46877,0.54869,0.53051,0.54015,0.64952,0.46938,0.47678,0.30248,0.45525,0.26955,0.16921,0.24902,0.38043,0.33281,0.38711,0.29403,0.30541,0.44373,0.3018,-0.040962,0.26663,0.25775,0.49372,0.22826,0.25204,0.31924,0.13106,0.20282,-0.017484,0.16398,0.1258,0.018209,0.13692,0.31127,-0.037848,0.22351,0.21458,0.21556,0.093295,0.13775,0.1519,0.089291,0.24252,0.16615,0.064191,-0.03223,0.13014,0.1392,0.18561,0.088067,0.25172,0.1653,0.0010781,0.076396,0.073607,0.31339,0.26712,-0.032418,0.17722,-0.064223,-0.056698,0.16452,-0.020313,0.030959,0.16913,-0.105,0.22776,-0.059163,0.012337,0.12246,0.0046745,0.018521,-0.040542,0.179,-0.053996,0.10473,-0.1877,0.21436,0.021133,-0.31763,0.017331,-0.1037,-0.0031677,-0.060703,0.023494,-0.00039448,0.11394,0.050589,-0.17497,-0.035825,-0.075623,0.072503,0.31661,0.018831,0.17871,0.21246,0.1142,0.37534,-0.015907,0.13706,-0.026301
9,0.83421,0.74161,0.84616,0.7471,0.76635,0.79906,0.81935,0.77072,0.84078,1,0.79315,0.75849,0.82385,0.82534,0.78743,0.7823,0.7953,0.82012,0.7834,0.67128,0.75165,0.72779,0.81863,0.79256,0.76772,0.74349,0.65813,0.77661,0.64334,0.70347,0.7695,0.71704,0.72447,0.77567,0.6252,0.702,0.65575,0.83154,0.70449,0.57886,0.62858,0.64219,0.59566,0.55584,0.64477,0.6562,0.52474,0.69735,0.53275,0.54228,0.45241,0.48319,0.47497,0.38193,0.39243,0.40087,0.56726,0.41171,0.38216,0.25368,0.34057,0.19921,0.22459,0.21381,0.45391,0.19158,0.43919,0.21563,0.27441,0.55344,0.1165,-0.081383,0.32201,0.16735,0.4324,0.16994,0.27563,0.17862,0.16447,0.17544,0.06852,0.29357,0.0426,0.085742,-0.050903,0.36917,0.13584,0.098574,0.32008,0.24169,0.29515,0.043592,0.31081,0.082357,0.11904,0.12065,0.0041641,0.034234,0.16901,0.17502,0.09243,0.071339,0.1468,0.10433,-0.038708,0.036216,0.047395,0.20034,0.24045,-0.079051,0.00040311,-0.0029673,0.0063749,0.241,0.014741,-0.030729,0.12855,-0.083525,0.2334,-0.012179,0.058975,0.057113,0.084696,0.092152,0.042609,0.079042,0.12851,0.23949,-0.19252,0.23823,0.083802,-0.16934,0.10634,-0.11737,0.022053,-0.18174,-0.0080466,0.041369,-0.08199,0.027398,-0.19332,0.025647,-0.10802,0.029602,0.28304,-0.14766,0.061989,0.12656,0.067332,0.40578,-0.029487,0.14167,-0.042042
