,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
0,1,0.83517,0.8119,0.83222,0.85573,0.76284,0.84041,0.79907,0.84783,0.81495,0.8755,0.85016,0.89037,0.83931,0.82407,0.7898,0.80887,0.90993,0.80483,0.82684,0.80602,0.86321,0.79269,0.84804,0.81993,0.85242,0.84568,0.81103,0.81676,0.75221,0.84228,0.89061,0.70781,0.83522,0.76527,0.77456,0.74534,0.72471,0.6903,0.65546,0.56471,0.79946,0.72337,0.55462,0.76622,0.54464,0.67308,0.68084,0.37193,0.61861,0.56509,0.39049,0.46566,0.41044,0.26188,0.50478,0.41494,0.33421,0.42895,0.44759,0.19695,0.62594,0.47553,0.12972,0.31758,0.27332,0.15262,0.26418,0.21589,0.3336,0.30546,0.19211,0.22679,0.29778,0.45753,0.089445,-0.050078,0.10388,0.28186,0.41772,0.044582,0.083387,0.040459,0.15129,0.04628,0.19589,-0.024912,0.10333,0.29992,0.26807,0.31279,-0.094306,0.12352,0.27237,0.023638,-0.0072206,0.17069,0.30692,-0.027917,0.32983,0.16211,-0.03673,0.056906,0.12024,-0.076063,-0.048515,0.34128,0.29502,0.14653,0.15762,-0.04914,0.34581,-0.083102,-0.1377,0.26821,-0.075183,-0.21703,0.16355,0.093539,-0.019281,0.091401,0.16821,0.097293,-0.017689,0.11663,-0.17725,0.07217,0.03573,-0.11487,0.25872,-0.036328,0.46154,0.16544,0.2351,0.063621,-0.0018912,-0.27219,0.034696,0.17028,-0.25551,0.11081,0.26161,0.039772,-0.23222,0.17793,0.1351,0.096576,-0.15688,-0.063994,0.27446,0.21563,0.24744,0.070862,-0.10097,0.056188,-0.33045,0.13741,0.053065
1,0.83517,1,0.88741,0.88996,0.83423,0.81516,0.91496,0.84463,0.83254,0.85919,0.87386,0.83835,0.86185,0.87785,0.84869,0.85774,0.85962,0.87082,0.78588,0.85192,0.833,0.90558,0.77646,0.84089,0.81793,0.79109,0.863,0.81564,0.87208,0.81545,0.78618,0.79669,0.64962,0.82712,0.82296,0.76154,0.8237,0.78676,0.7002,0.69697,0.66334,0.81912,0.73704,0.57504,0.68815,0.60941,0.63451,0.69427,0.40947,0.49701,0.52174,0.41601,0.52319,0.39392,0.27439,0.41445,0.44544,0.31938,0.46051,0.47128,0.26182,0.56192,0.52165,0.22971,0.42105,0.10847,0.21589,0.29735,0.26004,0.25776,0.30718,0.17488,0.16188,0.19267,0.45087,0.03021,0.067352,-0.057242,0.29624,0.34636,0.23589,0.22174,-0.097122,0.29579,0.044852,0.1624,-0.040455,-0.055939,0.40219,0.33554,0.28451,-0.037233,0.07224,0.15508,-0.013427,-0.008896,0.10138,0.34746,-0.0011135,0.46144,0.27634,-0.050393,0.081936,0.2265,-0.2718,0.036044,0.42143,0.369,0.22373,0.065196,0.062273,0.33821,-0.091346,-0.1024,0.1695,-0.064369,-0.15175,0.13319,0.035853,0.085685,-0.068385,0.047004,0.11517,0.10259,0.069193,-0.24721,-0.061528,0.056683,-0.078107,0.21123,-0.001941,0.30861,0.099683,0.15922,0.1523,-0.12329,-0.1049,0.06046,0.22268,-0.22716,-0.03327,0.23695,-0.035904,-0.2984,0.17608,0.17687,0.2163,-0.1892,-0.15998,0.32829,0.1064,0.35173,-0.021178,-0.11364,0.21283,-0.20373,0.13819,0.09994
2,0.8119,0.88741,1,0.81703,0.84861,0.82885,0.90969,0.81163,0.86848,0.85225,0.8666,0.81779,0.85913,0.8634,0.81016,0.80306,0.82966,0.86599,0.83079,0.80097,0.77642,0.85086,0.85312,0.84281,0.8546,0.84619,0.82827,0.81409,0.8624,0.7574,0.82398,0.78838,0.69521,0.77172,0.7924,0.78741,0.7687,0.71903,0.701,0.78687,0.67876,0.79026,0.68273,0.61334,0.66744,0.6295,0.60501,0.692,0.35713,0.57943,0.50796,0.4512,0.46857,0.39153,0.28476,0.41822,0.50988,0.20471,0.51036,0.49597,0.12175,0.59534,0.48149,0.25729,0.27559,0.21606,0.22217,0.29906,0.30579,0.28219,0.28366,0.31846,0.17958,0.23869,0.39507,0.045277,0.047222,0.063349,0.29292,0.34882,0.20441,0.2762,0.077753,0.332,0.11731,0.20981,-0.024639,0.074432,0.32892,0.36403,0.27034,-0.14716,-0.029802,0.15396,0.088784,-0.10378,0.17393,0.28329,-0.08881,0.37727,0.24121,0.023012,0.0046314,0.27282,-0.096823,-0.011326,0.37352,0.45219,0.25666,0.20282,-0.023201,0.42228,-0.013654,-0.018447,0.33452,-0.13627,-0.16706,0.099077,0.022052,0.058997,0.077352,-0.03728,0.18252,-0.023161,0.066673,-0.20778,-0.0081213,-0.033718,-0.067368,0.17624,-0.048734,0.24101,0.11076,0.21439,0.099388,-0.049963,-0.16047,0.14466,0.21778,-0.21738,-0.047615,0.074979,-0.12042,-0.31232,0.26743,0.20863,0.011885,-0.18482,-0.13027,0.1682,0.072983,0.34937,0.044316,-0.0016336,0.12206,-0.19706,0.20705,0.16257
3,0.83222,0.88996,0.81703,1,0.893,0.78828,0.87439,0.88538,0.85679,0.82312,0.83191,0.80281,0.83685,0.87274,0.89489,0.84571,0.84189,0.82047,0.81168,0.82457,0.76685,0.83602,0.74804,0.83116,0.82176,0.84869,0.83036,0.81358,0.84239,0.81968,0.80393,0.81849,0.62861,0.85727,0.81823,0.79259,0.82057,0.78254,0.72987,0.67861,0.65817,0.77894,0.76283,0.63055,0.69944,0.57804,0.6311,0.72408,0.37589,0.52314,0.48955,0.47982,0.52173,0.57864,0.31411,0.44768,0.55583,0.38231,0.55331,0.53129,0.35777,0.5352,0.55497,0.29771,0.40976,0.18526,0.31223,0.30854,0.17748,0.18226,0.24351,0.22659,0.2477,0.35051,0.4745,-0.03487,-0.001928,0.056829,0.31888,0.25619,0.11918,0.076873,-0.10845,0.18337,0.075436,0.15508,-0.052614,-0.040402,0.32627,0.32022,0.32484,-0.12968,0.16543,0.029423,0.047315,-0.11544,0.15784,0.32664,-0.11924,0.40109,0.19805,-0.12166,0.12025,0.18545,-0.29261,-0.081021,0.4332,0.34812,0.26056,0.081199,0.10298,0.51633,-0.13686,-0.20427,0.15094,-0.097934,-0.13478,0.13037,-0.083286,0.03175,0.0070386,0.11787,0.13743,0.0092061,0.014956,-0.27468,-0.092622,-0.029549,-0.16118,0.33284,0.012049,0.29383,0.11675,0.17351,0.016009,-0.0715,-0.025517,-0.0089929,0.15395,-0.21058,0.036953,0.30097,0.05277,-0.16984,0.11551,0.29474,0.14875,-0.052253,-0.13599,0.27395,0.20304,0.33269,0.059973,-0.1564,0.26731,-0.17283,0.13251,0.0060259
4,0.85573,0.83423,0.84861,0.893,1,0.80296,0.84906,0.83995,0.8288,0.81461,0.80293,0.79135,0.83597,0.85686,0.85054,0.83635,0.87009,0.88056,0.79934,0.79994,0.7375,0.8622,0.81385,0.8948,0.85007,0.87332,0.81559,0.78051,0.81029,0.79347,0.80156,0.81843,0.66044,0.81964,0.78333,0.79754,0.78941,0.75914,0.75659,0.68563,0.65967,0.77452,0.7207,0.53738,0.79748,0.55966,0.60844,0.70815,0.30007,0.57122,0.53261,0.5121,0.4428,0.52662,0.227,0.58,0.44366,0.36126,0.47311,0.45908,0.3262,0.54565,0.4534,0.26326,0.35959,0.15269,0.25407,0.25099,0.16711,0.22615,0.25431,0.26327,0.19846,0.28803,0.34824,-0.011034,-0.057779,0.10262,0.31318,0.3553,0.17609,0.16377,0.06572,0.21435,0.051545,0.2121,0.032014,0.083465,0.32403,0.34742,0.31022,-0.050075,0.14205,-0.0052944,-0.0019935,-0.096987,0.19115,0.39738,-0.10445,0.35808,0.19471,-0.080794,0.086821,0.15433,-0.13157,-0.096488,0.31597,0.41788,0.085693,0.11564,0.15994,0.46209,-0.12422,-0.12519,0.26784,-0.02535,-0.098989,0.28512,-0.0072352,-0.026999,0.15834,0.06597,0.14891,-0.0078982,0.038519,-0.20721,-0.082884,0.0084344,-0.091552,0.25947,-0.050908,0.30121,0.064,0.25944,0.084495,-0.084782,-0.1629,0.057399,0.10367,-0.13897,0.016911,0.20547,-0.018938,-0.16615,0.16926,0.28072,0.022231,-0.10061,-0.098192,0.22978,0.22466,0.34296,0.071356,-0.049902,0.12594,-0.24205,0.15168,-0.01808
5,0.76284,0.81516,0.82885,0.78828,0.80296,1,0.79121,0.76476,0.78103,0.77958,0.78074,0.7739,0.79637,0.74942,0.78307,0.71882,0.80986,0.84121,0.73437,0.77872,0.72369,0.7702,0.76603,0.79423,0.73389,0.72203,0.75143,0.78794,0.69029,0.66447,0.79961,0.69955,0.7181,0.68644,0.8019,0.64425,0.68768,0.72725,0.7195,0.59922,0.53667,0.66064,0.69812,0.56327,0.66969,0.60155,0.59418,0.72569,0.42293,0.57412,0.59083,0.36268,0.34636,0.42634,0.23563,0.32721,0.50856,0.32922,0.46692,0.46864,0.27975,0.46142,0.4313,0.24739,0.21402,0.11949,0.21598,0.26672,0.24876,0.11978,0.32492,0.20113,0.02683,0.26793,0.40661,0.029165,-0.059183,0.088308,0.29093,0.3489,0.15784,0.14662,0.086435,0.12231,0.066168,0.1464,-0.088833,0.018283,0.37037,0.23556,0.23839,-0.10727,0.021653,0.089223,0.063151,-0.064096,0.027105,0.30494,0.010658,0.47215,0.18503,-0.079311,0.078614,0.13951,-0.15,-0.07725,0.3019,0.27394,0.28979,0.10641,-0.037746,0.42849,0.037816,-0.10565,0.2084,-0.038977,-0.051009,0.2411,0.011702,-0.026049,0.12167,0.072284,0.096436,-0.041521,-0.035188,-0.33548,-0.044481,-0.12071,-0.087629,0.24453,0.054281,0.36243,0.12738,0.30638,0.085944,-0.17561,-0.17623,0.040694,0.11498,-0.26125,-0.10532,0.18891,-0.078339,-0.25457,0.16737,0.10036,-0.032898,-0.072797,-0.1681,0.13292,0.19276,0.16236,0.049289,-0.069789,0.19709,-0.24403,0.13724,0.25638
6,0.84041,0.91496,0.90969,0.87439,0.84906,0.79121,1,0.84418,0.85227,0.87557,0.88708,0.82665,0.86532,0.85103,0.83821,0.82395,0.81405,0.86187,0.79076,0.84306,0.78154,0.85643,0.81685,0.84615,0.85629,0.80668,0.87778,0.83632,0.86774,0.79817,0.83806,0.80383,0.69707,0.84041,0.82391,0.79108,0.84013,0.78894,0.76468,0.73867,0.70976,0.8116,0.74452,0.63489,0.71876,0.72554,0.67909,0.65408,0.35175,0.47949,0.54508,0.4531,0.60164,0.40364,0.29243,0.45147,0.43833,0.24298,0.51063,0.53627,0.23492,0.59962,0.46669,0.20194,0.3458,0.20841,0.20079,0.17766,0.29607,0.23177,0.30457,0.28931,0.18193,0.28056,0.31444,0.037859,0.079593,-0.037346,0.21174,0.3018,0.16199,0.20443,-0.074992,0.28117,0.0090351,0.19441,-0.060209,-0.026673,0.32914,0.35839,0.29713,-0.17598,0.028143,0.18616,0.066039,-0.033615,0.17198,0.33117,0.065297,0.38175,0.16719,-0.0045054,0.025996,0.19572,-0.2082,0.079488,0.45013,0.445,0.19172,0.1685,0.0046915,0.38419,0.0035625,-0.049252,0.22999,-0.15101,-0.14811,0.17776,-0.085185,-0.0373,0.086712,0.057422,0.13035,-0.057505,0.021958,-0.24558,-0.070373,0.02374,-0.067271,0.26503,0.059496,0.2402,0.03821,0.17447,0.10697,-0.014681,-0.080641,0.064694,0.17476,-0.20962,-0.07633,0.27593,0.0086287,-0.30231,0.090588,0.2065,0.19628,-0.098032,-0.15044,0.30426,0.093296,0.29527,0.070315,-0.12101,0.17346,-0.19059,0.26599,0.054365
7,0.79907,0.84463,0.81163,0.88538,0.83995,0.76476,0.84418,1,0.82136,0.80955,0.80661,0.78111,0.84563,0.87722,0.85503,0.77565,0.77147,0.82661,0.81388,0.81539,0.7698,0.82384,0.74247,0.81504,0.79276,0.83218,0.83735,0.80113,0.77514,0.83235,0.76736,0.79163,0.6062,0.83217,0.82884,0.77493,0.78874,0.7948,0.72842,0.73129,0.68096,0.79873,0.72519,0.64041,0.60378,0.59009,0.59827,0.71519,0.49709,0.51785,0.50999,0.45412,0.4255,0.50561,0.35526,0.38988,0.56045,0.24937,0.46758,0.48828,0.21385,0.47823,0.56783,0.18372,0.43392,0.30496,0.35254,0.1655,0.25948,0.27489,0.22232,0.19433,0.2113,0.21772,0.41355,-0.019303,0.027428,0.13065,0.060859,0.32888,0.13067,0.022106,-0.081302,0.14465,-0.041703,0.30184,-0.02689,0.012386,0.28411,0.36093,0.34661,-0.2108,0.13169,0.20333,0.065738,-0.036882,0.086057,0.229,0.038589,0.40434,0.12971,-0.087688,0.1544,0.22896,-0.19775,-0.085148,0.32445,0.32889,0.22729,0.19904,0.1074,0.50046,-0.040265,-0.17278,0.097285,-0.14191,-0.11196,0.14106,-0.035083,-0.00037044,0.11662,0.047896,0.020452,0.052232,0.0073956,-0.26155,-0.10202,0.021104,-0.012441,0.19533,0.050438,0.33524,0.16003,0.14264,-0.040527,-0.085693,-0.10629,0.065497,0.10563,-0.18038,-0.02078,0.17507,-0.098441,-0.14249,0.1308,0.25398,0.18501,-0.067132,-0.095788,0.34411,0.14501,0.34133,0.13433,-0.22368,0.16726,-0.16169,0.12157,0.0035386
8,0.84783,0.83254,0.86848,0.85679,0.8288,0.78103,0.85227,0.82136,1,0.86119,0.8829,0.86143,0.85248,0.84305,0.83772,0.83206,0.79258,0.82651,0.83343,0.8426,0.76927,0.82579,0.85308,0.85657,0.88849,0.82374,0.84764,0.82161,0.83474,0.77172,0.86067,0.85124,0.71942,0.83283,0.79219,0.72669,0.77438,0.72069,0.65438,0.74141,0.62673,0.74665,0.74594,0.72165,0.69402,0.61087,0.6642,0.68774,0.38354,0.64262,0.56742,0.47088,0.55145,0.46686,0.34876,0.49693,0.60104,0.23759,0.60527,0.49114,0.073851,0.5468,0.48394,0.1969,0.27441,0.31081,0.22933,0.37769,0.21223,0.19227,0.18408,0.28461,0.19634,0.21665,0.46143,-0.057701,0.045562,0.14281,0.32567,0.32345,0.12673,0.13419,0.022902,0.23682,0.16675,0.29338,-0.045718,0.0107,0.42299,0.37221,0.28069,-0.081281,0.02817,0.17496,-0.058265,-0.017578,0.13197,0.31704,-0.13807,0.32731,0.059495,-0.15951,-0.028067,0.27705,-0.12252,-0.16983,0.30176,0.37332,0.30756,0.1867,0.063347,0.47161,-0.14513,-0.15945,0.18572,-0.066529,-0.22874,0.072756,-0.058284,0.0077053,0.019053,0.10699,0.17545,-0.082322,0.1222,-0.22225,-0.13927,0.0050693,-0.16617,0.29645,0.0021947,0.24479,0.10908,0.26413,0.069452,-0.018761,-0.15189,0.085301,0.050671,-0.20251,0.049625,0.25947,0.0056575,-0.23521,0.29162,0.12855,0.05837,-0.13651,-0.071279,0.19837,0.12165,0.22704,0.043048,-0.036209,0.20315,-0.23489,0.21165,0.09758
9,0.81495,0.85919,0.85225,0.82312,0.81461,0.77958,0.87557,0.80955,0.86119,1,0.87499,0.82788,0.8661,0.83665,0.79258,0.71497,0.84574,0.84406,0.84856,0.83187,0.81578,0.85494,0.81612,0.85001,0.81073,0.76298,0.86034,0.79977,0.77404,0.75161,0.7912,0.80186,0.71876,0.8475,0.81919,0.76232,0.78401,0.78119,0.71446,0.72062,0.72837,0.76466,0.71335,0.5806,0.70932,0.61138,0.61972,0.65419,0.44328,0.53892,0.50496,0.45923,0.35785,0.41047,0.27958,0.46196,0.51296,0.39983,0.42749,0.41199,0.17719,0.52083,0.44601,0.10028,0.2527,0.21075,0.18934,0.34124,0.30525,0.2457,0.23105,0.15266,0.048185,0.28451,0.38972,-0.043495,0.11237,0.062474,0.22858,0.41379,0.13423,0.20955,-0.01502,0.26484,0.069238,0.21129,-0.029975,0.10293,0.38122,0.2448,0.28655,-0.10024,0.039159,0.18069,0.12405,-0.085352,0.15967,0.33699,-0.005181,0.45142,0.14029,-0.17996,0.068152,0.14659,-0.24783,-0.080536,0.34011,0.26202,0.18204,0.19193,0.12627,0.40079,-0.2156,-0.068704,0.15207,-0.067127,-0.041225,0.11672,-0.055459,-0.01667,0.014397,0.048711,0.15152,-0.019028,0.083294,-0.25847,-0.092135,0.04691,-0.03978,0.251,-0.053045,0.21037,0.071017,0.28477,0.00029356,0.04897,-0.088242,-0.063475,0.20682,-0.17428,-0.06674,0.25896,-0.10328,-0.2815,0.23624,0.063106,0.098408,-0.16615,-0.12281,0.32269,0.09882,0.15831,-0.071291,-0.006026,0.26514,-0.21491,0.17868,-0.10938
