,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
0,1,0.87311,0.85473,0.74936,0.77093,0.87746,0.88363,0.84388,0.84801,0.85302,0.84841,0.79588,0.85709,0.87441,0.80806,0.84589,0.87222,0.82347,0.8153,0.83047,0.76697,0.82283,0.81537,0.85102,0.80906,0.79743,0.7416,0.85279,0.80589,0.80228,0.77661,0.7665,0.84333,0.79506,0.77057,0.83187,0.67524,0.74667,0.74783,0.7251,0.68037,0.76072,0.66215,0.67752,0.60352,0.71291,0.58286,0.69326,0.70823,0.54147,0.48196,0.37489,0.43573,0.69842,0.41289,0.23035,0.56544,0.36411,0.43686,0.3171,0.3017,0.17936,0.40759,0.22065,0.40034,0.39392,0.32692,0.21993,-0.15603,0.27708,0.27468,0.3712,0.32534,0.37442,0.15141,0.26763,0.32386,0.26999,0.27603,0.30021,-0.10741,0.16155,0.3274,0.38066,0.052656,0.096656,0.032538,0.3348,-0.0027954,0.16143,-0.0052215,0.38396,0.21285,0.17893,0.29321,0.045281,0.24091,0.20531,-0.19015,0.056454,0.062909,-0.056766,0.0080596,-0.060714,0.20898,-0.078043,0.029847,0.25928,0.22173,0.33302,0.27309,-0.050888,0.16681,0.0027668,0.28857,-0.078015,0.12095,0.18319,0.038857,-0.1255,0.0090981,-0.064401,0.10031,-0.33749,0.18366,0.047366,0.12887,0.14725,0.039123,-0.12123,-0.11781,-0.19292,-0.0864,0.031956,0.049052,0.031823,0.067713,0.32587,0.23983,0.020115,-0.046458,0.36101,-0.23418,-0.19028,0.076292,-0.1471,0.14108,0.007054,-0.27403,0.21417,-0.053247,0.1621,0.1499,0.25542,-0.23369,0.082607,0.22205,0.077541,-0.05809,0.14408,-0.3769,0.15527,0.065389
1,0.87311,1,0.85015,0.83368,0.87576,0.87987,0.87797,0.88426,0.82966,0.87444,0.86952,0.85694,0.87544,0.88921,0.83361,0.86008,0.86424,0.81784,0.84401,0.88283,0.77748,0.74592,0.84613,0.847,0.85653,0.8331,0.82068,0.88776,0.80683,0.81641,0.80845,0.84161,0.80728,0.79692,0.78081,0.75785,0.76652,0.7938,0.71981,0.72303,0.72527,0.69776,0.67377,0.70901,0.61237,0.68377,0.62952,0.68904,0.65493,0.51114,0.51134,0.48103,0.51136,0.60671,0.31315,0.30367,0.56148,0.29459,0.56276,0.36671,0.25191,0.224,0.34424,0.20793,0.44088,0.43696,0.25808,0.18509,-0.037845,0.26535,0.27899,0.314,0.37885,0.31751,0.05974,0.19986,0.20795,0.3267,0.1845,0.20099,-0.019128,0.068304,0.32425,0.28116,0.028162,0.1487,-0.015321,0.35279,0.025838,0.1189,-0.052307,0.27793,0.13575,0.20964,0.28323,-0.0098903,0.27067,0.32496,-0.19276,0.054944,0.18792,0.075536,-0.042805,-0.10647,0.21658,-0.16266,0.054705,0.23021,0.097286,0.28384,0.28416,0.026278,0.06681,0.043191,0.31015,0.073337,0.20495,0.086606,-0.075551,-0.041215,-0.027412,0.02462,0.055609,-0.37633,0.097904,0.020054,0.073797,0.04737,0.042122,0.0061417,-0.15067,-0.19188,-0.11276,0.014975,-0.022999,-0.013005,0.04343,0.2234,0.16365,-0.070347,-0.12774,0.32885,-0.12096,-0.042245,0.08588,-0.11186,0.069642,0.021213,-0.3444,0.20564,-0.035141,0.019785,0.138,0.24851,-0.21216,0.16942,0.13783,-0.0041926,0.01812,0.087613,-0.36267,0.22287,0.19824
2,0.85473,0.85015,1,0.78685,0.86245,0.82167,0.87917,0.76419,0.84368,0.88588,0.84347,0.82435,0.8038,0.85579,0.84693,0.80364,0.79897,0.82661,0.82937,0.82441,0.83245,0.75997,0.71226,0.80127,0.79657,0.84603,0.8,0.85295,0.78059,0.74543,0.71777,0.75591,0.78724,0.82465,0.84279,0.79449,0.80616,0.79444,0.78243,0.68497,0.63444,0.64784,0.67844,0.70376,0.58187,0.7294,0.7008,0.69566,0.68286,0.56979,0.45671,0.51289,0.55632,0.66392,0.46892,0.34133,0.54496,0.37044,0.373,0.41947,0.30173,0.23682,0.37914,0.2777,0.36884,0.27739,0.32032,0.29347,-0.18457,0.2052,0.19649,0.29027,0.2604,0.25468,0.21664,0.22706,0.24565,0.30617,0.22956,0.25945,-0.029491,0.27252,0.3309,0.27126,0.080179,0.041878,0.057748,0.31513,0.027135,0.18026,-0.016944,0.36985,0.19231,0.2527,0.30804,0.019068,0.23257,0.24573,-0.21159,0.023075,0.18505,-0.030146,0.10112,0.05091,0.21611,-0.24029,-0.024895,0.28115,0.10748,0.28133,0.20779,0.096232,0.084228,0.036148,0.26126,-0.067838,0.28726,0.15486,0.14163,-0.17611,-0.038837,-0.071416,0.061209,-0.30926,0.15707,0.014415,0.090903,0.13091,0.062517,-0.051191,-0.14058,-0.21606,-0.20865,0.090293,0.082373,-0.073798,0.070278,0.21278,0.15824,-0.054468,-0.081797,0.24692,-0.062972,-0.23005,0.13174,-0.14326,0.033826,-0.082134,-0.31233,0.21724,0.061255,0.11422,0.17593,0.12558,-0.19716,0.078696,0.17332,0.12971,0.11602,0.090176,-0.27582,0.18446,0.076611
3,0.74936,0.83368,0.78685,1,0.7608,0.86497,0.76218,0.79113,0.7628,0.81156,0.7958,0.76765,0.76937,0.78694,0.74195,0.81135,0.71235,0.75088,0.73106,0.73391,0.75053,0.63701,0.71046,0.75758,0.76858,0.71745,0.78969,0.83591,0.69422,0.77993,0.69867,0.74474,0.7313,0.73587,0.76098,0.64623,0.71491,0.73067,0.68929,0.57604,0.64165,0.68638,0.5804,0.6869,0.54602,0.63147,0.47637,0.58538,0.48771,0.55164,0.49488,0.47026,0.5029,0.52352,0.53639,0.31291,0.56757,0.31931,0.42654,0.28595,0.25823,0.37145,0.32537,0.17568,0.55668,0.23456,0.24333,0.12866,-0.041491,0.28561,0.25909,0.23972,0.31389,0.17465,0.23112,0.14682,0.11611,0.34122,0.16371,0.15884,-0.037193,0.18522,0.33815,0.28453,0.019535,0.046716,0.041181,0.37969,-0.04912,-0.013084,-0.015479,0.16766,0.12642,0.27238,0.2929,-0.025157,0.21092,0.32908,-0.31647,0.060161,0.21573,0.058744,-0.046734,-0.05786,0.1183,-0.14266,-0.031009,0.24452,-0.068026,0.218,0.38798,0.10337,0.12186,0.10272,0.3524,0.0062138,0.30632,0.1099,0.02924,-0.26922,-0.08009,-0.036038,0.073516,-0.19819,-0.0066915,0.07964,0.12363,0.081265,0.08851,-0.082709,-0.090105,-0.30672,-0.22802,0.090219,-0.033344,0.18296,0.12223,0.32634,0.091241,-0.24304,-0.25851,0.34543,-0.0018805,-0.17849,0.042993,-0.18903,0.11279,-0.031856,-0.24421,0.24735,-0.15359,-0.024496,0.20475,0.19786,-0.19698,0.24446,0.12193,0.06003,0.097264,0.095153,-0.29075,0.35744,0.046574
4,0.77093,0.87576,0.86245,0.7608,1,0.77147,0.8446,0.78546,0.84133,0.82334,0.82185,0.83687,0.82841,0.80439,0.76542,0.80274,0.75263,0.77789,0.77061,0.77462,0.81433,0.72439,0.70766,0.79639,0.78045,0.83584,0.79547,0.79817,0.77614,0.76547,0.72852,0.72327,0.73936,0.81485,0.76834,0.80184,0.74775,0.80799,0.75116,0.68786,0.57345,0.65212,0.76436,0.7124,0.5947,0.647,0.5746,0.59422,0.63317,0.47784,0.4952,0.57366,0.60014,0.5837,0.25615,0.44723,0.49778,0.4541,0.4864,0.33741,0.2626,0.3044,0.35665,0.1631,0.43877,0.371,0.4096,0.27364,0.020498,0.30181,0.26388,0.22217,0.38636,0.25356,0.22419,0.11493,0.19714,0.24422,0.080361,0.22658,-0.027773,0.19076,0.34932,0.2141,-0.050337,0.099852,0.094632,0.23933,0.096302,0.11638,0.018051,0.29011,0.13093,0.29017,0.35028,0.035529,0.27952,0.25402,-0.22189,-0.074955,0.22077,0.077909,0.09654,-0.009352,0.21432,-0.13452,-0.0016471,0.089276,0.1005,0.28691,0.29172,0.089534,0.19988,0.13732,0.17837,-0.0019655,0.18749,0.143,0.05373,-0.086088,-0.018066,0.061806,0.058996,-0.29893,-0.017721,0.049038,0.12684,0.20494,0.074471,-0.046397,-0.21751,-0.14134,-0.1518,0.072858,-0.017216,-0.050577,0.080535,0.20235,0.10052,-0.056457,-0.15568,0.33699,-0.16605,-0.17331,0.036203,-0.006676,0.04344,-0.036081,-0.30179,0.21885,-0.011926,0.14251,0.12811,0.20429,-0.13389,0.13603,0.064455,0.10025,-0.026208,0.2245,-0.33696,0.23378,0.21421
5,0.87746,0.87987,0.82167,0.86497,0.77147,1,0.88182,0.81429,0.80852,0.86449,0.86192,0.79373,0.85854,0.86267,0.83338,0.85452,0.83093,0.78747,0.77794,0.78459,0.76031,0.70903,0.80735,0.79764,0.83346,0.82112,0.7728,0.90101,0.77254,0.80889,0.83057,0.79108,0.79526,0.81298,0.77574,0.74935,0.74666,0.75673,0.75192,0.69279,0.68737,0.77248,0.62242,0.74143,0.57461,0.71091,0.52928,0.70087,0.62725,0.54177,0.543,0.39342,0.44267,0.58802,0.42538,0.22535,0.59928,0.35159,0.46992,0.26211,0.32458,0.3218,0.3444,0.25988,0.45951,0.34573,0.32909,0.14545,-0.12964,0.33496,0.36335,0.35104,0.35915,0.29855,0.21689,0.23756,0.26168,0.34818,0.26377,0.24369,-0.048301,0.14719,0.31716,0.26838,-0.00010252,0.025974,-0.043657,0.43684,-0.040769,0.11838,-0.032684,0.34829,0.20262,0.26268,0.17106,-0.094363,0.19466,0.21263,-0.24134,0.20435,0.19769,0.080115,-0.03603,-0.21548,0.14962,-0.15885,0.10243,0.35027,0.13746,0.26215,0.28782,0.008874,0.12566,0.045617,0.28562,-0.031062,0.2385,0.20274,-0.0044144,-0.15347,-0.095803,0.0012409,0.045296,-0.23728,0.068913,0.05867,0.094258,0.068293,-0.0073752,-0.093159,-0.082877,-0.37603,-0.12863,0.022664,0.059166,0.12495,0.02091,0.27195,0.21752,-0.17275,-0.097985,0.30395,-0.15325,-0.21344,0.035894,-0.14609,0.17124,-0.04509,-0.39746,0.24534,-0.1034,0.10848,0.19062,0.15304,-0.18235,0.18484,0.18168,0.044462,-0.041362,0.17227,-0.38403,0.29161,0.11911
6,0.88363,0.87797,0.87917,0.76218,0.8446,0.88182,1,0.85332,0.85446,0.87945,0.86079,0.83546,0.84525,0.84794,0.82507,0.8849,0.82111,0.83985,0.82963,0.84031,0.77675,0.83415,0.7828,0.82906,0.81336,0.86937,0.80579,0.86879,0.82117,0.83828,0.77645,0.81346,0.7836,0.83365,0.81964,0.79751,0.73031,0.80308,0.77495,0.68105,0.65639,0.75804,0.66937,0.67236,0.63959,0.78092,0.5931,0.7278,0.73355,0.52056,0.4942,0.48528,0.489,0.67303,0.43165,0.30241,0.61786,0.40264,0.47129,0.34987,0.33729,0.25159,0.4048,0.28344,0.36692,0.41542,0.4063,0.28299,-0.10521,0.3173,0.28266,0.36509,0.36094,0.36641,0.22322,0.36891,0.24456,0.34957,0.15182,0.23839,0.055003,0.10856,0.18966,0.36006,0.037046,0.061241,-0.046971,0.2784,-0.019514,0.23063,0.16815,0.35918,0.22538,0.27743,0.32077,-0.040987,0.25527,0.24665,-0.18928,0.10894,0.19126,0.057251,0.029766,-0.067133,0.18941,-0.20255,0.087761,0.2486,0.15813,0.29495,0.2507,0.05003,0.12664,0.044866,0.27939,-0.024648,0.17704,0.23194,-0.018405,-0.14407,0.014879,0.08202,0.13516,-0.35543,0.074728,0.054975,0.0016469,0.16375,-0.0026106,-0.025604,-0.097821,-0.25411,-0.10786,0.068425,0.023789,0.0066807,-0.012315,0.24543,0.19561,-0.026213,-0.12098,0.32217,-0.16407,-0.19522,0.062235,-0.12094,-0.020721,0.012706,-0.33514,0.25451,0.0055295,0.019645,0.097263,0.23286,-0.19216,0.18862,0.13633,0.077274,-0.11144,0.026177,-0.3713,0.179,0.13556
7,0.84388,0.88426,0.76419,0.79113,0.78546,0.81429,0.85332,1,0.82721,0.78723,0.8365,0.76181,0.80391,0.82787,0.77716,0.84045,0.80091,0.79561,0.81044,0.75696,0.77032,0.75426,0.71599,0.84399,0.78254,0.79314,0.76721,0.88445,0.80553,0.86434,0.74356,0.81738,0.73639,0.73167,0.76159,0.75132,0.63925,0.75685,0.70704,0.68764,0.60147,0.70033,0.54617,0.66781,0.57464,0.6423,0.52133,0.60941,0.59402,0.38296,0.50969,0.43556,0.49994,0.6571,0.3796,0.21007,0.53558,0.32337,0.54689,0.3097,0.29486,0.15166,0.38592,0.26896,0.44458,0.41194,0.29926,0.31147,-0.01631,0.40606,0.23763,0.40629,0.21743,0.2819,0.1533,0.24978,0.28367,0.20021,0.13264,0.18416,-0.021088,0.10667,0.25753,0.3578,-0.092401,0.19904,-0.1175,0.27241,0.068229,0.072962,0.065172,0.23613,0.19058,0.16627,0.24988,0.075813,0.22846,0.26269,-0.17834,-0.037639,0.092517,0.068802,-0.14173,-0.029739,0.1602,-0.077081,0.049504,0.30478,0.15815,0.2277,0.28909,0.1008,0.16923,0.063165,0.38624,0.018475,0.22335,0.068356,-0.094403,-0.12934,0.12839,0.025054,0.15378,-0.33614,0.0027182,0.099872,0.098232,0.1183,0.10412,-0.028736,0.079187,-0.13872,-0.11366,0.0947,-0.055679,-0.027316,-0.028287,0.24171,0.26868,-0.043374,-0.073856,0.39786,-0.27984,-0.029886,0.17437,-0.16992,0.025885,0.11366,-0.38156,0.33881,-0.068431,-0.051961,0.095896,0.26166,-0.21943,0.16113,0.20371,0.066908,-0.1014,0.081919,-0.38795,0.1089,0.091635
8,0.84801,0.82966,0.84368,0.7628,0.84133,0.80852,0.85446,0.82721,1,0.83086,0.82993,0.74925,0.85705,0.80026,0.8098,0.8305,0.69128,0.80515,0.78834,0.75128,0.78657,0.78385,0.68004,0.8537,0.78896,0.79651,0.76371,0.81822,0.78159,0.81589,0.70245,0.78139,0.79363,0.816,0.81716,0.81034,0.80129,0.72352,0.76311,0.64556,0.54357,0.66177,0.58391,0.617,0.59787,0.66639,0.5308,0.60204,0.70992,0.55084,0.46163,0.47871,0.43506,0.68347,0.36337,0.30217,0.54026,0.34906,0.50786,0.381,0.30441,0.33952,0.44395,0.27784,0.44075,0.37577,0.37111,0.39191,-0.14189,0.17221,0.18703,0.27036,0.29755,0.31421,0.1321,0.26769,0.26885,0.24401,0.078361,0.28924,-0.030807,0.11657,0.41102,0.37291,-0.043955,0.05793,0.088156,0.20052,0.074879,-0.01502,0.03461,0.34577,0.18964,0.19084,0.2962,-0.0013397,0.25516,0.28254,-0.1399,-0.048097,0.15437,-0.086828,0.0054704,0.022917,0.14005,-0.16295,0.090482,0.22251,0.15777,0.29731,0.21345,-0.030825,0.09506,0.011406,0.21266,0.0019756,0.20137,0.25602,0.14675,-0.114,0.094826,-0.038979,0.040826,-0.33151,0.051813,-0.013113,0.12749,0.20402,0.15909,-0.049595,-0.021082,-0.13385,-0.086609,0.028883,0.045728,-0.057541,0.079627,0.36081,0.12432,-0.074944,-0.15889,0.36805,-0.084722,-0.17722,0.14628,-0.23105,0.11117,-0.067999,-0.39676,0.21963,-0.02745,0.080655,0.16918,0.17769,-0.23907,0.10781,0.20327,-0.0035734,-0.026285,0.14168,-0.3095,0.12637,0.089012
9,0.85302,0.87444,0.88588,0.81156,0.82334,0.86449,0.87945,0.78723,0.83086,1,0.81966,0.7915,0.81932,0.78595,0.83688,0.86763,0.81158,0.80467,0.79443,0.86969,0.7711,0.81334,0.78134,0.80351,0.82093,0.77334,0.81752,0.81713,0.78639,0.76339,0.69413,0.80339,0.80888,0.80757,0.82805,0.73026,0.79761,0.70914,0.69432,0.72194,0.69267,0.6861,0.69533,0.68542,0.52521,0.76794,0.60444,0.66969,0.72288,0.55121,0.44737,0.54959,0.46665,0.54743,0.31493,0.28193,0.55529,0.36279,0.45233,0.36195,0.29391,0.29207,0.40516,0.24873,0.43346,0.35838,0.26858,0.23927,-0.09595,0.21715,0.2733,0.25029,0.28361,0.26206,0.099427,0.22691,0.30506,0.26407,0.21242,0.29994,-0.0033062,0.27953,0.27781,0.36881,0.035497,0.094903,-0.030728,0.2899,-0.10226,0.14914,-0.027417,0.27861,0.18525,0.31776,0.27507,0.031861,0.15569,0.22433,-0.20254,0.0051957,0.19674,0.030529,-0.002609,-0.038746,0.14519,-0.11682,0.09764,0.13462,0.14697,0.20315,0.23903,0.085738,0.11266,-0.060747,0.23468,0.063325,0.17933,0.24031,0.066798,-0.099763,-0.11351,-0.12301,0.0080581,-0.28973,0.15775,-0.0064136,0.071926,0.046062,0.041531,-0.00024061,-0.16235,-0.23891,-0.11809,0.11663,-0.030889,0.098365,0.13185,0.18592,0.088755,-0.018834,-0.20635,0.38717,-0.09229,-0.21979,0.058917,-0.12878,0.036787,-0.08069,-0.29336,0.12258,-0.015055,0.046021,0.15851,0.23614,-0.26032,0.17514,0.20576,0.035156,0.096461,0.044398,-0.34668,0.23717,0.11845
