,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,1,0.90059,0.91366,0.86255,0.90117,0.90983,0.90403,0.85957,0.8828,0.91065,0.85095,0.80363,0.88393,0.86065,0.81196,0.85586,0.84281,0.90163,0.84809,0.7769,0.86538,0.76122,0.73941,0.76656,0.79812,0.6268,0.70842,0.69473,0.72625,0.76514,0.60143,0.63033,0.67957,0.53828,0.20243,0.53794,0.45208,0.48315,0.42316,0.17588,0.33698,-0.024612,0.28647,0.33791,0.13642,0.1004,0.095479,-0.040359,0.023175,-0.0045523,-0.084316,-0.25299,-0.22435,-0.12809,-0.058783,-0.25206,0.052089,-0.0064342,-0.16782,0.1415,-0.16849,-0.050733,-0.13303,0.061859,-0.23919,0.13785,-0.199,0.15642,0.10821,-0.071532,-0.070377,-0.22115,-0.20469,-0.13099,-0.15099,-0.018405,0.43193,-0.043983,-0.074029,-0.19247,-0.22001,-0.015515,-0.045484,-0.0052734,0.13291,0.048654,-0.083269,-0.27195,-0.017069,-0.056059,-0.037015,0.027333,-0.20414,-0.16573,0.32231,-0.14681,0.14385,0.024517,0.1441,-0.0028762,-0.11263,-0.032752,0.35772,-0.016386,0.21994
1,0.90059,1,0.90938,0.84708,0.89749,0.87248,0.88626,0.85927,0.88812,0.84527,0.87868,0.80702,0.88022,0.84516,0.82533,0.86326,0.85286,0.89611,0.81342,0.76874,0.82839,0.80269,0.76109,0.82341,0.74838,0.57617,0.68198,0.66444,0.75107,0.72535,0.57157,0.61675,0.70794,0.51839,0.23143,0.53406,0.45708,0.47573,0.34996,0.20991,0.37609,-0.052911,0.3123,0.2525,0.13669,0.13018,0.27599,0.043815,-0.043843,-0.063851,-0.14144,-0.15929,-0.17925,-0.13305,-0.033331,-0.31554,0.050054,0.037287,-0.21187,0.18646,-0.22888,-0.014096,-0.13736,0.2,-0.17401,0.070895,-0.2031,0.17039,0.036246,0.1425,-0.037457,-0.19451,-0.16195,-0.2039,-0.078973,-0.057985,0.36858,-0.13547,-0.15528,-0.26722,-0.29345,0.080642,-0.04537,-0.082623,0.048451,0.071442,-0.12937,-0.23586,-0.040667,-0.075261,-0.084787,0.058003,-0.25867,-0.1511,0.379,-0.279,0.13045,-0.057053,0.061667,-0.024263,-0.02957,0.040248,0.26115,0.0021612,0.26295
2,0.91366,0.90938,1,0.85623,0.8406,0.86941,0.84291,0.79281,0.84924,0.87075,0.85344,0.75109,0.85818,0.80876,0.7492,0.84077,0.82886,0.86735,0.84715,0.74256,0.77573,0.77984,0.72205,0.77233,0.75463,0.62359,0.70016,0.60037,0.70815,0.64443,0.48504,0.55777,0.728,0.51748,0.157,0.55096,0.51295,0.54916,0.3916,0.12129,0.32284,-0.0045967,0.31528,0.21921,0.17323,0.10262,0.10602,-0.044975,-0.053185,-0.055569,0.0067279,-0.22046,-0.18513,-0.21784,-0.097866,-0.31153,0.071559,-0.026524,-0.10098,0.053769,-0.091062,0.015499,-0.036084,0.11098,-0.24848,0.067419,-0.14492,0.16878,0.013428,-0.035549,-0.10286,-0.19295,-0.23665,-0.13305,-0.21773,0.018356,0.43632,-0.16702,-0.054703,-0.33739,-0.24845,0.10178,-0.056208,-0.024752,0.14505,0.13554,-0.15875,-0.22841,-0.076693,-0.11174,-0.04959,0.0079279,-0.25772,-0.10601,0.27173,-0.17183,0.1771,-0.058899,0.14867,-0.041091,-0.090327,-0.012681,0.32204,-0.051524,0.14681
3,0.86255,0.84708,0.85623,1,0.78343,0.81866,0.7738,0.78969,0.78665,0.88317,0.81958,0.78404,0.80468,0.75054,0.73776,0.81713,0.77656,0.80232,0.8009,0.70797,0.78336,0.77088,0.65486,0.71023,0.73949,0.53738,0.53566,0.66633,0.72202,0.60269,0.53482,0.46817,0.62576,0.4455,0.28349,0.42954,0.44544,0.38634,0.31046,0.20104,0.42593,-0.085941,0.33753,0.24598,0.10274,0.076374,0.048128,0.051998,-0.042451,-0.083836,-0.046737,-0.29354,-0.12461,-0.15882,0.015435,-0.33973,-0.030632,0.082383,-0.028914,0.3364,-0.12979,-0.065953,-0.16847,0.082898,-0.095625,0.14941,-0.11654,0.081897,-0.05824,-4.9164e-06,-0.11335,-0.17832,-0.21277,-0.1453,-0.10909,-0.0074746,0.35068,-0.01553,-0.085095,-0.21773,-0.28021,0.049401,0.055441,0.1229,0.087524,0.0459,-0.10162,-0.23597,-0.041649,0.010704,-0.0020012,0.10598,-0.22647,0.041664,0.2015,-0.23531,0.2308,0.082688,0.12559,0.018596,-0.082317,0.011159,0.28349,-0.16608,0.24273
4,0.90117,0.89749,0.8406,0.78343,1,0.86075,0.86308,0.84486,0.84075,0.82437,0.86594,0.80812,0.85613,0.78023,0.7498,0.78897,0.84314,0.83849,0.80235,0.73341,0.87065,0.72089,0.73387,0.76142,0.74416,0.54794,0.64978,0.65424,0.68569,0.7438,0.63121,0.63589,0.58448,0.53867,0.2089,0.49707,0.35235,0.47584,0.38979,0.16706,0.24115,0.050733,0.21192,0.30299,0.11365,0.076659,0.2161,0.047269,0.0020709,-0.036593,-0.14687,-0.17393,-0.20824,-0.1047,-0.090385,-0.23223,0.054731,-0.046206,-0.13452,0.12477,-0.1601,0.13489,-0.074214,0.1026,-0.25954,0.08134,-0.18237,0.17432,0.08476,0.068197,-0.019881,-0.14212,-0.17111,-0.13602,-0.061692,-0.056979,0.42905,-0.11681,-0.17596,-0.26508,-0.23155,-0.072304,-0.047415,-0.16125,0.069569,-0.0052362,-0.033457,-0.14713,-0.076165,-0.022297,-0.042115,0.065475,-0.18502,-0.10915,0.40882,-0.32211,0.014311,-0.14991,0.044841,0.0031005,-0.031223,-0.055774,0.35483,0.021851,0.25036
5,0.90983,0.87248,0.86941,0.81866,0.86075,1,0.87323,0.81593,0.87586,0.88092,0.81007,0.79972,0.89367,0.84992,0.75628,0.78783,0.83417,0.86189,0.78253,0.83554,0.83496,0.68353,0.72951,0.76452,0.76281,0.61805,0.61163,0.69265,0.66323,0.73153,0.5878,0.63455,0.72927,0.51825,0.18268,0.44817,0.49655,0.47914,0.40806,0.29724,0.34465,-0.046343,0.29462,0.33551,0.15747,0.12456,0.172,-0.0064276,0.0061238,-0.080417,-0.05602,-0.30749,-0.13453,-0.10283,-0.082976,-0.21221,-0.01706,-0.055213,-0.18945,0.17836,-0.14773,0.039766,-0.11652,0.055635,-0.26227,0.13406,-0.14606,0.1218,0.14133,-0.0018978,-0.050756,-0.16442,-0.1714,-0.18801,-0.10976,-0.040949,0.40676,0.0067526,-0.093552,-0.20741,-0.15601,-0.040863,-0.021386,0.0097103,0.10565,-0.015513,-0.075051,-0.25198,-0.055211,-0.032234,-0.1143,0.10272,-0.21215,-0.1144,0.2869,-0.1377,0.082473,-0.04915,0.021917,0.096874,-0.15207,-0.032609,0.30852,0.043629,0.24491
6,0.90403,0.88626,0.84291,0.7738,0.86308,0.87323,1,0.79709,0.86906,0.84658,0.83043,0.81358,0.89591,0.85687,0.76444,0.84916,0.81983,0.86132,0.74316,0.76988,0.79266,0.74874,0.75655,0.75804,0.7577,0.63869,0.62075,0.57778,0.71386,0.73212,0.57129,0.66066,0.63091,0.60152,0.2196,0.51931,0.32613,0.52993,0.35714,0.1894,0.46154,-0.0048964,0.25646,0.31766,0.21213,0.11577,0.24558,0.046901,0.043276,-0.085468,-0.053931,-0.29632,-0.23318,-0.25247,0.039325,-0.23305,0.065678,-0.0076737,-0.11521,0.17024,-0.21005,0.0546,-0.20896,0.12927,-0.20263,0.059029,-0.21099,0.18559,0.073735,0.068744,0.0068206,-0.21462,-0.15149,-0.047179,-0.13926,-0.11194,0.38517,0.069169,-0.14381,-0.15816,-0.13627,0.0034081,0.016981,-0.056849,0.09337,-0.010089,-0.14265,-0.23212,-0.031516,0.019904,-0.11625,0.016295,-0.1376,-0.11646,0.34646,-0.15704,0.13585,-0.084482,0.038655,-0.038188,-0.012487,0.025895,0.34067,0.058833,0.23879
7,0.85957,0.85927,0.79281,0.78969,0.84486,0.81593,0.79709,1,0.77126,0.78103,0.80017,0.78968,0.81358,0.74426,0.74513,0.78807,0.77741,0.81268,0.74666,0.70671,0.80707,0.64157,0.66478,0.72524,0.69231,0.42361,0.58233,0.73585,0.71477,0.69966,0.62228,0.57494,0.61361,0.47426,0.095313,0.37612,0.45386,0.31126,0.35512,0.22416,0.36111,-0.11931,0.28056,0.28503,0.075985,0.10102,0.20977,0.088404,0.072056,-0.078477,-0.10082,-0.16011,-0.12347,-0.16088,-0.040449,-0.1773,-0.021935,-0.078257,-0.087585,0.25389,-0.35813,-0.058443,-0.2883,0.092767,-0.19473,0.1689,-0.22709,0.27777,0.13596,0.0051611,-0.029394,-0.017426,-0.14511,-0.34335,0.084813,0.06029,0.34065,-0.049355,-0.094005,-0.18428,-0.32186,-0.035022,0.10041,-0.024822,0.13491,-0.00076907,-0.055042,-0.17613,0.013394,-0.14169,-0.089873,0.08659,-0.20293,-0.0939,0.31123,-0.32709,0.1807,0.0345,0.048072,0.0095409,0.071115,-0.044763,0.18467,0.037207,0.19188
8,0.8828,0.88812,0.84924,0.78665,0.84075,0.87586,0.86906,0.77126,1,0.81233,0.86589,0.88012,0.83485,0.79803,0.8009,0.82294,0.8344,0.86629,0.75379,0.79944,0.78625,0.73342,0.68401,0.80163,0.75523,0.56985,0.5403,0.62541,0.68899,0.7178,0.58774,0.51502,0.5801,0.56157,0.28828,0.51993,0.43028,0.48229,0.36323,0.10136,0.31496,-0.075232,0.21753,0.26219,0.13703,0.1494,0.16687,0.011934,0.014312,-0.10996,-0.10249,-0.24282,-0.12171,-0.10206,-0.027965,-0.29254,0.09433,-0.076333,-0.23731,0.13771,-0.19049,0.081799,-0.082673,0.12762,-0.15962,0.18476,-0.16767,0.028634,-0.062244,0.035393,-0.063293,-0.16326,-0.12438,-0.11056,-0.045054,-0.083626,0.36945,-0.049088,-0.097393,-0.22562,-0.2415,0.087228,-0.092711,0.0027101,0.096263,0.10865,-0.094542,-0.24399,-0.19918,0.005817,-0.036578,0.12483,-0.16073,-0.14793,0.25754,-0.19956,0.17862,-0.034124,-0.043497,0.01967,-0.11136,0.016291,0.28231,0.068247,0.2483
9,0.91065,0.84527,0.87075,0.88317,0.82437,0.88092,0.84658,0.78103,0.81233,1,0.79732,0.7575,0.83933,0.77877,0.7905,0.77661,0.76452,0.87842,0.75627,0.74001,0.7773,0.76857,0.70584,0.72683,0.75599,0.6079,0.69635,0.70033,0.67455,0.72777,0.53657,0.57804,0.71483,0.58346,0.24568,0.57115,0.47095,0.46264,0.39267,0.30447,0.34722,-0.089239,0.3102,0.19344,0.092085,0.098505,0.10208,0.0092418,0.03494,-0.080365,-0.076095,-0.33611,-0.14871,-0.20909,-0.066181,-0.29781,-0.053436,-0.038186,-0.14085,0.17554,-0.11491,0.053785,-0.18957,0.079353,-0.17753,0.084873,-0.14475,0.10785,0.037703,-0.082034,-0.1405,-0.17289,-0.24061,-0.16448,-0.1671,-0.083293,0.3384,0.077028,-0.17036,-0.22845,-0.084683,0.035163,-0.039734,0.017135,0.10149,0.034299,-0.17662,-0.15752,0.041612,-0.026515,-0.049767,0.13518,-0.23304,-0.091745,0.26708,-0.14952,0.11195,-0.076849,0.092735,-0.0072542,-0.14935,0.091704,0.2983,-0.041856,0.20336
