,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,1,0.81102,0.84704,0.76816,0.69042,0.74752,0.68883,0.55727,0.7702,0.60416,0.5279,0.53175,0.35219,0.43458,0.27108,0.40238,0.3332,0.33103,-0.091631,0.15031,0.22114,-0.02701,0.074048,-0.28873,-0.030297,-0.017005,0.066525,0.062353,0.13691,-0.30016,-0.0013212,-0.28919,-0.26205,-0.38189,-0.1336,-0.11723,-0.27337,-0.1269,-0.045773,0.060521,0.15263,-0.42488,-0.20428,-0.36258,0.067193,-0.086094,-0.17077,-0.27758,-0.14339,0.081969,-0.032477,-0.0088321,-0.21781,-0.21891,0.18157,-0.079842,-0.263,0.22195,0.0083439,0.11834,0.044973,-0.28874,-0.26583,-0.062744,-0.082147,0.29609,-0.047702,0.01635,0.11112,0.13743,-0.046984,-0.32972,-0.13757,0.23399,0.18815,-0.056022,0.0079117,0.21745,-0.00040716,0.0014499,0.3131,0.201,0.41296,0.31467,0.065159
1,0.81102,1,0.79383,0.80788,0.79797,0.75398,0.70425,0.64507,0.67351,0.63534,0.66288,0.56024,0.4696,0.52878,0.29975,0.29119,0.29799,0.41698,0.038078,0.18734,0.14821,0.0061977,0.12466,-0.17256,-0.17943,0.15139,0.080738,0.12416,0.16916,-0.13576,0.096012,-0.23003,-0.1559,-0.22093,-0.20329,-0.19033,-0.30617,-0.22928,-0.030723,0.075344,0.11897,-0.43207,-0.18869,-0.44078,-0.11828,-0.049685,-0.1073,-0.36835,-0.16204,0.12752,-0.12827,0.018788,-0.29856,-0.15852,0.10013,-0.05491,-0.23843,0.15451,0.017202,0.1251,0.075896,-0.35631,-0.30283,-0.053739,-0.095346,0.47644,0.036112,-0.17923,0.020801,0.14634,-0.0091153,-0.17343,-0.081513,0.22524,0.2449,0.18126,-0.077215,0.20529,0.061521,0.040059,0.22103,0.17167,0.37668,0.33162,0.038505
2,0.84704,0.79383,1,0.80965,0.76658,0.77278,0.55963,0.60004,0.71672,0.54237,0.65227,0.53374,0.43622,0.50462,0.20601,0.379,0.26329,0.25015,0.027024,0.12753,0.11542,-0.053437,0.02052,-0.12562,0.070146,0.086822,0.061527,0.14968,0.1271,-0.35309,-0.050969,-0.15315,-0.055591,-0.42908,-0.19811,-0.013131,-0.17088,-0.13784,0.0069373,-0.053785,0.077592,-0.43754,-0.062933,-0.41947,-0.082629,-0.19795,-0.27195,-0.21731,-0.1895,0.13461,-0.013882,-0.079487,-0.32637,-0.14006,0.1226,-0.1113,-0.12891,0.15133,-0.032807,0.14498,-0.033511,-0.27701,-0.20672,-0.057227,-0.1059,0.21869,0.074527,-0.062408,0.037826,0.19507,-0.13307,-0.25467,-0.042423,0.18127,0.26381,0.10779,-0.034658,0.19052,0.070094,-0.061581,0.25991,0.20324,0.31772,0.31324,0.17146
3,0.76816,0.80788,0.80965,1,0.70567,0.70045,0.65973,0.67914,0.6196,0.50977,0.56384,0.61702,0.5476,0.46517,0.38413,0.3432,0.38884,0.2892,0.043569,0.27747,0.064634,0.019942,-0.12261,-0.080605,0.049992,0.18037,0.096128,0.23244,0.19456,-0.23477,0.016166,-0.25547,-0.11759,-0.26362,-0.31257,-0.24715,-0.38175,-0.124,-0.017989,0.069713,0.10076,-0.30463,-0.14832,-0.31787,-0.076736,-0.13532,-0.12565,-0.23505,-0.22224,0.17341,-0.11297,-0.093664,-0.22422,-0.097768,0.17442,0.025068,-0.052362,0.23657,0.045415,0.26577,-0.015062,-0.21328,-0.1023,-0.026305,0.046897,0.30814,0.015859,-0.14314,0.079635,0.10768,-0.12129,-0.062769,-0.05974,0.22872,0.14266,0.22819,-0.0031121,0.21111,-0.039024,0.098528,0.1997,0.22254,0.26738,0.41117,0.098815
4,0.69042,0.79797,0.76658,0.70567,1,0.66203,0.58205,0.58318,0.61756,0.43477,0.48569,0.48958,0.2759,0.32841,0.20173,0.18206,0.24759,0.25636,-0.19797,0.03464,0.16761,-0.040245,-0.061822,-0.13837,0.0008319,0.078949,0.074087,0.14429,0.085874,-0.24002,0.074497,-0.35365,-0.19231,-0.36581,-0.016534,-0.24354,-0.063598,-0.32928,-0.091629,-0.13221,-0.068046,-0.41625,-0.2249,-0.45242,-0.070997,-0.39263,-0.23381,-0.53779,-0.18021,-0.021655,-0.070042,-0.11973,-0.43755,-0.31861,0.16302,0.0083547,-0.18875,0.019688,-0.099004,0.010397,-0.11142,-0.39818,-0.25198,-0.12355,-0.017212,0.37517,0.13017,-0.25848,0.10338,0.16234,-0.12479,-0.076476,-0.06138,0.15179,0.25175,0.25435,-0.11902,-0.02201,0.1688,0.036441,0.14888,0.14876,0.37559,0.27826,0.088524
5,0.74752,0.75398,0.77278,0.70045,0.66203,1,0.5996,0.57458,0.61555,0.5644,0.44178,0.47409,0.4565,0.50777,0.1858,0.20906,0.16157,0.21227,-0.099041,0.089558,0.32128,0.028578,0.060621,-0.18775,0.034784,-0.039317,0.039079,0.16891,0.014174,-0.20062,-0.0076575,-0.18549,-0.20395,-0.45141,-0.18281,-0.095207,-0.35424,-0.28,-0.036866,0.0044011,-0.001603,-0.39489,0.0076538,-0.43308,-0.020901,-0.068975,-0.22405,-0.30767,-0.15311,-0.11661,-0.09148,-0.048817,-0.14366,-0.14823,0.14608,-0.12338,-0.18858,0.21162,-0.0085192,0.083015,-0.054191,-0.2783,-0.10795,-0.048427,-0.1691,0.27778,-0.11762,-0.0059195,0.0058881,0.051266,-0.048097,-0.31179,0.099872,0.079767,0.15564,0.076946,-0.12878,0.23409,0.026204,0.030624,0.1715,0.26275,0.46347,0.36736,0.20566
6,0.68883,0.70425,0.55963,0.65973,0.58205,0.5996,1,0.52215,0.5596,0.43242,0.3687,0.5619,0.30862,0.41038,0.26592,0.3855,0.2206,0.4791,0.15438,0.21523,0.30062,0.086901,-0.085542,-0.15915,-0.027364,0.16282,0.020693,0.22543,0.064708,-0.12297,0.082101,-0.36626,-0.052827,-0.10893,-0.13523,-0.18591,-0.3722,-0.15915,0.0077845,0.17054,0.3242,-0.26179,-0.097525,-0.14439,-0.092767,0.014679,0.033083,-0.25755,-0.1824,0.19493,0.067863,0.068249,-0.17881,-0.18549,0.24466,-0.1382,-0.30944,0.058114,0.055673,0.040968,0.0052981,-0.32855,-0.10745,-0.18588,-0.063852,0.40795,-0.037743,-0.084718,0.2187,-0.073794,0.10708,-0.010022,-0.063289,0.12745,0.007983,-0.04619,0.0023435,0.27846,0.11374,0.052124,0.18488,0.34645,0.40801,0.23318,-0.016372
7,0.55727,0.64507,0.60004,0.67914,0.58318,0.57458,0.52215,1,0.47759,0.31841,0.47304,0.64462,0.25434,0.52028,0.12654,0.26226,0.18441,0.34133,0.14168,0.22578,0.03405,0.070885,-0.0039625,-0.22343,0.11818,0.39303,0.0011209,0.037007,-0.094478,-0.15288,-0.025824,-0.18221,-0.10862,-0.14549,-0.13878,-0.048861,-0.19998,-0.24428,-0.069511,0.037941,0.063711,-0.15601,-0.048032,-0.28726,-0.069805,0.083108,-0.17309,-0.28653,-0.039658,0.041528,0.12085,-0.0072845,-0.12464,-0.24742,0.11484,-0.063136,-0.18207,0.35013,0.10336,-0.033437,-0.19374,-0.32758,-0.014781,-0.089035,-0.079543,0.28156,0.066433,-0.080131,0.10565,0.2611,-0.21591,0.0014949,0.084654,0.037788,0.11219,0.074916,-0.17462,0.026704,0.2121,0.24702,0.20794,0.24614,0.254,0.12503,0.062658
8,0.7702,0.67351,0.71672,0.6196,0.61756,0.61555,0.5596,0.47759,1,0.49929,0.38136,0.46652,0.35016,0.25929,0.15977,0.44624,0.17968,0.19376,-0.01483,0.013231,0.076366,0.14428,0.10421,-0.088652,0.0015479,0.047618,0.05242,-0.091689,0.15126,-0.22029,-0.049829,-0.32486,-0.29701,-0.30681,0.047531,-0.088872,-0.28367,-0.065944,-0.012997,0.039508,0.18966,-0.28066,-0.09817,-0.21371,0.15868,-0.032049,-0.026391,-0.31348,0.065418,0.055528,-0.015133,-0.026549,-0.15694,-0.19356,0.35025,-0.0063999,-0.15952,0.066742,0.047362,0.26633,-0.026578,-0.26402,-0.30904,-0.27769,-0.10326,0.20902,0.07532,-0.20611,0.011362,0.1174,-0.037706,-0.10357,0.026525,0.31487,0.32823,0.080435,-0.13081,0.1491,0.12783,-0.080339,0.26162,0.10949,0.47599,0.26757,0.17439
9,0.60416,0.63534,0.54237,0.50977,0.43477,0.5644,0.43242,0.31841,0.49929,1,0.38892,0.3156,0.35835,0.49081,0.23921,0.32241,0.40665,0.42185,0.17048,-0.073208,0.178,0.013698,-0.0082895,-0.24239,-0.020815,0.07816,0.00056923,-0.031936,0.069364,-0.013921,0.37497,-0.00081349,0.026979,-0.13573,-0.16917,-0.26575,-0.24566,0.23015,0.029354,0.10767,0.13494,-0.065448,-0.10726,-0.12591,0.10514,-0.015658,-0.12681,-0.30174,0.021941,0.10019,-0.031836,0.011504,-0.15226,0.01492,0.3898,-0.15649,-0.21255,0.10507,0.04979,0.26249,0.11797,-0.24665,-0.35616,-0.022883,-0.35499,0.20386,0.013807,0.12094,-0.13398,0.089006,0.030922,-0.32763,0.032034,0.19349,0.13774,0.06156,-0.086908,0.45383,0.24656,-0.034321,0.18956,0.26514,0.24464,0.49428,-0.10126
