,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0,1,0.80658,0.79902,0.86705,0.86244,0.87938,0.83813,0.84438,0.86545,0.80085,0.81251,0.854,0.84405,0.83847,0.85252,0.85769,0.81807,0.81515,0.76252,0.85449,0.73768,0.79019,0.81662,0.77546,0.79739,0.80459,0.85629,0.79654,0.78555,0.79213,0.85071,0.85431,0.81407,0.76814,0.82756,0.83483,0.7849,0.75121,0.70938,0.77186,0.72993,0.69615,0.75234,0.75705,0.72783,0.67661,0.65342,0.77989,0.4478,0.62679,0.63364,0.61126,0.6113,0.55198,0.52549,0.51457,0.32442,0.38055,0.24961,0.40607,0.38313,0.41085,0.37961,0.63875,0.34083,0.31124,0.25678,0.28599,0.24575,0.34572,0.24028,0.27221,0.34953,0.032507,0.36638,0.24277,0.42539,0.23062,0.21285,-0.15826,0.20642,0.38316,0.30883,0.23751,0.21045,0.18254,0.42647,-0.10888,0.38183,-0.017964,0.13211,-0.10927,0.10128,0.15353,0.14307,0.19208,0.25852,0.19699,-0.051402,0.15078,0.13075,-0.17442,0.13868,0.15164,0.13899,0.20926,0.061264,0.1305,-0.066856,-0.028304,-0.028634,0.063227,0.38884,0.054027,0.067253,0.10366,0.0089187,-0.059669,-0.12684,0.25302,0.26962,0.019555,0.21092,0.15999,0.036501,0.0051191,0.086172,0.31708,0.21622,0.16978,-0.17864,-0.20305,0.0060564,0.35976,-0.13113,0.05592,-0.26844,-0.0039643,-0.030189,0.18483,-0.25897,0.24331,0.16939,-0.18178,0.15778,-0.10744,0.18695,0.10578,0.10854,-0.1625,0.11357,0.099698,-0.030244,-0.0297,0.15706,0.045984,0.1998,0.22167,-0.053594,0.13543,0.16377,-0.036682,0.13108,-0.16376,-0.0066753,0.18269
1,0.80658,1,0.87455,0.87512,0.86166,0.87516,0.92523,0.89502,0.86815,0.77069,0.85998,0.74014,0.83943,0.82216,0.79213,0.80314,0.83751,0.82238,0.80944,0.75832,0.77836,0.75997,0.76561,0.85435,0.83103,0.7114,0.84987,0.75406,0.78226,0.7102,0.87617,0.83506,0.69221,0.77454,0.80396,0.84023,0.77354,0.74618,0.68966,0.69247,0.71054,0.70274,0.73262,0.80799,0.71945,0.69608,0.56115,0.61004,0.51505,0.71149,0.57097,0.56166,0.59048,0.45332,0.52586,0.38463,0.40102,0.38957,0.41773,0.50551,0.40591,0.33613,0.50645,0.45201,0.38274,0.20371,0.36146,0.3125,0.45984,0.26727,0.09887,0.39056,0.37059,-0.01169,0.34294,0.28666,0.53098,0.30626,0.27665,-0.0081487,0.2165,0.41328,0.33017,0.12753,0.11055,0.096802,0.44553,-0.11143,0.29199,0.021716,0.088302,-0.018475,0.047031,0.20005,0.12673,0.27009,0.080231,0.19254,-0.18142,-0.036549,0.21845,-0.084936,0.090399,0.057228,0.13409,0.17678,-0.025248,0.20343,-0.029034,-0.0077617,-0.073791,-0.13616,0.36159,-0.018966,0.15135,0.18553,0.069083,-0.023561,-0.14616,0.20851,0.35447,0.084908,0.039334,0.05781,0.066529,-0.081484,-0.064036,0.19259,0.25351,0.098372,-0.10556,-0.10796,-0.062755,0.23617,-0.11863,0.074178,-0.20482,0.1081,-0.011244,0.14263,-0.31202,0.163,0.1148,-0.046872,-0.11763,-0.29133,0.3007,-0.0078451,0.14331,0.027525,0.018962,0.19344,-0.10353,-0.10171,0.29015,0.081583,0.11033,0.17599,0.055195,-0.018087,0.11655,0.057217,0.044371,-0.062465,-0.020393,0.076798
2,0.79902,0.87455,1,0.79245,0.80602,0.82993,0.85156,0.80046,0.84551,0.70655,0.80664,0.77122,0.79482,0.76659,0.78126,0.7956,0.76375,0.83597,0.81369,0.72511,0.73704,0.70117,0.76855,0.76345,0.77937,0.69421,0.82618,0.75712,0.72214,0.68165,0.80024,0.83409,0.76454,0.70419,0.82283,0.82004,0.73312,0.69763,0.71733,0.60236,0.70441,0.61288,0.6924,0.77099,0.64224,0.59123,0.52218,0.65255,0.41293,0.61906,0.63101,0.55627,0.59386,0.41134,0.57078,0.33436,0.41919,0.16932,0.36142,0.46891,0.42107,0.33729,0.4598,0.59676,0.27805,0.23242,0.30854,0.35994,0.36631,0.28777,0.19989,0.29834,0.32136,0.16333,0.34952,0.24223,0.46758,0.28148,0.33887,0.024891,0.23076,0.2274,0.24158,-0.028422,0.18574,0.20831,0.25527,-0.20043,0.30445,0.09709,0.05136,-0.12207,0.14551,0.18148,0.12816,0.34607,0.13358,0.26357,-0.23714,-0.038855,0.037218,-0.13844,0.13975,0.04287,0.091108,0.2649,0.078898,0.21748,-0.043775,-0.13766,0.05007,-0.13493,0.39062,0.013698,0.20256,0.19247,-0.023474,0.0002177,-0.12479,0.33537,0.32571,0.1223,0.0842,0.01596,0.15,-0.14264,-0.024548,0.32697,0.20652,0.016155,-0.095096,-0.041114,-0.075202,0.23582,-0.18422,0.03995,-0.2234,0.11747,-0.035929,0.22205,-0.18924,0.30724,0.077276,-0.095362,-0.11434,-0.17526,0.23161,-0.079712,0.0024466,0.17978,0.10347,0.17073,-0.054961,-0.10249,0.26488,0.050693,0.17191,0.22863,0.0061495,0.026521,0.13623,-0.051989,0.094577,0.011522,-0.009475,0.1228
3,0.86705,0.87512,0.79245,1,0.86505,0.87541,0.89379,0.88606,0.89376,0.83501,0.89234,0.79105,0.83221,0.8531,0.84623,0.87407,0.88685,0.81594,0.83262,0.83382,0.79353,0.84242,0.81945,0.7829,0.82255,0.82726,0.86001,0.83013,0.82432,0.82021,0.85581,0.82418,0.76258,0.77801,0.87132,0.82293,0.80836,0.83133,0.65073,0.70023,0.71148,0.71975,0.76303,0.73914,0.78249,0.7286,0.70373,0.69106,0.53975,0.68481,0.57887,0.51509,0.6167,0.51968,0.499,0.55962,0.43995,0.51443,0.35989,0.52028,0.41252,0.38162,0.52078,0.49222,0.42257,0.28926,0.35376,0.19093,0.29785,0.2733,0.13203,0.27803,0.32749,-0.035051,0.329,0.30401,0.34547,0.26671,0.24503,-0.045141,0.19469,0.42575,0.24543,0.17712,0.096559,0.22205,0.37037,-0.042663,0.39025,-0.036864,0.16281,-0.06182,0.067782,0.15199,0.10836,0.3414,0.14682,0.18796,-0.13026,0.05426,0.20947,-0.12174,0.14817,0.10872,0.10492,0.10426,-0.078084,0.18067,-0.094811,0.01406,-0.011574,-0.069451,0.33644,-0.011805,0.04532,0.18252,0.10266,-0.030512,-0.035477,0.24331,0.36616,-0.041895,0.14561,0.057537,-0.0036483,-0.040755,-0.010365,0.18798,0.17878,0.016922,-0.25278,-0.16963,0.0097165,0.28823,-0.1418,0.037975,-0.20834,-0.0035265,0.058224,0.17017,-0.37071,0.21408,0.15352,0.013981,-0.0054157,-0.22349,0.16786,0.056228,0.26186,-0.025579,0.012407,0.11756,-0.16061,-0.043578,0.26733,0.11452,0.18457,0.23125,-0.014185,0.065242,0.061734,0.11716,0.081618,-0.10086,0.10905,0.17872
4,0.86244,0.86166,0.80602,0.86505,1,0.83837,0.84887,0.85422,0.89179,0.77016,0.78012,0.81508,0.81837,0.80984,0.81619,0.8344,0.79099,0.85803,0.79802,0.82232,0.73653,0.75948,0.78618,0.79046,0.79477,0.68781,0.80873,0.74374,0.7812,0.7674,0.82522,0.79422,0.76849,0.74705,0.81911,0.78123,0.85909,0.76726,0.61632,0.67028,0.77764,0.75867,0.73492,0.76768,0.65095,0.77941,0.6324,0.62561,0.50042,0.71117,0.50609,0.52692,0.56506,0.48425,0.56057,0.46612,0.3798,0.40328,0.22141,0.37064,0.348,0.46851,0.53228,0.6133,0.41134,0.23162,0.31698,0.22896,0.31994,0.30002,0.075191,0.15345,0.26787,-0.013357,0.31442,0.27863,0.3728,0.285,0.26697,0.040877,0.23479,0.32711,0.3351,0.21955,0.18174,0.20897,0.4101,-0.1632,0.21862,0.025602,0.16203,-0.043044,0.058763,0.17563,0.099663,0.33235,0.080792,0.22177,-0.05901,0.067466,0.1328,-0.012194,0.098835,0.034713,0.035913,0.1922,0.048245,0.20685,0.0048516,-0.063243,-0.044368,-0.015078,0.36335,0.073797,0.15255,0.18986,0.092586,0.0099005,-0.098545,0.23745,0.28704,0.022463,0.20016,0.042699,-0.0013166,-0.017888,0.07659,0.19782,0.24134,0.080996,-0.19221,-0.04263,-0.11387,0.31123,-0.13168,0.15511,-0.2953,0.19658,0.018013,0.031072,-0.36383,0.062545,0.23749,0.0064314,-0.15841,-0.24577,0.16688,0.044418,0.12282,-0.11242,0.052422,0.18243,-0.092755,-0.053006,0.11497,0.11402,0.24898,0.27238,-0.15537,-0.0025046,0.21884,0.12669,0.037743,-0.048379,0.065726,0.1731
5,0.87938,0.87516,0.82993,0.87541,0.83837,1,0.87484,0.85866,0.87071,0.75537,0.88338,0.82248,0.85106,0.85963,0.87558,0.86392,0.80533,0.74513,0.75609,0.83896,0.79282,0.74023,0.75246,0.81129,0.74916,0.79576,0.88603,0.77444,0.77897,0.78508,0.84066,0.80273,0.7689,0.74806,0.85906,0.8814,0.83883,0.75557,0.69775,0.68155,0.78111,0.7031,0.75001,0.77149,0.75725,0.71774,0.59225,0.6795,0.49811,0.69606,0.64438,0.49161,0.63821,0.47515,0.48878,0.52397,0.45725,0.34257,0.39246,0.45856,0.43142,0.30651,0.49069,0.6118,0.26437,0.27318,0.26881,0.25541,0.45214,0.35543,0.18411,0.28851,0.28155,0.034446,0.49329,0.34915,0.33948,0.2733,0.3088,-0.067855,0.26681,0.36204,0.32588,0.10408,0.14811,0.1147,0.37053,-0.13669,0.3839,0.057896,0.045916,-0.16565,0.058342,0.21604,0.13374,0.25243,0.21975,0.17573,-0.020071,0.057138,0.24383,-0.21411,0.21419,0.089449,0.075567,0.082661,0.020452,0.043387,-0.030808,0.023458,0.038991,-0.076841,0.43666,0.030134,0.082048,0.21463,0.037037,0.085836,-0.2019,0.2782,0.32699,-0.024111,0.093892,0.0837,0.12921,-0.15684,-0.022695,0.25752,0.21997,-0.016364,-0.25994,-0.087227,-0.012411,0.31531,-0.13527,0.1009,-0.27484,0.046811,-0.00086158,0.18021,-0.20917,0.32082,0.14173,-0.062962,0.013235,-0.18303,0.21968,0.0431,0.15827,-0.12092,0.0045109,0.20758,-0.08517,-0.18052,0.20635,0.0871,0.088839,0.15504,-0.0023515,0.093488,0.04334,-0.084656,0.052632,-0.1705,0.14676,0.04138
6,0.83813,0.92523,0.85156,0.89379,0.84887,0.87484,1,0.89286,0.87432,0.82922,0.88379,0.76453,0.88192,0.87987,0.85528,0.85907,0.83691,0.77834,0.82451,0.82236,0.83578,0.80545,0.8331,0.82922,0.81704,0.79209,0.90471,0.82533,0.82854,0.7397,0.84406,0.83252,0.77918,0.81616,0.83421,0.85561,0.82441,0.82722,0.71635,0.67266,0.73636,0.70319,0.69253,0.79477,0.70127,0.67414,0.64959,0.63398,0.54581,0.66523,0.63088,0.57634,0.67519,0.47708,0.46844,0.50032,0.45514,0.35413,0.36367,0.47315,0.43982,0.31571,0.46789,0.50829,0.39036,0.20754,0.34999,0.19172,0.42868,0.32,0.11603,0.28828,0.39999,-0.0033436,0.31753,0.28008,0.41902,0.27486,0.28189,-0.011504,0.23861,0.35574,0.32498,0.079827,0.21472,0.22697,0.37293,-0.062493,0.35195,0.072406,-0.028254,-0.072978,0.0018422,0.18736,0.15371,0.31461,0.031738,0.19808,-0.11993,0.069291,0.18175,-0.14736,0.081844,0.035225,0.10007,0.23832,-0.0043543,0.21577,-0.012535,0.012414,-0.018842,-0.072519,0.38204,-0.024716,0.13339,0.19545,0.038481,0.041978,-0.19148,0.20601,0.33076,-0.044524,0.068469,0.073109,0.072164,-0.093071,-0.030319,0.20013,0.29591,0.046234,-0.093303,-0.16849,-0.0020547,0.2811,-0.10578,0.0093659,-0.26827,0.035621,-0.086586,0.1151,-0.21014,0.13425,0.10595,0.027989,-0.13173,-0.20295,0.25018,0.012813,0.14745,0.045883,0.073891,0.20163,-0.19564,-0.14183,0.29685,0.081969,0.11636,0.23343,0.043792,0.070554,-0.0095137,-0.01494,0.05898,-0.14852,0.048906,0.14972
7,0.84438,0.89502,0.80046,0.88606,0.85422,0.85866,0.89286,1,0.89956,0.86194,0.86207,0.81757,0.84505,0.88097,0.84526,0.84777,0.8378,0.82628,0.86121,0.80537,0.76129,0.80366,0.8246,0.84346,0.8297,0.77556,0.87082,0.79764,0.83194,0.76574,0.85377,0.79674,0.77369,0.78071,0.88926,0.86301,0.77676,0.82859,0.67537,0.73039,0.78308,0.76416,0.70855,0.76443,0.69001,0.73999,0.61774,0.65865,0.57087,0.59645,0.56644,0.61214,0.67674,0.58377,0.50794,0.53618,0.44004,0.44673,0.36234,0.51128,0.46801,0.37023,0.53462,0.523,0.42345,0.30604,0.2924,0.28324,0.32715,0.28181,0.10071,0.3011,0.48432,-0.090679,0.39318,0.40283,0.4378,0.30689,0.24418,-0.052358,0.30913,0.51095,0.33111,0.17126,0.067296,0.29187,0.37226,-0.048724,0.36558,0.10678,0.085691,-0.18538,0.14522,0.20933,0.044783,0.24354,-0.00041714,0.18347,-0.0012407,-0.043121,0.21691,-0.083251,0.06098,0.024033,0.045305,0.14992,-0.045677,0.20422,-0.080255,0.0090811,-0.020314,-0.1237,0.3611,0.038548,0.12734,0.12199,-0.055641,0.012116,-0.16563,0.17979,0.3975,0.019354,0.051078,0.13613,0.038447,-0.10299,0.023017,0.15336,0.26776,0.12473,-0.18544,-0.14882,0.072237,0.31665,-0.25725,0.039474,-0.28081,0.036622,0.034695,0.16684,-0.30964,0.14713,0.1591,-0.04937,-0.059264,-0.2448,0.24737,0.076266,0.13621,-0.0058369,0.01094,0.25355,-0.24792,-0.016477,0.12718,0.092377,0.10905,0.16367,0.065477,0.10719,0.082874,0.07465,0.1229,0.0049549,-0.067622,0.10909
8,0.86545,0.86815,0.84551,0.89376,0.89179,0.87071,0.87432,0.89956,1,0.75867,0.81918,0.83006,0.81351,0.84872,0.85115,0.86605,0.77079,0.82396,0.84241,0.82315,0.76461,0.77119,0.82625,0.79151,0.78172,0.72226,0.84887,0.80553,0.79666,0.73699,0.82113,0.77468,0.82248,0.74816,0.8792,0.83154,0.80298,0.78502,0.61232,0.69908,0.76869,0.73061,0.703,0.74566,0.71427,0.72455,0.58142,0.69905,0.51784,0.6288,0.54433,0.53743,0.67687,0.67538,0.58126,0.48837,0.41531,0.41637,0.29646,0.42099,0.48079,0.45646,0.44749,0.55305,0.42842,0.26692,0.30585,0.24496,0.25094,0.32231,0.16367,0.24027,0.36019,0.027526,0.35243,0.33855,0.42599,0.25788,0.2495,-0.032927,0.28033,0.34378,0.26967,0.07839,0.083442,0.21185,0.35165,-0.20155,0.3746,0.067185,0.11707,-0.16025,0.12881,0.18429,0.086587,0.36555,0.077219,0.28574,-0.082733,0.068666,0.1481,-0.098842,0.094162,-0.013889,0.18409,0.2169,-0.010129,0.1963,-0.046223,-0.0070692,-0.010548,-0.086677,0.36565,0.1105,0.089817,0.13926,0.085241,0.072698,-0.10591,0.20614,0.41319,0.02405,0.051193,0.1548,0.054571,-0.036361,0.039166,0.24427,0.20152,0.010514,-0.25136,-0.12784,-0.061592,0.34179,-0.19406,0.013807,-0.32465,0.048834,0.050019,0.14069,-0.31601,0.21534,0.22181,0.011052,-0.072042,-0.25861,0.13593,-0.0037128,0.12293,0.028069,0.0031095,0.21053,-0.13879,0.0019662,0.099405,0.13597,0.13084,0.18869,0.0597,0.0081176,0.14624,0.055145,0.062787,-0.0062617,0.029586,0.082911
9,0.80085,0.77069,0.70655,0.83501,0.77016,0.75537,0.82922,0.86194,0.75867,1,0.72631,0.72538,0.75237,0.83682,0.80222,0.77905,0.84709,0.78195,0.79153,0.80818,0.68078,0.81315,0.82737,0.72881,0.80298,0.81817,0.81647,0.71687,0.7761,0.73041,0.79342,0.77199,0.69854,0.69013,0.74382,0.71164,0.72788,0.79698,0.61291,0.69738,0.64298,0.60377,0.73112,0.69698,0.67066,0.63221,0.6919,0.60299,0.46936,0.53765,0.45271,0.5891,0.53176,0.44091,0.41802,0.48035,0.40359,0.41577,0.3176,0.54705,0.43197,0.32188,0.50928,0.48268,0.40062,0.26046,0.30012,0.30327,0.25777,0.18857,0.12889,0.17035,0.44811,-0.12973,0.3433,0.30011,0.38595,0.22161,0.18879,-0.1269,0.17268,0.41505,0.38069,0.35943,-0.013865,0.35403,0.35703,0.082084,0.36361,-0.00096782,-0.003524,-0.13631,0.22327,0.20881,0.1417,0.21034,0.019122,0.1757,-0.072415,0.13743,0.21392,0.0040511,-0.034922,0.055191,0.00016398,0.10054,-0.0021862,0.19181,-0.041159,-0.0064732,-0.036598,-0.077559,0.34764,-0.017221,0.15313,0.22971,-0.010673,-0.057331,-0.056247,0.025036,0.39268,0.069227,0.13065,-0.0021356,0.080548,-0.03602,0.17099,0.30715,0.2614,0.19367,-0.1187,-0.24332,0.094655,0.35686,-0.28868,-0.011397,-0.37566,0.036655,-0.043109,0.11572,-0.26485,0.079239,0.065793,0.012872,0.11578,-0.12671,0.12913,-0.050073,0.15478,-0.034765,0.13244,0.082918,-0.19869,0.0060104,0.13707,0.050737,0.10402,0.22493,0.036492,0.010608,0.10918,0.08524,0.1314,-0.13381,-0.018685,0.15181
