,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,1,0.4408,0.34499,0.24001,-0.14742,0.31112,-0.086275,0.13109,0.015261,-0.074849,-0.025033,0.022961,0.083049,-0.21915,-0.0077482,0.025751,0.0402,-0.14708,-0.2075,8.4989e-05,-0.12483,-0.18064,0.018888,0.12074,-0.1218,0.088439,-0.06419,0.16452,-0.063326,0.056116,-0.075308,0.058541,0.07537,0.19304,0.050814,-0.1111,0.18411,0.20347,-0.30539,0.05422,-0.095831,0.12192,0.004039,-0.075031,-0.03769,0.018223,-0.15809,0.26153,0.34116,0.10475,0.17809,0.1229,0.050205,0.082397,0.059189,0.23376,-0.0035913,0.24132,0.17127,0.037391,-0.053947,-0.13254,-0.15763,0.083319,0.0057388,0.25179,-0.18181,0.0065686,0.066632,0.19502,0.059969
1,0.4408,1,0.24724,0.28397,-0.31739,0.44191,0.024517,0.084773,-0.017707,-0.078899,-0.028345,0.13202,0.24044,0.062391,0.28157,0.16654,0.37372,0.22408,-0.0067368,0.18017,0.28405,0.20274,0.31876,0.12231,0.30641,0.26984,0.11671,0.29525,-0.06139,0.095144,-0.015023,-0.058035,0.18867,0.20128,0.096918,0.29811,-0.010911,0.077652,-0.25288,0.2911,0.042273,0.2439,-0.077134,0.33855,0.054941,0.10342,-0.16086,0.1715,0.15473,0.12301,0.20352,0.17018,0.13323,0.11153,0.063648,0.20611,0.051513,0.25234,-0.10794,0.28061,-0.11061,-0.33247,-0.34609,0.13175,0.13441,0.044792,-0.30052,-0.20549,0.28197,0.09297,-0.042403
2,0.34499,0.24724,1,0.30205,-0.03766,0.31735,0.33476,0.30429,0.18923,0.019075,0.088961,0.079987,0.21959,0.29432,0.10862,0.10163,0.091261,0.10476,0.044913,0.33091,0.18172,0.12788,0.12869,0.14221,0.13792,0.22939,-0.078443,0.20126,-0.050516,0.29773,0.28311,-0.090534,0.11644,0.13434,0.20078,-0.051347,0.13418,-0.014719,-0.070689,0.29181,0.055729,0.24188,-0.088189,-0.2279,-0.14786,0.057759,0.11571,0.10966,-0.1063,0.35459,-0.043922,0.10913,-0.1182,-0.12062,-0.1063,0.13783,0.08097,0.145,0.067434,-0.14133,-0.019314,-0.22239,-0.12879,-0.012794,0.2266,0.17414,-0.27345,0.021494,0.20512,-0.002871,0.051056
3,0.24001,0.28397,0.30205,1,-0.054045,0.24454,0.39614,0.22396,0.015501,-0.19802,0.046509,0.28275,0.18252,0.059478,0.22263,-0.016151,0.27184,0.18083,0.087988,0.20241,0.23244,0.083198,0.16007,0.24975,0.2685,0.10368,0.20258,0.12929,-0.071659,0.33754,0.23304,-0.0014256,0.058616,0.12795,-0.10814,0.039778,0.083228,0.23678,0.082499,0.30856,-0.069949,-0.21911,-0.16447,0.18894,-0.2081,-0.14791,-0.06162,0.05734,0.20568,0.35196,0.043368,0.39576,0.066286,0.12616,0.20112,-0.22527,-0.13158,0.24368,-0.15671,-0.048346,-0.019953,-0.18019,-0.3706,0.22788,0.10694,0.16053,-0.3351,-0.12665,0.077478,-0.084988,-0.27324
4,-0.14742,-0.31739,-0.03766,-0.054045,1,0.016964,0.30079,0.31543,0.10741,-0.10124,0.21428,0.25158,0.13264,0.33131,0.070738,0.096951,-0.1964,0.12799,0.13592,-0.047537,-0.088775,0.21422,0.17955,0.070735,-0.18324,-0.10916,0.037059,-0.021669,0.22454,0.18427,0.023897,0.24843,0.14286,-0.056191,-0.18743,-0.072756,0.17098,0.25099,-0.0024464,0.042848,0.34275,0.028677,0.11739,-0.15533,0.21535,0.09681,0.31308,0.023769,-0.021618,0.079796,-0.28173,-0.2849,0.035738,0.083959,0.30752,-0.082064,-0.28811,0.17189,-0.17866,-0.12425,0.085328,0.35974,0.025845,-0.019916,0.12088,0.00080745,0.36795,0.2796,-0.00056534,-0.23742,-0.0013487
5,0.31112,0.44191,0.31735,0.24454,0.016964,1,0.034204,0.30139,0.0097622,-0.031344,0.078618,0.11373,-0.018462,0.20959,0.20287,0.18638,0.21755,0.29792,0.025463,-0.039527,0.29205,-0.00047215,0.30968,-0.017313,0.2543,0.2015,0.016188,0.12772,0.0041504,0.23444,0.1268,-0.031659,0.25153,-0.16388,0.10405,0.22136,0.16317,0.013917,-0.11882,0.078428,-0.22304,0.070429,-0.060428,0.12632,0.16037,0.11963,0.19981,0.21565,-0.018021,0.22026,0.10607,-0.1073,0.017116,0.07631,0.22067,-0.05845,0.01127,0.27951,0.026046,0.24807,0.031411,-0.4139,-0.22178,0.26373,0.27333,0.12779,-0.032759,0.04631,0.17469,0.00080923,0.0012095
6,-0.086275,0.024517,0.33476,0.39614,0.30079,0.034204,1,0.31733,0.3798,-0.090263,0.13281,0.23842,0.30285,0.44596,0.2687,0.33216,0.31256,0.31612,0.40325,0.46206,0.1355,0.43429,0.23785,0.1411,0.35453,0.19044,0.28347,-0.070417,0.013427,0.14328,0.13983,0.27443,0.24282,0.13757,0.26437,0.19214,0.31229,0.16924,0.12794,0.46507,0.050427,0.01526,-0.15831,-0.0257,-0.0045348,0.26186,0.0060752,0.02669,-0.2101,0.18651,-0.081946,-0.035425,-0.033048,0.069812,0.099881,-0.31838,0.0064648,0.071704,-0.16419,-0.12288,0.17711,0.1192,-0.029656,0.056695,0.18657,-0.033591,-0.11061,0.11414,0.038527,-0.25278,-0.0754
7,0.13109,0.084773,0.30429,0.22396,0.31543,0.30139,0.31733,1,-0.14495,-0.029065,0.060113,0.37359,0.28354,0.31896,0.22993,-0.064775,0.021047,0.28397,0.2725,0.1112,0.007484,0.31524,0.17332,-0.05056,0.050985,0.093036,0.16806,0.17027,-0.039308,0.31509,0.40463,-0.19222,-0.12291,0.19667,0.16794,0.12148,0.038488,0.30666,0.0038758,0.078269,-0.11392,0.096582,-0.042902,0.0054981,-0.071757,0.014227,0.08018,-0.067801,-0.018206,0.037652,-0.41643,-0.15052,0.15791,0.2868,0.14211,-0.3833,-0.20667,0.45848,0.040395,0.002249,0.28376,-0.24235,-0.048258,0.04174,0.089853,0.13931,0.1303,-0.12007,0.44993,-0.2561,-0.075444
8,0.015261,-0.017707,0.18923,0.015501,0.10741,0.0097622,0.3798,-0.14495,1,0.011777,0.31054,0.20416,0.35049,0.25612,0.12327,0.25699,0.21725,0.19276,0.27471,0.27653,0.24341,0.25706,0.21003,0.45837,0.32524,0.20676,0.32363,-0.079858,0.21239,-0.087227,-0.13246,0.3732,0.28514,0.18036,0.17601,-0.070785,0.18579,0.22766,0.082181,0.35637,0.22621,-0.040254,0.062811,0.1366,0.08325,0.11547,0.18674,0.17623,-0.11656,0.1986,0.20096,-0.022132,-0.047227,-0.044017,-0.021846,0.01077,0.14363,-0.0056181,0.21877,-0.090815,-0.029029,-0.14199,0.088873,0.11259,0.079357,-0.082391,0.025056,0.17453,0.15144,-0.045646,-0.047786
9,-0.074849,-0.078899,0.019075,-0.19802,-0.10124,-0.031344,-0.090263,-0.029065,0.011777,1,0.16157,-0.13363,-0.0054715,0.12568,0.03281,0.46859,0.048338,0.014509,0.074679,-0.07189,0.18625,-0.11197,-0.079956,0.12267,-0.14862,0.18081,-0.05626,0.19434,-0.12836,0.15988,0.16247,0.037549,-0.10458,-0.025146,-0.075167,-0.25366,-0.065859,-0.0072631,0.14209,-0.064382,-0.059255,0.11086,0.22265,0.17902,-0.14887,0.10308,0.15973,-0.029346,0.18272,-0.1694,-0.15342,0.058362,-0.045029,-0.036276,-0.14661,0.27034,0.14698,-0.13236,-0.054329,0.089681,0.22823,0.20649,0.22687,-0.1185,0.07957,-0.19302,0.12742,0.27594,0.31388,0.16296,0.40173
10,-0.025033,-0.028345,0.088961,0.046509,0.21428,0.078618,0.13281,0.060113,0.31054,0.16157,1,0.18847,0.32877,0.2026,0.25099,0.023123,0.17759,0.214,0.235,0.19037,0.17276,0.2608,0.21457,0.11957,0.1356,0.028265,0.14897,0.010024,0.2974,0.3055,0.011771,0.078294,-0.021552,0.13455,-0.047559,-0.054554,0.32078,0.26453,-0.087669,0.23777,0.18085,-0.016721,0.29428,0.10319,0.06245,0.043479,0.47171,0.037997,-0.12713,0.41241,-0.045114,0.025083,0.011371,0.1187,0.20544,-0.027758,-0.1113,0.067322,-0.10487,-0.082833,0.20582,0.0044544,-0.12383,0.17979,0.045951,-0.21846,0.055157,0.033858,0.098855,-0.13436,0.070346
11,0.022961,0.13202,0.079987,0.28275,0.25158,0.11373,0.23842,0.37359,0.20416,-0.13363,0.18847,1,0.46659,0.42999,0.305,0.071364,0.12718,0.25107,0.32514,0.30235,0.30069,0.25044,0.27851,0.17655,0.19596,0.022688,0.39735,0.25425,0.030044,0.31505,0.15756,0.097075,-0.2398,0.33051,0.13801,-0.091127,0.22577,0.28075,0.050955,0.23176,0.04877,-0.052076,-0.15025,0.23586,-0.012941,-0.071285,0.27699,0.072546,-0.24669,0.28838,-0.011037,0.016311,0.15827,0.1616,-0.020373,-0.4008,-0.25339,0.28484,0.087995,-0.1652,-0.1992,-0.36404,-0.10869,-0.022784,-0.21731,-0.053672,-0.10812,-0.081302,0.18605,-0.024445,-0.33581
12,0.083049,0.24044,0.21959,0.18252,0.13264,-0.018462,0.30285,0.28354,0.35049,-0.0054715,0.32877,0.46659,1,0.34677,0.52337,0.16005,0.057807,0.33298,0.36339,0.5365,0.30325,0.46115,0.28676,0.1197,0.33985,0.22509,0.357,0.28353,0.4322,0.35124,-0.031939,0.059633,0.089542,0.45227,0.11298,0.1636,0.053149,0.27573,0.049095,0.49392,0.33434,0.21522,0.3486,0.1345,-0.099532,0.12824,0.076533,0.35096,-0.0035194,0.33247,-0.042703,0.020177,0.13243,0.13698,-0.079746,-0.22021,0.0027382,-0.028246,0.09099,0.13816,0.12612,-0.0016803,-0.14746,0.27765,0.109,0.14963,-0.038787,-0.077753,0.30624,-0.17886,-0.097743
13,-0.21915,0.062391,0.29432,0.059478,0.33131,0.20959,0.44596,0.31896,0.25612,0.12568,0.2026,0.42999,0.34677,1,0.41045,0.29069,0.18884,0.39893,0.33841,0.34902,0.017191,0.31625,0.19999,0.22566,0.20996,0.31416,0.0084703,0.15213,0.25195,0.28267,0.043595,0.17515,0.041245,0.054115,0.22956,0.046242,0.04087,0.10352,0.16547,0.34867,0.15052,0.36349,-0.010083,0.14194,-0.022869,0.06549,0.33634,-0.033235,-0.35432,0.028531,0.068133,-0.014793,-0.087719,0.24372,0.019691,-0.19916,-0.0771,0.15716,-0.21066,0.055173,-0.0032294,0.035257,-0.096181,-0.15003,-0.060153,0.070552,0.064222,0.18279,0.22894,-0.21679,-0.19758
14,-0.0077482,0.28157,0.10862,0.22263,0.070738,0.20287,0.2687,0.22993,0.12327,0.03281,0.25099,0.305,0.52337,0.41045,1,0.10318,0.31342,0.12868,0.41528,0.5146,0.23104,0.42243,0.2182,0.15633,0.60523,0.23641,0.051948,0.31123,0.23743,0.30334,-0.03622,0.036395,0.17871,0.044373,0.13087,0.24249,0.091531,0.26503,0.09381,0.31743,0.20289,0.13902,-0.019023,0.06897,-0.17294,0.37369,0.10274,0.14893,-0.022059,0.24773,0.083652,0.11467,-0.077803,0.27027,0.063554,-0.27982,0.059224,0.02307,-0.090359,0.31082,0.14348,0.011424,-0.22355,0.15742,0.11166,-0.055882,0.14359,0.06289,0.19734,-0.33471,0.10518
15,0.025751,0.16654,0.10163,-0.016151,0.096951,0.18638,0.33216,-0.064775,0.25699,0.46859,0.023123,0.071364,0.16005,0.29069,0.10318,1,0.14382,0.19249,0.20267,0.16885,0.27244,0.11113,0.27075,0.072986,0.20596,0.34813,0.0891,0.12868,-0.017434,0.18864,-0.0023907,0.30422,0.36644,-0.11252,0.04312,0.0078632,-0.0027185,0.075712,0.084495,0.17748,0.11058,0.04322,0.18793,0.19178,0.17456,0.33924,0.19795,0.0058065,0.06072,-0.081001,-0.018433,0.072994,-0.12768,-0.045032,-0.24336,0.12606,0.20682,-0.020625,-0.16116,0.02655,-0.011968,0.16228,0.30369,-0.053612,0.14738,-0.095742,-0.14212,0.43343,0.048934,0.22099,0.20033
16,0.0402,0.37372,0.091261,0.27184,-0.1964,0.21755,0.31256,0.021047,0.21725,0.048338,0.17759,0.12718,0.057807,0.18884,0.31342,0.14382,1,0.21893,0.23314,0.25946,0.13234,0.18083,0.12784,0.2368,0.46358,0.17365,0.0099461,0.26401,-0.037581,-0.087913,0.10939,0.2629,-0.0083687,0.11159,0.16914,0.1685,0.076119,-0.072818,0.12916,0.22665,-0.27138,0.059595,-0.085374,0.15023,-0.014245,0.22776,-0.012838,0.060401,0.01235,-0.037129,0.31719,0.29943,0.16149,0.14144,-0.1352,-0.075934,-0.15985,-0.021881,-0.06106,0.26634,0.19105,-0.11623,-0.39778,0.25286,-0.19288,0.076492,-0.19175,-0.11691,0.0061074,-0.18991,-0.037768
17,-0.14708,0.22408,0.10476,0.18083,0.12799,0.29792,0.31612,0.28397,0.19276,0.014509,0.214,0.25107,0.33298,0.39893,0.12868,0.19249,0.21893,1,0.33429,0.2304,0.25289,0.33448,0.26375,0.24589,0.41799,0.21652,0.32733,0.10471,0.29729,0.22112,0.034142,0.019502,0.22628,0.19128,0.18513,0.24862,0.17227,0.21418,-0.21664,0.30789,-0.002197,0.059944,-0.00042926,0.27334,0.23627,0.11949,0.09958,0.23392,-0.065906,0.22991,0.027492,-0.086768,0.035904,-0.063146,-0.031037,-0.2786,-0.23406,0.41056,0.0043163,0.12703,0.081229,-0.027672,-0.17864,0.31302,0.045837,0.19772,0.064862,0.0014509,0.23557,0.030099,-0.25158
18,-0.2075,-0.0067368,0.044913,0.087988,0.13592,0.025463,0.40325,0.2725,0.27471,0.074679,0.235,0.32514,0.36339,0.33841,0.41528,0.20267,0.23314,0.33429,1,0.37396,0.31631,0.58209,0.15138,0.083011,0.4871,0.43353,0.20556,0.19625,0.2491,0.20333,0.2064,0.19977,0.033367,0.16036,0.025788,0.12828,0.25919,0.17505,0.19585,0.34747,0.12661,-0.1596,0.20779,0.14016,0.042752,0.25933,0.25835,0.17862,-0.16751,0.19178,0.058971,0.0219,0.059818,0.027164,-0.024426,-0.18672,-0.0072021,0.11547,0.22508,0.048238,0.13468,0.03158,-0.042477,0.1971,0.088608,0.014605,0.10806,0.092991,0.24496,0.025812,-0.11493
19,8.4989e-05,0.18017,0.33091,0.20241,-0.047537,-0.039527,0.46206,0.1112,0.27653,-0.07189,0.19037,0.30235,0.5365,0.34902,0.5146,0.16885,0.25946,0.2304,0.37396,1,0.26208,0.33429,0.13266,0.033782,0.49766,0.16956,0.22577,0.20329,0.2857,0.18817,0.054246,-0.0075592,0.083991,0.11365,0.38927,0.2193,0.17445,0.26991,0.16576,0.30942,0.17968,0.37466,0.051909,0.14209,-0.22979,0.13656,-0.12482,0.13947,-0.23679,0.29825,0.032929,0.13724,-0.027044,0.11214,-0.061216,-0.26252,-0.039332,-0.1576,0.13399,0.062316,0.01406,-0.03566,-0.29984,-0.17882,-0.038195,-0.076446,-0.31842,-0.024374,0.1316,-0.25041,-0.12888
