,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0,1,0.78325,0.76663,0.82475,0.83594,0.81201,0.84194,0.79203,0.76212,0.83131,0.75683,0.82484,0.79559,0.82514,0.86972,0.82871,0.7872,0.80495,0.78318,0.77837,0.82527,0.74309,0.8242,0.80245,0.81045,0.77313,0.81659,0.7895,0.83158,0.79836,0.74403,0.71221,0.78502,0.83532,0.72743,0.77085,0.73278,0.7202,0.74413,0.73155,0.73381,0.77145,0.67811,0.57786,0.73062,0.70999,0.66525,0.53436,0.66194,0.62211,0.54505,0.64811,0.50584,0.46854,0.59089,0.50525,0.54626,0.53215,0.25369,0.47938,0.28978,0.29796,0.50433,0.24276,0.59969,0.29965,0.38891,0.49942,0.21531,0.27245,0.16433,0.44213,0.40402,0.38113,0.18513,0.23177,0.22755,0.23822,0.19155,0.24122,0.28513,-0.21919,0.14122,0.14173,0.10301,-0.13031,0.069035,0.30014,0.074826,0.46289,0.14005,0.23867,0.085593,0.39473,-0.031687,-0.22686,0.021853,0.42803,0.15742,0.17358,0.15697,0.154,-0.056736,0.17291,0.24443,0.12469,-0.093698,0.13748,0.20248,0.062508,0.10362,0.11123,0.26261,-0.14065,0.24615,-0.018634,0.16206,-0.18339,0.12928,0.06613,0.004831,-0.26104,0.28471,0.1658,-0.12443,0.20313,-0.27168,0.10658,-0.033009,-0.21683,0.059457,0.27445,0.16594,0.31968,0.15059,-0.23764,-0.24904,0.0020969,0.20822,-0.25765,-0.13155,-0.063048,0.065762,0.082164,0.0044032,0.10256,-0.031503,0.076518,-0.15584,-0.16491,0.19759,0.013057,0.033079,0.06461,0.24486,0.22773,-0.28268,0.14329,-0.004125,0.092708,0.0010346,-0.12058,0.03571,0.034326,0.21717,-0.17183,0.026633,0.078398,0.0018925
1,0.78325,1,0.83442,0.86709,0.77995,0.80537,0.79025,0.8057,0.72452,0.78729,0.79312,0.79487,0.80624,0.79533,0.87065,0.79238,0.79641,0.78735,0.80286,0.83378,0.73832,0.83489,0.7788,0.80798,0.80401,0.73539,0.83192,0.83007,0.79828,0.78839,0.77132,0.74214,0.85126,0.80265,0.75428,0.75713,0.74213,0.7255,0.83444,0.67012,0.73715,0.6532,0.67918,0.60727,0.76489,0.66219,0.59682,0.51311,0.65416,0.58177,0.58045,0.59086,0.4252,0.46732,0.70124,0.64926,0.45497,0.64505,0.45676,0.57619,0.20038,0.40032,0.45781,0.30837,0.54781,0.35257,0.46363,0.32118,0.15368,0.27491,0.069674,0.3779,0.42921,0.40551,0.14851,0.29507,0.26646,0.072504,0.42345,0.26264,0.07087,-0.10832,0.24616,0.099829,0.071018,-0.18798,0.17895,0.213,0.027852,0.331,0.12916,0.31027,0.077963,0.43334,-0.091879,-0.1997,-0.067491,0.175,0.21619,0.14346,0.17555,-1.0921e-05,0.034334,0.17096,0.28228,0.1794,0.23319,0.2282,0.092047,-0.01209,-0.022154,0.1792,0.34638,-0.13607,0.1961,0.019873,0.12847,-0.036814,0.016415,0.11514,-0.010691,-0.37368,0.32868,0.14405,-0.22016,0.27646,-0.20904,0.12497,-0.091122,-0.15433,0.13951,0.17829,0.099174,0.38735,-0.050282,-0.16102,-0.27566,-0.03373,0.27094,-0.080277,0.082089,0.088225,0.017082,0.1164,0.016292,0.05174,-0.10902,-0.057243,-0.1638,-0.02203,0.22667,0.059408,0.045923,0.031105,0.062915,0.074476,-0.24656,0.051206,0.046686,0.073774,-0.057998,-0.076151,-0.056022,0.24554,0.17758,-0.062113,0.0017415,-0.027202,0.0027745
2,0.76663,0.83442,1,0.89318,0.79294,0.83283,0.82245,0.84887,0.79462,0.81247,0.86115,0.80283,0.84761,0.79104,0.79544,0.78966,0.77923,0.86927,0.84017,0.86422,0.81879,0.79575,0.80212,0.84095,0.83445,0.76185,0.8016,0.79491,0.79177,0.83047,0.81079,0.83533,0.80521,0.84598,0.81935,0.78975,0.71358,0.70281,0.8317,0.80435,0.80161,0.76105,0.70256,0.65238,0.72958,0.65618,0.61782,0.54551,0.64789,0.6331,0.66237,0.73713,0.51591,0.3859,0.61915,0.62919,0.58072,0.64487,0.31367,0.44387,0.30884,0.41515,0.4359,0.3112,0.58441,0.32518,0.42597,0.33719,0.2228,0.12593,0.074036,0.29731,0.56513,0.3968,0.16499,0.30935,0.28962,0.23732,0.31804,0.2742,0.13517,-0.076119,0.066642,0.11704,0.090866,-0.095949,0.21454,0.27694,-0.06299,0.32141,0.18143,0.23514,0.16134,0.4346,-0.011752,0.061969,-0.084569,0.22265,0.27038,0.21869,0.1437,-0.034175,0.06162,0.17352,0.35329,0.11405,0.072556,0.23723,0.034447,0.14348,0.16539,0.24679,0.10953,0.012549,0.07752,0.15432,0.20912,-0.07473,0.0059095,0.26062,-0.050878,-0.40502,0.16826,0.13217,-0.10367,0.25141,-0.15341,0.014786,-0.074138,-0.13493,0.0046708,0.25585,0.0091826,0.28175,0.11347,-0.20165,-0.29324,0.18831,0.3187,-0.016158,-0.043657,0.031887,0.093111,0.024241,-0.005897,0.00078747,0.011666,-0.14089,-0.26378,-0.20409,0.2431,-0.07224,0.029559,0.15485,0.15593,0.054623,-0.1483,0.10481,0.084922,0.024833,0.027276,0.041595,0.021548,0.27182,0.21943,-0.20797,-0.15622,0.15498,0.18318
3,0.82475,0.86709,0.89318,1,0.86692,0.8445,0.86316,0.81201,0.77601,0.84245,0.84178,0.80233,0.8459,0.83643,0.88221,0.80064,0.80656,0.8586,0.86454,0.86497,0.81076,0.8213,0.83891,0.86773,0.81102,0.82186,0.8686,0.83996,0.8588,0.80445,0.78217,0.80934,0.81883,0.89324,0.78713,0.84218,0.75176,0.76485,0.85311,0.72464,0.81241,0.78797,0.73279,0.66264,0.78911,0.74621,0.68449,0.53498,0.73177,0.63484,0.63514,0.65303,0.48719,0.4457,0.62321,0.60372,0.61548,0.58501,0.35703,0.49375,0.30847,0.33684,0.55784,0.36238,0.67751,0.33106,0.4359,0.38765,0.20242,0.28372,0.12672,0.32642,0.58491,0.41858,0.053696,0.32688,0.27902,0.26943,0.41391,0.31579,0.17884,-0.078251,0.2064,0.16108,0.17923,-0.16738,0.084694,0.31983,0.0067899,0.4187,0.088636,0.29059,-0.010792,0.36537,-0.15602,-0.043485,-0.067624,0.29525,0.27212,0.13919,0.10047,0.036845,0.034565,0.29325,0.24585,0.12493,-0.0094325,0.20691,0.13916,0.088884,0.055329,0.14728,0.24792,-0.12107,0.079776,0.065882,0.081619,-0.11318,0.084713,0.20551,0.10183,-0.39233,0.2573,0.2235,-0.16663,0.39648,-0.12182,0.13139,-0.051514,-0.11847,0.019688,0.1555,-0.024264,0.36549,0.13957,-0.21357,-0.28612,0.059441,0.30322,-0.052582,-0.072474,0.092344,0.030269,0.11737,-0.093173,0.056696,0.018255,-0.036081,-0.21947,-0.19828,0.10902,-0.046074,-0.076651,0.11758,0.18181,0.16457,-0.14857,0.13842,0.056356,0.047982,-0.11355,0.059764,0.024778,0.31743,0.1882,-0.12375,-0.10317,0.064073,-0.018076
4,0.83594,0.77995,0.79294,0.86692,1,0.80733,0.82636,0.75821,0.76845,0.80196,0.84032,0.75071,0.8235,0.82698,0.83593,0.79897,0.82369,0.82829,0.82414,0.80702,0.80154,0.7709,0.75777,0.83077,0.80095,0.82788,0.82661,0.85859,0.85786,0.8143,0.75151,0.7536,0.75613,0.8265,0.77444,0.84812,0.75987,0.77699,0.72531,0.74603,0.74035,0.74832,0.59199,0.63216,0.68379,0.64179,0.63844,0.55692,0.71083,0.55834,0.62811,0.62215,0.53043,0.47175,0.70211,0.55086,0.47578,0.59578,0.2818,0.46125,0.3831,0.21471,0.44234,0.24082,0.63833,0.39924,0.35723,0.28919,0.24996,0.28323,0.14443,0.31845,0.48938,0.36237,0.065056,0.2587,0.18672,0.15726,0.24254,0.40996,0.17235,-0.13443,0.17293,0.16027,0.084612,-0.078326,0.12188,0.28921,0.039547,0.36197,0.16274,0.21386,0.079387,0.38334,-0.18962,-0.15984,0.097979,0.3363,0.17812,0.25876,0.12327,0.11262,0.06479,0.22478,0.23392,0.12927,0.040634,0.18379,0.17516,-0.024367,0.081953,0.24917,0.15472,-0.076723,0.12421,0.084529,0.16034,-0.12659,0.062778,0.21805,0.11685,-0.40716,0.30016,0.20586,-0.16067,0.26041,-0.1143,0.097141,-0.075317,-0.097866,-0.025443,0.16491,0.022284,0.22978,0.062768,-0.088126,-0.13633,0.087463,0.17544,-0.15569,-0.024753,-0.010461,0.097245,0.011759,-0.0017457,0.035807,0.095898,-0.042553,-0.18762,-0.29998,0.11977,-0.022789,-0.12218,0.034147,0.27576,0.090265,-0.21746,0.088338,0.12239,0.074124,-0.10639,-0.10857,-0.029798,0.34431,0.065591,-0.11029,-0.091785,0.041869,0.06678
5,0.81201,0.80537,0.83283,0.8445,0.80733,1,0.84855,0.83076,0.77185,0.80243,0.79713,0.79079,0.78138,0.80105,0.83429,0.83053,0.84933,0.86049,0.86433,0.83009,0.84265,0.81668,0.82351,0.80779,0.81853,0.74958,0.88206,0.76124,0.82348,0.82681,0.7256,0.80169,0.79556,0.80464,0.79787,0.82176,0.68437,0.7663,0.81103,0.70393,0.7136,0.69806,0.67764,0.64701,0.75522,0.70471,0.66339,0.57462,0.68257,0.58497,0.64155,0.63437,0.54445,0.31811,0.50657,0.54643,0.58737,0.54006,0.41731,0.51057,0.32118,0.31535,0.37877,0.32151,0.6512,0.28136,0.43868,0.48227,0.24832,0.28951,0.20683,0.31971,0.48966,0.2863,0.080349,0.21605,0.17789,0.25037,0.25814,0.31354,0.19653,-0.071537,0.10699,0.18532,0.2491,-0.23473,0.092868,0.29495,0.087426,0.35551,0.16918,0.36003,0.10984,0.42954,-0.087935,-0.062574,0.09481,0.22683,0.2744,0.24774,0.21186,0.11947,0.082401,0.097294,0.25218,0.11601,0.046919,0.096969,0.16066,0.056881,0.20247,0.12746,0.12913,-0.24373,0.20871,0.075682,0.15974,-0.052021,0.0061871,0.16989,-0.0065778,-0.40173,0.34226,0.28769,-0.13821,0.25506,-0.12967,0.018748,0.018968,-0.14885,-0.027201,0.15145,0.0063433,0.34598,0.15523,-0.17452,-0.16036,0.11798,0.081897,-0.16184,0.053028,-0.08197,-0.011171,0.13092,0.022714,0.065975,-0.074607,0.0074671,-0.18361,-0.12645,0.072332,-0.074232,-0.070155,0.053118,0.15782,0.086497,-0.22074,0.016621,0.14683,0.17577,-0.019067,0.059948,-0.072697,0.3247,0.19112,-0.21222,-0.005069,0.084866,0.063193
6,0.84194,0.79025,0.82245,0.86316,0.82636,0.84855,1,0.7988,0.80772,0.83861,0.81575,0.80929,0.77226,0.82505,0.85055,0.78672,0.78791,0.85467,0.85612,0.88151,0.79588,0.78194,0.81719,0.85441,0.8166,0.83405,0.89596,0.79925,0.83117,0.82442,0.81187,0.79116,0.76172,0.86803,0.70584,0.84169,0.75889,0.74855,0.7939,0.69758,0.73735,0.73663,0.74978,0.66009,0.72846,0.67636,0.63409,0.53383,0.66417,0.52505,0.62095,0.64375,0.49056,0.39394,0.59595,0.57768,0.55619,0.56138,0.28882,0.5891,0.32402,0.237,0.44001,0.33852,0.62313,0.3007,0.30593,0.39852,0.2226,0.31757,0.062325,0.36115,0.49665,0.29137,0.14082,0.19037,0.21943,0.12484,0.31786,0.2628,0.11611,-0.135,0.12426,0.23207,0.20124,-0.11147,0.20287,0.42198,0.11759,0.38751,0.12523,0.25146,0.15207,0.33766,-0.13463,-0.064135,-0.082571,0.229,0.27116,0.29042,0.22044,0.1767,0.17991,0.094776,0.17395,0.064056,0.05224,0.22083,0.13564,0.068368,0.16794,0.18995,0.1556,-0.20084,0.17122,0.24457,0.1384,-0.089076,0.13149,0.2123,0.056351,-0.45004,0.2726,0.16027,-0.27439,0.36297,-0.10479,0.15822,-0.015476,-0.074336,0.02981,0.24643,0.069305,0.33833,0.14493,-0.26526,-0.16928,0.14619,0.19167,-0.19138,-0.18478,0.047347,0.069003,0.056596,-0.048106,0.19133,-0.032568,-0.04149,-0.21238,-0.17003,0.18608,0.028171,0.012515,0.052883,0.078776,0.17834,-0.20174,0.17784,0.10294,0.071623,-0.11977,-0.056767,0.065486,0.18258,0.21686,-0.082374,0.0069652,0.04307,0.12576
7,0.79203,0.8057,0.84887,0.81201,0.75821,0.83076,0.7988,1,0.78537,0.82986,0.84695,0.83122,0.75924,0.80976,0.81843,0.84804,0.75685,0.78233,0.7427,0.81491,0.78877,0.76267,0.80234,0.79663,0.80421,0.71737,0.80175,0.75394,0.87332,0.8002,0.71702,0.84465,0.77157,0.80831,0.76242,0.80938,0.74161,0.65269,0.86025,0.73063,0.77354,0.69067,0.64624,0.6597,0.71384,0.68722,0.56542,0.58162,0.68142,0.5351,0.637,0.6284,0.55329,0.36539,0.61578,0.60974,0.45231,0.69129,0.29665,0.44351,0.3411,0.28139,0.50843,0.16869,0.51421,0.26864,0.41501,0.45352,0.16274,0.22667,0.098536,0.28156,0.50498,0.35194,0.059654,0.22228,0.37492,0.21612,0.35842,0.20277,0.26768,-0.16004,0.16569,0.20104,0.10703,-0.14522,0.15437,0.27772,0.08804,0.40324,0.20074,0.30128,0.33623,0.49412,0.0091204,-0.079566,0.019796,0.17155,0.29815,0.17784,0.11807,0.072978,-0.1247,0.20375,0.29666,0.094864,0.08014,0.33126,-0.0083851,0.064445,0.21227,0.20184,0.19867,-0.19614,0.21239,0.13604,0.21297,-0.17091,0.03258,0.12479,-0.039922,-0.30705,0.28158,0.1244,-0.19528,0.27421,-0.10552,0.01461,-0.13576,-0.20328,-0.034037,0.13059,0.038598,0.24791,0.064581,-0.22002,-0.27039,-0.012965,0.19294,-0.072006,0.0045637,0.035388,0.0267,0.083112,-0.072399,0.0011894,-0.13719,-0.030246,-0.15371,-0.16674,0.21118,-0.15527,0.01815,0.10136,0.22856,0.038239,-0.16039,0.10915,0.059679,0.13802,-0.0004669,0.0093812,0.0032716,0.20203,0.16664,-0.28186,-0.023372,0.037223,0.04909
8,0.76212,0.72452,0.79462,0.77601,0.76845,0.77185,0.80772,0.78537,1,0.78191,0.77956,0.71232,0.78875,0.79591,0.70489,0.77653,0.76249,0.78839,0.76086,0.76898,0.78833,0.71849,0.75066,0.79729,0.75013,0.64103,0.81822,0.73611,0.75339,0.73617,0.78293,0.80081,0.71389,0.79936,0.7536,0.78432,0.76655,0.7231,0.77225,0.73646,0.7098,0.67239,0.6131,0.66656,0.59234,0.56836,0.55484,0.51537,0.59233,0.32891,0.56946,0.62484,0.36665,0.28343,0.51818,0.4937,0.44496,0.57572,0.27817,0.49959,0.15909,0.27363,0.22514,0.19386,0.50757,0.33644,0.45381,0.46583,0.39962,0.23543,0.19587,0.30825,0.45559,0.27468,0.2321,0.14251,0.33908,0.24001,0.24102,0.11996,0.29289,-0.11746,0.078869,0.1767,-0.053687,-0.042898,0.27465,0.11686,-0.091161,0.40036,0.34585,0.24229,0.19291,0.28942,-0.17563,-0.14556,0.012755,0.26818,0.21059,0.30292,0.1838,0.24013,0.022649,0.11695,0.24223,-0.0048227,0.025626,0.13706,-0.047712,0.070314,0.21293,0.22944,0.07305,-0.30978,0.04437,0.3273,0.17619,-0.026169,-0.011393,0.24623,-0.026934,-0.32179,0.24652,0.12341,-0.236,0.15736,-0.0010891,0.023678,-0.037266,-0.19265,0.13426,0.25698,0.13183,0.31898,0.20592,-0.2227,-0.1808,-0.00032923,0.12375,-0.17454,0.043827,0.021657,0.079951,-0.016214,0.10036,-0.0035649,-0.16749,-0.16491,-0.10442,-0.082774,0.35633,-0.11145,-0.16487,-0.097615,0.21767,0.26371,-0.21854,0.016467,0.22468,0.20216,-0.096474,-0.092636,-0.026851,0.28254,0.13268,-0.30422,0.014325,0.21213,0.15542
9,0.83131,0.78729,0.81247,0.84245,0.80196,0.80243,0.83861,0.82986,0.78191,1,0.78589,0.84608,0.81509,0.82976,0.79528,0.79148,0.77476,0.76966,0.73877,0.78619,0.78503,0.75921,0.80244,0.8085,0.77874,0.76568,0.8019,0.78377,0.79697,0.82707,0.78761,0.77626,0.68654,0.79959,0.72706,0.75298,0.74639,0.71395,0.77437,0.72036,0.66271,0.82792,0.72891,0.57398,0.77176,0.65417,0.68238,0.67334,0.57007,0.47397,0.68766,0.73064,0.50627,0.31519,0.62985,0.58134,0.42087,0.60828,0.28296,0.46899,0.37161,0.32184,0.4423,0.32614,0.67218,0.24973,0.32454,0.48182,0.19319,0.24209,0.17482,0.39263,0.43708,0.38885,0.18703,0.34861,0.24347,0.2378,0.34543,0.25286,0.18573,-0.12818,0.2175,0.20539,0.077104,-0.083005,0.13498,0.31551,0.060625,0.36014,0.19431,0.22804,0.17761,0.31335,-0.16003,-0.04526,-0.089737,0.3631,0.25536,0.17464,0.091284,-0.044238,-0.043701,0.078941,0.25107,0.1363,-0.038231,0.15992,0.091441,0.12971,0.052004,0.2366,0.17171,-0.14759,0.13976,0.14826,0.16281,-0.15274,0.21826,0.18626,0.013935,-0.38445,0.27703,-0.0064923,-0.2155,0.33551,-0.068061,0.012563,0.0010095,-0.090035,-0.030773,0.20347,0.14866,0.3722,0.033959,-0.2187,-0.2407,-0.093661,0.2866,-0.16246,-0.018933,0.032329,0.051636,0.015028,-0.050697,0.075685,-0.11764,-0.093215,-0.19941,-0.14883,0.22238,-0.010791,0.011967,0.117,0.2401,0.26696,-0.14851,0.077496,0.042237,0.064143,-0.021968,-0.027276,-0.02136,0.095991,0.18974,-0.1825,0.002138,0.085481,0.10416
