,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,1,0.87127,0.87872,0.91296,0.90804,0.9078,0.90083,0.83951,0.88372,0.91571,0.88901,0.85019,0.86523,0.84326,0.85794,0.83271,0.84541,0.84323,0.78057,0.86605,0.82452,0.78814,0.78452,0.72567,0.72209,0.62287,0.77588,0.76977,0.80761,0.6359,0.61475,0.46059,0.64189,0.60424,0.51297,0.39622,0.44474,0.61438,0.074701,0.36704,0.20459,0.055584,-0.081069,0.24906,0.23383,0.31722,-0.071843,-0.034423,-0.086601,0.024183,0.022594,-0.19361,0.085021,0.015734,0.012864,-0.24603,0.03948,-0.29656,0.022167,0.056184,-0.56402,-0.28272,-0.027796,-0.22833,-0.30624,-0.12016,-0.23625,-0.073251,0.036773,-0.10519,-0.033586,-0.1899,0.20926,0.21493,-0.074403,-0.095376,0.040113,0.13832,0.15839,0.063505,0.030931,0.2068,-0.044604,0.051663,-0.04343,-0.21063,-0.18799,0.0050627,-0.099203,0.21473,-0.016356,0.094517,0.13663,-0.16333,0.44284,0.014734,0.23092,0.16135,-0.0084958,-0.14688,0.10658,-0.12665,0.034417,-0.1743,0.40987,0.014593,0.14853,0.086593,0.095021,0.23384
1,0.87127,1,0.8832,0.85481,0.85884,0.80767,0.87591,0.81783,0.88834,0.88173,0.83971,0.83544,0.79871,0.80362,0.79983,0.86946,0.8085,0.86197,0.78162,0.75967,0.8127,0.72671,0.74655,0.73139,0.74972,0.64102,0.75639,0.76044,0.84558,0.58829,0.56431,0.4109,0.56269,0.51444,0.59531,0.37377,0.3825,0.53435,0.039689,0.32843,0.28513,0.064796,-0.14691,0.17007,0.1909,0.46561,-0.13509,-0.042081,-0.098243,0.1169,-0.021724,-0.22646,0.13847,-0.0041486,0.11401,-0.16552,0.054356,-0.25536,-0.013194,0.03665,-0.50846,-0.30133,-0.081568,-0.23254,-0.21618,-0.21899,-0.30545,-0.0089153,0.12408,-0.089561,0.027032,-0.14273,0.28957,0.34346,-0.13996,0.035904,0.038024,0.11275,0.26139,0.067504,0.069229,0.071901,0.12996,0.073111,-0.044853,-0.3024,-0.23631,0.042592,-0.17606,0.11182,0.0041901,0.16606,0.15051,-0.14429,0.35316,0.082924,0.19299,0.16326,0.15119,-0.12106,0.16005,-0.27151,0.16917,-0.1686,0.25259,0.0049709,0.18392,0.13049,0.24448,0.27208
2,0.87872,0.8832,1,0.86272,0.8139,0.80082,0.89339,0.81666,0.88744,0.82146,0.83894,0.84825,0.84736,0.83418,0.76285,0.87624,0.81453,0.86349,0.80101,0.76529,0.79598,0.7483,0.74483,0.7724,0.7651,0.61096,0.76881,0.71098,0.78893,0.62594,0.60507,0.49702,0.63448,0.64195,0.58749,0.48702,0.3749,0.5328,-0.0068577,0.35838,0.23365,0.083685,-0.17964,0.21643,0.19335,0.42112,-0.18628,-0.083053,-0.037681,0.11634,-0.053757,-0.070363,0.21202,0.012105,0.022022,-0.10893,0.038467,-0.26504,0.13662,0.075183,-0.51911,-0.26226,0.019708,-0.14052,-0.22799,-0.19785,-0.28096,-0.095678,0.06206,-0.1966,-0.014578,-0.14382,0.30647,0.2554,0.027473,-0.091564,0.12963,0.10131,0.13029,-0.014256,0.10229,0.07492,-0.11868,-0.049215,-0.038772,-0.33257,-0.2873,0.013847,0.018523,0.12142,-0.036622,0.11505,0.13601,-0.15421,0.315,0.12371,0.24236,0.041807,-0.044234,-0.16033,0.059707,-0.15803,0.061131,-0.018429,0.25659,-0.068054,0.26383,0.066071,0.17162,0.16663
3,0.91296,0.85481,0.86272,1,0.83204,0.82846,0.85787,0.84802,0.86747,0.8548,0.85322,0.75816,0.83467,0.88158,0.86834,0.77928,0.78808,0.83185,0.72241,0.79635,0.82357,0.73252,0.78841,0.71599,0.71209,0.58469,0.79047,0.72546,0.73758,0.62414,0.59255,0.36674,0.63812,0.51773,0.5223,0.36642,0.35346,0.58088,0.068201,0.36444,0.20012,0.061592,-0.029069,0.077866,0.27617,0.39499,-0.12782,-0.046388,-0.11069,0.052096,-0.021701,-0.26405,0.17026,0.11475,-0.069928,-0.19371,0.012417,-0.1694,-0.049339,0.11083,-0.66427,-0.31949,-0.041725,-0.25685,-0.32589,-0.21229,-0.16727,-0.052316,0.12453,-0.076603,-0.080843,-0.11759,0.19405,0.1443,-0.087544,0.032125,0.11327,0.15703,0.2204,-0.0033441,-0.098333,0.15108,-0.12901,-0.083192,0.0059522,-0.30017,-0.29318,-0.014117,-0.11374,0.22192,-0.039749,0.10371,-0.033518,-0.12092,0.3579,0.12509,0.27886,0.11448,-0.025049,-0.067019,0.094352,-0.12719,0.091959,-0.13416,0.25226,-0.0057596,0.18802,0.021185,0.078988,0.21797
4,0.90804,0.85884,0.8139,0.83204,1,0.81804,0.83569,0.83653,0.87083,0.87386,0.85381,0.77131,0.80926,0.80309,0.84371,0.80087,0.82174,0.77294,0.74838,0.82031,0.79982,0.71682,0.82047,0.75015,0.70988,0.6338,0.73307,0.73403,0.77456,0.57644,0.6683,0.31742,0.58773,0.55865,0.48399,0.42269,0.45402,0.58781,-0.054373,0.3038,0.27546,0.1334,-0.069162,0.16713,0.20727,0.4011,-0.041525,-0.036304,0.037044,0.023153,0.067014,-0.098506,0.2005,-0.00072948,0.16803,-0.28993,0.076113,-0.3166,0.099718,0.017463,-0.5582,-0.21157,-0.034687,-0.15126,-0.2711,-0.054409,-0.29964,-0.10763,0.10821,-0.05731,0.037778,-0.083415,0.26074,0.32462,-0.12344,-0.016968,0.096308,0.098625,0.26214,0.1097,0.090368,0.21371,0.1082,0.035052,-0.17913,-0.19089,-0.16187,0.045542,-0.18425,0.10807,0.024872,0.15294,0.059535,-0.23377,0.40517,0.064042,0.14957,0.25363,-0.00010918,-0.082493,0.05518,-0.19889,0.10096,-0.1699,0.40766,0.14248,0.052304,0.058421,0.096272,0.22251
5,0.9078,0.80767,0.80082,0.82846,0.81804,1,0.86537,0.76335,0.80802,0.8501,0.85055,0.82068,0.76581,0.76422,0.85639,0.83969,0.80037,0.78238,0.75947,0.79034,0.74087,0.72647,0.74471,0.77469,0.68814,0.62591,0.68932,0.67383,0.77967,0.62707,0.59541,0.36601,0.59737,0.52538,0.53966,0.27542,0.36067,0.59979,0.22226,0.3507,0.20049,-0.056775,-0.060227,0.21155,0.21913,0.23867,-0.12063,0.012339,-0.020902,0.061843,-0.046901,-0.25865,0.03749,0.013854,0.028367,-0.16902,0.057344,-0.3206,0.04004,0.086246,-0.52719,-0.17137,0.10593,-0.18152,-0.21395,-0.053602,-0.24885,-0.031832,-0.0648,-0.16543,0.094598,-0.28252,0.28053,0.30456,0.069259,-0.17926,-0.026271,0.14996,0.12555,0.043074,0.0093171,0.088865,-0.011831,0.1185,-0.030191,-0.20052,-0.062795,-0.023641,-0.17592,0.20374,-0.051145,0.064494,0.10569,-0.12193,0.34194,-0.025677,0.27294,0.29423,-0.052112,-0.02781,0.087641,-0.083033,0.041617,-0.22178,0.39992,0.03779,0.08795,0.10469,0.065325,0.29186
6,0.90083,0.87591,0.89339,0.85787,0.83569,0.86537,1,0.81196,0.91887,0.86757,0.89394,0.85752,0.86985,0.8188,0.79173,0.85605,0.81675,0.87227,0.76159,0.79852,0.73773,0.83723,0.78519,0.72938,0.70811,0.6668,0.7493,0.7761,0.78143,0.59328,0.64526,0.48931,0.5758,0.52791,0.60224,0.452,0.42479,0.62472,0.16177,0.36288,0.15279,0.12845,-0.098094,0.22072,0.22309,0.36624,-0.13462,0.065778,0.003529,0.071961,-0.068381,-0.16591,0.085631,-0.043827,0.052801,-0.10573,0.10065,-0.27788,-0.020496,0.060302,-0.58243,-0.25564,-0.062948,-0.17249,-0.27163,-0.20556,-0.33182,-0.0071229,0.072755,-0.13788,-0.027577,-0.18201,0.28959,0.25823,-0.04267,-0.081906,0.091025,0.07671,0.1981,0.067046,0.055483,0.086299,-0.042208,0.014466,-0.016808,-0.24352,-0.16143,0.089095,-0.11526,0.043955,-0.05887,0.0024743,0.1213,-0.19378,0.42516,-0.016838,0.22634,0.18441,-0.00016687,-0.11426,0.064431,-0.098579,0.083098,-0.14279,0.34829,0.10389,0.25796,0.086607,0.12275,0.20341
7,0.83951,0.81783,0.81666,0.84802,0.83653,0.76335,0.81196,1,0.84171,0.84155,0.82159,0.71314,0.7858,0.84259,0.83211,0.77531,0.79815,0.82861,0.63232,0.79731,0.75898,0.68047,0.76244,0.6867,0.58649,0.51592,0.77296,0.7161,0.75763,0.58091,0.50195,0.38969,0.59894,0.40195,0.48982,0.39902,0.39725,0.4533,-0.057103,0.20089,0.21882,0.191,-0.15725,0.15269,0.13051,0.39868,-0.14573,0.085686,-0.11679,0.091202,-0.033247,-0.18122,0.12573,0.095649,0.13249,-0.18148,0.029967,-0.29508,0.16026,-0.0032419,-0.55666,-0.31976,-0.018005,-0.16088,-0.33275,-0.22293,-0.27378,-0.037248,0.071334,-0.095511,-0.041363,-0.02298,0.092359,0.1556,-0.12181,-0.026138,0.11689,0.20289,0.20346,0.035948,-0.033108,0.11184,-0.035254,0.068659,-0.13867,-0.17459,-0.18654,0.033497,-0.23962,0.13988,0.0091661,0.069567,-0.086629,-0.17826,0.34128,-0.021777,0.13236,0.048623,-0.018498,-0.11217,-0.029495,-0.24626,0.14517,-0.067211,0.35635,0.15729,0.21796,0.013315,0.13676,0.27827
8,0.88372,0.88834,0.88744,0.86747,0.87083,0.80802,0.91887,0.84171,1,0.85542,0.8718,0.81534,0.83329,0.83969,0.81568,0.84889,0.81571,0.85602,0.73458,0.8041,0.74839,0.75745,0.76732,0.73638,0.6975,0.67104,0.71749,0.70873,0.77853,0.59688,0.66772,0.4708,0.58162,0.48866,0.55927,0.42506,0.45352,0.59723,0.033053,0.32557,0.17965,0.14771,-0.085417,0.15702,0.1631,0.33049,-0.17521,0.018897,0.01271,0.062193,-0.045486,-0.10322,0.15546,0.010904,0.12581,-0.18336,0.063202,-0.21644,-0.023337,0.18356,-0.61584,-0.24394,-0.067903,-0.22561,-0.2656,-0.19995,-0.24967,-0.036707,0.11621,-0.161,-0.11477,-0.15164,0.28851,0.33908,-0.13236,-0.02291,0.080209,0.048589,0.27486,0.097076,0.087153,0.017647,0.011234,0.034148,0.032719,-0.31025,-0.16939,0.1126,-0.16329,0.019968,-0.050032,-0.0013131,0.14079,-0.094519,0.36972,0.045559,0.10125,0.25132,0.08016,-0.074409,0.057619,-0.20866,0.13465,-0.18464,0.26388,0.10266,0.21893,0.15338,0.16405,0.23153
9,0.91571,0.88173,0.82146,0.8548,0.87386,0.8501,0.86757,0.84155,0.85542,1,0.86006,0.81528,0.83189,0.80209,0.85772,0.82015,0.81597,0.79712,0.73591,0.87577,0.7743,0.74701,0.72373,0.71351,0.68677,0.5882,0.79173,0.75829,0.78814,0.61762,0.65104,0.35965,0.65684,0.5864,0.52479,0.44011,0.48371,0.61641,0.067078,0.27409,0.14935,0.11397,-0.065549,0.15714,0.15937,0.34859,-0.10847,0.048287,-0.064479,0.073588,-0.10379,-0.11363,0.013354,0.0073279,0.098376,-0.12981,0.048145,-0.23389,0.049003,-0.063655,-0.61678,-0.27519,-0.090497,-0.16337,-0.24829,-0.16051,-0.40179,0.033444,0.10007,-0.15272,-0.022218,-0.15762,0.20764,0.24413,-0.16893,-0.010213,0.067041,0.053789,0.18711,0.049522,0.013976,0.088768,0.068601,0.09101,-0.096582,-0.17574,-0.21318,-0.0070798,-0.12319,0.20092,-0.017663,0.014246,-0.034349,-0.25763,0.34634,-0.0095943,0.21281,0.18142,0.04241,-0.1434,0.040083,-0.12184,0.10316,-0.12364,0.30806,0.16806,0.17311,0.10268,0.14359,0.27206
