,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,1,0.79135,0.70975,0.80917,0.6724,0.77275,0.75845,0.69068,0.69512,0.5724,0.60882,0.47039,0.44301,0.49149,0.47157,0.4043,0.27146,0.069674,0.2822,0.40574,0.065836,0.27133,0.04258,-0.31428,0.0034853,-0.041949,0.0036922,-0.33492,-0.11585,-0.20887,-0.093177,-0.25399,-0.059866,-0.076013,-0.22586,-0.35467,-0.24182,-0.10974,-0.012946,-0.1809,-0.39747,-0.32579,-0.23052,0.0016749,-0.031839,-0.20821,-0.31366,-0.033808,-0.24712,-0.18492,0.0068087,-0.2382,0.10159,-0.10834,-0.014222,0.16142,-0.15788,-0.069505,0.010687,-0.052568,-0.12172,-0.052643,-0.061167,-0.23552,-0.070759,0.12186,-0.22767,0.092188,0.028587,-0.042454,-0.14996,0.28078,-0.007866,0.068772,0.31296,-0.033128,0.070913,0.13886,0.23621,0.079599,0.35961,-0.018053,0.054061,0.035146,0.011224,-0.18083,-0.020847,-0.10743,0.27731,0.042566
1,0.79135,1,0.78556,0.76913,0.69253,0.7597,0.71941,0.53099,0.6256,0.50225,0.61123,0.51314,0.44019,0.62058,0.51357,0.45314,0.30432,0.093598,0.21922,0.48193,0.15966,0.20021,-0.010083,-0.16499,-0.020981,-0.0062014,0.047491,-0.27297,-0.0042063,-0.067278,-0.0077206,-0.3277,-0.05791,-0.1986,-0.098455,-0.26159,-0.19594,-0.081056,-0.071057,-0.20427,-0.50896,-0.27542,-0.32097,-0.038425,-0.1013,-0.19577,-0.39074,0.11763,-0.28884,-0.070153,-0.023009,-0.23967,0.12485,-0.093703,-0.16033,0.045457,-0.12492,-0.060332,-0.10677,-0.15572,-0.12358,0.05404,0.0032956,-0.050029,-0.010778,0.24067,-0.11948,0.21155,-0.16948,-0.11232,-0.14041,0.19654,-0.024948,-0.039615,0.20615,-0.036176,0.059093,0.051806,0.12083,0.095043,0.42809,-0.033564,0.012048,-0.1213,0.10514,-0.22599,0.081976,-0.013668,0.22921,0.23161
2,0.70975,0.78556,1,0.75814,0.63655,0.68723,0.69454,0.57596,0.4908,0.51217,0.4636,0.35892,0.58967,0.64505,0.57695,0.36642,0.47131,0.079941,0.35989,0.46683,0.11674,0.30737,0.20688,-0.19187,-0.0039179,-0.0089882,-0.056795,-0.30901,0.018798,-0.0067583,0.16128,-0.18736,-0.098676,-0.14098,-0.099974,-0.38226,-0.21229,-0.18939,-0.16744,-0.17741,-0.46965,-0.19415,-0.24713,-0.053524,0.0018394,-0.094408,-0.32944,0.17494,0.042248,-0.028384,-0.022214,-0.22449,0.25071,-0.17406,0.05731,0.069618,-0.12384,-0.06095,0.010032,0.031869,-0.023162,0.0042616,-0.024728,-0.01354,0.051336,0.12471,-0.20489,0.11467,-0.093922,0.012542,0.099177,0.28487,0.012719,0.070587,0.34635,-0.050958,0.19562,-0.099216,0.17896,0.060749,0.38378,0.129,0.031172,0.084699,0.28455,-0.25715,0.14289,0.034681,0.27069,0.1033
3,0.80917,0.76913,0.75814,1,0.62366,0.71371,0.71538,0.53027,0.54741,0.61151,0.49547,0.4534,0.45157,0.5643,0.51849,0.42464,0.34066,0.094665,0.25392,0.38641,0.18736,0.29268,0.091891,-0.3635,-0.10374,-0.085086,0.073603,-0.23163,-0.12693,-0.15911,0.12551,-0.19172,-0.1613,-0.27743,-0.15753,-0.29411,-0.11534,0.03743,-0.11067,-0.18522,-0.44098,-0.3548,-0.25598,-0.083121,0.0060957,-0.1386,-0.43832,-0.060299,-0.086226,-0.21418,-0.10972,-0.27071,0.089271,-0.040045,-0.079611,0.2569,-0.063161,0.084925,0.0058254,-0.10758,0.099317,-0.077446,-0.25081,-0.047437,0.041263,0.049542,-0.17556,0.17712,-0.039487,-0.11692,-0.010611,0.2041,-0.00067751,-0.023296,0.29366,-0.031225,0.099462,0.14956,-0.01384,-0.0049552,0.35605,0.083961,0.056863,0.086547,0.17949,-0.20848,0.0070187,0.039298,0.19588,0.0782
4,0.6724,0.69253,0.63655,0.62366,1,0.59759,0.67655,0.55821,0.51882,0.25375,0.5188,0.53628,0.41335,0.54431,0.40967,0.20981,0.31041,0.075285,0.13254,0.18141,0.2552,0.16048,0.087771,-0.31425,-0.052128,-0.070984,-0.066107,-0.40131,-0.070746,-0.28758,-0.089043,-0.32582,-0.076248,-0.26377,-0.20219,-0.19582,-0.25697,-0.10875,-0.1127,-0.13547,-0.52545,-0.073334,-0.43023,-0.035529,-0.24313,-0.27616,-0.41959,0.088179,-0.17858,-0.2397,0.037267,-0.17766,0.14727,-0.092627,-0.079808,0.060018,-0.12758,-0.15374,-0.024579,-0.071731,-0.30532,0.00073299,-0.22011,-0.017728,-0.10409,0.24844,0.027776,0.095982,-0.074527,-0.020245,-0.13576,0.18573,-0.096499,0.22449,0.34499,-0.17163,0.012063,-0.055387,0.16949,-0.11999,0.53964,0.0094434,0.050239,0.027516,0.21045,-0.19836,-0.013477,-0.11131,0.25429,0.19766
5,0.77275,0.7597,0.68723,0.71371,0.59759,1,0.63923,0.58389,0.61127,0.52755,0.47934,0.42619,0.23871,0.5091,0.40083,0.37185,0.31345,0.078474,0.28467,0.29353,0.19227,0.40479,0.12537,-0.28082,-0.097711,-0.07674,-0.058628,-0.24736,-0.060546,-0.18986,-0.011694,-0.17693,-0.071803,-0.2341,-0.1282,-0.26693,-0.16714,-0.13815,0.070559,-0.28849,-0.39657,-0.22261,-0.16795,0.046498,-0.04279,0.0014608,-0.33093,0.19373,-0.1799,-0.24978,0.096274,-0.24975,0.13391,-0.091751,0.0011608,-0.059904,-0.071572,0.073159,-0.021083,-0.13768,-0.10878,-0.067042,-0.12139,-0.067096,-0.095402,0.071502,-0.1941,-0.0040874,-0.15084,-0.22013,-0.13203,0.3759,0.011265,0.029509,0.19631,0.019246,0.12498,-0.059268,0.084111,0.0102,0.21248,0.012767,-0.040411,0.033205,0.075249,-0.22641,0.052346,-0.091843,0.26073,0.16881
6,0.75845,0.71941,0.69454,0.71538,0.67655,0.63923,1,0.58127,0.46371,0.51965,0.45265,0.46594,0.57926,0.5129,0.51583,0.28213,0.27947,0.060513,0.36363,0.43737,0.21357,0.085077,0.055161,-0.30974,0.01544,0.052086,-0.08922,-0.15764,0.039823,-0.16356,0.0026278,-0.24041,0.03577,-0.17894,-0.21528,-0.24794,-0.073138,-0.067481,-0.27393,-0.15288,-0.35654,-0.32369,-0.2253,0.019067,-0.080912,-0.16241,-0.31749,0.050227,-0.2643,-0.23576,-0.11069,-0.34952,0.17951,-0.16504,-0.082604,0.1809,-0.099872,-0.090672,0.21554,-0.26438,-0.25672,0.11517,0.042891,0.030705,0.050301,0.11204,-0.25306,0.18079,0.068951,0.13265,-0.098593,0.27478,0.028217,0.13212,0.2586,-0.082616,0.080323,0.15077,0.2329,0.13743,0.40505,-0.025948,-0.055984,0.093105,0.11682,-0.33205,0.031912,0.022235,0.43041,0.10959
7,0.69068,0.53099,0.57596,0.53027,0.55821,0.58389,0.58127,1,0.44217,0.43147,0.43307,0.37008,0.53432,0.45826,0.27851,0.27879,0.24375,-0.039187,0.22218,0.30166,0.28138,0.15078,0.12359,-0.22043,-0.10113,0.1502,-0.025466,-0.16268,0.00045458,-0.11572,-0.15319,-0.24933,0.11044,0.11994,-0.15768,-0.24887,-0.20142,-0.13933,0.09222,-0.23863,-0.2355,-0.060256,0.079525,-0.096994,-0.28523,-0.24065,-0.37426,-0.13863,-0.19498,-0.2282,0.0083897,-0.3239,0.039036,-0.13518,-0.072502,0.033242,-0.21825,-0.13893,-0.023844,0.002395,-0.1921,-0.16717,-0.080745,-0.15829,-0.1625,0.10975,-0.24908,-0.14273,-0.037409,-0.11628,0.16832,0.14198,-0.075145,0.23963,0.2461,-0.16264,-0.18628,0.093234,0.22696,-0.08585,0.10235,0.061563,0.10688,0.10761,0.010821,-0.22232,-0.023762,-0.049721,0.36161,0.13029
8,0.69512,0.6256,0.4908,0.54741,0.51882,0.61127,0.46371,0.44217,1,0.43458,0.49018,0.3828,0.32967,0.4665,0.31761,0.4456,0.35767,0.030517,0.21118,0.26307,0.059934,0.13401,0.07959,0.029155,-0.1285,-0.036421,0.15217,-0.47512,-0.056075,-0.12073,-0.20856,-0.19521,-0.042794,-0.073887,-0.22558,-0.090554,-0.10014,0.10388,0.12787,-0.0017184,-0.18863,-0.063628,-0.13341,0.11789,-0.16596,-0.23357,-0.22582,0.039303,-0.14208,-0.21337,0.17029,-0.22894,-0.13925,-0.060729,-0.070535,-0.16645,-0.021825,0.052646,0.080822,-0.029759,-0.20084,0.13543,0.085922,-0.025795,0.093603,0.19649,-0.057619,0.075054,-0.15546,0.014436,-0.20951,-0.018657,-0.22215,-0.084241,0.1585,0.13234,0.02151,0.097629,0.14432,-0.10537,0.054521,-0.019261,0.070628,-0.15929,0.077656,-0.026451,0.038941,0.079825,0.10261,0.085397
9,0.5724,0.50225,0.51217,0.61151,0.25375,0.52755,0.51965,0.43147,0.43458,1,0.29202,0.27603,0.44506,0.47392,0.28174,0.24041,0.32241,0.33765,0.19859,0.37643,0.13021,0.49798,0.13794,-0.19749,-0.12219,-0.073184,0.058351,0.07292,0.1724,-0.16431,-0.16634,0.12176,0.026236,0.065355,0.19682,-0.12429,0.035655,-0.11911,0.059057,-0.095654,-0.014353,-0.14908,-0.011605,0.060618,0.05524,0.094445,-0.39931,0.17487,-0.20905,-0.012851,0.046428,-0.28741,0.20005,0.14303,0.032354,0.16885,-0.032537,0.36747,0.026294,-0.17995,0.055625,0.14683,0.019564,0.1566,0.018768,-0.007752,-0.12286,0.10667,0.045695,-0.036896,0.058554,0.12382,0.010662,-0.066568,0.33753,0.043531,0.25636,0.20648,0.14268,0.15012,0.017369,0.16171,-0.060961,0.13002,0.10321,0.0213,0.037684,0.058331,0.025419,0.017627
