,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0,1,0.86675,0.85008,0.78437,0.86257,0.83879,0.83573,0.85736,0.88575,0.88521,0.85296,0.76539,0.77113,0.87265,0.82713,0.86276,0.76045,0.86845,0.89237,0.86474,0.81467,0.8411,0.79378,0.76683,0.82432,0.80241,0.775,0.88095,0.82132,0.85053,0.85235,0.88507,0.81524,0.8583,0.74175,0.83011,0.77702,0.77714,0.78342,0.7405,0.76946,0.75376,0.6719,0.66118,0.71572,0.82109,0.62309,0.67023,0.75864,0.54662,0.61383,0.54139,0.66798,0.56361,0.49532,0.56947,0.70648,0.38726,0.56783,0.55339,0.35289,0.53749,0.27751,0.59242,0.50304,0.2622,0.50491,-0.027588,0.44566,0.33568,0.059798,0.39201,0.19892,0.31315,0.28871,0.51462,0.062674,0.27034,0.039686,0.51824,0.29038,0.29683,0.084656,0.26577,0.2186,0.029833,0.34471,-0.021995,0.030378,0.11576,0.050034,0.32188,-0.010733,0.37915,0.085293,0.044366,0.045207,0.083242,-0.1884,0.40422,0.20945,0.20937,0.39964,0.026538,0.14075,-0.10057,0.26189,0.35748,0.21455,0.082925,0.29641,0.010584,0.24469,0.15497,-0.060315,-0.16489,0.054796,0.18127,-0.066041,0.13348,-0.0023018,0.058096,0.049887,-0.10939,-0.042709,-0.016358,-0.10384,0.24196,0.12073,0.040938,0.15776,-0.11111,-0.15814,-0.031197,0.05165,0.13125,0.20651,-0.25701,0.019009,-0.035181,-0.20511,0.0022424,-0.15552,-0.0059092,0.094041,0.015886,0.1008,0.1042,0.17614,0.09572,0.070532,-0.2392,-0.0010093,-0.0086295,-0.133,0.10079,-0.076918,-0.047296,-0.091992,0.19902,0.28598,0.21242,0.093489,0.070092,-0.080858,0.17292,0.080207,-0.046765,-0.050008,0.10864,-0.0018372,0.1315
1,0.86675,1,0.80654,0.79077,0.81388,0.80909,0.87152,0.8543,0.84076,0.8133,0.84754,0.79661,0.79643,0.83367,0.85102,0.83051,0.76982,0.83121,0.7834,0.8218,0.80966,0.86173,0.71571,0.70529,0.79822,0.82518,0.76887,0.88679,0.84972,0.82922,0.79835,0.85201,0.73644,0.85694,0.77417,0.83831,0.73793,0.78786,0.7432,0.79014,0.76041,0.72639,0.65783,0.62918,0.80935,0.74399,0.68102,0.70435,0.75737,0.53282,0.62938,0.55835,0.74341,0.64493,0.43261,0.56985,0.67593,0.48702,0.47975,0.48576,0.38703,0.57377,0.22484,0.56234,0.53744,0.34047,0.54934,0.010791,0.5521,0.32545,-0.027096,0.36531,0.23845,0.30863,0.21867,0.57681,0.12371,0.11766,0.046774,0.51072,0.23129,0.32825,0.081456,0.23868,0.16742,0.046755,0.22428,0.16045,-0.093295,0.0947,0.078886,0.21497,-0.0055605,0.25778,0.16211,0.082658,-0.057696,0.11358,-0.10399,0.24038,0.18067,0.19986,0.41111,-0.055202,0.18982,-0.044452,0.038736,0.27968,0.23269,0.11707,0.29475,-0.031351,0.18029,0.30328,-0.060396,-0.16262,0.031043,0.1807,0.0082138,0.093826,0.11945,0.11052,0.031123,-0.020765,-0.072916,-0.068932,-0.13558,0.13237,0.12828,0.11927,0.1708,-0.26512,-0.070305,-0.14704,-0.00095811,0.15914,0.17518,-0.10008,0.00094128,-0.04937,-0.25861,-0.096838,-0.12802,-0.01016,0.16337,0.034012,-0.036797,0.1059,0.07807,0.17044,-0.018895,-0.098849,0.051939,0.030906,-0.12567,0.083559,0.033692,0.062614,-0.15798,0.10487,0.32055,0.24479,0.082179,0.014198,-0.028396,0.030703,0.10638,-0.053583,-0.19062,0.16016,0.021733,0.065919
2,0.85008,0.80654,1,0.80452,0.80756,0.8269,0.77695,0.78078,0.84841,0.82393,0.77246,0.7068,0.84181,0.79373,0.80486,0.82353,0.7458,0.82992,0.7804,0.84749,0.76826,0.80513,0.69447,0.77192,0.81549,0.83542,0.76278,0.83685,0.806,0.79887,0.82762,0.85607,0.74931,0.76702,0.68214,0.84507,0.75981,0.79578,0.71657,0.71982,0.76677,0.73748,0.73641,0.57394,0.71661,0.77727,0.54792,0.58654,0.67952,0.56204,0.56633,0.49846,0.63974,0.501,0.43591,0.50419,0.62721,0.49931,0.65212,0.5181,0.42869,0.60835,0.38219,0.48465,0.53389,0.2056,0.38723,0.15209,0.41645,0.37973,0.074902,0.23581,0.2695,0.34382,0.22112,0.61672,0.13469,0.27737,0.093264,0.42558,0.33496,0.2474,-0.0071603,0.20062,0.18137,-0.0026422,0.40135,-0.085282,-0.065824,0.033252,0.036493,0.26628,-0.02116,0.41843,0.026808,0.027656,0.095049,0.10913,-0.17385,0.22884,0.15614,0.18882,0.36951,-0.041126,0.18042,0.081361,0.30509,0.37517,0.087742,0.17441,0.19313,0.042286,0.38014,0.11035,-0.01767,-0.061124,0.061201,0.079393,0.01979,0.095973,-0.07686,0.11251,-0.031924,-0.12963,0.085713,0.028931,-0.30944,0.17073,0.15718,-0.076643,0.18393,-0.20784,-0.013217,-0.11611,0.047154,0.26292,0.090658,-0.089713,0.034506,0.0038023,-0.22321,0.094414,-0.12067,0.031277,0.085628,-0.014994,0.051029,0.10721,0.1871,0.050229,0.054297,-0.10414,-0.026469,-0.038973,-0.10991,-0.0098909,-0.071962,-0.12233,-0.060678,0.08178,0.21094,0.25547,0.17507,0.015574,-0.14156,0.088485,0.063337,0.0028669,-0.12036,-0.019184,0.065859,0.16072
3,0.78437,0.79077,0.80452,1,0.81482,0.84853,0.80324,0.83665,0.86391,0.78932,0.7945,0.72744,0.74749,0.79933,0.79195,0.83946,0.80231,0.80199,0.72917,0.80117,0.73002,0.81541,0.75281,0.82905,0.81707,0.79276,0.75422,0.79867,0.80318,0.78636,0.83039,0.77042,0.7931,0.85339,0.77642,0.75498,0.77248,0.8138,0.7744,0.76784,0.81398,0.75494,0.63638,0.61709,0.70546,0.68251,0.61905,0.62298,0.65659,0.56813,0.60915,0.49383,0.64533,0.51466,0.52826,0.51377,0.70954,0.54764,0.56234,0.65273,0.43015,0.40909,0.29001,0.47145,0.42673,0.15601,0.46491,0.10241,0.45921,0.18355,0.025139,0.28059,0.26935,0.38616,0.26854,0.57348,0.14647,0.13735,-0.055435,0.50448,0.24993,0.1796,0.061353,0.18132,0.017984,0.019916,0.18922,0.036986,-0.092639,-0.013999,0.017196,0.26514,-0.13096,0.2575,0.12336,0.10462,0.172,0.19306,-0.11568,0.24469,0.22916,0.3098,0.47329,-0.02251,0.22878,-0.020183,0.25831,0.36451,0.28934,0.20629,0.22127,-0.089355,0.31862,0.16847,-0.094233,-0.14557,0.015547,0.10039,0.1975,0.079685,-0.053021,0.048312,-0.056792,-0.048526,0.14308,0.037599,-0.22113,0.29151,0.090435,0.17173,0.14013,0.027978,-0.16166,-0.089617,0.16639,0.23517,0.1056,0.068307,0.018669,0.073137,-0.28739,0.10511,-0.076554,0.02784,0.20489,0.11876,-0.018535,0.048669,0.09442,-0.0205,-0.033921,-0.015499,-0.17687,-0.020599,-0.16776,-0.021801,-0.040415,-0.081282,-0.18364,0.1013,0.2555,0.11808,0.12778,-0.11268,0.031675,0.11923,-0.00056999,0.042636,-0.18054,-0.0048651,0.075801,0.068231
4,0.86257,0.81388,0.80756,0.81482,1,0.84697,0.87512,0.8623,0.87072,0.82351,0.80326,0.7267,0.77095,0.83159,0.82955,0.86646,0.76727,0.84009,0.81951,0.8429,0.78053,0.8364,0.67601,0.78068,0.82471,0.74334,0.68369,0.84536,0.88986,0.77857,0.76362,0.84405,0.7757,0.82337,0.7859,0.76081,0.77696,0.7313,0.77119,0.75541,0.67861,0.72059,0.67101,0.58708,0.74064,0.71722,0.58111,0.62116,0.66592,0.56359,0.54183,0.55145,0.74375,0.53343,0.47901,0.53335,0.70493,0.43309,0.64018,0.58677,0.2435,0.59767,0.27348,0.44858,0.50073,0.33017,0.52513,0.098948,0.32859,0.33677,0.082373,0.40423,0.26888,0.35902,0.20119,0.53924,0.086071,0.15959,-0.0084417,0.43866,0.23124,0.27523,-0.094968,0.13667,0.19813,0.03155,0.32728,0.14699,0.040779,0.092848,0.056078,0.2777,0.035256,0.27941,0.013376,-0.06593,0.13941,0.039743,-0.34768,0.3043,0.086714,0.1799,0.31471,0.020828,0.15768,-0.015042,0.19555,0.15206,0.33597,0.15612,0.22545,-0.06245,0.19547,0.36853,-0.032979,-0.19024,0.12264,0.12791,0.030666,-0.058304,-0.050835,0.03745,0.034937,-0.087769,0.021076,-0.0088973,-0.21662,0.2123,0.18278,0.12078,0.15161,-0.096203,-0.093511,-0.070192,0.071507,0.25816,0.13026,-0.10393,0.041878,-0.071299,-0.30187,0.15017,-0.11401,-0.04807,0.097305,-0.083494,0.026181,0.10952,0.22425,-0.024798,-0.004115,-0.1507,-0.0062378,0.022342,-0.1015,0.026786,-0.08824,0.028694,-0.091878,0.1553,0.22897,0.10134,0.11093,0.11888,-0.13395,-0.042297,0.20032,0.063935,-0.14441,0.10165,0.019413,-0.075048
5,0.83879,0.80909,0.8269,0.84853,0.84697,1,0.7638,0.78526,0.80346,0.77208,0.83342,0.76821,0.79685,0.8256,0.78408,0.87875,0.79151,0.83682,0.79107,0.84937,0.76865,0.84565,0.78679,0.78306,0.81116,0.77895,0.7515,0.80887,0.79575,0.81275,0.84999,0.84572,0.7458,0.82518,0.70538,0.77942,0.78512,0.82952,0.76429,0.71153,0.75026,0.75976,0.66557,0.55122,0.63454,0.68168,0.55613,0.60728,0.70944,0.57863,0.59569,0.54097,0.64554,0.50657,0.42187,0.5783,0.70037,0.50987,0.63402,0.60609,0.28568,0.49786,0.3109,0.57948,0.4567,0.20088,0.39513,0.18071,0.5109,0.4097,-0.0010014,0.39439,0.1556,0.26759,0.22893,0.59415,0.0049131,0.29898,-0.0061867,0.53728,0.17769,0.32966,0.078896,0.10702,0.13356,-0.10076,0.32418,0.032524,-0.039691,0.014325,0.063878,0.27017,-0.011246,0.17981,0.13023,0.080605,0.081948,0.14149,-0.15542,0.18483,0.1395,0.25623,0.52499,0.036759,0.1403,-0.059748,0.27698,0.18113,0.23909,0.19745,0.23627,-0.11832,0.12207,0.24736,-0.055074,-0.22941,0.12547,0.16344,-0.0086944,0.033261,0.0079634,0.062218,-0.054114,-0.091381,-0.080997,0.061528,-0.18009,0.24833,0.03042,0.0032887,0.14383,-0.14265,-0.19874,-0.0011907,0.11185,0.15414,0.1886,-0.12708,0.031273,0.14728,-0.31072,0.10617,-0.11063,0.12963,0.13772,0.0043178,-0.085267,0.04176,0.15379,0.035827,0.061684,0.01508,-0.080878,0.028947,-0.10604,0.017326,-0.071321,-0.11935,-0.17503,0.0539,0.26748,0.11308,0.23362,-0.070628,-0.20239,0.063008,0.073601,0.020567,-0.082909,0.16042,-0.018769,0.072816
6,0.83573,0.87152,0.77695,0.80324,0.87512,0.7638,1,0.85128,0.84774,0.78257,0.77596,0.73299,0.74091,0.82182,0.78095,0.78998,0.77959,0.83074,0.80837,0.82192,0.81136,0.74076,0.68062,0.66468,0.79014,0.72917,0.72688,0.82497,0.84392,0.80997,0.78085,0.77985,0.76882,0.7871,0.77582,0.77338,0.79551,0.75295,0.80373,0.77189,0.70115,0.72866,0.56576,0.56089,0.78696,0.71177,0.64638,0.68545,0.66169,0.56362,0.58916,0.5637,0.76877,0.60189,0.43632,0.54545,0.66802,0.30007,0.52186,0.56966,0.38263,0.56169,0.17614,0.44424,0.50488,0.34675,0.54538,0.032002,0.33063,0.30727,-0.030178,0.42228,0.36563,0.36929,0.20884,0.59139,0.15328,0.075609,-0.0018909,0.45103,0.23611,0.2365,0.06031,0.25706,0.24941,0.1166,0.23889,0.10253,-0.12502,0.12795,0.1377,0.33555,0.079181,0.29047,0.14047,-0.057028,-0.065364,0.063109,-0.2062,0.23444,0.11155,0.29556,0.36838,-0.0044151,0.23948,-0.063273,0.093732,0.28064,0.27984,0.18517,0.12035,0.0012863,0.24343,0.29713,-0.1615,-0.10603,-0.089206,0.12247,-0.022371,0.13576,-0.10314,0.087404,0.011553,-0.021481,0.05286,-0.038268,-0.14265,0.075457,0.096934,0.17305,0.15841,-0.12465,-0.089003,-0.13984,0.061197,0.33666,0.089214,-0.15765,-0.089088,-0.051228,-0.18532,-0.052867,-0.15974,-0.056961,0.115,0.065088,0.086263,0.23868,0.15884,0.096729,-0.078458,-0.14731,-0.17198,-0.079676,-0.13835,-0.065506,-0.030567,0.003293,-0.11548,0.27696,0.28651,0.1948,-0.015437,0.071892,0.0039403,-0.0010166,0.051753,-0.01554,-0.27081,0.13559,0.14725,-0.0090546
7,0.85736,0.8543,0.78078,0.83665,0.8623,0.78526,0.85128,1,0.87477,0.83467,0.80388,0.73285,0.72558,0.79815,0.81127,0.85295,0.70913,0.84651,0.78964,0.82787,0.75687,0.82914,0.67975,0.75232,0.87072,0.78369,0.80346,0.78878,0.8306,0.83317,0.7799,0.78488,0.80859,0.85219,0.74673,0.80841,0.75302,0.78798,0.78821,0.77344,0.75486,0.74708,0.69004,0.65973,0.81336,0.65852,0.62148,0.71072,0.75068,0.52406,0.61656,0.49526,0.67106,0.56403,0.46625,0.48917,0.61516,0.51317,0.50968,0.62725,0.39192,0.56648,0.22726,0.55345,0.44361,0.34815,0.58123,0.095198,0.38665,0.23602,0.0257,0.33334,0.26675,0.36933,0.26616,0.55429,0.11912,0.087243,0.086931,0.54691,0.22356,0.21551,-0.012529,0.13468,0.08091,0.10888,0.21744,0.11007,-0.048102,0.15273,0.15847,0.30514,0.067891,0.27012,-0.0050267,-0.073667,0.084421,0.079738,-0.24717,0.22614,0.22565,0.18106,0.34781,-0.082919,0.24846,-0.012523,0.064519,0.21633,0.23712,0.11796,0.23339,-0.1107,0.20398,0.28486,-0.10375,-0.23326,0.020811,0.084046,0.048866,0.17006,-0.077067,-0.057563,0.0037837,0.051482,0.097387,-0.080677,-0.1471,0.1908,0.064253,0.11498,0.10575,-0.11216,-0.091505,-0.19396,0.17232,0.15312,0.15094,-0.15427,0.051526,-0.089095,-0.14545,0.028965,-0.03599,-0.055379,0.059091,0.065481,-0.011495,0.060659,0.13747,0.095813,0.0027057,-0.15566,-0.085955,0.038529,-0.066384,-0.0051596,-0.013643,0.1308,-0.088828,0.20367,0.28367,0.18591,0.090299,-0.035141,-0.099888,-0.077582,0.11848,-0.035932,-0.16081,0.15192,0.24412,-0.0027111
8,0.88575,0.84076,0.84841,0.86391,0.87072,0.80346,0.84774,0.87477,1,0.88042,0.85714,0.80194,0.79391,0.81006,0.82999,0.85511,0.79654,0.87768,0.7885,0.87284,0.79306,0.83348,0.75037,0.80448,0.84497,0.82525,0.82531,0.8207,0.82516,0.87116,0.83817,0.84077,0.82126,0.87321,0.77751,0.80009,0.84503,0.77579,0.83907,0.77737,0.78255,0.72855,0.7235,0.68609,0.80156,0.7461,0.6721,0.62092,0.74727,0.51531,0.61843,0.54774,0.76051,0.58827,0.43064,0.50648,0.65474,0.45321,0.60118,0.56644,0.26811,0.52136,0.23192,0.46939,0.47733,0.31406,0.53093,0.058561,0.43974,0.16402,0.032389,0.33358,0.30635,0.3011,0.28609,0.5287,0.12131,0.23429,0.047828,0.47598,0.34334,0.21468,-0.036258,0.17483,0.15871,0.13353,0.28347,0.023714,-0.0056728,0.048809,0.088085,0.3054,0.0085682,0.33373,0.12393,0.13716,0.13087,0.19407,-0.16023,0.40487,0.14066,0.21315,0.30552,-0.066542,0.26503,0.12043,0.2633,0.35656,0.26046,0.043292,0.28917,-0.0031269,0.32158,0.12387,-0.064958,-0.17365,0.085897,0.13279,0.14924,0.11927,-0.076529,-0.022178,0.082826,-0.093443,0.021869,-0.039116,-0.23669,0.34652,0.1012,0.16817,0.19632,-0.0686,-0.11213,-0.098811,0.068573,0.15127,0.20821,-0.07725,0.066628,-0.13032,-0.31021,-0.004895,-0.12209,-0.048719,0.1829,-0.015365,0.019263,0.097162,0.23341,0.10738,-0.0058408,-0.10289,-0.12504,-0.057787,-0.18546,0.013154,0.013345,0.042181,-0.17941,0.15866,0.35489,0.17426,0.19085,-0.047741,-0.014148,0.038204,-0.014612,0.064008,-0.14924,0.021832,0.16099,0.073139
9,0.88521,0.8133,0.82393,0.78932,0.82351,0.77208,0.78257,0.83467,0.88042,1,0.84652,0.82509,0.77483,0.81718,0.82954,0.8439,0.73581,0.81306,0.80428,0.84712,0.79172,0.81576,0.82014,0.84487,0.82901,0.81061,0.7524,0.82903,0.84526,0.81684,0.81861,0.83438,0.75306,0.83677,0.78185,0.79947,0.77295,0.72053,0.78612,0.71959,0.73869,0.73887,0.63383,0.61359,0.76827,0.73766,0.72073,0.61852,0.76607,0.48058,0.64479,0.51273,0.64189,0.59878,0.42053,0.55731,0.66328,0.42769,0.46218,0.53828,0.34892,0.49823,0.3187,0.49187,0.43956,0.32708,0.4683,0.076142,0.42925,0.33181,0.15206,0.34256,0.076749,0.33866,0.23481,0.50418,0.072955,0.26583,0.030378,0.46979,0.31328,0.29066,0.0037342,0.1499,0.20123,0.13559,0.26851,0.11141,-0.038211,0.089097,0.042631,0.21222,0.01707,0.28367,0.15143,0.024398,0.1495,0.0043584,-0.29318,0.3884,0.23797,0.11968,0.30946,-0.10011,0.079096,0.0050149,0.33591,0.30567,0.05581,0.20264,0.30469,-0.017209,0.18976,0.12859,-0.089703,-0.21265,0.16161,0.23724,0.027836,0.0069967,0.0072695,0.071836,0.11426,-0.02358,-0.091131,-0.046422,-0.12414,0.25738,0.16378,0.079922,0.21053,-0.061383,-0.24791,-0.17016,0.1302,0.15644,0.15898,-0.13427,0.1692,-0.097191,-0.26688,-0.090608,-0.076807,-0.061501,0.21657,0.093432,0.045205,0.10393,0.23044,0.092068,0.012396,-0.20317,-0.08315,-0.041258,-0.057231,0.11883,-0.078508,0.030437,-0.07841,0.13246,0.23935,0.15456,0.16956,0.05467,-0.033958,0.024086,0.049458,0.0030285,-0.027461,0.0049541,0.067127,0.19766
