,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,1,0.76667,0.71868,0.51318,0.75164,0.75825,0.72089,0.62926,0.67532,0.53262,0.59515,0.66696,0.46681,0.57288,0.36726,0.47378,0.33413,0.33659,0.45344,0.1866,0.10665,0.21346,0.056191,0.12025,-0.43586,0.30792,-0.1243,-0.086059,-0.09866,0.031638,-0.18674,0.10809,-0.10952,-0.2534,-0.15597,-0.45061,0.20837,0.076279,-0.24304,-0.13818,-0.38368,-0.18529,-0.066103,-0.16171,-0.13686,-0.35794,-0.21834,-0.25142,-0.14908,-0.21232,-0.39832,-0.15684,-0.32379,0.10528,-0.42986,-0.041873,-0.15421,-0.062456,-0.084557,0.071881,-0.031072,-0.078703,0.037745,0.0087024,-0.056894,-0.092481,-0.10982,-0.29066,0.15273,0.018186,0.036637,-0.10211,0.068441,0.25494,-0.076011,0.19016,-0.069848,0.037503,0.10283,0.12521,-0.12997,0.30077,0.023488,0.081465,0.23024,0.31881,0.11807,0.030894,0.14974,-0.17041,0.15522,-0.022137
1,0.76667,1,0.696,0.58011,0.80551,0.78441,0.6956,0.58272,0.72183,0.58622,0.56982,0.7196,0.4631,0.55336,0.47787,0.28177,0.30467,0.13118,0.46002,0.20891,0.10374,0.11295,0.094497,0.19944,-0.19149,0.21299,-0.12235,0.12178,-0.058384,-0.15462,-0.10739,0.030149,0.031851,-0.2288,-0.10835,-0.35784,0.18035,0.03992,-0.24247,-0.14227,-0.16907,-0.35191,-0.10221,-0.29234,-0.22996,-0.23314,-0.30218,-0.29212,-0.091252,-0.15225,-0.36279,-0.28173,-0.31091,0.098978,-0.31304,0.015759,-0.12305,-0.18938,0.011102,0.13126,-0.14384,-0.081867,0.034664,-0.063983,-0.049161,-0.020068,-0.13291,-0.20043,-0.067412,0.0030653,0.090214,-0.069163,0.093438,0.15199,-0.058652,0.19642,0.014657,-0.035086,0.045307,-0.036068,-0.16714,0.27712,0.064799,0.2246,0.21817,0.092493,0.14286,-0.038842,0.14755,-0.26493,-0.0017371,0.073806
2,0.71868,0.696,1,0.65192,0.70551,0.76739,0.62279,0.6467,0.65462,0.61823,0.76725,0.4475,0.47664,0.57331,0.33206,0.32054,0.36031,0.069879,0.44242,0.25151,0.19668,-0.0032865,0.1108,0.11721,-0.24193,0.29104,0.068133,-0.0079943,-0.074317,-0.056238,-0.091628,-0.044409,-0.012003,-0.1317,-0.16596,-0.40365,0.32587,-0.10951,-0.32976,-0.1694,-0.23044,-0.1535,-0.092078,-0.19882,0.0041714,-0.47897,-0.01421,-0.14201,-0.1195,-0.12447,-0.22417,-0.098106,-0.30604,0.056003,-0.37999,0.13293,-0.067565,-0.29524,-0.01409,0.041346,-0.038173,0.042766,-0.11513,0.018051,0.053057,0.11607,-0.2203,-0.035793,-0.0074329,-0.025351,0.028285,-0.26052,0.20495,0.28441,0.0029707,-0.027618,-0.095124,0.13997,0.077306,0.038189,0.013364,0.41208,0.10378,-0.03215,0.28615,0.33729,0.12948,0.15349,0.19354,0.032684,0.085378,-0.014969
3,0.51318,0.58011,0.65192,1,0.52358,0.55249,0.5993,0.48555,0.52781,0.46312,0.71019,0.34438,0.42674,0.34911,0.0070911,0.34444,0.34262,0.18231,0.28203,0.20564,0.24617,0.065839,0.13313,0.063975,-0.1998,0.04741,0.082857,-0.10028,-0.14574,-0.1179,0.049768,-0.023052,-0.12016,0.0008998,0.048285,-0.36285,0.26523,0.25349,-0.15961,-0.11797,-0.062843,-0.24864,0.05029,-0.41427,-0.30207,-0.30181,-0.12991,-0.13195,-0.055874,-0.24936,-0.38436,-0.18303,-0.27094,0.055737,-0.13427,0.032611,-0.032946,-0.12032,-0.036476,0.015288,0.039456,-0.23049,-0.20882,0.38544,-0.042831,0.045724,-0.13948,-0.16682,-0.034684,0.13367,-0.296,-0.13727,-0.11361,0.2266,0.0026921,-0.052559,0.06952,-0.017753,0.028267,0.0048946,-0.12488,0.14245,0.08817,-0.0043571,0.29389,0.099247,-0.20726,0.039905,0.21272,0.069987,0.031485,0.19226
4,0.75164,0.80551,0.70551,0.52358,1,0.79742,0.77354,0.61811,0.73144,0.4912,0.59796,0.68988,0.40471,0.55641,0.43106,0.3524,0.37649,0.16386,0.4547,0.14976,0.19079,0.18694,0.094285,0.15783,-0.26973,0.36743,-0.057123,0.0035218,0.052437,-0.056347,0.10383,0.042801,-0.13783,-0.18892,-0.21971,-0.37038,0.40753,-0.18019,-0.21815,-0.10173,-0.25996,-0.3371,-0.10561,-0.27164,-0.040282,-0.28737,-0.13071,-0.073815,-0.047261,-0.15875,-0.22276,-0.09627,-0.30393,-0.049545,-0.29975,-0.12892,-0.17276,-0.20225,0.083117,0.069671,-0.085481,-0.0973,-0.14412,0.034594,-0.049575,-0.072805,-0.13506,-0.084552,-0.089913,0.0079807,0.12814,-0.23314,0.13996,0.22738,-0.024851,0.23094,-0.084664,0.006897,0.030906,0.032626,-0.11023,0.24821,0.090093,0.12978,0.24583,0.22723,0.027234,0.078311,0.15824,-0.22836,0.02706,-0.081911
5,0.75825,0.78441,0.76739,0.55249,0.79742,1,0.73811,0.63886,0.76807,0.47486,0.58876,0.7055,0.53209,0.47139,0.39337,0.25677,0.4682,0.12236,0.49055,0.12862,0.16547,0.0012954,-0.0047701,0.08054,-0.20736,0.31409,-0.11166,0.16375,-0.056078,-0.20813,-0.036876,-0.058781,0.034188,-0.30826,-0.25667,-0.39797,0.25638,-0.045582,-0.33988,-0.14149,-0.35532,-0.28446,-0.20341,-0.29637,-0.10066,-0.3263,-0.14063,-0.098618,-0.039999,-0.023044,-0.25277,-0.15942,-0.3298,0.052922,-0.28968,-0.034408,-0.20997,-0.25097,-0.011641,0.1748,-0.050402,-0.019499,0.014836,0.19739,0.027468,-0.11363,-0.25471,-0.045257,0.1077,-0.06898,0.028024,-0.16707,0.12242,0.28501,-0.095056,0.24699,-0.052501,0.19798,0.19412,0.058415,0.038079,0.44175,-0.072118,0.11549,0.21781,0.1771,0.012925,0.22231,0.076441,-0.12184,0.10043,-0.045787
6,0.72089,0.6956,0.62279,0.5993,0.77354,0.73811,1,0.58627,0.73444,0.41438,0.63914,0.61709,0.50725,0.35437,0.22428,0.51207,0.54545,0.14836,0.41288,0.25578,0.12892,0.28118,-0.060698,0.067269,-0.25417,0.32856,-0.033858,0.11893,0.041451,-0.079351,0.14235,-0.011408,-0.1809,-0.099978,-0.16426,-0.43399,0.26193,-0.071471,-0.13883,-0.052048,-0.29533,-0.19218,-0.046105,-0.21683,-0.16399,-0.26161,-0.18052,-0.22711,-0.044602,-0.2788,-0.27851,-0.025847,-0.17448,0.025878,-0.31152,-0.073954,-0.10237,-0.095833,0.064673,0.1021,-0.11546,-0.11604,-0.063809,0.1302,0.011387,0.0069199,-0.060641,-0.11031,0.12269,-0.016726,-0.019761,-0.16876,-0.07801,0.45513,-0.13863,0.085594,0.086465,0.024061,0.029249,0.094686,-0.033677,0.10525,0.1161,0.14878,0.26753,0.095531,-0.064438,0.1824,0.241,-0.15749,0.15392,-0.038227
7,0.62926,0.58272,0.6467,0.48555,0.61811,0.63886,0.58627,1,0.55413,0.582,0.62477,0.54356,0.51328,0.40991,0.18083,0.25128,0.16023,0.36985,0.36081,0.28033,0.12427,0.018611,0.03625,-0.1681,-0.39602,0.15649,0.043285,-0.20004,0.066931,0.081401,-0.037836,-0.10877,-0.14685,-0.22278,-0.17146,-0.28712,0.14429,-0.069269,-0.22709,-0.16274,-0.22341,-0.19822,0.098777,0.073681,-0.093963,-0.33019,-0.15454,-0.34402,-0.21819,-0.14654,-0.059176,-0.15175,-0.34624,0.061108,-0.23335,-0.010367,-0.14495,-0.29293,-0.0085669,0.0024979,-0.08757,-0.094611,-0.11608,0.0093801,0.085459,-0.020144,-0.23324,-0.10734,-0.0043431,0.15389,0.050096,-0.25333,0.1947,0.22861,-0.18713,0.24333,0.043939,0.082026,0.16817,0.18683,-0.030415,0.29875,0.058935,0.22421,0.2694,0.2029,0.00044837,0.095395,0.085199,-0.047654,0.082859,-0.037715
8,0.67532,0.72183,0.65462,0.52781,0.73144,0.76807,0.73444,0.55413,1,0.27731,0.62175,0.61479,0.55835,0.472,0.20514,0.37071,0.23634,0.15434,0.37347,0.36818,0.32217,-0.083625,0.071833,0.068463,-0.18638,0.24515,0.066274,0.0019654,0.048943,-0.19069,0.070604,0.020964,-0.038589,-0.16594,-0.30798,-0.34957,0.24545,0.085387,-0.28992,-0.12262,-0.27181,-0.078448,-0.13289,-0.28342,-0.079876,-0.39605,-0.027003,-0.15201,-0.078128,-0.14775,-0.29101,-0.11568,-0.24935,-0.09292,-0.29978,-0.044437,-0.046494,-0.032079,0.098637,0.3375,-0.23642,-0.2227,0.067637,0.14811,0.09205,-0.035238,-0.16021,-0.027459,-0.048587,-0.010026,-0.085484,-0.20804,0.079708,0.21503,0.040844,0.085497,-0.10644,0.17008,0.03934,0.0064572,0.019553,0.30231,0.22487,0.097151,0.099584,0.17911,0.1596,0.24783,0.1019,-0.14342,0.035019,0.25761
9,0.53262,0.58622,0.61823,0.46312,0.4912,0.47486,0.41438,0.582,0.27731,1,0.55853,0.50929,0.39991,0.45013,0.28107,0.14541,0.26211,0.1405,0.49932,0.012073,0.0082166,0.04296,0.086404,0.063427,-0.27507,0.10433,0.020309,-0.2294,0.10671,0.20009,-0.015146,-0.10532,-0.062663,0.076065,0.15894,-0.16939,0.2325,0.0044781,-0.1369,-0.28844,-0.085836,-0.041341,0.156,0.1246,-0.019732,-0.13551,-0.076325,-0.23441,-0.22547,-0.055397,-0.12365,-0.074742,-0.21521,0.12975,-0.21192,0.2574,-0.061657,-0.2951,0.051987,0.15129,0.18574,-0.046879,0.084077,-0.17304,0.072432,-0.018801,-0.15228,-0.1204,0.091113,0.055806,0.18935,-0.35337,0.21169,0.16469,-0.18039,-0.022421,-0.0187,-0.14683,-0.0064395,0.15079,-0.023114,0.2938,-0.044545,0.16778,0.45938,0.36685,-0.079826,-0.20558,0.13444,-0.10494,-0.03321,-0.082266
