,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172
0,1,0.89946,0.82764,0.87161,0.84003,0.82771,0.86881,0.87963,0.89638,0.86021,0.80131,0.80778,0.8368,0.82943,0.83811,0.83221,0.81605,0.86789,0.87237,0.87587,0.83551,0.87307,0.87633,0.8415,0.82386,0.85495,0.8624,0.78352,0.84454,0.86272,0.81572,0.85711,0.80133,0.85176,0.78822,0.74484,0.81222,0.76407,0.84159,0.76404,0.80541,0.75826,0.77287,0.68126,0.52466,0.72255,0.69066,0.60688,0.72671,0.72307,0.58162,0.40517,0.64603,0.70147,0.56328,0.3823,0.55149,0.56817,0.75901,0.45387,0.68662,0.42673,0.38828,0.42509,0.40895,0.4085,0.44335,0.15309,0.31932,0.22946,0.089639,0.24982,0.31001,0.29499,0.40613,0.42311,0.27877,0.11772,0.1796,0.36474,0.23776,0.34079,0.26119,0.18868,0.34973,-0.049136,0.18795,0.20088,0.02616,-0.025606,-0.10654,0.18003,0.16759,0.26989,-0.067426,0.16295,0.18906,-0.025941,-0.023825,0.10485,0.12192,0.16988,0.16507,0.18174,0.023749,0.38436,0.087484,0.19491,0.33358,0.13897,0.21684,0.17599,-0.10531,0.17173,0.12677,-0.054671,-0.080694,0.20299,-0.14828,0.13841,0.028392,0.012179,-0.041289,-0.16544,0.15676,0.032263,0.10288,-0.23958,0.12741,-0.063355,0.065569,-0.11679,0.017373,0.17639,-0.040323,0.37833,0.025739,-0.037761,-0.086345,0.12306,0.13422,-0.17662,0.15971,-0.011189,-0.28857,0.15976,0.10014,0.24438,-0.0021473,-0.17361,-0.24637,-0.088222,0.041754,0.046424,-0.26401,-0.098061,0.017702,-0.17149,-0.049437,0.19099,0.31708,0.23864,0.31276,-0.012361,0.065279,0.026282,-0.2277,0.21714,-0.20074,0.25138,0.11188,0.018609,0.032185
1,0.89946,1,0.80659,0.78949,0.84516,0.80801,0.87656,0.85166,0.88292,0.7788,0.77588,0.84061,0.87576,0.80569,0.80113,0.80672,0.79284,0.83064,0.81296,0.80728,0.78694,0.85353,0.86817,0.85989,0.76723,0.85817,0.85483,0.73421,0.83668,0.88531,0.78154,0.74862,0.83012,0.82547,0.78359,0.70889,0.75622,0.73382,0.80023,0.73606,0.75071,0.72542,0.72022,0.75141,0.47738,0.69853,0.66135,0.57412,0.74426,0.68415,0.65913,0.43986,0.62411,0.71062,0.46236,0.4393,0.56985,0.5593,0.68093,0.43533,0.57709,0.35732,0.28384,0.32585,0.40131,0.3295,0.46417,0.11708,0.25951,0.21054,0.083228,0.21113,0.37399,0.24497,0.43433,0.40204,0.20529,0.14578,0.07549,0.22465,0.22633,0.37343,0.3463,0.23729,0.28858,-0.065758,0.11666,0.18158,0.033423,0.022361,-0.077413,0.22716,0.047472,0.27977,-0.15204,0.1136,0.15897,0.00087069,0.075968,0.16228,0.15347,0.18823,0.21102,0.064209,0.067122,0.29755,0.17249,0.18242,0.22953,0.13407,0.21099,0.1678,-0.13976,0.1298,0.088452,-0.0092746,0.078441,0.2889,-0.060333,0.21304,0.00086806,-0.031523,0.059478,-0.15362,0.082047,-0.056324,-0.0018374,-0.22692,-5.8411e-05,0.00011212,0.10581,-0.046858,0.010077,0.041227,0.027336,0.35855,0.031464,-0.084466,-0.011574,0.1929,0.095847,-0.13025,0.19414,-0.02854,-0.26714,0.094829,0.11443,0.097326,-0.030582,-0.19794,-0.23604,-0.025551,0.064135,-0.0091638,-0.24296,-0.14203,0.15454,-0.24152,0.082289,0.24044,0.25242,0.25722,0.29744,-0.017163,0.03767,-0.068103,-0.12357,0.15913,-0.2754,0.23064,0.22543,0.13558,0.043967
2,0.82764,0.80659,1,0.86186,0.86977,0.82503,0.83076,0.82129,0.8299,0.81454,0.78254,0.81225,0.86056,0.83859,0.77649,0.8123,0.83352,0.84386,0.78426,0.74959,0.74466,0.82423,0.78587,0.80647,0.74407,0.80982,0.7947,0.73675,0.80497,0.82032,0.78909,0.76128,0.80709,0.79596,0.8343,0.72381,0.769,0.77137,0.80416,0.74534,0.78806,0.70453,0.71771,0.6725,0.51432,0.69714,0.54917,0.60951,0.67785,0.58495,0.56734,0.53093,0.60959,0.6156,0.62145,0.45282,0.55584,0.56386,0.6317,0.34805,0.61251,0.41476,0.22907,0.43665,0.32026,0.28089,0.3338,0.14756,0.28651,0.20145,0.11762,0.22602,0.2897,0.21984,0.43139,0.31234,0.22891,0.26173,0.34027,0.26585,0.090294,0.23856,0.14638,0.2237,0.3272,0.071155,0.031931,0.17318,-0.0059396,0.13468,-0.084947,0.20732,0.057807,0.26654,-0.15815,0.1898,0.19927,0.15792,0.021879,0.27236,-0.0018044,0.11775,0.11309,0.2535,0.12104,0.2394,0.18195,0.076961,0.26216,0.061601,0.2228,0.028831,-0.10221,0.19696,0.08499,-0.072882,0.12822,0.27688,-0.080475,0.13708,0.044464,0.076248,0.05544,-0.059619,0.018434,0.014391,0.057729,-0.16447,0.14898,-0.017662,0.049955,-0.025273,0.10488,0.041196,0.03283,0.22078,-0.096799,0.035668,-0.15547,0.21639,0.22226,0.014029,0.06829,0.10717,-0.24284,0.045885,0.122,0.20528,-0.09868,-0.065693,-0.14315,-0.009992,0.02966,0.064324,-0.087772,0.037494,0.072609,-0.093505,0.088503,0.12241,0.072024,0.26523,0.26389,-0.090955,0.020218,0.04216,-0.12042,0.22063,-0.29073,0.27331,0.17464,-0.053389,-0.077509
3,0.87161,0.78949,0.86186,1,0.82773,0.83247,0.83771,0.86376,0.86872,0.81444,0.82614,0.80142,0.83404,0.83255,0.78496,0.78072,0.75972,0.83937,0.79347,0.83545,0.80236,0.80696,0.83321,0.80926,0.85061,0.85316,0.81776,0.84545,0.81941,0.81498,0.85206,0.79387,0.81688,0.77439,0.86152,0.69286,0.81473,0.73893,0.81892,0.74162,0.76181,0.71271,0.70924,0.59424,0.51997,0.66656,0.64663,0.57084,0.71003,0.56966,0.53897,0.44033,0.64079,0.70171,0.60076,0.37985,0.52145,0.47076,0.67744,0.38167,0.59659,0.46875,0.29055,0.42528,0.39313,0.31001,0.35376,0.027231,0.27394,0.22914,0.19195,0.31852,0.42378,0.27346,0.34115,0.44543,0.2601,0.12713,0.25865,0.35055,0.2017,0.2473,0.21027,0.27105,0.37324,-0.053087,0.13445,0.32587,0.065485,0.0098632,-0.079144,0.23583,0.02391,0.28191,-0.084455,0.21432,0.28652,0.095052,0.017044,0.23581,0.13626,0.11264,0.088931,0.23787,0.022547,0.21335,0.11918,0.054998,0.33186,0.014892,0.22276,0.034995,-0.010582,0.18036,0.13346,-0.12519,0.10132,0.20802,-0.0041825,0.0087393,0.11301,0.12174,-0.089887,-0.040001,0.096879,-0.026762,0.017494,-0.19595,0.08438,0.088115,0.08282,0.018558,0.071022,0.2172,-0.098413,0.24905,0.0039451,-0.033078,-0.16503,0.16202,0.23558,-0.12569,0.039894,0.10961,-0.2803,0.063203,0.22182,0.21992,-0.083367,-0.17131,-0.15132,-0.065818,0.0039523,0.061978,-0.096498,-0.17184,0.09337,-0.070548,-0.092734,0.075216,0.12557,0.15112,0.45109,-0.11371,0.11199,0.024003,-0.070029,0.31665,-0.15095,0.21515,0.088207,-0.095929,-0.067833
4,0.84003,0.84516,0.86977,0.82773,1,0.84861,0.83986,0.83272,0.84015,0.82414,0.81627,0.79382,0.80894,0.80683,0.78787,0.7838,0.83796,0.83608,0.73272,0.79382,0.77654,0.82667,0.79053,0.84444,0.8033,0.77739,0.78619,0.75225,0.77507,0.8529,0.76008,0.78161,0.83407,0.79223,0.7681,0.714,0.68394,0.78346,0.81245,0.76485,0.71236,0.72972,0.72878,0.70629,0.47683,0.70966,0.60908,0.59518,0.61965,0.66364,0.54792,0.51497,0.54076,0.63256,0.61799,0.48652,0.61107,0.46764,0.6737,0.47082,0.59554,0.37693,0.26595,0.45573,0.35697,0.28019,0.39079,0.053365,0.24594,0.25167,0.11538,0.10882,0.21843,0.23643,0.47395,0.36569,0.24697,0.22155,0.26489,0.26887,0.066296,0.31499,0.25917,0.24959,0.2402,-0.13748,0.053582,0.15808,0.11091,-0.027422,-0.12642,0.15958,0.080037,0.22496,-0.11334,0.19327,0.12909,-0.039829,0.056372,0.13981,0.19736,0.23883,0.21829,0.19894,0.097693,0.38449,0.11898,0.1229,0.44387,0.11106,0.3296,0.075576,-0.078524,0.14622,0.10645,-0.0073676,0.048325,0.21144,-0.060074,0.15712,-0.069599,0.076435,-0.019002,-0.095365,-0.0032819,-0.017186,0.090255,-0.16502,0.026402,-0.043959,-0.0069854,0.028181,0.059635,0.098341,-0.053027,0.30546,-0.048698,0.13781,0.0018885,0.1586,0.26623,-0.057976,0.080245,0.078136,-0.20757,-0.089769,0.18061,0.20511,-0.050043,0.006423,-0.10142,-0.083527,0.051869,0.027393,-0.20649,-0.096056,0.031326,-0.14237,0.023764,0.12754,0.068174,0.19935,0.25133,-0.084187,0.067242,0.045837,-0.15012,0.23804,-0.26512,0.22372,0.18178,-0.043577,0.10327
5,0.82771,0.80801,0.82503,0.83247,0.84861,1,0.79245,0.84605,0.84621,0.8414,0.7838,0.84832,0.79132,0.83778,0.74089,0.83574,0.84238,0.8707,0.80923,0.81382,0.75601,0.81796,0.78069,0.7852,0.79281,0.82504,0.8051,0.84933,0.78621,0.7564,0.77253,0.81513,0.80538,0.80153,0.85577,0.70257,0.83407,0.79987,0.73194,0.7982,0.81506,0.71744,0.73393,0.64183,0.48607,0.71666,0.6338,0.67339,0.63032,0.63528,0.59993,0.51443,0.64469,0.69562,0.56221,0.39615,0.46797,0.56899,0.68964,0.46627,0.60124,0.38907,0.30181,0.34761,0.35359,0.38585,0.41289,0.10403,0.28216,0.25548,0.11204,0.18316,0.4213,0.26617,0.45319,0.42512,0.18831,0.24223,0.34999,0.36906,0.1709,0.29578,0.13812,0.073518,0.23391,-0.18487,0.16549,0.22711,0.081741,0.10282,-0.17566,0.18968,0.050624,0.18243,-0.059696,0.044347,0.12874,0.086452,0.050822,0.14847,0.011734,0.24561,0.15488,0.22417,0.068256,0.41981,0.0021451,0.091332,0.29204,0.12006,0.27191,0.051631,-0.0063674,0.095764,0.19885,-0.11035,0.085266,0.22252,-0.18945,0.10261,0.012156,-0.013434,-0.030313,-0.067209,0.12027,-0.054059,0.080872,-0.15025,0.068218,0.0282,-0.012358,-0.091664,0.15992,0.12716,-0.15828,0.34733,-0.12049,0.05292,-0.18552,0.19977,0.17995,-0.095995,0.016122,0.040515,-0.25649,0.0050535,0.18459,0.16338,-0.076254,-0.013636,-0.19538,0.010596,0.11364,-0.11223,-0.21688,0.018626,0.20134,-0.24146,-0.0072708,0.10481,0.20716,0.20274,0.23217,-0.035574,0.054463,-0.12918,0.062873,0.18167,-0.23213,0.26025,0.25955,0.077799,-0.037181
6,0.86881,0.87656,0.83076,0.83771,0.83986,0.79245,1,0.87388,0.86428,0.7778,0.74651,0.72434,0.80837,0.79498,0.76675,0.74687,0.83282,0.86322,0.78897,0.78961,0.83623,0.78127,0.81476,0.76513,0.72514,0.83371,0.82231,0.69686,0.86382,0.83474,0.75598,0.81624,0.775,0.81144,0.80522,0.66929,0.76497,0.73094,0.77265,0.73467,0.75326,0.66113,0.72905,0.61607,0.55452,0.69546,0.51237,0.54391,0.66592,0.6785,0.54868,0.40432,0.60685,0.66303,0.58064,0.41901,0.54946,0.59503,0.69754,0.40432,0.5797,0.34314,0.33201,0.31958,0.29239,0.27322,0.43213,0.13343,0.22335,0.13286,0.11825,0.30285,0.30636,0.31116,0.44332,0.36959,0.30341,0.062449,0.057879,0.1931,0.13653,0.38251,0.24714,0.26842,0.35359,0.039203,0.116,0.12907,0.042184,0.025286,-0.19112,0.25983,-0.049955,0.40252,-0.14029,0.23581,0.061498,-0.013243,0.025788,0.088875,0.15252,0.23622,0.22444,0.28018,0.089063,0.23931,0.089875,0.18348,0.26079,0.11574,0.17631,0.079213,-0.0989,0.13876,0.24686,0.019376,0.11647,0.17385,0.086565,0.0174,-0.039824,0.11459,-0.062151,-0.07784,0.053054,0.1087,0.0074292,-0.2058,0.097925,0.0012644,0.16049,0.10283,-0.05569,0.079689,-0.017566,0.48538,0.039156,-0.037766,0.0376,0.21299,0.16176,-0.1793,0.18312,0.009463,-0.29785,0.032217,0.19277,0.2198,-0.095969,-0.20951,-0.15548,-0.088988,-0.060385,0.01558,-0.079544,-0.1519,0.045042,-0.10631,0.030365,0.18155,0.22089,0.24587,0.29565,-0.022148,0.019939,0.035569,-0.12304,0.26346,-0.39027,0.16075,0.11411,0.06495,0.038052
7,0.87963,0.85166,0.82129,0.86376,0.83272,0.84605,0.87388,1,0.88065,0.8023,0.83575,0.8088,0.79611,0.81694,0.80605,0.77373,0.81481,0.83926,0.80731,0.81548,0.8453,0.81339,0.8144,0.76553,0.76862,0.86187,0.78285,0.72988,0.78936,0.86259,0.80431,0.83152,0.79411,0.81061,0.82566,0.70169,0.80934,0.73701,0.76406,0.7925,0.78996,0.71018,0.71705,0.60766,0.52749,0.70083,0.59679,0.60039,0.78444,0.6182,0.60171,0.42472,0.60413,0.6046,0.55061,0.37823,0.55557,0.47327,0.70793,0.4126,0.60789,0.43926,0.24199,0.28199,0.2953,0.3263,0.33524,0.060688,0.28282,0.20044,0.094346,0.27749,0.38817,0.31159,0.40384,0.44341,0.29185,0.09421,0.093546,0.30517,0.18553,0.37989,0.16699,0.31048,0.30731,-0.03247,0.084154,0.1097,0.12124,0.11717,-0.055553,0.26225,0.11671,0.33454,-0.086234,0.0626,0.089041,0.067109,-0.028314,0.12313,0.1169,0.18588,0.16896,0.19799,0.049454,0.31599,0.029451,0.16901,0.33062,0.19335,0.19999,0.1199,-0.047987,0.22655,0.2444,-0.12882,0.05558,0.23669,-0.047277,0.16603,-0.0060479,0.026166,0.018345,-0.030661,0.23475,0.09682,0.060534,-0.28778,0.10831,0.071494,0.16158,-0.043259,-0.024884,0.22535,-0.036723,0.3542,-0.042052,-0.0040148,-0.15522,0.23546,0.20802,-0.105,0.088175,-0.0097879,-0.24651,0.15925,0.17419,0.30969,-0.058293,-0.21266,-0.22851,-0.060256,0.018434,-0.097742,-0.27891,-0.093178,0.03866,-0.18325,-0.028459,0.12166,0.15364,0.23835,0.26967,0.016474,0.056655,-0.021435,-0.092488,0.33183,-0.21704,0.22526,0.079254,0.087029,0.0094828
8,0.89638,0.88292,0.8299,0.86872,0.84015,0.84621,0.86428,0.88065,1,0.7932,0.87185,0.83734,0.83965,0.81566,0.81937,0.82218,0.83726,0.87746,0.80621,0.86685,0.79236,0.85616,0.86226,0.84167,0.86796,0.85322,0.82871,0.82113,0.85277,0.86486,0.80981,0.78444,0.82889,0.84685,0.86315,0.75445,0.80829,0.71758,0.81058,0.7333,0.70267,0.74059,0.74427,0.73429,0.54769,0.70539,0.64962,0.61013,0.72042,0.69341,0.56065,0.40765,0.60861,0.72214,0.59878,0.38383,0.57853,0.45618,0.69705,0.42646,0.61876,0.38916,0.32053,0.42285,0.34557,0.37436,0.35837,0.23117,0.29504,0.20608,0.17418,0.29725,0.40042,0.26271,0.40487,0.42188,0.28431,0.12845,0.16668,0.29711,0.24048,0.27011,0.30058,0.17726,0.35554,-0.024054,0.13815,0.17882,0.11712,0.024587,-0.17977,0.18839,0.16097,0.24714,-0.20497,0.18307,0.27945,0.013458,-0.049689,0.10533,0.080541,0.14919,0.07314,0.026987,-0.046849,0.3533,0.096734,0.1483,0.32495,0.13989,0.25094,0.16475,-0.05893,0.097671,0.11708,-0.053715,0.0574,0.35582,0.023603,0.076909,-0.091956,-0.0038308,-0.033672,-0.039692,0.054471,-0.10251,0.048946,-0.30311,0.19063,0.064118,0.14209,-0.049489,0.048406,0.053591,-0.0047116,0.33811,0.055501,-0.012247,-0.028454,0.079341,0.12719,-0.21367,0.15399,-0.022582,-0.34013,0.10683,0.12361,0.13892,-0.16205,-0.12869,-0.18279,0.0867,0.057066,0.072322,-0.27455,-0.085969,0.10247,-0.15924,-0.011077,0.20417,0.25561,0.20377,0.31164,-0.11873,0.018979,-0.039604,-0.096801,0.27532,-0.26639,0.25666,0.22045,0.092326,-0.13243
9,0.86021,0.7788,0.81454,0.81444,0.82414,0.8414,0.7778,0.8023,0.7932,1,0.7114,0.78391,0.84421,0.74142,0.79068,0.79635,0.76693,0.81041,0.79505,0.79764,0.778,0.77861,0.77463,0.79476,0.79968,0.78072,0.7381,0.74404,0.71602,0.79501,0.77307,0.78689,0.83689,0.78742,0.75872,0.65602,0.80376,0.80186,0.7585,0.784,0.79009,0.76337,0.67311,0.66331,0.58418,0.72055,0.67738,0.62252,0.67439,0.60422,0.59144,0.41808,0.56359,0.66798,0.57913,0.34523,0.5016,0.50183,0.68704,0.39878,0.61082,0.48595,0.22753,0.3916,0.37389,0.29138,0.38899,0.24266,0.30221,0.12744,0.17164,0.27807,0.21981,0.28361,0.44016,0.43894,0.21996,0.26407,0.24754,0.29872,0.1583,0.30071,0.22987,0.16208,0.26142,-0.070455,0.22832,0.28021,0.064101,0.048371,-0.025435,0.22732,0.19365,0.31101,-0.11647,0.091649,0.15093,0.074569,0.083149,0.15668,0.030119,0.24394,0.10558,0.21606,-0.0056975,0.45091,0.095988,0.076855,0.26898,-0.014169,0.11082,-0.037722,-0.11281,0.19463,0.1868,-0.010108,-0.011936,0.027989,-0.10747,0.14785,0.1006,0.077466,-0.004581,-0.1537,0.0029896,0.010081,0.012587,-0.21773,0.15723,0.033654,0.09221,-0.016911,-0.010601,0.12791,-0.07459,0.37961,-0.084357,0.076348,-0.16405,0.18571,0.15888,-0.18766,0.13747,-0.012611,-0.16226,0.093337,0.11248,0.23636,-0.048051,-0.056335,-0.18868,0.054791,0.012723,0.075438,-0.20977,-0.098995,0.08563,-0.10731,0.048058,0.27274,0.2581,0.15443,0.308,-0.1004,0.12709,-0.0073665,-0.081464,0.056731,-0.26511,0.1822,0.15851,0.066544,0.025017
