,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,1,0.88834,0.8517,0.90687,0.90587,0.89628,0.90257,0.87983,0.90593,0.90383,0.84462,0.81187,0.85148,0.90244,0.82901,0.82669,0.79746,0.83264,0.8227,0.76824,0.70779,0.80086,0.66336,0.66889,0.78483,0.7773,0.73624,0.81394,0.67732,0.57176,0.50262,0.61793,0.48119,0.49537,0.56182,0.67972,0.44111,0.5653,0.42573,0.29262,0.35657,0.26101,0.15778,0.19816,0.087887,0.058748,0.10226,-0.011912,0.28865,-0.15557,0.0026162,-0.11441,0.074316,-0.013192,-0.15979,-0.032505,-0.071249,0.084749,-0.36023,-0.26842,-0.31819,-0.22078,-0.22976,-0.030677,0.0728,0.099729,-0.18066,-0.35715,-0.31487,-0.36406,0.14004,-0.29745,-0.082151,-0.13314,0.0011393,0.045382,0.019366,-0.035234,-0.026278,-0.1755,-0.062784,-0.18747,0.019168,0.19317,-0.051465,-0.10627,-0.15917,-0.041019,0.25623,0.038684,0.11744,-0.036807,0.029933,0.071376,0.16064,-0.15267,0.11929,-0.22404,0.081528,0.17555,-0.27412,-0.073418,0.094673,0.11269,0.35633,-0.15163,-0.10721,-0.0187,-0.16662,0.11482,-0.19409,-0.12996
1,0.88834,1,0.85885,0.87875,0.88035,0.91797,0.88382,0.8489,0.9114,0.86601,0.87707,0.83534,0.88222,0.83016,0.84752,0.81641,0.81261,0.7998,0.78007,0.73273,0.78789,0.78054,0.73422,0.69543,0.7614,0.74425,0.72978,0.81791,0.75366,0.59869,0.53575,0.66877,0.51833,0.4739,0.54444,0.6729,0.44897,0.57268,0.35518,0.29107,0.42766,0.21925,0.065665,0.20807,0.040049,0.22964,0.15627,0.069378,0.24355,-0.090104,-0.027255,0.054886,0.12671,0.063814,-0.17888,-0.064891,-0.069961,0.096314,-0.42813,-0.23758,-0.29457,-0.19636,-0.17702,-0.0090717,0.077266,0.23632,-0.16327,-0.3246,-0.25417,-0.23804,0.16573,-0.164,0.0044921,-0.15761,0.01869,0.1514,0.063752,-0.11257,-0.046345,-0.24254,-0.15215,-0.14211,-0.044243,0.19689,-0.16147,-0.071917,-0.13624,-0.0029217,0.2084,0.022191,0.079691,-0.084306,0.11084,0.10585,0.013502,-0.17307,0.1703,-0.25404,0.0092315,0.14877,-0.25034,-0.1358,-0.034662,0.0035469,0.19589,-0.090249,-0.05282,-0.047646,-0.09776,0.038923,-0.070694,-0.12013
2,0.8517,0.85885,1,0.84509,0.82095,0.85884,0.85076,0.87083,0.91822,0.86144,0.83521,0.81132,0.84197,0.79817,0.83163,0.78865,0.81452,0.84052,0.8127,0.7464,0.69052,0.71424,0.74008,0.62491,0.71361,0.78806,0.69889,0.74268,0.63166,0.63479,0.54889,0.52281,0.4259,0.45462,0.38498,0.55201,0.47045,0.40811,0.47953,0.33562,0.22684,0.11873,0.18786,0.14459,-0.031966,0.045336,0.15651,-0.075128,0.17851,-0.1764,-0.14109,-0.02124,-0.052993,-0.12619,-0.32011,-0.029908,-0.14102,0.092639,-0.29275,-0.22368,-0.21669,-0.26801,-0.1719,0.0033759,0.043898,0.14104,-0.15274,-0.21041,-0.24207,-0.36719,0.13215,-0.24503,0.059796,-0.00070244,-0.08541,0.023536,-0.039234,-0.12737,-0.11062,-0.17781,-0.13339,-0.082273,0.034443,0.070396,-0.22511,-0.1327,-0.16456,-0.10882,0.3205,0.12474,0.029719,-0.2767,0.069189,0.037446,-0.056179,-0.086312,0.11805,-0.20303,0.075251,0.1925,-0.25118,-0.11281,0.020259,0.073154,0.32584,-0.25174,-0.18569,0.089972,-0.20578,0.14811,0.023805,-0.035564
3,0.90687,0.87875,0.84509,1,0.85137,0.91205,0.8642,0.83386,0.86271,0.87074,0.87299,0.8296,0.87562,0.84344,0.79302,0.84276,0.81211,0.82771,0.86419,0.80994,0.66486,0.80009,0.73059,0.66727,0.72617,0.79238,0.72146,0.80091,0.68849,0.61051,0.46925,0.62986,0.56127,0.41804,0.49951,0.6298,0.44269,0.54239,0.47423,0.25197,0.35256,0.20462,0.14978,0.10179,0.091617,0.15113,0.17592,-0.050612,0.17033,-0.22795,-0.10483,-0.021984,0.052929,-0.024818,-0.23247,-0.05247,-0.042028,0.10681,-0.37446,-0.31727,-0.26634,-0.25232,-0.14216,-0.037094,0.014845,0.12347,-0.14834,-0.35555,-0.28605,-0.29771,0.2673,-0.21792,0.021252,-0.048514,-0.13883,0.10619,-0.04696,-0.11417,-0.064309,-0.17588,-0.01538,-0.19192,-0.047977,0.15174,-0.17963,-0.090157,-0.19562,-0.081642,0.2881,0.12216,0.10046,-0.016638,0.1169,0.071563,0.08994,-0.10199,0.14591,-0.17378,0.082391,0.10753,-0.29249,-0.16029,0.058809,0.087833,0.23651,-0.10255,-0.095659,0.039877,-0.10743,0.14768,-0.10304,-0.038565
4,0.90587,0.88035,0.82095,0.85137,1,0.82576,0.84266,0.85341,0.89841,0.86258,0.85428,0.75003,0.83578,0.86499,0.83773,0.79411,0.78766,0.83087,0.80879,0.75355,0.74383,0.79567,0.64964,0.63597,0.72505,0.76032,0.78898,0.81371,0.6622,0.57902,0.44491,0.68028,0.48582,0.48421,0.55422,0.60047,0.44032,0.63379,0.37479,0.30481,0.40286,0.27516,0.072408,0.19511,-0.0088528,0.16176,0.20864,0.03443,0.29687,-0.086339,0.0067907,-0.14543,0.07497,0.039466,-0.25609,-0.054536,0.013034,0.078577,-0.34983,-0.22897,-0.23465,-0.18752,-0.23467,-0.038786,0.043392,0.072549,-0.11097,-0.26347,-0.23832,-0.41156,0.17297,-0.24989,-0.037717,-0.072875,-0.0015227,0.11389,0.012619,0.023163,-0.066008,-0.071656,0.027378,-0.16578,0.092364,0.10694,-0.10956,-0.12938,-0.18281,-0.015892,0.19637,0.027832,0.20438,-0.05426,0.094256,0.061565,0.13728,-0.14701,0.13746,-0.22022,0.052349,0.20953,-0.36283,0.0027693,0.036572,0.17896,0.28529,-0.20692,-0.067488,0.035139,-0.17184,0.047486,-0.15327,-0.040989
5,0.89628,0.91797,0.85884,0.91205,0.82576,1,0.88419,0.85953,0.88301,0.88369,0.84577,0.87835,0.85349,0.85109,0.85293,0.83238,0.81129,0.8311,0.8069,0.77293,0.75068,0.78942,0.7257,0.65722,0.77012,0.70629,0.67121,0.79778,0.69943,0.62308,0.53942,0.65892,0.52721,0.47288,0.47418,0.63787,0.47861,0.53904,0.38449,0.30218,0.31148,0.23343,0.12993,0.19119,0.070087,0.17724,0.13425,0.030315,0.29525,-0.20057,-0.013002,0.061141,0.13364,-0.016908,-0.18248,-0.067954,-0.18286,0.0065722,-0.36495,-0.23534,-0.21857,-0.2361,-0.15836,-0.0016527,0.032635,0.23507,-0.21746,-0.33244,-0.2454,-0.23522,0.15295,-0.18285,0.033318,-0.10196,-0.014225,0.20041,0.0404,-0.17849,-0.12624,-0.24356,-0.1223,-0.098557,-0.1349,0.22112,-0.21262,-0.062722,-0.074425,-0.024036,0.25113,0.085633,0.050972,-0.067752,0.1126,0.037192,0.069688,-0.18758,0.23384,-0.16177,0.062894,0.14571,-0.19222,-0.22351,0.095712,0.079806,0.21189,-0.14371,-0.17034,-0.036128,-0.18492,0.11426,-0.0057463,-0.13263
6,0.90257,0.88382,0.85076,0.8642,0.84266,0.88419,1,0.84856,0.89893,0.92569,0.82981,0.84304,0.84503,0.82386,0.8644,0.83448,0.86291,0.80791,0.89085,0.68698,0.76333,0.81765,0.72467,0.67046,0.76791,0.79802,0.75157,0.72531,0.69737,0.61333,0.5213,0.6665,0.54556,0.51399,0.57174,0.5772,0.56541,0.59141,0.40543,0.17035,0.28232,0.29797,0.044387,0.20317,-0.047558,0.055012,0.1623,0.0030406,0.26947,-0.252,-0.019253,0.10792,0.093762,0.063551,-0.19255,0.063623,-0.12485,0.0037761,-0.28951,-0.20732,-0.29279,-0.15466,-0.18257,-0.092629,0.1725,0.17768,-0.1467,-0.21924,-0.29058,-0.1942,0.17636,-0.16812,-0.11221,-0.009251,0.0023223,0.062146,0.047509,-0.020574,-0.089097,-0.32809,-0.038272,-0.075778,-0.053105,0.29271,-0.0062984,-0.1853,-0.17632,0.00065485,0.27724,0.048554,-0.053683,-0.13935,0.16604,0.044531,0.12267,-0.17773,0.11522,-0.16717,-0.025967,0.091145,-0.24375,-0.08044,-0.0073101,0.18142,0.23274,-0.084625,-0.17418,0.02268,-0.1202,0.25161,-0.11645,-0.15697
7,0.87983,0.8489,0.87083,0.83386,0.85341,0.85953,0.84856,1,0.87868,0.85574,0.82933,0.80078,0.83202,0.88695,0.82688,0.80524,0.80986,0.81345,0.81643,0.74079,0.73014,0.81672,0.62878,0.60215,0.7582,0.82738,0.75132,0.82115,0.61362,0.60851,0.48619,0.57505,0.47427,0.36865,0.43384,0.68995,0.49632,0.57932,0.37786,0.2492,0.33537,0.26702,0.10154,0.23217,-0.0097642,0.1349,0.26755,0.06134,0.3269,-0.11114,0.030815,0.0034936,-0.08655,-0.11872,-0.26252,-0.10978,-0.01613,0.021195,-0.3295,-0.18097,-0.25291,-0.2049,-0.13807,-0.027972,0.093741,0.072625,-0.075636,-0.1995,-0.32983,-0.39599,0.25645,-0.21522,-0.00097811,-0.12201,-0.056629,0.051475,-0.073508,-0.14971,-0.14538,-0.10492,-0.1508,-0.065348,0.067315,0.17459,-0.11638,-0.1195,-0.17145,-0.0863,0.21387,-0.0015239,0.29283,-0.15019,0.13136,-0.044808,0.079791,-0.027872,0.18139,-0.1628,0.047274,0.23188,-0.16455,-0.094121,0.1174,0.16666,0.28126,-0.1879,-0.11437,0.080935,-0.24116,0.20527,0.017995,-0.04707
8,0.90593,0.9114,0.91822,0.86271,0.89841,0.88301,0.89893,0.87868,1,0.90268,0.85677,0.82989,0.87757,0.86149,0.8803,0.85432,0.84842,0.81842,0.84947,0.75423,0.74138,0.77528,0.77822,0.6811,0.78974,0.77447,0.73894,0.79325,0.6686,0.64198,0.58441,0.61693,0.41469,0.5546,0.53074,0.58472,0.48012,0.601,0.41781,0.35063,0.34976,0.30731,0.18842,0.18422,0.078676,0.15005,0.22408,-0.070984,0.29941,-0.11682,-0.074289,0.049344,0.071384,0.087279,-0.27036,0.0065602,-0.066171,0.078722,-0.33273,-0.16496,-0.25603,-0.21637,-0.13882,-0.028807,0.099857,0.070053,-0.17621,-0.2483,-0.28174,-0.29689,0.1479,-0.20304,-0.042519,-0.086425,0.019675,0.049032,-0.0023867,-0.11064,-0.03657,-0.16748,-0.15228,-0.12826,0.068002,0.23743,-0.12809,-0.20283,-0.18081,-0.046462,0.2715,0.15619,0.093166,-0.1073,0.093478,0.026199,0.064736,-0.14675,0.13418,-0.22338,0.096711,0.1132,-0.27687,-0.040829,-0.066219,0.12193,0.33186,-0.18397,-0.21373,0.070711,-0.1932,0.14212,-0.12912,-0.058737
9,0.90383,0.86601,0.86144,0.87074,0.86258,0.88369,0.92569,0.85574,0.90268,1,0.83418,0.83552,0.84394,0.85617,0.84759,0.86659,0.83874,0.8182,0.84555,0.76254,0.73776,0.79957,0.7419,0.61831,0.80569,0.79631,0.72732,0.79594,0.71155,0.52765,0.5757,0.67004,0.51385,0.47893,0.39571,0.61718,0.53686,0.55566,0.41995,0.18535,0.3726,0.30535,0.10614,0.21264,0.027344,0.035387,0.19155,0.0335,0.29145,-0.25275,-0.043832,-0.021664,0.087645,0.041216,-0.24739,-0.026393,-0.061912,0.05775,-0.33017,-0.11042,-0.21544,-0.15659,-0.18662,0.025097,0.13503,0.17722,-0.086082,-0.29142,-0.27378,-0.23269,0.20569,-0.17453,-0.024206,-0.053292,-0.11674,0.13048,-0.010408,-0.079683,-0.083253,-0.19019,0.00040775,-0.12845,-0.041828,0.26819,-0.10572,-0.1058,-0.19555,-0.015625,0.1948,0.054621,0.037035,-0.069738,0.14674,0.045875,0.13582,-0.18856,0.19392,-0.20696,0.05645,0.13127,-0.25762,-0.073517,0.049386,0.20156,0.28967,-0.14812,-0.22992,0.11373,-0.18909,0.15178,-0.092933,-0.13173
