,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,1,0.24766,0.11872,0.012488,-0.022736,-0.011555,-0.018558,0.0056418,-0.010914,-0.06508,-0.075188,0.10182,0.079477,-0.067343,0.0034342,-0.032832,0.14092,0.064324,-0.17274,0.060338,-0.16616,-0.21783,-0.21303,-0.023826,-0.081404,-0.041503,-0.012948,0.026299,0.041763,0.050127,0.097804,-0.35864,-0.16246,-0.027797,0.13831,-0.093194,0.18863,0.089326,0.10429,0.023815,-0.13658,0.2336,-0.082571,-0.095085,-0.057805,-0.23765,0.18427,0.1422,0.16703,0.11044,0.033568,0.16571,0.054418,-0.1619,-0.38544,0.21858,0.16128,0.077898,0.022834,0.39821,0.11243,-0.0453,0.13833,-0.34132,-0.23173,0.034845,-0.15943,-0.25455,-0.054302,0.095466,0.32759,-0.018774,0.072906,-0.16172,-0.16963
1,0.24766,1,0.44941,0.10583,0.14948,0.041454,-0.083921,0.083576,-0.15067,-0.28404,0.14985,0.12616,-0.11119,-0.066799,-0.020466,-0.042155,0.095353,-0.069844,0.14216,0.07291,-0.086354,-0.16493,0.10135,-0.083137,0.052459,0.17103,0.069475,-0.031212,0.12329,0.062704,-0.097255,-0.019426,-0.1976,0.2627,0.096713,0.019128,0.22613,0.16522,0.11855,0.16743,0.2,0.038786,0.22465,-0.075295,0.11963,0.11682,-0.11754,0.084944,0.11695,-0.14887,0.46219,0.065725,-0.46486,0.13616,-0.024798,0.23421,0.097513,0.15739,0.25026,0.17046,-0.040624,0.22416,0.19456,-0.069509,-0.010923,0.064582,0.14205,0.021441,-0.19291,0.089143,0.37241,-0.032055,-0.24971,-0.20326,-0.069925
2,0.11872,0.44941,1,-0.33781,-0.28115,0.10981,-0.00087458,0.091635,0.098502,-0.22453,-0.022777,0.050244,0.11726,-0.16898,0.10753,0.01217,-0.082582,-0.20157,0.22216,-0.050848,-0.1844,-0.077546,-0.086838,-0.11071,0.087842,0.10912,-0.011415,-0.036379,0.020452,0.17634,-0.15609,0.14866,0.19217,0.11886,0.18469,0.067262,0.10624,0.19742,-0.054394,0.25006,0.2233,-0.29007,0.30087,0.024819,0.12446,0.10549,0.057399,-0.026673,0.10352,0.062838,0.46939,0.26124,-0.25121,0.14281,0.1397,0.23912,0.15267,0.16567,0.024095,-0.043686,0.23307,0.11758,0.052485,0.11631,-0.0087726,-0.095052,0.26433,-0.07733,0.018024,-0.064129,0.25541,-0.048712,0.045724,-0.18159,0.12335
3,0.012488,0.10583,-0.33781,1,0.16838,-0.084052,-0.057408,0.18502,-0.048787,0.15596,0.19034,-0.14383,-0.21669,0.23168,0.14465,0.00074487,0.29762,0.12546,-0.065977,0.21762,0.2364,0.16402,0.19781,0.18036,0.32759,0.15701,0.030541,0.069108,-0.011659,0.11745,0.075098,-0.024885,-0.13427,0.2322,-0.18972,-0.20525,0.13707,-0.13018,0.041424,-0.082019,0.17887,0.069013,-0.32057,-0.15938,0.024949,0.18434,-0.31194,0.14473,-0.15996,0.16202,0.020351,0.08211,-0.037274,0.085406,-0.028968,-0.10657,0.23108,-0.10575,0.009585,0.11553,0.0041806,-0.16589,0.047022,0.050201,-0.11549,-0.13723,0.14737,-0.11427,-0.12906,0.27528,0.18615,-0.068569,-0.20874,-0.19354,-0.19362
4,-0.022736,0.14948,-0.28115,0.16838,1,0.24914,-0.14453,-0.00020213,-0.14631,-0.12182,-0.038214,0.13111,-0.1469,-0.040474,0.078778,-0.01572,0.099112,0.015059,-0.19127,-0.13781,0.10032,0.015874,0.13464,-0.13853,0.023846,-0.11861,-0.05986,-0.024855,-0.032522,-0.22843,0.14772,-0.090112,0.069693,-0.069531,-0.075072,-0.074193,0.16629,0.11835,-0.062194,0.017661,-0.17372,-0.029083,-0.14459,0.26253,0.057463,0.072182,-0.25614,0.1459,0.037268,-0.055989,-0.11917,-0.23115,-0.12508,-0.086592,0.0021746,-0.27818,0.0018446,0.25424,0.29364,-0.048588,-0.032807,-0.20564,-0.030882,-0.072493,-0.15526,0.0087168,-0.11453,-0.14374,-0.17596,-0.0042922,-0.099751,0.2727,0.20226,0.16044,-0.13637
5,-0.011555,0.041454,0.10981,-0.084052,0.24914,1,0.15491,0.078679,-0.0049199,0.13823,-0.042257,0.14601,0.00064748,-0.014075,0.077953,0.26964,-0.053684,-0.082033,0.051241,0.10138,-0.067208,0.13269,0.18457,0.05065,-0.026187,0.075918,0.0084626,0.18998,-0.035713,0.18527,0.18139,0.14648,0.043017,-0.038142,-0.10822,-0.069177,-0.03537,0.21198,-0.080762,0.10307,0.036823,-0.17667,-0.23603,0.084922,-0.044285,-0.0085359,-0.21683,-0.26381,0.10415,-0.006687,0.20073,-0.001906,-0.060483,0.21426,-0.038986,-0.31646,0.19364,-0.13559,0.02328,0.0047663,0.19655,0.078397,0.067222,-0.13531,-0.04737,0.13579,0.13568,-0.011339,-0.098111,-0.051836,-0.011505,0.25367,0.20794,0.082455,-0.10033
6,-0.018558,-0.083921,-0.00087458,-0.057408,-0.14453,0.15491,1,0.15989,0.23749,0.19509,0.3055,0.30051,0.40178,0.25317,0.28576,0.35208,0.10703,0.34532,0.29779,0.0062276,0.030646,0.36594,0.31416,0.44161,0.23205,0.25237,0.26242,0.27877,0.24837,0.10462,0.22568,0.19983,-0.038347,0.092335,0.19409,0.098686,-0.015292,0.11353,0.22898,-0.0039099,-0.053137,-0.10098,0.20625,0.067344,0.12245,0.026218,0.14933,-0.041306,0.02426,0.10349,-0.084314,-0.054543,0.28777,0.30067,0.009586,0.20384,-0.069379,0.035548,0.3556,0.13411,0.055573,-0.016083,0.14135,0.21563,-0.24707,0.0040754,-0.426,-0.13493,0.26781,-0.25495,-0.013354,-0.11391,0.11513,-0.082606,0.21561
7,0.0056418,0.083576,0.091635,0.18502,-0.00020213,0.078679,0.15989,1,0.18352,0.015604,0.074759,0.16896,0.40591,0.44331,0.2868,0.029428,0.045707,0.48149,0.16932,0.23683,0.11204,0.25033,-0.003701,0.17456,0.38222,0.22298,0.16649,0.072488,0.30286,0.3664,0.23565,0.09143,0.14045,0.34585,0.0020981,-0.31272,0.27337,0.29887,-0.13634,0.20699,0.012564,-0.28614,0.1596,0.01357,0.041591,-0.034627,-0.13992,-0.012373,0.041764,0.025649,0.075965,0.30949,-0.16905,0.12337,0.13115,0.024566,0.016399,0.31531,-0.053437,0.19718,0.23935,-0.15385,0.18229,0.20369,-0.36893,-0.048553,-0.041327,-0.14946,0.076618,0.19978,-0.004549,0.23675,-0.43196,0.031069,0.068195
8,-0.010914,-0.15067,0.098502,-0.048787,-0.14631,-0.0049199,0.23749,0.18352,1,0.14978,0.11991,0.33094,0.46659,0.15636,0.24612,0.33069,0.0035833,0.37018,0.098206,8.4457e-05,0.04012,0.36339,0.14589,0.25007,0.13474,0.02245,0.039036,0.35921,0.39643,0.40082,0.24544,0.13278,0.29701,0.11713,-0.012769,0.15634,-0.26137,-0.00020936,-0.0039371,0.043696,-0.0092147,0.1859,-0.044118,-0.29153,0.27119,0.0022021,0.13451,0.25128,0.33587,-0.01427,-0.018607,-0.053454,0.13581,0.27987,0.012954,0.12847,-0.18451,-0.10423,0.051415,0.088101,0.21676,0.094144,-0.092207,0.093875,-0.19423,0.23858,-0.11331,-0.24387,-0.039971,0.060077,-0.20268,0.12677,-0.022519,0.1528,-0.028551
9,-0.06508,-0.28404,-0.22453,0.15596,-0.12182,0.13823,0.19509,0.015604,0.14978,1,0.1696,0.0005016,0.11773,0.11142,0.085256,0.13033,-0.037304,0.053012,0.20002,0.13347,0.36833,0.17747,0.12187,0.34998,0.052764,0.16463,0.047704,0.1051,-0.13606,0.3241,0.29519,0.10948,0.14383,-0.16106,-0.032585,-0.0012643,0.051676,-0.014213,0.45093,-0.15839,-0.040617,0.15362,-0.10482,-0.26192,0.10399,-0.1247,0.0088128,-0.021008,0.25655,0.050831,-0.10969,-0.071078,0.15952,0.10404,-0.061013,-0.25089,-0.35712,-0.19137,-0.19268,0.066046,0.01696,-0.044879,0.015153,-0.12671,-0.10086,0.032104,-0.2387,0.039604,-0.15669,0.20368,0.011134,0.077345,0.1225,-0.27293,-0.091803
