,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
0,1,0.76572,0.84312,0.82182,0.83119,0.84288,0.81327,0.81844,0.85545,0.78395,0.81134,0.84021,0.86848,0.70941,0.6979,0.80724,0.80052,0.78512,0.79498,0.78108,0.78302,0.80566,0.7849,0.75264,0.81639,0.82309,0.74237,0.78272,0.75733,0.73676,0.85842,0.71439,0.75466,0.77142,0.76995,0.79906,0.77229,0.66121,0.70649,0.63513,0.72046,0.73696,0.7102,0.53496,0.65607,0.60487,0.66615,0.54346,0.81742,0.72443,0.52014,0.63979,0.54664,0.44941,0.63584,0.47848,0.55126,0.54497,0.55431,0.36229,0.41111,0.54941,0.55418,0.34086,0.07329,0.40432,0.34207,0.47362,0.347,0.13137,0.25074,0.2453,0.39897,0.0081249,0.31041,0.19046,0.43703,0.23187,0.097582,0.15155,-0.081814,0.39837,0.15853,0.32814,0.23156,0.18001,0.28852,0.0087615,0.0011828,0.13267,0.0075122,0.22981,0.18177,0.23592,0.14697,0.13004,0.067664,0.054134,0.35678,0.15618,0.087378,0.28487,0.016678,0.23221,0.014303,0.15544,-0.062548,0.15639,0.26101,0.040542,0.26316,0.36355,0.025798,0.002897,0.53085,-0.03195,-0.13057,-0.038396,-0.040076,0.13734,-0.046714,0.030544,-0.16073,0.055565,-0.04079,-0.084417,0.033177,0.080568,-0.11772,-0.071136,-0.27779,0.095846,0.21463,-0.19012,0.041095,-0.16016,0.22953,0.080396,-0.12905,0.28563,0.031923,0.00036617,-0.096706,0.1474,-0.10808,0.011908,0.080706,-0.093992,-0.10576,0.079998,0.12064,0.067673,-0.05463,-0.095281,-0.048635,-0.091563,-0.3146,-0.056046,-0.038491,-0.098553,-0.068451,0.24391,-0.061983,0.24265,0.062081,-0.2524,0.15186,0.20248,0.0090467,-0.19486,0.12226,-0.10531,0.11612,0.18241,0.027522
1,0.76572,1,0.78618,0.79303,0.80658,0.81327,0.80013,0.75708,0.76506,0.76803,0.84207,0.75076,0.79265,0.7786,0.78959,0.79166,0.74837,0.76111,0.82898,0.81904,0.7487,0.75979,0.74925,0.83526,0.78765,0.77145,0.78375,0.81919,0.81568,0.7089,0.77714,0.81954,0.68983,0.79555,0.7068,0.80701,0.7545,0.58819,0.77428,0.67214,0.70455,0.7489,0.59609,0.68928,0.57747,0.6421,0.78444,0.50911,0.62201,0.71104,0.58537,0.55979,0.47431,0.58081,0.55508,0.57724,0.27883,0.52497,0.64613,0.54999,0.54937,0.47428,0.56984,0.29027,0.11503,0.44152,0.38443,0.47197,0.4292,0.23205,0.35929,0.066334,0.35143,0.061551,0.42263,0.13682,0.3445,0.23059,0.085842,0.27788,0.11438,0.34012,0.29321,0.52078,0.26096,-0.0078254,0.19802,-0.17554,0.062778,0.038374,0.12921,0.17547,0.069362,0.24725,0.019046,0.17979,-0.12611,0.26488,0.25962,0.057779,0.047207,0.26243,0.020318,0.22492,0.072212,0.17097,0.038301,0.29327,0.17658,0.025999,0.32061,0.30269,0.073775,0.099561,0.39729,0.064875,-0.08106,-0.12713,-0.11187,0.11598,-0.056108,0.061994,-0.25843,0.17639,-0.024525,0.066391,0.025251,0.077633,-0.22124,-0.10632,-0.41982,0.14367,0.24525,-0.14044,0.19709,-0.21743,0.29585,0.16826,-0.016348,0.30791,0.09553,0.00041386,0.10495,0.2557,0.041354,-0.082827,-0.015591,-0.24456,-0.17815,0.071131,0.071394,0.15314,-0.035702,-0.1638,0.078669,0.096787,-0.049076,0.039943,0.00010598,-0.15793,-0.077575,0.12095,0.028886,0.11841,-0.12479,-0.1771,0.065526,0.20876,-0.137,-0.12742,0.14385,-0.060172,0.11556,0.20694,0.017976
2,0.84312,0.78618,1,0.85373,0.83852,0.77374,0.84863,0.81186,0.88478,0.86927,0.88544,0.7897,0.82412,0.75666,0.7754,0.8729,0.85454,0.85046,0.81359,0.81584,0.81188,0.83366,0.82259,0.84039,0.84461,0.80613,0.83558,0.86493,0.85304,0.76804,0.83258,0.82815,0.69701,0.83958,0.74659,0.81334,0.81485,0.73117,0.72145,0.72039,0.84515,0.72704,0.68667,0.58602,0.62197,0.61653,0.72245,0.65623,0.69331,0.72519,0.50545,0.72446,0.49746,0.40182,0.51658,0.48144,0.45536,0.57063,0.70011,0.45817,0.44616,0.58856,0.57908,0.39925,0.13158,0.34143,0.31067,0.49182,0.24751,0.19579,0.22708,0.24584,0.42346,0.034829,0.26019,0.17409,0.50899,0.29408,0.13143,0.2374,-0.050278,0.24221,0.19493,0.4069,0.22791,0.086042,0.20716,-0.066288,0.032179,0.16,0.058314,0.1355,0.24626,0.16172,0.14739,0.14892,-0.058381,0.22473,0.22021,0.11403,-0.078864,0.19746,0.020228,0.32688,0.063648,0.023391,-0.017723,0.14291,0.25221,0.030838,0.36153,0.29374,0.034936,0.0060657,0.40508,-0.052968,-0.015545,-0.14214,-0.021576,0.20481,-0.17074,0.14537,-0.1881,0.0066489,-0.013629,0.051822,0.05168,0.034944,-0.15506,-0.13778,-0.1595,0.15808,0.19018,-0.077524,0.18134,-0.30808,0.23772,0.071157,-0.032695,0.18055,-0.02273,0.066453,-0.031988,0.16126,-0.022582,-0.032682,0.23708,-0.18648,-0.14255,0.17121,0.13317,0.082538,-0.10561,-0.079029,0.10873,0.013641,-0.23554,-0.12175,0.022296,-0.16846,0.075191,0.26028,0.10267,0.18524,0.024012,-0.17298,0.14494,0.19718,0.089254,-0.17387,0.13305,-0.14793,0.2166,0.13922,0.23215
3,0.82182,0.79303,0.85373,1,0.86661,0.82406,0.87239,0.83046,0.85917,0.87002,0.84845,0.82907,0.84048,0.82793,0.73642,0.82083,0.87907,0.86527,0.78314,0.80792,0.83847,0.80798,0.83377,0.78174,0.87241,0.79744,0.85321,0.84456,0.83163,0.77408,0.83,0.73352,0.75924,0.81511,0.79625,0.84284,0.78719,0.72125,0.78593,0.78764,0.79718,0.70913,0.70713,0.64675,0.67382,0.73991,0.70307,0.70294,0.77672,0.76494,0.52671,0.68152,0.47029,0.47332,0.61903,0.53833,0.57992,0.57471,0.64247,0.49609,0.51736,0.50672,0.56074,0.43979,0.11012,0.41451,0.35509,0.49728,0.25138,0.13768,0.35089,0.14853,0.44836,0.02978,0.28092,0.13196,0.50492,0.36082,0.19261,0.27955,-0.15036,0.39422,0.21148,0.31426,0.25271,0.036741,0.34723,0.054228,0.025353,0.083064,0.031317,0.21942,0.19059,0.2619,0.12186,0.19149,0.072847,0.25119,0.21507,0.18433,0.026663,0.27865,0.051199,0.36768,0.0042635,0.091593,0.01001,0.27495,0.17063,0.072533,0.32729,0.45479,-0.022077,0.011207,0.3731,-0.048434,0.035508,-0.068929,-0.097757,0.13924,-0.024132,0.10297,-0.12732,0.026655,0.093855,-0.024353,0.080476,0.033413,-0.21161,-0.17477,-0.16992,0.12658,0.25443,-0.18068,0.15206,-0.3284,0.12132,-0.033874,-0.042573,0.24293,0.068665,0.014403,0.0075851,0.058218,-0.15241,-8.1629e-05,0.20148,-0.2193,-0.077291,0.10702,0.19026,0.15437,-0.071076,-0.10267,0.13165,0.076409,-0.14774,-0.16408,0.023934,-0.20294,0.017147,0.20545,0.15465,0.09915,-0.023391,-0.17665,0.19587,0.10095,0.061645,-0.24317,0.064197,-0.24309,0.17739,0.18925,0.090806
4,0.83119,0.80658,0.83852,0.86661,1,0.83804,0.85737,0.88396,0.80534,0.82993,0.88807,0.82484,0.82531,0.80873,0.75706,0.79712,0.83976,0.85567,0.81908,0.8067,0.82421,0.84213,0.84375,0.81966,0.84158,0.78064,0.85961,0.81106,0.82277,0.81517,0.87498,0.7604,0.70484,0.83397,0.7652,0.81767,0.77675,0.73045,0.78933,0.68061,0.74041,0.73362,0.68148,0.63319,0.66678,0.69729,0.69026,0.5844,0.72227,0.73908,0.56907,0.649,0.60387,0.52936,0.6055,0.50147,0.49253,0.56825,0.56907,0.38218,0.41528,0.44734,0.52326,0.4365,0.25319,0.38674,0.41058,0.44924,0.3175,0.084687,0.36195,0.19326,0.45118,0.08592,0.43676,0.33649,0.54214,0.38768,0.15718,0.24688,-0.027165,0.29116,0.21954,0.3886,0.29722,0.043445,0.29881,-0.005676,0.03181,0.18825,0.15975,0.25414,0.26941,0.28939,0.15901,0.13796,0.021579,0.14396,0.4043,0.040306,0.035769,0.19405,0.066388,0.26773,-0.046099,0.16342,0.089378,0.28121,0.24938,0.029462,0.35117,0.34437,-0.018891,0.027621,0.33425,0.19802,0.033302,-0.038611,-0.041701,0.11111,0.04085,0.13417,-0.23479,0.02511,0.031391,0.040868,0.048008,-0.016259,-0.080607,-0.098338,-0.21813,0.14658,0.19765,-0.16488,0.13479,-0.22736,0.20532,0.076618,0.0050395,0.21433,-0.066985,-0.024632,-0.085091,0.06334,0.0309,0.015676,0.10445,-0.19973,-0.12457,-0.016714,0.15441,0.062525,-0.16445,-0.13055,-0.02988,0.0047974,-0.2229,0.0021674,-0.05687,-0.24704,0.032087,0.13955,0.014686,0.15971,-0.13879,-0.027005,0.11529,0.10621,-0.022824,-0.17564,0.11301,-0.16723,-0.016325,0.20622,0.079604
5,0.84288,0.81327,0.77374,0.82406,0.83804,1,0.83989,0.83148,0.84292,0.80624,0.82793,0.88199,0.85756,0.78338,0.73986,0.78367,0.81328,0.79526,0.78735,0.84623,0.73658,0.82297,0.77688,0.82761,0.82141,0.74313,0.7918,0.79802,0.8026,0.7091,0.82004,0.78761,0.76267,0.84192,0.80449,0.81994,0.8386,0.71198,0.71621,0.67396,0.71606,0.74038,0.68244,0.63812,0.63811,0.76771,0.79084,0.61727,0.70317,0.80245,0.50375,0.67203,0.58419,0.53572,0.66432,0.56864,0.54232,0.59578,0.605,0.47409,0.44371,0.50497,0.57737,0.35951,0.2247,0.34437,0.42287,0.44817,0.43609,0.12342,0.39765,0.16826,0.51498,0.047746,0.39259,0.23129,0.43497,0.19787,0.13054,0.28539,-0.0050302,0.40367,0.066289,0.44075,0.13192,0.11192,0.30161,0.045325,0.10232,0.13287,0.014198,0.1822,0.11344,0.25711,-0.049421,0.1998,0.028506,0.11257,0.297,0.166,0.0069582,0.34401,-0.026367,0.19685,-0.015663,0.24776,0.000187,0.24311,0.19479,0.1069,0.25689,0.319,-0.017569,0.024463,0.30423,0.13625,-0.19993,-0.10481,0.015635,0.12644,0.035955,0.021458,-0.099451,0.063192,0.055863,-0.1463,-0.06458,0.057006,-0.057473,-0.12028,-0.23613,0.20486,0.13993,-0.29454,0.034729,-0.21037,0.17144,0.041095,-0.16291,0.26109,-0.0036891,0.063839,0.085097,0.11953,-0.094263,-0.15786,0.080335,-0.18307,-0.19492,0.24781,0.23443,0.039201,-0.057691,-0.088677,-0.047849,0.052875,-0.2121,-0.011196,-0.060507,-0.023037,-0.053182,0.14354,0.052604,0.16817,-0.0918,-0.1249,0.1839,0.032543,-0.10866,-0.15814,0.10923,-0.12339,-0.020905,0.24319,0.059719
6,0.81327,0.80013,0.84863,0.87239,0.85737,0.83989,1,0.83257,0.8486,0.85028,0.88643,0.81388,0.82895,0.83814,0.75318,0.83054,0.84497,0.87886,0.78728,0.84321,0.7654,0.83588,0.7748,0.832,0.86567,0.8048,0.86281,0.83621,0.85934,0.72767,0.8587,0.73096,0.78297,0.82632,0.80388,0.79046,0.81999,0.69733,0.79863,0.7316,0.77869,0.68988,0.70263,0.63175,0.6464,0.7569,0.73928,0.6441,0.65237,0.69076,0.59652,0.60531,0.55143,0.55523,0.59027,0.63887,0.51858,0.62281,0.65099,0.49449,0.39024,0.47907,0.54804,0.46608,0.27436,0.39311,0.37029,0.4538,0.25516,0.23053,0.32972,0.18938,0.49519,0.13893,0.26348,0.19084,0.46231,0.3482,0.085147,0.30681,-0.089254,0.34747,0.10157,0.35431,0.3103,0.10507,0.29995,0.026374,0.0083377,-0.02653,0.021931,0.13314,0.21202,0.25163,0.12953,0.23405,-0.0046524,0.25565,0.24619,0.14488,-0.083016,0.32498,0.16324,0.23486,-0.026874,0.16269,0.061375,0.2795,0.21877,-0.12912,0.3007,0.33218,-0.047298,-0.023408,0.31816,0.0064517,-0.057349,-0.092818,-0.018857,0.073505,0.029875,0.12588,-0.12504,0.047173,0.029283,0.0064911,-0.029229,-0.02102,-0.1997,-0.15615,-0.10046,0.13793,0.17212,-0.18546,0.13715,-0.37602,0.30653,0.085159,-0.021554,0.23074,0.021697,0.11795,0.0054398,0.14906,-0.024991,0.038998,0.17759,-0.078961,-0.23899,0.22999,0.097541,0.0083843,-0.081578,-0.17383,0.056584,0.10713,-0.25635,-0.11495,-0.073438,-0.20578,0.079311,0.1688,0.086798,0.11044,-0.037426,-0.17045,0.17531,0.024177,-0.016121,-0.17175,0.12087,-0.21643,-0.00054004,0.13526,0.13623
7,0.81844,0.75708,0.81186,0.83046,0.88396,0.83148,0.83257,1,0.80405,0.82194,0.85689,0.80505,0.83988,0.80246,0.7944,0.81919,0.83452,0.87665,0.78673,0.80901,0.74353,0.84837,0.85187,0.78768,0.86837,0.78662,0.8413,0.85646,0.88034,0.79944,0.81282,0.75399,0.78643,0.83784,0.81205,0.85833,0.80909,0.75254,0.80252,0.74283,0.78353,0.69515,0.75614,0.62368,0.72499,0.71341,0.69018,0.68929,0.67958,0.67781,0.61667,0.57997,0.63552,0.4853,0.64939,0.59299,0.54565,0.59971,0.66966,0.35899,0.51002,0.43376,0.50504,0.44925,0.21207,0.42375,0.3138,0.5379,0.25846,0.20108,0.38142,0.26402,0.45006,0.1453,0.37325,0.30861,0.51119,0.39638,0.2018,0.29918,-0.056741,0.36548,0.1544,0.44497,0.38216,0.12878,0.26917,-0.019309,0.080329,0.22892,0.05451,0.27679,0.19615,0.16552,0.092454,0.24922,-0.025954,0.22623,0.38406,0.24616,-0.0059284,0.26318,0.038776,0.27328,0.06209,0.13875,0.037868,0.23928,0.18866,0.11178,0.37135,0.32409,-0.021,0.031234,0.33073,0.030925,-0.064235,-0.072253,0.034374,0.072365,0.094551,0.051798,-0.035595,-0.011806,0.073315,-0.1318,0.1285,0.055781,-0.12214,-0.041395,-0.25034,0.2023,0.13589,-0.085614,0.090892,-0.18455,0.15236,0.093295,-0.10196,0.12729,-0.0043276,-0.022377,0.034755,0.15879,-0.076235,-0.018714,0.17654,-0.078598,-0.11435,0.15246,0.30128,0.21872,-0.14095,-0.11649,-0.10402,0.056209,-0.20622,-0.043195,-0.059161,-0.23974,-0.0022418,0.13208,0.13212,0.16023,0.036651,-0.18242,0.1434,0.069017,-0.037124,-0.20557,0.19261,-0.10418,0.072028,0.11652,0.019511
8,0.85545,0.76506,0.88478,0.85917,0.80534,0.84292,0.8486,0.80405,1,0.81779,0.85062,0.79423,0.7993,0.74791,0.74755,0.87437,0.84185,0.80004,0.74655,0.78633,0.78317,0.79152,0.76948,0.79903,0.83135,0.76454,0.77089,0.8296,0.7969,0.78267,0.8251,0.80623,0.73951,0.77424,0.74264,0.83752,0.82187,0.68995,0.73563,0.65826,0.81135,0.73233,0.64469,0.59296,0.66627,0.74142,0.76077,0.63352,0.70058,0.75738,0.44047,0.6769,0.54762,0.46203,0.54259,0.55452,0.54449,0.59064,0.63179,0.47155,0.50368,0.49075,0.6441,0.46509,0.12653,0.28719,0.4025,0.47448,0.3569,0.18156,0.2773,0.18973,0.38197,0.11892,0.17157,0.2361,0.44148,0.15737,0.14964,0.20374,-0.065093,0.30236,0.012773,0.38425,0.21715,0.10176,0.29337,0.047325,0.090895,0.14029,-0.11805,0.13829,0.0679,0.061551,0.10561,0.28338,-0.0062222,0.24691,0.26053,0.16534,0.0096779,0.29399,0.043453,0.35648,0.081475,0.013774,-0.058673,0.22488,0.21313,0.048266,0.33294,0.33947,0.055461,-0.00076091,0.47818,-0.042544,-0.038193,-0.096228,-0.022158,0.062563,-0.056698,0.037542,-0.15611,0.026184,0.03706,-0.054492,0.025744,0.068068,-0.14017,-0.1621,-0.24775,0.1403,0.11388,-0.15759,0.070108,-0.26309,0.26698,0.0089172,-0.079557,0.24847,0.0061334,0.10194,-0.0042776,0.037722,-0.24637,0.012535,0.16153,-0.14603,-0.1353,0.22893,0.20619,0.092071,-0.046468,-0.032456,0.023138,-0.06919,-0.26789,-0.14877,0.016438,-0.10838,-0.012844,0.24735,0.03384,0.11047,0.042617,-0.1877,0.18955,0.099274,-0.00063464,-0.10846,0.075871,-0.22081,0.068463,0.28061,0.13566
9,0.78395,0.76803,0.86927,0.87002,0.82993,0.80624,0.85028,0.82194,0.81779,1,0.8477,0.81372,0.88064,0.78671,0.69392,0.84511,0.87463,0.86608,0.81677,0.78612,0.81935,0.78743,0.83103,0.83699,0.84129,0.80925,0.82113,0.86863,0.77387,0.77507,0.8125,0.76092,0.75424,0.77383,0.75734,0.80486,0.7989,0.77866,0.78428,0.78054,0.78741,0.679,0.64052,0.5994,0.5892,0.66351,0.68253,0.65315,0.67602,0.68002,0.56745,0.62891,0.43628,0.47781,0.57911,0.52768,0.48124,0.5194,0.65619,0.5091,0.46476,0.5058,0.49064,0.36901,0.13787,0.42392,0.3348,0.46551,0.2503,0.20561,0.26355,0.099646,0.43762,0.035989,0.32378,0.078672,0.45336,0.27562,0.070587,0.32533,-0.099457,0.31879,0.22733,0.32188,0.23954,0.14541,0.24794,0.027476,0.088892,0.11332,0.10448,0.14735,0.22508,0.19606,0.075909,0.25919,-0.10598,0.25958,0.26063,0.16035,-0.040405,0.16204,0.098518,0.41359,-0.089994,0.039396,-0.010039,0.21652,0.19694,0.022269,0.3096,0.39931,-0.070293,-0.045977,0.30147,0.0063119,-0.1437,-0.054771,-0.0022542,0.061147,0.0026858,0.12434,-0.15944,0.058812,0.062174,-0.0087293,0.11913,0.048571,-0.12438,-0.081823,-0.15471,0.18445,0.2443,-0.082052,0.17247,-0.37283,0.059684,0.057009,-0.031916,0.18994,0.033557,-0.033555,-2.2545e-05,0.058102,-0.088843,-0.033395,0.20386,-0.26629,-0.14933,0.16347,0.18545,0.12306,-0.064587,-0.070108,0.17278,0.11846,-0.1935,-0.19737,0.11678,-0.16156,0.11219,0.11942,0.17279,0.29673,0.0082959,-0.15974,0.22494,0.075305,-0.072583,-0.22533,-0.065048,-0.10445,0.12607,0.13562,0.20331
