,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0,1,0.88625,0.86357,0.87033,0.88571,0.86897,0.88228,0.86925,0.91838,0.83629,0.8608,0.87154,0.77932,0.76312,0.8065,0.86565,0.81724,0.87599,0.84603,0.8031,0.79577,0.74488,0.62124,0.78055,0.82652,0.67546,0.77136,0.82598,0.65485,0.67123,0.64296,0.60609,0.65483,0.56824,0.62768,0.65932,0.38842,0.5113,0.33942,0.24391,0.43679,0.28634,0.35976,0.19326,0.25841,0.086929,0.23487,-0.23089,0.087407,-0.073083,-0.00038736,-0.16748,-0.023063,-0.21656,0.060319,-0.11401,-0.17428,-0.40425,-0.17017,-0.16123,-0.030769,0.066401,-0.10901,-0.18279,0.058275,-0.0066849,-0.16682,-0.30583,-0.3178,0.08105,-0.17765,-0.30519,-0.041269,-0.47065,-0.15183,-0.3529,-0.12369,-0.073132,0.27961,-0.06222,0.091249,-0.22366,0.13495,-0.16849,0.14733,-0.052871,-0.21555,-0.13606,-0.053569,0.038323,0.071248,0.084443,0.13739,-0.13973,-0.05376,-0.37193,0.053073,0.11343,-0.28316,0.15468,-0.032273,0.11009,-0.11162,-0.39948,0.081946,0.22773,-0.074643,0.19591,0.007318,0.24901,-0.11819,-0.087954,0.0020076,0.13841,
1,0.88625,1,0.86158,0.88113,0.89007,0.86646,0.85574,0.82067,0.91275,0.76856,0.87041,0.87387,0.77608,0.80558,0.74492,0.82938,0.81065,0.82414,0.7847,0.76548,0.77622,0.84739,0.67354,0.79812,0.79078,0.724,0.82987,0.77614,0.65248,0.65583,0.5998,0.49167,0.63031,0.59462,0.47743,0.68047,0.3433,0.51536,0.40265,0.37932,0.53716,0.24144,0.29796,0.29277,0.10837,0.043469,0.2011,-0.14388,0.046905,0.011197,0.02286,-0.1726,-0.12269,-0.21047,0.024399,-0.091561,-0.18317,-0.34156,-0.2157,-0.16804,-0.0085474,-0.0030607,-0.14165,-0.20799,0.18742,0.15852,-0.15533,-0.26214,-0.27024,-0.078645,-0.1564,-0.22002,-0.10209,-0.43641,-0.1003,-0.31001,0.0069239,-0.022727,0.18835,0.062679,0.070713,-0.2563,0.084541,-0.15035,0.10742,-0.094444,-0.19972,-0.13095,-0.10902,-0.02443,0.22538,0.024593,0.16811,-0.15465,-0.029829,-0.37181,0.071881,0.047054,-0.34635,0.10633,-0.10644,0.14561,-0.086833,-0.30185,0.099326,0.25993,0.0019224,0.15501,0.00088098,0.13219,-0.06615,-0.02846,0.046911,0.086127,
2,0.86357,0.86158,1,0.84104,0.86487,0.8408,0.85653,0.82867,0.85619,0.78221,0.86295,0.84082,0.73464,0.73027,0.80391,0.84314,0.85034,0.84089,0.77889,0.74272,0.76537,0.79207,0.58228,0.74284,0.77777,0.66247,0.75595,0.77866,0.57007,0.69543,0.65213,0.48522,0.50862,0.58593,0.46869,0.58163,0.39209,0.49997,0.38005,0.27078,0.38304,0.22797,0.1947,0.22303,0.1027,0.27734,0.23885,-0.059214,0.24406,-0.029533,0.084686,-0.18137,-0.14574,-0.22293,0.056164,-0.077632,-0.16305,-0.34599,-0.26014,-0.086102,0.066694,0.051444,-0.13486,-0.24859,0.15976,0.21355,-0.14545,-0.24187,-0.28322,0.0074925,-0.2411,-0.36985,-0.082006,-0.45071,-0.054256,-0.24992,-0.032517,0.036208,0.26317,0.079413,0.11693,-0.28578,0.047489,-0.077022,0.22946,-0.12658,-0.24515,-0.15604,-0.065798,-0.058025,0.10633,0.11424,0.24479,-0.076675,0.0015918,-0.38067,0.051752,0.15663,-0.27403,0.20732,-0.1127,0.13488,-0.20418,-0.28299,0.12823,0.15902,-0.038078,0.086899,0.049725,0.10142,-0.19726,-0.11457,-0.057616,0.08629,
3,0.87033,0.88113,0.84104,1,0.85908,0.83286,0.86929,0.84714,0.88441,0.76444,0.85349,0.8931,0.78392,0.80868,0.78567,0.80662,0.77375,0.83702,0.78179,0.73014,0.75343,0.75928,0.66352,0.77709,0.67596,0.75363,0.74602,0.79402,0.63689,0.70353,0.66996,0.52175,0.57777,0.63346,0.4879,0.64286,0.40937,0.59553,0.39666,0.33151,0.52455,0.22646,0.29607,0.20533,0.11798,0.13208,0.27989,-0.22091,0.12017,-0.088068,0.0085903,-0.1872,-0.085517,-0.031584,0.14148,-0.15964,-0.16032,-0.24022,-0.23542,-0.16372,-0.038406,0.049863,-0.20527,-0.15502,0.10707,0.1489,-0.090367,-0.19869,-0.26431,-0.0033264,-0.19473,-0.32103,-0.032369,-0.43728,-0.0024375,-0.41313,-0.020256,-0.051943,0.23073,-0.0060132,0.0012619,-0.28676,-0.048619,-0.088823,0.31857,0.047365,-0.26295,-0.14699,-0.045598,-0.10048,0.22847,0.067858,0.22313,-0.094424,0.00086229,-0.43434,0.0029412,0.17629,-0.23436,0.075282,-0.15852,0.05319,-0.10836,-0.26029,0.076475,0.17324,-0.059847,0.059223,0.075979,0.023595,0.054009,-0.090275,-0.024821,0.11173,
4,0.88571,0.89007,0.86487,0.85908,1,0.83174,0.90111,0.8055,0.91298,0.7667,0.85908,0.87329,0.776,0.78049,0.80289,0.83746,0.85873,0.86307,0.79431,0.73038,0.7772,0.77985,0.62503,0.79879,0.7986,0.70719,0.80853,0.77263,0.5828,0.62516,0.68064,0.57023,0.58522,0.54171,0.55901,0.68226,0.30419,0.55326,0.44955,0.35459,0.4901,0.20117,0.21186,0.33552,0.15806,0.13516,0.22277,-0.23321,0.012063,-0.13269,0.013239,-0.16452,-0.092467,-0.15395,0.016448,-0.16997,-0.23059,-0.408,-0.29493,-0.12119,0.071202,-0.060683,-0.035902,-0.23073,0.17264,0.20841,-0.1444,-0.23191,-0.24524,0.070948,-0.20452,-0.36377,-0.061542,-0.3886,-0.10392,-0.35587,0.0056831,0.042606,0.23711,0.021785,0.11668,-0.29035,0.11485,-0.087533,0.16362,-0.098049,-0.13853,-0.14735,-0.015913,-0.063361,0.14537,0.094851,0.099847,-0.037338,-0.058184,-0.31431,0.030148,0.088268,-0.29546,0.0039872,-0.14439,0.1096,-0.19055,-0.27834,0.064108,0.18831,0.11301,0.032651,0.097565,0.13143,-0.065775,-0.058081,-0.084364,0.020787,
5,0.86897,0.86646,0.8408,0.83286,0.83174,1,0.83291,0.77469,0.84131,0.78078,0.8389,0.85711,0.77909,0.79702,0.77461,0.77176,0.77978,0.85883,0.79543,0.79152,0.71425,0.8515,0.58314,0.74105,0.77481,0.71887,0.8105,0.74802,0.54127,0.67862,0.60667,0.55303,0.48247,0.5009,0.55479,0.65327,0.4109,0.53903,0.46316,0.34212,0.51814,0.31975,0.24997,0.13827,0.24119,0.10296,0.24155,-0.18295,0.19043,0.017629,0.018418,-0.15819,-0.10573,-0.27331,0.11043,0.038567,-0.2086,-0.28389,-0.14082,-0.0064488,0.0098713,-0.013639,-0.18734,-0.26383,0.06828,0.03667,-0.089315,-0.19892,-0.20391,0.058701,-0.13389,-0.26299,-0.16498,-0.32623,-0.11997,-0.35789,-0.036617,-0.040759,0.41238,0.065301,0.15539,-0.27059,-0.0087412,-0.032765,0.10628,-0.068064,-0.29975,-0.13525,-0.13588,-0.10116,0.18419,0.11916,0.19017,-0.18035,-0.081661,-0.33309,0.05947,0.11026,-0.21629,0.13493,0.038642,0.14658,-0.22289,-0.12085,-0.026857,0.31564,-0.11246,0.16561,0.0038876,0.095332,-0.12845,-0.12333,0.036493,0.015133,
6,0.88228,0.85574,0.85653,0.86929,0.90111,0.83291,1,0.79279,0.87376,0.7305,0.87875,0.81365,0.78852,0.80406,0.82335,0.8363,0.86972,0.89516,0.73559,0.73254,0.78173,0.75576,0.62544,0.76325,0.77017,0.71774,0.77002,0.7971,0.57748,0.63956,0.69399,0.53726,0.65792,0.56874,0.50622,0.62938,0.47719,0.50703,0.39438,0.29822,0.45002,0.28139,0.33359,0.21815,0.10478,0.1098,0.18181,-0.2567,0.0045645,-0.12126,-0.01159,-0.17328,-0.18037,-0.12552,0.090701,-0.20757,-0.31225,-0.39101,-0.2179,-0.091294,-0.021534,-0.038364,-0.044612,-0.27843,0.12611,0.19434,-0.2717,-0.33616,-0.28637,0.057836,-0.23085,-0.27906,-0.0015259,-0.39704,-0.091856,-0.29095,0.011041,0.018367,0.17997,0.059102,0.091118,-0.347,0.085584,-0.11456,0.19803,-0.040038,-0.21819,-0.10357,-0.10125,-0.0079715,0.19901,0.26949,0.12759,-0.062209,-0.065577,-0.27933,0.010371,0.072235,-0.26736,0.052733,-0.15398,0.11541,-0.19265,-0.28839,0.17308,0.21775,0.10332,0.02052,0.071744,0.11368,-0.047675,-0.13736,-0.16081,0.084723,
7,0.86925,0.82067,0.82867,0.84714,0.8055,0.77469,0.79279,1,0.83507,0.75963,0.85132,0.80748,0.71879,0.75851,0.75569,0.7695,0.80509,0.78698,0.79188,0.7297,0.7264,0.68151,0.62027,0.77218,0.72043,0.67055,0.784,0.81516,0.54147,0.69862,0.5883,0.47723,0.58735,0.64096,0.56588,0.65407,0.35506,0.4439,0.34822,0.34786,0.36511,0.1866,0.28191,0.17766,0.16272,0.076965,0.25116,-0.15456,0.26356,0.081065,0.075684,-0.097824,-0.045208,-0.030707,-0.02438,-0.11493,-0.14592,-0.17263,-0.15813,-0.23846,-0.11485,0.11682,-0.095141,-0.18745,0.045525,-0.029745,-0.11123,-0.17927,-0.25731,0.12489,-0.12332,-0.32775,0.0083048,-0.48065,0.019243,-0.16709,-0.062663,-0.15614,0.30114,-0.023423,0.17788,-0.22491,0.079847,-0.048905,0.33483,0.035093,-0.1248,-0.0726,-0.052187,-0.04128,0.16142,0.10581,0.21245,-0.22118,0.011957,-0.33478,-0.020362,0.21606,-0.26842,-0.0027099,-0.050152,-0.026761,0.0093743,-0.28216,0.14692,0.28463,-0.071762,0.17837,-0.025596,0.208,-0.018287,-0.11857,-0.086758,0.14384,
8,0.91838,0.91275,0.85619,0.88441,0.91298,0.84131,0.87376,0.83507,1,0.78617,0.90679,0.84462,0.76933,0.82208,0.81265,0.87209,0.85825,0.86723,0.75886,0.77618,0.77584,0.75754,0.62252,0.81916,0.80814,0.68414,0.73583,0.75987,0.66188,0.60439,0.68949,0.47352,0.56878,0.54258,0.52626,0.66555,0.32519,0.49511,0.46168,0.32144,0.45531,0.30834,0.31663,0.29446,0.18205,0.064187,0.25928,-0.15489,0.019079,-0.070142,-0.016439,-0.10347,0.012447,-0.099981,0.097181,-0.1347,-0.17173,-0.36262,-0.14938,-0.10956,0.0070024,0.04995,-0.057901,-0.11214,0.16386,0.0089107,-0.19283,-0.24665,-0.29216,0.0077848,-0.17573,-0.3394,-0.17896,-0.45426,-0.027877,-0.36609,-0.0057744,-0.0093953,0.2975,0.02022,0.034255,-0.25237,0.037452,-0.059916,0.16144,-0.11504,-0.19362,-0.2516,-0.13579,-0.073657,0.11646,0.079378,0.10405,-0.059285,-0.031071,-0.30037,0.061729,0.029897,-0.34202,0.072219,-0.12997,0.13453,-0.13406,-0.4162,0.053613,0.22475,0.033223,0.054392,0.017226,0.14724,-0.1376,-0.049328,0.011652,0.054028,
9,0.83629,0.76856,0.78221,0.76444,0.7667,0.78078,0.7305,0.75963,0.78617,1,0.76468,0.75878,0.77035,0.57213,0.75786,0.73837,0.7079,0.76091,0.69452,0.71514,0.73219,0.71379,0.55954,0.63588,0.72882,0.6059,0.74155,0.72788,0.59276,0.63021,0.48255,0.51471,0.49474,0.56818,0.57114,0.50886,0.49336,0.57049,0.3567,0.16575,0.27464,0.31599,0.22652,0.12338,0.29858,0.15381,0.19815,-0.13016,0.13706,-0.16198,-0.062265,-0.039814,-0.19834,-0.099943,-0.034931,-0.037878,-0.15448,-0.3017,-0.11529,-0.11807,-0.01955,0.1046,-0.16221,-0.11795,0.07762,-0.049891,-0.063167,-0.27321,-0.29115,0.014365,-0.10545,-0.3981,-0.10691,-0.42661,-0.12969,-0.34411,0.06841,-0.12163,0.18877,-2.1297e-05,0.01529,-0.26376,0.072326,-0.088713,0.059814,0.0063438,-0.15781,-0.16507,-0.13638,-0.032742,0.045257,-0.039502,0.25117,-0.067277,-0.046676,-0.2069,0.023544,0.13047,-0.19811,0.11176,-0.11754,0.12703,-0.10723,-0.31616,0.16566,0.29649,-0.019693,0.16981,0.1448,0.28325,-0.25757,-0.20253,-0.085036,0.12809,
