,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0,1,0.79507,0.75773,0.74302,0.73776,0.72606,0.71104,0.65477,0.6176,0.70028,0.62329,0.67343,0.71788,0.59017,0.42651,0.65719,0.28331,0.10378,0.16958,0.4524,0.19107,0.13882,0.23335,-0.022986,0.28561,-0.14005,0.1,-0.096661,-0.045826,-0.22924,-0.06046,-0.2007,-0.14899,-0.3797,-0.22233,-0.22631,-0.21418,-0.1073,-0.30191,-0.21477,-0.3589,-0.11481,-0.079318,0.078391,-0.1228,-0.27785,0.073314,-0.019407,-0.17162,-0.17639,-0.047188,0.099913,-0.28035,-0.11178,-0.51588,-0.067901,-0.27308,0.14524,-0.13419,-0.076633,0.034905,0.097525,-0.29402,-0.076094,-0.036123,0.2794,0.26524,-0.13179,0.045512,0.09005,-0.020971,0.14053,-0.24192,-0.22419,0.092317,0.061046,0.093114,0.074683,0.10644,0.26998,0.11173,-0.010982,0.34625,0.13862,-0.052197,0.23648,0.24641,0.024011,0.25409,0.22354,-0.070211,-0.08186,0.13704,0.10383,0.18064
1,0.79507,1,0.79125,0.73227,0.79569,0.67168,0.80972,0.75237,0.6014,0.53609,0.58296,0.61251,0.70344,0.56579,0.52976,0.73432,0.29883,0.20653,0.11413,0.34512,0.15604,0.041419,0.16603,-0.038864,0.066503,-0.29518,0.020675,-0.25098,-0.086058,-0.066997,-0.019927,-0.19608,-0.20184,-0.40314,-0.12795,-0.2446,-0.28825,-0.26092,-0.33531,-0.26351,-0.40614,-0.098116,-0.036944,-0.13614,-0.26534,-0.33588,-0.16395,0.01832,-0.033855,-0.23635,-0.1475,-0.12286,-0.20304,0.011,-0.47817,-0.11207,-0.50705,0.041366,0.046242,-0.15982,0.12031,-0.0179,-0.29619,-0.18628,-0.16305,0.28896,0.22139,-0.14,0.081877,-0.13041,-0.03396,0.0013354,-0.11549,-0.039262,0.085737,-0.00073528,0.14862,0.084122,0.015629,0.12198,0.0094158,-0.11618,0.21445,-0.0097296,0.028356,0.30046,0.32648,0.02066,0.31892,0.31771,0.060622,0.11018,-0.097363,0.17666,0.042243
2,0.75773,0.79125,1,0.64427,0.7268,0.6845,0.6859,0.64455,0.56077,0.64922,0.58674,0.58859,0.62584,0.71399,0.5498,0.70489,0.37706,0.23623,0.32814,0.20394,0.15284,0.18494,0.21057,-0.13269,0.0010386,-0.28296,0.069058,-0.036767,-0.00044275,-0.25319,-0.031361,-0.23076,-0.093776,-0.43906,-0.22306,-0.43574,-0.314,-0.29381,-0.33506,-0.37938,-0.39724,-0.010223,-0.0064644,-0.10826,-0.20457,-0.26496,-0.15995,-0.14482,0.0073971,-0.23494,-0.10427,0.024192,-0.20958,-0.10539,-0.55509,-0.056594,-0.51235,0.12772,-0.012972,-0.15255,-0.10068,0.078288,-0.24836,-0.17788,-0.036351,0.36709,0.11207,-0.15486,-0.055478,0.011474,-0.10299,0.026361,-0.22949,-0.069178,0.083558,-0.085973,0.18414,-0.042954,0.16059,0.15566,0.034579,-0.17265,0.28478,0.17649,-0.07778,0.24983,0.22717,0.041409,0.33409,0.27825,0.065647,0.055597,0.06413,0.31146,0.15253
3,0.74302,0.73227,0.64427,1,0.58673,0.67694,0.60662,0.76553,0.59396,0.61687,0.50867,0.48972,0.63513,0.60136,0.5818,0.58408,0.19049,0.23977,0.13938,0.25353,0.29738,0.016764,0.22676,0.062355,0.25605,-0.23736,0.1655,-0.13732,0.034107,0.056553,-0.20892,-0.16031,-0.12799,-0.38985,-0.1324,-0.14412,-0.26692,-0.25827,-0.1645,-0.2109,-0.43056,-0.090661,-0.07182,-0.13082,-0.12997,-0.19571,-0.093921,0.15132,-0.12506,-0.25042,-0.16209,-0.17382,-0.13875,0.068161,-0.32667,-0.006223,-0.22485,0.18058,0.042331,-0.051577,0.11558,-0.071773,-0.27532,-0.15118,-0.017283,0.21195,0.043623,-0.195,0.14103,0.0068621,-0.040741,0.089257,-0.24016,-0.14062,0.31282,0.080143,-0.015985,0.0063696,0.1604,0.22138,0.035993,-0.23616,0.00026154,0.13975,-0.022905,0.3218,0.25093,0.11174,0.254,0.30134,0.04505,-0.02799,0.14873,0.18698,0.19684
4,0.73776,0.79569,0.7268,0.58673,1,0.65369,0.74352,0.63294,0.67966,0.6308,0.58389,0.645,0.70934,0.52192,0.46661,0.65317,0.46287,0.22544,0.1841,0.44628,0.057465,0.091927,0.097081,-0.12106,-0.084013,-0.35237,-0.060664,-0.19591,-0.040541,-0.12195,-0.032163,-0.090027,-0.057233,-0.39987,-0.31914,-0.30863,-0.30122,-0.23037,-0.45724,-0.22822,-0.45992,-0.16353,-0.026791,-0.15532,-0.28884,-0.4527,-0.17693,-0.10837,-0.092263,-0.25905,-0.050981,0.082992,-0.21238,-0.078719,-0.46472,-0.083961,-0.42367,-0.028536,-0.017658,-0.25582,-0.015868,0.0082154,-0.37625,-0.058789,-0.19662,0.30346,0.24046,-0.098668,-0.019955,0.0052075,-0.049159,0.035189,-0.12824,-0.047208,0.049151,0.067143,0.2016,0.028257,0.18241,0.10443,0.11535,-0.14642,0.28933,-0.052491,0.10116,0.22198,0.34386,-0.073295,0.22247,0.2027,0.071243,-0.019967,0.0314,0.19328,0.043356
5,0.72606,0.67168,0.6845,0.67694,0.65369,1,0.59868,0.53083,0.5422,0.59924,0.42471,0.4338,0.6049,0.55622,0.48467,0.51333,0.46658,0.17094,0.34026,0.2661,0.062942,0.0047781,0.12369,-0.21066,0.2509,-0.16145,0.032149,-0.14589,-0.20138,-0.071751,-0.087623,-0.063812,-0.2199,-0.45097,-0.17419,-0.31422,-0.062152,-0.31648,-0.22808,-0.14014,-0.41209,-0.22857,0.1198,-0.15175,-0.20995,-0.37975,-0.032115,0.029807,-0.075326,-0.25819,-0.12488,0.085335,-0.090338,-0.29464,-0.41393,0.018749,-0.26682,0.077904,-0.014372,-0.057021,-0.13934,0.0071301,-0.31533,-0.21512,-0.17113,0.32026,0.23689,-0.16709,-0.10702,-0.033409,-0.034363,0.25752,-0.12112,-0.090525,0.13821,0.049434,0.12854,-0.068144,0.14339,0.098873,0.050913,-0.28913,0.06411,0.18511,-0.058272,0.38139,0.34975,0.11952,0.29182,0.26343,-0.0771,-0.11233,0.17802,0.35614,0.29536
6,0.71104,0.80972,0.6859,0.60662,0.74352,0.59868,1,0.63216,0.61007,0.60328,0.51024,0.51719,0.8062,0.48559,0.49037,0.5977,0.26084,0.28433,0.024974,0.34074,0.074726,0.13278,0.030095,-0.056797,0.029795,-0.27504,0.17321,-0.30228,-0.12015,-0.02883,-0.25374,-0.16263,-0.28851,-0.24962,-0.33518,-0.41131,-0.077383,-0.27633,-0.37659,-0.18903,-0.48696,-0.048931,-0.18108,-0.2044,-0.31421,-0.5241,-0.28495,-0.057382,0.016078,-0.23888,-0.029042,-0.025154,-0.25736,0.054486,-0.33427,-0.0045542,-0.39097,0.19382,-0.11205,-0.24887,0.15431,-0.17397,-0.23048,-0.081443,-0.0027623,0.33248,0.1357,-0.14145,0.056416,-0.099381,0.071707,-0.13756,-0.21684,-0.029392,0.029043,-0.035501,0.090166,0.055698,0.016398,0.038137,0.073707,-0.035233,0.15747,0.15593,0.1048,0.12467,0.4078,-0.17794,0.36377,0.22006,0.025276,0.066562,-0.13829,0.19754,0.10436
7,0.65477,0.75237,0.64455,0.76553,0.63294,0.53083,0.63216,1,0.53773,0.55453,0.58042,0.48106,0.62012,0.41947,0.47237,0.62443,0.2221,0.19754,0.065932,0.1903,0.39783,0.055031,0.28264,0.26572,0.17171,-0.11776,0.12591,-0.21159,-0.023891,-0.065445,-0.22994,-0.29158,0.048088,-0.42131,-0.23126,-0.13623,-0.30157,-0.30893,-0.25307,-0.13261,-0.45109,-0.072422,-0.08567,-0.20398,-0.12583,-0.23753,-0.22496,0.022773,-0.23569,-0.2298,-0.15233,-0.073714,-0.25145,0.055343,-0.3342,-0.10193,-0.27492,0.27319,0.049015,-0.10748,0.31042,-0.16112,-0.25491,0.11405,-0.1714,0.20146,0.075878,-0.095271,0.12219,-0.094212,-0.14513,-0.13089,-0.27796,-0.19375,0.21308,-0.11903,0.19232,0.13816,0.014783,0.091189,-0.10583,-0.08639,0.11511,0.12152,0.011567,0.3699,0.27077,0.074194,0.17634,0.35393,-0.082259,-0.18825,0.036249,0.023546,0.086224
8,0.6176,0.6014,0.56077,0.59396,0.67966,0.5422,0.61007,0.53773,1,0.55127,0.58234,0.5048,0.60283,0.49484,0.50073,0.48864,0.38722,0.26563,0.3231,0.40969,0.16334,0.089089,0.29207,-0.18686,0.092874,-0.10383,0.11373,-0.24129,0.092532,-0.16718,-0.028853,-0.066668,-0.15187,-0.16774,-0.10298,-0.25821,-0.12391,-0.23671,-0.27019,-0.29714,-0.27999,-0.13962,-0.063527,-0.136,-0.087256,-0.21617,-0.10636,-0.15171,-0.11651,-0.37691,-0.030873,-0.15475,-0.083004,-0.014339,-0.17724,0.13101,-0.32463,-0.10838,-0.1258,-0.13175,0.10569,-0.097114,-0.062977,-0.20182,-0.097665,0.24043,0.086439,-0.18741,-0.008522,0.09692,0.008496,-0.0025038,-0.12253,0.19971,0.28171,0.11027,0.088644,-0.091664,0.13865,-0.078461,0.082085,0.00012354,0.12579,0.2129,0.17344,0.11865,0.14375,-0.019481,0.010646,0.047887,0.27261,-0.092334,0.14323,0.40576,0.1413
9,0.70028,0.53609,0.64922,0.61687,0.6308,0.59924,0.60328,0.55453,0.55127,1,0.3888,0.46644,0.61662,0.54921,0.42442,0.51241,0.38311,0.25871,0.15565,0.32827,0.19319,0.22792,0.030825,-0.032205,0.16673,-0.3462,0.13435,0.073275,-0.048866,-0.089872,-0.050799,-0.11607,-0.10368,-0.44551,-0.29246,-0.39154,-0.17786,-0.13022,-0.25609,-0.073937,-0.4147,-0.067449,-0.056919,-0.17938,-0.2301,-0.23023,-0.039753,-0.090608,-0.071422,-0.17442,0.11459,0.017189,-0.17316,0.10463,-0.22649,-0.0067231,-0.13019,0.35514,-0.1453,-0.066714,0.17918,0.080982,-0.25884,-0.023095,-0.11024,0.22954,0.21503,-0.15119,0.11874,0.020893,0.028118,-0.035067,-0.2907,-0.20749,0.11746,-0.10188,0.14714,-0.14634,0.18197,0.051789,0.11748,-0.12223,0.23163,0.29032,0.14619,0.23841,0.27457,-0.065073,0.20342,0.33246,-0.13182,0.098685,0.21048,0.30655,0.14225
