,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,1,-0.12207,0.05522,0.12632,0.15539,-0.20332,0.22398,0.31714,-0.25571,0.074919,0.17735,0.018281,0.25235,0.14036,-0.16087,0.11754,-0.23685,0.23901,-0.07389,0.043018,-0.032656,0.21909,0.036785,0.29547,-0.069941,0.1355,-0.15476,0.37495,0.019179,0.28932,-0.010849,-0.056051,-0.18316,-0.043529,-0.00064245,0.18634,-0.11368,0.3971,-0.10177,0.17135,-0.10154,0.07524,0.03172,0.086658,-0.062144,-0.074666,0.41311,0.05904,-0.31972,-0.19051,0.14193,0.40663,-0.10509,-0.13902,0.11204,0.30554,0.28623,0.36299,0.068954,0.091435,0.32228,-0.099293,0.068491,0.13413,-0.081979,-0.037377,-0.050573,0.10533,0.059146,0.27135,0.12398,0.17135,-0.13815,0.045021,0.045444,0.40322,0.13122
1,-0.12207,1,0.38339,0.36782,0.22701,0.17894,0.030214,-0.11892,0.34144,0.075531,-0.059708,0.28971,0.24612,-0.1613,0.19058,0.033539,0.061343,-0.071856,0.1298,0.28368,0.03569,0.19902,0.12747,0.027831,0.17862,0.1678,0.22658,-0.025384,0.1092,0.048546,-0.046866,0.16241,0.24048,-0.20649,-0.28757,-0.062103,0.01941,0.040966,0.28348,-0.2103,0.21658,0.11061,0.010499,-0.47364,-0.045158,0.024165,-0.034405,0.30856,0.35881,0.17727,0.11922,0.10546,-0.15282,0.10841,0.14286,-0.31876,-0.22368,-0.0069635,0.013019,0.079164,0.16305,0.3814,0.14505,0.063571,0.34383,0.22692,0.073068,-0.15109,0.14715,-0.085099,-0.038661,0.044717,0.18798,0.18989,0.084871,0.062454,-0.088726
2,0.05522,0.38339,1,0.066817,0.19357,0.07939,-0.097,0.15562,0.14334,-0.10354,-0.22924,-0.062731,0.085648,-0.008004,0.19568,0.24997,-0.014139,0.13878,0.053917,0.37802,0.03677,0.15985,-0.022012,0.17979,0.05787,0.20881,0.10155,0.066101,0.31841,0.076375,-0.0087518,0.27749,0.26591,-0.16027,-0.074037,-0.052683,0.28073,-0.098929,0.11504,-0.16309,0.002296,0.054987,0.34632,-0.31486,0.17824,0.064767,-0.041403,0.053465,0.050514,0.17971,0.27853,0.10372,-0.024097,-0.021357,0.40867,-0.16062,-0.11197,0.54389,0.21552,0.20521,0.070245,0.083003,0.37801,-0.19618,0.12817,-0.032011,0.31272,-0.099063,0.050814,0.13974,0.0052755,0.06652,0.27685,0.09978,-0.050795,-0.17689,0.023719
3,0.12632,0.36782,0.066817,1,-0.13864,0.21617,0.096789,0.19894,0.15781,0.1167,0.1532,0.22138,0.20854,-0.14531,-0.060086,0.036226,0.19194,-0.19544,-0.035589,0.22937,0.021742,0.26025,0.031269,-0.10955,0.24686,0.10493,0.12298,0.015461,0.14473,0.11512,0.21338,-0.14813,0.27413,-0.10088,-0.018897,0.062516,0.11968,0.31745,-0.06679,-0.097361,0.15466,0.22247,-0.10788,-0.18114,-0.2242,0.0043334,-0.28851,-0.088694,0.36834,-0.25533,0.20285,0.096229,-0.12826,0.27277,0.15074,-0.019924,0.032564,0.05616,0.092563,0.15885,0.098326,-0.098757,0.13096,-0.048258,0.16251,0.068756,0.075072,0.11549,0.16748,-0.13406,0.052386,0.070456,0.082151,0.27865,0.064831,0.18724,0.054291
4,0.15539,0.22701,0.19357,-0.13864,1,-0.087202,-0.062602,0.022451,0.044504,0.024502,0.18948,0.082074,0.0093725,0.11415,0.33216,0.30154,0.047773,0.14935,0.21599,0.1833,0.0049588,0.207,0.24764,0.26118,0.061976,0.1335,0.088524,0.33942,0.058217,0.02448,0.035845,0.38292,-0.061803,0.017319,-0.16566,-0.068235,0.086744,-0.016258,0.15572,-0.010117,-0.13524,-0.01272,0.1172,0.05113,0.097875,0.040106,0.19529,0.083769,-0.059859,-0.21959,0.13484,0.16722,-0.045161,0.07735,0.17408,-0.052368,-0.022875,0.017592,0.17794,-0.15712,0.19469,0.16496,0.20893,-0.077256,-0.0076764,0.24729,0.30002,-0.21833,0.23842,0.32746,0.095694,0.17312,0.0028566,0.054791,0.14192,0.13613,0.11937
5,-0.20332,0.17894,0.07939,0.21617,-0.087202,1,-0.095099,-0.058766,0.4267,0.064437,-0.0027092,0.16461,0.033736,0.15729,0.3091,0.13934,0.17444,0.22093,0.20889,0.27206,0.008574,0.12706,0.16357,0.11511,0.16503,0.13977,0.407,0.25847,0.26555,0.11778,0.1537,-0.068934,0.37264,-0.1016,-0.031841,0.20368,-0.14095,-0.14356,0.10335,0.072043,-0.0041346,-0.23153,-0.0012147,-0.10169,0.3038,0.22708,-0.077226,0.10389,-0.0073383,-0.062006,0.1093,0.030781,-0.25998,-0.025626,0.12839,-0.2024,-0.06985,-0.083299,0.25826,0.10332,-0.07834,0.23614,0.053854,-0.22051,0.11191,0.10596,0.12333,0.13751,-0.079222,-0.27592,-0.13084,0.051518,-0.13709,0.186,0.021751,-0.25575,0.10007
6,0.22398,0.030214,-0.097,0.096789,-0.062602,-0.095099,1,0.078552,0.10689,0.16825,0.084402,0.039303,0.032193,0.038444,-0.084238,0.11547,0.0049795,-0.019378,-0.10121,0.27988,0.15135,0.091455,-0.13629,-0.09191,0.23556,0.12593,-0.14569,0.11803,0.20719,0.12626,-0.017821,0.16115,0.037408,-0.39121,0.31877,0.10867,-0.27631,0.22122,0.12881,0.067046,-0.18009,0.15612,-0.16768,-0.080813,-0.03138,-0.038759,0.16445,0.078618,-0.0096535,0.042738,0.20716,0.47865,0.0068241,0.03006,0.15888,0.33122,0.21242,-0.017598,0.20317,0.18457,0.20006,0.078228,-0.34216,0.057081,0.099499,0.16088,-0.12026,-0.13145,-0.019142,0.0049782,0.016385,-0.044421,-0.24175,-0.12785,0.060497,0.14971,-0.11383
7,0.31714,-0.11892,0.15562,0.19894,0.022451,-0.058766,0.078552,1,0.05131,0.52846,0.15481,0.26664,0.3848,0.21319,-0.004656,0.2196,0.086947,0.16694,0.30156,0.28292,0.26554,0.18174,0.17703,0.1207,0.42657,0.25251,0.2356,0.1899,0.32343,0.5392,0.25615,0.13209,0.20228,0.1572,0.22559,0.0074411,0.12804,0.23438,-0.063497,-0.06915,0.13846,-0.030139,0.016349,0.060486,-0.10738,0.10906,0.14896,-0.12275,0.20373,-0.16675,0.36572,0.3261,0.1658,0.011066,0.077019,0.26839,0.2551,0.27534,0.099436,0.10338,-0.067759,-0.14043,-0.083134,0.025505,-0.27324,0.090937,0.25786,0.24594,0.41723,0.1737,0.14833,-0.018463,0.11163,0.11659,0.12294,0.039521,-0.029448
8,-0.25571,0.34144,0.14334,0.15781,0.044504,0.4267,0.10689,0.05131,1,0.11022,0.10881,0.10143,0.24978,0.20562,0.33702,0.22036,0.12649,-0.0028633,0.37479,0.32203,0.23987,0.35115,0.2663,0.021648,0.25244,0.21826,0.19716,0.32298,0.083615,0.17379,0.22194,0.040949,0.50132,-0.050245,0.31271,0.076801,-0.036039,-0.12619,0.18285,0.10581,0.16495,0.21465,-0.067565,-0.19679,0.22372,0.19537,0.017362,0.15795,0.1516,0.083888,0.17933,0.064353,0.0092448,0.064331,0.16498,-0.0040437,-0.10239,-0.036616,0.1214,0.17219,-0.40296,0.37877,0.004232,0.056385,0.43159,0.22309,0.0074168,-0.2295,-0.081342,-0.1403,0.070624,-0.045531,0.074094,0.3124,-0.14143,-0.31065,-0.12976
9,0.074919,0.075531,-0.10354,0.1167,0.024502,0.064437,0.16825,0.52846,0.11022,1,0.097265,0.47009,0.44775,0.19794,0.20448,0.18679,0.11131,0.2547,0.27939,0.23067,0.37066,0.078934,0.46437,0.041157,0.4468,0.28007,0.44386,0.1292,0.36511,0.29695,0.21304,0.15182,0.16778,-0.047462,0.17888,0.18628,0.040883,0.080208,0.034181,-0.17382,0.13139,-0.1529,0.17733,-0.037241,-0.067509,0.15312,0.23877,-0.010257,0.15687,0.073345,0.28852,0.42112,0.011662,0.037297,0.026304,0.27652,0.10694,-0.13491,0.015617,-0.041341,-0.093001,0.14202,-0.15706,0.033117,-0.26316,0.043999,0.10907,0.17148,0.31663,0.1218,-0.067813,-0.16433,0.12002,-0.24917,0.045705,0.080395,-0.036381
