,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0,1,0.8562,0.83722,0.74182,0.79674,0.79055,0.7953,0.76527,0.83392,0.74588,0.8203,0.84329,0.8023,0.80149,0.79417,0.77134,0.75373,0.82684,0.73575,0.81378,0.7042,0.76694,0.82078,0.805,0.76201,0.83237,0.71247,0.78276,0.76883,0.84676,0.7745,0.76725,0.74667,0.81051,0.74733,0.80348,0.74455,0.82358,0.6804,0.65575,0.71369,0.71761,0.68613,0.75473,0.59647,0.64388,0.57918,0.72837,0.63895,0.74105,0.58629,0.59394,0.38496,0.5942,0.48875,0.49436,0.48766,0.42578,0.50044,0.52733,0.45384,0.4364,0.41221,0.42304,0.25024,0.35815,0.36082,0.37785,0.33156,0.34388,0.3593,0.21721,0.31965,0.30639,0.36171,0.37488,0.31491,0.12025,0.23805,0.057338,0.3564,0.22755,0.12301,0.30925,-0.044521,-0.07067,0.45912,0.14163,0.12235,0.031706,0.10216,0.24911,0.35609,-0.034027,0.14906,0.17414,0.017924,0.22166,0.18608,0.065532,-0.0077815,0.31453,0.097525,0.035372,-0.15515,0.40646,0.092522,0.26877,0.25255,0.15931,0.3157,-0.024231,0.13685,0.19263,0.079383,0.073609,0.143,-0.089838,-0.00054067,0.23329,-0.016414,-0.0060304,0.048018,0.0089569,0.062305,0.047511,0.25959,-0.064775,0.0013453,0.17759,-0.20119,-0.22161,0.12935,-0.12051,-0.079898,-0.1276,0.09679,0.2703,-0.14825,0.1719,0.26531,-0.017189,0.31556,0.22471,-0.11805,0.18148,0.14239,-0.19915,-0.26472,0.1518,-0.06611,0.097656,-0.33975,0.012723,-0.30935,0.11684,0.032923,0.08822,0.027245,-0.032938,-0.16322,-0.24103,0.18179,0.039086,0.13789,0.094956,0.127,-0.075318,0.0099832,-0.19496,-0.10504,0.079767,-0.08379,0.2919,0.033454,-0.063925,-0.027108
1,0.8562,1,0.84599,0.85348,0.86796,0.8301,0.90906,0.82316,0.84869,0.83429,0.9069,0.85525,0.8536,0.79261,0.85313,0.82587,0.72385,0.80528,0.78395,0.8667,0.81546,0.82529,0.8545,0.85805,0.86811,0.86591,0.75801,0.88375,0.79566,0.84706,0.82036,0.7854,0.78309,0.79345,0.78029,0.82576,0.80098,0.81331,0.78326,0.74972,0.7215,0.78514,0.77134,0.76199,0.71185,0.60192,0.6235,0.79018,0.60636,0.69805,0.67377,0.57187,0.52718,0.6644,0.48443,0.61488,0.4974,0.50999,0.65363,0.54009,0.50641,0.42169,0.49558,0.52435,0.24556,0.46927,0.4641,0.47132,0.41479,0.27124,0.37963,0.27221,0.23115,0.13043,0.4422,0.35122,0.40558,0.25964,0.25831,0.2043,0.31623,0.20516,0.20149,0.32446,0.091519,-0.070546,0.39878,0.083248,0.15761,0.021398,0.099651,0.27531,0.25599,-0.17768,0.18956,0.0079387,-0.013738,0.31659,0.18192,0.0025733,-0.0042874,0.30185,0.032625,-0.041263,-0.14012,0.34566,0.16422,0.17301,0.12048,0.25087,0.24508,-0.035066,0.19555,0.31751,0.029827,0.036694,0.24077,-0.1651,0.019467,0.16995,0.040944,0.074914,-0.013324,-0.1212,0.19038,-0.064884,0.33146,-0.1637,-0.099808,0.15909,-0.18967,-0.13987,0.11141,-0.10882,-0.1352,-0.092394,0.17283,0.2606,-0.2203,0.094875,0.20329,0.065377,0.38255,0.0124,-0.1579,0.19239,0.023217,-0.34158,-0.14274,0.10104,0.062127,0.12849,-0.3435,0.078219,-0.34658,0.16455,0.0087557,0.11041,-0.046887,-0.072578,-0.18001,-0.27768,0.052157,0.057543,0.17344,0.15522,0.053582,-0.21225,0.014834,-0.17949,-0.07954,-0.014409,-0.076055,0.27909,0.069808,0.12497,-0.13162
2,0.83722,0.84599,1,0.83815,0.8283,0.84467,0.87124,0.83957,0.83292,0.71341,0.85997,0.88474,0.83885,0.82132,0.80094,0.82161,0.75083,0.80862,0.66049,0.8417,0.74117,0.83259,0.77465,0.85973,0.78364,0.84558,0.77165,0.88333,0.83608,0.78085,0.78389,0.81025,0.76796,0.73768,0.80112,0.77542,0.82321,0.83862,0.70369,0.71428,0.67493,0.6683,0.73316,0.75261,0.64571,0.59849,0.64623,0.7253,0.70219,0.70591,0.64757,0.57639,0.52111,0.69008,0.56749,0.53027,0.45832,0.48338,0.59246,0.42706,0.56378,0.46045,0.33935,0.32986,0.20518,0.39696,0.36957,0.37778,0.27258,0.44453,0.35413,0.34363,0.24802,0.2825,0.49372,0.44284,0.36791,0.12859,0.23876,0.056901,0.087324,0.24456,0.22699,0.35498,0.0011415,-0.13593,0.44459,0.12956,0.13644,0.10141,0.087706,0.37437,0.31816,-0.079419,0.23734,0.10916,-0.062896,0.30174,0.20951,0.095337,0.10296,0.28568,0.14505,0.10246,-0.097009,0.23077,0.051692,0.26672,0.18091,0.070354,0.29326,0.024894,0.19863,0.17301,0.017689,-0.0011802,0.080576,-0.22357,0.10763,0.18006,-0.033049,0.094521,0.0024169,-0.072356,0.050512,0.053607,0.26821,-0.14887,-0.18547,0.14,-0.28806,-0.22341,0.12436,-0.069359,-0.097726,-0.085353,0.092033,0.30307,-0.096362,0.10775,0.22451,0.069975,0.2551,0.26202,-0.18159,0.30132,0.026597,-0.2367,-0.096629,0.02681,-0.032864,0.12333,-0.33126,0.0057844,-0.3177,0.0056638,0.052809,0.0061021,0.012801,-0.090118,-0.1345,-0.27509,0.13565,0.011023,0.15062,0.20715,-0.00047396,-0.14742,0.12719,-0.10669,-0.17127,0.043687,-0.13086,0.23199,0.11749,0.052266,0.032533
3,0.74182,0.85348,0.83815,1,0.82715,0.84561,0.82655,0.75058,0.78636,0.80245,0.87214,0.84084,0.85484,0.76018,0.82935,0.77827,0.73555,0.77058,0.72643,0.82028,0.81965,0.8523,0.79937,0.82197,0.81755,0.85019,0.81448,0.82861,0.84187,0.82391,0.81445,0.80882,0.76573,0.75094,0.72762,0.79803,0.76036,0.78464,0.68882,0.80327,0.6628,0.71789,0.75182,0.76974,0.68297,0.5595,0.58909,0.70736,0.64555,0.58713,0.58097,0.50023,0.67097,0.55932,0.53972,0.57175,0.47355,0.41224,0.57929,0.39039,0.44205,0.34513,0.46258,0.54061,0.19966,0.43976,0.45165,0.47018,0.35479,0.37832,0.34523,0.2654,0.23172,0.15561,0.53185,0.40168,0.49577,0.2985,0.33875,0.097527,0.17488,0.28925,0.21142,0.36034,0.049808,-0.080315,0.40629,0.058941,0.17039,-0.0011679,0.0074228,0.38743,0.26223,0.022494,0.26694,0.076371,-0.037437,0.31253,0.1773,0.10973,0.073386,0.28685,0.19066,-0.032505,-0.18681,0.18012,0.062467,0.22261,0.019349,0.20562,0.26947,0.056376,0.18045,0.33483,-0.020118,0.0088453,0.23807,-0.1746,0.10344,0.12884,0.0039565,-0.0064805,-0.137,-0.12559,0.17312,-0.0536,0.24019,-0.14841,-0.23683,0.075858,-0.22083,-0.23717,0.16938,-0.19531,0.010388,0.012337,0.13987,0.23565,-0.075363,0.2148,0.21593,0.034879,0.30743,-0.010218,-0.077285,0.26495,-0.0070579,-0.2231,-0.16602,0.12422,0.057915,0.2127,-0.26465,0.0071195,-0.37895,0.054976,0.0069023,0.074477,-0.037543,-0.16726,-0.15618,-0.29076,0.036038,0.097959,0.15262,0.19729,0.065257,-0.14391,0.071025,-0.10232,-0.093298,-0.068092,-0.075271,0.22074,0.13261,0.07592,-0.13096
4,0.79674,0.86796,0.8283,0.82715,1,0.8353,0.87704,0.78187,0.75546,0.74594,0.8592,0.87985,0.85037,0.80262,0.77642,0.77025,0.76025,0.81661,0.79441,0.84463,0.78244,0.79035,0.82884,0.82488,0.81856,0.81334,0.77346,0.80484,0.75516,0.80809,0.83708,0.79711,0.76011,0.7278,0.7901,0.86562,0.84858,0.79428,0.76163,0.78047,0.70461,0.79308,0.79339,0.77526,0.65829,0.61796,0.60781,0.74814,0.6829,0.71434,0.65903,0.533,0.52835,0.64196,0.56433,0.58667,0.55433,0.56853,0.67035,0.58126,0.5028,0.52962,0.40987,0.38076,0.28484,0.59911,0.34626,0.43807,0.38101,0.25425,0.4321,0.28634,0.17986,0.16116,0.52124,0.36322,0.43122,0.23728,0.39967,0.1469,0.25992,0.26558,0.31881,0.35717,0.093258,0.013382,0.42573,0.10906,0.222,0.12489,0.1051,0.31755,0.17853,-0.19484,0.10081,0.13819,-0.046254,0.21409,0.24728,0.0022277,0.053075,0.29286,-0.019431,-0.062311,-0.050721,0.31514,0.064258,0.14752,0.20546,0.17074,0.15593,0.074553,0.10868,0.29032,-0.020438,0.067425,0.077619,-0.21323,0.029679,0.26963,0.063306,0.079806,-0.022726,-0.11165,0.1643,-0.12762,0.11376,-0.059098,-0.10416,0.057798,-0.3057,-0.24802,0.059579,-0.10483,0.087298,-0.17718,0.14532,0.19944,-0.21028,0.12531,0.14551,0.086459,0.3059,0.16824,-0.1253,-0.02017,0.093945,-0.25644,-0.2082,0.11872,0.034499,0.10589,-0.28533,0.046799,-0.1873,0.089809,0.025107,0.066861,-0.0082278,-0.040565,-0.11809,-0.34655,0.11104,0.092025,0.22782,0.15355,-0.0046351,-0.14476,0.10222,-0.1548,-0.023695,-0.039041,-0.070735,0.19076,0.037143,0.058736,0.0025554
5,0.79055,0.8301,0.84467,0.84561,0.8353,1,0.82992,0.77349,0.82166,0.76113,0.79796,0.90398,0.79881,0.81389,0.80923,0.82415,0.81486,0.84438,0.74136,0.83789,0.77202,0.88891,0.81623,0.80649,0.78772,0.87536,0.75713,0.79489,0.77729,0.72788,0.78205,0.76793,0.7968,0.68876,0.82197,0.78463,0.78955,0.82666,0.70843,0.78197,0.77934,0.69446,0.77214,0.81758,0.68053,0.66689,0.67784,0.72644,0.70204,0.71311,0.7026,0.59399,0.64298,0.63161,0.48718,0.57335,0.58769,0.55617,0.61299,0.57519,0.5069,0.40433,0.47575,0.49376,0.2699,0.46234,0.3535,0.4366,0.20827,0.35696,0.364,0.19974,0.25112,0.2407,0.36846,0.33611,0.53085,0.24926,0.36035,0.108,0.21982,0.27336,0.19294,0.38891,0.089448,-0.083657,0.46034,0.0026181,0.15243,0.16402,0.041868,0.37572,0.31187,-0.036068,0.14793,0.13613,0.10851,0.2605,0.18761,0.007762,0.025799,0.28398,0.090843,-0.011831,-0.066783,0.27671,0.12956,0.22855,0.14137,0.18177,0.27919,0.075453,0.22267,0.18372,-0.05978,0.072912,0.24211,-0.15325,0.16589,0.24032,0.04638,-0.041163,-0.022782,-0.17738,0.22272,-0.058955,0.19949,-0.12142,-0.19768,0.096798,-0.27863,-0.31793,0.11064,-0.075519,-0.034025,0.019411,0.10054,0.14812,-0.15614,0.13987,0.067275,0.063359,0.35373,0.1207,-0.071621,0.095158,0.069341,-0.18428,-0.17095,0.074001,-0.083051,0.077647,-0.26566,0.080788,-0.35158,0.045812,0.090606,0.0076984,0.19238,-0.21306,-0.093662,-0.25018,0.076923,0.049048,0.067401,0.27756,-0.068603,-0.17495,0.018428,-0.13181,-0.070553,-0.060069,-0.043718,0.10672,0.10379,0.040391,-0.097021
6,0.7953,0.90906,0.87124,0.82655,0.87704,0.82992,1,0.82714,0.81249,0.80963,0.89418,0.88022,0.85507,0.82915,0.81501,0.83931,0.7396,0.80205,0.79793,0.86731,0.78863,0.8773,0.84928,0.84803,0.83381,0.83834,0.83051,0.84957,0.78667,0.81958,0.7681,0.80701,0.75668,0.74714,0.85465,0.84819,0.8038,0.77447,0.79518,0.85652,0.68241,0.78196,0.75072,0.74359,0.7106,0.55941,0.6288,0.76304,0.62902,0.70753,0.69968,0.63907,0.5569,0.65064,0.57505,0.60186,0.57621,0.54156,0.66444,0.55187,0.46216,0.50861,0.38917,0.47755,0.29419,0.53521,0.49368,0.45581,0.3532,0.29741,0.38039,0.2687,0.23497,0.17912,0.50583,0.36011,0.40128,0.29507,0.33717,0.16755,0.20974,0.27593,0.34409,0.3088,0.15859,-0.097434,0.5385,0.1692,0.23989,0.065313,0.079925,0.29169,0.11004,-0.14043,0.19115,0.050902,-0.063878,0.26943,0.25093,0.018515,-0.011307,0.24801,-0.00013254,0.021489,-0.05137,0.33484,0.15424,0.20283,0.13471,0.17504,0.18913,-0.073665,0.16296,0.18226,0.037222,0.039644,0.12135,-0.26864,0.01152,0.17761,0.041619,0.064061,-0.1092,-0.033635,0.16467,0.025663,0.24832,-0.095878,-0.09282,0.16854,-0.2374,-0.15937,0.14724,-0.075958,-0.037645,-0.18459,0.083996,0.18825,-0.095866,0.10352,0.056848,0.019274,0.31863,0.18218,-0.12599,0.10314,-0.00069016,-0.36643,-0.26611,0.048339,0.062322,0.1142,-0.33427,0.026805,-0.34963,0.024119,0.033601,0.11139,-0.0048479,-0.076672,-0.19157,-0.35653,0.092055,-0.077618,0.175,0.17818,-0.0060981,-0.17087,0.074366,-0.1279,-0.20018,-0.001747,-0.0089739,0.21962,0.060437,0.19702,-0.050686
7,0.76527,0.82316,0.83957,0.75058,0.78187,0.77349,0.82714,1,0.80541,0.76559,0.81086,0.7824,0.84712,0.72732,0.72621,0.78493,0.71035,0.78148,0.63447,0.89109,0.67462,0.77551,0.78525,0.77452,0.71363,0.81102,0.71988,0.82226,0.7396,0.78028,0.69119,0.7974,0.7733,0.67276,0.74536,0.79012,0.77165,0.78097,0.65127,0.68489,0.72525,0.6643,0.62808,0.63875,0.58703,0.62886,0.64983,0.76229,0.56268,0.67423,0.5755,0.52307,0.56861,0.54789,0.51144,0.58166,0.51829,0.52602,0.57651,0.52651,0.45148,0.45796,0.37736,0.35042,0.22211,0.51255,0.41934,0.43401,0.28326,0.27553,0.38649,0.21656,0.26777,0.4114,0.3283,0.46002,0.36172,0.23055,0.23108,0.11983,0.15775,0.1618,0.25759,0.31754,-0.01466,-0.001803,0.39643,0.040735,0.32664,0.089527,0.012927,0.32136,0.36719,-0.086129,0.28588,0.046375,0.04284,0.21899,0.15106,0.036915,-0.1363,0.26327,0.14739,0.06348,-0.0342,0.16313,0.16375,0.24687,0.24235,0.13639,0.2821,-0.050542,0.10457,0.077088,0.099753,-0.10653,0.11732,-0.20924,0.042174,0.010727,-0.0092155,0.1437,0.041859,-0.13453,0.12663,-0.055554,0.22872,-0.20063,-0.11633,0.16393,-0.10309,-0.021794,0.099933,-0.029432,-0.12691,-0.21245,0.14427,0.16384,-0.16962,0.048458,0.13395,0.12013,0.25914,0.21492,-0.26329,0.15404,0.04567,-0.17704,-0.14989,-0.063066,0.14123,0.034164,-0.29682,0.085458,-0.29318,0.023152,-0.026524,0.0075045,0.061567,-0.1252,-0.19865,-0.28795,0.17127,0.022943,0.30661,0.057036,0.053751,-0.055319,0.10387,-0.14395,-0.0763,-0.017599,0.0060236,0.27978,0.11813,0.12941,-0.0064997
8,0.83392,0.84869,0.83292,0.78636,0.75546,0.82166,0.81249,0.80541,1,0.73174,0.80921,0.8182,0.80324,0.82185,0.84378,0.84089,0.75007,0.83424,0.71512,0.85646,0.7068,0.82086,0.83959,0.80945,0.7911,0.86475,0.71854,0.80723,0.76795,0.82686,0.71259,0.76355,0.77981,0.74232,0.79295,0.78178,0.76725,0.81939,0.66065,0.71275,0.7144,0.73852,0.63689,0.74222,0.68305,0.68498,0.55083,0.71867,0.67519,0.69967,0.74484,0.57651,0.50992,0.60398,0.47244,0.52646,0.55709,0.53301,0.55854,0.52597,0.36558,0.42365,0.5047,0.42013,0.16845,0.50912,0.3299,0.3214,0.39682,0.29916,0.28532,0.26573,0.28829,0.35483,0.40314,0.44444,0.39256,0.13399,0.32388,0.081917,0.201,0.17059,0.091047,0.41817,0.12051,-0.1483,0.46036,0.15217,0.27,-0.024602,0.030588,0.29886,0.2541,-0.047105,0.28437,0.058921,0.097997,0.28796,0.075521,0.005849,-0.011448,0.27985,0.064952,0.020156,-0.12877,0.15144,0.27824,0.29076,0.10432,0.20363,0.31537,-0.046879,0.16255,0.11872,0.038597,0.10417,0.1253,-0.14997,0.074168,0.11738,0.001525,0.028327,0.12171,-0.034283,0.2357,0.034274,0.26282,-0.17673,-0.086917,0.17646,-0.19807,-0.1937,0.1167,0.033264,-0.13489,-0.063801,0.13815,0.24563,-0.17363,0.11471,0.08753,0.014167,0.29144,0.17692,-0.13211,0.23556,0.092267,-0.20846,-0.16877,0.051593,-0.089405,0.10325,-0.32898,0.036034,-0.42513,-0.024055,0.054384,0.097103,0.12677,-0.081138,-0.23428,-0.29876,0.091022,-0.011356,0.29769,0.16457,0.040489,-0.076239,-0.029329,-0.26896,-0.070295,-0.0012198,0.037308,0.32599,0.17584,-0.056136,-0.078651
9,0.74588,0.83429,0.71341,0.80245,0.74594,0.76113,0.80963,0.76559,0.73174,1,0.80473,0.73247,0.81105,0.71269,0.77488,0.69952,0.71364,0.77673,0.77253,0.7891,0.80657,0.75991,0.74654,0.78175,0.77024,0.77248,0.74764,0.76575,0.77522,0.82147,0.73691,0.69886,0.72114,0.62667,0.70204,0.79097,0.72349,0.73158,0.67147,0.75687,0.66162,0.70452,0.71447,0.58625,0.61179,0.51914,0.56225,0.66657,0.55937,0.63773,0.6269,0.51107,0.609,0.46381,0.47574,0.57505,0.45754,0.39039,0.55723,0.4562,0.43084,0.45902,0.60568,0.50143,0.4327,0.42594,0.61898,0.58905,0.33692,0.35065,0.3237,0.12947,0.2349,0.19602,0.40123,0.4363,0.359,0.38706,0.42223,0.071498,0.21791,0.16328,0.08444,0.33107,-0.068744,-0.1142,0.37574,0.016385,0.21247,0.052018,0.0051157,0.3502,0.22649,0.030997,0.16118,0.062594,-0.07306,0.35792,0.12979,0.11165,-0.27153,0.26558,0.17326,-0.04844,-0.16761,0.28355,0.18338,0.27549,0.13036,0.21806,0.27937,-0.27008,-0.012782,0.26284,0.10577,-0.03094,0.29339,-0.078229,0.13266,0.091499,0.0072215,0.10913,-0.09192,-0.17464,0.23254,0.038695,0.33401,-0.024803,-0.15543,0.10027,-0.063607,-0.07316,0.2077,-0.10342,-0.013414,-0.12769,0.11702,0.1603,-0.17797,0.22588,0.051682,-0.019969,0.37816,-0.079638,-0.18488,0.17293,0.044762,-0.37214,-0.10911,0.033553,0.27402,0.096726,-0.11934,-0.025985,-0.27792,0.074205,0.028439,0.085903,-0.015402,-0.19918,-0.18753,-0.33113,0.082643,-0.024108,0.27456,0.1719,0.13524,-0.031043,-0.077305,-0.17608,-0.022504,-0.040216,-0.081113,0.1277,0.18509,0.056206,0.001023
