,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,1,0.85013,0.84088,0.86818,0.85949,0.87262,0.8916,0.84705,0.85066,0.80686,0.86786,0.8621,0.89353,0.7472,0.81329,0.81487,0.82818,0.83566,0.74893,0.82816,0.74778,0.80859,0.77262,0.76151,0.79107,0.75334,0.6942,0.76035,0.61818,0.60459,0.77579,0.67622,0.39154,0.62081,0.52851,0.56096,0.52721,0.22767,0.31893,0.36375,0.18924,0.2649,0.39587,-0.10056,0.30612,0.40449,0.04071,0.034513,0.11443,0.096656,0.17784,-0.047662,0.057199,0.069433,-0.11188,-0.091008,0.12229,0.076063,-0.16517,-0.049284,0.038892,-0.2471,-0.1254,-0.17373,0.02325,-0.21464,-0.055967,-0.051815,-0.23822,-0.2882,-0.24448,-0.038631,-0.24004,-0.25501,-0.15849,-0.16322,-0.35162,-0.027465,-0.30144,0.018529,0.18463,-0.04275,-0.19487,-0.08372,0.0029209,-0.16134,0.090848,-0.0054009,0.096379,-0.15181,-0.11584,-0.019327,-0.025347,-0.2789,0.18143,0.24029,-0.06995,-0.29969,-0.1922,0.14936,0.2561,0.1438,0.16045,-0.085809,0.046593,0.14055,-0.032532,-0.091486,-0.18292,0.25373,0.17444,0.13631,-0.03377,-0.3238,-0.049799,0.20643
1,0.85013,1,0.82955,0.85516,0.90697,0.82671,0.89086,0.8471,0.84793,0.84275,0.81626,0.82237,0.87762,0.85943,0.8339,0.82227,0.80706,0.7731,0.79921,0.83035,0.79103,0.79201,0.84503,0.76083,0.791,0.7578,0.78703,0.68851,0.48541,0.64113,0.70847,0.79588,0.47271,0.64548,0.63201,0.53537,0.49897,0.21677,0.37075,0.45813,0.21061,0.40796,0.40174,0.02707,0.17339,0.40178,-0.053219,-0.031021,0.14203,0.085857,0.096278,-0.01302,0.12182,-0.034238,-0.21959,-0.13042,0.11368,-0.00033573,-0.10221,-0.0299,-0.11104,-0.24645,-0.030301,-0.14009,-0.077004,-0.17052,-0.020527,0.053647,-0.22713,-0.26722,-0.4084,0.13622,-0.19281,-0.34891,-0.26808,-0.22319,-0.3478,-0.042365,-0.41129,0.088507,0.098179,-0.066274,-0.25904,-0.066336,0.16978,-0.15518,0.11289,-0.036211,0.10705,-0.12337,-0.2382,-0.018609,0.079827,-0.37307,0.19715,0.19868,-0.068928,-0.31661,-0.34797,0.22599,0.0069748,0.070919,0.16978,-0.019984,0.05398,0.090236,0.007024,-0.0022977,-0.12806,0.23464,0.10963,0.12268,0.14686,-0.38576,0.021317,0.18361
2,0.84088,0.82955,1,0.83057,0.82081,0.82307,0.84446,0.77656,0.77627,0.7805,0.84969,0.76186,0.82666,0.83035,0.73984,0.69374,0.78878,0.73421,0.67642,0.79154,0.7393,0.83692,0.76134,0.71083,0.82198,0.69568,0.61676,0.69853,0.57268,0.58819,0.67702,0.68775,0.56784,0.56673,0.45369,0.55608,0.55361,0.068026,0.40805,0.34261,0.27785,0.3382,0.33345,-0.2148,0.32304,0.37532,-0.009794,-0.087992,0.071664,0.17151,0.23963,0.040783,0.043213,-0.028781,-0.11524,-0.22667,0.22031,0.10359,0.0098718,-0.13628,-0.0032629,-0.2495,-0.12629,-0.22413,-0.0096936,-0.18624,0.10308,-2.8768e-05,-0.15395,-0.19567,-0.35654,0.12284,-0.15656,-0.1404,-0.165,-0.16895,-0.47527,-0.10336,-0.33192,0.091728,0.060337,-0.085554,-0.21,-0.01606,0.20602,0.033062,0.11156,0.012642,0.054381,-0.11512,0.056858,-0.15411,0.14935,-0.30571,0.18309,0.27694,0.040238,-0.26735,-0.20791,0.19633,0.039291,-0.02521,0.081455,-0.039124,-0.075998,0.010964,0.22378,0.080164,-0.13179,0.21197,0.14198,0.1864,-0.026871,-0.24147,0.015778,0.19153
3,0.86818,0.85516,0.83057,1,0.84318,0.81621,0.8962,0.78905,0.78617,0.73247,0.82703,0.78332,0.83424,0.74777,0.78274,0.73291,0.73882,0.76281,0.71903,0.80827,0.72451,0.74396,0.79003,0.7649,0.76244,0.75533,0.68141,0.67887,0.54715,0.61813,0.7213,0.68898,0.37989,0.61732,0.49177,0.60261,0.50807,0.1774,0.33809,0.32222,0.29118,0.41035,0.43718,-0.18543,0.2431,0.39448,-0.027739,-0.090249,0.13405,0.0862,0.18846,0.070128,-0.0505,0.020041,-0.17973,-0.19549,0.14552,0.10006,-0.26051,-0.083652,0.049917,-0.30605,-0.063071,-0.082388,-0.055114,-0.31506,0.0023706,-0.0030913,-0.31152,-0.23161,-0.35939,0.11657,-0.21813,-0.27973,-0.21157,-0.070718,-0.36705,-0.11007,-0.23106,0.1912,0.094547,-0.074677,-0.23544,0.043227,0.12364,-0.25319,0.20357,-0.031683,0.16836,-0.19423,-0.10691,-0.1256,0.06163,-0.27444,0.26831,0.22202,0.027534,-0.31667,-0.40541,0.14198,0.017353,-0.025282,0.24398,-0.14387,-0.01379,0.14231,0.011047,0.022675,-0.17442,0.25004,0.081831,0.2042,0.012257,-0.33225,0.094341,0.1626
4,0.85949,0.90697,0.82081,0.84318,1,0.83176,0.89661,0.79965,0.82296,0.80685,0.8646,0.84064,0.85308,0.82456,0.85502,0.80165,0.82081,0.7652,0.78324,0.83953,0.69638,0.84013,0.8082,0.81495,0.78319,0.69154,0.70586,0.69037,0.56203,0.63317,0.7718,0.80053,0.41924,0.59083,0.5311,0.61147,0.55691,0.24055,0.41962,0.40128,0.10756,0.30822,0.45154,0.01455,0.26462,0.35482,-0.020899,0.11252,0.14564,0.17611,0.14961,0.020444,0.15462,-0.064769,-0.21454,-0.15781,0.066319,0.054412,-0.090259,-0.15673,-0.11292,-0.19178,-0.16942,-0.16161,0.010005,-0.20585,-0.14649,-0.017935,-0.3012,-0.21069,-0.31905,0.051818,-0.19988,-0.2577,-0.16491,-0.23294,-0.41546,0.084156,-0.32013,0.1457,0.10279,-0.061487,-0.24561,-0.058723,0.15367,-0.12922,0.016708,-0.089855,0.12542,-0.12378,-0.17364,0.069734,0.12578,-0.40085,0.17943,0.07652,-0.03159,-0.29631,-0.33904,0.25649,0.12464,-0.036056,0.21638,0.00021969,0.023942,0.11211,0.011832,0.068869,-0.14065,0.25099,0.098237,0.07118,0.11236,-0.43693,-0.02045,0.094507
5,0.87262,0.82671,0.82307,0.81621,0.83176,1,0.85792,0.89664,0.84347,0.78791,0.83144,0.81306,0.85308,0.77887,0.84712,0.85263,0.83425,0.7905,0.68008,0.83853,0.78521,0.82,0.76206,0.7919,0.70385,0.71674,0.72939,0.81588,0.62083,0.69999,0.69809,0.71548,0.49431,0.62384,0.5506,0.52352,0.53856,0.19225,0.44312,0.37976,0.15971,0.26542,0.31341,-0.11762,0.2705,0.37977,0.15969,-0.015662,0.042809,0.12139,0.23881,-0.11858,0.068503,0.10236,-0.15493,-0.10921,-0.012457,-0.02717,-0.090646,-0.097508,-0.14546,-0.24605,-0.0030133,-0.1931,-0.10755,-0.21366,0.016315,0.0030164,-0.082751,-0.13399,-0.36005,0.11749,-0.1335,-0.32823,-0.1907,-0.19539,-0.37207,-0.14673,-0.26486,-0.015847,0.039797,-0.067158,-0.19863,-0.019474,0.16688,-0.027691,0.096291,-0.047501,0.16736,-0.13223,-0.1838,-0.032182,0.059473,-0.37195,0.21338,0.14629,-0.072981,-0.3282,-0.20829,0.29183,0.12249,0.056011,0.14432,-0.066397,0.05715,0.15934,0.044728,-0.017323,-0.15094,0.2034,0.076915,0.16401,0.025125,-0.34004,0.10447,0.061133
6,0.8916,0.89086,0.84446,0.8962,0.89661,0.85792,1,0.83893,0.87378,0.80023,0.84957,0.85473,0.81531,0.87064,0.82441,0.74393,0.81315,0.84613,0.7875,0.81469,0.75643,0.82236,0.76496,0.82413,0.81344,0.76496,0.68339,0.71408,0.5868,0.65663,0.70763,0.72154,0.39166,0.63901,0.51568,0.56103,0.59529,0.15954,0.35094,0.39937,0.19363,0.36892,0.34672,-0.073923,0.20733,0.35209,-0.067347,0.041612,0.067367,0.086822,0.14724,-0.023106,0.024964,0.047111,-0.26411,-0.12073,0.040695,0.062816,-0.2106,-0.066055,-0.0040246,-0.27845,-0.11935,-0.17522,-0.062486,-0.30459,-0.032699,-0.0014155,-0.31324,-0.28213,-0.31564,0.011715,-0.31163,-0.38301,-0.20336,-0.18328,-0.35908,0.00047572,-0.29492,0.093575,0.13324,-0.062896,-0.28635,-0.099222,0.122,-0.18805,0.066258,-0.040653,0.16141,-0.1335,-0.11275,0.024561,-0.0054112,-0.27708,0.17122,0.23716,-0.028113,-0.29747,-0.32825,0.21415,0.092713,0.026237,0.20869,-0.0029432,0.03191,0.11996,-0.011156,0.08389,-0.080057,0.27462,0.17049,0.21621,0.065377,-0.38263,-0.040601,0.12076
7,0.84705,0.8471,0.77656,0.78905,0.79965,0.89664,0.83893,1,0.84,0.82032,0.80349,0.76912,0.84856,0.78043,0.84581,0.75232,0.75268,0.78787,0.66381,0.80502,0.80523,0.73533,0.75451,0.71751,0.71196,0.69962,0.77691,0.68372,0.58401,0.70812,0.68895,0.68345,0.43375,0.62925,0.58092,0.42831,0.52512,0.24047,0.33915,0.3826,0.16457,0.29101,0.42431,0.019551,0.30939,0.29845,0.13284,0.043462,-0.031376,0.20618,0.12472,-0.062387,0.14339,0.025288,-0.17926,-0.010864,-0.010304,0.00081986,-0.1161,-0.059697,-0.092879,-0.2311,-0.01,-0.1203,-0.023516,-0.24213,-0.047133,-0.13907,-0.11735,-0.22199,-0.41799,0.15495,-0.21111,-0.30783,-0.22435,-0.12601,-0.36544,-0.073199,-0.36139,-0.01965,0.081143,-0.18423,-0.26842,-0.14489,0.084263,-0.080566,0.09453,-0.026044,0.11549,-0.091469,-0.25789,0.053872,0.0051054,-0.27268,0.23931,0.044474,-0.057355,-0.26112,-0.28861,0.2128,0.094397,0.018751,0.14006,-0.17861,0.076116,0.1483,0.038631,0.0058155,-0.14591,0.32686,0.092162,0.19574,0.040528,-0.31341,0.056199,0.10003
8,0.85066,0.84793,0.77627,0.78617,0.82296,0.84347,0.87378,0.84,1,0.79076,0.78755,0.80858,0.85698,0.8338,0.81422,0.77458,0.82315,0.7962,0.76139,0.70887,0.83839,0.77512,0.7506,0.77168,0.70588,0.7058,0.66216,0.7167,0.4682,0.68378,0.73604,0.70261,0.51723,0.58784,0.57847,0.55873,0.49489,0.16733,0.39572,0.35336,0.19649,0.26705,0.39084,-0.0043608,0.20378,0.34472,0.057681,0.14392,0.0191,0.14371,0.19446,-0.00084036,0.139,0.12914,-0.27543,-0.12229,0.16473,0.017813,-0.17673,-0.093125,-0.11002,-0.2815,-0.099803,-0.1737,-0.065641,-0.2142,0.03237,-0.070429,-0.067036,-0.19878,-0.40618,0.091382,-0.1685,-0.29989,-0.08387,-0.34977,-0.34098,0.050401,-0.34427,0.087332,0.031686,-0.086049,-0.2802,-0.15885,0.021787,-0.080559,0.10591,-0.019808,0.10065,0.024465,-0.16356,-6.8921e-06,-0.061161,-0.28198,0.16403,0.17866,-0.13365,-0.37106,-0.27731,0.17534,0.036224,0.11043,0.17623,-0.02334,0.0042519,0.13534,-0.11361,0.039402,-0.14475,0.30039,0.1133,0.12156,0.044247,-0.32614,-0.15459,0.15432
9,0.80686,0.84275,0.7805,0.73247,0.80685,0.78791,0.80023,0.82032,0.79076,1,0.79126,0.77627,0.80866,0.8282,0.77395,0.76035,0.79017,0.72732,0.67466,0.82885,0.76349,0.80595,0.75923,0.68143,0.73572,0.73611,0.67288,0.6567,0.43589,0.6183,0.76319,0.57783,0.4302,0.57117,0.6154,0.55859,0.56672,0.24937,0.29624,0.37099,0.27627,0.37784,0.36068,0.026044,0.35214,0.3199,0.1516,0.15973,0.20748,0.001911,0.024466,-0.005115,0.22272,-0.0049718,-0.037244,0.027033,0.19357,-0.097296,-0.040526,-0.099701,-0.039756,-0.12928,-0.13606,-0.14998,-0.069162,-0.28329,-0.03469,-0.14266,-0.13896,-0.19143,-0.29571,0.050342,-0.16567,-0.2659,-0.34146,-0.12437,-0.50082,0.015623,-0.29813,-0.017365,0.15467,-0.14993,-0.39556,-0.064671,0.049189,0.074283,0.10026,0.12194,0.1916,-0.10793,-0.18072,-0.011589,-0.022202,-0.16966,0.19742,0.060084,-0.019251,-0.18354,-0.30039,0.11583,0.2379,0.060398,0.050604,-0.15041,-0.041853,0.12596,0.06902,-0.07217,-0.16346,0.29459,0.082915,0.11105,0.035311,-0.311,0.0030691,0.055569
