,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,1,0.77368,0.82881,0.81638,0.81708,0.70318,0.76579,0.71113,0.72006,0.54457,0.64794,0.65455,0.46346,0.60596,0.27435,0.50495,0.2864,0.40379,0.37827,0.094963,0.13598,0.23663,-0.15175,-0.027005,0.014039,-0.26592,0.19964,0.088916,-0.066438,-0.037905,-0.14774,-0.16673,-0.37495,0.087094,0.034773,-0.22436,-0.22084,-0.039589,-0.25448,-0.30097,-0.45495,-0.1554,-0.21735,-0.20501,-0.5963,-0.42277,-0.038591,-0.29585,-0.043437,-0.014978,-0.025839,-0.013131,-0.23834,-0.03842,-0.2653,0.042997,-0.14557,0.017971,-0.32774,-0.20913,-0.046533,0.048604,0.020395,0.056405,0.2121,0.23957,-0.13309,-0.15418,-0.0080269,0.068854,-0.011998,-0.21272,-0.069342,-0.22572,0.15168,0.18247,0.10455,0.24548,0.22903,-0.094137,0.088152,0.044423,-0.052124,0.0040504,-0.05592,0.092454,0.19131,0.2962,0.044582,0.22753,0.34628,-0.047284,-0.013059,0.13867,0.0334,0.057521
1,0.77368,1,0.73984,0.76354,0.73362,0.71914,0.78114,0.7493,0.74163,0.52347,0.57733,0.68009,0.45765,0.58415,0.29456,0.54815,0.10558,0.43291,0.27209,0.10928,0.17079,0.11527,-0.21712,-0.14847,0.082714,-0.2445,0.16866,0.13491,-0.12063,-0.2625,-0.15551,-0.17908,-0.25518,0.069796,-0.049093,-0.34006,-0.2556,-0.17251,-0.20867,-0.36086,-0.35837,-0.11307,-0.16269,-0.14014,-0.49926,-0.51912,-0.078979,-0.20108,-0.31017,0.021749,-0.18999,0.069225,-0.38306,0.13487,-0.27584,-0.002167,-0.066843,0.24917,-0.40248,-0.15837,-0.025183,-0.21861,0.13582,0.02097,0.38342,0.20281,-0.081199,-0.20518,0.082387,0.10576,-0.03828,-0.17763,0.16289,-0.31956,-0.01939,0.29287,-0.052803,0.052886,0.15761,-0.015315,0.049175,0.13773,-0.015058,-0.10264,-0.18424,0.14548,0.17612,0.1783,0.097144,-0.029844,0.39167,0.038479,-0.047306,0.17464,0.054582,0.17129
2,0.82881,0.73984,1,0.80145,0.78215,0.78797,0.73504,0.71142,0.7323,0.49399,0.54314,0.66977,0.36428,0.55192,0.30844,0.5268,0.19313,0.36473,0.29518,0.11257,-0.020425,0.11052,-0.030549,-0.060223,0.11614,-0.13027,0.1442,0.12238,-0.10829,-0.10796,-0.24333,-0.13738,-0.42535,0.072347,-0.065795,-0.39794,-0.31393,0.11899,-0.27611,-0.33464,-0.39258,-0.1598,-0.1573,-0.26636,-0.4978,-0.45556,-0.12173,-0.16414,-0.18144,-0.06683,-0.078822,-0.035779,-0.13921,0.0094285,-0.16411,0.060638,0.058901,0.04854,-0.34557,-0.35268,-0.13026,0.095102,0.097374,0.12243,0.32381,0.20854,-0.024074,-0.0056501,0.15241,-0.071343,0.091085,-0.229,-0.077928,-0.23844,-0.0068787,0.23517,0.064093,0.25418,0.20566,-0.14105,0.069488,0.033061,-0.072636,0.14581,-0.12093,0.15219,0.1464,0.39827,0.068947,0.26156,0.33141,-0.0048892,0.007257,0.10271,0.079136,0.16511
3,0.81638,0.76354,0.80145,1,0.75379,0.64101,0.78883,0.73969,0.61146,0.6019,0.59436,0.59559,0.37466,0.61457,0.2405,0.51977,0.32572,0.496,0.3237,0.083484,0.016605,0.08945,-0.22081,0.016448,-0.0091176,-0.12572,0.25226,0.10115,-0.11671,-0.055453,-0.17648,-0.19078,-0.2785,-0.043244,-0.042614,-0.41176,-0.2309,0.055388,-0.32771,-0.42728,-0.43228,-0.13434,-0.016936,-0.13546,-0.50867,-0.42762,-0.057696,-0.26717,-0.047455,-0.091057,-0.041408,-0.0055411,-0.20584,-0.019362,-0.2588,0.13496,-0.0020572,0.017663,-0.35479,-0.22426,-0.21799,0.0066556,0.20909,-0.035431,0.32587,0.16684,-0.015502,-0.12127,0.028502,0.055986,-0.031827,-0.075443,0.044269,-0.23877,0.090233,0.1269,-0.12835,0.34687,0.2727,-0.10945,0.046735,0.12245,-0.095918,0.065092,-0.18151,0.11101,0.12724,0.3536,0.15354,0.21849,0.34054,-0.085631,0.032971,0.18602,0.10661,0.12974
4,0.81708,0.73362,0.78215,0.75379,1,0.69643,0.64441,0.69119,0.67093,0.56994,0.54831,0.58364,0.35514,0.635,0.30209,0.55721,0.12586,0.42224,0.42974,0.22093,0.035031,0.15524,-0.05488,0.13287,0.13264,-0.13212,0.24112,0.0076417,-0.12365,-0.19936,-0.052022,-0.068266,-0.30935,0.14159,-0.1528,-0.29941,-0.15993,-0.053017,-0.27096,-0.46179,-0.45144,-0.31279,-0.30829,-0.34975,-0.5339,-0.48309,-0.26245,-0.18116,-0.10172,-0.11985,-0.24634,-0.1472,-0.17697,0.063605,-0.20072,0.12857,-0.084611,0.090158,-0.30256,-0.06601,-0.099968,-0.044873,0.012597,0.032837,0.26659,0.085289,0.033525,-0.1263,0.15513,-0.0089239,0.072114,-0.071248,-0.059153,-0.094052,0.23463,0.19071,0.08145,0.23098,0.12131,0.066696,0.22782,-0.0088149,0.02065,0.080816,0.0023484,0.060239,0.25355,0.4914,0.17277,0.26665,0.2723,-0.039746,0.14139,0.20574,0.084689,-0.021582
5,0.70318,0.71914,0.78797,0.64101,0.69643,1,0.63222,0.55484,0.6489,0.4488,0.54051,0.59196,0.51581,0.3499,0.2185,0.59031,0.12517,0.37383,0.28471,0.045219,0.10179,0.12276,0.03388,-0.12499,0.07539,-0.13339,0.20482,0.1267,0.0001499,-0.083531,-0.19929,-0.21115,-0.40327,0.19476,-0.050955,-0.34498,-0.38973,-0.1007,-0.29576,-0.32082,-0.28343,-0.27989,-0.0020473,-0.2327,-0.3908,-0.38439,-0.027481,-0.059744,-0.18515,-0.064527,-0.13139,-0.16088,-0.2171,0.038304,-0.19567,0.067352,0.13517,0.095724,-0.18527,-0.2718,-0.060049,0.0024846,0.1398,0.18528,0.19339,0.16405,-0.066204,-0.020908,0.14217,-0.0021436,0.20693,-0.10551,0.064385,-0.3038,-0.069488,0.2194,0.017934,0.20925,0.11265,-0.11976,-0.078743,0.037169,0.24873,0.13946,-0.041147,0.14907,0.2497,0.28882,0.14252,0.18988,0.22328,-0.032173,0.11674,0.2038,0.029284,0.14756
6,0.76579,0.78114,0.73504,0.78883,0.64441,0.63222,1,0.66786,0.69036,0.56106,0.557,0.64086,0.36249,0.53314,0.21968,0.41098,0.33311,0.42966,0.25307,0.034662,0.23956,0.16113,-0.14057,-0.11109,0.048999,-0.22027,0.19803,0.088807,-0.09624,-0.054728,-0.18235,-0.14386,-0.22281,-0.0052276,-0.13518,-0.43233,-0.11174,0.049857,-0.19886,-0.2622,-0.47023,-0.023483,-0.10452,-0.13957,-0.31963,-0.44049,-0.0027309,-0.13456,-0.24922,0.1631,0.0041967,0.0058814,-0.29016,-0.0044201,-0.16335,0.053185,-0.019519,0.19982,-0.42229,-0.20827,-0.1974,-0.029756,0.1514,-0.086886,0.28325,0.21282,-0.16587,-0.063748,0.13557,0.047441,-0.14815,-0.12207,0.099356,-0.29921,0.18308,0.12595,-0.035627,0.1293,0.26548,-0.07504,-0.0063983,0.11554,0.043678,0.11328,-0.067436,0.031934,0.024466,0.21531,0.074569,0.019712,0.50847,-0.059936,0.031717,0.069842,0.21152,0.10984
7,0.71113,0.7493,0.71142,0.73969,0.69119,0.55484,0.66786,1,0.6287,0.51626,0.44314,0.6811,0.48276,0.58474,0.18453,0.56278,0.20233,0.42744,0.12122,0.16419,0.10779,0.041369,-0.1471,0.033761,-0.09642,-0.23562,0.095512,-0.050341,0.0080385,-0.075338,-0.11341,-0.052535,-0.2526,-0.10869,-0.12003,-0.30636,-0.19349,-0.1256,-0.15653,-0.33475,-0.45997,-0.085194,-0.14996,-0.18106,-0.56858,-0.54659,-0.081441,-0.015645,-0.30614,-0.18229,-0.20181,-0.027033,-0.31256,0.19354,-0.1324,0.14504,-0.099074,0.27372,-0.45381,-0.12303,-0.22046,-0.10002,0.055257,0.0074901,0.13758,0.069588,-0.12014,-0.14582,0.13813,-0.0051955,-0.0026085,-0.12086,0.18707,-0.33466,0.099898,0.12806,-0.056887,0.25288,0.19709,-0.010317,0.19255,0.20815,-0.18791,0.1089,-0.21046,0.22279,0.13194,0.30783,0.10614,0.0087209,0.40396,-0.09132,-0.18472,0.069721,0.17636,0.045869
8,0.72006,0.74163,0.7323,0.61146,0.67093,0.6489,0.69036,0.6287,1,0.50606,0.57607,0.60634,0.30046,0.46467,0.41314,0.53274,0.12844,0.36551,0.25084,0.14903,0.11403,0.2261,-0.16729,-0.12275,0.053705,-0.24518,0.24272,0.16656,-0.109,-0.12411,-0.14126,-0.1193,-0.35278,-0.072987,0.044146,-0.27265,-0.31443,0.086586,-0.20704,-0.4719,-0.37494,-0.096276,-0.14725,-0.16937,-0.4881,-0.52538,-0.072769,-0.083292,-0.16578,-0.080797,0.14859,-0.01152,-0.18108,-0.00016972,-0.12436,0.067303,-0.023249,0.22431,-0.23152,-0.26402,-0.1164,0.019154,-0.17805,0.14711,0.19968,0.19891,-0.034976,-0.15489,0.14273,-0.070625,-0.086126,-0.066079,-0.035747,-0.32528,0.10887,0.21069,-0.057466,0.020453,0.35862,-0.12343,0.069799,-0.033105,-0.016464,0.09178,-0.13815,0.17707,0.016829,0.18048,0.13551,0.25462,0.19587,0.022904,-0.10243,0.27952,0.082667,0.1395
9,0.54457,0.52347,0.49399,0.6019,0.56994,0.4488,0.56106,0.51626,0.50606,1,0.53931,0.43227,0.28962,0.42088,0.27373,0.37304,0.10483,0.48288,0.10543,0.22252,-0.065938,0.14096,-0.19229,0.15324,-0.141,-0.067865,0.20164,-0.14069,-0.097933,0.083427,0.21249,-0.1101,-0.17895,-0.016178,0.02517,-0.40052,-0.023634,0.10846,0.027242,-0.33422,-0.25351,-0.12177,-0.063304,-0.029928,-0.29768,-0.46839,-0.20251,0.030688,-0.18921,-0.1147,-0.1392,0.077686,-0.18249,0.081192,-0.12806,0.033,0.065488,-0.0042201,-0.1736,-0.22929,-0.24559,-0.0092917,0.12137,0.11481,0.35331,0.11722,-0.048444,-0.19305,-0.20031,0.030141,0.070221,-0.17036,0.06923,-0.14393,0.047389,0.099323,-0.075414,0.29197,0.087764,-0.14102,0.24977,-0.071131,0.050475,0.065971,-0.023523,0.10014,0.31218,0.22231,0.22687,0.038536,0.41403,-0.14611,0.12534,0.06259,0.26594,0.031289
