,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
0,1,0.79716,0.81616,0.82945,0.77998,0.8244,0.78017,0.73142,0.8617,0.74934,0.72506,0.88022,0.78401,0.75132,0.74973,0.75649,0.8633,0.82134,0.69377,0.73914,0.74816,0.82396,0.83372,0.79408,0.7564,0.7317,0.78542,0.7846,0.81199,0.78904,0.79074,0.83238,0.7603,0.76794,0.7695,0.71713,0.78347,0.7054,0.73617,0.69838,0.68284,0.63609,0.69029,0.60278,0.63679,0.71037,0.61376,0.58162,0.54469,0.65615,0.61613,0.56305,0.52328,0.53583,0.55046,0.6279,0.34094,0.44074,0.62433,0.57014,0.54638,0.35074,0.26712,0.13175,0.38085,0.2204,0.25618,0.4427,0.39171,0.0259,0.45502,0.33052,0.14203,0.35443,0.15656,0.36951,0.42614,0.37023,0.29378,0.15721,0.19872,0.12941,0.39676,0.28073,0.047856,0.1508,0.078987,-0.017268,0.39355,0.097044,0.14362,0.19132,0.0098158,-0.050146,0.14989,0.15612,-0.10034,0.19473,0.085971,0.13002,0.24361,0.096348,0.098376,0.014145,-0.052237,0.18165,0.075964,0.05666,-0.027543,0.25094,0.27515,0.61279,0.014205,-0.29048,0.16809,-0.2328,0.147,0.20728,0.10168,0.080142,0.030226,-0.047673,-0.15882,0.12074,0.21229,-0.039279,-0.18817,-0.07769,0.36748,-0.029831,-0.042102,-0.017613,-0.065887,-0.16447,-0.067906,-0.065397,0.058755,0.088966,0.18406,0.15289,0.12877,0.16948,-0.020697,0.17487,-0.11219,0.37707,0.013593,-0.01054,-0.27451,0.19145,-0.064663,-0.1491,-0.21198,-0.25203,-0.13443,0.13538,-0.27885,0.037261,0.02986,0.17799,-0.17476,-0.12346,-0.23156,0.13954,-0.10011,0.23612,0.18438,0.15442,-0.2537,-0.2275,-0.17002,0.06031,0.042666,0.091904,-0.009049,0.29248,0.11782,0.0081694
1,0.79716,1,0.84541,0.82409,0.86196,0.84787,0.81617,0.78429,0.80287,0.76691,0.71857,0.8018,0.8313,0.80208,0.72381,0.81142,0.8488,0.82575,0.75448,0.75661,0.80445,0.83834,0.80132,0.7954,0.79649,0.80367,0.79981,0.78592,0.69649,0.83927,0.7785,0.88086,0.78496,0.76783,0.78994,0.80686,0.77221,0.79571,0.68153,0.73579,0.75725,0.74212,0.69642,0.65269,0.77258,0.67354,0.60668,0.55415,0.5327,0.6174,0.61448,0.72214,0.4783,0.66737,0.63566,0.5741,0.42466,0.43753,0.59149,0.4809,0.52644,0.50051,0.41139,0.16713,0.40881,0.26562,0.48087,0.55093,0.35199,0.20585,0.29732,0.28151,0.19171,0.26923,0.14116,0.51398,0.4487,0.45568,0.40209,0.11249,0.26557,0.10743,0.37377,0.23027,-0.016857,0.34734,0.14085,0.15472,0.29924,0.11491,0.22378,0.27294,-0.15365,-0.0015268,0.085994,0.13312,-0.042345,0.048945,0.13386,0.053185,0.23125,0.046093,0.10498,-0.011167,-0.14208,0.10571,0.11936,-0.0022904,-0.0012379,0.094712,0.1441,0.4554,0.046677,-0.35735,0.3302,0.057033,0.0094363,0.24304,0.0054792,0.054414,0.095545,0.089116,-0.13263,-0.060727,0.12535,-0.12305,-0.19277,-0.044523,0.29318,-0.15729,0.04934,-0.16424,-0.15511,-0.1876,-0.095378,-0.03123,0.084731,0.19541,0.15187,0.11899,0.049972,0.12536,-0.076156,0.16936,-0.10496,0.20483,0.12691,-0.14439,-0.19476,0.10943,-0.054876,-0.15581,-0.21358,-0.079936,-0.048829,0.19513,-0.2389,-0.10318,-0.083538,0.14423,-0.01638,-0.22603,-0.2093,0.085575,0.018274,0.095713,0.2548,0.20423,-0.1174,-0.28736,-0.21523,-0.043245,0.075606,0.0021099,-0.11899,0.30469,0.10888,0.0041053
2,0.81616,0.84541,1,0.86163,0.86231,0.84062,0.8363,0.81646,0.8457,0.79731,0.80833,0.85363,0.87856,0.75696,0.79283,0.83522,0.88031,0.85486,0.69094,0.74729,0.84273,0.91439,0.87166,0.82108,0.79703,0.7935,0.79662,0.78251,0.76064,0.81516,0.80897,0.87042,0.76722,0.72865,0.73332,0.80341,0.81581,0.78723,0.78842,0.76192,0.69551,0.68645,0.71418,0.59755,0.67529,0.71623,0.64497,0.5971,0.5058,0.73363,0.65441,0.76377,0.5615,0.61692,0.63794,0.66562,0.37417,0.38363,0.63079,0.54228,0.55317,0.6518,0.35207,0.10867,0.39168,0.25506,0.53047,0.43243,0.45035,0.18241,0.37391,0.34395,0.28,0.22459,0.076674,0.54006,0.44149,0.43676,0.33,0.1901,0.17565,0.11384,0.28865,0.26926,-0.13676,0.25996,-0.093674,0.099894,0.33538,0.12172,0.2609,0.25266,0.0074283,0.028471,0.10615,0.14082,0.017461,0.16882,0.018052,0.069004,0.22366,-0.035491,0.19312,0.072684,-0.16858,0.10192,0.020202,0.056697,0.048707,0.24091,0.15952,0.50961,0.0030945,-0.37812,0.24883,-0.047746,-0.020711,0.1942,0.055104,0.16743,0.013578,0.13616,-0.087708,-0.0096969,0.23267,-0.18159,-0.33214,0.039149,0.34563,-0.068254,-0.19187,-0.18892,-0.15118,-0.061686,0.065628,-0.092495,0.085169,0.098446,0.14937,0.10799,0.20968,0.069117,-0.057395,0.19198,-0.22316,0.28448,0.092879,0.0040033,-0.23558,0.21161,-0.12626,-0.075168,-0.22933,-0.17999,-0.027108,0.19688,-0.13368,0.005407,0.020542,0.20195,-0.032983,-0.11198,-0.28229,0.11207,-0.023146,0.13101,0.27513,0.0073385,-0.089154,-0.18528,-0.18549,0.020791,-0.040925,-0.017272,-0.046232,0.30413,0.08689,0.14157
3,0.82945,0.82409,0.86163,1,0.8645,0.8474,0.88247,0.81066,0.86992,0.78783,0.85882,0.8641,0.82686,0.84982,0.84668,0.75446,0.86769,0.88245,0.7545,0.85597,0.8559,0.88761,0.86404,0.78441,0.80039,0.84828,0.8535,0.79661,0.78541,0.8356,0.78963,0.8375,0.7712,0.79745,0.74831,0.7715,0.83901,0.81821,0.80836,0.77333,0.73122,0.69944,0.68754,0.6784,0.74234,0.73538,0.66827,0.69526,0.56877,0.68743,0.64458,0.68609,0.55568,0.56693,0.66446,0.64971,0.42362,0.48655,0.60341,0.55992,0.61037,0.4894,0.41111,0.16252,0.43093,0.14068,0.49617,0.44822,0.3658,0.09951,0.34299,0.48625,0.15019,0.36768,0.1195,0.41208,0.37012,0.4279,0.25071,0.088645,0.23176,0.15186,0.28111,0.18493,-0.063436,0.25884,-0.0084856,-0.032683,0.41423,0.21269,0.086931,0.28942,-0.0043957,0.056084,0.14985,0.21047,-0.063907,0.09492,0.15857,0.051024,0.23919,0.11975,0.15283,0.074069,-0.022519,0.14799,0.14872,-0.0025163,-0.027307,0.26161,0.088907,0.54766,-0.0069575,-0.50359,0.16177,-0.036167,0.0080176,0.28231,0.17679,0.12128,0.04659,0.14101,-0.073786,0.10083,0.19034,-0.07362,-0.17867,0.047316,0.34585,-0.16061,-0.18324,-0.09752,-0.1914,-0.12351,-0.02672,-0.089678,0.078826,0.14236,0.11595,0.14459,0.20258,0.14737,-0.063776,0.074591,-0.17487,0.24724,0.063385,-0.032017,-0.208,0.19795,-0.04912,-0.10573,-0.20639,-0.25843,-0.043698,0.23681,-0.12421,0.0067946,-0.041284,0.13366,-0.14213,-0.2713,-0.14376,0.086849,-0.075131,0.11471,0.20747,0.10371,-0.13572,-0.29506,-0.31153,0.00064184,0.044155,-0.057393,0.013989,0.29317,0.079959,-0.029134
4,0.77998,0.86196,0.86231,0.8645,1,0.84258,0.86867,0.84491,0.84517,0.84897,0.81278,0.86039,0.88267,0.80499,0.82169,0.79391,0.85379,0.88962,0.76234,0.842,0.78554,0.86677,0.85844,0.78482,0.87211,0.84364,0.8834,0.80164,0.80365,0.90032,0.85388,0.85671,0.83303,0.78031,0.79798,0.75363,0.86328,0.82942,0.78831,0.81201,0.78975,0.7588,0.78101,0.71798,0.75807,0.83228,0.68396,0.54802,0.65232,0.70446,0.73022,0.70813,0.49181,0.66287,0.62961,0.65594,0.39986,0.50665,0.63463,0.45416,0.49339,0.55559,0.33771,0.19049,0.56061,0.20481,0.489,0.48789,0.49197,0.24441,0.37731,0.3382,0.25421,0.31985,0.24445,0.47643,0.4557,0.4844,0.31617,0.14642,0.26782,0.098285,0.31113,0.34712,-0.058961,0.23786,0.11122,0.19651,0.43432,0.17335,0.24218,0.2634,0.079103,0.15703,0.1215,0.13231,-0.021853,0.16901,0.15393,0.029567,0.37769,0.1201,0.24358,0.030605,-0.047285,0.15157,-0.012908,0.052325,-0.12474,0.25308,0.11021,0.63134,-0.083905,-0.39721,0.32083,0.074356,0.073225,0.13496,0.12454,0.18255,0.19466,0.11627,-0.1132,0.027647,0.10738,-0.15326,-0.19256,0.01292,0.32585,-0.17292,-0.14606,-0.12827,-0.24878,-0.080105,-0.018217,-0.15472,0.030958,0.092829,0.18024,0.065067,0.16888,0.11102,-0.00068373,0.22954,-0.13918,0.28204,0.050216,-0.14448,-0.23264,0.11545,-0.034628,-0.12362,-0.1665,-0.18809,-0.046259,0.2652,-0.26027,-0.078128,-0.087321,0.082628,-0.048889,-0.29948,-0.15653,0.011097,-0.10283,0.12631,0.34062,0.11248,0.0095409,-0.4434,-0.34999,-0.050966,0.071752,-0.053852,-0.089433,0.26969,0.084368,-0.050427
5,0.8244,0.84787,0.84062,0.8474,0.84258,1,0.77947,0.78125,0.78545,0.76794,0.73639,0.80849,0.81146,0.75736,0.78263,0.75377,0.87875,0.83692,0.70693,0.70536,0.74341,0.81853,0.79562,0.82019,0.74697,0.77253,0.7887,0.75158,0.75028,0.8039,0.81543,0.82527,0.76226,0.71675,0.76303,0.72496,0.78272,0.76312,0.70341,0.6641,0.6932,0.72602,0.68208,0.67936,0.70242,0.75722,0.5656,0.72766,0.57964,0.69824,0.62194,0.68845,0.56467,0.51159,0.51443,0.62668,0.33854,0.48137,0.61531,0.50825,0.57984,0.50825,0.33907,0.13323,0.40806,0.14735,0.34757,0.41208,0.48329,0.15175,0.44909,0.3998,0.14283,0.50968,0.13759,0.51327,0.4568,0.47312,0.36681,0.045093,0.29366,0.19329,0.20746,0.17944,0.040026,0.38478,0.045613,0.072929,0.35024,0.035166,0.14891,0.19481,-0.011852,0.10384,0.13188,0.25839,0.06593,0.1281,0.1165,0.10947,0.33695,0.10466,0.22262,0.10739,0.026498,0.11751,0.14333,0.18431,-0.080141,0.20451,0.27722,0.48174,0.080873,-0.42803,0.23441,-0.037461,0.04398,0.31458,0.089553,0.10431,0.0022365,0.021223,-0.11422,0.039031,0.14652,-0.03071,-0.18241,0.010866,0.22211,-0.04804,-0.042982,-0.17952,-0.096144,-0.25128,-0.040742,-0.12532,0.19265,0.25681,0.037207,0.12899,0.21602,0.15608,-0.073737,0.24216,-0.048657,0.15153,0.13264,-0.088628,-0.1622,0.17995,-0.008455,-0.18455,-0.30931,-0.14635,-0.01005,0.22932,-0.1516,-0.07755,0.060631,0.20863,-0.043658,-0.12086,-0.25214,0.065851,0.10401,0.13136,0.19725,0.10285,-0.12681,-0.26668,-0.29639,0.017893,0.007997,0.014522,-0.14201,0.23997,0.057529,0.068152
6,0.78017,0.81617,0.8363,0.88247,0.86867,0.77947,1,0.83715,0.8653,0.85241,0.83386,0.86186,0.89776,0.84738,0.81848,0.77015,0.86092,0.88541,0.75435,0.88392,0.78301,0.86643,0.86744,0.84919,0.85046,0.81724,0.84423,0.79926,0.79589,0.89122,0.81362,0.86246,0.80982,0.79845,0.77523,0.79053,0.82995,0.86557,0.7835,0.80804,0.79424,0.76006,0.77117,0.63585,0.70591,0.76266,0.75439,0.63115,0.52909,0.81055,0.67305,0.73921,0.5528,0.70534,0.59278,0.61648,0.42091,0.48681,0.57169,0.58429,0.62774,0.56454,0.33246,0.23913,0.57874,0.25209,0.48571,0.44276,0.35241,0.14333,0.35598,0.47137,0.25164,0.29682,0.075176,0.47536,0.44456,0.45718,0.38853,0.13224,0.17821,0.18418,0.35976,0.25604,-0.060737,0.29616,0.08797,0.23386,0.30097,0.19869,0.23414,0.29122,0.090798,0.077669,0.0006679,0.13276,-0.031501,0.082409,0.16918,-0.036178,0.25362,0.078093,0.18552,0.074196,-0.06355,0.11645,-0.054453,0.074593,0.13012,0.30243,0.047786,0.56837,0.012428,-0.36608,0.19989,0.059447,0.14416,0.13464,0.10589,0.22294,0.024825,0.21134,-0.042415,0.02111,0.24921,-0.16621,-0.13792,0.0099521,0.26182,-0.13188,-0.16414,-0.13714,-0.20406,-0.041396,-0.080574,-0.098359,-0.059614,0.091613,0.097985,0.18069,0.10489,0.19962,0.028037,0.085349,-0.13658,0.27857,0.11106,-0.10628,-0.36478,0.13083,-0.174,-0.0063496,-0.075213,-0.13555,-0.087878,0.19865,-0.20577,-0.078155,-0.14225,0.15848,0.017608,-0.17562,-0.062554,0.10425,-0.13041,0.18293,0.25293,0.0981,-0.12781,-0.27433,-0.21503,-0.012674,0.04961,0.063249,0.014691,0.29116,0.18001,-0.068559
7,0.73142,0.78429,0.81646,0.81066,0.84491,0.78125,0.83715,1,0.76001,0.72655,0.79446,0.80419,0.83593,0.70712,0.79088,0.75628,0.82701,0.83709,0.75576,0.76197,0.7142,0.79689,0.78834,0.78793,0.78437,0.81024,0.76823,0.82315,0.75818,0.78626,0.76116,0.83644,0.81184,0.71744,0.8,0.72195,0.78305,0.78154,0.6985,0.74064,0.76558,0.75753,0.70792,0.63307,0.71991,0.7099,0.67142,0.63734,0.55421,0.68813,0.64974,0.74876,0.39827,0.61068,0.60852,0.6679,0.3546,0.46284,0.63837,0.48376,0.53501,0.6529,0.21128,0.18885,0.48856,0.18828,0.47147,0.35102,0.49872,0.1683,0.40373,0.33628,0.19715,0.29422,0.17601,0.38302,0.40772,0.44262,0.32023,0.0561,0.22494,0.13382,0.17984,0.30698,-0.1008,0.27506,0.11312,0.21344,0.25593,0.23097,0.28069,0.25647,0.041856,-0.018524,0.15424,0.18268,0.085061,0.17164,0.087555,-0.026157,0.34997,0.062695,0.2277,0.14355,-0.14643,0.16487,0.051275,0.084882,-0.04334,0.31491,0.087084,0.54849,-0.051496,-0.24016,0.14793,0.03061,0.035836,0.19405,0.052979,0.079998,0.009192,0.0547,0.0085084,-0.0076448,0.17772,-0.06997,-0.059978,0.088874,0.3191,-0.085883,-0.082052,-0.25681,-0.090034,-0.16037,0.025519,-0.11804,-0.10133,0.022586,0.088782,0.26032,0.11155,0.19106,0.010726,0.11844,-0.08339,0.33087,0.067583,-0.13446,-0.3703,0.16394,-0.20578,-0.0704,-0.2596,-0.13682,-0.11497,0.19331,-0.20417,-0.22463,-0.096218,0.25373,-0.07256,-0.23535,-0.10523,0.15456,-0.1067,0.023822,0.2507,0.048419,-0.094961,-0.36651,-0.33045,0.0010498,-0.040144,0.04181,0.0032327,0.31751,0.062248,-0.029651
8,0.8617,0.80287,0.8457,0.86992,0.84517,0.78545,0.8653,0.76001,1,0.78919,0.80187,0.88936,0.83487,0.76865,0.81151,0.8435,0.85965,0.85096,0.75333,0.8674,0.79794,0.8895,0.83656,0.83779,0.84251,0.77476,0.83279,0.79209,0.83895,0.82403,0.84613,0.83858,0.7962,0.80928,0.76118,0.79326,0.80825,0.79076,0.76621,0.79502,0.79244,0.70885,0.75469,0.56873,0.67697,0.82209,0.64411,0.59795,0.53213,0.73486,0.71029,0.64908,0.5083,0.58671,0.61294,0.58364,0.34332,0.51391,0.66985,0.56586,0.55711,0.40088,0.31113,0.13263,0.56547,0.26573,0.45405,0.40411,0.32783,0.086751,0.45321,0.3131,0.28822,0.2623,0.19531,0.40408,0.4416,0.40903,0.3058,0.22,0.18208,0.032617,0.27518,0.30535,0.041257,0.30791,0.038303,0.098394,0.31405,0.27636,0.23606,0.23917,0.062596,0.015658,0.097165,0.17262,-0.015903,0.11062,0.098733,0.087308,0.22146,-0.013971,0.12895,0.08533,0.012985,0.13561,0.080833,0.012714,0.036467,0.2346,0.071536,0.54898,-0.074089,-0.37816,0.10355,0.042862,0.13233,0.020159,0.028983,0.18111,0.050887,0.015243,-0.015191,0.055324,0.30437,-0.056252,-0.12236,0.0048209,0.40938,-0.15579,-0.18596,-0.053624,-0.077307,0.013566,-0.13326,-0.15775,0.071734,0.1186,0.19963,0.10189,0.081772,0.10578,-0.056654,0.033625,-0.19771,0.23596,0.039616,-0.012851,-0.21146,0.29858,-0.095683,-0.17482,-0.20447,-0.19823,-0.13501,0.155,-0.28673,0.060343,0.025248,0.14724,-0.15062,-0.31605,-0.17239,0.076314,-0.16419,0.20475,0.38272,0.19058,-0.11727,-0.32153,-0.22952,-0.016389,0.08797,-0.016119,0.02271,0.23716,0.095255,0.030716
9,0.74934,0.76691,0.79731,0.78783,0.84897,0.76794,0.85241,0.72655,0.78919,1,0.73349,0.77073,0.80841,0.74724,0.75824,0.79878,0.82436,0.81256,0.74791,0.76969,0.7239,0.8155,0.84021,0.74643,0.7891,0.78845,0.82172,0.71658,0.69848,0.81397,0.81355,0.79641,0.68295,0.76845,0.69473,0.71145,0.78009,0.74682,0.75911,0.75988,0.7034,0.70519,0.74326,0.63498,0.70167,0.68418,0.61233,0.5059,0.58631,0.74902,0.71258,0.69119,0.63966,0.67764,0.52956,0.56011,0.39431,0.50361,0.62833,0.39435,0.58482,0.47493,0.32404,0.21923,0.58639,0.30984,0.38529,0.46051,0.41347,0.35404,0.40535,0.32514,0.14009,0.32855,0.1339,0.44972,0.30977,0.37474,0.3899,0.21798,0.13993,0.12323,0.2898,0.29989,0.0096895,0.19882,0.063582,0.1539,0.36069,0.18316,0.34094,0.24951,0.086712,0.10561,0.01436,0.10836,-0.025201,0.11795,0.063074,0.018565,0.27886,0.05382,0.15636,-0.0067687,-0.0021488,0.18809,-0.063817,0.21801,-0.03303,0.20264,0.066594,0.46261,-0.068341,-0.3151,0.26455,-0.054622,0.029776,0.062773,0.098823,0.29101,0.14601,0.27272,0.083372,0.092398,0.15423,-0.19789,-0.077025,0.029637,0.26143,-0.086872,-0.061294,-0.05509,-0.063717,0.0047505,-0.099382,-0.15274,0.071557,0.13718,0.17257,0.14462,0.16698,0.1088,-0.0097616,0.086428,0.0040226,0.25615,-0.089569,-0.27557,-0.2234,0.029022,-0.18739,0.059912,-0.2509,-0.24933,-0.014402,0.1757,-0.12274,-0.10931,0.041026,0.081646,0.062447,-0.11419,-0.15118,0.10508,-0.094114,0.23377,0.28889,0.022418,-0.036159,-0.3274,-0.30318,0.073423,-0.05272,0.059037,-0.12731,0.14643,0.093802,0.098388
