,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
0,1,0.90479,0.92909,0.89243,0.90272,0.88947,0.89506,0.89206,0.82802,0.82898,0.86426,0.88451,0.86978,0.83685,0.80588,0.8983,0.8378,0.82649,0.8142,0.83784,0.78546,0.7665,0.77961,0.80565,0.76296,0.80551,0.80724,0.75805,0.6845,0.67614,0.66038,0.50373,0.59929,0.66501,0.54348,0.69464,0.62953,0.4578,0.26429,0.40795,0.21213,0.3193,0.28963,0.22199,0.35344,0.052956,-0.020543,0.023803,0.058337,0.17337,0.19446,0.035402,-0.013631,-0.055536,-0.11585,-0.15342,-0.038841,-0.17523,-0.30711,-0.22164,0.033963,-0.045494,-0.19905,-0.10327,-0.053335,-0.3654,-0.07944,-0.086754,-0.079576,-0.13796,-0.025099,-0.22173,-0.2835,-0.16505,-0.1372,-0.27108,0.052505,-0.30693,-0.20833,-0.25871,-0.12835,0.042398,0.0034761,0.24338,-0.062036,0.054681,0.050533,-0.20388,0.040562,-0.083114,0.04652,-0.12829,0.14762,0.044071,0.052539,0.08965,-0.14082,0.038766,0.16647,-0.0854,-0.037939,0.31279,-0.051027,0.16822,0.35771,0.36944,-0.18808,0.10257,-0.0086248,-0.04239,0.28682,0.046949,-0.17079,-0.068731,0.049178,-0.078234,-0.030226
1,0.90479,1,0.8668,0.82303,0.83508,0.84019,0.83991,0.83751,0.81312,0.81581,0.82699,0.83451,0.8379,0.80355,0.81563,0.84919,0.78622,0.74136,0.80826,0.83818,0.76032,0.69532,0.69414,0.73841,0.72471,0.75504,0.76016,0.67027,0.62698,0.61896,0.64727,0.52685,0.60011,0.5897,0.49072,0.67221,0.53747,0.50139,0.30126,0.4088,0.20368,0.36925,0.18096,0.23304,0.32191,0.10225,0.00028219,0.075901,0.0015246,0.099911,0.081802,0.16342,0.0082014,-0.12734,-0.011679,-0.12395,-0.050325,-0.072102,-0.19122,-0.13687,-0.046877,-0.038459,-0.24185,-0.047955,0.063788,-0.29066,-0.069779,-0.019338,0.032132,-0.085176,-0.10363,-0.084598,-0.19874,-0.10418,-0.12698,-0.29444,0.01918,-0.33299,-0.10057,-0.22041,-0.097183,-0.010349,0.10025,0.21733,-0.064521,0.059188,0.058274,-0.24728,-0.064183,-0.084764,-0.059164,-0.088171,0.14602,0.23371,0.0085712,-0.0078247,-0.13399,0.090568,0.13002,-0.065127,-0.13059,0.3182,-0.074565,0.13338,0.27366,0.32362,-0.17479,0.13397,-0.072338,0.042349,0.33422,-0.12629,-0.091345,-0.03328,0.089844,-0.13175,0.14139
2,0.92909,0.8668,1,0.88213,0.89229,0.89535,0.88981,0.8122,0.84807,0.79171,0.85461,0.89531,0.83636,0.81514,0.79661,0.83176,0.76431,0.76423,0.79288,0.81591,0.74871,0.79268,0.7749,0.75111,0.73111,0.75978,0.79698,0.71803,0.6377,0.67363,0.66184,0.42533,0.65979,0.6538,0.49888,0.69926,0.50117,0.47583,0.2373,0.36999,0.23129,0.34543,0.25458,0.27336,0.31478,0.064119,-0.012644,0.077744,0.087558,0.15701,0.17845,0.12026,0.0068787,-0.15073,-0.1375,-0.17876,-0.062823,-0.15019,-0.26059,-0.23731,0.050354,-0.022245,-0.16874,-0.095556,-0.044977,-0.31943,-0.13203,-0.025893,-0.034234,-0.17538,-0.12828,-0.14954,-0.28177,-0.21968,-0.12609,-0.29903,0.063697,-0.37386,-0.23552,-0.17207,-0.15281,-0.016014,0.012551,0.15321,-0.082111,0.074131,0.041445,-0.25944,-0.05388,-0.14566,-0.0043421,-0.12571,0.10634,0.10189,0.092999,-0.031009,-0.15902,0.051373,0.1653,0.0098338,-0.064464,0.29226,-0.018489,0.038122,0.36142,0.3426,-0.19553,0.0055053,0.047454,-0.06124,0.34655,0.062836,-0.056257,-0.13635,0.16566,-0.085289,0.041322
3,0.89243,0.82303,0.88213,1,0.87514,0.85709,0.89954,0.8512,0.84858,0.8267,0.81099,0.86535,0.81603,0.79511,0.78223,0.78301,0.75703,0.74948,0.77241,0.82914,0.73569,0.71149,0.75343,0.80808,0.78384,0.78012,0.74334,0.72438,0.58739,0.6554,0.53832,0.54713,0.61524,0.64918,0.54138,0.66336,0.57694,0.44984,0.25263,0.35169,0.39064,0.30316,0.32367,0.27593,0.40554,0.082585,-0.0047862,0.073533,0.050459,0.18817,0.22327,0.12614,-0.0016916,-0.075407,-0.20553,-0.14003,-0.12073,-0.1591,-0.31322,-0.21247,-0.1625,-0.036618,-0.15426,-0.024259,-0.085674,-0.40195,0.0029681,-0.087012,-0.17173,-0.11072,-0.080384,-0.26443,-0.21502,-0.18456,-0.11002,-0.32147,0.026985,-0.29286,-0.27558,-0.22201,-0.12724,-0.002635,0.13528,0.20835,0.03795,0.011559,0.082589,-0.23037,-0.051229,-0.027492,0.046618,-0.097247,0.17044,0.077145,0.09394,0.083991,-0.27139,0.023005,0.17074,0.0091287,-0.065073,0.24609,0.013074,0.1682,0.14332,0.29992,-0.23603,0.020327,0.076718,0.020625,0.37263,-0.03577,-0.096736,-0.06122,0.11302,-0.15674,0.11259
4,0.90272,0.83508,0.89229,0.87514,1,0.87994,0.90356,0.83916,0.80564,0.84791,0.83178,0.882,0.82875,0.80731,0.84883,0.86495,0.80658,0.78219,0.75945,0.83937,0.78379,0.75514,0.76596,0.83677,0.71826,0.70007,0.77541,0.70869,0.65963,0.64529,0.62865,0.47482,0.61534,0.60397,0.51729,0.61663,0.60923,0.45938,0.23501,0.33028,0.2928,0.34695,0.17615,0.36103,0.44725,0.034079,-0.0035433,0.098689,0.078603,0.15292,0.21354,0.11638,-0.087266,-0.086061,-0.11837,-0.10085,-0.0088802,-0.2396,-0.43135,-0.15566,-0.061189,0.044017,-0.11305,-0.11788,-0.10617,-0.38461,-0.060131,-0.090187,-0.17214,-0.1146,-0.021332,-0.24913,-0.37002,-0.20975,-0.11575,-0.3699,-0.059614,-0.31855,-0.30608,-0.12334,-0.11585,0.11624,-0.032223,0.10161,-0.089708,0.043619,0.13697,-0.14417,-0.075067,-0.15072,-0.032855,-0.19102,0.13213,0.13254,0.033293,0.081384,-0.16502,0.026606,0.19784,-0.13627,0.0042816,0.22183,-0.054571,0.15422,0.31761,0.30577,-0.28031,0.0089472,0.04744,0.0048286,0.37647,-0.091718,-0.056257,0.0074103,0.067152,-0.23843,0.065099
5,0.88947,0.84019,0.89535,0.85709,0.87994,1,0.86956,0.85097,0.82962,0.81998,0.8586,0.8843,0.8742,0.84764,0.82973,0.80796,0.78508,0.79265,0.83716,0.81139,0.8046,0.67655,0.71579,0.81581,0.78145,0.70311,0.78143,0.73759,0.61435,0.72996,0.66919,0.59945,0.62689,0.62889,0.49869,0.681,0.59813,0.46792,0.26534,0.39378,0.25815,0.28935,0.1997,0.27092,0.34019,0.033214,0.087687,0.15895,0.14113,0.30803,0.2122,0.15836,-0.067105,-0.040007,-0.24382,-0.12653,-0.014589,-0.11229,-0.26166,-0.30196,-0.0073778,0.012804,-0.1818,-0.056957,-0.0012894,-0.34125,-0.095639,-0.050041,-0.047135,-0.081981,-0.02429,-0.18162,-0.16914,-0.15719,-0.16606,-0.33412,0.039986,-0.2339,-0.27606,-0.12175,-0.14944,0.083014,0.015402,0.1155,-0.088814,0.04075,0.14282,-0.11649,-0.079696,0.016911,0.01467,-0.14459,0.14463,0.085406,0.079039,0.09097,-0.13185,0.01738,0.14482,-0.12827,0.0021986,0.22089,-0.096804,0.15286,0.33605,0.33444,-0.13624,0.012561,-0.0017376,-0.032209,0.32062,0.050021,-0.14855,-0.21052,0.1041,-0.17125,0.010878
6,0.89506,0.83991,0.88981,0.89954,0.90356,0.86956,1,0.84946,0.84188,0.83367,0.77722,0.86226,0.83118,0.84118,0.78652,0.821,0.7925,0.78947,0.85126,0.82572,0.79373,0.696,0.75053,0.77199,0.73962,0.72216,0.75016,0.64252,0.66613,0.63992,0.64244,0.52314,0.58329,0.63802,0.51152,0.57857,0.62191,0.39627,0.20387,0.42005,0.31039,0.22578,0.2614,0.33211,0.40455,0.023238,-0.057193,0.12833,0.099266,0.14083,0.076874,0.014765,0.0044075,-0.093543,-0.1587,-0.17523,-0.0691,-0.18009,-0.29784,-0.22147,0.014911,-0.084477,-0.065082,-0.096225,-0.087729,-0.32256,-0.087313,-0.014883,-0.14303,-0.048289,-0.093596,-0.21921,-0.21107,-0.18356,-0.21332,-0.30253,0.0079209,-0.29395,-0.16528,-0.15921,-0.094727,-0.064768,0.02236,0.12964,-0.14907,0.012644,0.22109,-0.17804,-0.11926,-0.19935,-0.022621,-0.15101,0.16647,0.16366,0.079859,0.063906,-0.23716,0.031084,0.21031,-0.051711,-0.12991,0.1817,-0.11779,0.1774,0.2859,0.33564,-0.26503,0.13239,-0.046782,-0.070801,0.33479,-0.042767,-0.10867,-0.040488,0.15927,-0.13441,0.085715
7,0.89206,0.83751,0.8122,0.8512,0.83916,0.85097,0.84946,1,0.81586,0.79991,0.79415,0.83606,0.86417,0.84961,0.77205,0.79834,0.73772,0.807,0.78326,0.77633,0.78919,0.69961,0.66425,0.7917,0.76082,0.67984,0.71006,0.68918,0.63073,0.61452,0.56211,0.56049,0.53207,0.56948,0.43249,0.65738,0.58125,0.31643,0.26869,0.34439,0.22233,0.30922,0.19562,0.17505,0.26574,-0.031673,0.013095,0.041233,0.085002,0.11266,0.13027,0.064567,-0.034307,0.027307,-0.10195,-0.09377,-0.0068668,-0.052273,-0.32043,-0.23668,-0.02294,-0.023886,-0.16461,-0.14476,-0.058502,-0.348,-0.13285,-0.17656,-0.13498,-0.17787,-0.102,-0.18039,-0.223,-0.20996,-0.13265,-0.17544,0.057116,-0.22249,-0.21787,-0.29373,-0.12882,0.072013,0.017551,0.099573,-0.12136,0.031481,0.034303,-0.12152,-0.07751,0.0025521,0.0035947,-0.09174,0.18246,0.138,-0.022301,0.10483,-0.10031,0.17023,0.22536,-0.17781,0.034171,0.34217,-0.007161,0.12398,0.24376,0.40591,-0.24552,0.10612,-0.08819,0.031816,0.35705,-0.036511,-0.2201,0.016844,0.023772,-0.1687,0.11936
8,0.82802,0.81312,0.84807,0.84858,0.80564,0.82962,0.84188,0.81586,1,0.76947,0.76269,0.81523,0.80139,0.76771,0.78543,0.77096,0.76229,0.67767,0.77499,0.82731,0.77472,0.67526,0.67043,0.74748,0.7595,0.66396,0.72653,0.62715,0.52292,0.64984,0.57996,0.37551,0.64891,0.543,0.56711,0.68603,0.52134,0.42093,0.19595,0.35305,0.29556,0.30842,0.3441,0.23755,0.40887,-0.0047885,-0.11056,0.16672,0.28054,0.027359,0.12064,0.10016,0.1056,-0.11228,-0.10873,-0.21701,-0.11507,-0.082992,-0.33055,-0.31291,0.085607,-0.040232,-0.23927,-0.21013,-0.045818,-0.35593,0.00064178,-0.018081,-0.080793,-0.12003,-0.074071,-0.038244,-0.24601,-0.13607,-0.10624,-0.28973,-0.031139,-0.19135,-0.29892,-0.12387,-0.099352,-0.011374,-0.028943,0.086159,0.060954,0.13368,0.1075,-0.16342,-0.046644,-0.15827,-0.030813,-0.083859,0.099099,0.17007,0.094023,0.020137,-0.17842,-0.045509,0.13055,0.034514,-0.042976,0.25738,-0.047976,0.0099699,0.17634,0.36258,-0.19034,-0.027383,0.0072028,0.12234,0.26636,-0.059952,-0.029462,0.010082,0.027996,-0.043087,0.099089
9,0.82898,0.81581,0.79171,0.8267,0.84791,0.81998,0.83367,0.79991,0.76947,1,0.82841,0.87043,0.81439,0.77008,0.77008,0.79268,0.82229,0.77384,0.76275,0.87701,0.80347,0.75703,0.71012,0.75727,0.74038,0.69065,0.69983,0.66372,0.55861,0.5897,0.64872,0.53043,0.54169,0.57041,0.57429,0.58851,0.67025,0.34975,0.17947,0.19517,0.38531,0.35824,0.27271,0.25223,0.44844,0.18508,0.025506,0.33081,0.11085,0.12942,0.13931,0.10017,0.059926,-0.016012,-0.12054,-0.076559,-0.078467,-0.12276,-0.33237,-0.20821,-0.11885,-0.090031,-0.17688,-0.077193,-0.084333,-0.34348,-0.079513,-0.14379,-0.065856,0.001548,-0.071923,-0.28865,-0.19451,-0.085975,-0.18848,-0.33798,-0.075317,-0.34256,-0.21019,-0.10265,0.018122,-0.014696,0.063635,0.12204,-0.056977,-0.097269,0.21334,-0.09929,-0.00040917,-0.081198,0.020016,-0.10863,0.19134,0.14014,0.10587,0.17463,-0.1634,-0.049851,0.21272,-0.14998,0.016071,0.19246,-0.067314,0.23659,0.22332,0.26914,-0.13615,0.035979,-0.066611,-0.043572,0.33248,-0.21995,-0.009104,0.0099547,0.063804,-0.25066,0.059991
10,0.86426,0.82699,0.85461,0.81099,0.83178,0.8586,0.77722,0.79415,0.76269,0.82841,1,0.85471,0.78463,0.81639,0.83267,0.75359,0.76808,0.76576,0.72157,0.78779,0.76574,0.72115,0.73442,0.70834,0.67644,0.64066,0.69072,0.68006,0.65135,0.77043,0.60543,0.54995,0.67971,0.62777,0.55201,0.66332,0.60604,0.3725,0.25429,0.25764,0.23455,0.35951,0.2535,0.15542,0.33673,0.12816,0.13261,0.11675,-0.0040226,0.16227,0.1177,0.11884,0.041988,-0.040142,-0.11158,-0.099189,-0.028028,-0.13695,-0.28057,-0.35792,-0.053284,0.095773,-0.26311,-0.099732,-0.108,-0.2685,-0.14587,-0.027868,0.026807,-0.24273,-0.075781,-0.10259,-0.14592,-0.12812,-0.12147,-0.26463,0.077828,-0.3072,-0.24358,-0.11794,-0.0033897,-0.0053249,0.01741,0.1441,0.010361,-0.070084,0.070012,-0.18721,0.10051,-0.0079876,0.069991,-0.060812,0.2287,0.059259,0.11863,0.027299,-0.069144,0.096256,0.13638,-0.10372,0.11209,0.18861,-0.0086481,0.24165,0.24093,0.3549,-0.048947,0.040617,-0.088207,0.033548,0.36082,0.0045412,-0.1079,-0.078508,0.11834,-0.16201,0.056981
11,0.88451,0.83451,0.89531,0.86535,0.882,0.8843,0.86226,0.83606,0.81523,0.87043,0.85471,1,0.84577,0.81263,0.79905,0.79367,0.76961,0.77407,0.79377,0.8398,0.75303,0.76475,0.78384,0.77569,0.71612,0.68677,0.70606,0.71698,0.5707,0.69284,0.67536,0.43497,0.62275,0.63312,0.51942,0.68823,0.63241,0.39762,0.23704,0.2982,0.26915,0.31176,0.19249,0.20018,0.43087,0.061738,0.083631,0.25772,0.11903,0.20726,0.24757,0.11847,0.035588,-0.067693,-0.12741,-0.097603,-0.13625,-0.14735,-0.32415,-0.16482,-0.093161,-0.13596,-0.24107,-0.061403,-0.027974,-0.31425,-0.034717,-0.10146,-0.10755,-0.089848,-0.048375,-0.17355,-0.22644,-0.20607,-0.16537,-0.34138,-0.037676,-0.33322,-0.12093,-0.15979,-0.021975,0.044814,0.082365,0.14884,-0.063258,0.039707,0.16588,-0.13921,0.065433,-0.094101,-0.085114,-0.095258,0.12667,0.15459,0.077883,0.17943,-0.14652,0.085997,0.22036,-0.026792,-0.10095,0.24293,-0.011457,0.15423,0.21078,0.37539,-0.19909,-0.037084,-0.039432,-0.080952,0.31399,0.034767,-0.069689,-0.041862,0.11026,-0.21448,0.010905
