,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,1,0.81553,0.71421,0.82349,0.81201,0.87336,0.72916,0.75444,0.7975,0.69994,0.59042,0.64423,0.47221,0.53853,0.56418,0.51998,0.060572,0.38572,0.35496,0.41329,0.13909,0.087134,0.32268,0.058021,-0.10128,0.21761,-0.26004,-0.14427,-0.081869,-0.16302,-0.12006,-0.20567,-0.080003,-0.1993,-0.30235,-0.12405,-0.33438,-0.061307,-0.054479,-0.17897,-0.28037,-0.219,-0.14348,-0.36242,-0.20986,-0.38005,-0.20754,-0.29581,-0.22162,-0.20651,0.029985,-0.034786,-0.032196,-0.25938,-0.033563,0.23579,-0.084608,-0.054258,-0.02481,-0.06449,-0.037222,-0.24646,-0.094805,0.14176,0.014607,0.082125,0.088004,0.18207,0.041477,-0.23646,0.092549,0.088267,-0.14377,0.18592,-0.17168,0.020062,-0.21891,-0.051133,-0.039362,-0.13447,0.11803,-0.11267,0.012319,-0.10986,-0.1189,-0.0095324,-0.071859,-0.12174,0.040408,0.098328,-0.077287,-0.060682,0.23499,0.14967,0.077107,0.21924,0.079449
1,0.81553,1,0.72874,0.8121,0.69079,0.75678,0.77714,0.64671,0.73846,0.66033,0.69214,0.56369,0.45996,0.49491,0.51747,0.47777,0.22215,0.4519,0.18193,0.42711,0.26033,0.046921,0.2253,0.085961,-0.14842,0.20625,-0.07908,-0.063145,-0.23749,-0.11782,-0.15184,-0.23043,-0.038108,-0.29309,-0.36178,-0.14972,-0.28151,-0.028137,-0.14336,-0.20514,-0.077768,-0.22888,-0.17355,-0.23115,-0.19254,-0.36875,-0.095822,-0.23321,-0.079274,-0.15216,-0.057839,-0.23224,-0.032638,-0.25156,-0.017195,0.2798,0.069664,0.078056,0.025886,-0.10863,-0.063453,-0.19525,-0.023836,0.29196,0.037406,0.1602,0.22127,0.0051089,0.086388,-0.20225,-0.021919,0.080948,-0.1043,0.067714,-0.058107,0.078751,-0.23824,-0.022898,-0.18229,-0.18965,0.098824,-0.024852,0.0397,-0.18407,-0.24758,-0.092267,0.0041947,0.15448,-0.050828,0.15635,-0.087753,0.17458,0.18288,0.045929,-0.011996,0.32345,0.14759
2,0.71421,0.72874,1,0.81525,0.82069,0.75418,0.61844,0.61486,0.79162,0.6745,0.60186,0.52656,0.45833,0.57899,0.34891,0.43115,0.19722,0.47832,0.23274,0.4184,0.0065831,0.066993,0.37624,0.039331,-0.073297,-0.046753,-0.20435,-0.042278,-0.26601,-0.072449,-0.19109,-0.026991,-0.018279,-0.34389,-0.14162,-0.042566,-0.20491,-0.18015,-0.049532,0.021152,-0.26867,-0.19628,-0.051135,-0.34027,-0.093599,-0.40211,-0.21987,-0.25973,-0.078442,-0.27346,-0.020672,-0.078993,-0.062659,-0.14402,-0.027893,0.1306,-0.11011,-1.8933e-05,-0.066185,-0.29885,-0.16274,-0.04553,-0.148,0.25549,0.018311,0.04352,0.11359,0.21115,0.076627,-0.13779,-0.11197,0.032555,-0.055321,0.02797,-0.12669,0.0066988,-0.33592,0.0014983,-0.044877,0.0051111,-0.12146,-0.025733,0.022338,-0.15456,-0.1365,0.11337,-0.07,2.8434e-06,-0.081116,0.070994,-0.18191,0.18985,0.14993,-0.1205,-0.15347,0.19161,0.13944
3,0.82349,0.8121,0.81525,1,0.79544,0.76129,0.77132,0.65949,0.81093,0.6855,0.69369,0.51936,0.48345,0.62754,0.51596,0.48794,0.20911,0.48949,0.23598,0.36863,0.032594,0.16049,0.40105,-0.12791,-0.1376,0.055457,-0.13985,-0.038109,-0.23157,-0.035387,-0.10279,-0.23139,-0.071135,-0.19891,-0.22651,-0.017762,-0.37991,-0.11699,0.0069486,-0.082805,-0.20791,-0.22928,-0.20043,-0.29843,-0.14762,-0.34027,-0.17906,-0.20399,-0.15157,-0.3182,-0.010596,-0.12823,-0.065289,-0.16769,0.082536,0.23786,-0.085144,0.018499,-0.10828,-0.21866,-0.064682,-0.23718,-0.088078,0.15525,-0.10841,0.25192,0.089329,0.098358,-0.04219,-0.21625,-0.10706,-0.020507,-0.25383,-0.050578,-0.091244,0.012837,-0.29533,-0.092488,-0.1807,-0.016302,-0.082492,-0.0029614,-0.020855,-0.16782,-0.096099,0.074305,-0.095956,0.099264,-0.10438,0.18228,-0.10344,0.12705,0.21116,0.14006,-0.014315,0.21077,0.21237
4,0.81201,0.69079,0.82069,0.79544,1,0.79884,0.72467,0.7578,0.78734,0.74629,0.51206,0.53515,0.51509,0.52718,0.28746,0.58922,0.19918,0.3998,0.34561,0.49907,0.075957,0.086606,0.46713,-0.078113,-0.11309,0.0034366,-0.19058,-0.0074474,-0.15068,-0.036631,-0.16477,-0.14625,-0.082288,-0.33271,-0.1908,-0.05969,-0.3331,-0.1477,0.028446,-0.030013,-0.28991,-0.33648,-0.17787,-0.40296,-0.21518,-0.48643,-0.30816,-0.30372,-0.078356,-0.38385,0.16401,-0.0089242,-0.087471,-0.18733,0.045238,0.18636,-0.15346,0.027908,-0.074586,-0.19503,-0.043348,-0.17385,-0.18357,0.3296,-0.01769,0.020061,0.084489,0.17945,0.039131,-0.22017,0.035575,-0.048611,-0.16334,0.069258,-0.087424,0.010346,-0.25536,-0.0085545,-0.13303,0.012227,-0.090742,-0.22915,0.017528,-0.12675,-0.14126,0.12403,-0.087907,-0.18356,-0.076269,0.16532,-0.22933,0.061848,0.22115,-0.05971,-0.12093,0.31928,0.16645
5,0.87336,0.75678,0.75418,0.76129,0.79884,1,0.73667,0.73653,0.68993,0.738,0.61441,0.52831,0.47417,0.5114,0.52078,0.47162,0.078234,0.41152,0.30993,0.32624,0.17178,0.030211,0.36158,0.085553,-0.011981,0.24628,-0.24473,-0.026149,-0.1536,-0.14428,-0.19404,-0.19943,0.079453,-0.16272,-0.22913,-0.16844,-0.23108,-0.025187,-0.0063497,-0.12631,-0.21643,-0.33334,-0.0070264,-0.33497,-0.076327,-0.29415,-0.15869,-0.30742,-0.26274,-0.12305,0.031923,0.034402,-0.013155,-0.17918,-0.022138,0.27171,-0.05035,-0.022073,-0.013513,-0.11294,-0.054268,-0.17499,-0.21984,0.27012,-0.073638,0.0705,0.16537,0.12653,0.039085,-0.27311,0.10778,0.24965,-0.16222,0.14826,-0.050847,-0.036915,-0.17523,-0.1742,-0.13718,-0.11559,-0.038031,-0.067649,-0.075683,-0.10789,-0.13417,-0.0094764,-0.16318,-0.15166,0.14402,0.10068,-0.066815,0.023187,0.19283,0.019531,-0.050645,0.36378,0.22649
6,0.72916,0.77714,0.61844,0.77132,0.72467,0.73667,1,0.58363,0.6712,0.63467,0.67174,0.45968,0.55004,0.51535,0.46298,0.44886,0.25223,0.40678,0.20768,0.315,0.24397,0.14742,0.40904,-0.1424,-0.17893,0.17986,-0.15102,-0.027985,-0.21571,0.056769,-0.26377,-0.23959,0.067904,-0.25219,-0.27021,-0.2352,-0.28757,0.11184,-0.040423,-0.1813,-0.059883,-0.41197,-0.21199,-0.33114,-0.19378,-0.26417,-0.16304,-0.23191,-0.15073,-0.30831,0.033063,-0.3218,-0.083918,-0.19696,0.08611,0.27417,-0.059794,0.078982,-0.045702,-0.18868,0.029993,-0.26107,-0.075354,0.38902,-0.20853,0.22078,0.11582,0.028513,-0.029462,-0.33464,0.0024104,0.016529,-0.17041,0.053818,-0.039494,0.14258,-0.2044,-0.1712,-0.21021,-0.067507,-0.15268,0.056276,-0.10191,-0.15123,-0.20944,-0.071934,0.064874,0.058971,-0.08014,0.16613,-0.22373,0.0273,0.20751,0.12317,-0.014573,0.34524,0.22684
7,0.75444,0.64671,0.61486,0.65949,0.7578,0.73653,0.58363,1,0.69071,0.69124,0.60288,0.43645,0.52887,0.46769,0.44637,0.56137,0.13246,0.32487,0.28826,0.3553,0.3153,0.073212,0.31552,-0.073943,-0.059947,0.077474,-0.21135,-0.015555,-0.034085,-0.15744,-0.061758,-0.26047,-0.16827,-0.19279,-0.13701,-0.18345,-0.32826,-0.060891,-0.11354,-0.1272,-0.22231,-0.11096,-0.16749,-0.27587,0.066692,-0.41251,-0.13101,-0.28169,-0.11188,-0.22657,0.061685,0.054046,0.025246,-0.19985,-0.062666,0.17145,0.067932,0.13153,0.0038531,0.039733,0.13458,-0.26407,-0.17036,0.075486,0.068818,-0.13209,0.068837,-0.030515,0.022245,-0.15509,0.15515,0.082114,-0.17226,0.20726,-0.15779,-0.048994,-0.040638,-0.027804,-0.099979,-0.055479,-0.0050988,-0.068631,-0.073806,0.071284,-0.045992,-0.022963,-0.024369,-0.17685,0.22121,0.19955,-0.26924,-0.076916,0.27339,0.16782,-0.1037,0.34518,-0.0031502
8,0.7975,0.73846,0.79162,0.81093,0.78734,0.68993,0.6712,0.69071,1,0.66256,0.65879,0.5173,0.47471,0.65559,0.35754,0.41402,0.16657,0.39898,0.26429,0.42973,0.063044,0.13947,0.21987,-0.098228,-0.10031,0.0946,-0.37798,-0.12974,-0.17268,-0.040963,-0.16927,-0.11277,-0.11535,-0.2761,-0.26851,-0.10484,-0.34151,-0.12341,0.038499,-0.040763,-0.38737,-0.19394,-0.32339,-0.32347,-0.33553,-0.55006,-0.31762,-0.36003,0.017358,-0.28384,-0.12048,-0.098303,-0.042154,-0.18533,-0.097102,0.14535,-0.20935,-0.0099532,-0.12193,-0.19473,0.015211,-0.14899,-0.06881,0.30615,-0.095602,0.089632,0.034033,0.089942,0.070689,-0.3252,-0.042092,-0.025902,-0.042857,0.08218,-0.11273,-0.12265,-0.19496,-0.00082971,-0.091142,0.036624,-0.036666,-0.038045,0.018058,-0.01307,-0.058207,0.11726,-0.19986,-0.014448,0.010504,0.10828,-0.20748,0.042372,0.21932,0.068219,-0.10391,0.20858,0.10012
9,0.69994,0.66033,0.6745,0.6855,0.74629,0.738,0.63467,0.69124,0.66256,1,0.52999,0.35311,0.46783,0.62626,0.33256,0.44517,0.15599,0.37014,0.38524,0.36003,0.23927,0.14943,0.4343,-0.029838,-0.026305,0.0043465,-0.24286,0.17322,-0.24639,-0.13607,-0.19557,-0.069269,0.10221,-0.22964,-0.21974,-0.11712,-0.12269,-0.21914,0.019486,-0.090647,-0.24613,-0.25228,-0.1055,-0.28559,-0.12099,-0.16293,-0.24244,-0.17123,0.0033844,-0.12538,-0.084516,-0.12566,-0.011148,-0.16615,-0.11626,0.12982,0.010873,0.11292,0.071662,-0.28485,-0.098581,-0.047064,-0.21746,-0.017802,0.10398,0.057863,0.1095,-0.14115,0.079252,-0.046671,0.20774,0.010288,-0.1384,0.072238,-0.017045,0.089508,-0.25346,-0.055623,-0.21765,0.040498,-0.14587,-0.046229,0.043417,-0.1903,-0.11393,-0.066348,-0.10035,0.05914,-0.0083603,0.21052,-0.10738,-0.10885,0.17352,-0.003281,-0.098667,0.34482,-0.062675
