,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
0,1,0.72307,0.84004,0.87037,0.81162,0.81925,0.84676,0.82583,0.85919,0.79747,0.84511,0.85618,0.82489,0.7597,0.83399,0.8231,0.79885,0.84063,0.87388,0.86814,0.77663,0.86498,0.87338,0.77688,0.81352,0.8495,0.79385,0.8572,0.74747,0.80993,0.72992,0.79294,0.69309,0.85746,0.82769,0.83955,0.70674,0.78811,0.72484,0.77871,0.79924,0.78986,0.70185,0.71471,0.69814,0.76994,0.63294,0.70593,0.69715,0.70345,0.75091,0.65651,0.49235,0.65463,0.3972,0.57126,0.56103,0.40399,0.11903,0.2725,0.56817,0.60887,0.57066,0.4414,0.42861,0.41026,0.36925,0.26502,0.41297,0.39004,0.28588,0.12229,0.2204,0.11797,0.16512,0.3154,0.31437,0.36919,0.33649,0.22925,0.085138,0.086462,0.21979,0.33096,0.18281,0.15172,0.34314,0.29509,0.22211,0.3343,0.11205,0.022959,-0.018379,0.02494,0.22988,0.19656,0.20914,0.096169,0.006696,0.43156,-0.021978,0.070431,0.11099,0.047936,0.0088154,0.050092,0.16558,0.082096,0.13648,-0.054099,0.1954,-0.027647,0.12685,-0.1546,0.10257,0.050944,0.044185,-0.011115,0.068738,-0.029346,0.24989,0.079144,-0.0561,0.29776,0.14044,-0.17319,-0.12034,-0.059855,0.19348,-0.079624,-0.11193,-0.30316,-0.063476,-0.17815,-0.089012,-0.16369,0.079221,0.20596,0.014935,0.1042,0.15837,-0.024355,0.051599,0.098798,0.24918,-0.13217,0.11054,-0.18282,-0.044234,0.029916,0.065626,-0.21784,-0.1974,-0.20858,-0.27645,0.12129,0.035249,0.06994,-0.083665,0.028381,-0.17217,-0.036816,0.062326,-0.025614,0.12609,-0.10392,0.2406,0.099224,0.25616,-0.042707,-0.11124,0.014668,-0.22204,-0.15605,-0.25985,0.25363,0.10339,0.081516,0.066632
1,0.72307,1,0.79494,0.74541,0.71925,0.71712,0.80378,0.76309,0.81886,0.74916,0.79992,0.75706,0.73127,0.73701,0.79821,0.758,0.69839,0.73915,0.76155,0.82086,0.67813,0.76653,0.80926,0.78391,0.84344,0.78206,0.77185,0.73312,0.77715,0.7592,0.78462,0.7854,0.7175,0.74731,0.73332,0.76721,0.62433,0.80953,0.77466,0.73159,0.70392,0.76981,0.67095,0.72837,0.59545,0.77491,0.49354,0.68383,0.66193,0.54087,0.71484,0.61062,0.55813,0.69559,0.49692,0.47881,0.55752,0.3844,0.18761,0.32207,0.50701,0.46819,0.47205,0.41125,0.34312,0.23323,0.35248,0.34653,0.42412,0.29657,0.33743,0.27657,0.031762,0.21603,-0.03429,0.20926,0.17266,0.4996,0.27698,0.3068,0.15439,0.1657,0.22183,0.31623,0.18007,-0.031788,0.35954,0.21815,0.305,0.08526,0.17417,0.13151,0.19463,0.085422,0.15266,0.36435,0.035711,-0.038376,0.012401,0.42857,0.14813,-0.039026,0.26786,0.17716,-0.020876,0.051691,0.096786,0.067367,0.30188,-0.0089177,0.13884,0.012183,0.11783,-0.16936,0.0029437,-0.045256,-0.14802,-0.049978,0.0031497,0.13316,0.09917,0.24402,0.15006,0.46787,0.057041,0.043031,-0.25492,-0.25697,0.055491,0.085449,0.072116,-0.25786,-0.11625,-0.19079,-0.12621,-0.014905,0.0067187,0.0056961,0.3339,0.11176,0.076484,0.15122,0.14411,0.085066,0.43971,-0.0071574,0.11438,-0.098084,-0.097376,-0.17565,0.1372,-0.057101,-0.073378,-0.23548,-0.36763,0.1299,0.054036,-0.02245,-0.014807,0.072431,-0.29128,-0.026977,0.01879,-0.10349,0.14748,-0.11683,0.1575,0.031404,0.067186,0.26051,-0.26001,0.15997,-0.28649,-0.24415,-0.23444,0.26927,0.034046,0.052153,0.23735
2,0.84004,0.79494,1,0.84349,0.84542,0.84906,0.88821,0.86883,0.86255,0.84327,0.89183,0.82527,0.82499,0.83092,0.8673,0.86068,0.83589,0.88047,0.86806,0.84432,0.81788,0.8551,0.874,0.81795,0.90264,0.84281,0.81569,0.83326,0.80029,0.82577,0.80103,0.76481,0.75603,0.83437,0.85247,0.84644,0.66485,0.81336,0.81976,0.8178,0.79214,0.81296,0.71876,0.74242,0.71693,0.78829,0.64723,0.69491,0.6517,0.75655,0.73568,0.66513,0.56343,0.72765,0.61263,0.54288,0.55746,0.53747,0.35885,0.28506,0.58263,0.55826,0.5384,0.50466,0.397,0.35091,0.47352,0.26153,0.35082,0.40657,0.24853,0.32853,0.12104,0.16458,0.14024,0.28381,0.12718,0.37796,0.45151,0.34255,0.032017,0.23325,0.32009,0.38425,0.31305,0.05882,0.4395,0.13458,0.25831,0.29569,0.083078,0.15757,0.16203,0.21629,0.13295,0.37412,0.06938,0.054073,0.053519,0.47201,0.026152,0.017844,0.20023,0.14592,-0.049485,0.049696,0.2782,0.054504,0.25763,-0.15161,0.2224,0.10394,0.14023,-0.16862,0.025485,-0.087797,-0.047983,-0.064724,0.19193,0.19329,0.17309,0.1284,-0.04055,0.28539,0.050549,0.024518,-0.18997,-0.24469,0.1524,-0.031391,-0.018484,-0.26351,-0.037243,-0.089352,-0.092761,-0.1564,-0.047229,0.039677,0.20482,0.11241,0.13451,0.054599,0.010813,0.062876,0.28774,-0.12925,0.060187,-0.16986,-0.14255,-0.051502,0.15292,-0.21435,-0.05444,-0.22692,-0.20229,0.079056,0.053358,-0.10635,-0.11089,0.035642,-0.33636,0.1319,0.063084,-0.01435,0.063718,-0.06961,0.25413,0.065625,0.18485,0.028812,-0.23364,0.059134,-0.25938,-0.25828,-0.19306,0.36756,0.1083,0.1397,0.048721
3,0.87037,0.74541,0.84349,1,0.75401,0.81713,0.86533,0.84279,0.82642,0.73142,0.82965,0.8372,0.7688,0.80424,0.87619,0.78638,0.79514,0.85093,0.838,0.86064,0.76879,0.86475,0.79211,0.77568,0.84743,0.81971,0.74783,0.74701,0.73277,0.8042,0.80731,0.73355,0.70695,0.8668,0.76109,0.85987,0.69434,0.73383,0.68521,0.76083,0.7322,0.7282,0.72169,0.80044,0.68983,0.70712,0.61413,0.74287,0.63068,0.58999,0.69922,0.55572,0.67161,0.65203,0.54885,0.56352,0.49344,0.38222,0.20856,0.26298,0.57398,0.54888,0.58666,0.56803,0.42664,0.31551,0.43271,0.19976,0.46067,0.37591,0.27852,0.22946,0.28192,-0.034813,0.25182,0.20709,0.17276,0.46065,0.28969,0.28135,0.04469,0.13977,0.23036,0.34663,0.08454,0.2313,0.38169,0.20823,0.26713,0.26579,0.096089,0.095052,-0.029443,0.12538,0.19827,0.17573,0.07765,0.038127,0.035801,0.35236,-0.20492,0.14492,0.14368,0.16303,0.05631,0.076077,0.24079,0.1753,0.12177,-0.16162,0.28761,0.13255,-0.008745,-0.13273,0.033819,-0.11019,-0.03981,-0.015579,0.0346,-0.046676,0.073977,0.1873,0.13924,0.24244,0.084871,-0.0060317,-0.20508,-0.15592,0.11958,0.017427,-0.035555,-0.24675,-0.079856,-0.16206,-0.035619,-0.096774,0.023498,0.037381,0.095095,0.10848,0.076812,0.0086378,-0.061658,0.072278,0.23877,-0.23395,0.12615,-0.074307,-0.0059342,-0.11466,-0.008224,-0.15213,-0.2108,-0.20847,-0.20025,0.15893,-0.0024763,-0.015671,-0.20141,0.11363,-0.23983,0.05164,0.058844,-0.11838,0.016676,-0.024598,0.28068,0.033448,0.22868,-0.04833,-0.20448,-0.044183,-0.18141,-0.090668,-0.27567,0.24977,0.1694,0.16665,0.075936
4,0.81162,0.71925,0.84542,0.75401,1,0.84851,0.82038,0.80067,0.80461,0.83046,0.82541,0.79878,0.81414,0.78579,0.74579,0.79468,0.70649,0.79115,0.85162,0.81919,0.78293,0.79507,0.89556,0.83864,0.83365,0.82182,0.75038,0.81785,0.72062,0.83975,0.74362,0.77629,0.68319,0.76078,0.75359,0.80244,0.68269,0.7925,0.84295,0.74432,0.80623,0.7295,0.7818,0.67571,0.65427,0.69268,0.64504,0.65117,0.61753,0.67789,0.69549,0.70722,0.4902,0.72231,0.50357,0.61158,0.46244,0.50458,0.30304,0.26865,0.65846,0.59513,0.55639,0.49649,0.36292,0.27055,0.33014,0.34184,0.30302,0.43239,0.26135,0.22452,0.14425,0.132,0.0015254,0.33557,0.15473,0.4269,0.34999,0.17795,0.10353,0.21309,0.26705,0.39845,0.37415,-0.043944,0.45639,0.17488,0.15853,0.25185,0.024259,0.086111,0.13151,0.13541,0.10877,0.095584,0.027489,0.13059,0.04317,0.50481,0.025743,-0.068357,0.22046,0.13867,-0.04095,0.0295,0.24255,0.11925,0.13382,0.0014282,0.28464,0.020914,0.10999,-0.13165,-0.0048787,0.042757,-0.024039,-0.11263,0.11893,0.22508,0.2131,0.17358,-0.048261,0.32203,-0.017618,-0.055441,-0.099959,-0.032811,0.19153,-0.012759,-0.10353,-0.36113,-0.14907,-0.081441,-0.042753,-0.24595,0.10713,0.031467,0.10385,0.013283,0.12744,0.025051,0.1339,0.15282,0.35869,-0.1237,0.083082,-0.22423,-0.14067,-0.039949,0.26033,-0.29687,-0.018221,-0.24036,-0.15512,0.17103,0.048489,-0.041965,-0.10026,0.14771,-0.43654,0.1083,0.12419,-0.055656,0.10704,-0.18836,0.16577,0.15429,0.10656,-0.086758,-0.060763,0.043302,-0.2796,-0.14628,-0.03122,0.29678,0.089584,0.015215,-0.068992
5,0.81925,0.71712,0.84906,0.81713,0.84851,1,0.76417,0.8221,0.82037,0.80447,0.86103,0.82238,0.81076,0.78523,0.72701,0.74406,0.7421,0.84802,0.8012,0.84641,0.75338,0.79023,0.85688,0.77657,0.84682,0.77723,0.76827,0.84315,0.73713,0.79333,0.75542,0.81937,0.69233,0.81093,0.77859,0.86753,0.64086,0.78311,0.81775,0.7909,0.7919,0.68146,0.77271,0.74412,0.70533,0.68066,0.70381,0.67793,0.57029,0.68518,0.70323,0.70522,0.54788,0.61834,0.49783,0.53014,0.46393,0.3864,0.22915,0.3339,0.52683,0.69649,0.53018,0.49692,0.45764,0.39619,0.42826,0.34378,0.25913,0.37425,0.17315,0.33557,0.068482,0.14943,0.13147,0.29852,0.15064,0.4995,0.45296,0.30995,0.11795,0.17739,0.22214,0.38678,0.36027,0.084653,0.38333,0.137,0.1332,0.19071,0.15316,-0.081461,0.12071,0.011052,0.073583,0.24271,0.037561,-0.13878,0.10979,0.41588,-0.12231,0.073476,0.23666,0.0079216,-0.044373,0.17322,0.30155,0.14925,0.091127,-0.11769,0.36698,0.099142,0.098771,-0.20575,0.090448,-0.0031853,0.059705,-0.11359,0.085889,0.20423,0.12157,0.12774,-0.06969,0.2614,-0.046672,-0.068759,-0.21968,-0.071265,0.14435,-0.050534,-0.15172,-0.18185,-0.1227,-0.18852,-0.043573,-0.1296,0.076157,0.046757,0.16924,0.099599,0.22409,0.0083712,0.1019,0.073085,0.43639,-0.28091,0.15365,-0.10192,-0.046244,-0.056803,0.086007,-0.22917,-0.038738,-0.21922,-0.17046,0.098401,0.033695,-0.092465,-0.099416,0.095725,-0.29377,0.057852,-0.023641,-0.031872,0.074394,-0.00086412,0.21715,-0.1153,0.10606,0.076784,-0.13437,0.038066,-0.29937,-0.073278,-0.20636,0.37461,0.085369,0.15735,0.12953
6,0.84676,0.80378,0.88821,0.86533,0.82038,0.76417,1,0.82192,0.84884,0.76004,0.81872,0.87064,0.80088,0.75988,0.86537,0.87689,0.82388,0.83948,0.89438,0.88939,0.81472,0.83982,0.85818,0.86471,0.88675,0.88159,0.80398,0.80913,0.81012,0.82942,0.84947,0.7975,0.75172,0.82046,0.78749,0.818,0.77274,0.76243,0.79491,0.8026,0.77164,0.80909,0.74149,0.78229,0.64538,0.78378,0.67225,0.71796,0.75922,0.6592,0.75431,0.70084,0.60888,0.75306,0.55628,0.64493,0.56145,0.50626,0.32006,0.24218,0.70093,0.54945,0.58392,0.52286,0.38003,0.3104,0.46084,0.30284,0.473,0.31591,0.32576,0.17863,0.2753,0.16321,0.19669,0.28584,0.25898,0.32932,0.31251,0.16191,0.11083,0.29986,0.20155,0.35554,0.22166,0.15029,0.43688,0.24793,0.34421,0.24615,0.088927,0.16012,0.20398,0.095524,0.19546,0.27598,0.093991,0.057103,0.015094,0.40807,0.025187,0.061304,0.23622,0.22908,0.081083,-0.0040577,0.28897,0.15985,0.20037,-0.080245,0.15213,-0.026892,0.16374,-0.12577,0.034496,-0.098735,-0.0019637,-0.0676,0.099157,0.082184,0.12363,0.18433,0.1276,0.29399,0.056181,0.091074,-0.21054,-0.23873,0.19707,0.082249,0.011749,-0.32641,0.020268,-0.18239,-0.10178,-0.13298,0.065873,0.1327,0.15236,0.11802,-0.017918,-0.005691,0.034066,0.045898,0.33417,-0.13438,-0.022692,-0.25666,-0.085915,-0.11041,0.1934,-0.28405,-0.11259,-0.1958,-0.38989,0.11461,0.087996,-0.00048633,-0.18087,0.11129,-0.28925,0.13385,0.19402,-0.14719,0.081345,-0.15378,0.19644,0.063713,0.24675,-0.025811,-0.18192,0.074011,-0.27756,-0.20598,-0.28245,0.34945,0.11517,0.03042,-0.030775
7,0.82583,0.76309,0.86883,0.84279,0.80067,0.8221,0.82192,1,0.86225,0.74713,0.83156,0.82588,0.81871,0.78078,0.79937,0.74431,0.73539,0.82385,0.78651,0.84417,0.72064,0.80756,0.87383,0.79852,0.82574,0.83142,0.76048,0.74685,0.74066,0.84129,0.7743,0.78083,0.75187,0.80831,0.80781,0.83928,0.68751,0.83994,0.76057,0.79577,0.78333,0.70035,0.72794,0.72323,0.77641,0.75717,0.70913,0.68914,0.73435,0.64143,0.76751,0.59239,0.5254,0.60402,0.40206,0.54907,0.46242,0.36764,0.24468,0.32608,0.50994,0.65792,0.55957,0.52122,0.48419,0.31786,0.35846,0.27417,0.30783,0.45506,0.19362,0.27154,0.22459,0.06487,0.12033,0.32078,0.15449,0.41622,0.35748,0.3966,0.029166,0.12677,0.29095,0.34585,0.27304,0.13213,0.34245,0.30523,0.27802,0.24517,0.11485,0.13129,0.14112,0.19044,0.15409,0.2652,-0.0092449,0.068673,0.20714,0.459,-0.1227,0.092854,0.2409,0.2735,-0.064155,-0.0021543,0.23012,0.21695,0.17009,-0.26433,0.26725,0.13632,0.11614,-0.11555,0.18946,-0.13877,0.056688,0.0013435,0.13873,0.11797,0.054196,0.055701,-0.089708,0.18272,0.0085733,0.022575,-0.11535,-0.16203,0.093347,-0.10413,-0.039622,-0.20304,-0.12702,-0.16067,-0.1569,-0.20322,-0.082833,-0.0024419,0.15567,0.10625,0.043867,0.058109,-0.028158,0.13699,0.33867,-0.19461,0.17087,-0.17258,-0.042351,-0.085025,0.057952,-0.19434,0.011292,-0.19699,-0.29192,0.012085,0.029803,-0.087908,-0.19226,0.11193,-0.33541,0.048214,0.12561,-0.029649,0.050348,-0.067954,0.27356,0.004494,0.15566,0.12455,-0.055907,-0.05709,-0.31323,-0.29307,-0.23448,0.34433,0.14311,0.10926,0.069945
8,0.85919,0.81886,0.86255,0.82642,0.80461,0.82037,0.84884,0.86225,1,0.82892,0.87745,0.84894,0.81487,0.77975,0.83183,0.82866,0.81325,0.84612,0.853,0.89158,0.74396,0.83943,0.87667,0.80372,0.85726,0.86245,0.85282,0.85235,0.79698,0.84207,0.81057,0.80071,0.80831,0.8529,0.80472,0.87236,0.6759,0.83059,0.82283,0.77603,0.76202,0.77615,0.75913,0.68973,0.75147,0.76078,0.70981,0.71143,0.68742,0.64607,0.76133,0.68664,0.49925,0.59889,0.4702,0.58642,0.56296,0.3531,0.24433,0.27914,0.55938,0.57883,0.53746,0.46301,0.41772,0.37618,0.40878,0.33237,0.41193,0.34343,0.25785,0.34732,0.13728,0.19023,-0.0010418,0.38951,0.26434,0.34465,0.43094,0.2866,0.098972,0.17981,0.22231,0.36271,0.20084,0.084067,0.39502,0.30811,0.26547,0.33235,0.03281,0.075293,0.038242,0.16848,0.10989,0.26002,0.01486,-0.082084,0.13743,0.48542,0.026415,0.084363,0.20895,0.25871,-0.13594,0.073421,0.25488,0.13434,0.23849,-0.095537,0.27391,0.077082,0.076632,-0.16427,0.20969,0.022329,0.0045399,-0.048277,0.14157,0.11615,0.10751,0.18857,-0.072437,0.26661,0.07523,-0.090479,-0.20093,-0.10515,0.12446,0.021635,0.010445,-0.2384,-0.10377,-0.15559,-0.1961,-0.073693,0.013339,0.035954,0.19694,0.12392,0.16037,-0.022693,0.042112,0.14762,0.38126,-0.17031,0.098931,-0.15546,-0.15948,-0.13217,-0.012091,-0.14688,-0.126,-0.21383,-0.28739,0.14052,-0.041217,-0.11311,-0.2538,0.11118,-0.28958,0.046867,0.021913,-0.044524,0.038616,-0.18339,0.15024,-0.061826,0.11068,0.16754,-0.17344,0.041287,-0.26486,-0.20687,-0.26656,0.33064,0.038101,0.023867,0.12654
9,0.79747,0.74916,0.84327,0.73142,0.83046,0.80447,0.76004,0.74713,0.82892,1,0.82632,0.73618,0.74424,0.75353,0.76839,0.75794,0.72016,0.77179,0.80006,0.81482,0.70979,0.79153,0.83553,0.72518,0.80494,0.72112,0.73171,0.84455,0.72587,0.73603,0.6901,0.76928,0.7256,0.83566,0.70973,0.83181,0.55498,0.7714,0.80932,0.70014,0.7741,0.81291,0.79115,0.69291,0.6548,0.71154,0.61186,0.69764,0.56363,0.73318,0.6668,0.70996,0.60827,0.68748,0.55707,0.57093,0.49539,0.52,0.30717,0.33457,0.54937,0.52506,0.43301,0.36102,0.39295,0.28914,0.36063,0.3634,0.41556,0.38321,0.37979,0.22381,0.10297,0.18198,0.18614,0.33555,0.14229,0.38432,0.48011,0.31388,0.16969,0.17076,0.38248,0.43426,0.26121,0.058635,0.4602,0.14295,0.15194,0.25236,0.13862,0.071606,0.12866,0.14806,0.037339,0.36436,0.08425,0.047654,0.057581,0.47062,0.072122,0.0021839,0.21245,0.020465,-0.079989,0.04305,0.13629,0.11353,0.22995,0.0051152,0.24704,0.15063,0.18619,-0.23856,0.03684,0.079119,0.041907,-0.13458,0.11983,0.07911,0.28858,0.19951,-0.041439,0.3514,0.12576,-0.12558,-0.2055,0.0038516,0.11475,0.022619,0.053153,-0.39907,-0.068072,-0.18621,-0.099972,-0.20759,0.10315,0.10984,0.17371,0.055658,0.23314,-0.097067,0.14518,0.11896,0.33792,-0.15496,0.099759,-0.04805,-0.15028,-0.05706,0.071998,-0.15348,-0.091467,-0.17184,-0.26709,0.14649,-0.013078,-0.053018,0.057784,0.033232,-0.23962,0.029421,0.0032766,-0.12948,0.08075,-0.082978,0.046424,-0.035761,0.13088,-0.019723,-0.18571,-0.1494,-0.33112,-0.16779,-0.20036,0.27557,0.12819,0.07883,0.07663
