,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,1,0.85164,0.81227,0.81076,0.78998,0.84654,0.80847,0.69372,0.80185,0.73125,0.66351,0.38904,0.70046,0.60069,0.54294,0.37087,0.25972,0.42082,0.3912,0.53336,0.081041,-0.032133,-0.059802,0.16205,-0.086505,0.083736,-0.11289,-0.017047,-0.43436,-0.041329,-0.20293,-0.30899,-0.11671,-0.26022,-0.20508,-0.3146,-0.29483,-0.30586,-0.42089,-0.30668,-0.22421,-0.14129,-0.31736,-0.31372,-0.18677,-0.55869,-0.24912,-0.40064,-0.1783,-0.3948,-0.25923,-0.07204,-0.41231,-0.16611,-0.26646,-0.11689,-0.18078,-0.30835,0.0016521,-0.23417,0.1482,-0.13436,-0.094708,-0.19373,0.0017443,0.32281,-0.35972,0.018397,0.26806,-0.31046,0.22085,0.0054841,-0.096262,-0.24199,0.096442,0.033151,-0.12948,0.18572,-0.07559,-0.3643,0.16145,-0.29206,0.36922,0.06912,-0.25467,-0.074792,-0.17212,0.052062,0.0063502,0.047881,0.11598,-0.22091,-0.017606,0.077948,0.23671,0.035208,0.22094,-0.026569,-0.093176
1,0.85164,1,0.73862,0.79506,0.82141,0.72736,0.70872,0.66506,0.71381,0.70348,0.66912,0.34411,0.63792,0.53378,0.44905,0.34133,0.15254,0.40445,0.31345,0.52154,0.097826,-0.017641,0.013111,0.1386,0.028138,0.29373,-0.064963,0.035658,-0.42152,0.01062,-0.25673,-0.29488,-0.23418,-0.25826,-0.21237,-0.29844,-0.29635,-0.4358,-0.3691,-0.30699,-0.23704,-0.056558,-0.27073,-0.17608,-0.1911,-0.48428,-0.15035,-0.29171,-0.26084,-0.36646,-0.13665,-0.037645,-0.35634,-0.16802,-0.13716,-0.10207,-0.23342,-0.25609,0.062436,-0.16412,-0.019765,-0.045788,0.063929,-0.093286,0.017182,0.40723,-0.36435,0.18112,0.22779,-0.33296,0.1383,-0.03071,0.013764,-0.23642,0.015363,0.099636,0.0041663,0.18905,-0.016349,-0.3273,0.085381,-0.39422,0.38133,0.045418,-0.20856,0.0014109,-0.15242,0.087429,0.070282,0.059597,0.13116,-0.17072,-0.04523,0.08329,0.19067,0.014354,0.19651,-0.066553,-0.20176
2,0.81227,0.73862,1,0.76488,0.71917,0.76458,0.68669,0.67391,0.67513,0.63331,0.62464,0.42182,0.62066,0.40347,0.4103,0.32895,0.26234,0.53896,0.28218,0.26333,0.099136,0.15059,0.067672,0.032039,0.016348,0.029474,0.00040433,-0.21489,-0.2582,-0.0084129,-0.037803,-0.32326,-0.14939,-0.10805,-0.10922,-0.16102,-0.20476,-0.33472,-0.3505,-0.29297,-0.17222,-0.20433,-0.2744,-0.13324,-0.17967,-0.31197,-0.14425,-0.38826,-0.28882,-0.35694,-0.066608,0.0419,-0.42845,-0.18525,0.0025963,-0.10402,-0.022152,-0.22088,-0.1529,-0.17856,0.15352,-0.15462,-0.10453,-0.08706,0.14114,0.25262,-0.32638,-0.0858,0.20891,-0.3146,0.41679,0.037523,-0.22353,-0.17925,0.03707,0.15889,-0.14639,0.23972,-0.15296,-0.39634,0.10051,-0.27162,0.36451,0.21177,-0.20013,-0.041989,-0.097041,-0.039127,0.1724,0.03524,0.048516,-0.10648,-0.11789,-0.042499,0.22188,-0.15883,0.20564,-0.085498,-0.13699
3,0.81076,0.79506,0.76488,1,0.77155,0.83094,0.69152,0.61226,0.69855,0.62605,0.64858,0.3905,0.64244,0.50802,0.30071,0.37676,0.33088,0.3551,0.36219,0.39863,0.23221,0.036767,0.17975,0.008472,0.1412,0.1935,0.039467,0.014865,-0.21492,-0.016016,-0.25966,-0.25043,-0.23571,-0.15084,-0.27354,-0.24414,-0.16128,-0.40197,-0.27505,-0.30045,-0.24318,0.0027105,-0.29656,-0.29345,-0.093,-0.50627,-0.14682,-0.37776,-0.20478,-0.30123,-0.25428,-0.1002,-0.44895,-0.18298,-0.1404,-0.045333,-0.078459,-0.29543,-0.086955,-0.30485,0.021484,-0.18778,-0.19983,-0.0083646,0.14513,0.21197,-0.43617,-0.048743,0.25876,-0.31035,0.15029,-0.016012,-0.069891,-0.25699,0.033085,0.12818,-0.13032,0.16933,-0.11135,-0.21937,0.030187,-0.42498,0.38043,0.083529,-0.34234,-0.012148,-0.078485,0.14622,0.036759,0.10204,-0.031633,-0.25879,-0.093133,0.077416,0.20065,-0.13761,0.22823,-0.04062,-0.19744
4,0.78998,0.82141,0.71917,0.77155,1,0.73058,0.76566,0.73126,0.65192,0.66704,0.76192,0.32649,0.58089,0.57025,0.38767,0.34844,0.21257,0.52684,0.39197,0.35428,0.137,0.10127,0.098626,0.20511,0.01179,0.25169,0.094418,0.072074,-0.37607,-0.079365,-0.2455,-0.27502,-0.32542,-0.24526,-0.1738,-0.29901,-0.31045,-0.2895,-0.34575,-0.31694,-0.28949,-0.10397,-0.23099,-0.1077,-0.14498,-0.42737,-0.17084,-0.23626,-0.32924,-0.38356,-0.15009,0.012849,-0.30833,-0.1334,-0.080262,-0.027993,-0.26743,-0.1991,0.065549,-0.10656,0.037345,0.03417,0.068743,-0.055953,0.030697,0.21858,-0.30119,0.017331,0.29593,-0.24164,0.15582,-0.027995,0.095501,-0.31605,0.085294,0.20716,-0.039278,0.1982,-0.022961,-0.28688,0.013362,-0.37054,0.32364,-0.056965,-0.22602,0.033536,-0.14099,-0.033476,0.054555,-0.095008,0.072207,-0.28311,0.18897,0.2412,0.22074,-0.042364,-0.055615,-0.01843,-0.21217
5,0.84654,0.72736,0.76458,0.83094,0.73058,1,0.74786,0.61576,0.73651,0.6391,0.68313,0.29021,0.6393,0.5291,0.46063,0.25588,0.41986,0.41812,0.2849,0.35636,0.11797,0.045736,-0.10096,0.050337,0.041191,0.09989,-0.101,-0.019668,-0.38168,0.0023147,-0.26157,-0.23186,-0.21704,-0.34067,-0.23423,-0.32888,-0.17267,-0.36147,-0.39625,-0.3335,-0.11374,-0.017891,-0.34756,-0.12311,-0.23734,-0.43846,-0.16283,-0.36204,-0.20268,-0.3393,-0.36551,-0.027756,-0.36503,-0.31087,-0.21173,-0.033714,-0.14212,-0.20703,0.059815,-0.22287,0.07388,-0.14085,-0.10345,-0.2902,0.080596,0.13732,-0.28636,0.028015,0.37176,-0.30541,0.36738,-0.10483,-0.053397,-0.25807,0.02399,0.1957,-0.049111,0.1503,-0.053366,-0.24087,0.14197,-0.36206,0.32994,0.11264,-0.23488,-0.033461,-0.068248,0.021064,0.027613,0.16802,0.15616,-0.25872,0.082422,0.021253,0.19199,0.0029595,0.22229,-0.05553,-0.15849
6,0.80847,0.70872,0.68669,0.69152,0.76566,0.74786,1,0.5926,0.71513,0.68003,0.62832,0.3192,0.40667,0.5991,0.51613,0.25415,0.22905,0.31084,0.2946,0.40886,0.081287,0.1486,0.026382,0.10504,-0.086833,0.1954,0.055447,-0.0040073,-0.3607,-0.18846,-0.24062,-0.21245,-0.13467,-0.38778,-0.12867,-0.29503,-0.2237,-0.27518,-0.38892,-0.3201,-0.30652,-0.16195,-0.18656,-0.056481,-0.18873,-0.44962,-0.09041,-0.4295,-0.17806,-0.25533,-0.25837,-0.10559,-0.25387,-0.18929,-0.1504,-0.12248,-0.14058,-0.31621,0.079957,-0.055197,0.16862,-0.14605,-0.14783,-0.16944,0.081134,0.087969,-0.18501,-0.00056355,0.25754,-0.40788,0.33482,0.039164,0.063576,-0.2002,0.11454,0.1661,0.040457,-0.015955,-0.082795,-0.33343,0.037234,-0.27357,0.35997,0.034565,-0.20942,-0.015102,-0.1905,0.13777,0.078251,-0.10183,0.046416,-0.13624,0.11523,0.22387,0.19346,-0.081002,0.093064,-0.0082095,-0.25673
7,0.69372,0.66506,0.67391,0.61226,0.73126,0.61576,0.5926,1,0.58045,0.54982,0.61572,0.2166,0.49984,0.44027,0.6535,0.19868,0.37055,0.53741,0.27964,0.41207,0.36978,0.26071,-0.039995,0.15637,-0.038256,0.26074,0.074957,-0.024829,-0.38377,-0.07161,-0.24818,-0.043746,-0.062085,-0.17415,-0.086478,-0.40339,-0.31098,-0.3103,-0.4323,-0.2024,-0.27499,-0.23226,-0.2142,-0.065821,-0.15022,-0.41883,-0.11251,-0.20691,-0.15852,-0.40939,0.099681,0.079799,-0.27476,-0.098704,-0.034149,-0.0063591,-0.24353,-0.1331,0.2004,0.048766,0.077035,0.083936,0.02688,-0.093061,0.1805,0.087871,-0.12064,0.23543,0.24509,-0.24689,0.19933,0.16002,0.1802,-0.2662,0.1341,0.13179,-0.079177,0.069392,0.056788,-0.28122,0.12241,-0.22716,0.35523,-0.10072,-0.15739,0.060246,-0.0044185,-0.20186,0.11516,-0.050439,0.07039,-0.24132,0.1528,0.182,0.090348,0.039272,-0.040857,0.034825,-0.065637
8,0.80185,0.71381,0.67513,0.69855,0.65192,0.73651,0.71513,0.58045,1,0.63244,0.61849,0.30624,0.60179,0.45143,0.36384,0.36181,0.21932,0.44555,0.20291,0.3671,0.0746,0.0082571,0.057262,0.083211,-0.044506,0.061961,-0.12808,-0.16101,-0.30387,-0.0081955,-0.21791,-0.23211,-0.10411,-0.15882,0.047897,-0.1675,-0.31222,-0.26908,-0.36769,-0.30278,-0.31406,-0.0071401,-0.20505,-0.13592,-0.1454,-0.24702,-0.22762,-0.23773,-0.11407,-0.30169,-0.33584,0.035121,-0.22398,-0.090624,-0.16602,0.018506,-0.11123,-0.29789,0.087465,-0.12615,0.12794,-0.18069,-0.094794,-0.1495,0.19399,0.22203,-0.37929,0.19892,0.19801,-0.21281,0.28771,-0.051652,-0.11335,-0.1436,-0.0071593,0.13558,-0.10802,0.19217,-0.14456,-0.12862,-0.034117,-0.31924,0.31902,0.061284,-0.23318,0.060893,-0.062325,0.11036,-0.052646,0.048305,0.19791,-0.25458,-0.069288,-0.011899,0.18273,-0.0061922,0.29421,0.071724,-0.14513
9,0.73125,0.70348,0.63331,0.62605,0.66704,0.6391,0.68003,0.54982,0.63244,1,0.55959,0.25947,0.43967,0.47142,0.52414,0.39452,0.25627,0.29712,0.159,0.3347,0.13606,-0.016669,-0.056555,0.28321,-0.085545,0.1422,-0.19126,-0.070436,-0.4668,-0.038008,-0.20422,-0.069183,-0.17755,-0.19507,-0.18485,-0.26313,-0.11446,-0.20847,-0.2252,-0.34953,-0.23483,0.047549,-0.072388,-0.13744,-0.034073,-0.34863,0.029406,-0.29939,-0.34708,-0.35305,-0.1816,0.085642,-0.11859,-0.010162,-0.16822,0.079897,-0.03978,-0.024111,0.10154,-0.10997,0.050557,-0.043206,0.066022,-0.068693,0.10301,0.132,-0.31856,0.0079097,0.133,-0.22038,0.18635,0.01033,-0.09785,0.0061029,-0.039481,0.05063,-0.023971,0.047664,0.088596,-0.23157,0.16523,-0.26122,0.19305,0.12456,-0.14497,-0.086483,-0.20296,0.08426,0.0065628,0.0015501,0.11519,-0.084163,-0.018302,0.11822,0.16235,-0.042167,0.034936,-0.039137,-0.12607
