,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1,0.10826,-0.18101,0.21405,2.623e-05,0.10556,0.11599,0.033272,0.17753,-0.11912,0.31916,-0.21531,0.142,-0.0867,0.098505,-0.14385,-0.04307,0.15849,-0.1688,0.11829,0.055196,-0.05974,0.10727,0.13312,0.057001,-0.045427,-0.15984,0.048922,0.15056,0.029014,0.10587,0.16485,0.058113,-0.15015,0.081399,0.094865,-0.036861,-0.19977,-0.055039,0.17957,0.14329,0.31944,0.00065859,0.13758,0.0016822,0.24027,0.12205,-0.24621,0.10635,0.16834,0.023988,0.1192,0.28991,0.22517,-0.011735,0.0037551,-0.13577,-0.17858,0.093276,0.046135,0.32249,-0.13446,0.077636,0.1172,-0.13043,0.3418,-0.12302,-0.072892,0.28826,0.11312,-0.066214,0.15684,0.047506,-0.033062,0.19466,-0.073484,0.1658,-0.1103,-0.11403,0.17795
1,0.10826,1,0.074052,0.30684,0.22766,0.1707,0.35767,-0.28505,0.12439,0.0039669,0.19698,-0.017125,0.24821,0.057677,-0.25167,0.1876,-0.10559,-0.21837,0.16411,0.14091,-0.011334,0.28304,0.093517,-0.0186,0.096415,0.038958,0.14632,0.11647,-0.27273,-0.096481,0.098422,-0.13947,-0.094725,0.22459,0.091318,0.037744,0.17903,0.094112,-0.14876,0.22499,0.1999,-0.13052,-0.13367,0.089573,-0.13678,0.052856,0.186,0.026324,0.0098947,-0.019943,0.0074438,0.26794,0.069129,1.4568e-06,0.22735,0.045724,0.064666,-0.065704,0.29432,-0.18424,0.38256,0.12904,-0.055058,-0.039749,0.17387,0.12396,-0.026128,0.01173,0.17468,0.0057741,0.21271,0.24446,-0.023112,0.01802,0.046633,0.025407,-0.12183,-0.026527,0.034294,-0.23423
2,-0.18101,0.074052,1,-0.1937,0.18139,0.28935,0.06791,0.03013,-0.24927,-0.13246,-0.071159,0.088622,-0.1025,0.080641,-0.122,0.13877,-0.213,-0.06656,-0.038802,-0.092886,0.067236,-0.00073008,-0.024997,-0.071453,-0.012437,0.029033,0.17619,-0.022705,0.17858,-0.018699,-0.27081,-0.058944,0.20856,0.14275,0.0082132,-0.0051402,-0.18628,0.29289,-0.017209,-0.16582,0.13937,-0.02859,0.17475,0.045164,0.040967,-0.036871,-0.015288,0.098716,0.13933,0.034943,0.22226,-0.10291,0.028326,-0.11635,0.20484,0.42205,0.3445,0.267,0.22202,-0.051052,0.13724,0.16709,0.043376,-0.040683,0.04138,-0.044177,0.11897,-0.017357,0.078304,0.29827,0.0039876,0.20787,0.1129,-0.034059,0.19096,-0.052509,-0.14524,-0.030775,0.13248,-0.095697
3,0.21405,0.30684,-0.1937,1,-0.012622,0.12223,-0.055871,0.037094,0.078863,-0.1717,0.071345,-0.0030837,0.079013,0.16882,0.10057,0.10016,0.16746,-0.14871,-0.057453,0.11691,-0.19821,0.20839,0.11506,0.2497,0.045556,0.0047387,-0.066783,-0.22839,0.0066373,-0.015794,0.021121,-0.16612,0.081649,0.23114,-0.20425,-0.088045,0.082658,-0.20052,-0.0013482,0.097345,0.14998,0.10721,0.085944,-0.005507,-0.17864,0.0017981,0.27633,0.1662,-0.2239,-0.31796,0.09349,0.44321,0.018759,0.21391,0.0769,0.088766,-0.12884,0.1093,0.0349,0.1188,0.17227,0.027244,-0.21347,0.060929,0.20762,0.31513,-0.34205,0.1151,0.35223,0.10097,0.25566,0.040187,-0.11523,-0.12947,0.039685,0.029608,-0.17046,0.1856,-0.071632,-0.074418
4,2.623e-05,0.22766,0.18139,-0.012622,1,0.36889,0.17388,-0.13186,0.1442,0.016575,0.21344,0.022905,-0.011506,-0.0016568,0.070063,0.21895,0.039181,-0.20797,0.06327,0.18789,0.15189,0.14538,0.16798,0.15901,0.22718,0.50674,0.2738,0.16474,0.087092,-0.12264,-0.16574,0.057776,-0.03886,0.24921,0.089374,0.086727,-0.10149,0.20672,0.1403,0.10736,-0.028433,-0.053498,0.051203,-0.011618,0.21119,-0.24581,0.39777,-0.15218,0.16082,-0.057854,-0.13219,0.085341,0.085122,-0.013889,0.23476,-0.11614,0.24224,-0.21861,0.25917,0.039932,0.066567,-0.079802,0.099726,-0.19786,0.012214,0.29321,-0.18239,-0.044315,-0.20586,0.048964,0.066639,0.29742,0.1213,0.18912,0.13681,0.19385,-0.2332,-0.1719,-0.042907,-0.097982
5,0.10556,0.1707,0.28935,0.12223,0.36889,1,0.088771,0.0029904,0.12948,0.047715,0.057405,0.10026,0.18547,0.1197,-0.050023,0.14503,0.13962,0.00046192,-0.0031968,0.20719,0.16452,0.25234,0.17605,0.33105,0.12933,0.10885,-0.0072528,0.15979,0.16427,-0.12486,0.29373,0.13941,-0.18749,0.36141,-0.10973,0.083936,0.04427,0.23481,-0.14704,0.1659,0.080474,0.061,0.042744,-0.063036,0.067233,-0.14186,0.32799,0.10739,-0.18092,-0.073875,0.060507,0.24933,0.025797,0.063697,0.30009,0.051459,0.085136,-0.19498,0.37829,-0.16204,0.14559,-0.055338,0.16359,-0.11136,0.010536,0.21009,-0.37364,-0.025347,0.14613,-0.10234,-0.027396,0.20427,0.11979,-0.05533,0.10781,0.34814,-0.16201,0.1069,-0.10631,-0.083229
6,0.11599,0.35767,0.06791,-0.055871,0.17388,0.088771,1,-0.11421,-0.049911,0.23387,0.48252,-0.10221,0.02971,0.10241,0.24836,0.054156,-0.055517,0.090616,0.006283,0.033028,0.15885,0.18312,-0.05948,-0.0028437,0.18527,-0.097796,0.11473,0.42811,-0.072334,0.030788,0.055,0.1045,-0.070535,0.1188,0.23995,0.037793,0.10858,-0.043179,0.0025864,0.194,0.17808,-0.1529,-0.074544,0.10252,0.0080356,0.2059,-0.092878,-0.2481,0.10492,0.098535,0.27812,-0.12629,0.04757,-0.054274,0.043924,-0.013577,-0.02739,-0.15807,-0.02181,0.097835,0.20002,0.098668,0.2381,0.0044356,0.068762,-0.0011615,0.15972,-0.029361,-0.11401,0.10624,-0.20233,0.00072023,0.23494,-0.017582,-0.08679,0.086685,0.17651,0.10592,-0.21387,-0.10091
7,0.033272,-0.28505,0.03013,0.037094,-0.13186,0.0029904,-0.11421,1,-0.14071,0.0077302,-0.015065,0.048787,0.13846,0.23156,0.10265,0.14872,0.38426,0.22486,-0.097191,0.066952,-0.044487,-0.044121,0.013448,0.14884,0.040345,-0.052426,0.066117,-0.076717,-0.018998,0.29499,0.050388,0.27117,0.051794,-0.0073743,-0.41384,-0.086674,0.13123,-0.03075,-0.052107,0.20244,-0.11588,-0.05223,0.29679,-0.020243,0.052346,0.036331,0.26437,0.1498,0.13005,-0.19,0.022297,0.048733,0.047808,0.16119,-0.088824,0.041738,-0.18392,-0.051878,-0.16049,-0.092918,0.11158,-0.0069102,0.16179,-0.12326,0.021105,0.076793,0.060033,0.10937,-0.1511,0.021379,-0.083558,-0.073501,-0.35442,-0.14309,-0.067068,-0.32707,0.14745,0.24516,-0.0078082,0.11833
8,0.17753,0.12439,-0.24927,0.078863,0.1442,0.12948,-0.049911,-0.14071,1,0.088895,0.2527,0.11081,0.18685,0.19536,0.15363,0.09157,0.41252,0.21593,-0.020573,0.18094,0.27088,0.27781,0.2758,0.142,0.17438,0.19717,0.11412,0.15841,0.21518,0.39254,0.11139,0.0032129,0.14917,0.25525,0.26577,0.10268,0.35499,0.087452,0.039495,0.1465,0.24734,0.069584,-0.10173,0.20446,-0.026138,-0.002124,0.15724,0.067874,0.040727,-0.11022,-0.049093,0.10039,0.074242,0.14938,0.21022,-0.027933,-0.26574,-0.17675,0.24145,-0.038664,0.16683,-0.26859,-0.38628,-0.054774,-0.28639,0.479,-0.29382,-0.09299,0.096208,-0.1554,0.18586,-0.02034,-0.075207,0.052948,-0.098944,-0.038723,0.091239,0.17827,-0.082631,0.0041586
9,-0.11912,0.0039669,-0.13246,-0.1717,0.016575,0.047715,0.23387,0.0077302,0.088895,1,0.15746,0.27464,0.26445,0.072473,0.23031,0.06594,0.035808,0.12004,0.17778,0.13098,0.39874,0.25336,0.055664,-0.045547,0.18504,0.24122,-0.054284,0.36366,-0.064734,0.17001,0.28237,0.11023,0.18718,0.06684,0.21332,0.35915,0.30893,0.19523,0.021872,0.27052,-0.0021394,0.13835,-0.11563,-0.22814,0.065485,0.026781,-0.12853,0.0068647,-0.086866,0.032119,-0.11748,-0.0088406,0.22981,-0.3613,-0.19981,-0.2752,-0.050494,-0.11418,0.16159,-0.19828,-0.075372,-0.24514,0.11875,0.01127,-0.083754,-0.072981,-0.11612,0.050081,-0.20167,-0.2583,0.016826,-0.025823,-0.16488,-0.067178,-0.28988,0.04165,0.074557,0.1601,-0.13474,-0.10076
