,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
0,1,0.80862,0.81949,0.85741,0.84346,0.82325,0.86237,0.83508,0.87714,0.82649,0.85592,0.80385,0.85028,0.85337,0.84289,0.82938,0.84222,0.8756,0.85225,0.81621,0.75647,0.82395,0.85524,0.77212,0.83414,0.85516,0.7989,0.86963,0.83208,0.78524,0.83948,0.82746,0.77869,0.82583,0.68567,0.79628,0.70826,0.77706,0.81564,0.78305,0.82366,0.73522,0.75402,0.75621,0.84086,0.76078,0.57417,0.73339,0.66401,0.65302,0.61299,0.71919,0.64794,0.52217,0.71818,0.39615,0.58882,0.55432,0.57286,0.42891,0.18211,0.58665,0.44339,0.47947,0.64725,0.49241,0.38174,0.36301,0.20889,0.43371,0.48951,0.066603,0.40085,0.015181,0.27417,0.31057,0.24979,0.36567,0.40965,0.10771,0.20553,0.28306,0.092983,0.14218,0.38903,0.15858,0.15657,0.18128,0.1988,0.46721,0.067869,-0.07084,0.17492,0.032907,0.17648,0.16084,0.30433,0.039366,0.021089,0.13771,-0.075974,0.028724,0.31729,0.13714,0.35082,0.22318,-0.047713,0.13021,0.14421,0.025766,0.066694,-0.021911,-0.084716,-0.18821,-0.020364,0.1772,0.13457,0.048783,0.20869,-0.046982,0.035223,0.009565,-0.095531,0.34121,0.15984,-0.012762,0.084575,-0.063958,-0.30368,0.021051,0.00143,-0.038662,-0.20426,-0.020812,-0.12066,-0.004444,0.017042,0.026327,0.1482,0.09986,0.05459,0.31607,-0.25014,0.16083,0.18351,-0.064468,0.1039,-0.019742,0.0083103,-0.17236,-0.023444,-0.093034,-0.11602,-0.033927,-0.013295,-0.34799,0.15537,-0.23894,-0.18051,-0.031388,-0.053052,0.0011567,0.072177,0.071103,0.17085,-0.15789,0.074971,-0.02023,0.1163,0.33809,-0.086197,-0.041831,0.0061407,-0.39275,-0.44455,0.046616,0.089065,0.28933,0.25219,0.23312
1,0.80862,1,0.71338,0.78273,0.77243,0.81916,0.8711,0.78152,0.85848,0.79733,0.77049,0.83094,0.80057,0.77346,0.78432,0.78839,0.85672,0.82491,0.84515,0.74692,0.77169,0.78651,0.7853,0.79322,0.78493,0.7805,0.75525,0.7518,0.86535,0.73179,0.79109,0.79455,0.79587,0.81507,0.71466,0.73548,0.70552,0.77375,0.6715,0.74422,0.83426,0.79586,0.74934,0.64732,0.67775,0.63866,0.64861,0.65609,0.59889,0.67865,0.54025,0.6966,0.58524,0.51516,0.73425,0.33706,0.47936,0.49035,0.55559,0.31607,0.33915,0.62128,0.49232,0.37819,0.58898,0.41569,0.19402,0.27632,0.045974,0.49182,0.52932,0.15568,0.28489,0.01362,0.16003,0.22159,0.26954,0.26694,0.3302,0.22777,0.30263,0.20898,0.068869,0.083829,0.39957,0.45194,0.11716,0.24957,0.29015,0.40722,0.069281,-0.18041,0.14351,0.04163,0.090199,0.24742,0.27846,0.048956,0.14086,0.27959,-0.018295,0.065606,0.27826,0.21501,0.2316,0.30733,-0.17591,0.10352,0.21491,0.072306,-0.0319,0.21637,-0.13106,-0.14473,0.050216,0.14512,-0.035944,-0.031828,0.19242,0.1055,-0.011396,0.13897,0.055695,0.19484,-0.0068017,0.087097,0.12334,-0.10122,-0.1691,0.12424,-0.018027,-0.27655,-0.18604,-0.11538,-0.11757,-0.079304,0.042152,0.057754,0.13947,0.10982,0.051048,0.34655,-0.30444,0.043177,0.26357,-0.11197,0.12759,-0.081901,0.026075,-0.13272,-0.11392,0.0037702,-0.0059946,-0.050017,0.024209,-0.18917,0.021563,-0.28934,-0.097161,0.18045,-0.18014,-0.067252,-0.075078,0.063283,-0.029777,-0.22302,-0.12346,0.083968,0.11646,0.22839,0.0874,0.018272,0.0045193,-0.21016,-0.35683,0.13324,0.036718,0.076536,0.13276,0.27967
2,0.81949,0.71338,1,0.76543,0.70296,0.80273,0.74828,0.82393,0.77274,0.80734,0.87531,0.78327,0.75309,0.77787,0.76998,0.76046,0.768,0.80249,0.79662,0.79799,0.70159,0.7768,0.76962,0.75757,0.79603,0.78063,0.74775,0.7497,0.7695,0.77183,0.73882,0.76471,0.79518,0.80229,0.70797,0.7067,0.78403,0.76744,0.77632,0.73915,0.7195,0.64207,0.6986,0.73665,0.67747,0.71462,0.5485,0.66342,0.64747,0.62644,0.64733,0.64016,0.51933,0.50799,0.56524,0.44008,0.51597,0.41546,0.50604,0.42509,0.3082,0.59451,0.44713,0.47422,0.66475,0.4816,0.36584,0.20714,0.083906,0.66095,0.36658,0.23414,0.38065,0.059154,0.068678,0.30791,0.21625,0.39467,0.43239,0.12864,0.27456,0.2754,0.21631,0.22497,0.37133,0.18566,0.080678,0.28976,0.36158,0.29057,0.13995,-0.082952,0.23871,-0.05616,0.19568,0.1521,0.14042,-0.033538,0.091205,0.19524,-0.19009,0.12063,0.1539,0.27119,0.387,0.11507,0.069701,0.11533,0.061998,0.2376,0.043561,0.023576,-0.073084,-0.1202,-0.010555,0.14661,0.01522,0.098573,0.13099,-0.060234,0.083691,-0.0093026,0.035677,0.19155,0.16858,-0.12322,0.16979,-0.16192,-0.11089,0.00088389,0.053257,-0.033751,-0.13916,0.028006,-0.13971,-0.14125,-0.096301,0.12423,0.083149,0.15337,0.058728,0.30757,-0.32682,0.15233,0.2607,0.051023,0.14238,0.011148,0.17408,-0.34142,0.0029519,-0.10476,0.0035235,-0.0091897,0.0049704,-0.36756,0.04604,-0.13892,-0.18097,-0.0063627,-0.23922,0.047177,0.038443,-0.020032,0.20019,-0.16592,0.17416,0.038483,0.037067,0.28051,-0.021693,-0.10516,-0.10891,-0.32206,-0.25922,-0.092073,0.025257,0.1477,0.13699,0.34117
3,0.85741,0.78273,0.76543,1,0.79925,0.80465,0.83193,0.78076,0.87657,0.81301,0.85667,0.81856,0.81721,0.8178,0.80968,0.80004,0.79734,0.849,0.81768,0.77784,0.75731,0.80118,0.78366,0.77691,0.82857,0.78844,0.74003,0.72689,0.83656,0.75878,0.78444,0.77739,0.80486,0.86553,0.72787,0.83873,0.67581,0.71026,0.6859,0.74254,0.85354,0.76021,0.64094,0.6755,0.73333,0.64465,0.56098,0.73242,0.76181,0.5762,0.60397,0.64786,0.59851,0.53909,0.65195,0.26766,0.54832,0.46354,0.59937,0.42152,0.18682,0.5132,0.48,0.55978,0.50826,0.492,0.36357,0.23573,0.016195,0.46872,0.36456,0.061135,0.49369,-0.0076747,0.17614,0.23907,0.42473,0.28696,0.39371,0.11343,0.17232,0.28833,0.067538,0.1915,0.2944,0.18573,0.14018,0.33544,0.26474,0.35443,0.094792,-0.050025,0.138,0.055744,0.053355,0.11249,0.26157,0.053334,0.089167,0.12721,-0.17882,-0.01076,0.06186,0.12916,0.29241,0.22623,0.052504,0.075135,0.24593,0.085364,0.0076539,0.073759,-0.10837,-0.31099,0.054424,0.2739,0.093666,-0.017474,0.15219,-0.13948,-0.012653,0.046521,-0.03,0.23186,0.086551,-0.078548,0.014744,-0.093344,-0.36328,0.031103,-0.014335,-0.045776,-0.2049,-0.039473,-0.0621,-0.0383,-0.063987,0.063339,0.091501,0.11394,0.14253,0.3985,-0.37814,0.094313,0.23227,0.035229,0.11088,0.18075,-0.08638,-0.16903,-0.011197,0.019858,-0.070074,-0.059411,-0.094144,-0.097414,0.16403,-0.12359,-0.24397,-0.037435,-0.068053,0.063459,-0.0088085,0.075993,-0.016222,-0.14439,0.098092,0.074226,0.22735,0.29879,-0.15217,-0.1087,-0.0028815,-0.30608,-0.31822,0.018886,0.25465,0.17965,0.12336,0.33339
4,0.84346,0.77243,0.70296,0.79925,1,0.83362,0.85216,0.81611,0.83987,0.79981,0.79769,0.82976,0.8134,0.79022,0.80814,0.77468,0.82356,0.82264,0.83408,0.80272,0.7383,0.85013,0.84024,0.7129,0.82998,0.84099,0.70993,0.83346,0.84964,0.77928,0.777,0.83659,0.78588,0.83578,0.69812,0.83729,0.76967,0.80346,0.80598,0.84115,0.75058,0.70755,0.749,0.75916,0.78057,0.69776,0.64129,0.72056,0.67331,0.65263,0.71397,0.70527,0.53907,0.47362,0.7402,0.44186,0.54199,0.54475,0.65917,0.31787,0.22876,0.62438,0.44916,0.51405,0.57804,0.60106,0.38981,0.34465,0.16522,0.39665,0.46411,0.0333,0.40247,0.068029,0.20659,0.26086,0.31483,0.28629,0.34813,0.077089,0.15937,0.18219,-0.044623,0.33843,0.4303,0.17899,0.32301,0.35406,0.11165,0.38135,0.044136,-0.14732,0.144,0.15589,0.0054912,0.14785,0.19764,0.20663,0.13078,0.21295,-0.071199,0.11629,0.25457,0.081273,0.28122,0.078623,-0.17738,0.26999,0.19166,-0.0043661,0.087863,0.12861,-0.11222,-0.21878,0.022928,0.31649,0.15139,-0.18099,0.10561,0.076117,-0.027333,0.07375,0.071208,0.24036,0.03595,0.12141,0.11158,0.0043556,-0.24573,0.14619,-0.043107,-0.12585,-0.17302,-0.023202,-0.11355,-0.080775,-0.12646,-0.024674,0.14423,0.16912,0.12605,0.25929,-0.20319,0.084118,0.12618,0.087431,0.14529,-0.050615,0.075514,-0.05141,0.045799,0.055866,0.031135,-0.030801,0.0075489,-0.21565,0.02586,-0.30385,-0.13474,0.028696,-0.037491,-0.025777,-0.053538,0.14598,0.080033,-0.014585,-0.04034,0.067013,0.12054,0.096362,-0.09931,-0.12961,-0.083938,-0.37769,-0.31947,0.055491,0.047159,0.21344,0.21061,0.24645
5,0.82325,0.81916,0.80273,0.80465,0.83362,1,0.86783,0.80171,0.86676,0.81066,0.86998,0.858,0.8191,0.78646,0.79441,0.8641,0.80947,0.83897,0.83705,0.84061,0.76103,0.78724,0.81108,0.76368,0.81736,0.82844,0.7336,0.8412,0.86677,0.79333,0.80029,0.78762,0.82403,0.85358,0.86447,0.79361,0.76899,0.84013,0.78825,0.83424,0.81615,0.72986,0.7925,0.71186,0.70038,0.66359,0.64646,0.78641,0.63752,0.62718,0.70865,0.71358,0.59032,0.61354,0.73895,0.44195,0.49693,0.55581,0.61606,0.43673,0.40497,0.55706,0.53684,0.42727,0.61746,0.55372,0.39969,0.23182,-0.024811,0.58086,0.36708,0.23198,0.34868,0.04942,0.13431,0.30216,0.34444,0.26467,0.31821,0.20971,0.30815,0.3197,-0.014819,0.18134,0.29251,0.25606,0.28926,0.30013,0.23986,0.26404,0.14516,-0.026163,0.13142,-0.017396,0.18208,0.11481,0.20412,0.022673,0.1022,0.27319,-0.056844,0.15104,0.30383,0.11711,0.36022,0.16565,-0.15728,0.2173,0.1283,0.12439,0.096807,0.10104,-0.082348,-0.20654,0.12722,0.26447,0.11536,0.0079173,0.052523,0.097218,0.098759,0.14914,0.13266,0.22924,0.042414,0.10842,0.081467,-0.10347,-0.043357,0.14909,-0.034106,-0.090875,-0.1306,-0.1212,-0.095392,-0.046148,-0.13044,0.026441,0.14514,0.19557,0.025998,0.35078,-0.41099,0.19334,0.27282,0.076588,0.31457,-0.11297,0.21163,-0.25882,0.06496,0.0035619,-0.01822,-0.086439,-0.076249,-0.19709,0.16217,-0.28185,-0.24757,0.052037,-0.16582,0.11284,0.10886,0.00047333,0.097618,-0.14886,0.015957,0.0036008,0.10687,0.10687,0.041694,-0.11043,0.079197,-0.47773,-0.39244,0.0052565,0.11269,0.12508,0.0076512,0.23242
6,0.86237,0.8711,0.74828,0.83193,0.85216,0.86783,1,0.85105,0.88416,0.83194,0.8566,0.86863,0.85419,0.84556,0.84542,0.86707,0.86887,0.83293,0.86662,0.81523,0.79159,0.84054,0.8452,0.78347,0.86072,0.83046,0.81952,0.82135,0.87351,0.83164,0.85275,0.83025,0.82234,0.84663,0.77935,0.83215,0.76471,0.81363,0.70973,0.77923,0.87011,0.82764,0.77104,0.69854,0.79685,0.74821,0.66217,0.70783,0.69166,0.69302,0.62184,0.71973,0.65505,0.59923,0.69835,0.35396,0.55837,0.53274,0.62299,0.37379,0.314,0.57954,0.50131,0.48706,0.61765,0.50434,0.31991,0.29563,0.16224,0.48824,0.47993,0.1622,0.51464,0.019407,0.23574,0.32489,0.35999,0.33504,0.45704,0.04765,0.24708,0.20797,0.030961,0.27871,0.48901,0.33979,0.13896,0.2561,0.35135,0.42513,0.072198,-0.10096,0.11033,0.12698,0.18971,0.11046,0.21204,0.074775,0.088897,0.25724,-0.17547,0.11,0.34793,0.31718,0.33136,0.3116,-0.19635,0.12097,0.1252,0.022538,0.023691,0.15343,-0.12927,-0.12013,0.061182,0.26739,0.056128,-0.1233,0.18406,0.039358,0.069624,0.0096456,0.11273,0.18402,-0.0057562,0.11103,0.14281,-0.048121,-0.20308,0.11233,-0.17636,-0.17205,-0.13066,-0.21269,-0.111,-0.038699,-0.040011,-0.0024743,0.071329,0.19867,0.063242,0.30312,-0.38706,0.079622,0.20145,0.034722,0.1528,-0.010152,0.020275,-0.19948,-0.0096749,-0.006309,0.10001,-0.15562,-0.066598,-0.14835,0.11532,-0.24185,-0.15185,-0.039225,-0.037957,-0.023556,-0.046386,-0.015259,-0.01768,-0.19999,-0.022886,0.031415,0.11447,0.15369,0.061498,0.013966,0.037566,-0.23731,-0.39491,0.0082682,0.14495,0.15552,0.15533,0.27631
7,0.83508,0.78152,0.82393,0.78076,0.81611,0.80171,0.85105,1,0.84135,0.83424,0.85344,0.79049,0.87244,0.83522,0.82379,0.78294,0.82187,0.80972,0.85717,0.80984,0.82076,0.82997,0.78174,0.82508,0.82422,0.81911,0.80017,0.79096,0.84241,0.84134,0.84866,0.85738,0.81311,0.81381,0.71643,0.81994,0.75219,0.80022,0.76029,0.82092,0.83977,0.79118,0.69912,0.74901,0.79318,0.65171,0.74178,0.72222,0.57634,0.60583,0.60729,0.72052,0.57444,0.38204,0.60763,0.27736,0.53615,0.48473,0.49798,0.3012,0.36239,0.66951,0.53426,0.45252,0.61126,0.51213,0.35321,0.27777,0.12353,0.55144,0.46273,0.14609,0.42634,-0.05291,0.17793,0.25778,0.27889,0.39378,0.40215,-0.060075,0.22004,0.1623,0.14913,0.19974,0.44001,0.23691,0.06528,0.30037,0.1847,0.38093,0.053283,-0.1455,0.19344,0.062202,0.13769,0.22787,0.19205,-0.056753,-0.016043,0.2266,-0.13101,0.089911,0.23269,0.37795,0.21485,0.27072,-0.072201,0.23365,0.14247,0.046914,-0.025571,0.24497,-0.15846,-0.11727,-0.075768,0.24438,-0.0088125,0.029224,0.16473,0.014501,0.094478,-0.072848,-0.0053376,0.18098,-0.007685,-0.097019,0.16422,-0.1451,-0.19416,0.091547,-0.064781,-0.14955,-0.14364,-0.038293,-0.049731,-0.14748,-0.0035471,-0.0098341,0.099861,0.25131,0.038959,0.27709,-0.29392,0.12901,0.10185,0.14067,0.076193,-0.049317,0.069765,-0.2164,-0.0051569,0.07113,0.051488,-0.093424,-0.00022887,-0.19296,0.1663,-0.25395,-0.10763,-0.024176,-0.10134,-0.13608,-0.047445,0.091223,0.11678,-0.083524,0.02965,0.12336,-0.015132,0.24724,0.091534,-0.024076,-0.030298,-0.25488,-0.2999,0.030794,0.015071,0.084529,0.21881,0.25694
8,0.87714,0.85848,0.77274,0.87657,0.83987,0.86676,0.88416,0.84135,1,0.80514,0.86768,0.84632,0.82396,0.88604,0.85467,0.81856,0.86136,0.8583,0.87961,0.81393,0.79424,0.81741,0.81271,0.78363,0.87656,0.82558,0.79924,0.85988,0.87781,0.7965,0.84566,0.83326,0.81854,0.86139,0.7928,0.84056,0.73518,0.8047,0.74096,0.81407,0.88852,0.78989,0.75721,0.71379,0.77048,0.6989,0.60604,0.77176,0.64388,0.67929,0.64685,0.76769,0.60728,0.55179,0.73006,0.4052,0.54385,0.61916,0.58219,0.48081,0.24396,0.57064,0.43935,0.59017,0.57357,0.56554,0.30975,0.31085,0.10671,0.45428,0.41539,0.1267,0.40459,0.035064,0.19899,0.26869,0.3475,0.27237,0.40356,0.15309,0.30609,0.25212,0.036235,0.14318,0.39854,0.16049,0.20215,0.26511,0.21964,0.30435,0.21026,-0.15859,0.055242,0.092854,0.1029,0.1799,0.27077,-0.034161,0.075897,0.17628,-0.13097,0.078481,0.2481,0.21227,0.38928,0.18802,-0.088321,0.19776,0.25736,0.085728,0.021436,0.15231,-0.026176,-0.20524,0.018074,0.24528,0.092255,0.029415,0.15144,-0.036322,0.093311,0.069663,-0.054775,0.23136,0.10876,0.037685,0.1108,-0.076096,-0.23053,0.15074,0.017728,-0.18619,-0.21183,-0.11859,-0.10194,-0.065884,-0.05542,0.034339,0.18741,0.17633,0.1229,0.34197,-0.36201,0.079275,0.27206,-0.02657,0.10455,0.00027468,0.089253,-0.12473,-0.040622,0.036026,0.011609,-0.15394,-0.006038,-0.20517,0.17824,-0.18275,-0.18829,0.0875,-0.1883,0.041453,0.034886,0.063539,0.043644,-0.14092,0.1144,0.028246,0.12798,0.25264,-0.063796,-0.031361,0.027884,-0.38735,-0.39983,-0.050695,0.15776,0.13254,0.19285,0.295
9,0.82649,0.79733,0.80734,0.81301,0.79981,0.81066,0.83194,0.83424,0.80514,1,0.8295,0.81598,0.79249,0.79605,0.82143,0.72445,0.81108,0.85816,0.82288,0.81124,0.7456,0.78547,0.82773,0.80605,0.79194,0.76996,0.70063,0.78564,0.78384,0.79705,0.78649,0.80696,0.83909,0.86588,0.76111,0.8361,0.78827,0.76591,0.71395,0.82724,0.79632,0.76834,0.66767,0.75509,0.78229,0.67746,0.62291,0.73004,0.71468,0.62725,0.65308,0.75944,0.61736,0.469,0.61157,0.34396,0.5035,0.46742,0.56105,0.44104,0.28366,0.65329,0.43781,0.3185,0.56907,0.43721,0.3841,0.27139,0.084617,0.60527,0.35398,0.16456,0.37724,-0.020326,0.14752,0.20453,0.20962,0.39231,0.35848,0.065663,0.31571,0.27006,0.050926,0.23209,0.35655,0.27677,0.27873,0.29507,0.2289,0.4256,0.081172,-0.020959,0.11314,-0.031721,0.14162,0.20756,0.2863,0.047349,0.087993,0.19476,-0.094457,0.12417,0.22725,0.20656,0.3465,0.17164,-0.13164,0.13006,0.14308,0.18689,0.046825,0.076559,-0.012994,-0.15797,0.052696,0.20313,0.11308,0.051896,0.19237,-0.057917,-0.18277,0.059282,0.13535,0.17813,-0.085898,0.022831,0.18073,-0.11914,-0.2371,0.0023964,-0.018181,-0.14264,-0.13031,-0.12926,-0.30943,-0.14619,-0.017145,-0.081951,0.17637,0.1958,-0.0086465,0.36032,-0.25462,0.18231,0.28741,0.059926,0.091949,-0.00080713,0.012211,-0.25016,-0.022763,-0.15047,-0.0090005,-0.021882,-0.0055706,-0.20434,0.059574,-0.19004,-0.1829,-0.022337,-0.064062,-0.084441,-0.15515,0.053224,0.0025253,-0.14866,0.012037,-0.0078886,0.12358,0.28032,0.069529,-0.14439,-0.18223,-0.31983,-0.2336,0.067634,0.061342,0.078371,0.27065,0.28972
