,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,1,0.87343,0.87626,0.88643,0.86729,0.85755,0.82231,0.86957,0.82667,0.81203,0.87436,0.85036,0.80306,0.84932,0.78077,0.8641,0.83488,0.87609,0.80144,0.81624,0.83609,0.75871,0.72603,0.7228,0.83792,0.68126,0.73895,0.73064,0.75975,0.74032,0.68044,0.50076,0.60283,0.60932,0.62616,0.48259,0.51374,0.28606,0.47052,0.51102,0.23153,0.44241,0.45918,0.068689,0.22263,0.2999,0.014938,0.46008,0.16384,0.02713,-0.070894,0.086193,-0.21169,-0.12071,0.070987,0.19504,0.075895,-0.20935,0.19897,-0.059123,-0.15138,0.31022,-0.3361,-0.21249,-0.11192,-0.1639,-0.14512,0.045026,-0.066775,-0.29541,-0.17993,-0.056028,0.065204,-0.13144,-0.13062,-0.097744,-0.32386,0.02633,-0.090641,-0.065013,0.011313,-0.18211,-0.06043,-0.21825,-0.07429,-0.12743,-0.10893,0.14283,-0.15621,-0.22114,0.031481,0.02126,0.22736,-0.10395,-0.084014,-0.15941,0.31656,-0.085353,-0.1663,-0.095022,0.11024,-0.25606,-0.21777,-0.030821,-0.035225,0.17107,-0.083319,-0.0010241,0.064631,0.090902,0.10954,-0.10088,0.25278,0.21038,-0.10439,0.14029,0.024073,-0.013875,-0.056156
1,0.87343,1,0.8577,0.83747,0.86194,0.8739,0.8604,0.82072,0.87278,0.79217,0.85151,0.82872,0.82544,0.86805,0.77441,0.82018,0.82121,0.83594,0.81421,0.77649,0.79531,0.73192,0.73289,0.75651,0.78273,0.70839,0.63763,0.6819,0.69253,0.6683,0.72744,0.46406,0.57323,0.59788,0.56473,0.40751,0.61112,0.3375,0.50751,0.51741,0.32455,0.43592,0.49067,0.08345,0.30163,0.25271,-0.021475,0.53683,0.15039,0.053341,-0.040517,0.1677,-0.22298,0.026502,0.20619,0.06684,-0.073817,-0.20748,0.13636,-0.0080525,-0.054018,0.27827,-0.3307,-0.33429,-0.094045,-0.26453,-0.0089987,0.10778,-0.05259,-0.27339,-0.13764,-0.10007,0.00445,-0.043499,-0.25691,-0.17569,-0.27627,-0.13584,-0.13498,0.0413,-0.0024585,-0.20121,-0.036951,-0.21392,-0.1041,-0.074064,0.04743,0.15235,-0.31611,-0.1789,-0.040523,-0.066414,0.1751,-0.030362,-0.21993,-0.028133,0.23266,-0.027922,-0.063939,-0.042094,0.084911,-0.050212,-0.21012,-0.12256,-0.10487,0.13057,-0.098121,0.021524,-0.021113,0.071935,0.13363,-0.013384,0.32114,0.069409,-0.20726,0.26941,0.11956,0.0037737,-0.20378
2,0.87626,0.8577,1,0.87211,0.87689,0.89304,0.8803,0.86568,0.84499,0.85848,0.85643,0.79239,0.8655,0.84128,0.81914,0.85538,0.84501,0.846,0.77322,0.78899,0.79469,0.81126,0.8147,0.76628,0.78324,0.74326,0.67141,0.75491,0.69828,0.75438,0.71241,0.4373,0.68307,0.66305,0.44114,0.42356,0.53072,0.43104,0.46571,0.61166,0.23196,0.40761,0.42177,0.13944,0.23092,0.23056,0.13259,0.4184,0.20607,-0.033075,0.017356,0.050702,-0.26463,-0.11839,0.16295,0.053011,0.12949,-0.24297,0.11717,-0.11154,-0.20116,0.12692,-0.46471,-0.32938,-0.18951,-0.17396,-0.11394,0.037814,-0.055942,-0.25635,-0.25058,-0.11832,0.018684,-0.13562,-0.076532,-0.13975,-0.33439,-0.10738,-0.027026,-0.059696,0.055298,-0.29839,-0.040001,-0.15614,-0.086601,-0.07559,-0.026013,0.14697,-0.18242,-0.15049,-0.019037,0.021959,0.097592,-0.22157,-0.20201,-0.10513,0.25594,-0.039772,-0.019991,-0.086816,0.14383,-0.20888,-0.18465,0.0086417,-0.060364,0.18575,-0.15836,0.14265,0.0073175,0.19458,0.061453,-0.030928,0.37959,0.12347,-0.18518,0.21343,0.052871,-0.080394,-0.17581
3,0.88643,0.83747,0.87211,1,0.86416,0.85567,0.86186,0.8472,0.88133,0.83076,0.864,0.79528,0.89074,0.8377,0.79991,0.83486,0.82496,0.84528,0.78462,0.79056,0.82227,0.71929,0.74008,0.76701,0.77501,0.73908,0.72775,0.65664,0.77519,0.73853,0.61313,0.38421,0.72973,0.56365,0.57508,0.46397,0.61428,0.36873,0.42975,0.57234,0.21583,0.43739,0.41542,0.17459,0.40008,0.37022,-0.011525,0.57022,0.19379,-0.04771,-0.050145,0.035139,-0.12314,-0.088387,0.1896,0.13043,0.12829,-0.085763,0.20699,-0.17226,-0.20956,0.19481,-0.28063,-0.19631,-0.25443,-0.16378,-0.13868,0.13335,-0.079278,-0.19068,-0.22188,-0.2205,-0.02053,-0.12618,-0.11145,-0.11786,-0.25677,-0.059375,-0.079527,-0.06909,0.034529,-0.15996,0.019771,-0.10979,-0.15951,-0.066589,-0.093377,0.12999,-0.24066,-0.2625,-0.02315,-0.012334,0.16747,-0.09217,-0.07369,-0.24749,0.29351,-0.1227,-0.010032,-0.15006,0.058135,-0.21351,-0.13674,0.10431,-0.073633,0.11516,-0.17651,0.095076,0.046272,0.10298,0.069684,-0.11321,0.31289,0.20221,-0.1634,0.1845,0.13731,0.076591,-0.14893
4,0.86729,0.86194,0.87689,0.86416,1,0.82572,0.83502,0.82945,0.88648,0.8038,0.85558,0.81697,0.82383,0.81633,0.7727,0.8648,0.82463,0.86317,0.81769,0.781,0.81895,0.73105,0.75728,0.76237,0.78199,0.6323,0.58386,0.70574,0.71046,0.72601,0.71149,0.47185,0.65265,0.6488,0.54197,0.52968,0.55525,0.30649,0.50934,0.5747,0.25733,0.43683,0.36548,0.089699,0.36586,0.28886,0.050124,0.44158,0.15784,-0.050481,0.028917,0.11135,-0.18674,-0.086689,0.23025,0.10515,0.022645,-0.15536,0.12347,-0.065295,-0.11271,0.16923,-0.3758,-0.23735,-0.193,-0.11393,-0.18638,0.13127,-0.17468,-0.15975,-0.22652,-0.05108,0.01009,-0.13151,-0.096602,-0.040019,-0.31372,-0.13204,-0.06981,-0.06654,0.040217,-0.20382,0.013051,-0.13105,0.0056656,-0.023082,-0.01798,0.18322,-0.23115,-0.24646,-0.00039799,0.07997,0.099112,-0.1325,-0.12633,0.0051628,0.22769,-0.047618,-0.0057974,-0.024555,0.032122,-0.20103,-0.23731,-0.0011142,-0.17333,0.051629,-0.082072,-0.055545,0.062446,0.088859,0.044692,0.077079,0.32518,0.035514,-0.16502,0.074127,0.066487,-0.013188,-0.31344
5,0.85755,0.8739,0.89304,0.85567,0.82572,1,0.88376,0.86143,0.87801,0.78229,0.84311,0.84507,0.84531,0.85554,0.73604,0.85931,0.8065,0.82944,0.76001,0.81218,0.77182,0.71752,0.80878,0.82986,0.83085,0.71332,0.68883,0.71174,0.74005,0.74358,0.71592,0.47691,0.65077,0.61475,0.48853,0.39882,0.54585,0.43823,0.4915,0.54847,0.24222,0.40727,0.48735,0.096575,0.25918,0.27793,0.050772,0.37624,0.14732,0.042232,-0.13005,0.025456,-0.22908,-0.19804,0.15861,0.11644,0.060212,-0.20799,0.17071,-0.10281,-0.14736,0.21462,-0.28089,-0.23075,-0.16352,-0.1914,-0.051852,-0.003198,-0.080775,-0.26592,-0.21219,-0.18427,0.11913,-0.11605,-0.12791,-0.1541,-0.29658,-0.018105,0.021672,-0.074587,0.00073858,-0.28762,-0.073445,-0.14525,-0.11191,-0.14236,-0.058658,0.14906,-0.26505,-0.1888,-0.1674,-0.013907,0.14808,-0.12145,-0.2362,-0.12443,0.20245,-0.15894,-0.037277,-0.13034,0.17987,-0.21572,-0.1664,0.069397,0.0068895,0.063492,-0.11474,0.22801,0.027713,0.15727,0.1606,-0.0052925,0.32461,0.24688,-0.25454,0.26084,0.14761,-0.0028878,-0.18608
6,0.82231,0.8604,0.8803,0.86186,0.83502,0.88376,1,0.85242,0.88713,0.80432,0.84757,0.76974,0.86696,0.82429,0.83096,0.77811,0.80585,0.79596,0.78797,0.77695,0.76152,0.80501,0.81501,0.8136,0.8094,0.70083,0.73636,0.7316,0.67466,0.72658,0.70418,0.44059,0.67723,0.70903,0.53233,0.42632,0.64615,0.42599,0.5643,0.56494,0.29457,0.41306,0.42693,0.13233,0.38679,0.27461,0.13004,0.44031,0.26787,0.010157,-0.079089,0.11602,-0.21461,-0.076986,0.32083,0.12665,0.040558,-0.25831,0.14372,-0.032002,-0.17479,0.24529,-0.39259,-0.23402,-0.10991,-0.095083,-0.16591,0.14921,0.01843,-0.26551,-0.195,-0.15642,0.064533,-0.14793,-0.20131,-0.061401,-0.15878,-0.11585,-0.074446,-0.10002,-0.0011549,-0.24761,-0.028986,-0.18239,-0.094962,-0.22836,0.038931,0.22804,-0.27093,-0.23777,-0.057669,-0.07255,0.0065355,-0.11117,-0.18883,-0.033602,0.22876,-0.038987,-0.066121,0.014548,0.1184,-0.16164,-0.08598,-0.015383,-0.12455,-0.0056672,-0.22137,0.11268,0.061732,0.25166,0.14329,-0.024752,0.24981,0.10854,-0.1403,0.091048,0.055137,-0.090197,-0.22095
7,0.86957,0.82072,0.86568,0.8472,0.82945,0.86143,0.85242,1,0.82464,0.78532,0.8237,0.80237,0.776,0.80394,0.7701,0.81712,0.78681,0.84323,0.77693,0.7407,0.79043,0.75906,0.79113,0.71951,0.76651,0.70701,0.65345,0.67336,0.74299,0.75941,0.72875,0.31878,0.6671,0.52689,0.56195,0.51363,0.528,0.36212,0.54269,0.52369,0.26655,0.42531,0.52178,0.10897,0.2638,0.24043,0.13804,0.40438,0.30777,-0.070908,-0.068781,0.041563,-0.24453,-0.11647,0.14876,0.19079,0.051913,-0.22247,0.055689,-0.1144,-0.063039,0.24859,-0.43649,-0.24511,-0.10522,-0.18061,-0.15484,-0.0053121,-0.08442,-0.36729,-0.14453,-0.073166,0.08137,-0.17097,-0.096476,-0.034656,-0.30964,-0.036503,-0.11462,-0.068105,-0.087301,-0.23929,-0.057891,-0.23539,-0.15653,-0.2419,-0.05994,0.11498,-0.12397,-0.11144,-0.019332,-0.027467,0.042449,-0.066022,-0.046607,-0.17769,0.19362,-0.023221,-0.057997,-0.20372,0.15245,-0.22578,-0.15043,0.053339,0.058607,0.046873,-0.16971,-0.04053,0.059525,0.1955,0.040077,-0.053238,0.2606,0.053545,-0.070129,0.15826,-0.022414,0.051375,-0.17099
8,0.82667,0.87278,0.84499,0.88133,0.88648,0.87801,0.88713,0.82464,1,0.80903,0.8564,0.80732,0.83955,0.81662,0.79473,0.85937,0.82076,0.86159,0.74844,0.80807,0.74615,0.79044,0.76949,0.80153,0.82158,0.66084,0.6483,0.65262,0.70116,0.74437,0.67271,0.54208,0.59222,0.66113,0.53315,0.39056,0.56403,0.36393,0.55023,0.5155,0.30051,0.37492,0.43998,0.074596,0.34961,0.2479,0.13653,0.43364,0.21431,-0.080804,0.018267,0.021525,-0.086243,-0.089446,0.23118,0.054435,0.065974,-0.19321,0.15195,-0.096918,-0.011909,0.18722,-0.26728,-0.2672,-0.10865,-0.10877,-0.19643,0.22748,0.0083939,-0.20036,-0.30556,-0.11435,0.090797,0.037938,-0.12678,-0.10697,-0.28869,-0.1767,-0.031859,-0.0060684,-0.076235,-0.19104,-0.012364,-0.099757,-0.057826,-0.17011,-0.021454,0.25375,-0.27644,-0.11772,-0.040565,-0.0029108,0.14161,-0.097871,-0.14898,-0.11243,0.26979,-0.12132,-0.10443,-0.083932,0.15194,-0.15223,-0.11309,0.072955,-0.043149,0.028739,-0.12111,0.049494,0.0081491,0.063387,0.20203,0.020613,0.30778,0.1381,-0.1785,0.13823,0.17012,0.094624,-0.22607
9,0.81203,0.79217,0.85848,0.83076,0.8038,0.78229,0.80432,0.78532,0.80903,1,0.79996,0.69046,0.81458,0.8044,0.79341,0.8187,0.7637,0.78681,0.66617,0.72838,0.74467,0.81538,0.78367,0.75012,0.78008,0.66149,0.59169,0.72809,0.60129,0.68553,0.70757,0.47391,0.58776,0.61298,0.50492,0.50363,0.36001,0.26712,0.41312,0.41844,0.28619,0.54657,0.41273,0.11328,0.42767,0.21306,0.0085588,0.48614,0.19373,-0.1381,0.0098022,0.067596,-0.087525,0.037258,0.090192,0.039393,0.048603,-0.21978,0.049882,-0.019639,-0.20139,0.31196,-0.40148,-0.28737,-0.17155,-0.15651,-0.12336,0.17731,-0.088841,-0.17439,-0.24011,-0.03917,-0.077052,-0.077659,-0.11076,-0.16383,-0.2651,-0.18327,-0.093228,-0.052426,-0.017251,-0.26127,-0.10377,-0.12832,0.0069568,-0.071646,-0.057738,0.19187,-0.076609,-0.12299,0.11455,-0.045507,0.12672,-0.24209,-0.25718,-0.14174,0.31457,-0.026098,-0.11255,-0.23513,0.19565,-0.13766,-0.15896,0.099213,-0.13038,0.1657,-0.1707,-0.048421,0.0040939,0.074255,0.18924,-0.0068741,0.28772,0.20789,-0.08213,0.057868,0.13734,-0.0022537,-0.13265
