,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
0,1,0.81855,0.8278,0.80919,0.81611,0.85136,0.82046,0.80139,0.80784,0.79663,0.87735,0.84767,0.7841,0.8471,0.77651,0.82849,0.83944,0.82293,0.7843,0.81295,0.77978,0.85287,0.84421,0.8277,0.79975,0.80629,0.78483,0.79735,0.83888,0.83689,0.83286,0.76471,0.72455,0.80285,0.78567,0.81883,0.73002,0.74774,0.78713,0.77751,0.76922,0.8187,0.72189,0.7248,0.83629,0.67624,0.7408,0.76163,0.74783,0.73775,0.55269,0.66109,0.77305,0.72613,0.31931,0.63925,0.56061,0.37595,0.43423,0.6727,0.36082,0.52877,0.61079,0.52721,0.52968,0.28515,0.54023,0.52626,0.41292,0.334,0.2668,0.34304,0.37718,0.16761,0.18097,0.36749,0.31609,0.36286,0.37032,0.36204,0.18245,0.41537,0.18903,0.29415,0.23636,0.37937,0.18062,0.3542,0.45152,0.073047,0.067694,0.14428,-0.0021204,-0.05825,0.073714,-0.016257,-0.084579,0.33681,0.19724,-0.11411,0.25898,0.21083,0.32313,0.25499,0.034009,0.1273,-0.021434,0.26482,0.31521,0.067144,0.031865,-0.13781,-0.061455,0.0095219,-0.012082,0.16509,0.088915,0.049262,0.0034653,0.18087,-0.41534,0.16485,0.44413,-0.17852,-0.02024,0.17226,-0.098043,0.047055,0.054881,0.034091,0.10946,0.10746,-0.10489,0.015801,-0.208,0.14686,-0.060419,-0.1636,0.026624,-0.028857,-0.36476,-0.06653,-0.041067,0.17364,-0.013229,0.13723,0.24693,0.019352,-0.14163,-0.060244,-0.12132,-0.0043031,-0.11757,-0.015384,-0.13464,0.15899,0.10687,0.074875,-0.14078,0.065696,-0.056748,-0.00064754,0.13566,-0.13776,-0.05606,-0.092157,-0.17394,-0.093448,0.036285,-0.068639,0.2462,-0.10971,-0.090753,-0.17113,0.017333,-0.12278,-0.34657,-0.084825,0.15786,0.0067163,0.062139,
1,0.81855,1,0.84687,0.81692,0.81595,0.88851,0.84316,0.84926,0.88525,0.82226,0.89374,0.86304,0.84168,0.82111,0.84636,0.82218,0.76619,0.82546,0.83236,0.81531,0.86306,0.84589,0.84006,0.84595,0.81191,0.78345,0.82722,0.85139,0.8141,0.79853,0.78218,0.7385,0.80038,0.72714,0.79744,0.76255,0.79422,0.72248,0.83413,0.763,0.79553,0.78066,0.77291,0.73201,0.77476,0.74049,0.79081,0.69971,0.69562,0.79742,0.63263,0.77816,0.67829,0.69887,0.31097,0.68666,0.622,0.45766,0.4243,0.53496,0.43097,0.40739,0.54246,0.43373,0.51939,0.30527,0.4258,0.51061,0.36916,0.27185,0.34471,0.26433,0.33487,0.04419,0.18452,0.2805,0.24602,0.32457,0.38902,0.28376,0.019728,0.31706,0.33661,0.3159,0.045523,0.36008,0.085272,0.349,0.4186,0.15885,0.085906,0.18587,-0.14042,-0.025505,0.067569,-0.18863,-0.078464,0.37453,0.15579,-0.11592,0.12654,0.067227,0.41871,0.34788,0.034168,0.14327,0.088626,0.24157,0.17766,-0.0077627,0.069685,-0.17201,0.0078725,-0.029729,-0.17192,0.079085,-0.020271,0.095995,0.11691,0.1745,-0.2675,0.066934,0.36585,-0.12912,0.001293,0.061322,-0.11618,-0.094673,0.16939,0.022417,-0.14255,0.021935,-0.016275,0.0020866,-0.45487,0.16252,0.072354,0.095553,-0.015185,0.0092909,-0.3804,-0.074007,-0.0064796,0.085991,-0.094018,0.067454,0.1803,0.29636,-0.072207,-0.075837,-0.17509,-0.0098677,-0.19583,-0.014879,-0.17058,0.10328,-0.0093542,-0.12319,-0.12491,0.24684,0.062351,0.04469,0.16137,0.021214,-0.0034782,-0.083099,-0.30714,-0.030379,-0.10036,0.077314,0.22404,0.073211,-0.1394,-0.19882,0.13335,-0.20649,-0.32102,0.056719,0.21442,0.12521,-0.025395,
2,0.8278,0.84687,1,0.82568,0.87326,0.85573,0.79508,0.79899,0.83319,0.79906,0.87499,0.86395,0.87576,0.79323,0.83728,0.86864,0.85623,0.86837,0.81587,0.84141,0.8618,0.82734,0.80999,0.86399,0.76476,0.84322,0.83869,0.87248,0.82369,0.85592,0.77784,0.7706,0.80565,0.73807,0.82432,0.82637,0.78035,0.72138,0.83452,0.79127,0.75935,0.79245,0.76292,0.74271,0.79326,0.74075,0.74301,0.7095,0.68178,0.76496,0.5472,0.71688,0.6766,0.72978,0.4234,0.59289,0.58261,0.46293,0.36068,0.55532,0.48576,0.42852,0.49062,0.53227,0.52904,0.21273,0.41904,0.60043,0.40366,0.17135,0.3219,0.36186,0.42224,0.1097,0.29773,0.23148,0.3884,0.24953,0.31952,0.39878,0.22688,0.20813,0.32189,0.43844,0.073553,0.45132,0.08286,0.32056,0.44758,0.049614,-0.040169,0.14481,-0.03669,0.080605,0.14087,-0.164,-0.090721,0.27575,0.10875,-0.20097,0.09947,0.20885,0.29327,0.3704,0.063488,0.23102,0.19278,0.19139,0.1707,0.086112,-0.027679,-0.18136,-0.049127,-0.078603,-0.11791,0.080615,-0.050865,0.1932,0.030265,0.16558,-0.24662,0.097854,0.44311,-0.14842,0.017459,0.15186,-0.23035,0.063191,0.18355,-0.018445,-0.052022,-0.068526,-0.072026,0.096809,-0.37216,0.1609,-0.099332,-0.027855,0.055055,0.0029391,-0.21932,-0.035926,-0.072498,0.16344,0.040702,0.14696,0.22712,0.097173,-0.059581,-0.013258,-0.12111,-0.11988,-0.10004,0.06921,-0.27349,0.079374,0.087949,-0.034192,-0.10986,0.20019,0.041806,0.034671,0.27488,-0.13547,-0.0085216,-0.085265,-0.15566,0.096874,-0.021831,0.079473,0.19911,-0.050743,-0.025858,-0.12542,0.055536,-0.11908,-0.43554,-0.10303,0.17939,0.20015,0.037171,
3,0.80919,0.81692,0.82568,1,0.75754,0.80115,0.82977,0.75834,0.7526,0.73895,0.82106,0.82108,0.8551,0.81062,0.74741,0.82519,0.7755,0.83997,0.74196,0.73165,0.80476,0.85561,0.77299,0.84286,0.76085,0.76915,0.70422,0.75982,0.79872,0.81058,0.71429,0.73035,0.71225,0.66249,0.83406,0.70104,0.76039,0.63382,0.74945,0.73916,0.81316,0.81953,0.75652,0.72683,0.83928,0.66261,0.80204,0.65945,0.66163,0.6702,0.51812,0.69313,0.81538,0.71422,0.40972,0.58851,0.65321,0.42927,0.4434,0.62933,0.35132,0.49164,0.50907,0.34853,0.52152,0.3688,0.46085,0.49915,0.37087,0.19204,0.39186,0.2875,0.43137,0.076892,0.11801,0.15052,0.2279,0.34927,0.28774,0.34657,0.22918,0.26731,0.29241,0.34259,-0.049604,0.50927,0.095434,0.35698,0.4077,0.18243,-0.040265,0.050944,-0.14125,0.038404,0.15441,-0.030244,-0.08247,0.29133,0.27018,-0.061926,0.21722,0.10375,0.3438,0.28261,-0.004035,0.14849,0.14205,0.29543,0.10112,-0.048257,-0.0036339,-0.010904,-0.034121,-0.0030541,-0.054595,-0.12229,-0.10471,0.13238,0.17166,0.079339,-0.26345,0.1005,0.28022,-0.014635,-0.010072,0.022057,-0.22669,0.13273,0.20943,0.037074,0.062547,0.0037937,0.022486,-0.033131,-0.29552,0.1676,-0.0055518,-0.11607,0.010767,-0.040147,-0.36029,-0.12225,0.023589,0.081992,-0.035975,0.033915,0.16676,0.15296,-0.21365,-0.13449,-0.18537,-0.078813,-0.079774,-0.056283,-0.23093,0.065549,0.2606,0.024234,-0.071302,0.084614,-0.065851,0.0050572,0.15384,0.025157,-0.11521,-0.073557,-0.19473,0.0040653,-0.055375,0.054231,0.20706,-0.02276,-0.10616,-0.10152,-0.066855,-0.17578,-0.22793,-0.084328,0.13701,0.10038,0.070032,
4,0.81611,0.81595,0.87326,0.75754,1,0.83341,0.7152,0.80738,0.80322,0.80812,0.88941,0.86115,0.8548,0.78307,0.79969,0.84157,0.83585,0.87612,0.80777,0.85189,0.79066,0.78605,0.85038,0.83122,0.73116,0.77006,0.80969,0.8614,0.73998,0.84858,0.78337,0.80181,0.8625,0.72631,0.7812,0.78816,0.74287,0.71134,0.80884,0.80332,0.71377,0.77794,0.67646,0.61318,0.7398,0.67172,0.72674,0.75759,0.73451,0.7597,0.52237,0.71517,0.6522,0.73143,0.31548,0.58491,0.51895,0.4039,0.34447,0.53069,0.4368,0.4849,0.57017,0.47573,0.61401,0.25806,0.4244,0.51883,0.35126,0.25691,0.31946,0.24939,0.46686,0.052258,0.27665,0.31574,0.28963,0.24226,0.39602,0.405,0.18619,0.25578,0.27257,0.39269,0.179,0.35778,0.11146,0.37328,0.3979,0.059557,-0.036216,0.085835,-0.01686,0.072637,0.11533,-0.28698,-0.028646,0.28832,0.08397,-0.12203,0.16929,0.092717,0.31209,0.26232,-0.00062782,0.072943,0.054049,0.20053,0.20588,0.090638,0.12551,-0.17504,-0.15589,-0.066593,0.033395,0.17746,-0.010079,0.12276,0.13039,0.16371,-0.26201,0.022402,0.45809,-0.021527,-0.093268,0.053516,-0.21452,0.0012864,0.16607,-0.059078,-0.096762,-0.032687,-0.099503,0.0047684,-0.26368,0.072552,-0.045421,0.038945,0.018198,0.010826,-0.20787,0.010367,0.062042,0.16446,0.032362,0.21539,0.33347,0.068559,-0.087782,0.017442,-0.10747,-0.01365,-0.11955,-0.083511,-0.16711,0.26076,0.11329,-0.073815,-0.090522,0.1826,-0.020239,0.096526,0.26628,-0.038901,0.019506,0.020374,-0.023374,0.089545,0.033949,0.029406,0.30224,0.073827,-0.13313,-0.16987,-0.089907,-0.13989,-0.24377,0.025989,0.14202,0.18274,-0.031588,
5,0.85136,0.88851,0.85573,0.80115,0.83341,1,0.82136,0.87226,0.82612,0.8035,0.90579,0.84102,0.84004,0.79188,0.87718,0.82821,0.83217,0.86543,0.80361,0.8735,0.83445,0.87416,0.85228,0.84636,0.82136,0.85121,0.80842,0.82247,0.86602,0.85991,0.83378,0.76234,0.75026,0.8009,0.81258,0.76822,0.83111,0.76439,0.83618,0.78872,0.77652,0.80428,0.7309,0.72526,0.82769,0.69717,0.72364,0.78606,0.77866,0.81348,0.61291,0.70942,0.68457,0.69862,0.40116,0.64559,0.55873,0.42812,0.44069,0.57603,0.49202,0.49125,0.49379,0.46284,0.58708,0.35259,0.4677,0.52002,0.33032,0.25106,0.29907,0.34947,0.45957,0.048468,0.28377,0.21529,0.21902,0.31913,0.42641,0.35457,0.075993,0.28507,0.22528,0.40271,0.032077,0.41272,0.11994,0.44235,0.52874,0.13409,0.023233,0.23052,-0.099033,-0.018092,0.18497,-0.17692,-0.14114,0.33467,0.25067,-0.13915,0.15774,0.12608,0.32301,0.31124,0.15433,-0.00092655,0.071501,0.19867,0.23179,0.056262,0.039188,-0.085421,-0.085703,-0.12794,-0.13261,0.11657,0.034943,0.027239,0.11095,0.19295,-0.37425,0.1026,0.37747,-0.074098,-0.00037441,0.086705,-0.15976,-0.0072983,0.1658,0.16652,-0.1434,0.085928,-0.096375,-0.0014221,-0.33224,0.02195,-0.056507,0.054637,0.025564,0.0047997,-0.25707,-0.061414,-0.0024202,0.18279,-0.018075,0.12188,0.22903,0.062328,-0.069363,-0.0023325,-0.15212,-0.014156,-0.14934,-0.0071284,-0.2345,0.11071,0.052645,-0.16943,-0.15652,0.27307,-0.018577,0.0447,0.15497,-0.093938,0.043467,0.032256,-0.23214,0.036764,0.093542,0.14559,0.19123,0.092132,-0.15229,-0.18156,-0.012405,-0.13286,-0.34473,-0.11714,0.22459,0.11409,-0.068889,
6,0.82046,0.84316,0.79508,0.82977,0.7152,0.82136,1,0.75356,0.7692,0.76249,0.85485,0.80048,0.81691,0.81071,0.79118,0.78669,0.72857,0.82049,0.83099,0.76471,0.80397,0.8317,0.78327,0.83185,0.85553,0.81385,0.79318,0.75457,0.82581,0.78548,0.78221,0.70219,0.67974,0.74955,0.75872,0.7558,0.79668,0.69275,0.78731,0.74482,0.77474,0.74147,0.66951,0.74211,0.75541,0.69589,0.7509,0.7242,0.66851,0.61661,0.51917,0.70305,0.70066,0.65804,0.39081,0.69146,0.64383,0.45868,0.46438,0.47445,0.26077,0.46295,0.45921,0.41558,0.40607,0.42506,0.3636,0.43034,0.36834,0.29912,0.39624,0.32528,0.4492,0.16726,0.14687,0.26137,0.39359,0.34255,0.24023,0.37843,0.10548,0.33784,0.2611,0.26153,-0.049523,0.29075,0.073207,0.36351,0.36609,0.00099833,-0.028026,0.085329,0.11187,-0.040452,0.13783,-0.092831,-0.10868,0.29639,0.1037,-0.079241,0.1919,0.29303,0.31021,0.32572,-0.098567,0.05475,0.11718,0.16113,0.23907,-0.035262,0.0541,-0.090696,-0.079485,0.0073909,-0.17651,-0.061238,0.071525,0.20515,0.024798,0.13165,-0.33235,0.07362,0.31603,-0.058431,0.12337,0.10843,-0.016657,-0.017569,0.080595,0.028021,0.089907,0.14704,-0.08271,0.10744,-0.38064,-0.014749,0.06733,-0.058286,-0.060932,-0.022398,-0.31718,-0.16799,-0.086537,0.13852,0.047314,0.059686,0.14942,0.23041,0.055782,-0.1049,-0.12224,-0.075268,-0.10972,0.053586,-0.27638,0.019946,0.13095,-0.076823,-0.086326,0.051951,0.034658,-0.080433,0.13119,-0.1238,0.034639,-0.039146,-0.21492,0.010596,-0.035737,0.18925,0.14487,-0.0043265,-0.18999,-0.20243,0.1559,-0.15197,-0.26354,0.043217,0.10742,0.023076,-0.069205,
7,0.80139,0.84926,0.79899,0.75834,0.80738,0.87226,0.75356,1,0.81655,0.80406,0.83442,0.8432,0.79025,0.79695,0.79503,0.78657,0.78711,0.80703,0.72883,0.86427,0.78351,0.81778,0.78035,0.80979,0.76066,0.72211,0.76612,0.7988,0.82747,0.80318,0.78724,0.67667,0.73895,0.75593,0.8022,0.71372,0.80019,0.7563,0.78881,0.75522,0.73765,0.78144,0.69697,0.68656,0.74668,0.67619,0.76759,0.68468,0.78452,0.75306,0.59725,0.69107,0.71527,0.72021,0.24177,0.67565,0.52296,0.42589,0.35424,0.51998,0.40247,0.47993,0.47332,0.4223,0.46376,0.24443,0.48156,0.53502,0.35874,0.28028,0.37809,0.24492,0.44275,0.053561,0.18015,0.35532,0.15442,0.29307,0.29267,0.38453,0.093567,0.31016,0.28879,0.2906,-0.011073,0.3708,0.12123,0.40812,0.48191,0.13618,0.11138,0.23128,-0.162,0.0036174,0.13409,-0.13035,-0.097829,0.44038,0.25168,-0.18018,0.1036,0.097877,0.43829,0.26262,0.12011,0.085507,0.092751,0.10002,0.23872,-0.0073912,0.086193,-0.16179,-0.10792,-0.082672,-0.036255,0.040713,-0.062093,0.13867,0.17194,0.080605,-0.3228,0.18674,0.48319,-0.14363,-0.042869,-0.030811,-0.29202,-0.042946,0.068625,0.14568,-0.24628,0.018659,-0.2119,0.050737,-0.27551,0.057315,-0.013604,-0.011075,-0.055261,0.01829,-0.36919,-0.0020311,-0.061974,0.1153,0.011777,0.12449,0.17032,0.07178,-0.057474,0.086795,-0.096342,-0.047545,-0.0084592,0.025396,-0.0472,0.1926,0.059001,-0.039784,-0.068975,0.19751,0.14225,-0.061014,0.21048,-0.026901,-0.0024737,-0.040664,-0.1265,-0.01459,0.067918,0.088143,0.18609,-0.025682,-0.069937,-0.24418,0.0050558,-0.2626,-0.19355,-0.13669,0.20975,0.086658,0.025119,
8,0.80784,0.88525,0.83319,0.7526,0.80322,0.82612,0.7692,0.81655,1,0.82562,0.83245,0.85076,0.79701,0.77328,0.83461,0.79401,0.79705,0.84486,0.82101,0.83498,0.80266,0.82753,0.8225,0.8275,0.79469,0.72078,0.79765,0.82507,0.83188,0.77329,0.78842,0.74606,0.74377,0.70977,0.72811,0.78145,0.70044,0.71957,0.81133,0.74294,0.76389,0.77038,0.76181,0.68567,0.72819,0.6995,0.6701,0.67698,0.64595,0.76406,0.54392,0.62932,0.69403,0.7128,0.36411,0.68445,0.55692,0.44729,0.38146,0.54738,0.33847,0.47682,0.60999,0.38968,0.38947,0.22083,0.40562,0.53251,0.29402,0.27053,0.29085,0.22828,0.33644,0.035023,0.17328,0.27275,0.32409,0.28398,0.26047,0.23929,0.047976,0.26263,0.22406,0.36188,-0.057196,0.37103,0.12322,0.22164,0.46357,0.15206,-0.045225,0.096376,0.03793,0.1151,0.053328,-0.11081,-0.036857,0.33966,0.20899,-0.13687,0.084758,0.18849,0.52244,0.21759,0.056244,0.21271,0.076804,0.20301,0.15808,0.18544,-0.090715,-0.22366,-0.078681,-0.0057249,-0.15628,0.12887,-0.034746,0.12985,0.06111,0.063975,-0.13651,0.10389,0.47642,-0.1321,0.037991,0.071664,-0.21043,-0.029188,0.1995,0.030167,-0.096464,-0.00021126,-0.1249,0.15229,-0.40015,0.16916,0.014818,0.05678,0.20897,0.039491,-0.34366,-0.060473,0.097075,0.098634,0.17199,0.025374,0.27903,0.21309,-0.10064,-0.12452,-0.13733,-0.032063,-0.064529,-0.093226,-0.12068,0.15915,0.066759,-0.054649,-0.096322,0.25595,0.10691,-0.016956,0.16882,-0.11315,-0.096849,0.009612,-0.24908,-0.10482,-0.042997,-0.032719,0.20591,-0.045272,-0.13266,-0.25739,0.039952,-0.26956,-0.25698,0.064787,0.27947,0.16053,0.0024026,
9,0.79663,0.82226,0.79906,0.73895,0.80812,0.8035,0.76249,0.80406,0.82562,1,0.86919,0.78664,0.77087,0.79369,0.76091,0.74025,0.7642,0.83362,0.77265,0.77273,0.81049,0.84457,0.84395,0.79821,0.80241,0.75227,0.79684,0.80703,0.77318,0.81047,0.74792,0.76304,0.707,0.75089,0.82294,0.74734,0.74692,0.75562,0.77627,0.76405,0.78652,0.76016,0.65138,0.65577,0.68555,0.69777,0.75037,0.69208,0.66161,0.77777,0.54675,0.69665,0.7138,0.7686,0.28615,0.60814,0.68128,0.32705,0.42115,0.61918,0.42269,0.53264,0.57005,0.40057,0.41974,0.30467,0.29227,0.57965,0.3536,0.26474,0.41269,0.15734,0.322,0.066238,0.29329,0.37203,0.31366,0.36896,0.29379,0.29133,0.19074,0.31945,0.37044,0.28383,0.076672,0.31094,0.0042424,0.32806,0.43498,0.10722,0.045642,0.1455,-0.039495,0.14452,0.020685,-0.21168,-0.048164,0.22341,0.13222,-0.12982,0.13549,0.215,0.42187,0.38172,0.056434,0.0020874,0.15508,0.17397,0.26397,0.21793,0.062012,-0.058385,-0.19121,0.10118,-0.099101,0.12305,-0.13054,0.21878,0.13133,0.047912,-0.1361,0.064279,0.49116,-0.13234,-0.029213,0.16645,-0.16952,0.0085948,0.27465,0.0058248,-0.074754,-0.0097459,-0.09821,0.13521,-0.38259,-0.0047756,-0.010986,0.20002,-0.052933,0.15582,-0.39612,-0.13635,0.050773,0.12313,-0.011462,0.17748,0.19165,0.15138,-0.069512,-0.096955,-0.089316,-0.07206,-0.13643,-0.057986,-0.14317,0.025869,0.15366,-0.20373,-0.044958,0.19316,0.14443,-0.024118,0.19728,-0.045353,-0.0036177,-0.070231,-0.23223,0.11339,-0.033871,0.062342,0.21193,0.073645,-0.012801,-0.2452,0.044791,-0.098291,-0.2943,0.11303,0.17178,0.1218,-0.0096044,
