,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,1,0.87272,0.91758,0.85325,0.81797,0.86519,0.873,0.81952,0.86587,0.84977,0.87018,0.87499,0.85192,0.87836,0.84142,0.82193,0.83545,0.87018,0.77683,0.80166,0.72337,0.74867,0.7859,0.78676,0.76701,0.67174,0.75594,0.70863,0.66445,0.69443,0.67715,0.49935,0.35185,0.70513,0.37152,0.56779,0.42725,0.35275,0.46302,0.077757,0.44489,0.25034,0.43485,0.097509,0.28087,0.30962,0.1565,0.098081,0.20767,0.22451,0.24254,0.050889,0.035283,0.14081,-0.020324,-0.0866,0.27581,-0.23315,-0.43963,-0.00033992,0.012872,0.055068,-0.1035,-0.0055952,-0.073834,-0.22185,-0.081737,-0.11563,-0.076933,0.078175,-0.030076,-0.23197,-0.36465,-0.31742,-0.36168,0.15111,-2.3359e-05,-0.042641,0.031498,-0.22051,-0.19227,-0.22274,-0.016473,-0.060195,-0.069698,-0.2742,-0.21243,-0.15419,0.029237,-0.057128,0.073856,-0.11435,0.094086,-0.035831,0.02976,-0.063593,-0.043612,0.22482,0.059068,-0.1299,0.14755,0.020215,0.13036,-0.18064,0.065991,-0.040718,0.16493,0.070351,0.040424,0.27126,0.014218,0.42055,0.088655,-0.08253,0.45636,0.098325,0.18377,0.18987,-0.12268,-0.24243,-0.036634
1,0.87272,1,0.94605,0.87455,0.88805,0.85283,0.88516,0.88786,0.88791,0.86825,0.79777,0.87992,0.86763,0.83487,0.87594,0.87605,0.84361,0.83464,0.76702,0.81716,0.73859,0.79937,0.83605,0.7922,0.76095,0.76251,0.74099,0.70653,0.59719,0.7314,0.66433,0.40908,0.45859,0.66278,0.33935,0.54033,0.42061,0.46902,0.39032,0.27543,0.46442,0.29861,0.52885,0.16025,0.2593,0.46541,0.10618,0.10233,0.13528,0.24215,0.37669,0.048858,0.08783,0.19634,0.01352,-0.17229,0.043595,-0.15894,-0.37625,0.088007,0.090231,0.080963,-0.18774,-0.109,-0.10591,-0.22119,-0.19497,-0.029791,-0.078031,-0.06623,-0.06306,-0.16424,-0.21383,-0.22426,-0.30961,0.029291,-0.11154,-0.22417,0.11024,-0.31481,-0.14775,-0.032272,-0.078141,0.014515,-0.14617,-0.23858,-0.33608,-0.083085,0.11096,-0.13461,-0.04552,-0.070755,0.088253,-0.064848,0.0011859,-0.052427,0.10645,0.083602,0.068501,-0.12379,0.12844,-0.067916,0.049237,-0.17828,-0.030955,-0.024466,0.16444,0.071404,0.080507,0.36351,0.05772,0.50188,-0.037482,0.056789,0.32403,0.014631,0.13247,0.029817,-0.11122,-0.20464,-0.062148
2,0.91758,0.94605,1,0.89423,0.89407,0.87384,0.89669,0.85591,0.88854,0.85934,0.85531,0.90047,0.89142,0.87843,0.89765,0.86658,0.83256,0.87151,0.79185,0.83942,0.72928,0.76769,0.82796,0.80482,0.79719,0.74972,0.78894,0.77914,0.69091,0.72954,0.71107,0.41579,0.42949,0.68307,0.31408,0.54563,0.47046,0.46921,0.43178,0.25759,0.39869,0.26969,0.42234,0.22398,0.22977,0.40759,0.065936,0.072761,0.13137,0.26736,0.30589,0.05415,0.16195,0.11571,-0.029607,-0.12268,0.17069,-0.21042,-0.38529,0.080561,0.083965,0.1292,-0.16257,-0.15145,-0.15918,-0.2009,-0.13775,-0.039399,-0.07,-0.033291,-0.098815,-0.20297,-0.30378,-0.28801,-0.27307,0.059238,-0.085825,-0.10284,0.095974,-0.30727,-0.17387,-0.077434,-0.083263,-0.076055,-0.12915,-0.20051,-0.27617,-0.14064,0.069627,-0.061204,-0.01569,-0.044677,0.056179,-0.034602,0.051297,-0.041652,0.018418,0.18775,0.016751,-0.039233,0.20911,0.045396,0.082081,-0.095136,0.0078179,-0.020966,0.21542,0.094484,-0.011349,0.27032,0.060386,0.38374,-0.015967,0.022457,0.40299,-0.075819,0.1502,0.12203,-0.15442,-0.13394,-0.036209
3,0.85325,0.87455,0.89423,1,0.85796,0.80639,0.80724,0.85803,0.80579,0.82583,0.8335,0.85581,0.84604,0.80939,0.84468,0.82246,0.8684,0.81484,0.78019,0.81065,0.79502,0.65225,0.791,0.78571,0.73346,0.75158,0.7323,0.65215,0.55606,0.74513,0.63698,0.37535,0.31947,0.6505,0.34601,0.51774,0.35453,0.48217,0.50868,0.26285,0.48709,0.19753,0.40581,0.15727,0.29639,0.36528,0.080888,0.057175,0.030355,0.33903,0.4051,-0.091812,0.025653,0.15303,0.0028369,-0.032923,0.19655,-0.29532,-0.37575,0.097119,-0.024047,0.22116,-0.23851,-0.15864,-0.098867,-0.20791,-0.045654,-0.024863,-0.020069,-0.10082,-0.016536,-0.13773,-0.19502,-0.28399,-0.39889,0.050653,-0.076219,-0.058439,0.11308,-0.23363,-0.20137,-0.13495,-0.15584,-0.19762,-0.1164,-0.16435,-0.37105,-0.15987,0.091542,-0.10081,-0.054601,-0.051788,0.2058,0.019976,-0.066637,-0.055974,0.0015657,0.21858,-0.026016,-0.1134,0.20651,0.032649,0.19655,-0.071906,0.08574,0.09533,0.1836,0.0054591,0.049703,0.27449,-0.036031,0.44057,-0.0081512,0.14539,0.24822,-0.1538,0.12892,0.15341,-0.12339,-0.20624,-0.0098913
4,0.81797,0.88805,0.89407,0.85796,1,0.82957,0.8404,0.81714,0.87891,0.84107,0.78466,0.85036,0.85988,0.78036,0.77178,0.84504,0.77038,0.85896,0.77086,0.80405,0.69337,0.69147,0.77293,0.82512,0.69486,0.71604,0.61412,0.67776,0.56591,0.71818,0.60855,0.34031,0.35362,0.61843,0.40387,0.51284,0.48545,0.49883,0.4162,0.27927,0.47518,0.32331,0.38235,0.18895,0.27673,0.42562,0.088793,0.10421,0.14483,0.30749,0.38864,-0.0070704,0.10263,0.15544,-0.0031702,-0.039078,0.044019,-0.15677,-0.23658,0.19858,0.10763,0.10414,-0.1742,-0.15641,-0.082403,-0.29381,-0.20821,0.053637,0.034043,-0.0012764,-0.052132,-0.17943,-0.17584,-0.35534,-0.31584,0.11727,-0.16984,-0.098777,0.051909,-0.24787,-0.046826,0.0043385,-0.13031,-0.0762,-0.07266,-0.28353,-0.36377,-0.17561,0.049996,-0.14188,0.029704,-0.05368,0.081141,-0.013029,-0.0085289,-0.034546,0.13775,0.081364,0.06804,-0.11534,0.081456,0.045007,0.071216,-0.066956,0.034817,0.086927,0.14805,-0.010813,-0.013884,0.28729,-0.054315,0.52763,-0.055047,-0.017241,0.25074,-0.066677,0.14658,0.16818,-0.1575,-0.28251,0.020806
5,0.86519,0.85283,0.87384,0.80639,0.82957,1,0.86336,0.80876,0.82892,0.78634,0.87556,0.88615,0.86198,0.82232,0.83401,0.80415,0.7496,0.85883,0.75789,0.7715,0.76389,0.77503,0.77995,0.7659,0.78153,0.71779,0.65551,0.67027,0.60063,0.68665,0.62845,0.40882,0.49225,0.64015,0.31754,0.48363,0.4873,0.40617,0.46832,0.32119,0.40876,0.34458,0.39922,0.14196,0.38519,0.36572,0.11565,0.16288,0.17742,0.33131,0.23913,0.055861,0.03165,0.16272,-0.05945,-0.090325,0.18436,-0.23502,-0.3153,0.084973,0.012179,0.019904,-0.065652,-0.12337,-0.052958,-0.22634,-0.1158,-0.043429,-0.066477,-0.069267,-0.1143,-0.19969,-0.25399,-0.29042,-0.25308,0.12575,-0.10194,-0.20129,0.23165,-0.22143,-0.12169,-0.10201,-0.021233,-0.048582,-0.14759,-0.32315,-0.3101,-0.10343,0.024372,-0.11825,0.13707,-0.092616,0.041613,-0.14136,0.16399,-0.13918,-0.027242,0.14386,0.061254,-0.18016,-0.031531,0.024632,0.010696,-0.14124,0.0014941,0.086584,0.16281,0.13778,-0.00091146,0.18019,0.072357,0.38557,0.10185,-0.076544,0.37093,0.0095726,0.27245,0.1935,-0.044838,-0.14306,-0.026642
6,0.873,0.88516,0.89669,0.80724,0.8404,0.86336,1,0.81481,0.89071,0.84766,0.82334,0.88575,0.87149,0.75701,0.84261,0.8253,0.80236,0.86753,0.68764,0.74124,0.65743,0.80948,0.78296,0.8494,0.82634,0.67602,0.70308,0.71678,0.59908,0.74652,0.76109,0.40299,0.41836,0.60929,0.35891,0.55453,0.39541,0.39125,0.48622,0.2345,0.41941,0.31878,0.48793,0.16426,0.23548,0.43792,0.23437,0.092384,0.086907,0.23151,0.31121,0.1272,0.11579,0.12938,-0.018203,-0.081769,0.15006,-0.18641,-0.41118,0.038616,0.057471,0.049082,-0.12614,-0.10593,0.024393,-0.18448,-0.17081,-0.047621,-0.096608,-0.10441,-0.19371,-0.18719,-0.22612,-0.24238,-0.25325,0.18464,-0.11214,-0.13756,0.10951,-0.3672,-0.22378,-0.009049,-0.03396,-0.065557,-0.10235,-0.21582,-0.35077,-0.10106,-0.016657,-0.072516,-0.047132,-0.12802,0.032692,0.046121,0.13151,0.011127,0.0091475,0.20594,-0.01265,-0.10182,0.034475,-0.021676,0.010702,-0.21442,-0.029099,-0.04941,0.16172,0.15878,0.02054,0.27461,0.08828,0.4004,0.031186,0.00089509,0.32876,0.068045,0.22573,0.14422,-0.049043,-0.28191,0.033606
7,0.81952,0.88786,0.85591,0.85803,0.81714,0.80876,0.81481,1,0.80984,0.79948,0.80116,0.8446,0.8403,0.75994,0.81773,0.77625,0.80564,0.80294,0.77189,0.81956,0.78606,0.68113,0.82229,0.76721,0.76502,0.74045,0.69045,0.65033,0.53612,0.64357,0.67956,0.34375,0.42944,0.57605,0.39441,0.41009,0.32823,0.49352,0.47377,0.32846,0.42055,0.25596,0.45461,-0.025514,0.28067,0.36823,0.057225,0.15817,0.17696,0.30133,0.29442,0.068463,0.1013,0.08768,0.0085129,-0.062758,0.14273,-0.20783,-0.36784,0.15739,0.010416,0.19316,-0.23207,-0.14384,0.01145,-0.26225,-0.012959,-0.15865,-0.14525,-0.088383,-0.043559,-0.10833,-0.20901,-0.14459,-0.47807,-0.019248,-0.065251,-0.077529,0.15845,-0.36187,-0.14945,-0.1726,-0.095174,-0.0051493,-0.18994,-0.18276,-0.3236,-0.12666,0.19295,-0.14423,-0.052729,-0.12066,0.20884,-0.020365,0.0055445,0.02551,-0.044775,0.048055,0.012026,-0.092573,0.010944,0.11351,0.13577,-0.080206,-0.12508,0.074719,0.12202,0.0094312,0.011022,0.20892,0.021925,0.34849,0.065869,0.12256,0.2871,0.11731,0.21006,0.016878,-0.17107,-0.23433,-0.13323
8,0.86587,0.88791,0.88854,0.80579,0.87891,0.82892,0.89071,0.80984,1,0.79493,0.82249,0.89821,0.88319,0.80664,0.8138,0.7802,0.78825,0.845,0.71474,0.72121,0.59885,0.77147,0.75507,0.8354,0.70115,0.71653,0.69005,0.66216,0.64995,0.67864,0.63864,0.4852,0.40432,0.61412,0.37455,0.54806,0.4123,0.378,0.39779,0.2215,0.49923,0.47349,0.5349,0.15864,0.26533,0.34388,0.10914,0.089021,0.11627,0.25692,0.30878,0.0019336,-0.001548,0.17076,-0.014419,-0.13958,0.012768,-0.21012,-0.47302,0.079867,0.14776,-0.0097721,-0.2133,-0.079408,-0.11524,-0.19458,-0.13107,-0.01905,-0.048027,-0.036612,-0.05872,-0.14283,-0.25151,-0.1857,-0.32497,0.24003,-0.12304,-0.11954,0.030554,-0.28598,-0.20237,-0.0087657,0.033852,0.039478,-0.11727,-0.31346,-0.33122,-0.19819,0.082709,-0.03502,-0.063253,-0.18279,0.14977,0.034603,0.16291,-0.048327,0.095084,0.098914,-0.010406,-0.17056,0.069337,-0.095973,0.044026,-0.17842,-0.11062,0.0053872,0.15641,0.15292,0.0014496,0.32439,-0.12679,0.45599,0.10804,-0.003162,0.34463,0.067006,0.23529,0.071926,-0.12598,-0.2591,-0.019044
9,0.84977,0.86825,0.85934,0.82583,0.84107,0.78634,0.84766,0.79948,0.79493,1,0.73531,0.78875,0.81593,0.7829,0.77259,0.82825,0.8343,0.76756,0.75679,0.70304,0.72433,0.72158,0.7488,0.71329,0.76116,0.69323,0.68224,0.66759,0.54544,0.70947,0.64983,0.37837,0.34034,0.60279,0.48974,0.44034,0.38608,0.48193,0.42347,0.16068,0.59435,0.30215,0.396,0.079079,0.25706,0.50219,0.2182,0.06611,0.11275,0.29248,0.32589,0.040439,0.018311,0.073723,0.1232,-0.097226,0.088616,-0.035473,-0.3369,0.13322,0.15032,0.070925,-0.11077,-0.026789,-0.029867,-0.16666,-0.16362,-0.1133,-0.12336,-0.0011204,-0.070187,-0.15022,-0.22629,-0.29271,-0.24224,0.037748,0.075365,-0.12536,0.09244,-0.25245,-0.051953,-0.11992,-0.018146,-0.071666,-0.10455,-0.22213,-0.26744,-0.0068795,0.030581,-0.048245,0.041449,-0.061245,0.04707,-0.02829,-0.032442,-0.033141,0.0042353,0.10219,0.1849,-0.093282,0.10138,0.076636,0.13629,-0.11041,-0.018169,-0.042883,0.17444,-0.024475,0.035862,0.32747,0.052353,0.55192,-0.045072,-0.11653,0.32298,-0.0079658,0.08141,0.053241,-0.16128,-0.31284,0.022001
