,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,0.76282,0.80069,0.80189,0.76754,0.79029,0.73434,0.62138,0.69757,0.61022,0.73198,0.66249,0.46791,0.63546,0.59699,0.53988,0.48717,0.32744,-0.067888,0.26406,0.16584,0.19854,0.0044662,0.17624,0.12896,-0.0091539,-0.074624,0.093616,-0.27528,-0.043876,-0.25577,-0.16975,-0.17431,-0.15013,-0.35852,-0.013776,-0.2704,-0.29368,-0.12106,0.14201,-0.24506,-0.4059,-0.41831,-0.14588,-0.35677,-0.33269,-0.24957,-0.46025,-0.020669,-0.085466,-0.23926,-0.13118,-0.28679,-0.078459,-0.22924,-0.097583,-0.16717,-0.089061,-0.022194,-0.015968,0.24938,-0.12348,-0.10753,0.040987,0.1449,-0.094551,0.14594,-0.12805,-0.19124,-0.021846,-0.2135,-0.13979,-0.01381,-0.24491,-0.073323,-0.28129,0.15614,-0.13786,0.15859,-0.019379,0.17303,-0.068181,0.13999,-0.23641,0.089779,0.20785,0.19235,0.21585,0.59338,0.10555,-0.0089496,0.038162,-0.028722,0.10353,0.053553,0.25805,-0.0092606,0.082913,-0.22648,0.22499
1,0.76282,1,0.85074,0.79672,0.76835,0.7125,0.69444,0.57889,0.81146,0.55866,0.73069,0.49259,0.43121,0.7524,0.72343,0.56753,0.4628,0.39005,-0.09813,0.27037,0.23524,0.33579,-0.11091,0.25331,0.22387,-0.077384,0.012693,0.10579,-0.26233,-0.067511,-0.10698,-0.11796,-0.048082,-0.27306,-0.26774,0.10921,-0.15878,-0.11279,-0.23689,0.10424,-0.27567,-0.43499,-0.44163,-0.16258,-0.40916,-0.33408,-0.22975,-0.38777,-0.22939,-0.29361,-0.17321,-0.09535,-0.23798,-0.098071,-0.19514,-0.084935,-0.27842,-0.12859,0.16603,-0.071674,0.13853,0.077437,0.066673,-0.35702,0.027248,-0.16058,0.019421,-0.017098,-0.26635,-0.099805,-0.21644,0.10756,-0.10781,-0.17257,-0.083905,-0.086712,0.31443,0.031257,0.14361,0.07727,0.1681,-0.26556,-0.032656,-0.26595,0.05894,0.042973,0.24039,0.18056,0.49918,0.13737,0.055295,0.2013,-0.12183,0.050528,0.19838,0.16003,0.0058174,0.062986,-0.14993,0.15242
2,0.80069,0.85074,1,0.76076,0.75652,0.62152,0.76369,0.72626,0.79096,0.61884,0.68458,0.63609,0.46329,0.69989,0.74155,0.5068,0.48175,0.41033,-0.20175,0.28728,0.33641,0.34937,-0.069295,0.099219,0.2408,-0.091315,-0.05749,0.068171,-0.22185,-0.074735,-0.16561,0.027354,-0.08219,-0.2761,-0.1858,0.012365,-0.22576,-0.096036,-0.058918,0.085972,-0.30112,-0.42402,-0.34857,-0.1418,-0.25704,-0.44003,-0.30265,-0.38148,-0.1931,-0.23412,-0.2427,-0.23964,-0.28414,-0.15386,-0.18044,-0.25197,-0.1849,-0.026805,0.11441,0.051543,0.27923,-0.016159,-0.066705,-0.24141,0.0041498,-0.055811,0.098553,0.01936,-0.12741,-0.051304,-0.19707,0.02724,-0.12169,-0.22403,-0.12236,-0.1524,0.26705,-0.084351,0.16818,-0.061704,0.16129,-0.10763,0.068473,-0.1793,0.075249,0.17605,0.29673,0.16683,0.48473,0.21441,-0.03706,0.023268,-0.029353,0.017084,0.10754,0.21379,-0.03296,0.029779,-0.094239,0.32306
3,0.80189,0.79672,0.76076,1,0.73692,0.71791,0.68505,0.61153,0.79758,0.6028,0.75058,0.58362,0.53557,0.50426,0.60468,0.52925,0.45001,0.3085,-0.039884,0.18633,0.20061,0.21397,-0.24684,0.086383,0.12857,-0.14351,0.10509,0.14475,-0.4213,-0.041725,-0.077125,0.0082185,-0.070762,-0.25463,-0.30089,-0.054181,-0.18028,-0.14301,-0.1297,0.15923,-0.27309,-0.46707,-0.40988,-0.18488,-0.34156,-0.37405,-0.24821,-0.38624,-0.27372,-0.29486,-0.042001,-0.19766,-0.29682,-0.10812,-0.25968,-0.15835,-0.21041,-0.066801,0.031252,-0.12411,0.18604,0.069827,-0.068607,-0.12564,0.095945,-0.086149,-0.012124,0.00057075,-0.17919,-0.20477,-0.055406,-0.013848,0.008934,-0.30093,-0.094254,-0.16245,0.42232,-0.14151,0.33335,0.064,0.19029,-0.17031,0.0098295,-0.19733,0.20408,0.032797,0.24499,0.1517,0.54384,0.32714,-0.13891,0.12676,-0.094064,-0.0075734,-0.029114,0.30885,0.059991,0.055333,-0.1153,0.25484
4,0.76754,0.76835,0.75652,0.73692,1,0.67792,0.71592,0.70617,0.67163,0.55747,0.71209,0.55724,0.47364,0.56671,0.51563,0.58103,0.38687,0.17504,0.046904,0.32277,0.26424,0.24884,-0.035052,0.075598,0.19571,-0.068253,0.066969,-0.017397,-0.25914,-0.11728,-0.27798,-0.007085,-0.17627,-0.32288,-0.5321,-0.080615,-0.31459,-0.076538,-0.20968,0.19276,-0.19452,-0.32904,-0.41427,-0.094122,-0.27712,-0.38328,-0.17548,-0.27808,-0.27129,-0.15998,-0.12122,-0.10505,-0.34051,-0.13157,-0.20769,-0.035535,-0.26048,0.0047562,0.093486,-0.13846,0.15328,-0.23576,-0.19094,-0.0085571,0.16815,0.053488,0.15197,-0.12361,-0.20968,-0.019959,-0.20243,0.035045,-0.17684,-0.23609,-0.23012,-0.23577,0.13762,-0.10358,0.041312,0.042683,0.00066094,-0.24686,0.16433,-0.22328,0.049173,0.091521,0.25775,0.35954,0.44443,0.0818,0.0010468,0.13665,-0.071876,0.10253,0.068383,0.074823,0.076468,0.099122,-0.30301,0.29097
5,0.79029,0.7125,0.62152,0.71791,0.67792,1,0.73792,0.63713,0.63658,0.50707,0.61861,0.46893,0.55985,0.5969,0.53401,0.48868,0.38339,0.36058,-0.086076,0.25414,0.19212,0.12676,-0.06342,0.23901,0.11149,-0.019518,-0.1647,0.16638,-0.32968,-0.14527,-0.19528,-0.06337,-0.24207,-0.35543,-0.27014,0.03616,-0.33964,-0.23265,-0.32857,0.16119,-0.1476,-0.48627,-0.35459,-0.14987,-0.37786,-0.29202,-0.18845,-0.45189,-0.21674,-0.14191,-0.085901,-0.2295,-0.46106,-0.16152,-0.076645,0.10975,-0.18856,0.10939,0.064614,0.020184,0.1967,0.068825,0.0009272,-0.072655,0.15638,-0.03492,-0.099858,-0.0085531,-0.21455,-0.016838,0.0074012,0.076815,-0.033153,-0.26486,-0.17056,-0.26143,0.06077,-0.03792,0.14549,0.033677,0.10412,-0.10595,0.12531,-0.24758,-0.014386,0.21535,0.18252,0.30503,0.40886,-0.0038678,-0.15403,0.057126,-0.039305,0.19125,0.11306,0.22279,0.075795,0.086465,-0.23681,-0.03912
6,0.73434,0.69444,0.76369,0.68505,0.71592,0.73792,1,0.66178,0.76618,0.56212,0.65328,0.58055,0.48725,0.56877,0.56066,0.39701,0.44948,0.36782,-0.17842,0.43944,0.29191,0.19074,-0.075344,0.20675,0.021513,-0.15593,-0.0089423,0.040105,-0.34676,-0.12674,-0.17104,-0.10845,-0.21779,-0.34996,-0.31773,-0.18045,-0.39314,-0.25463,-0.26918,0.0078747,-0.17746,-0.52625,-0.52729,-0.16703,-0.34961,-0.34301,-0.33592,-0.44561,-0.18417,-0.27646,-0.11659,-0.354,-0.4439,-0.19357,-0.25603,-0.08047,-0.039073,0.061056,0.062888,0.008329,0.31577,0.011212,-0.13852,-0.053311,0.18212,0.062435,-0.12375,0.035503,-0.162,0.019197,-0.059468,0.12309,-0.085564,-0.17155,-0.13789,-0.36945,0.084508,-0.078615,0.043582,-0.097573,0.17163,-0.12529,0.20455,-0.064985,0.15261,0.25796,0.20952,0.11413,0.42805,0.13272,-0.10309,0.10054,0.030107,0.061514,0.21619,0.16383,0.17234,0.082147,-0.35227,0.29385
7,0.62138,0.57889,0.72626,0.61153,0.70617,0.63713,0.66178,1,0.57425,0.5061,0.45185,0.54339,0.46027,0.52309,0.60503,0.45594,0.33829,0.24435,-0.056424,0.18285,0.1987,0.36472,-0.10896,-0.062707,0.1492,-0.058335,0.00071521,0.0023134,-0.094478,-0.12215,-0.26785,0.184,-0.16701,-0.21063,-0.43451,-0.10014,-0.27955,-0.14526,-0.016011,0.01262,-0.10456,-0.3864,-0.25597,-0.12482,-0.1876,-0.46988,-0.33113,-0.278,-0.16118,-0.083772,-0.062547,-0.2929,-0.33475,-0.22947,-0.20008,-0.15151,-0.23298,0.19733,0.10032,-0.066525,0.37283,-0.046698,-0.22422,-0.15001,0.087192,0.048505,-0.023043,0.16049,-0.063782,-0.059116,0.0074643,-0.018184,-0.1033,-0.22559,-0.20413,-0.23155,0.059018,-0.030706,0.23216,-0.23232,0.20617,0.0095092,0.050987,-0.18545,0.015824,0.13967,0.24489,0.36018,0.3111,0.21795,-0.3035,0.028971,-0.092297,-0.0030944,0.059475,0.27384,0.082956,0.10705,-0.055753,0.26886
8,0.69757,0.81146,0.79096,0.79758,0.67163,0.63658,0.76618,0.57425,1,0.65125,0.65323,0.47199,0.41633,0.5891,0.61441,0.41892,0.35801,0.32004,0.00085972,0.32703,0.31167,0.29904,-0.26095,0.091573,0.082213,-0.22864,0.0076357,0.12068,-0.24649,-0.14869,-0.18884,-0.18922,0.071997,-0.37198,-0.21393,0.02727,-0.10964,-0.20878,-0.1789,0.26158,-0.16793,-0.55108,-0.47788,-0.19995,-0.36581,-0.26982,-0.36796,-0.47832,-0.22168,-0.29675,-0.093076,-0.21672,-0.23015,-0.19444,-0.31292,-0.16704,-0.17315,0.042591,0.088463,0.030744,0.23205,0.11565,0.011034,-0.20225,0.06958,-0.013911,-0.07311,0.066381,-0.10992,0.017118,-0.023596,0.17863,-0.0096549,-0.25101,-0.024338,-0.074218,0.26223,-0.17766,0.01227,0.014837,0.109,-0.096038,-0.0021866,-0.20559,0.1526,0.082811,0.13796,0.19626,0.51176,0.16814,-0.12068,0.10797,-0.17547,0.1025,0.079894,0.20372,0.072074,-0.10148,-0.003714,0.25959
9,0.61022,0.55866,0.61884,0.6028,0.55747,0.50707,0.56212,0.5061,0.65125,1,0.50941,0.45892,0.63911,0.50752,0.51712,0.39151,0.39541,0.31523,-0.085889,0.16735,0.14373,0.36723,0.050543,-0.12861,-0.089163,-0.11206,0.015997,0.10502,-0.16697,-0.18217,-0.13466,-0.048995,0.17556,-0.14705,-0.25432,0.15824,-0.12448,-0.11722,0.11458,0.090851,-0.20543,-0.44239,-0.33492,-0.030358,-0.27667,-0.23421,-0.014091,-0.36068,0.019271,-0.19627,-0.08794,-0.17759,-0.23272,0.095121,-0.31292,-0.13631,-0.10101,-0.070911,-0.046083,0.14981,0.48177,-0.09426,0.13535,-0.094837,0.12393,-0.19413,-0.016968,-0.12968,-0.14346,0.091691,0.025844,-0.11551,0.18937,-0.05079,-0.19624,-0.23704,0.014932,-0.32343,0.033485,0.097491,0.16341,-0.029349,-0.031914,-0.40644,0.19318,0.3539,0.14994,0.24182,0.41761,0.21027,-0.034701,0.10605,-0.22264,0.17684,-0.12331,0.041218,0.044508,0.078734,-0.16916,0.3087
