,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
0,1,0.825,0.8072,0.84688,0.82806,0.81459,0.82833,0.78764,0.83424,0.82954,0.7888,0.79001,0.78753,0.8135,0.80043,0.7691,0.77374,0.83801,0.84985,0.82815,0.88726,0.85887,0.82645,0.74271,0.83839,0.85905,0.77349,0.78272,0.82486,0.82463,0.72821,0.84093,0.82531,0.74674,0.7043,0.77306,0.75336,0.68665,0.65887,0.79951,0.69982,0.80141,0.71891,0.68947,0.67149,0.81009,0.74715,0.70205,0.62375,0.58677,0.57593,0.68525,0.65507,0.63311,0.51276,0.48357,0.5424,0.66475,0.47167,0.59292,0.37039,0.60306,0.64158,0.38862,0.56255,0.26226,0.63623,0.45708,0.40995,0.077562,0.34882,0.3564,0.27263,0.38487,0.35324,0.23186,0.11599,0.344,0.2691,0.32871,0.33189,0.15759,0.23631,0.17996,0.087506,0.23221,0.33403,0.045168,0.21859,0.1587,0.029788,0.10342,0.012695,0.056974,-0.0523,0.1815,0.28797,-0.15495,0.26185,0.09641,-0.12882,-0.043156,0.32907,0.15534,0.17155,0.43391,-0.34925,0.21753,0.32409,0.085384,0.044162,-0.057481,-0.096655,0.27193,-0.073241,0.036004,-0.23178,-0.094974,0.17804,-0.068346,-0.049809,0.07194,0.34579,0.25353,-0.068729,-0.070179,-0.062935,0.21396,-0.20587,0.097445,0.24657,-0.10564,-0.15736,-0.061376,-0.17512,-0.053593,-0.28117,-0.06944,-0.074248,0.0059164,0.081498,0.054442,-0.11989,-0.076159,0.13908,0.055341,-0.101,-0.061929,0.14564,-0.31109,-0.030577,-0.026945,-0.11745,0.14546,0.036887,0.066942,0.019798,0.032135,-0.11229,0.096009,0.039303,-0.13906,0.060738,0.11134,0.091403,0.074494,-0.10215,-0.30027,-0.27932,0.024105,0.022853,-0.02582,0.17062,-0.069702,-0.40556,-0.04555,0.010298,-0.26076,0.013336,-0.09762,-0.06309,0.018169,0.19807
1,0.825,1,0.83497,0.88033,0.81426,0.81718,0.82172,0.79159,0.85357,0.82947,0.81324,0.77545,0.77132,0.87545,0.84431,0.82251,0.78865,0.85301,0.83895,0.85679,0.83929,0.81683,0.82788,0.7667,0.85149,0.82679,0.83125,0.80545,0.80571,0.83376,0.80396,0.7799,0.81733,0.84736,0.75811,0.795,0.71295,0.76854,0.67223,0.85049,0.73392,0.74117,0.65083,0.78041,0.68298,0.78136,0.76449,0.76174,0.71101,0.49588,0.61771,0.7254,0.69993,0.6558,0.55726,0.59813,0.4653,0.73184,0.53313,0.58315,0.26828,0.56188,0.52632,0.47148,0.42039,0.30508,0.63186,0.48176,0.4979,0.0086903,0.4008,0.42653,0.43353,0.31574,0.35045,0.14012,0.26208,0.43054,0.22411,0.40021,0.39292,0.25976,0.2412,0.22526,0.022841,0.3308,0.43427,0.088195,0.236,0.19493,0.11461,0.073033,0.032241,0.041719,-0.0049978,0.11414,0.16201,-0.22577,0.26064,0.11414,-0.14479,0.0012027,0.36407,0.27916,0.25375,0.36311,-0.31039,0.21857,0.34499,0.049327,0.049965,-0.071603,0.030308,0.22044,0.0055116,0.1533,0.089913,0.13615,0.12963,-0.043362,-0.080918,0.025288,0.31031,-0.029017,-0.011946,-0.052095,-0.061029,0.11901,-0.11713,0.02866,0.10291,-0.040999,-0.0013056,-0.12173,-0.052644,0.055917,-0.2175,0.096889,-0.18279,0.089111,0.027522,-0.057911,-0.0050385,-0.070394,0.10094,-0.005804,-0.20569,0.067581,0.11144,-0.16221,-0.10941,0.014695,-0.26152,0.13908,-0.021008,0.0045204,-0.098475,-0.040429,-0.1799,0.18692,-0.060766,-0.19103,-0.049411,-0.076927,-0.065198,0.015598,0.0031212,-0.253,-0.19877,-0.10194,0.21189,-0.047905,0.11665,-0.16716,-0.35748,-0.26571,0.11565,-0.0799,0.10723,-0.078387,-0.08553,0.054694,0.062117
2,0.8072,0.83497,1,0.81675,0.80062,0.76237,0.8142,0.78903,0.8501,0.79041,0.80993,0.77552,0.82241,0.84714,0.76288,0.76197,0.81426,0.76248,0.81487,0.80338,0.80923,0.82352,0.77504,0.81746,0.80177,0.77325,0.80584,0.79911,0.79196,0.8281,0.79991,0.76021,0.77151,0.7629,0.74655,0.77008,0.69721,0.7987,0.72321,0.75177,0.76973,0.74313,0.57313,0.70687,0.70881,0.78454,0.70131,0.67942,0.73412,0.60948,0.64218,0.79026,0.59333,0.75279,0.62056,0.62985,0.6272,0.66748,0.54817,0.51062,0.2681,0.51851,0.54942,0.47806,0.48165,0.40112,0.52746,0.4289,0.49182,0.028889,0.28258,0.45066,0.36752,0.37787,0.3241,0.20309,0.21773,0.34001,0.26125,0.5169,0.26963,0.27133,0.21524,0.27062,0.10739,0.28658,0.47929,0.036108,0.28025,0.25587,0.1959,0.11005,-0.08671,0.32123,0.069079,0.16963,0.12187,-0.18735,0.16076,0.11098,-0.036863,0.041155,0.39718,0.1043,0.28589,0.30713,-0.24103,0.15624,0.30843,0.15339,0.084569,0.061029,-0.064096,0.19505,-0.024328,0.16063,-0.015787,-0.026996,0.10435,-0.085732,0.056631,0.10393,0.26624,0.14447,-0.093722,0.029351,0.15815,0.082941,-0.089059,0.10308,0.14176,-0.1017,0.0083766,-0.081193,-0.060297,-0.0048025,-0.27181,-0.014172,-0.10401,0.1842,0.11392,-0.038216,0.039964,-0.017412,0.13967,0.11219,-0.20885,-0.071745,0.24587,-0.24204,-0.037677,-0.04997,-0.24305,0.22536,0.028722,0.00096659,-0.10964,-0.09827,-0.16855,0.26786,-0.051805,-0.1894,0.121,-0.040081,-0.050804,0.1161,-0.047427,-0.11394,-0.24249,-0.051894,0.13298,-0.11511,0.25673,-0.098834,-0.38156,-0.21288,-0.0031183,-0.030356,0.13701,-0.09681,-0.028622,0.0017007,0.17852
3,0.84688,0.88033,0.81675,1,0.84561,0.82352,0.7971,0.79477,0.88917,0.8358,0.78378,0.76616,0.82225,0.83728,0.82851,0.79791,0.78692,0.88309,0.872,0.87973,0.8032,0.84167,0.83766,0.78511,0.90037,0.86073,0.81757,0.85744,0.80315,0.85178,0.79998,0.79207,0.7873,0.83447,0.8031,0.77529,0.78371,0.73372,0.66732,0.82246,0.70175,0.74584,0.64564,0.75446,0.68315,0.82441,0.80498,0.7624,0.62735,0.54684,0.67506,0.76112,0.63179,0.64917,0.64568,0.68277,0.4584,0.66466,0.52862,0.57543,0.32214,0.54135,0.61491,0.39891,0.46957,0.28104,0.56988,0.37312,0.57953,0.014836,0.2447,0.41648,0.33972,0.42036,0.38968,0.2183,0.31818,0.35025,0.21997,0.44782,0.32611,0.2186,0.29007,0.22667,0.09211,0.33539,0.40216,0.1034,0.19298,0.20196,0.094012,0.085593,0.017276,0.023271,0.013045,0.052631,0.15533,-0.30935,0.2193,0.1447,-0.1163,0.079426,0.30801,0.18991,0.21754,0.37914,-0.34406,0.30005,0.28167,0.011695,-0.012404,-0.23751,0.02571,0.21549,-0.066629,0.12299,-0.053272,0.054026,0.12638,-0.10239,-0.040717,-0.013357,0.31665,0.14847,0.062956,-0.0055807,-0.07051,0.075069,-0.073856,0.09762,0.16109,-0.060301,-0.13397,-0.1684,-0.061559,0.10118,-0.34507,0.041791,-0.05387,0.071083,0.0067391,-0.041965,-0.091883,-0.10828,0.10576,-0.034342,-0.1259,0.012708,0.1633,-0.12136,0.033485,-0.15315,-0.055973,0.082081,0.056664,0.018491,-0.0047673,-0.020983,-0.22627,0.18268,-0.1038,-0.10334,0.050689,0.019018,-0.0060831,0.049408,0.015744,-0.28698,-0.30616,0.090754,0.10475,-0.048966,0.22792,-0.18083,-0.37063,-0.19562,0.0070186,-0.19625,0.10834,-0.03322,-0.1686,0.10338,0.13303
4,0.82806,0.81426,0.80062,0.84561,1,0.75874,0.80141,0.86791,0.80628,0.80341,0.75163,0.82548,0.78874,0.85279,0.77933,0.83423,0.78815,0.80824,0.83795,0.88609,0.83371,0.79022,0.83334,0.76034,0.82953,0.77924,0.88115,0.84834,0.73472,0.80495,0.73857,0.81705,0.80299,0.83419,0.79718,0.81081,0.75824,0.70839,0.70158,0.85575,0.65554,0.7068,0.6727,0.74425,0.72615,0.78127,0.72572,0.68621,0.61713,0.57021,0.5249,0.72192,0.65183,0.65496,0.533,0.57613,0.48764,0.57666,0.53365,0.58323,0.20845,0.61458,0.54364,0.38923,0.50108,0.21627,0.57021,0.53686,0.53427,0.095899,0.31296,0.55731,0.35127,0.3416,0.28087,0.19678,0.28607,0.25349,0.16045,0.38638,0.35903,0.23202,0.37359,0.2826,0.11568,0.1633,0.35041,0.097102,0.050026,0.12654,0.14556,-0.046592,0.064646,0.069864,0.029331,0.10498,0.13133,-0.25273,0.25349,0.11519,-0.033115,0.10456,0.34437,0.14337,0.14906,0.30772,-0.26618,0.091404,0.27925,0.10471,0.13305,-0.18655,-0.04623,0.22478,0.0035368,0.17918,-0.1108,-0.017611,0.095615,-0.033856,0.059609,-0.013063,0.33727,0.17707,0.04909,-0.069934,0.033199,0.057043,-0.050324,-0.012325,0.15446,-0.066612,-0.059622,-0.022051,-0.17563,-0.073243,-0.23805,0.048312,-0.18222,0.13069,-0.083096,-0.0088606,-0.053886,0.069019,0.1141,-0.072653,-0.12934,0.049571,0.12409,-0.31661,-0.028302,-0.10961,-0.12522,0.051492,0.03493,-0.088174,-0.082559,0.10184,-0.1637,0.11628,0.0066948,-0.0071974,0.074977,0.026137,0.082094,-0.028795,0.055295,-0.24999,-0.35096,0.0067854,0.13122,-0.099149,0.25281,-0.086134,-0.24927,-0.16029,0.043966,-0.060745,0.052849,0.03443,-0.16531,0.035401,-0.0022195
5,0.81459,0.81718,0.76237,0.82352,0.75874,1,0.80678,0.75558,0.83532,0.77453,0.73921,0.84183,0.83431,0.80598,0.82663,0.78801,0.77303,0.80841,0.88407,0.8509,0.81015,0.79135,0.79219,0.75136,0.83176,0.79863,0.80582,0.79271,0.7224,0.83979,0.7571,0.74299,0.72635,0.78859,0.70333,0.78185,0.76957,0.73772,0.69945,0.77544,0.73362,0.81841,0.66842,0.73036,0.76442,0.7532,0.78648,0.70044,0.58144,0.51345,0.55243,0.73542,0.67842,0.6365,0.67272,0.62376,0.39375,0.63957,0.51238,0.63577,0.37407,0.55276,0.53719,0.5229,0.39202,0.24795,0.64364,0.37906,0.40589,0.0053462,0.34251,0.3565,0.31251,0.38594,0.4067,0.035328,0.27844,0.31423,0.20314,0.29794,0.26217,0.31391,0.3444,0.13391,0.039176,0.28196,0.40143,0.20929,0.2501,0.081389,0.0056457,0.032689,0.0054355,0.11165,0.092125,0.061821,0.1026,-0.26772,0.31835,0.086068,-0.11458,-0.035771,0.30512,0.29297,0.35593,0.2094,-0.26832,0.27788,0.24919,-0.095478,0.07404,-0.11596,-0.22573,0.17684,-0.052045,0.17567,0.0027961,0.012241,0.10568,-0.01184,-0.20664,0.12561,0.20256,0.12928,0.0066087,0.10346,-0.00657,0.23193,-0.091164,0.13454,0.21158,-0.13349,-0.046791,-0.21093,-0.11984,-0.052197,-0.2967,-0.020778,-0.18868,0.0045028,-0.0056084,-0.018825,-0.074001,-0.11342,0.10089,0.097632,-0.16491,-0.1212,0.21858,-0.11325,0.012467,-0.011088,-0.12401,-0.086521,0.067077,-0.044658,0.098869,0.058667,-0.072059,0.20444,0.0038162,-0.13086,-0.098527,0.092987,0.068034,0.044348,-0.0074755,-0.22267,-0.19799,-0.085397,-0.015795,-0.17895,0.20838,-0.15355,-0.30875,-0.15091,0.043305,-0.17889,0.091255,-0.14957,-0.087777,0.046298,0.14826
6,0.82833,0.82172,0.8142,0.7971,0.80141,0.80678,1,0.77112,0.82233,0.79251,0.79464,0.7975,0.79435,0.84081,0.77248,0.71097,0.80317,0.77465,0.80488,0.77943,0.7916,0.77099,0.80433,0.82636,0.80221,0.76799,0.8675,0.77572,0.78032,0.79988,0.77454,0.77614,0.81098,0.83097,0.73479,0.78302,0.71524,0.78128,0.74879,0.82226,0.6632,0.79475,0.73947,0.71504,0.67386,0.77924,0.76671,0.6855,0.66492,0.63668,0.57353,0.73244,0.68266,0.72309,0.66219,0.54819,0.49931,0.55412,0.50404,0.58066,0.34055,0.61997,0.54011,0.35953,0.48181,0.38353,0.68537,0.41527,0.53134,0.030231,0.30078,0.4144,0.3422,0.41388,0.40623,0.11058,0.14663,0.41896,0.26696,0.33446,0.45001,0.27009,0.41377,0.14232,0.24416,0.14738,0.45313,0.32621,0.13669,0.12651,0.047718,0.17059,-0.047496,0.037513,-0.059355,0.2096,0.12136,-0.26981,0.079327,-0.011154,-0.062288,-0.0050047,0.34743,0.30847,0.21517,0.18051,-0.27936,0.1032,0.22448,0.16587,0.13469,-0.18375,-0.058266,0.19213,0.004304,0.14417,-0.0092395,0.053069,0.21225,-0.0071767,-0.10118,0.086774,0.24031,0.11387,-0.10411,-0.11831,-0.012521,0.18163,-0.26424,0.047342,0.12514,-0.1604,0.090258,-0.15754,-0.18175,-0.071236,-0.30712,0.001411,-0.21357,0.090813,0.050062,-0.046872,-0.080058,-0.020913,-0.052397,0.11751,-0.17455,-0.17767,0.21467,-0.15527,0.059992,0.093828,-0.25586,-0.052331,0.040368,0.044925,0.019224,-0.021668,-0.20222,0.12832,-0.025628,-0.18698,-0.03197,0.034932,0.063437,0.044722,-0.004174,-0.27084,-0.16348,0.0042899,0.1819,-0.025849,0.14469,0.010033,-0.44177,-0.20466,0.096087,-0.1236,0.18769,0.021241,-0.13493,0.051648,0.089725
7,0.78764,0.79159,0.78903,0.79477,0.86791,0.75558,0.77112,1,0.77391,0.78973,0.74086,0.8411,0.82078,0.87314,0.73005,0.77285,0.76494,0.85391,0.81208,0.81398,0.7827,0.73536,0.78098,0.81641,0.81552,0.73502,0.81128,0.72759,0.69419,0.82869,0.76381,0.81837,0.74331,0.79901,0.8105,0.81548,0.74724,0.75827,0.64861,0.79318,0.70692,0.6905,0.71902,0.69925,0.75927,0.74312,0.71568,0.65003,0.54785,0.56686,0.49545,0.66044,0.64557,0.66283,0.54559,0.5046,0.44718,0.55745,0.51325,0.45783,0.18194,0.4701,0.48498,0.5518,0.5154,0.25819,0.53699,0.3862,0.44507,0.15196,0.38331,0.51534,0.25054,0.29254,0.2109,0.24112,0.16069,0.25623,0.19262,0.28475,0.30722,0.24363,0.34049,0.20268,0.063614,0.25916,0.42081,0.014655,0.18308,0.23822,0.17097,0.038381,0.064395,0.11283,-0.0045973,-0.023552,0.10702,-0.32879,0.34025,0.049233,-0.1807,0.0070406,0.23324,0.091605,0.1894,0.24464,-0.19891,0.018904,0.33253,0.090455,-0.0035088,-0.16494,-0.065235,0.10683,-0.021745,0.23505,-0.018992,0.0029073,-0.0094331,-0.030204,-0.052627,0.013867,0.20771,0.13825,-0.058381,-0.0036251,0.10582,-0.011364,-0.14626,0.058531,0.21299,-0.0030051,-0.058446,-0.10152,-0.1141,-0.037231,-0.26021,-0.17983,-0.17349,0.21807,-0.031099,-0.052166,-0.020069,0.0052558,0.18315,-0.075964,-0.12617,-0.071601,0.17809,-0.26189,-0.11608,0.077604,-0.22121,0.11124,0.060904,-0.11262,-0.057825,0.048575,-0.23378,0.14824,-0.090609,-0.099569,-0.082987,0.11684,0.17808,-0.16849,0.058122,-0.10681,-0.22888,0.093439,0.10472,-0.16027,0.30966,-0.1762,-0.28451,-0.17403,0.068895,-0.20935,0.089401,-0.12429,-0.038384,-0.051586,0.10091
8,0.83424,0.85357,0.8501,0.88917,0.80628,0.83532,0.82233,0.77391,1,0.82701,0.84303,0.80215,0.83634,0.85393,0.83833,0.78277,0.77626,0.82555,0.84655,0.85,0.83015,0.85719,0.85019,0.84718,0.89779,0.85679,0.8329,0.81414,0.78571,0.85068,0.7599,0.75996,0.79188,0.84146,0.74952,0.85591,0.76776,0.8252,0.67852,0.81122,0.72763,0.78769,0.64007,0.78479,0.70979,0.80213,0.82143,0.76553,0.61237,0.57144,0.68078,0.75741,0.67422,0.78775,0.69829,0.6843,0.51594,0.63576,0.42431,0.51564,0.32589,0.53184,0.6411,0.46986,0.47087,0.30502,0.52125,0.39817,0.48631,0.068995,0.27459,0.48209,0.35086,0.37131,0.43071,0.27052,0.21124,0.26154,0.21162,0.44759,0.27833,0.27076,0.21948,0.1409,0.13253,0.24146,0.3213,0.14768,0.14861,0.18758,0.12501,0.14713,0.070403,0.1129,0.12062,0.17031,0.076192,-0.24779,0.2936,0.14276,-0.052028,0.12022,0.29694,0.25472,0.28568,0.31724,-0.29842,0.23426,0.29496,0.12727,0.0037068,-0.061742,-0.055185,0.23063,-0.063739,0.059321,-0.051543,0.047583,0.1814,-0.048075,-0.028512,0.081202,0.29466,0.16204,-0.0282,-0.049191,-0.037227,0.16232,-0.16325,0.13482,0.13624,-0.1655,-0.020213,-0.1649,-0.20055,0.052002,-0.39103,0.10201,-0.10526,0.11533,0.13317,-0.087794,-0.024056,-0.040033,0.11642,-0.024116,-0.1449,-0.075994,0.18732,-0.18873,-0.077296,-0.061936,-0.10063,0.20666,-0.012638,-0.018653,0.0047308,-0.083732,-0.26073,0.14255,0.014654,-0.1639,0.078794,-0.00057783,0.022996,0.047853,0.026055,-0.17772,-0.26506,0.016758,0.084213,-0.079554,0.16114,-0.084418,-0.32768,-0.11688,-0.027418,-0.26992,0.10848,0.0014388,-0.15843,0.10309,0.19782
9,0.82954,0.82947,0.79041,0.8358,0.80341,0.77453,0.79251,0.78973,0.82701,1,0.81392,0.73911,0.75616,0.81146,0.79725,0.84141,0.84047,0.86437,0.84832,0.82481,0.83719,0.83646,0.86129,0.79366,0.81474,0.81232,0.81374,0.83864,0.8125,0.85082,0.74565,0.796,0.75588,0.83085,0.76425,0.77814,0.78753,0.72854,0.70086,0.75711,0.72134,0.68432,0.69354,0.70924,0.70482,0.74741,0.77032,0.67563,0.65041,0.54891,0.58323,0.77523,0.67296,0.69895,0.57442,0.60523,0.58779,0.6547,0.43036,0.59527,0.30206,0.62691,0.61532,0.36002,0.59952,0.24493,0.6092,0.38104,0.39092,-0.13851,0.34262,0.43253,0.28486,0.38441,0.28403,0.2515,0.14132,0.39964,0.21388,0.17828,0.2967,0.18746,0.19459,0.31342,0.017172,0.32806,0.4684,0.135,0.15062,0.21127,0.12865,0.10281,-0.011215,0.027769,0.042526,0.23681,0.22758,-0.17034,0.18965,0.051129,-0.097139,0.12103,0.19677,0.29118,0.17559,0.32732,-0.25674,0.21743,0.34569,0.082907,0.16458,-0.081263,-0.15994,0.13329,-0.014134,0.1969,-0.013432,-0.036944,0.16027,-0.051112,-0.1149,0.0022338,0.24391,0.16726,-0.0051715,-0.082932,0.015228,-0.0042789,-0.25435,0.083356,0.17848,-0.069464,-0.11117,-0.089265,-0.23812,0.052191,-0.21901,-0.015835,-0.22066,0.074641,0.10431,-0.10138,-0.12241,-0.036617,0.16699,-0.044382,-0.13302,0.076662,0.16219,-0.22325,-0.072455,0.046249,-0.28952,0.23665,0.093594,-0.11186,-0.073235,0.059596,-0.24859,0.21264,0.036617,-0.15471,0.067479,0.15022,-0.15355,0.043519,0.015121,-0.15653,-0.24015,0.032384,0.12858,-0.0066148,0.22672,-0.095172,-0.45358,-0.21079,0.046364,-0.07531,-0.015743,-0.025924,-0.12355,0.066228,0.10386
