,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,1,0.92407,0.91066,0.90157,0.85753,0.88281,0.88627,0.82396,0.86004,0.84261,0.86202,0.85925,0.86556,0.86099,0.87512,0.82392,0.85454,0.85056,0.73162,0.83548,0.83443,0.81712,0.83909,0.71675,0.80229,0.85311,0.72876,0.7453,0.73234,0.66217,0.77414,0.57937,0.62802,0.65008,0.54761,0.82728,0.56065,0.41481,0.54986,0.39133,0.58081,0.47275,0.24657,0.43856,-0.046945,0.31321,0.12938,0.3428,0.14643,0.34372,0.058674,0.34044,0.13257,0.11637,-0.093091,0.070879,0.075545,-0.021669,-0.22751,-0.31228,0.19679,-0.24984,-0.0022271,0.19169,-0.15741,0.18475,-0.2339,-0.18445,-0.24028,-0.31015,-0.19782,-0.087678,-0.22129,-0.3235,-0.14009,0.094125,-0.20178,-0.11056,-0.022296,-0.10538,-0.082845,0.0229,0.09169,0.058445,-0.1044,-0.18676,-0.17506,-0.13314,-0.13902,-0.0016686,0.22654,-0.4515,-0.23919,0.057535,0.19768,0.047246,0.1154,0.074826,-0.088381,-0.014831,0.090499,0.21161,0.078193,0.043312,-0.034162,0.30069,0.10232,-0.41821,-0.00040553,0.1307,0.13794,0.081755,-0.074543,0.46079,0.1624,0.25477,0.20675,0.017429,0.21419,-0.031224,0.154,-0.073993
1,0.92407,1,0.88786,0.85983,0.85567,0.86813,0.84085,0.88117,0.88159,0.83163,0.85397,0.81875,0.80441,0.86241,0.83958,0.84027,0.84282,0.81206,0.74788,0.83637,0.77271,0.81689,0.78387,0.7263,0.73307,0.83827,0.67981,0.70818,0.72326,0.67525,0.64111,0.55974,0.63102,0.64666,0.64082,0.74737,0.58198,0.35936,0.56004,0.48664,0.54889,0.42591,0.27766,0.52232,-0.071831,0.34789,0.15612,0.36446,0.12315,0.30906,0.029565,0.37054,0.16327,0.090429,-0.20727,0.095568,0.13509,0.013661,-0.17054,-0.32929,0.11161,-0.14032,0.0024546,0.24065,-0.15726,0.17306,-0.25052,-0.11252,-0.20653,-0.21748,-0.20586,-0.03046,-0.20678,-0.40016,-0.25426,0.085086,-0.26336,-0.12899,-0.099317,-0.18651,-0.026805,0.041766,-0.031589,-0.041096,-0.12593,-0.17957,-0.18432,-0.26201,-0.14777,-0.0062422,0.1825,-0.39626,-0.23434,0.088052,0.065593,0.069118,0.089036,0.046976,-0.16613,-0.00035739,0.14219,0.20819,0.068799,-0.020727,0.0036812,0.3205,0.037485,-0.486,0.10278,0.094206,0.12176,0.058543,-0.084675,0.43489,0.090126,0.22656,0.22222,0.10651,0.12859,-0.0033481,0.20059,-0.15945
2,0.91066,0.88786,1,0.87263,0.84565,0.89625,0.90952,0.8302,0.88961,0.85968,0.86511,0.87251,0.84606,0.89221,0.83736,0.8166,0.8822,0.86602,0.68021,0.88302,0.81869,0.79468,0.81814,0.70399,0.79393,0.7573,0.75158,0.68055,0.75267,0.71101,0.67108,0.57305,0.69545,0.7444,0.50422,0.7226,0.61819,0.47206,0.60664,0.55887,0.45922,0.51983,0.26888,0.38512,0.017578,0.29196,0.1541,0.35325,0.29629,0.36948,0.043887,0.36117,0.22996,0.14194,-0.11494,0.081175,0.15601,-0.1414,-0.1513,-0.23145,0.16125,-0.32495,-0.016066,0.17623,-0.16046,0.10677,-0.22247,-0.12445,-0.28449,-0.28553,-0.088304,0.076399,-0.16395,-0.28082,-0.10115,0.21353,-0.06314,-0.16183,-0.12909,0.023751,0.028148,0.005908,0.00028649,0.074304,-0.0013168,-0.1363,-0.18731,-0.077076,-0.12796,0.012375,0.26976,-0.37027,-0.28599,-0.055838,0.10032,0.028477,0.12776,0.1497,-0.14878,-0.053117,0.079719,0.10464,0.075973,-0.022207,-0.09853,0.36268,0.1517,-0.47628,0.072014,0.10637,0.18672,-0.088287,-0.025272,0.39318,0.1708,0.24041,0.15403,0.12269,0.13421,0.067608,0.25756,-0.056654
3,0.90157,0.85983,0.87263,1,0.80048,0.86463,0.84759,0.77492,0.79598,0.80814,0.84269,0.84978,0.84884,0.86561,0.74787,0.81961,0.85418,0.78292,0.7258,0.88986,0.75589,0.72432,0.77135,0.64255,0.75346,0.71228,0.69224,0.71322,0.79514,0.63329,0.76049,0.65112,0.59098,0.63653,0.57239,0.80437,0.64074,0.45259,0.51368,0.44312,0.47801,0.50597,0.31507,0.32805,0.04602,0.29148,0.14099,0.2579,0.272,0.30142,0.047198,0.23862,0.10938,0.13947,-0.13701,0.13612,0.11977,-0.13359,-0.19362,-0.28492,0.18511,-0.20458,-0.029381,0.12692,-0.19436,0.094472,-0.25089,-0.092812,-0.19807,-0.28541,-0.20138,0.0067256,-0.23669,-0.36111,-0.13532,0.069967,-0.17926,-0.042492,0.027208,-0.0067461,-0.058372,0.094382,0.14626,0.086045,-0.12132,-0.16828,-0.15005,-0.12528,-0.13127,0.0081489,0.30889,-0.46273,-0.40485,-0.0048422,0.073835,-0.046271,0.18831,0.069898,-0.11733,0.098268,0.12123,0.074096,0.075996,0.078153,-0.022412,0.21766,0.035579,-0.37257,0.10821,0.074882,0.10996,0.057465,-0.099357,0.46643,0.10584,0.31888,0.16704,0.096977,0.13519,-0.035441,0.20417,-0.0096517
4,0.85753,0.85567,0.84565,0.80048,1,0.86658,0.86864,0.76973,0.85265,0.77216,0.82765,0.78844,0.79147,0.83114,0.83831,0.80674,0.75315,0.84156,0.6979,0.7939,0.8065,0.76344,0.81621,0.63025,0.78,0.81315,0.6679,0.65549,0.78364,0.69598,0.58561,0.5679,0.66566,0.65524,0.452,0.73067,0.57582,0.43125,0.47611,0.43133,0.44386,0.54322,0.29675,0.41037,0.0087108,0.39688,0.33745,0.42019,0.21874,0.22405,0.1457,0.33555,0.29582,0.17393,-0.24687,0.035923,0.11612,-0.015891,-0.16282,-0.32492,0.038412,-0.26405,0.067357,0.20746,-0.20491,0.071688,-0.19209,-0.18588,-0.20806,-0.13631,-0.1247,-0.030518,-0.2043,-0.25505,-0.23449,0.1526,-0.21295,-0.055056,-0.13893,-0.10838,-0.066645,0.076439,0.071816,-0.0022321,-0.078433,-0.049438,-0.23247,-0.20952,-0.16258,-0.045713,0.30494,-0.39703,-0.21225,-0.076655,0.010145,-0.028591,0.061283,0.17364,-0.18823,-0.084357,0.014813,0.10673,-0.043802,-0.10474,-0.15331,0.35005,0.072543,-0.45589,0.049473,0.19029,0.15797,0.056293,0.13675,0.40323,0.14201,0.26696,0.27393,0.035971,0.16367,0.13938,0.13337,-0.031141
5,0.88281,0.86813,0.89625,0.86463,0.86658,1,0.84816,0.82702,0.85175,0.85095,0.84671,0.87286,0.83305,0.84617,0.80986,0.79435,0.82521,0.83304,0.67099,0.85045,0.79904,0.81468,0.81463,0.77995,0.79822,0.79864,0.6844,0.72471,0.7344,0.63932,0.67891,0.63112,0.61791,0.6493,0.52228,0.77876,0.59023,0.42175,0.46245,0.45318,0.49621,0.50414,0.33341,0.39983,0.12186,0.38279,0.17083,0.45005,0.21417,0.31315,0.076664,0.33238,0.14465,0.097825,-0.20824,0.079958,0.077141,-0.0072652,-0.10903,-0.2923,0.10971,-0.28362,0.07439,0.17056,-0.1284,0.017655,-0.12611,-0.10545,-0.25361,-0.28324,-0.086573,0.01993,-0.099296,-0.31039,-0.09473,0.14779,-0.14463,-0.065927,-0.045689,-0.14882,-0.096206,0.11225,-0.0044583,0.11915,-0.069481,-0.17395,-0.29705,-0.11737,-0.16329,0.07061,0.27833,-0.5141,-0.27321,-0.063496,0.043061,-0.08095,0.2467,0.042285,-0.021615,-0.062103,-0.031709,0.05894,-0.031223,-0.19336,-0.031008,0.28195,0.031141,-0.55448,0.085667,0.073519,0.15018,0.076098,-0.095941,0.39402,0.14738,0.27509,0.17798,0.0086816,0.20381,0.11606,0.17882,-0.063181
6,0.88627,0.84085,0.90952,0.84759,0.86864,0.84816,1,0.80037,0.88418,0.83042,0.81908,0.86146,0.82804,0.8478,0.86052,0.78138,0.84377,0.87007,0.68766,0.79636,0.81397,0.78834,0.84221,0.64522,0.82346,0.72809,0.69881,0.71706,0.79281,0.70714,0.72493,0.59144,0.63267,0.69035,0.43597,0.71267,0.60782,0.44975,0.55725,0.49855,0.35868,0.55145,0.19339,0.35129,-0.017889,0.25198,0.18317,0.33038,0.2876,0.32615,0.10413,0.34403,0.27458,0.081148,-0.079313,-0.0077331,0.035414,-0.12169,-0.18372,-0.2858,0.23423,-0.32121,-0.061981,0.093724,-0.098498,0.031494,-0.24475,-0.098874,-0.21688,-0.24146,-0.067596,0.044516,-0.10118,-0.27017,-0.21986,0.16762,-0.10716,-0.2216,-0.13495,-0.083096,-0.0031451,-0.023688,0.14659,0.20508,0.026861,-0.095587,-0.21551,-0.097017,-0.17035,0.04087,0.32737,-0.37006,-0.32259,-0.12309,0.13194,-0.052653,0.075092,0.15145,-0.14618,-0.11472,0.12852,0.22287,0.12398,0.0088918,-0.050556,0.30651,0.14495,-0.40622,0.041324,0.18607,0.11724,0.0033581,0.090568,0.37766,0.17517,0.26418,0.28287,0.071106,0.15353,0.11449,0.28025,-0.024362
7,0.82396,0.88117,0.8302,0.77492,0.76973,0.82702,0.80037,1,0.82593,0.78444,0.78482,0.86928,0.77672,0.78706,0.7652,0.76777,0.83106,0.85699,0.72312,0.75998,0.72728,0.75049,0.77486,0.63936,0.69876,0.73717,0.61638,0.68849,0.71441,0.58833,0.64167,0.57783,0.50399,0.57758,0.63793,0.67337,0.46081,0.40856,0.53773,0.47582,0.47168,0.33987,0.32556,0.53433,-0.048313,0.37631,0.19532,0.27242,0.022123,0.34491,0.064176,0.3864,0.25767,0.15715,-0.12953,0.079158,0.016988,-0.010774,-0.083674,-0.21278,0.070169,-0.10038,0.024135,0.14062,-0.035712,0.20059,-0.10136,-0.056401,-0.10523,-0.13125,-0.10451,0.061452,-0.12944,-0.29403,-0.11986,0.17971,-0.21126,-0.13119,-0.0016089,-0.15345,-0.040898,0.034284,-0.028572,-0.039567,-0.060606,-0.21353,-0.16242,-0.28194,-0.12467,-0.011282,0.2154,-0.30422,-0.14763,-0.10883,0.076159,-0.027704,0.18696,-0.032359,-0.21213,-0.11473,0.1038,0.28207,0.13912,-0.015836,-0.072927,0.19864,0.036914,-0.52135,0.1111,0.041435,0.059835,0.13574,-0.10917,0.31657,0.19415,0.22181,0.24814,0.08408,0.1415,0.064955,0.24432,-0.04455
8,0.86004,0.88159,0.88961,0.79598,0.85265,0.85175,0.88418,0.82593,1,0.79024,0.84139,0.82863,0.84582,0.86793,0.84136,0.73753,0.81895,0.82867,0.70294,0.76308,0.82529,0.729,0.77515,0.70607,0.78034,0.73795,0.71579,0.6539,0.727,0.62932,0.64145,0.52059,0.67029,0.70215,0.53578,0.70136,0.54963,0.4755,0.56078,0.45368,0.48528,0.43959,0.25961,0.38749,-0.066503,0.31228,0.19766,0.33141,0.30343,0.41141,0.12879,0.34878,0.33737,0.097768,-0.11719,0.12817,0.090388,-0.12322,-0.17964,-0.20949,0.12963,-0.22978,0.039737,0.13847,-0.16461,0.17974,-0.21069,-0.11287,-0.12998,-0.33549,-0.073243,0.052139,-0.20101,-0.28294,-0.14187,0.16511,-0.2751,-0.14498,-0.16791,-0.047398,0.062722,0.052721,-0.10874,-0.010152,-0.060705,-0.16303,-0.23243,-0.15012,-0.14918,0.019613,0.23205,-0.33297,-0.24769,-0.057083,0.013514,-0.064892,0.129,0.10177,-0.17025,-0.030717,0.1668,0.28109,0.054024,-0.052297,0.0732,0.37691,0.18461,-0.58457,0.13502,0.1336,0.19235,-0.0042997,-0.0041759,0.29473,0.23334,0.14962,0.36338,0.024981,0.1389,-0.0013126,0.25787,-0.14026
9,0.84261,0.83163,0.85968,0.80814,0.77216,0.85095,0.83042,0.78444,0.79024,1,0.82418,0.77621,0.82031,0.80898,0.80015,0.7673,0.79945,0.82644,0.65813,0.775,0.6652,0.76952,0.66552,0.61684,0.73343,0.6949,0.56383,0.66256,0.72033,0.72016,0.6688,0.49432,0.60913,0.6393,0.45462,0.74091,0.45577,0.4654,0.43319,0.3988,0.41899,0.52081,0.27191,0.40536,0.0018218,0.32441,0.10133,0.41337,0.15272,0.26886,-0.047821,0.41339,0.26454,0.058474,-0.10266,0.057672,0.068553,-0.01246,-0.11313,-0.24071,0.12384,-0.38055,-0.059035,0.16066,-0.12464,0.028764,-0.19873,-0.12949,-0.16043,-0.37584,-0.047167,0.025198,-0.046863,-0.34289,-0.26147,0.13901,-0.10982,-0.16558,-0.033762,-0.16051,-0.19975,-0.18378,-0.008216,0.052753,0.14871,-0.20364,-0.26179,-0.1422,0.011869,0.17433,0.15699,-0.37577,-0.29673,-0.057037,0.060888,-0.016053,-0.035378,0.16038,0.052545,-0.087023,0.1512,0.17079,0.11314,0.072984,-0.14192,0.24126,0.002984,-0.41681,0.11314,0.15684,0.22273,-0.0425,0.0027657,0.38347,0.13252,0.13996,0.18638,-0.014204,0.17677,0.030326,0.41851,-0.1373
