,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0,1,0.72807,0.73133,0.79274,0.71735,0.70921,0.74184,0.78319,0.70242,0.75568,0.66946,0.80035,0.54469,0.63106,0.5597,0.45306,0.47706,0.37722,0.26839,0.53148,0.38541,0.16137,-0.0092653,0.18587,-0.045902,0.056876,-0.079468,-0.09677,0.1505,-0.25492,-0.3301,-0.24354,-0.30672,0.011349,-0.23512,-0.23404,-0.27872,-0.29534,-0.36552,-0.2376,-0.26949,-0.13703,-0.34202,0.022566,-0.39979,-0.10811,-0.3374,-0.30206,-0.39021,-0.18817,-0.43204,-0.20471,-0.22618,-0.15868,-0.094317,-0.37796,-0.027512,-0.15427,0.026995,-0.14453,-0.077147,0.038489,-0.2269,-0.11984,-0.16131,0.018756,-0.11592,0.15509,-0.0087467,-0.018795,-0.045678,-0.27505,0.23468,-0.13411,-0.025725,-0.23043,-0.02535,-0.035922,-0.015726,-0.15718,0.29288,-0.064966,0.007597,-0.065879,0.16624,0.20026,0.065364,0.13436,0.14307,0.18298,0.25647,0.058827,0.15304,-0.14713,0.16771,0.16244,-0.033986,0.04792,0.090039,-0.11478,0.191,0.29844
1,0.72807,1,0.73642,0.77728,0.68932,0.80244,0.79151,0.76254,0.71033,0.75602,0.43167,0.78776,0.56307,0.55481,0.43507,0.23088,0.46638,0.19721,0.39994,0.53187,0.21099,0.33217,0.019216,0.28988,0.073741,0.035066,-0.23431,-0.025547,0.21492,-0.21596,-0.20205,-0.23623,-0.36056,0.15932,-0.14971,-0.20313,-0.32382,-0.31663,-0.34381,-0.25868,-0.36313,-0.41708,-0.33498,0.04717,-0.19875,-0.11125,-0.28024,-0.15766,-0.36766,-0.33172,-0.36627,-0.086316,-0.062149,-0.010609,-0.29154,-0.48073,0.074792,-0.089663,0.19899,-0.11463,-0.041943,0.018997,-0.16084,-0.011378,-0.2695,0.10687,0.10677,0.0058456,0.07795,0.13223,-0.29096,-0.21227,0.32079,-0.21664,-0.17734,-0.099906,0.046165,-0.088768,0.32577,0.03931,0.21702,-0.091903,-0.0080192,0.02294,0.15409,0.20529,-0.06686,0.067116,0.021886,0.06476,0.1211,0.085513,0.12676,-0.10212,0.21199,0.20526,0.075339,0.11183,0.1582,-0.089371,0.25945,0.134
2,0.73133,0.73642,1,0.73774,0.73853,0.67658,0.78357,0.71167,0.70727,0.61088,0.57669,0.77402,0.52515,0.67066,0.50411,0.43519,0.48703,0.35553,0.36719,0.45476,0.27294,0.30391,0.074473,0.12233,0.0091324,0.078838,0.035132,-0.1341,0.21864,-0.30894,-0.15499,-0.14957,-0.36883,-0.084338,-0.13162,-0.2328,-0.2947,-0.25831,-0.24666,-0.19062,-0.22686,-0.2779,-0.24282,-0.11351,-0.26426,-0.13237,-0.23409,-0.14,-0.31713,-0.20231,-0.32515,-0.092171,0.079024,-0.0028349,-0.20106,-0.4789,0.1299,-0.19833,0.0062422,-0.09812,-0.12043,-0.017631,-0.17656,-0.098169,-0.079061,0.010206,-0.069749,0.077744,0.10234,-0.041097,-0.23024,-0.24636,0.146,-0.31288,-0.089725,-0.03072,0.011695,-0.0817,-0.039021,-0.064965,0.21048,-0.19016,-0.010902,0.036214,0.10515,0.19048,0.075072,0.077252,0.33211,0.079776,0.082131,0.03577,0.17624,-0.06084,0.18409,0.01009,-0.065657,-0.10498,0.088712,-0.22527,0.090996,0.22511
3,0.79274,0.77728,0.73774,1,0.74284,0.68217,0.76283,0.67836,0.66378,0.66154,0.5659,0.77306,0.61903,0.65268,0.43213,0.40134,0.52306,0.23213,0.47357,0.48147,0.37773,0.2883,0.026949,0.10468,-0.11214,0.008124,-0.046658,0.013122,0.22935,-0.19299,-0.15277,-0.30842,-0.24092,0.098295,-0.11796,-0.30326,-0.18282,-0.35737,-0.35252,-0.26556,-0.1988,-0.25412,-0.31382,0.11254,-0.23875,-0.13412,-0.19658,-0.33613,-0.34238,-0.34101,-0.19451,-0.057302,-0.097788,-0.067405,-0.16553,-0.4569,0.097537,-0.27938,0.15028,-0.074462,-0.16153,0.0046665,-0.23153,-0.095516,-0.20356,-0.02301,0.018743,-0.042456,0.037217,0.016853,-0.22708,-0.25463,0.22389,-0.064374,-0.095703,-0.11584,-0.062339,0.041433,0.083415,-0.11776,0.34938,-0.19322,-0.20523,0.018855,0.11166,0.11312,0.09637,0.082075,0.020381,0.25773,0.1729,0.18445,0.095963,0.080587,0.19407,0.10209,-0.098272,-0.0024221,0.035088,-0.046726,-0.029594,0.35454
4,0.71735,0.68932,0.73853,0.74284,1,0.65433,0.70274,0.61975,0.59483,0.6187,0.51176,0.61654,0.43957,0.59512,0.49162,0.28038,0.47238,0.30371,0.18505,0.38842,0.29496,0.27161,0.026699,0.12376,-0.024721,-0.19263,0.060092,0.1504,0.11989,-0.39415,-0.13177,-0.36829,-0.25335,-0.05365,-0.13665,-0.066633,-0.28252,-0.3348,-0.15471,-0.29676,-0.19932,-0.32394,-0.22897,-0.012635,-0.15986,-0.18314,-0.36446,-0.22786,-0.45037,-0.22817,-0.16358,-0.15652,-0.10278,-0.026574,-0.16715,-0.41982,-0.019019,-0.15351,0.018029,-0.15966,-0.14083,-0.041432,-0.09274,-0.12297,-0.069141,0.0020735,0.094331,0.097229,0.10311,-0.094309,-0.14976,-0.13571,0.10117,-0.1967,-0.24425,-0.11704,-0.04561,-0.010556,0.11169,-0.2398,0.26408,-0.10941,-0.20632,-0.05581,0.11314,0.17468,0.034088,0.0078591,0.021266,0.15587,0.14588,-0.14194,0.15692,-0.05809,0.02199,0.10301,-0.048338,-0.079253,0.14937,0.038427,-0.080619,0.11594
5,0.70921,0.80244,0.67658,0.68217,0.65433,1,0.71567,0.6728,0.76206,0.64884,0.56777,0.69622,0.51274,0.54966,0.36503,0.29702,0.43568,0.16677,0.43035,0.50949,0.14353,0.20664,0.080274,0.18697,0.11608,-0.051688,-0.18718,-0.17365,0.13611,-0.42786,-0.056161,-0.12455,-0.36371,0.031197,-0.12088,-0.25005,-0.41344,-0.20206,-0.14222,-0.34099,-0.26419,-0.34697,-0.272,-0.078747,-0.28674,-0.07781,-0.36029,-0.20597,-0.33205,-0.12146,-0.28375,-0.2021,-0.0015791,-0.082546,-0.16301,-0.43416,-0.079797,-0.14014,0.075265,-0.038683,-0.10205,-0.017121,-0.073018,-0.040624,-0.16615,0.025904,0.20468,0.021272,0.095358,-0.14015,-0.22706,-0.16321,0.13764,-0.10844,-0.17138,-0.26697,-0.075197,0.024541,0.22517,-0.08211,0.13352,-0.12764,-0.083193,-0.056525,0.10296,0.18646,-0.11587,0.14902,0.07879,0.091216,0.16674,0.061726,0.28311,-0.06746,0.20488,0.050777,0.064701,-0.049968,0.22826,-0.03735,0.10339,0.33239
6,0.74184,0.79151,0.78357,0.76283,0.70274,0.71567,1,0.76469,0.6614,0.73075,0.51868,0.78509,0.56994,0.44414,0.52817,0.37082,0.41326,0.32615,0.35511,0.66764,0.36048,0.31548,-0.021897,0.11688,0.0011882,-0.046762,-0.19009,0.014335,0.26975,-0.32929,-0.16868,-0.23175,-0.3017,-0.069129,-0.13218,-0.33936,-0.23018,-0.27492,-0.2383,-0.28782,-0.19831,-0.31459,-0.33444,0.066933,-0.31007,-0.18395,-0.30656,-0.18024,-0.43038,-0.28223,-0.29441,-0.15322,-0.12033,0.048038,-0.2547,-0.40808,0.076172,-0.12741,0.056758,-0.17974,-0.015164,-0.06861,-0.1657,-0.070692,-0.18822,0.016481,0.085787,0.066437,-0.0046036,0.063721,-0.10924,-0.21932,0.30338,-0.19615,-0.069591,-0.1054,-0.077117,-0.10046,0.17405,0.0084113,0.34405,-0.15399,-0.0074558,0.032587,0.1134,0.26614,0.09369,-0.052564,0.038826,-0.025386,0.27608,0.087343,0.17429,0.013536,0.21655,0.11997,-0.013634,0.04601,0.12321,-0.13994,0.071398,0.2782
7,0.78319,0.76254,0.71167,0.67836,0.61975,0.6728,0.76469,1,0.71035,0.74247,0.61045,0.7879,0.59507,0.46372,0.46193,0.44492,0.50553,0.21755,0.31607,0.57822,0.301,0.1403,-0.049912,0.15233,-0.01319,0.012639,-0.12024,0.021985,-0.04529,-0.28874,-0.27069,-0.27781,-0.2224,0.06326,-0.28633,-0.31735,-0.36416,-0.33809,-0.35306,-0.27328,-0.36887,-0.1878,-0.47165,-0.080799,-0.46622,-0.21857,-0.3006,-0.14319,-0.33492,-0.28398,-0.54468,-0.24178,-0.22807,-0.16368,-0.11164,-0.44728,0.081438,-0.16331,0.13413,-0.15383,0.029351,0.066958,-0.19478,-0.07767,-0.16572,-0.061629,0.036572,0.047989,-0.072508,-0.01101,-0.16063,-0.18799,0.30479,-0.1918,-0.07348,-0.21356,0.039388,-0.15938,0.093526,-0.017895,0.27407,-0.29305,0.18036,0.01025,0.055902,0.065187,0.074027,0.061956,0.11003,0.22307,0.12873,0.090036,-0.030417,-0.17082,0.24228,0.11845,-0.1252,-0.090743,0.19425,0.0018878,0.19018,0.21135
8,0.70242,0.71033,0.70727,0.66378,0.59483,0.76206,0.6614,0.71035,1,0.67806,0.58383,0.76621,0.60069,0.52336,0.43366,0.25105,0.62721,0.1569,0.32207,0.40913,0.1727,0.27276,0.14548,0.039899,0.27311,0.09222,0.030786,-0.042088,0.053256,-0.23135,-0.24083,-0.0040549,-0.18202,0.14622,-0.19283,-0.16159,-0.33232,-0.21135,-0.21159,-0.16767,-0.14732,-0.36729,-0.35601,0.069648,-0.29729,-0.057885,-0.23814,-0.040795,-0.18553,-0.20459,-0.3779,-0.22665,0.090447,-0.15554,-0.16594,-0.35069,0.069586,-0.16153,0.12785,-0.11911,-0.13125,0.083499,0.0093386,-0.2125,-0.14716,-0.053962,-0.011295,-0.0072585,0.070447,-0.13239,-0.24374,0.062094,0.32348,-0.14135,-0.16128,-0.30328,0.042188,-0.083613,0.13496,-0.044152,0.3631,-0.097494,-0.040476,-0.0029846,0.17119,0.22895,-0.1148,0.19781,0.1306,0.30258,0.23851,0.062676,0.044156,-0.10279,0.20936,0.141,-0.029547,-0.16008,0.2864,0.0047021,0.18311,0.33934
9,0.75568,0.75602,0.61088,0.66154,0.6187,0.64884,0.73075,0.74247,0.67806,1,0.50298,0.63038,0.55929,0.39373,0.52905,0.32164,0.45836,0.2553,0.29043,0.45031,0.32055,0.2563,0.032398,0.21343,0.053607,-0.0066017,-0.16932,-0.019355,0.035013,-0.32506,-0.36568,-0.1056,-0.12134,0.038864,-0.092225,-0.042246,-0.22761,-0.13323,-0.11444,-0.31948,-0.21049,-0.34492,-0.32611,0.081842,-0.24575,0.014518,-0.32918,-0.086886,-0.4026,-0.23767,-0.31728,-0.36404,-0.1578,-0.13411,-0.22728,-0.33086,0.077565,-0.18318,0.10663,-0.053873,-0.017312,-0.0041452,-0.15413,-0.078541,-0.29798,0.064944,0.094137,0.062287,0.1268,0.031227,-0.15121,-0.25229,0.46143,-0.18635,0.0041352,-0.25164,0.019672,-0.15531,0.21455,-0.062935,0.40747,-0.066764,0.23585,-0.063808,0.24174,0.15642,0.16668,-0.0064442,0.10334,0.12867,0.13257,0.012265,0.074318,-0.24117,0.33076,0.20518,0.0037114,0.11921,0.12531,-0.19401,0.19334,0.17518
