,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0,1,0.91006,0.92918,0.88522,0.90908,0.84625,0.90315,0.90856,0.87145,0.929,0.89463,0.86912,0.89452,0.84339,0.81173,0.86104,0.81294,0.83234,0.79754,0.8588,0.86944,0.78352,0.77908,0.78188,0.83473,0.81262,0.7286,0.68996,0.77757,0.63526,0.60512,0.69078,0.63743,0.5284,0.46332,0.57122,0.50181,0.55867,0.32721,0.5888,0.40899,0.515,0.24945,0.20432,0.51423,0.2329,0.28388,-0.0901,0.20517,0.16274,0.041351,0.16706,0.41723,0.094957,0.058651,0.089892,-0.011871,-0.13196,-0.13773,-0.068303,0.18584,-0.14804,-0.34617,-0.16331,-0.23276,-0.081879,-0.28291,0.19067,-0.35913,-0.080019,-0.19369,-0.26442,-0.3878,-0.26201,-0.15927,0.14782,-0.28085,-0.018781,-0.078753,0.021818,-0.0011173,0.029365,0.12823,0.044542,-0.24914,-0.059634,-0.29245,0.050546,-0.09841,0.15445,-0.17279,-0.12941,-0.21388,-0.01454,-0.094876,-0.0071645,0.18113,-0.073614,0.13162,0.017944,0.1675,0.23145,-0.015243,-0.17233,0.11122,0.075209,0.11368,0.061481,0.12677,-0.108,-0.14469,0.21738,-0.0054858,0.21617,0.33836,0.22801,-0.17215,0.056852,0.18206,-0.014535,-0.051713,0.21608,0.081506
1,0.91006,1,0.88484,0.84175,0.86889,0.85396,0.85983,0.8653,0.85714,0.89527,0.86853,0.85782,0.8287,0.80036,0.79652,0.85298,0.85004,0.78238,0.81315,0.85236,0.78938,0.69435,0.73253,0.77029,0.73556,0.78226,0.76919,0.69394,0.75765,0.6722,0.58888,0.68081,0.59727,0.53443,0.51166,0.59115,0.52425,0.53098,0.27286,0.55013,0.36008,0.54878,0.23641,0.28683,0.53734,0.14628,0.34955,-0.092772,0.27658,0.041129,0.0022936,0.15309,0.45939,0.17417,0.07753,0.099349,-0.028615,-0.20386,-0.058721,-0.10251,0.12163,-0.002906,-0.23592,-0.17686,-0.23244,-0.059132,-0.29827,0.19778,-0.27332,-0.099934,-0.19216,-0.18958,-0.28837,-0.30111,-0.10778,0.14794,-0.37878,0.063962,-0.089699,0.063413,0.032137,0.030212,0.067329,0.050711,-0.11907,-0.075852,-0.10918,0.042193,-0.15269,0.22525,-0.27653,-0.12532,-0.26934,-0.035361,-0.01697,0.017098,0.19327,-0.018971,0.06154,0.083118,0.15659,0.18434,0.0048719,-0.12493,-0.093846,0.10384,0.12118,0.14757,0.1765,-0.13201,-0.16837,0.19779,0.0023511,0.23299,0.28832,0.23408,-0.096845,0.004357,0.21495,-0.041683,-0.0767,0.21701,0.077245
2,0.92918,0.88484,1,0.82859,0.88733,0.86688,0.88207,0.82714,0.83719,0.88243,0.84291,0.84149,0.84692,0.82521,0.78857,0.84621,0.81264,0.76516,0.80048,0.87615,0.82505,0.72596,0.74298,0.75633,0.79737,0.79002,0.71607,0.67824,0.69842,0.71786,0.65215,0.66348,0.58221,0.52122,0.51232,0.56229,0.51988,0.48895,0.29986,0.60761,0.49504,0.50339,0.21858,0.21809,0.5825,0.17448,0.27157,-0.089786,0.18161,0.1342,0.09021,0.077438,0.51453,0.10086,0.11799,0.11471,-0.0047276,-0.17541,-0.23489,-0.16765,0.093035,-0.076321,-0.35853,-0.12982,-0.14474,-0.06003,-0.32433,0.24757,-0.34469,-0.16866,-0.19129,-0.27177,-0.37309,-0.25222,-0.087419,0.19897,-0.28283,0.058167,-0.089272,-0.084624,0.0451,-0.0065904,0.054913,0.0097371,-0.19588,-0.010733,-0.1779,0.059442,-0.080078,0.062135,-0.089178,-0.09033,-0.22302,-0.0090001,-0.07684,-0.007595,0.10709,-0.017069,0.021731,0.077869,0.24235,0.18759,-0.0084894,-0.23001,0.079578,0.1587,0.05903,-0.011393,0.1501,-0.14562,-0.21821,0.19223,0.0017961,0.19528,0.34904,0.25936,-0.18362,0.028667,0.23319,-0.1064,-0.096801,0.23983,0.042947
3,0.88522,0.84175,0.82859,1,0.83188,0.81459,0.88998,0.85426,0.84681,0.84873,0.87637,0.84579,0.84824,0.78155,0.81204,0.82453,0.74584,0.78405,0.82845,0.85093,0.77766,0.84555,0.75283,0.75449,0.77496,0.79248,0.63038,0.74306,0.73431,0.65662,0.6118,0.58096,0.64317,0.59461,0.45947,0.49917,0.58031,0.563,0.34235,0.43145,0.36861,0.51664,0.20846,0.24452,0.40162,0.27729,0.20397,-0.064606,0.19136,0.23622,0.1532,0.17416,0.39841,0.099927,0.13662,0.13871,-0.030941,-0.28796,-0.14717,-0.0014042,0.16445,-0.044291,-0.36814,-0.23146,-0.12188,0.017371,-0.14691,0.18605,-0.29724,-0.038279,-0.16982,-0.17636,-0.32982,-0.23447,-0.12623,0.24333,-0.13149,-0.10831,0.048123,0.032857,-0.063469,0.070702,0.27361,0.028498,-0.32161,0.036635,-0.33067,0.060397,-0.13075,0.22669,-0.19173,-0.039057,-0.20923,-0.050625,0.0081927,-0.010978,0.2479,-0.13097,0.084544,0.042949,0.11418,0.29543,-0.0030026,-0.1513,0.12886,0.041149,0.109,0.11022,0.090749,-0.22158,-0.097764,0.090104,-0.0090588,0.080488,0.33115,0.29585,-0.2171,0.0013789,0.24783,-0.0062979,-0.033637,0.12851,0.037906
4,0.90908,0.86889,0.88733,0.83188,1,0.82038,0.88567,0.86894,0.83568,0.88493,0.86566,0.88053,0.83466,0.76742,0.81884,0.85766,0.76384,0.78782,0.76934,0.83177,0.80729,0.72069,0.71604,0.72267,0.82039,0.77305,0.6989,0.63769,0.76783,0.73488,0.69182,0.69472,0.62524,0.43492,0.47908,0.60102,0.52316,0.50816,0.26699,0.44966,0.41704,0.48609,0.2344,0.17394,0.44963,0.16296,0.26539,-0.17564,0.1475,0.092476,0.093526,0.24656,0.36484,0.11857,0.18224,-0.020209,-0.14564,-0.10559,-0.21054,-0.052967,0.039351,-0.094659,-0.27956,-0.23408,-0.18288,-0.12204,-0.32619,0.15885,-0.31748,-0.1139,-0.2481,-0.29186,-0.37793,-0.33295,-0.090644,0.11641,-0.21481,-0.092657,0.024921,0.0075416,0.090622,0.091346,0.20227,0.035215,-0.18921,-0.086926,-0.16803,0.044944,-0.051916,0.14271,-0.1044,-0.24183,-0.25763,-0.071157,-0.040492,-0.035015,0.091863,-0.060385,0.1412,0.044015,0.29728,0.17248,0.059635,-0.32121,0.02906,0.087903,0.083025,0.043588,0.1356,-0.27655,-0.11239,0.2122,0.01328,0.27294,0.34951,0.36145,-0.1631,0.16973,0.16371,0.06397,-0.16401,0.060596,0.077438
5,0.84625,0.85396,0.86688,0.81459,0.82038,1,0.866,0.84135,0.83905,0.79836,0.86721,0.81675,0.84073,0.88327,0.75239,0.86213,0.79697,0.77916,0.79792,0.85733,0.79164,0.72866,0.76349,0.7719,0.69736,0.75869,0.72977,0.71212,0.68226,0.69809,0.66237,0.64235,0.62362,0.52911,0.41549,0.57717,0.56205,0.60534,0.23365,0.50565,0.54738,0.58417,0.18547,0.30001,0.52887,0.21386,0.22452,-0.029559,0.094144,0.16325,-0.06942,0.045837,0.5231,0.0038065,0.14722,0.10166,0.099298,-0.25008,-0.13629,-0.08765,0.026803,0.095128,-0.31566,-0.17084,-0.036738,-0.0049071,-0.17701,0.18842,-0.29362,-0.17649,-0.16299,-0.042386,-0.19186,-0.14661,0.065787,0.12078,-0.22385,0.19946,-0.0066495,-0.059949,0.046391,-0.1068,0.090004,0.062934,-0.2096,0.089036,-0.15396,0.24977,0.033624,0.12814,-0.14975,-0.15297,-0.35753,7.2104e-05,-0.0088782,-0.0090896,0.071773,-0.011905,0.014098,0.18082,0.22937,0.20528,0.10099,-0.17872,-0.04223,0.11922,0.056401,0.16195,0.12396,-0.14838,-0.12926,0.038124,0.013155,0.086814,0.22555,0.24034,-0.18464,0.011329,0.21517,-0.079082,-0.10907,0.27353,-0.030714
6,0.90315,0.85983,0.88207,0.88998,0.88567,0.866,1,0.86582,0.86471,0.86021,0.89321,0.87738,0.85439,0.84135,0.82276,0.86124,0.82824,0.80273,0.79743,0.85119,0.80054,0.81141,0.81462,0.73164,0.80522,0.82004,0.65175,0.71353,0.7688,0.64352,0.64455,0.65557,0.6376,0.47689,0.46475,0.55297,0.57714,0.5593,0.19894,0.49274,0.45233,0.5829,0.15194,0.18167,0.4944,0.20264,0.30108,-0.019863,0.071599,0.14826,0.12734,0.12527,0.4641,0.10055,0.02519,0.036521,0.035721,-0.16465,-0.15067,-0.056804,0.079289,-0.034992,-0.39505,-0.28731,-0.11226,0.043457,-0.30859,0.2067,-0.35352,-0.13232,-0.2028,-0.16819,-0.23373,-0.17951,-0.087756,0.1449,-0.26878,-0.021728,0.049371,-0.12557,-0.031121,0.088931,0.12329,0.033104,-0.24358,-0.066302,-0.26842,0.097723,-0.1113,0.15757,-0.14525,-0.17773,-0.23653,-0.041817,-0.13474,-0.031876,0.16098,-0.098305,0.13269,0.066148,0.20381,0.27188,0.060542,-0.20225,0.039252,0.13162,0.010572,0.12821,0.15012,-0.11433,-0.19497,0.20124,0.047973,0.11094,0.24871,0.26209,-0.19365,0.11961,0.2337,0.054205,-0.016574,0.091371,-0.044266
7,0.90856,0.8653,0.82714,0.85426,0.86894,0.84135,0.86582,1,0.86084,0.85395,0.88455,0.80693,0.86716,0.79433,0.76425,0.85588,0.75604,0.75827,0.80808,0.83542,0.84594,0.75567,0.71064,0.72051,0.81159,0.75368,0.63955,0.72578,0.76167,0.72337,0.603,0.65847,0.60192,0.52956,0.48459,0.50197,0.58996,0.63189,0.25111,0.5545,0.3494,0.55008,0.2759,0.25136,0.44008,0.20112,0.25738,-0.15218,0.21147,0.24032,0.035965,0.13923,0.3873,0.078686,0.15829,0.016058,-0.060178,-0.15924,-0.10825,0.0024743,0.22957,-0.075079,-0.27277,-0.13283,-0.10683,0.032517,-0.29369,0.11629,-0.22828,-0.072626,-0.03467,-0.1207,-0.31843,-0.12886,-0.052555,0.14629,-0.28103,-0.011748,-0.051119,0.095531,-0.074154,-0.008453,0.1594,0.14581,-0.27845,0.055674,-0.23772,0.098515,-0.051161,0.20456,-0.2345,-0.1432,-0.22842,-0.055304,0.07293,-0.06235,0.21533,0.064599,0.13897,0.085646,0.15627,0.23628,0.080312,-0.21488,0.15449,0.031016,0.22644,0.23917,0.16396,-0.10841,-0.13164,0.16522,0.081639,0.19387,0.26198,0.19183,-0.28739,-0.013913,0.20045,-0.09545,-0.097644,0.26661,0.0056784
8,0.87145,0.85714,0.83719,0.84681,0.83568,0.83905,0.86471,0.86084,1,0.81546,0.86319,0.81272,0.85699,0.79764,0.72539,0.81375,0.79501,0.77975,0.75066,0.78799,0.76227,0.76068,0.73392,0.71249,0.78815,0.74481,0.57295,0.59873,0.66145,0.60388,0.61057,0.63554,0.60868,0.52216,0.5161,0.4302,0.56891,0.58994,0.39238,0.44347,0.41432,0.47217,0.12662,0.21311,0.3294,0.30045,0.29692,-0.060518,0.18758,0.080612,0.086312,0.13504,0.49917,0.13838,0.089231,0.13431,-0.024953,-0.16561,-0.057584,-0.065802,0.10353,-0.14953,-0.26309,-0.035556,-0.24851,0.069899,-0.18993,0.1928,-0.28724,-0.19508,-0.13654,-0.14327,-0.21593,-0.14218,-0.082772,0.1364,-0.25681,-0.0087516,-0.074192,0.054984,0.024363,0.069451,0.13104,0.1172,-0.20685,-0.03411,-0.19599,0.073887,-0.075663,0.23952,-0.19074,-0.085854,-0.22147,-0.058527,0.054595,-0.031298,0.22174,-0.073126,0.15777,0.083141,0.20613,0.23698,0.015149,-0.2345,0.07297,0.046431,0.16816,0.11411,0.037816,-0.24739,-0.15658,0.1118,0.034899,0.2833,0.34771,0.073408,-0.16158,0.028709,0.23339,-0.075387,-0.13629,0.18741,0.014485
9,0.929,0.89527,0.88243,0.84873,0.88493,0.79836,0.86021,0.85395,0.81546,1,0.84538,0.85481,0.8738,0.80878,0.78784,0.83489,0.7802,0.76467,0.785,0.80877,0.83327,0.75056,0.74386,0.77425,0.77979,0.81717,0.73696,0.70752,0.72025,0.63193,0.60075,0.58097,0.58875,0.47091,0.41394,0.58336,0.49326,0.57874,0.27348,0.53907,0.40356,0.56564,0.2355,0.21476,0.47726,0.219,0.28182,-0.1093,0.21207,0.10158,0.088153,0.13317,0.38624,0.10102,0.070495,0.11141,-0.080498,-0.2302,-0.18457,-0.12711,0.072273,-0.11521,-0.19844,-0.20268,-0.26449,-0.033034,-0.27232,0.11759,-0.34901,-0.052826,-0.24169,-0.26101,-0.34067,-0.32252,-0.087298,0.014833,-0.28463,-0.067369,-0.059109,-0.074231,-0.10192,0.03135,0.13958,-0.0053332,-0.17039,-0.017388,-0.19523,0.077617,-0.12827,0.16011,-0.20627,-0.19754,-0.22897,-0.0020486,-0.06682,0.021279,0.12595,-0.060942,0.059967,-0.055021,0.123,0.12083,-0.030086,-0.19239,0.021142,0.076483,0.17072,0.071481,0.10824,-0.10274,-0.026174,0.35549,0.01864,0.2448,0.30171,0.22967,-0.15888,0.064405,0.23539,-0.0086506,0.052324,0.24669,0.057987
