,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,1,0.81832,0.8418,0.81673,0.75376,0.85191,0.85788,0.76295,0.83059,0.62228,0.71517,0.70859,0.69325,0.70291,0.52394,0.44783,0.35585,0.213,0.23566,0.54949,0.42712,0.38635,-0.01204,-0.14954,0.10156,0.093155,-0.2007,-0.033128,0.054206,-0.10349,-0.41011,0.01693,-0.088981,0.024442,-0.18823,-0.3186,-0.28597,-0.27236,-0.33857,-0.26024,-0.16072,-0.26561,-0.18869,-0.12224,-0.19814,-0.32605,-0.3418,-0.23388,-0.26571,-0.06072,-0.16692,-0.043506,-0.41889,-0.070081,0.12879,-0.18799,-0.059792,-0.015775,-0.063812,-0.15628,0.055002,-0.27504,-0.3305,-0.059583,0.17738,-0.089307,0.0064019,-0.0055225,-0.087654,-0.0090885,-0.053669,0.12882,0.16334,0.12202,-0.026699,-0.12431,-0.19055,-0.098898,-0.047564,0.057442,-0.047735,-0.0043972,-0.17775,-0.0016176,0.12676,0.018843,0.056563,0.16347,0.087997,0.14835,0.17965,-0.11117,0.18346,-0.092309,-0.062184,-0.071437,0.19807,0.021451,0.23661,0.41885,0.067512,0.26651,0.060814
1,0.81832,1,0.75777,0.79612,0.75956,0.76454,0.7727,0.75323,0.75949,0.654,0.63685,0.6769,0.66012,0.71702,0.58737,0.45678,0.4295,0.29414,0.08546,0.32718,0.27912,0.30839,-0.017613,-0.077034,0.1024,0.088906,-0.2302,0.089911,0.015093,-0.042795,-0.32192,0.056978,-0.15683,-0.030574,-0.20679,-0.22932,-0.2962,-0.13418,-0.25746,-0.44133,-0.21893,-0.16227,-0.22204,-0.21546,-0.2319,-0.3048,-0.31073,-0.20851,-0.24255,-0.19395,-0.34068,0.012183,-0.31838,-0.10609,0.19764,-0.02689,-0.10689,0.021072,-0.16397,-0.15637,0.069637,-0.18456,-0.25521,-0.13572,0.19043,0.022853,0.10627,0.14911,0.031121,-0.18617,0.046783,0.12524,-0.00557,0.15203,-0.10651,-0.18038,-0.20804,-0.11429,-0.13825,0.10795,0.008174,0.0054363,-0.15673,0.081216,0.16402,0.039035,0.091229,0.056929,0.1298,0.14781,0.24832,-0.038696,0.321,-0.021423,-0.0030493,-0.12724,0.14037,0.036901,0.28204,0.46505,0.2279,0.32932,0.017939
2,0.8418,0.75777,1,0.76807,0.79172,0.70397,0.77629,0.72052,0.81614,0.6191,0.61442,0.72583,0.74539,0.65158,0.51637,0.57177,0.34074,0.1529,0.046865,0.55653,0.34914,0.51055,-0.060013,-0.12451,0.11621,0.10341,-0.32553,0.052652,0.093659,-0.31022,-0.26308,0.00086799,-0.25235,0.094429,-0.23148,-0.22633,-0.21747,-0.17846,-0.36905,-0.29924,-0.094484,-0.24008,-0.13892,-0.10348,-0.21333,-0.36122,-0.2165,-0.22184,-0.34651,-0.082954,-0.087575,0.00027411,-0.30812,-0.12077,0.24966,-0.14982,-0.0010746,0.095699,-0.057204,-0.11446,-0.099613,-0.30564,-0.14349,-0.065175,-6.3244e-05,-0.11555,0.067171,0.025052,-0.16134,-0.11184,-0.081091,0.16532,0.032004,-0.013119,-0.022648,-0.087997,-0.063514,-0.14004,-0.048074,0.039454,0.072723,0.016308,-0.13061,0.091694,0.24654,-0.14303,0.035655,0.23198,0.093738,0.31082,0.017651,-0.15125,0.11751,-0.018224,0.010668,-0.10958,0.080712,0.090259,0.25942,0.47274,-0.011526,0.19916,0.035812
3,0.81673,0.79612,0.76807,1,0.78872,0.74572,0.80608,0.73036,0.80426,0.6035,0.71605,0.65082,0.74565,0.65545,0.4241,0.46052,0.40972,0.32136,0.28271,0.4334,0.356,0.36067,-0.04304,0.020263,0.1236,0.18488,-0.1717,0.15528,0.10466,-0.13158,-0.2152,0.0032215,-0.14105,-0.11864,-0.19086,-0.28348,-0.30293,-0.25729,-0.36527,-0.32128,-0.16025,-0.18501,-0.27645,-0.1496,-0.12856,-0.41165,-0.25597,-0.11216,-0.32692,-0.1422,-0.14958,-0.0067465,-0.24189,-0.050746,0.20322,-0.082941,-0.19521,0.073307,-0.10716,-0.081781,0.046121,-0.25801,-0.34018,0.049042,0.11035,-0.087629,0.0078668,0.087841,-0.022321,-0.15357,0.053103,0.0019511,0.021844,0.13016,-0.18268,-0.23867,-0.21349,-0.11451,-0.15433,0.19108,0.1148,-0.03074,0.033433,0.017111,0.28996,-0.099332,0.033051,0.11813,-0.086154,0.31865,0.14244,0.02403,0.15995,-0.0015621,0.026681,-0.26046,0.11247,-0.019277,0.30478,0.25617,0.13761,0.16415,0.074905
4,0.75376,0.75956,0.79172,0.78872,1,0.67186,0.77981,0.7515,0.80539,0.51167,0.54963,0.70365,0.69936,0.63818,0.63115,0.51345,0.28584,0.33988,0.19995,0.3942,0.31585,0.29541,-0.042293,-0.050248,0.20293,0.11515,-0.40935,0.20623,0.073092,-0.07095,-0.15012,0.16505,-0.1445,-0.068008,-0.24741,-0.1944,-0.25545,-0.053291,-0.31721,-0.23138,-0.23498,-0.28517,-0.13144,-0.16043,-0.1512,-0.26281,-0.32787,-0.080222,-0.28278,0.01143,-0.23128,0.15528,-0.29608,-0.20025,0.30805,-0.048892,-0.19942,0.01133,-0.053852,0.016194,-0.10235,-0.3325,-0.20166,-0.026796,0.17954,0.0028302,0.0069304,0.020815,-0.066179,-0.23162,-0.021615,0.23542,0.023663,-0.044886,-0.097732,-0.10055,-0.077927,-0.22658,-0.24797,0.13955,6.5079e-05,0.055965,0.070315,0.12983,0.15983,-0.081744,0.03905,0.11729,0.021293,0.24946,0.16207,-0.15074,0.12756,0.13859,0.12791,-0.22675,0.12347,0.055988,0.1716,0.39321,0.1253,0.2289,0.082146
5,0.85191,0.76454,0.70397,0.74572,0.67186,1,0.86565,0.73624,0.76846,0.51713,0.6513,0.6228,0.57827,0.69466,0.60777,0.39728,0.46868,0.13397,0.26558,0.41544,0.42862,0.43222,-0.036222,-0.18447,0.012531,0.11925,-0.16472,-0.076795,0.12631,-0.072484,-0.47119,0.091184,-0.069814,0.11976,-0.19194,-0.4062,-0.20037,-0.21777,-0.22258,-0.28274,-0.093579,-0.13741,-0.29295,-0.02994,-0.20597,-0.21798,-0.36786,-0.20398,-0.2066,-0.078506,-0.21229,0.10485,-0.35908,-0.0065256,0.15724,-0.12628,-0.012616,0.037371,-0.086037,-0.079172,-0.078741,-0.22808,-0.34427,-0.020992,0.074441,-0.092337,0.16927,0.11199,0.024554,0.014566,0.037392,0.19491,0.037403,0.14663,-0.095903,-0.0010175,-0.22558,-0.15988,-0.22795,0.14712,0.017431,0.023338,-0.14587,-0.090299,0.11917,0.017324,-0.035064,0.11793,0.0051659,0.12979,0.2864,-0.0061637,0.27671,0.045983,0.0034899,0.086866,0.07293,0.20123,0.19331,0.30888,0.15105,0.33767,0.014693
6,0.85788,0.7727,0.77629,0.80608,0.77981,0.86565,1,0.68437,0.79564,0.53003,0.61781,0.63044,0.68414,0.69157,0.5415,0.42473,0.36083,0.12674,0.27097,0.38959,0.35574,0.44018,-0.02742,-0.15186,0.10954,0.013802,-0.25681,0.04519,0.07075,-0.016467,-0.37002,0.11122,-0.0808,-0.073434,-0.17771,-0.35355,-0.14984,-0.12379,-0.31059,-0.20629,-0.1883,-0.17086,-0.17931,-0.090162,-0.08639,-0.23417,-0.34968,-0.09373,-0.19943,0.052687,-0.20008,0.052279,-0.32528,-0.083583,0.20341,-0.21824,-0.082902,-0.029877,-0.076252,0.0097711,-0.077357,-0.31061,-0.31531,-0.10071,0.076093,-0.084524,0.14374,0.11685,-0.12712,-0.10159,0.032004,0.13065,0.08723,0.054879,-0.0041736,-0.035563,-0.17916,-0.29027,-0.16466,0.027883,0.019782,-0.038845,-0.017612,-0.025241,0.13883,-0.063014,0.044791,0.20922,0.093147,0.16635,0.27522,-0.0015481,0.28802,-0.012221,0.064528,-0.013535,0.11538,0.11272,0.14716,0.30986,0.093558,0.25305,0.096696
7,0.76295,0.75323,0.72052,0.73036,0.7515,0.73624,0.68437,1,0.76112,0.51887,0.66933,0.56768,0.67537,0.72151,0.54254,0.36888,0.37567,0.27538,0.1424,0.32562,0.35884,0.30764,-0.11486,0.04307,0.0032516,0.11009,-0.30848,0.057085,-0.016003,-0.10641,-0.23576,0.093823,-0.2839,0.0095704,-0.17329,-0.35683,-0.30819,-0.26282,-0.33877,-0.35678,-0.27231,-0.22958,-0.22267,-0.14371,-0.18624,-0.25102,-0.44403,-0.2025,-0.29618,-0.34044,-0.10502,0.04656,-0.3364,-0.175,0.31439,0.052377,-0.074211,0.10648,-0.078052,-0.01253,-0.02637,-0.3508,-0.24063,-0.037123,0.12701,-0.17061,0.052822,0.053405,0.06129,-0.12776,0.067789,0.22133,-0.12191,0.028207,-0.23017,0.0077776,-0.16592,-0.062936,-0.032234,0.31011,0.11385,-0.067156,-0.01634,-0.022096,0.17485,0.057373,0.015747,0.051522,-0.01196,0.078992,0.23101,-0.10659,0.078678,0.14273,0.12867,-0.15162,0.079581,0.11839,0.34443,0.26721,0.2441,0.19244,0.06866
8,0.83059,0.75949,0.81614,0.80426,0.80539,0.76846,0.79564,0.76112,1,0.63229,0.61793,0.66087,0.75702,0.70576,0.56206,0.58327,0.42276,0.31947,0.19442,0.46524,0.34139,0.3434,-0.022172,-0.095385,0.12399,0.089501,-0.24781,0.10247,0.00016351,-0.059853,-0.28509,0.10435,-0.24727,0.0052878,-0.26211,-0.23087,-0.15874,-0.12951,-0.27084,-0.21721,-0.021507,-0.21783,-0.11665,-0.073288,-0.25132,-0.30852,-0.27325,-0.21002,-0.2652,-0.091117,-0.28194,0.12788,-0.34491,-0.039404,0.30547,-0.10359,-0.087054,0.087218,-0.19336,-0.13004,-0.090213,-0.18731,-0.21833,-0.039216,0.072548,-0.062471,0.017433,0.024318,-0.08925,-0.12933,0.041989,0.18927,-0.050799,0.037857,-0.076977,-0.19862,-0.1181,-0.01765,-0.074913,0.078369,0.10455,0.03994,-0.11098,0.21034,0.29399,-0.16802,-0.032722,0.029696,-0.011533,0.18434,0.23278,0.028202,0.19352,0.098621,0.018286,-0.12474,0.062241,0.032895,0.26081,0.29711,-0.0034603,0.23859,0.049168
9,0.62228,0.654,0.6191,0.6035,0.51167,0.51713,0.53003,0.51887,0.63229,1,0.37539,0.40827,0.53858,0.3377,0.39108,0.41345,0.51696,0.24097,0.045335,0.35753,0.33728,0.25403,0.087359,0.0050943,-0.14434,-0.17212,-0.16105,0.21269,-0.041581,0.056229,-0.29746,-0.16225,-0.3396,0.13713,-0.016327,-0.21807,-0.089042,-0.18098,-0.16188,-0.20336,-0.0092491,-0.25895,-0.022463,-0.044979,-0.08316,-0.26872,-0.35512,-0.34349,-0.21211,-0.26765,-0.24736,0.21582,-0.28103,-0.15778,0.22185,-0.25377,-0.1568,0.076216,-0.21673,-0.21875,0.070617,-0.23095,-0.2548,-0.21889,0.19308,-0.077019,0.03647,0.036397,0.086127,-0.28656,-0.0054708,0.16121,-0.043203,0.35743,-0.16155,-0.10637,-0.35024,-0.10271,-0.066391,0.02716,0.12046,-0.0060108,-0.20188,-0.07722,0.39956,-0.003652,-0.028244,0.08519,0.12618,0.032375,0.14891,-0.24499,0.035172,-0.066114,0.058628,-0.24417,0.081035,-0.060374,0.16081,0.44175,-0.06802,0.26037,0.14987
