,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,1,0.16011,0.10935,0.28752,0.14004,0.23944,-0.058729,0.10126,-0.0018993,0.06786,-0.054832,0.049469,-0.20795,0.0073795,-0.28869,-0.14366,-0.37368,-0.22512,-0.25941,-0.30953,-0.039485,-0.23849,-0.3995,-0.22826,-0.068631,-0.29862,-0.22913,-0.21862,-0.10619,-0.16807,-0.47262,0.16809,-0.16226,-0.22808,0.027858,0.25391,-0.058434,0.085607,0.039287,0.013733,0.0094694,0.24186,0.0085217,-0.08712,0.011444,0.016398,-0.1002,-0.067903,-0.027903,0.082888,-0.12424,0.35739,0.086855,-0.082435,0.003277,0.22034,0.034045,0.2994,0.0057833,0.049826,0.16449,0.044652,0.22806,0.26114,0.20005,-0.12214,0.039274,0.055837,0.38557,0.28211,-0.11979,0.26116,-0.040539,-0.017241,0.094202,0.13008,0.16013,0.0073202,-0.014485,0.077102,0.085596,0.26098,0.104,0.028841,-0.19468,-0.23118
1,0.16011,1,0.078278,0.32074,0.18155,-0.19762,0.018169,0.14919,-0.012484,0.099939,0.13386,0.00097002,0.11691,-0.12764,-0.18867,-0.29237,-0.23531,-0.16177,0.10398,-0.34402,-0.12293,0.019049,-0.14032,-0.029387,-0.085433,-0.062296,0.012085,0.20556,0.051634,0.0056852,-0.25707,0.035777,-0.088099,-0.2203,0.23225,0.11041,-0.21624,0.12243,-0.19429,-0.085126,-0.26042,0.040108,-0.15998,-0.10015,0.37474,0.1171,0.049731,-0.26143,0.058448,0.37625,-0.15618,0.12455,-0.19751,0.060179,-0.016479,-0.10492,-0.094562,-0.010236,0.11629,0.12896,0.028592,-0.062519,-0.14461,-0.16533,0.044727,0.19467,0.10984,-0.091882,0.12513,-0.048218,-0.094342,0.14793,-0.080245,0.08059,-0.2372,0.0030131,0.20289,0.0645,0.2452,0.025478,0.4236,0.18053,0.31663,0.25184,0.2255,0.059845
2,0.10935,0.078278,1,-0.052208,0.18936,-0.079625,0.12737,0.07338,0.21807,-0.0044949,0.1767,-0.16729,0.19328,0.031909,0.020102,-0.0050886,-0.202,0.11458,0.039156,-0.22095,-0.15031,-0.059142,-0.032578,0.10837,0.063936,0.012107,-0.0974,-0.039158,0.063385,0.12103,-0.13332,-0.070636,0.30611,-0.14459,-0.032227,0.28485,0.050846,-0.035048,-0.24033,-0.20733,0.18382,0.23176,0.061212,0.0982,-0.097905,0.021107,0.1842,0.093015,-0.30812,-0.045898,-0.027433,0.034837,0.081387,-0.014067,-0.198,0.27412,-0.21662,0.11547,0.18086,-0.12211,0.13197,-0.12137,0.17615,0.21974,-0.12702,-0.19848,-0.17084,0.005061,-0.31923,-0.032078,0.13422,0.11486,0.037853,0.15504,0.021869,0.087558,-0.17651,0.083098,0.029784,-0.066072,-0.00043326,0.079723,0.0034466,0.04846,0.13251,0.14985
3,0.28752,0.32074,-0.052208,1,0.080598,0.13307,0.099913,0.036585,0.14747,0.18557,0.058306,0.34117,0.009412,0.37186,0.05829,0.091638,-0.098115,0.030767,0.20305,-0.087582,0.17178,0.15647,0.004572,0.0072899,0.14351,0.029359,0.13562,0.26538,0.25275,0.27044,-0.11179,0.15904,0.081943,-0.094537,0.30647,0.49447,0.077358,0.074815,0.22509,0.26968,0.35019,0.37003,-0.09652,-0.12665,-0.00015982,0.14839,0.075348,-0.044145,-0.16671,0.30595,-0.050485,0.5937,-0.016746,0.26427,-0.074349,0.16983,-0.061346,-0.065708,-0.0063586,0.036812,-0.042539,-0.047873,0.22975,-0.1884,0.13787,0.26767,0.026199,0.10286,0.24406,0.088648,-0.052503,0.070693,-0.027299,0.10419,-0.25084,0.21057,-0.15239,0.1433,0.098516,0.10478,0.24515,0.080685,0.24859,0.17701,0.23842,-0.077369
4,0.14004,0.18155,0.18936,0.080598,1,0.20327,0.028757,0.045475,0.061538,0.20347,0.25411,0.073322,0.073735,0.22444,-0.21685,0.16008,-0.21417,-0.10985,0.039696,-0.16161,-0.052458,0.11201,0.13655,-0.26009,-0.15984,0.014831,0.15541,-0.056735,-0.14133,0.10911,-0.095155,0.18197,-0.016167,0.02144,0.022887,-0.0080677,0.018255,-0.18702,-0.087697,-0.0066655,0.15199,0.19951,-0.18534,0.11108,0.054311,0.19274,-0.12217,0.038883,0.00096292,0.18178,0.048694,-0.05134,0.16528,-0.062624,-0.17992,0.04528,0.1825,0.36981,0.054619,-0.078523,0.12,0.034772,-0.21912,0.069176,0.048783,0.18501,0.30616,0.098566,0.032985,-0.19649,-0.10745,0.12914,0.19496,-0.2414,-0.065157,0.21452,-0.13443,0.090501,0.23545,0.26516,0.071313,0.197,-0.018467,0.11561,0.28576,0.1034
5,0.23944,-0.19762,-0.079625,0.13307,0.20327,1,0.12941,0.017367,-0.064022,0.048795,0.098709,0.41532,-0.043482,0.36105,0.16201,0.18209,-0.00019888,-0.080132,-0.11414,0.19453,0.13015,0.33663,0.14131,0.19414,0.17778,-0.046101,-0.021026,0.092903,0.075777,0.10019,0.076775,-0.030733,-0.018652,0.27893,0.085675,0.12973,0.0027429,-0.1175,0.10837,0.11716,0.082799,0.057982,0.017059,0.045178,-0.1415,-0.16258,0.15186,0.13783,0.043406,-0.16552,0.0082219,0.10556,0.2258,-0.1352,0.23682,0.0097257,0.16746,0.0255,-0.11711,-0.037074,0.17385,-0.13015,0.050572,0.15827,0.25092,0.041651,-0.027272,-0.035192,0.27277,0.10844,-0.14176,0.0095263,0.15873,-0.25745,-0.1797,0.19721,-0.051608,0.00045765,-0.17426,0.3218,-0.060202,0.24893,-0.16715,-0.1013,0.030909,-0.24413
6,-0.058729,0.018169,0.12737,0.099913,0.028757,0.12941,1,0.069571,0.19488,0.28293,0.34635,0.34621,0.4277,0.25515,0.25417,0.28216,-0.013641,0.22723,0.05486,0.34612,0.21243,0.21672,0.29197,0.39372,0.428,0.15201,0.045461,0.34151,0.29555,0.13757,0.29808,0.10079,0.28528,-0.0052174,0.29856,0.27105,-0.31568,0.077447,-0.0032251,0.30666,-0.06795,-0.01683,0.063374,-0.069151,-0.085141,0.19594,0.17337,0.19119,-0.17983,0.17107,0.29897,0.1423,0.18939,0.054003,-0.0093376,0.26798,0.16821,0.010516,0.41519,-0.10154,0.16901,0.077934,0.23221,-0.052166,0.010096,0.19502,0.1338,0.075957,0.069309,-0.21249,-0.25549,0.29472,0.25362,0.11938,0.18676,0.26557,-0.10176,0.0027726,0.22836,-0.24293,-0.083559,0.21615,-0.0036986,0.064892,0.30208,-0.017592
7,0.10126,0.14919,0.07338,0.036585,0.045475,0.017367,0.069571,1,0.021578,0.049398,0.026046,-0.041852,0.010764,0.082245,0.16609,0.16602,-0.23949,-0.17204,-0.076454,-0.11284,0.07339,0.054787,0.024853,0.13628,-0.0438,-0.3105,-0.02675,0.21326,0.1779,-0.31102,-0.17753,0.078729,0.11273,-0.25222,-0.078839,0.082424,-0.36512,-0.29374,-0.092811,-0.085556,-0.1993,-0.094507,-0.22618,-0.0094976,-0.051663,0.064174,-0.035762,0.084791,-0.11127,0.19833,-0.003256,0.12953,-0.19307,0.16797,-0.0094433,-0.18848,-0.082584,-0.057253,0.085707,0.12823,0.3363,-0.20986,-0.14936,-0.13528,0.067224,-0.26329,0.058355,0.31776,0.0012429,0.081115,-0.093922,0.16256,-0.16061,0.24147,0.082546,0.06024,0.27879,-0.14325,0.10098,0.079419,-0.13748,-0.23,-0.11036,-0.15281,0.03013,0.21838
8,-0.0018993,-0.012484,0.21807,0.14747,0.061538,-0.064022,0.19488,0.021578,1,0.29716,0.25211,-0.055639,0.11279,0.10267,0.15985,0.24244,0.31178,0.18562,0.17018,0.054363,-0.085085,0.12503,0.3311,0.13401,0.43491,0.12585,-0.16477,0.26682,0.11244,0.14032,0.14345,0.055341,0.19085,0.033308,0.063567,0.18042,-0.093237,0.0065826,-0.02073,0.032106,0.11413,0.086418,0.0094469,0.14273,-0.094927,-0.028147,-0.0062458,0.033413,-0.10245,0.0098921,-0.076151,0.20323,-0.044082,0.14219,0.064575,0.17758,-0.13883,0.16696,0.019058,-0.14917,-0.060839,0.076243,0.27571,0.16477,0.10835,0.031135,0.33598,-0.24964,-0.15468,-0.19468,0.021059,0.040673,0.010321,0.14079,-0.061128,-0.14485,-0.26769,0.019902,0.11595,0.1682,0.12553,0.24287,0.12453,0.022779,0.26032,0.26657
9,0.06786,0.099939,-0.0044949,0.18557,0.20347,0.048795,0.28293,0.049398,0.29716,1,0.33207,0.20923,0.03335,0.17227,0.017639,0.25556,0.30201,0.072151,0.18718,-0.046754,0.15357,0.30959,0.23346,0.14564,0.26219,-0.12659,-0.029474,0.14723,0.014231,0.28537,0.12868,0.38593,0.017518,0.035864,0.16606,0.18366,0.17659,-0.11088,0.20486,0.3079,-0.073458,0.001549,-0.19931,-0.2892,0.0069624,0.14544,-0.065282,-0.13458,-0.081653,0.096248,-0.089086,0.046972,-0.11667,-0.13736,-0.090731,0.012438,-0.28982,0.083883,0.18277,-0.11656,0.041238,0.28106,0.11008,-0.1847,0.17911,0.28763,0.31457,0.051768,0.27367,-0.15971,0.20453,0.32213,-0.01141,-0.018338,-0.082305,0.1097,-0.27343,0.11952,0.068927,0.11903,0.076081,0.10268,0.16371,-0.13103,0.2384,-0.089414
