,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
0,1,0.86214,0.88108,0.82207,0.81762,0.82877,0.79605,0.87404,0.89679,0.8078,0.86344,0.86769,0.82692,0.80313,0.84393,0.85691,0.77529,0.84633,0.76473,0.84158,0.76471,0.88957,0.83807,0.86242,0.90872,0.80607,0.85369,0.84403,0.89572,0.78615,0.7393,0.76975,0.80824,0.83843,0.76736,0.83889,0.77631,0.77814,0.77025,0.80718,0.77996,0.76051,0.76999,0.63455,0.66775,0.67626,0.72794,0.64931,0.8001,0.71181,0.75525,0.61619,0.60177,0.67428,0.48995,0.68479,0.50531,0.70175,0.69016,0.52975,0.41385,0.17185,0.24474,0.33577,0.57974,0.57694,0.30764,0.3442,0.33662,0.36975,0.41242,0.47424,0.24467,0.2679,0.3213,0.64477,0.011873,0.33888,0.12671,0.18454,0.42797,0.053513,0.45052,0.57409,-0.01631,0.17148,0.14799,0.12017,0.50917,0.23321,-0.00020471,0.41485,-0.036536,0.0047761,-0.15964,0.21237,0.042953,0.48537,0.1488,-0.046014,0.035505,-0.051226,-0.16183,-0.13674,-0.10662,0.39129,0.14736,-0.084664,0.45439,-0.042066,0.23534,-0.11835,-0.0087104,-0.12385,-0.1538,0.12888,0.19048,0.15147,0.36106,-0.13541,0.30692,0.031208,-0.017998,0.13412,0.0071386,0.22498,0.19929,0.33726,-0.017597,0.17848,-0.20675,-0.095693,0.12045,-0.207,0.27501,-0.14224,-0.33008,-0.037207,-0.30755,0.011993,-0.30886,0.35045,0.32752,-0.21184,0.000823,0.23106,0.31075,0.031733,0.2108,0.037743,-0.25545,-0.067731,0.012991,-0.051933,0.14259,0.043589,-0.0031375,0.077572,-0.15584,0.093583,-0.083413,-0.099023,-0.05715,-0.21142,0.12838,-0.27577,0.17607,-0.24002,-0.098362,0.1815,0.21812,0.16542,-0.074505,-0.251,-0.14089,-0.17193,0.03414,0.091607,-0.17591,0.27611,-0.10215,-0.23635,-0.12191,0.048131
1,0.86214,1,0.87145,0.86566,0.81111,0.78573,0.7828,0.85079,0.8363,0.79398,0.81888,0.85459,0.8397,0.80275,0.83824,0.85376,0.78312,0.88151,0.75816,0.79301,0.79036,0.8518,0.79068,0.87504,0.86042,0.777,0.76987,0.82156,0.84583,0.83155,0.78308,0.76914,0.75979,0.72086,0.77593,0.7945,0.78703,0.79432,0.71786,0.77283,0.70899,0.78383,0.76502,0.6685,0.63514,0.67562,0.75847,0.55079,0.76464,0.66227,0.72565,0.50848,0.54674,0.65327,0.41961,0.67793,0.4842,0.66389,0.65227,0.4882,0.39057,0.21732,0.24283,0.43535,0.53,0.52904,0.29828,0.36959,0.21173,0.52726,0.43968,0.36717,0.3157,0.15298,0.30948,0.58574,0.14034,0.28193,0.17144,0.22232,0.31966,0.00012432,0.38359,0.56735,0.070903,0.22534,0.051043,0.16549,0.48266,0.10169,-0.040967,0.31038,-0.048669,-0.068846,-0.16239,0.1515,-0.15601,0.24813,0.2157,-0.027391,0.12351,-0.10283,-0.10487,-0.064291,-0.044573,0.38107,0.067687,-0.16109,0.5246,0.14658,0.15077,-0.092281,0.068617,-0.099896,-0.12384,0.03145,0.21855,0.15372,0.26468,-0.18141,0.19961,0.010699,-0.042935,0.0038272,-0.10598,0.31326,0.1566,0.31638,0.043927,0.16916,-0.28042,0.04909,0.19294,-0.16416,0.10091,-0.024869,-0.21039,-0.016483,-0.31359,0.081506,-0.41393,0.30301,0.35856,-0.24239,-0.070277,0.22645,0.18962,-0.11451,0.16424,0.13274,-0.31056,-0.16978,0.036605,-0.036272,0.10033,0.033528,0.11021,-0.013272,-0.024286,0.11325,-0.29646,-0.10811,-0.10782,-0.19885,0.038912,-0.13087,0.15365,-0.28119,-0.079796,0.13714,0.038799,0.011066,-0.0014038,-0.23353,-0.077678,-0.23909,-0.05676,0.19891,-0.20437,0.31776,-0.085259,-0.34771,-0.10829,-0.029339
2,0.88108,0.87145,1,0.89005,0.85844,0.80336,0.77562,0.88272,0.83617,0.77208,0.85252,0.90212,0.88469,0.74396,0.83409,0.81761,0.81056,0.837,0.82916,0.81898,0.7664,0.81979,0.8309,0.87344,0.8975,0.77513,0.84435,0.88541,0.85418,0.82031,0.75662,0.77449,0.7892,0.8205,0.77281,0.81642,0.79779,0.79971,0.72452,0.75189,0.77537,0.77936,0.74974,0.65056,0.64434,0.66111,0.76691,0.64956,0.76415,0.73871,0.77122,0.52834,0.61296,0.712,0.38348,0.7293,0.55996,0.64888,0.62964,0.58295,0.44501,0.32051,0.27579,0.24896,0.62484,0.49058,0.34418,0.3579,0.35979,0.40862,0.41784,0.37215,0.32414,0.2008,0.36499,0.57391,0.12042,0.31819,0.23779,0.20613,0.359,-0.012901,0.36021,0.6151,0.092893,0.24891,0.088342,0.062344,0.51337,0.2293,-0.032267,0.33818,-0.12072,0.001488,-0.12587,0.082844,0.040737,0.29837,0.23534,0.030891,0.048019,-0.10278,-0.12397,-0.12394,-0.10878,0.4698,0.10309,-0.11298,0.50365,0.010571,0.15964,-0.11797,0.0079123,-0.028564,-0.12581,0.031997,0.18304,0.1427,0.26184,-0.23438,0.29123,0.041238,-0.093946,0.0020707,-0.18983,0.24393,0.11635,0.28138,0.032584,0.2387,-0.11558,-0.091959,0.24542,-0.11906,0.099302,-0.12363,-0.16389,0.015623,-0.41105,0.085841,-0.35817,0.22622,0.35111,-0.2653,-0.085916,0.16314,0.23324,-0.083619,0.16482,0.017146,-0.20531,-0.13881,0.10584,-0.14486,0.070401,-0.022721,0.076384,0.10622,-0.013793,0.033022,-0.22725,-0.11966,-0.054152,-0.17522,0.15394,-0.29029,0.18593,-0.28235,-0.046583,0.14273,0.069726,0.20002,0.0099497,-0.29515,-0.098526,-0.24825,-0.01695,0.034204,-0.16218,0.20244,0.021755,-0.27549,-0.059472,-0.004899
3,0.82207,0.86566,0.89005,1,0.78643,0.82868,0.80621,0.85687,0.804,0.7454,0.83186,0.90863,0.86117,0.73594,0.84451,0.85225,0.80865,0.84777,0.73393,0.74637,0.75381,0.84232,0.79964,0.85498,0.83996,0.77701,0.8222,0.80883,0.82253,0.78851,0.76435,0.81972,0.74861,0.80574,0.79488,0.85281,0.74601,0.79043,0.76324,0.79015,0.70001,0.74652,0.79462,0.73088,0.59757,0.68135,0.73499,0.68244,0.76273,0.65951,0.70327,0.55437,0.55828,0.68602,0.4582,0.70912,0.60189,0.61341,0.60888,0.51712,0.42165,0.30816,0.25854,0.38748,0.6248,0.43613,0.35298,0.45348,0.31599,0.4786,0.41691,0.34985,0.34578,0.3054,0.3811,0.59156,0.18912,0.33772,0.3616,0.24836,0.23165,0.073496,0.41652,0.59184,0.16491,0.12403,-0.0358,0.15007,0.57845,0.36381,0.087901,0.34411,-0.079256,-0.043821,-0.11404,0.14186,-0.090505,0.30636,0.25597,0.035287,0.14481,-0.030129,-0.09286,-0.05519,-0.068027,0.4628,0.04486,-0.061026,0.40669,0.01489,0.10715,-0.12184,-0.0030759,-0.094801,-0.13185,-0.0056902,0.13392,0.13317,0.30319,-0.17685,0.26085,-0.044532,0.057835,-0.054546,-0.26242,0.23667,0.24118,0.30355,0.016946,0.23331,-0.13485,-0.047191,0.21984,-0.28327,0.017859,-0.09325,-0.02588,-0.040698,-0.36044,0.019598,-0.42394,0.18063,0.27862,-0.35136,-0.10002,0.23013,0.29532,-0.061904,0.13603,0.016451,-0.26038,-0.034955,0.02321,-0.14868,0.051699,0.033423,0.11243,0.027086,0.006024,0.080257,-0.17976,-0.025698,-0.004425,-0.092325,0.24622,-0.33237,0.069012,-0.34053,-0.037152,0.15394,0.035877,0.07164,0.083172,-0.19515,0.0028346,-0.16047,-0.15466,0.12311,-0.10492,0.28459,0.018077,-0.40736,-0.036481,-0.10235
4,0.81762,0.81111,0.85844,0.78643,1,0.76923,0.80276,0.85461,0.77915,0.79302,0.83703,0.84517,0.84024,0.79799,0.85574,0.83641,0.86368,0.85518,0.84459,0.84945,0.86451,0.84696,0.81603,0.82074,0.92373,0.7505,0.75913,0.85473,0.79928,0.80055,0.79,0.73127,0.8152,0.82568,0.70094,0.82905,0.78486,0.7845,0.76004,0.74938,0.75195,0.76891,0.7485,0.72879,0.71815,0.70813,0.72073,0.6997,0.67898,0.78971,0.74821,0.57952,0.63297,0.80717,0.42249,0.72054,0.51497,0.66481,0.59098,0.53019,0.50962,0.3224,0.25585,0.28753,0.58765,0.6124,0.38515,0.26636,0.37544,0.35391,0.31023,0.2817,0.48663,0.23404,0.36659,0.57036,0.16964,0.40647,0.21853,0.25437,0.23649,-0.07365,0.25084,0.5598,0.044783,0.25807,0.15486,-0.0060659,0.39835,0.23727,0.13994,0.34073,-0.11656,0.01532,-0.17127,0.13391,0.16431,0.27989,0.32989,0.019206,0.09691,-0.18695,-0.071603,-0.033962,-0.074698,0.39527,0.1635,-0.080423,0.45879,-0.09019,0.24352,-0.050974,0.043052,-0.045395,-0.10167,-0.055188,0.27394,0.11074,0.19747,-0.14409,0.33009,0.10405,-0.014184,0.14743,-0.066741,0.33008,0.093661,0.28065,0.016896,0.28349,-0.21736,-0.11016,0.16411,-0.15479,0.20442,-0.20736,-0.045519,-0.086143,-0.42156,-0.043983,-0.1356,0.36935,0.24852,-0.19965,-0.042482,0.19514,0.28664,0.039686,0.063056,0.093485,-0.14166,-0.2129,0.18614,-0.16238,0.090677,-0.0083641,0.13644,-0.099805,0.044698,0.093382,-0.18708,0.014481,-0.14067,-0.29197,0.18489,-0.31343,0.19797,-0.26111,0.030728,0.18765,-0.017399,0.054624,0.013754,-0.093171,-0.21159,-0.19302,0.021919,0.029283,-0.18349,0.1731,-0.0055143,-0.23358,0.0048558,-0.090767
5,0.82877,0.78573,0.80336,0.82868,0.76923,1,0.84586,0.80836,0.76698,0.79095,0.82084,0.82703,0.78193,0.77792,0.84105,0.77672,0.7484,0.80946,0.75457,0.8015,0.69701,0.7964,0.82666,0.78075,0.802,0.76508,0.8333,0.82911,0.79647,0.79271,0.77876,0.86758,0.75906,0.80622,0.75684,0.77899,0.70951,0.74475,0.7922,0.7696,0.75216,0.80902,0.75888,0.73876,0.61286,0.64264,0.73612,0.6952,0.70181,0.70061,0.65556,0.57305,0.6025,0.662,0.43974,0.65988,0.48404,0.6132,0.68622,0.6851,0.43952,0.3242,0.34577,0.32137,0.61892,0.45438,0.48674,0.52023,0.43138,0.54652,0.29391,0.43707,0.31571,0.2761,0.26678,0.62481,0.049866,0.39049,0.12441,0.27462,0.34321,0.014454,0.33688,0.50441,0.17539,0.36159,-0.063964,0.071101,0.5178,0.31989,0.038898,0.37148,0.0322,-0.058076,-0.0076642,0.13988,-0.10248,0.36417,0.13125,-0.040747,0.11669,0.027611,-0.087543,-0.10581,-0.060462,0.44649,-0.033523,-0.11178,0.36274,0.09877,0.20074,-0.18107,-0.06161,-0.1313,0.00061117,-0.038834,0.060308,0.17978,0.25309,-0.25006,0.26389,0.029084,0.16192,0.035659,-0.14375,0.15496,0.14408,0.28872,0.043199,0.19306,-0.2736,0.0067186,0.14099,-0.19135,0.1633,-0.028342,-0.08404,-0.026976,-0.14366,0.024239,-0.23345,0.32906,0.20908,-0.2096,-0.18469,0.12523,0.27478,-0.063513,0.21433,-0.0015629,-0.28461,-0.081137,0.042532,-0.13691,-0.065645,0.033908,0.10503,-0.096616,-0.07753,-0.022226,-0.19984,-0.042933,-0.063652,-0.048469,0.21443,-0.33108,0.035148,-0.15383,-0.09401,0.16822,0.11886,0.10968,0.12402,-0.22329,-0.095651,-0.13776,0.04922,0.026491,-0.14367,0.27231,0.030236,-0.18197,-0.027362,-0.13412
6,0.79605,0.7828,0.77562,0.80621,0.80276,0.84586,1,0.82212,0.73418,0.78571,0.7521,0.8373,0.75234,0.81282,0.86372,0.79836,0.75098,0.77069,0.78755,0.83131,0.75106,0.83091,0.82262,0.80891,0.80759,0.77078,0.80353,0.74801,0.74713,0.83306,0.73944,0.80442,0.79329,0.76157,0.79845,0.80502,0.75906,0.77407,0.73196,0.7145,0.72354,0.71725,0.68358,0.69979,0.70238,0.72293,0.62466,0.6834,0.68907,0.71595,0.6267,0.60231,0.50489,0.6954,0.47171,0.69106,0.43829,0.55819,0.65166,0.50733,0.55809,0.35753,0.35816,0.26975,0.60083,0.60672,0.33534,0.34947,0.40092,0.59543,0.39215,0.39387,0.38953,0.3471,0.35911,0.58491,0.047305,0.45346,0.11115,0.36148,0.23315,-0.026818,0.34644,0.51952,0.20106,0.14617,0.085638,0.018937,0.51236,0.23046,0.047867,0.24258,-0.10381,-0.053277,-0.11592,0.17594,-0.081467,0.33212,0.24192,-0.066167,0.1243,8.5757e-05,-0.14866,0.0033862,-0.11096,0.30361,0.04959,-0.13578,0.28687,0.026576,0.085998,-0.135,0.0034946,-0.15228,-0.13347,-0.011535,0.15237,0.062602,0.2565,-0.10695,0.41932,0.11437,0.11759,0.0021936,-0.061639,0.24631,0.33328,0.40885,0.064333,0.36056,-0.30726,0.062165,0.34436,-0.15747,0.13889,0.0303,-0.091727,-0.011201,-0.18556,-0.11701,-0.11955,0.36902,0.27777,-0.21151,-0.067187,0.16772,0.18923,-0.024731,0.21455,0.10026,-0.37065,-0.13248,0.11885,-0.23659,0.10083,0.096015,0.057035,-0.21219,-0.041087,0.13892,-0.29703,0.024437,-0.135,-0.075074,0.17066,-0.28935,0.052329,-0.12445,-0.093027,-0.023382,0.074509,0.0080392,-0.0069592,-0.12881,-0.068144,-0.10407,-0.10224,0.02602,-0.09155,0.26411,-0.067422,-0.34725,-0.083277,-0.043392
7,0.87404,0.85079,0.88272,0.85687,0.85461,0.80836,0.82212,1,0.8511,0.84344,0.83599,0.89026,0.85701,0.81736,0.85416,0.87332,0.79404,0.83857,0.7389,0.86361,0.81148,0.86505,0.81079,0.87713,0.90078,0.76475,0.84747,0.83489,0.84611,0.84016,0.78326,0.82814,0.83424,0.82487,0.79634,0.80324,0.79898,0.81633,0.7229,0.69767,0.69713,0.75403,0.75741,0.75213,0.63051,0.72465,0.77116,0.72242,0.78365,0.80176,0.69648,0.59698,0.65246,0.72382,0.50398,0.73366,0.51038,0.6084,0.67196,0.51368,0.42345,0.39128,0.19775,0.26176,0.49853,0.51621,0.3596,0.46362,0.38034,0.39846,0.39643,0.3959,0.42677,0.28259,0.24273,0.66247,0.11056,0.30567,0.22908,0.17243,0.28837,-0.033578,0.30219,0.6131,-0.0031744,0.20449,0.039553,0.13693,0.43141,0.20335,-0.01406,0.38251,-0.02987,0.021455,-0.21581,0.16202,0.0015667,0.41601,0.21126,-0.049113,0.069754,-0.086369,-0.20572,-0.11774,-0.14116,0.38559,0.073688,-0.14993,0.46813,-0.051836,0.14675,-0.21099,0.10603,-0.082844,-0.18747,0.068,0.16489,0.13264,0.31568,-0.1906,0.20364,-0.048392,-0.083691,-0.047755,-0.077445,0.25029,0.15065,0.38966,-0.012545,0.1968,-0.15377,-0.081059,0.19093,-0.2583,0.23013,-0.14539,-0.10021,-0.033223,-0.33464,-0.068943,-0.29517,0.32207,0.33831,-0.099619,-0.092463,0.34442,0.20248,0.01228,0.15784,0.034762,-0.24595,-0.17107,0.059883,-0.1521,0.17197,0.053468,0.097716,-0.076749,-0.056293,0.084643,-0.19914,-0.055767,-0.13382,-0.30595,0.18473,-0.20911,0.18312,-0.26221,0.053282,0.22335,0.17411,0.00012387,0.07425,-0.23095,-0.20977,-0.16643,-0.0453,0.0023663,-0.1786,0.17642,0.09095,-0.23192,-0.00097721,-0.11334
8,0.89679,0.8363,0.83617,0.804,0.77915,0.76698,0.73418,0.8511,1,0.7746,0.83217,0.85579,0.82283,0.73739,0.81329,0.81555,0.69463,0.78585,0.77885,0.82097,0.75478,0.83145,0.74619,0.84146,0.86826,0.75867,0.77605,0.76294,0.85632,0.74012,0.70867,0.72368,0.74465,0.75972,0.73078,0.74524,0.68615,0.72203,0.7012,0.70406,0.70192,0.70069,0.7777,0.63782,0.6618,0.67402,0.65247,0.62713,0.79936,0.68037,0.67598,0.54932,0.51758,0.72409,0.5493,0.62461,0.47416,0.56053,0.65659,0.46625,0.40412,0.39604,0.18895,0.276,0.52234,0.43807,0.35011,0.31491,0.27653,0.37313,0.51778,0.38597,0.33298,0.19083,0.38239,0.57029,0.11688,0.23688,0.19515,0.16601,0.30019,0.061315,0.31913,0.60288,-0.10194,0.20591,0.072321,0.055643,0.5742,0.1903,-0.14322,0.4008,0.004302,0.049689,-0.11436,0.13556,0.030845,0.35799,0.27346,0.053756,0.15491,-0.08748,-0.096643,-0.094224,-0.13172,0.26774,0.12068,-0.26651,0.48214,0.054083,0.29906,-0.070359,0.028536,-0.12191,-0.12769,0.16881,0.19024,0.077341,0.38422,-0.092165,0.19178,-0.094047,-0.1221,0.026605,-0.1075,0.28883,0.13816,0.28809,-0.018852,0.11048,-0.22616,-0.1,0.16024,-0.12839,0.19895,-0.060904,-0.19428,-0.075636,-0.30955,-0.011595,-0.36951,0.30221,0.25663,-0.17534,-0.037631,0.25687,0.30666,0.0038925,0.16461,-0.027103,-0.23429,-0.14865,0.038833,-0.035645,0.047169,0.078348,0.028628,0.13444,-0.13693,-0.013337,-0.11306,-0.15969,0.07554,-0.2488,0.21637,-0.1745,0.12408,-0.24214,-0.14315,0.12765,0.1416,0.055602,0.035967,-0.14605,-0.16051,-0.21496,-0.044552,0.15127,-0.23988,0.22198,-0.11149,-0.19948,-0.10858,0.018003
9,0.8078,0.79398,0.77208,0.7454,0.79302,0.79095,0.78571,0.84344,0.7746,1,0.83242,0.80105,0.74537,0.80246,0.8336,0.76487,0.76312,0.80378,0.74229,0.82106,0.70707,0.80079,0.79941,0.81964,0.80715,0.72846,0.83216,0.81448,0.78596,0.77035,0.72873,0.76497,0.76253,0.73139,0.68834,0.7096,0.77699,0.76179,0.66483,0.75342,0.69609,0.7818,0.68143,0.64541,0.72463,0.69273,0.75514,0.72292,0.77797,0.67904,0.61068,0.62004,0.59899,0.61834,0.46691,0.66253,0.42013,0.61232,0.62565,0.53889,0.50324,0.35009,0.21664,0.21422,0.56882,0.56057,0.54995,0.4535,0.32371,0.56687,0.38089,0.27736,0.49114,0.14768,0.29792,0.66275,0.19694,0.31793,0.12367,0.27725,0.44242,0.054209,0.31307,0.45252,0.056409,0.27516,0.044851,0.098034,0.46813,0.31892,-0.0054933,0.34142,0.031371,-0.16222,-0.056106,0.1865,-0.0061375,0.22819,0.14964,0.058735,0.1542,-0.093618,-0.14016,0.012432,-0.14554,0.36195,-0.053766,-0.071359,0.41847,-0.0057346,0.083886,-0.050963,-0.041884,-0.066717,-0.010309,0.14788,0.15991,0.057268,0.20162,-0.22732,0.31788,0.086255,0.039815,-0.049509,0.0048727,0.29372,0.20931,0.36152,-0.10288,0.18443,-0.1841,0.071191,0.1746,-0.24627,0.15261,-0.023462,-0.20767,-0.11092,-0.2285,0.10617,-0.3109,0.2938,0.13224,-0.033783,0.062504,0.33261,0.22321,0.027236,0.10457,0.036752,-0.22701,-0.1133,0.022064,-0.10175,0.096351,0.097045,-0.040287,-0.18187,-0.018706,0.051989,-0.18467,0.00056981,-0.17838,-0.30457,0.074917,-0.24203,-0.0078312,-0.17681,-0.1034,0.18967,0.16603,-0.024952,0.063579,-0.22792,-0.089719,-0.0522,0.097915,0.017965,-0.22536,0.24431,0.15094,-0.14097,0.05321,-0.16103
