,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0,1,0.89304,0.84278,0.87516,0.88729,0.88223,0.89931,0.85903,0.91413,0.87512,0.87098,0.87136,0.8898,0.87003,0.78294,0.83329,0.78684,0.82817,0.78365,0.8481,0.84359,0.82695,0.71078,0.77685,0.70784,0.79169,0.59501,0.77046,0.62451,0.70515,0.60318,0.76629,0.70064,0.65694,0.47716,0.44785,0.4896,0.50084,0.60281,0.52337,0.28975,0.47599,0.41585,0.59736,0.42772,0.28602,0.3684,0.21593,-0.20528,-0.091591,0.25557,0.21365,0.39381,0.15933,-0.15219,0.075512,-0.043574,0.045604,-0.096156,-0.31109,0.053162,-0.19205,0.075164,-0.23832,-0.16047,-0.095739,0.067647,-0.1903,-0.0066817,-0.083572,-0.12263,0.020577,-0.11968,0.14127,-0.19211,0.019983,-0.29213,0.064056,0.012399,-0.23003,-0.23869,-0.26969,0.064063,-0.06869,-0.076128,-0.01631,-0.098553,-0.25065,0.17635,0.0070911,0.060744,-0.018315,0.028947,0.030966,0.030103,-0.14902,-0.15279,-0.22853,-0.089319,-0.040309,0.079589,0.31662,0.1942,0.22862,-0.14685,-0.041839,0.20427,0.086632,0.18229,0.1006,0.1101,0.042289,-0.0085032,-0.11775,0.075367,-0.027435,-0.02121,0.055385,0.19419,-0.063354,0.16578,0.077759,0.018223,0.029159,-0.096853
1,0.89304,1,0.8537,0.90479,0.89661,0.86505,0.86961,0.8452,0.87056,0.85269,0.86923,0.88302,0.86642,0.85623,0.83094,0.84143,0.80982,0.8009,0.77955,0.79943,0.809,0.84638,0.72991,0.83115,0.65296,0.82281,0.57658,0.77884,0.67982,0.69939,0.58705,0.76566,0.70615,0.63171,0.46731,0.53945,0.58276,0.57524,0.55415,0.56757,0.31665,0.56818,0.29782,0.58135,0.41014,0.32971,0.36122,0.21197,-0.153,-0.07103,0.18704,0.24776,0.3314,0.29907,-0.14287,0.15304,0.013611,0.082863,-0.065823,-0.28857,-0.030836,-0.18302,0.12934,-0.18332,-0.16898,-0.19403,0.16285,-0.076916,0.045569,-0.063939,-0.080529,0.03946,-0.098796,0.089347,-0.17513,-0.037539,-0.29519,-0.076666,0.028512,-0.14864,-0.19989,-0.38644,0.080068,-0.050019,0.018329,-0.036647,-0.063141,-0.23148,0.13514,-0.035969,0.026471,0.010133,-0.017417,-0.04861,0.064523,-0.090123,-0.12478,-0.18146,-0.10447,-0.075039,-0.0013222,0.27162,0.16527,0.27009,-0.22441,-0.10826,0.2444,0.18489,0.18742,0.030069,0.090971,-0.11423,-0.0059778,-0.1732,-0.01617,0.089428,-0.043417,0.1395,0.16898,-0.062343,0.12289,0.11427,-0.010106,0.087743,-0.14834
2,0.84278,0.8537,1,0.78807,0.8392,0.83189,0.83601,0.89275,0.82356,0.8779,0.82805,0.85325,0.85139,0.84953,0.83333,0.88548,0.83321,0.7924,0.66542,0.84045,0.78208,0.82668,0.73881,0.80043,0.65663,0.78752,0.56833,0.75717,0.59073,0.58356,0.61746,0.75078,0.66389,0.58757,0.46519,0.50205,0.47732,0.62621,0.66875,0.45682,0.25604,0.37144,0.35981,0.47256,0.34826,0.43553,0.33587,0.25568,-0.16153,0.11821,0.11556,0.12981,0.34702,0.27854,-0.057577,0.15083,0.070117,0.042254,0.043675,-0.1917,-0.024241,-0.073496,0.12823,-0.16582,-0.23554,0.045778,0.15423,-0.1769,-0.038368,-0.055572,-0.15595,-0.0065803,-0.18214,0.15182,-0.28617,-0.047283,-0.17054,-0.010999,0.060898,-0.075675,-0.113,-0.23814,0.086768,0.057767,0.044092,-0.17339,-0.10466,-0.18621,0.14534,-0.054893,-0.031462,0.01547,-0.11533,-0.17554,0.024288,-0.14774,-0.16162,-0.14247,-0.14669,0.088935,0.13417,0.31549,0.19955,0.2442,-0.082668,-0.050992,0.21484,0.15704,0.083364,-0.061012,0.13172,0.0086441,0.11372,-0.13306,-0.019212,0.13572,0.011693,0.16831,0.084799,-0.048453,0.17369,0.012464,0.024397,0.049669,-0.1765
3,0.87516,0.90479,0.78807,1,0.85859,0.82616,0.90786,0.79953,0.83923,0.8464,0.87654,0.83367,0.80605,0.85366,0.81995,0.80282,0.79736,0.79605,0.7774,0.75333,0.85115,0.85157,0.73999,0.79243,0.64583,0.75619,0.52714,0.72499,0.67569,0.59685,0.5046,0.74408,0.72042,0.64099,0.4476,0.48522,0.46519,0.56043,0.51921,0.58721,0.23864,0.50757,0.33471,0.59252,0.44099,0.27695,0.37034,0.2322,-0.074437,0.0081727,0.27213,0.29215,0.31006,0.22522,-0.18492,-0.015379,0.065183,0.15185,-0.1131,-0.27793,0.0080297,-0.14603,0.13627,-0.19474,-0.082843,-0.11759,0.1032,-0.097077,0.015705,-0.13555,-0.023497,0.13474,-0.054504,0.082969,-0.10606,-0.03521,-0.18175,-0.020569,0.029605,-0.12936,-0.25598,-0.33968,-0.034238,0.0040971,-0.073795,-0.14663,0.01487,-0.29017,0.20746,0.074398,0.067772,0.0039172,0.087654,0.056269,-0.015159,-0.0086294,-0.054189,-0.30276,-0.066671,-0.085213,-0.029669,0.21262,0.25077,0.26624,-0.30224,0.023312,0.21729,0.11407,0.34873,0.013901,0.14457,-0.024268,-0.051955,-0.13987,-0.090002,0.1221,0.019108,0.15062,0.063632,-0.17066,0.094465,0.024656,0.0098148,0.14573,-0.025486
4,0.88729,0.89661,0.8392,0.85859,1,0.83795,0.83371,0.82939,0.81436,0.84227,0.86055,0.87338,0.90883,0.83478,0.80097,0.83403,0.76152,0.76944,0.77085,0.74729,0.76159,0.82471,0.65229,0.80669,0.63636,0.78284,0.58929,0.71132,0.57142,0.64974,0.6143,0.75944,0.72014,0.6327,0.45647,0.40893,0.50326,0.50769,0.60235,0.47654,0.26013,0.47296,0.27279,0.58293,0.42627,0.3055,0.24804,0.33409,-0.14568,-0.023728,0.23904,0.10479,0.44722,0.24577,-0.071301,0.046433,0.087109,0.073894,0.0402,-0.33263,0.033452,-0.13879,0.058856,-0.10644,-0.16415,-0.086357,0.18935,-0.07177,-0.0043331,-0.12755,-0.22941,0.036672,-0.086736,0.072135,-0.19411,-0.079274,-0.27858,0.0057325,0.056594,-0.22934,-0.19489,-0.20598,0.079975,-0.11749,0.028933,-0.04099,-0.028411,-0.14157,0.2342,0.11156,-0.02462,-0.1037,-0.087857,-0.010393,-0.0064372,-0.056558,-0.050095,-0.24687,-0.12008,0.030928,-0.003977,0.37019,0.11548,0.2252,-0.24146,-0.027142,0.22713,0.19894,0.16948,-0.019913,0.087867,0.060033,0.072583,-0.17775,0.087541,0.0065018,0.009409,0.13451,0.15325,-0.1231,0.099976,0.020933,-0.033439,0.14547,-0.052464
5,0.88223,0.86505,0.83189,0.82616,0.83795,1,0.84009,0.84065,0.81514,0.87557,0.84295,0.84257,0.85254,0.86458,0.832,0.86067,0.7828,0.78566,0.76819,0.81742,0.76217,0.81974,0.70302,0.76497,0.69314,0.68043,0.62277,0.68857,0.58985,0.71686,0.64016,0.71406,0.68564,0.61789,0.39771,0.42981,0.55183,0.52141,0.582,0.52957,0.21118,0.41254,0.45877,0.48262,0.318,0.43586,0.27887,0.082549,-0.15056,-0.012523,0.2306,0.1525,0.35521,0.16051,-0.22492,0.12247,0.0094641,0.13318,-0.080173,-0.3522,0.029193,-0.10926,0.12271,-0.18739,-0.089611,-0.09283,0.061834,-0.19813,-0.0031687,-0.002751,0.073721,-0.069029,-0.012693,0.025663,-0.090703,0.025304,-0.15836,0.027797,0.058117,-0.084511,-0.24096,-0.14405,0.043641,-0.04109,-0.034528,-0.15227,-0.092222,-0.20201,0.076832,0.056868,-0.0089801,0.0035929,0.0057726,-0.2185,-0.0068093,-0.11742,-0.06031,-0.25563,-0.05054,0.11769,0.11906,0.34528,0.18813,0.18631,-0.19586,-0.10577,0.10817,0.0094306,0.17692,-0.048313,0.097859,-0.061283,0.097465,-0.18414,-0.1058,0.034991,-0.039223,0.066212,0.091017,-0.21596,0.074828,0.10556,0.025788,0.03488,-0.25264
6,0.89931,0.86961,0.83601,0.90786,0.83371,0.84009,1,0.85279,0.89005,0.89944,0.91923,0.86364,0.84584,0.88325,0.82294,0.83657,0.81754,0.81672,0.76824,0.80766,0.82039,0.81533,0.7592,0.82093,0.72395,0.76924,0.53261,0.73828,0.65218,0.66156,0.55405,0.8114,0.64621,0.665,0.5433,0.4718,0.45961,0.49863,0.56038,0.56328,0.1917,0.39403,0.37924,0.55857,0.365,0.34622,0.4347,0.24373,-0.10313,0.036063,0.25327,0.30242,0.27737,0.24883,-0.17918,0.038638,0.065507,0.11811,-0.13575,-0.23597,0.031299,-0.089123,0.069991,-0.16266,-0.17869,-0.10964,0.11747,-0.017561,-0.0078338,-0.12444,-0.11551,0.082065,-0.060777,0.086232,-0.11972,-0.013305,-0.22412,0.080112,0.036027,-0.14596,-0.20792,-0.30066,0.029219,0.0048589,-0.11982,-0.10671,-0.12793,-0.34877,0.16872,0.015851,0.018264,0.027241,0.02797,-0.071457,0.058472,-0.064398,-0.01261,-0.21555,0.017274,-0.031934,-0.0018414,0.18947,0.11487,0.27741,-0.21226,-0.031576,0.13317,0.13978,0.23818,0.1043,0.070378,-0.11273,-0.061187,-0.12606,0.044675,0.040784,0.060186,0.068093,0.11572,-0.15277,0.15758,0.16158,0.051503,0.082991,-0.10301
7,0.85903,0.8452,0.89275,0.79953,0.82939,0.84065,0.85279,1,0.82567,0.85823,0.87031,0.85405,0.86797,0.8809,0.84298,0.88244,0.828,0.79912,0.71897,0.80291,0.79415,0.76328,0.76977,0.79205,0.73296,0.76615,0.67007,0.7497,0.55028,0.70521,0.54044,0.71408,0.59166,0.68526,0.46412,0.48593,0.54071,0.59606,0.64117,0.41847,0.34105,0.44117,0.46034,0.53012,0.43496,0.30546,0.35859,0.295,-0.078082,0.12422,0.2445,0.20113,0.36782,0.22991,-0.13796,0.22783,0.08889,0.089109,-0.0025996,-0.303,0.077016,-0.062404,-0.012621,-0.17905,-0.21353,-0.094908,0.13098,-0.14976,0.027115,0.020313,-0.05942,0.062374,-0.15772,0.17643,-0.17954,0.086203,-0.17684,-0.009428,0.064961,-0.13694,-0.18318,-0.19704,0.0061338,0.011979,-0.041387,-0.1189,-0.22814,-0.12384,0.070828,-0.043281,-0.0080845,-0.098918,-0.086282,-0.12575,0.052735,-0.19512,-0.11605,-0.27891,-0.082086,0.029911,-0.0056502,0.28745,0.1342,0.16998,-0.093466,-0.094174,0.12429,0.14007,0.17742,-0.011653,0.20159,-0.042666,0.17611,-0.097652,0.10555,0.050683,0.12885,0.11877,0.054654,-0.10526,0.094521,0.017044,0.10179,0.075596,-0.21698
8,0.91413,0.87056,0.82356,0.83923,0.81436,0.81514,0.89005,0.82567,1,0.86708,0.79272,0.84224,0.84247,0.81925,0.80974,0.82366,0.77387,0.7835,0.78268,0.73867,0.80751,0.76216,0.7079,0.82177,0.68027,0.83525,0.56902,0.79491,0.62701,0.61123,0.62234,0.77211,0.65773,0.62989,0.49261,0.42079,0.52398,0.43513,0.64746,0.50255,0.21442,0.38329,0.37335,0.55366,0.42816,0.30453,0.43589,0.25133,-0.26024,-0.012243,0.20118,0.27756,0.32502,0.065304,-0.18126,0.070505,0.027725,0.0057551,-0.083271,-0.20636,-0.032072,-0.13865,0.076963,-0.20423,-0.1863,-0.08711,0.077907,-0.11689,-0.072118,-0.025042,-0.11179,-0.022393,-0.097546,0.082393,-0.11523,-0.014803,-0.3465,0.10701,0.029554,-0.25072,-0.16921,-0.2504,1.7006e-05,-0.011201,-0.11153,-0.079259,-0.078216,-0.2828,0.093826,-0.053139,-0.11812,0.052363,-0.0066016,-0.066029,0.015846,-0.16125,-0.06158,-0.14234,-0.031854,-0.040986,-0.0043833,0.24033,0.11699,0.19122,-0.13089,-0.10699,0.14121,0.14641,0.14502,0.17004,0.010516,-0.11941,0.044709,-0.12811,0.041302,0.012822,-0.079517,0.096298,0.13166,-0.012164,0.10626,0.077261,-0.021867,0.044476,-0.10736
9,0.87512,0.85269,0.8779,0.8464,0.84227,0.87557,0.89944,0.85823,0.86708,1,0.83939,0.85213,0.87596,0.87677,0.82187,0.90727,0.86904,0.79636,0.71913,0.82939,0.76932,0.79211,0.77126,0.83012,0.65916,0.75965,0.57231,0.7769,0.58268,0.62578,0.63527,0.74566,0.69414,0.66142,0.45149,0.42057,0.53601,0.41823,0.6342,0.50106,0.18782,0.40615,0.4079,0.57862,0.40836,0.32587,0.39205,0.16021,-0.18212,0.10615,0.28305,0.13876,0.34614,0.23461,-0.17142,0.16793,0.057103,0.12752,-0.13949,-0.21758,0.03663,-0.034229,0.089925,-0.07251,-0.15032,-0.0064083,0.011361,-0.11734,0.022527,-0.006195,-0.084425,0.014483,-0.10849,0.10991,-0.083031,0.039784,-0.069985,0.042935,0.080399,-0.16293,-0.086108,-0.16197,0.017527,0.0055917,-0.065925,-0.14266,-0.034741,-0.25219,0.11823,0.054208,-0.04888,0.037681,-0.025163,-0.13265,0.019351,-0.13931,-0.13016,-0.24018,-0.019772,0.070001,0.070387,0.27776,0.14276,0.21842,-0.13452,-0.0027903,0.070649,0.19513,0.21782,0.062298,0.1587,-0.080672,-0.0077346,-0.14945,-0.010306,0.057564,0.043431,0.10284,0.10334,-0.11188,0.092737,0.095717,0.028505,0.06464,-0.19731
