,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,1,0.092446,0.1198,-0.036772,0.20001,-0.074331,0.24482,-0.11987,-0.10389,-0.057128,-0.39937,-0.065908,0.10747,-0.26701,-0.010149,-0.15356,-0.23154,-0.0082219,-0.36403,-0.51987,0.00023704,0.06963,-0.18124,-0.22408,-0.15618,-0.1107,-0.013352,-0.083462,-0.076822,-0.0092628,-0.29548,0.075847,-0.15136,0.018317,0.011857,-0.061055,-0.0001682,-0.015818,-0.10876,0.010953,-0.14503,-0.18072,0.31434,-0.17295,0.062158,-0.016757,-0.061676,0.17931,-0.19876,-0.1413,0.20212,-0.15682,0.41535,-0.16134,-0.16432,-0.11692,0.23344,0.4743,-0.036333,-0.0062264,0.070404,0.00061727,0.16103,-0.22927,0.067181,0.12519,-0.023722,0.023296,0.18773,-0.032901,-0.009908,0.087779,0.048013,-0.057534,-0.0038834,-0.25639,0.37843,0.25827,0.28114,0.060229,0.20814,0.096045,0.14489,0.047645,-0.18966,-0.092361,0.10155
1,0.092446,1,0.33814,0.11469,-0.30201,0.086898,-0.015967,-0.31926,-0.22534,-0.24506,0.018414,-0.033497,0.028163,0.034185,-0.13814,-0.27865,-0.13048,-0.133,0.0098808,-0.10356,-0.060722,-0.22667,0.053218,-0.34842,-0.015136,-0.055993,0.15218,-0.15644,0.045942,0.10256,0.020466,0.012354,0.016198,-0.0023298,-0.15832,0.25028,0.036141,0.3221,-0.017697,0.040375,-0.0050539,0.070693,0.1397,0.40661,-0.030863,-0.10273,-0.061175,0.081415,0.027316,-0.079854,0.15194,0.16245,0.14516,0.26059,0.17545,0.044609,0.037968,-0.10213,0.13604,0.013783,0.15933,0.30784,0.12438,0.096079,0.093199,0.018582,-0.10295,0.054629,0.17243,0.23302,0.085252,0.23087,-0.032346,-0.10971,0.0085324,0.21433,-0.064366,0.27411,0.25842,-0.14057,0.10321,0.023822,-0.0023641,-0.023308,-0.020479,0.13243,-0.001642
2,0.1198,0.33814,1,0.32931,-0.058735,0.22935,-0.12057,0.10663,0.066836,-0.14432,0.056494,0.058672,0.09384,-0.14851,-0.20652,-0.031194,-0.09252,0.17336,-0.05161,-0.080185,-0.0019605,-0.10669,0.0657,-0.044578,0.065511,0.12038,0.0053859,0.0048155,0.054023,-0.13262,0.35367,-0.219,-0.19644,0.011003,-0.27802,0.07542,0.25724,0.033761,-0.039666,0.073889,-0.13774,0.0097042,-0.017983,-0.056941,-0.13425,-0.16154,-0.034451,0.014564,-0.13259,-0.044068,-0.053598,-0.043276,-0.099809,-0.037648,-0.018973,-0.19696,0.3601,0.026539,0.018415,-0.22442,0.17925,0.21608,0.26968,0.056936,0.13906,0.28327,-0.16921,0.16076,0.37941,0.12597,0.034773,0.11619,0.067528,-0.036724,0.028006,0.17048,-0.17238,-0.1962,0.011652,0.045257,0.073747,0.18426,0.12499,-0.016956,-0.15773,0.054465,-0.078565
3,-0.036772,0.11469,0.32931,1,0.16905,0.18435,-0.051759,0.23689,-0.049317,0.036471,0.31423,0.249,0.14337,0.33119,0.33977,0.2999,0.12247,0.27557,0.11356,0.11956,0.20483,0.10322,0.22505,0.18235,0.17486,0.079203,0.27383,0.38318,0.33761,0.31885,0.31417,-0.067234,0.010583,0.23846,-0.17512,0.22279,0.22826,0.1811,0.15892,0.1997,0.19293,0.29469,-0.055994,0.092231,-0.093031,0.27729,-0.10579,-0.19999,0.025127,0.12587,-0.019778,-0.12398,-0.0052974,0.16426,0.0064139,-0.381,-0.016728,-0.061867,0.16575,0.020956,0.071212,0.097729,0.12697,0.047988,-0.13269,-0.095824,0.076612,0.18965,-0.17171,0.14725,0.17285,-0.053743,-0.024217,-0.014099,0.069071,0.20284,-0.20426,-0.11099,0.11308,-0.041297,0.0096476,-0.012583,-0.15023,-0.22121,-0.21044,0.20004,-0.36755
4,0.20001,-0.30201,-0.058735,0.16905,1,0.38565,0.14559,0.31519,0.21288,0.31282,0.22463,0.12228,-0.077724,-0.077543,0.14747,0.098394,0.065598,0.3301,-0.17183,-0.1008,-0.0020868,0.13691,0.2206,0.26225,0.18426,-0.057492,0.074261,0.17705,0.1038,0.14891,-0.12353,0.15314,0.25314,0.3893,-0.16582,-0.15507,-0.0010944,-0.044707,0.0012554,-0.17636,-0.05817,0.28258,-0.16589,-0.051993,0.13403,-0.048778,0.0017966,-0.097866,0.069564,-0.062819,0.18535,-0.064709,0.12857,-0.056739,0.040288,-0.026764,0.053258,-0.047985,-0.20012,-0.20868,0.11375,-0.085215,-0.077628,-0.060158,-0.052924,0.14452,0.12132,0.040958,-0.24809,-0.05687,-0.076496,-0.035753,0.08817,0.15463,-0.1113,0.082219,0.12589,0.082936,-0.10597,0.082597,0.064939,0.015941,-0.13399,-0.011588,-0.1254,0.19113,-0.16959
5,-0.074331,0.086898,0.22935,0.18435,0.38565,1,0.13177,0.27285,0.11052,0.013291,0.20603,0.087979,0.024368,-0.10716,-0.00092512,0.19458,0.037333,0.13811,-0.054181,0.055886,0.24689,0.055516,0.16381,0.36657,0.38408,0.096223,0.08174,0.14771,0.050207,0.23491,0.096212,0.09267,-0.00010226,0.26761,-0.50265,0.21639,0.025059,0.031426,0.090709,0.12159,-0.093821,0.20896,-0.17752,0.1569,0.19524,-0.14139,-0.050205,0.15627,0.13668,-0.033297,0.027688,0.27644,-0.094551,0.073733,0.24187,0.11576,-0.0014833,-0.063828,-0.068711,-0.23326,0.15463,0.10628,0.06242,0.062225,0.14656,0.15287,-0.038495,0.079379,0.079976,-0.06369,-0.1059,0.080239,0.030388,-0.0023834,0.021591,0.05437,-0.070789,-0.061759,-0.06985,0.0037179,-0.19674,0.34177,-0.24483,0.14194,-0.11302,0.22154,0.015702
6,0.24482,-0.015967,-0.12057,-0.051759,0.14559,0.13177,1,-0.069763,0.15489,0.1045,0.16597,0.25932,0.1852,-0.28258,0.11887,0.08696,-0.0051173,0.042091,-0.051141,-0.15488,0.1025,0.04512,-0.11817,0.1236,-0.057395,0.20957,-0.030273,0.063636,0.15418,0.16953,-0.022671,0.32304,0.096353,-0.0060311,0.029945,0.24313,0.14185,0.076452,-0.044851,-0.024947,-0.02659,0.12442,0.33649,0.041853,-0.042855,0.12794,-0.14565,0.19229,0.033345,-0.024651,0.040328,0.15723,0.2731,0.045452,-0.067701,0.13879,-0.19797,0.18811,-0.24484,0.047442,0.0098087,-0.33915,0.024468,0.11688,-0.064518,0.12077,0.097927,-0.14704,0.11761,-0.11989,-0.0436,0.19145,-0.024312,0.23022,-0.21406,-0.038285,0.053832,0.13902,-0.010181,-0.1131,-0.36566,0.16817,0.10558,-0.089134,-0.047551,0.2059,0.011963
7,-0.11987,-0.31926,0.10663,0.23689,0.31519,0.27285,-0.069763,1,0.038952,0.1333,0.3171,0.15092,-0.091175,-0.049471,0.19883,0.06745,0.15599,0.15975,-0.048471,0.035849,-0.17206,0.28725,-0.047479,0.15651,0.052898,0.11693,0.19832,0.16319,-0.023233,0.03563,0.046858,-0.38,0.21529,0.1586,-0.18643,0.00035856,-0.10799,-0.15621,-4.7836e-05,-0.045872,0.018,0.00075779,-0.088039,-0.27574,-0.0019738,0.2699,0.066743,-0.13581,0.087561,0.089531,-0.10805,-0.1164,-0.25731,-0.11881,0.087382,0.036739,0.19946,0.21136,-0.0094769,-0.05851,0.030319,-0.080515,-0.05956,-0.071577,-0.096404,0.08299,0.055872,0.27501,-0.15965,0.10427,-0.014673,-0.22988,0.18669,-0.013113,-0.16044,0.045287,-0.28405,-0.15175,0.11493,0.063092,0.070621,-0.045202,-0.0010893,-0.11109,-0.04768,-0.06207,-0.096168
8,-0.10389,-0.22534,0.066836,-0.049317,0.21288,0.11052,0.15489,0.038952,1,0.3326,0.32719,0.31324,0.11167,0.093432,0.19764,0.45094,0.20267,0.25901,0.034626,0.34048,0.36382,0.17489,0.2146,0.31469,0.14673,0.37107,0.24129,0.17035,0.30006,0.18004,0.081068,0.32615,0.32164,0.22031,0.072934,0.11743,-0.15549,0.022085,0.29619,0.20221,0.068103,0.3044,-0.0071514,0.057193,-0.18705,-0.076996,0.33687,0.011623,0.099053,0.079551,0.1177,-0.09658,-0.10188,-0.02838,0.11516,0.12809,-0.02578,-0.30919,-0.01559,0.089886,-0.032536,-0.19984,0.22277,0.11254,0.042379,0.14803,-0.012543,0.12179,0.11865,-0.13038,-0.024865,0.0065182,-0.18932,-0.01352,0.028292,-0.039549,-0.18996,0.09216,-0.30746,0.35275,0.023154,0.11419,-0.093121,0.1838,-0.088689,0.16197,0.0421
9,-0.057128,-0.24506,-0.14432,0.036471,0.31282,0.013291,0.1045,0.1333,0.3326,1,0.22745,-0.0077071,-0.06609,-0.12324,0.12618,0.25101,0.098635,0.20707,0.014951,0.1829,0.051679,-0.077376,0.094093,0.25275,0.27806,0.026262,0.34014,0.14106,0.13492,0.079344,-0.018104,0.16008,0.15004,0.29708,-0.056123,-0.0022793,-0.15211,0.29329,0.080283,-0.021973,0.13399,0.19818,0.070977,-0.027953,0.18108,-0.015372,-0.062606,-0.089406,0.23537,-0.016203,0.027139,-0.28663,0.0064569,0.040516,0.21852,-0.05737,0.048699,-0.015061,-0.019946,0.27037,-0.17403,-0.21734,0.020925,0.13147,-0.239,0.080485,0.24768,-0.1565,-0.085001,-0.086299,-0.36439,-0.23317,-0.2699,-0.12737,0.044793,0.20346,-0.03942,-0.050388,-0.27595,0.01435,-0.049008,-0.2603,0.057772,0.0092912,-0.11647,-0.015219,0.065054
