,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
0,1,0.89108,0.80959,0.82425,0.80133,0.83589,0.84137,0.80742,0.82511,0.81454,0.8331,0.79951,0.77608,0.83837,0.8113,0.82317,0.82759,0.77988,0.82291,0.77159,0.77546,0.79628,0.78771,0.83505,0.83834,0.80734,0.71172,0.81954,0.79147,0.86227,0.77568,0.76708,0.7674,0.79881,0.74693,0.84708,0.77916,0.73052,0.74143,0.72858,0.7231,0.7663,0.77101,0.72003,0.78943,0.72976,0.70388,0.75871,0.80151,0.61597,0.58246,0.76879,0.66711,0.73609,0.56843,0.4785,0.64678,0.49659,0.69256,0.49199,0.5083,0.30948,0.3773,0.54014,0.51889,0.38561,0.64855,0.36498,0.33045,0.48985,0.44613,0.44024,0.37047,0.35761,0.46546,0.402,0.11536,0.21981,0.45649,0.35441,0.0068472,0.30396,0.1064,0.44629,0.408,0.11642,0.17905,0.14724,0.2506,0.27191,0.49046,0.10938,-0.028188,0.032908,-0.14054,0.0317,-0.033667,0.12679,0.48823,0.0040796,0.081677,0.17304,-0.27653,0.052363,-0.056721,0.013067,0.23301,0.26549,0.21434,0.035931,0.10572,0.24223,-0.019947,-0.13451,0.006498,-0.20703,-0.26276,0.073072,0.16578,-0.11456,0.095263,0.12325,0.32863,-0.16495,-0.38081,0.22599,0.393,0.25329,-0.20459,0.063739,0.12433,-0.031116,-0.073654,0.056983,-0.036015,0.20067,-0.15066,0.018149,-0.35349,-0.20531,-0.043315,-0.031261,0.012302,-0.054048,0.10998,-0.19404,0.04788,0.25075,-0.00039491,0.19873,0.33449,-0.1333,-0.055777,-0.38343,-0.28564,0.35657,0.13514,-0.046154,-0.10549,-0.19166,0.14591,-0.17988,0.0086519,-0.23851,0.195,-0.22759,-0.069502,0.043185,-0.096983,-0.086075,0.043068,0.38124,0.22595,-0.20965,-0.21116,-0.14925,-0.34641,-0.073673,0.15185,0.14945,-0.1926,0.068806,0.17336,-0.044034,-0.11647
1,0.89108,1,0.86326,0.8204,0.81965,0.80264,0.83969,0.79038,0.83362,0.82396,0.82937,0.85049,0.80864,0.8646,0.83771,0.77836,0.82623,0.79523,0.81755,0.8117,0.75654,0.83882,0.8205,0.80422,0.80725,0.79831,0.75473,0.82331,0.82756,0.8541,0.81582,0.79051,0.77944,0.77919,0.73726,0.85311,0.78344,0.66416,0.72958,0.74416,0.7298,0.74383,0.83628,0.73513,0.75155,0.67714,0.70524,0.69818,0.7879,0.58369,0.60118,0.77479,0.60503,0.7709,0.59072,0.58761,0.56133,0.45265,0.71729,0.5572,0.56649,0.36309,0.38393,0.44162,0.5313,0.41063,0.70475,0.33964,0.26136,0.38513,0.43879,0.26882,0.30822,0.44361,0.48933,0.38904,0.13431,0.30379,0.30976,0.35601,0.091496,0.25044,0.12651,0.46023,0.34676,0.14578,0.2081,0.10098,0.32855,0.2132,0.43702,0.035209,-0.05423,0.049196,-0.10553,-0.089932,-0.031864,0.1007,0.42878,0.041683,0.22228,0.074879,-0.32985,-0.017122,0.0017155,-0.020315,0.24134,0.16777,0.16348,0.16235,0.0090643,0.22302,0.076032,-0.1249,-0.11518,-0.1047,-0.29663,0.015555,0.23199,-0.16201,0.099755,0.2255,0.21136,-0.11525,-0.27954,0.10323,0.33428,0.28627,-0.094978,-0.076376,0.052158,0.062955,-0.011747,0.076049,-0.087717,0.15961,-0.13923,-0.055447,-0.32108,-0.15237,-0.017444,0.034475,0.030375,0.030257,0.13208,-0.033812,0.03629,0.35702,0.15266,0.23414,0.26526,-0.063099,-0.025341,-0.33384,-0.32255,0.3312,0.20946,0.023242,-0.074474,-0.23811,0.13877,-0.16986,-0.089689,-0.24026,0.10497,-0.16879,0.036732,0.19294,-0.14006,-0.19486,-0.041081,0.35121,0.19043,-0.2158,-0.28517,-0.20769,-0.33304,-0.065439,0.16258,0.079012,-0.16551,0.049258,0.22105,-0.11239,-0.14392
2,0.80959,0.86326,1,0.82709,0.84283,0.86631,0.84018,0.8325,0.82776,0.82344,0.89019,0.84535,0.75685,0.84853,0.85079,0.80429,0.84406,0.83046,0.88768,0.81682,0.81897,0.89267,0.81809,0.75777,0.83084,0.81442,0.82327,0.84793,0.81338,0.84202,0.84491,0.76113,0.77828,0.78679,0.77141,0.85321,0.812,0.75307,0.77361,0.78758,0.75246,0.7758,0.81172,0.68689,0.79764,0.74308,0.78968,0.71807,0.75193,0.56476,0.63347,0.74542,0.58296,0.87125,0.5968,0.48973,0.62192,0.49908,0.74117,0.57801,0.51875,0.39287,0.45228,0.42888,0.547,0.33634,0.6772,0.37916,0.29179,0.29913,0.45503,0.26906,0.39599,0.49582,0.44116,0.33928,0.1281,0.26405,0.37751,0.4032,0.10893,0.13606,0.14655,0.47062,0.32667,0.19633,0.26417,0.097941,0.35999,0.32525,0.45948,-0.077191,-0.12055,0.065602,-0.21516,-0.15014,0.12787,0.16644,0.42625,0.010348,0.28956,0.09663,-0.22726,0.038311,0.099072,0.073493,0.17992,0.19911,0.12794,0.19503,0.052172,0.26871,0.10139,-0.030345,-0.20978,-0.11619,-0.31888,0.038978,0.23871,-0.14669,0.091087,0.16409,0.20555,-0.10666,-0.27066,0.036615,0.16923,0.084279,-0.047511,-0.056058,-0.022732,0.20633,-0.090918,0.025324,-0.067433,0.11221,-0.14091,-0.068717,-0.34487,-0.04346,-0.11743,0.035005,0.064115,-0.0088795,0.079976,-0.13841,0.068545,0.35115,0.12673,0.12643,0.10872,-0.019775,-0.096695,-0.28728,-0.25373,0.32529,0.29686,0.048794,-0.14533,-0.21694,0.16564,-0.11208,-0.2094,-0.18897,0.10061,-0.20025,0.094748,0.074678,-0.13288,-0.02996,-0.045427,0.26269,0.16037,-0.17168,-0.096189,-0.1608,-0.35378,0.11575,0.091424,-0.0050782,-0.18833,0.086052,0.14114,-0.081271,-0.074191
3,0.82425,0.8204,0.82709,1,0.8126,0.79063,0.8141,0.81208,0.83715,0.79875,0.82977,0.84665,0.77479,0.84121,0.7965,0.81452,0.80739,0.83164,0.84764,0.78683,0.7581,0.84114,0.83048,0.77982,0.85236,0.81295,0.80009,0.85806,0.8162,0.83927,0.80735,0.75561,0.80171,0.84515,0.67679,0.79102,0.82118,0.74102,0.80095,0.74997,0.7883,0.72338,0.77316,0.73392,0.66894,0.61578,0.68815,0.6964,0.71785,0.64301,0.6211,0.73156,0.62332,0.76378,0.53744,0.52662,0.53718,0.5249,0.71726,0.49247,0.57386,0.38575,0.40224,0.44523,0.54875,0.3669,0.65021,0.22667,0.37158,0.43792,0.45317,0.34266,0.27922,0.39906,0.40307,0.21665,0.094993,0.25816,0.28968,0.39509,0.029001,0.2858,0.085547,0.45268,0.38635,0.16723,0.10237,0.09687,0.36018,0.31569,0.39502,-0.00014468,-0.015135,0.036889,-0.28719,-0.07536,0.017108,0.14324,0.43989,0.037053,0.15537,0.066165,-0.26816,0.0036876,-0.011366,0.13435,0.26422,0.12731,0.20886,0.17484,0.10205,0.11046,0.023861,-0.035312,-0.086922,-0.054598,-0.26072,-0.011163,0.23711,-0.12466,0.21866,0.11022,0.29135,-0.18576,-0.32362,-0.060251,0.20224,0.16775,-0.022488,-0.081877,0.030048,0.097306,-0.074937,-0.0033923,-0.03616,0.10674,-0.098966,-0.00094484,-0.2865,-0.086238,-0.16613,-0.15615,0.090194,-0.029321,0.14338,-0.27698,0.088072,0.15303,0.095462,0.18329,0.27273,-0.0051925,-0.16719,-0.30743,-0.1192,0.22532,0.25595,0.05636,-0.051046,-0.26555,0.031868,-0.13855,-0.13036,-0.14648,0.17251,-0.12826,-0.025565,0.010337,0.0096408,-0.023855,0.0041055,0.27162,0.029913,-0.054041,-0.18974,-0.26564,-0.35488,0.13119,0.049069,-0.061139,-0.016487,8.6996e-05,0.13783,-0.13091,-0.11325
4,0.80133,0.81965,0.84283,0.8126,1,0.78126,0.89527,0.86749,0.8233,0.83995,0.86078,0.80521,0.76634,0.76476,0.7759,0.80257,0.86817,0.84199,0.84292,0.8075,0.76252,0.84093,0.80344,0.77204,0.76971,0.79407,0.75536,0.8038,0.77926,0.75547,0.80841,0.77759,0.72629,0.82217,0.73716,0.82217,0.78265,0.76558,0.73498,0.76488,0.76086,0.81272,0.86937,0.81644,0.74875,0.76616,0.73997,0.68447,0.72868,0.64902,0.66462,0.69967,0.64064,0.80867,0.49119,0.5916,0.56752,0.49559,0.74221,0.57045,0.56312,0.47069,0.40797,0.46639,0.67032,0.23302,0.56622,0.40398,0.39681,0.40999,0.39022,0.35989,0.41292,0.41863,0.37133,0.39967,0.14999,0.43685,0.34344,0.35619,0.022966,0.090078,0.094199,0.42758,0.35598,0.27443,0.27334,0.10326,0.40562,0.29533,0.34105,0.094275,0.044384,0.076456,-0.15697,-0.016561,0.096806,0.10745,0.40739,-0.015466,0.22773,0.05753,-0.26199,0.035818,0.039042,0.10834,0.3348,0.22798,0.078984,0.25257,0.0043529,0.22797,0.060333,-0.072236,-0.11653,-0.16798,-0.40615,0.10527,0.25365,-0.022589,0.14646,0.2963,0.2292,-0.12504,-0.24151,0.13964,0.2451,0.0060664,-0.037668,-0.048392,0.16165,0.22561,0.027064,0.065716,-0.034725,0.059167,-0.096611,-0.06056,-0.23259,-0.13493,-0.24659,0.03242,0.19022,0.01186,-0.0388,-0.23076,0.010859,0.29444,0.13789,0.22662,0.16995,-0.10832,-0.07891,-0.33758,-0.28241,0.25834,0.11675,0.14392,-0.2257,-0.3962,0.11071,-0.078987,-0.20861,-0.082319,0.073862,-0.15089,0.20996,0.0059282,-0.18795,0.048632,0.13849,0.30934,0.13868,-0.15899,-0.16407,-0.17,-0.28834,-0.014887,-0.05444,0.1581,-0.12074,0.074217,0.16989,-0.02092,-0.15385
5,0.83589,0.80264,0.86631,0.79063,0.78126,1,0.79197,0.77305,0.78505,0.77493,0.83631,0.71969,0.72881,0.78618,0.76041,0.72503,0.82257,0.75654,0.84171,0.72797,0.70303,0.8295,0.76264,0.72868,0.80072,0.83215,0.7873,0.80217,0.70934,0.804,0.75766,0.75907,0.73191,0.75102,0.82846,0.83167,0.74919,0.75059,0.76336,0.75873,0.71384,0.75202,0.7562,0.56944,0.74322,0.67851,0.78811,0.65534,0.6352,0.5106,0.61219,0.74278,0.49142,0.82582,0.57565,0.48303,0.67047,0.61949,0.75828,0.57661,0.54836,0.44613,0.31842,0.56297,0.59393,0.40844,0.75488,0.29776,0.32849,0.22413,0.46507,0.31865,0.447,0.43491,0.41214,0.22654,0.097233,0.13602,0.34374,0.3557,0.17626,0.19348,0.12872,0.46376,0.35774,0.2001,0.28633,0.069562,0.30374,0.36339,0.49398,0.052726,0.018847,-0.04255,-0.21771,-0.18842,0.019232,0.18918,0.4268,0.024801,0.15093,-0.042909,-0.16449,0.028688,0.077813,-0.0033088,0.14598,0.20751,0.086037,0.22961,0.075691,0.2725,0.055295,-0.13279,-0.13048,-0.078934,-0.25906,-0.024359,0.14926,-0.062949,0.055395,0.14162,0.27483,-0.16649,-0.22314,0.21078,0.30344,0.035757,-0.055029,0.1581,0.10099,0.087831,-0.034723,0.039003,-0.01216,0.065794,-0.10834,-0.069249,-0.3017,-0.19215,-0.11639,-0.043448,0.1117,0.023173,0.19593,-0.16741,-0.056434,0.38335,0.050908,0.17294,0.15407,-0.07539,-0.012358,-0.37996,-0.21037,0.32546,0.16949,-0.026895,-0.2008,-0.12461,0.073648,-0.11171,0.039972,-0.22197,0.090039,-0.15939,0.13029,0.020094,-0.12521,-0.10332,-0.051782,0.23913,0.073017,-0.1604,-0.17969,-0.10261,-0.33739,0.10012,0.075791,-0.057746,-0.12766,0.10008,0.064317,-0.11568,-0.037104
6,0.84137,0.83969,0.84018,0.8141,0.89527,0.79197,1,0.85656,0.88144,0.84255,0.85923,0.83583,0.85755,0.82915,0.84928,0.84078,0.91268,0.85061,0.84864,0.85029,0.80027,0.87056,0.86531,0.83306,0.85687,0.82485,0.77884,0.85186,0.80488,0.85744,0.78826,0.74315,0.79154,0.84718,0.81377,0.81452,0.80151,0.74447,0.72501,0.80334,0.76734,0.75847,0.85195,0.82003,0.70949,0.70714,0.69892,0.72558,0.73437,0.69949,0.69275,0.77182,0.61104,0.80174,0.58136,0.57335,0.59769,0.48949,0.70381,0.56782,0.58891,0.43388,0.43043,0.49547,0.63642,0.3706,0.64571,0.29929,0.32642,0.54016,0.38495,0.38764,0.38896,0.35489,0.57173,0.37495,0.1061,0.32261,0.37776,0.38028,0.021296,0.16701,0.16173,0.43193,0.32931,0.24157,0.14584,0.12057,0.35447,0.38029,0.38072,0.057994,-0.0014355,0.11328,-0.22344,0.011179,-0.011239,0.18834,0.45817,0.072834,0.20498,0.068986,-0.27098,0.10256,-0.086321,-0.033951,0.26135,0.17146,0.03204,0.17676,0.014459,0.28653,0.038044,-0.070863,-0.15301,-0.13498,-0.29169,0.15018,0.27899,0.034945,0.11805,0.20715,0.29644,-0.12068,-0.2701,0.15234,0.35569,0.10906,-0.024568,-0.016853,0.12896,0.13768,-0.030702,0.024379,-0.082318,0.094693,-0.12602,-0.018533,-0.28048,-0.0079822,-0.17016,0.021382,0.052885,0.055611,0.099906,-0.1825,-0.026291,0.35334,0.082798,0.26345,0.20722,-0.13934,-0.099224,-0.20325,-0.32524,0.34417,0.13764,-0.0025231,-0.09153,-0.23222,0.045788,-0.10559,-0.10807,-0.1059,0.11137,-0.17586,0.033579,0.078486,-0.14579,-0.081953,0.11429,0.33674,0.14507,-0.13667,-0.070033,-0.15886,-0.39043,-0.019223,0.028989,0.11849,-0.12239,-0.02235,0.1488,-0.057063,-0.077259
7,0.80742,0.79038,0.8325,0.81208,0.86749,0.77305,0.85656,1,0.85386,0.81211,0.86368,0.81654,0.76687,0.75219,0.79291,0.81537,0.84879,0.80698,0.80305,0.75078,0.78157,0.79604,0.80555,0.75203,0.82833,0.78974,0.79406,0.81227,0.72609,0.81834,0.79362,0.73056,0.72368,0.84256,0.77965,0.80226,0.8073,0.75004,0.78579,0.77524,0.75757,0.71006,0.82827,0.71991,0.71791,0.66652,0.72745,0.68994,0.76737,0.68327,0.58883,0.7946,0.5851,0.77514,0.52464,0.4728,0.66588,0.55723,0.71779,0.53981,0.58275,0.5059,0.39398,0.38861,0.62108,0.32224,0.59447,0.38316,0.25575,0.50112,0.44079,0.3339,0.39422,0.50831,0.50236,0.34746,0.13436,0.24719,0.42933,0.27053,0.15753,0.11051,0.10053,0.3643,0.32127,0.20079,0.14008,0.25197,0.28649,0.32524,0.4048,-0.050181,-0.053856,0.099005,-0.18523,-0.04323,0.096797,0.11131,0.38891,0.022635,0.21187,0.25082,-0.1565,-0.041018,0.18608,0.14177,0.31953,0.23554,0.095424,0.2603,-0.0025984,0.25043,0.042517,-0.091334,-0.07738,-0.071333,-0.35656,0.12358,0.19116,-0.03855,0.19566,0.24426,0.17686,-0.14598,-0.25192,0.077754,0.31559,0.060931,-0.055776,0.027587,0.1682,0.12166,-0.12161,0.11051,-0.0076872,0.027229,-0.047622,-0.15135,-0.37212,-0.06673,-0.22884,0.017555,0.079577,0.04113,0.13849,-0.39241,0.10146,0.37967,0.14023,0.12163,0.23495,-0.031986,-0.072236,-0.34,-0.23307,0.42531,0.14868,0.098877,-0.12682,-0.27349,0.14776,-0.1077,-0.081377,-0.17871,0.037274,-0.074387,0.22209,-0.010917,-0.1147,0.016306,0.085552,0.21585,0.083342,-0.13251,-0.10768,-0.034012,-0.45294,0.048783,-0.0071036,0.12184,-0.2178,0.1339,0.20209,-0.016831,-0.10694
8,0.82511,0.83362,0.82776,0.83715,0.8233,0.78505,0.88144,0.85386,1,0.84188,0.92174,0.84833,0.80979,0.8402,0.81693,0.83934,0.83836,0.80819,0.80373,0.83145,0.70119,0.83289,0.80101,0.83067,0.84111,0.78912,0.81857,0.82177,0.88003,0.82043,0.76422,0.72268,0.73795,0.79524,0.82217,0.835,0.76785,0.73595,0.85144,0.75346,0.73793,0.77819,0.80617,0.69759,0.75858,0.62781,0.68616,0.68321,0.80968,0.60593,0.64858,0.76208,0.51717,0.7974,0.61849,0.50156,0.54788,0.51231,0.71252,0.53382,0.54872,0.48337,0.34185,0.4082,0.63131,0.35603,0.61219,0.22695,0.36664,0.45901,0.37759,0.3813,0.40187,0.44547,0.56009,0.27369,0.2184,0.23187,0.36289,0.25509,-0.015362,0.32178,0.19229,0.43639,0.30251,0.23238,0.1504,0.22321,0.21831,0.38054,0.38056,-0.0038652,0.050245,0.13257,-0.14416,0.05449,0.10526,0.047568,0.37559,0.15612,0.24388,0.065157,-0.22468,0.057506,0.0035742,0.029465,0.2223,0.10173,0.16749,0.20717,0.095428,0.30999,-0.017682,-0.1702,-0.038414,-0.03038,-0.29878,0.0070218,0.26774,0.030036,0.15479,0.17867,0.14032,-0.051677,-0.20984,0.07617,0.25337,0.15197,-0.097342,-0.059992,0.1113,0.13383,-0.10101,0.0054166,-0.10353,0.20179,-0.2403,-0.096996,-0.35285,0.00053092,-0.25832,-0.10209,0.028264,-0.020981,0.13577,-0.20674,0.011183,0.39289,0.10631,0.19469,0.18186,-0.027994,0.0095597,-0.33644,-0.33603,0.2364,0.12303,-0.090914,-0.01673,-0.17311,0.089207,-0.24494,-0.088494,-0.15351,0.20417,-0.11021,0.064263,0.017389,-0.13688,-0.11678,-0.055535,0.34135,0.13429,-0.18104,-0.068519,-0.18057,-0.39514,-0.011962,-0.013053,0.1264,-0.19693,-0.0078289,0.16491,-0.14651,-0.0011844
9,0.81454,0.82396,0.82344,0.79875,0.83995,0.77493,0.84255,0.81211,0.84188,1,0.88577,0.85554,0.78954,0.78149,0.73711,0.79898,0.86122,0.82223,0.83594,0.8607,0.73983,0.83841,0.80859,0.83618,0.82733,0.81757,0.82908,0.85533,0.80435,0.77533,0.7245,0.6673,0.6772,0.76571,0.77656,0.82216,0.71318,0.74655,0.79779,0.78508,0.74031,0.71806,0.82868,0.67077,0.68187,0.68154,0.73057,0.72469,0.66664,0.6173,0.66588,0.70271,0.57153,0.74795,0.61814,0.48931,0.6035,0.4167,0.73871,0.49457,0.5934,0.36322,0.50715,0.41229,0.6707,0.31372,0.59256,0.39452,0.48679,0.36441,0.3998,0.3958,0.37279,0.46158,0.36392,0.39841,0.10296,0.25095,0.34505,0.4194,0.1455,0.24003,0.10853,0.50786,0.4144,0.33457,0.22802,0.14459,0.28082,0.39822,0.30089,0.053862,0.034746,0.19994,-0.23369,-0.071087,0.14309,0.046372,0.39742,0.057932,0.26512,0.056544,-0.22231,0.14898,0.031447,0.044859,0.26908,0.1504,0.074978,0.29285,0.050983,0.39168,0.0055023,-0.095996,-0.10406,-0.12754,-0.26893,0.075422,0.19141,0.020611,0.14895,0.17031,0.19485,-0.097232,-0.15434,0.10838,0.26694,0.12059,0.0067253,0.0027698,0.12704,0.096888,-0.066008,0.028978,-0.074629,0.089789,-0.13122,-0.021177,-0.34589,-0.065543,-0.13005,0.078705,0.011089,-0.031226,0.069035,-0.17957,-0.018551,0.30073,0.12616,0.12628,0.088064,0.027631,-0.040375,-0.23511,-0.364,0.25982,0.18459,0.012195,-0.1766,-0.28682,0.081914,-0.058972,-0.051426,-0.16936,0.14891,-0.18547,0.054903,0.15634,-0.18136,0.034842,-0.018161,0.30853,0.2775,-0.081543,-0.12686,-0.080191,-0.39178,-0.028442,0.066765,0.094162,-0.088618,0.10539,0.22177,-0.02418,-0.097036
