,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,1,0.88895,0.90004,0.87331,0.8558,0.89609,0.90212,0.86057,0.8859,0.85698,0.87624,0.90749,0.86952,0.83786,0.83945,0.86063,0.82256,0.84623,0.82294,0.88843,0.81092,0.8722,0.85206,0.78808,0.75698,0.73077,0.7474,0.78352,0.64486,0.64358,0.48488,0.77939,0.55063,0.59295,0.43983,0.6211,0.5844,0.45264,0.28778,0.38482,0.19634,0.46256,0.41276,0.47233,0.55347,0.15634,0.2422,0.3363,0.2865,0.078108,0.10818,0.11517,0.1828,0.21405,0.13029,0.15045,-0.29219,0.18993,0.041745,-0.10613,-0.16567,-0.11149,-0.083835,-0.17437,-0.18408,0.0087336,-0.032302,0.0058493,-0.20687,0.12168,-0.12644,0.091257,-0.16987,-0.3144,-0.17554,0.23805,-0.22715,-0.13424,-0.044723,-0.10739,-0.24889,-0.17671,-0.2455,0.23353,-0.12845,-0.16223,0.014083,-0.10834,0.13344,0.049536,0.011589,-0.0025067,-0.083321,-0.10083,0.068965,-0.069821,-0.12638,-0.01156,-0.093403,-0.20496,0.016285,-0.2081,-0.04565,0.3643,0.3249,-0.073074,0.3396,-0.14242,0.034798,0.15886,-0.030775,-0.25126,0.044124,0.3842,0.053804,-0.18933,0.0065303,-0.050227,0.28159,0.14783,0.14344,0.21469,-0.15206,0.18202,-0.073111,-0.038268
1,0.88895,1,0.86031,0.84715,0.85433,0.87581,0.87135,0.83879,0.87766,0.78436,0.86342,0.81674,0.89704,0.81271,0.87974,0.84572,0.79122,0.77207,0.79888,0.87101,0.83967,0.81992,0.80191,0.72832,0.72736,0.74437,0.75153,0.74914,0.65965,0.61621,0.5133,0.74213,0.52118,0.58915,0.47186,0.65132,0.5585,0.46547,0.31519,0.44251,0.33896,0.52316,0.19485,0.526,0.57754,0.15325,0.123,0.22922,0.41118,0.012247,0.091929,0.053659,0.00086189,0.14124,0.031311,0.016388,-0.12818,0.0361,0.080931,-0.27524,0.00086682,-0.14142,-0.19019,-0.2567,-0.22606,-0.076252,-0.13669,0.0038446,-0.32854,0.010461,-0.1293,0.041842,-0.19944,-0.23234,-0.1188,0.2881,-0.092317,-0.14266,-0.098554,-0.10413,-0.19458,-0.25503,-0.24547,0.24631,-0.077984,-0.24117,-0.0042427,-0.1365,0.02368,0.035021,0.036809,0.023456,-0.050569,-0.12759,0.078154,-0.079976,-0.085372,0.010875,-0.1482,-0.090598,0.017934,-0.076712,0.038532,0.33261,0.27446,-0.0413,0.36136,-0.095543,0.030867,0.038527,-0.022635,-0.31321,0.0711,0.33633,-0.027452,-0.15178,-0.025294,-0.031695,0.37847,0.13792,0.23985,0.17283,-0.13559,0.33285,-0.072513,-0.15816
2,0.90004,0.86031,1,0.80656,0.8556,0.85636,0.8418,0.82704,0.87805,0.83201,0.87661,0.85248,0.87615,0.85995,0.8462,0.79993,0.83477,0.8222,0.79078,0.81185,0.74968,0.83397,0.82994,0.7669,0.70168,0.64786,0.72605,0.75621,0.60463,0.59539,0.49599,0.73976,0.60432,0.61542,0.41719,0.69842,0.59972,0.45489,0.28349,0.48462,0.16131,0.48717,0.48105,0.54582,0.48474,0.17073,0.22902,0.19379,0.3117,0.034712,-0.037877,0.1701,0.1482,0.1914,0.0089061,0.21726,-0.16691,0.14327,0.121,-0.060473,-0.13173,-0.088077,-0.11211,-0.26566,-0.16828,-0.06202,0.12346,0.006377,-0.18614,0.066782,-0.064335,0.032971,-0.1978,-0.2646,-0.08911,0.2214,-0.15147,-0.10399,-0.017775,-0.034867,-0.20757,-0.10646,-0.21652,0.24665,-0.11184,-0.16326,-0.084606,-0.11822,0.025381,0.10633,0.11026,0.18498,-0.015053,-0.17527,-0.032661,0.050887,-0.16084,-0.0027939,-0.19967,-0.077519,0.026627,-0.17372,-0.072655,0.31804,0.22125,0.031665,0.34902,0.021462,0.13331,0.052267,0.0027969,-0.17297,0.15293,0.29172,0.13235,-0.051593,0.043491,0.067702,0.2545,0.20392,0.22649,0.19917,-0.14846,0.20277,0.072299,-0.16027
3,0.87331,0.84715,0.80656,1,0.8232,0.83952,0.86624,0.87502,0.83248,0.79241,0.81633,0.79417,0.81795,0.85339,0.769,0.75962,0.7506,0.80634,0.83712,0.85609,0.75995,0.72374,0.80459,0.77115,0.6563,0.7193,0.69741,0.67447,0.55786,0.67107,0.46076,0.75137,0.46813,0.56126,0.45573,0.58116,0.55831,0.41469,0.33086,0.41603,0.33136,0.38175,0.38326,0.54795,0.50033,0.22852,0.14636,0.3504,0.32513,0.080309,0.068485,0.219,0.098967,0.18257,0.070547,0.17077,-0.15814,0.12071,-0.086035,-0.20169,-0.21441,0.013872,-0.10874,-0.067727,-0.20443,0.099056,0.002413,0.094762,-0.23533,-0.030068,-0.066553,0.00030095,-0.1207,-0.38258,-0.045364,0.22823,-0.2126,-0.010322,0.0016621,-0.055788,-0.33089,-0.2429,-0.26421,0.2624,-0.1317,-0.26113,-0.0089897,-0.19134,0.046175,0.00089843,-0.12213,0.096235,-0.12833,-0.072065,0.051879,-0.067527,-0.065644,0.0014778,-0.22892,-0.20871,-0.1302,-0.076629,-0.0023355,0.40594,0.29585,-0.11737,0.43781,-0.058691,0.014257,0.16336,-0.012611,-0.28083,0.04918,0.29978,-0.073528,-0.30645,-0.0030933,0.015846,0.33856,0.089822,0.14795,0.14722,-0.1786,0.23851,-0.0455,0.030961
4,0.8558,0.85433,0.8556,0.8232,1,0.83974,0.84178,0.82179,0.86609,0.86526,0.85141,0.78038,0.83795,0.79086,0.80414,0.80063,0.74132,0.78107,0.75497,0.8329,0.71336,0.75653,0.85547,0.81516,0.74447,0.65785,0.77952,0.75406,0.5729,0.59726,0.51991,0.69318,0.41645,0.54945,0.4051,0.62678,0.5154,0.381,0.29674,0.42699,0.29333,0.49351,0.38534,0.4444,0.57459,0.16983,0.15592,0.31256,0.3628,-0.096462,-0.021188,0.14442,0.10263,0.053748,0.011396,0.088501,-0.14103,0.069466,-0.029652,-0.2557,-0.15234,-0.21482,-0.20944,-0.2237,-0.25062,-0.045009,0.15172,0.0040926,-0.30049,0.028312,-0.16287,-0.021484,-0.25823,-0.23529,0.066101,0.21084,-0.11732,-0.1532,0.08386,-0.1005,-0.30646,-0.04695,-0.31392,0.34304,-0.13498,-0.20992,-0.053811,-0.26538,-0.047463,-0.020391,0.015778,0.1303,-0.089294,-0.20861,0.051988,0.0027868,-0.077928,-0.040819,-0.15609,-0.038371,-0.069882,-0.12207,0.015134,0.18877,0.30531,-0.12844,0.3505,-0.0078032,0.076186,0.042694,-0.059989,-0.25547,0.13064,0.33816,0.03578,-0.074688,0.1211,-0.0067677,0.30833,0.19421,0.16222,0.20184,-0.14618,0.14878,-0.11076,-0.070932
5,0.89609,0.87581,0.85636,0.83952,0.83974,1,0.84408,0.85463,0.89241,0.83319,0.82738,0.79436,0.82665,0.82641,0.83037,0.79607,0.75473,0.78419,0.7558,0.78965,0.80293,0.75857,0.76014,0.75314,0.68926,0.73734,0.75801,0.76118,0.67774,0.60376,0.51799,0.7379,0.57078,0.53882,0.44582,0.65737,0.53944,0.44214,0.20654,0.34741,0.34409,0.46309,0.36869,0.40103,0.57959,0.2384,0.1296,0.22385,0.365,0.085808,-0.0087692,0.17243,0.12546,0.16868,0.054946,0.031861,-0.27588,0.0114,0.016763,-0.19933,-0.031563,0.022429,-0.020096,-0.29484,-0.24215,-0.0044864,-0.043958,-0.069756,-0.23777,-0.040971,-0.19315,-0.047628,-0.11351,-0.23781,-0.03399,0.12818,-0.19514,-0.099093,-0.064337,-0.082117,-0.21835,-0.1128,-0.17857,0.25024,-0.075433,-0.23317,-0.045085,-0.06619,0.17835,0.062596,0.067229,0.050673,-0.0044648,-0.11848,0.058585,-0.027028,-0.024624,-0.12145,-0.061081,-0.050074,0.041922,-0.035651,-0.12841,0.29219,0.23725,-0.092459,0.2759,-0.14902,-0.0052227,0.12308,-0.084782,-0.24441,0.079754,0.35615,-0.010503,-0.078859,0.020074,-0.096021,0.2386,0.068565,0.20206,0.24563,-0.14613,0.32651,-0.0088594,-0.0080549
6,0.90212,0.87135,0.8418,0.86624,0.84178,0.84408,1,0.89315,0.88987,0.84851,0.87065,0.84734,0.85999,0.83147,0.83402,0.87027,0.81556,0.8409,0.83493,0.8976,0.81972,0.80477,0.79214,0.85355,0.77865,0.73458,0.77338,0.75743,0.67987,0.66484,0.56797,0.69946,0.51667,0.63017,0.4537,0.59896,0.52622,0.41887,0.39974,0.43406,0.30894,0.42403,0.36069,0.48227,0.49232,0.18015,0.27775,0.25576,0.29359,0.07306,0.020498,0.021665,0.078008,0.2558,0.075603,0.085586,-0.14793,0.14026,0.053289,-0.22736,-0.13385,-0.072588,-0.056181,-0.13996,-0.31436,0.024064,0.040276,-0.10462,-0.1068,0.15779,-0.05144,-0.0083152,-0.16615,-0.29965,-0.0033041,0.17121,-0.085314,-0.20607,-0.037435,-0.13658,-0.24056,-0.23136,-0.30758,0.25298,-0.1462,-0.25473,-0.025408,-0.10542,-0.028618,-0.023462,-0.006747,-0.024479,-0.074315,-0.18434,0.057047,-0.037149,-0.092878,-0.067844,-0.086903,-0.074703,-0.028417,-0.10575,-0.060726,0.17529,0.29639,-0.051198,0.35216,-0.15924,0.13959,0.19519,-0.022156,-0.23998,0.15287,0.42889,-0.042309,-0.21751,-0.044841,-0.15713,0.37485,0.13059,0.18381,0.20353,-0.17128,0.1645,-0.037274,-0.087813
7,0.86057,0.83879,0.82704,0.87502,0.82179,0.85463,0.89315,1,0.81436,0.82414,0.85565,0.84357,0.79635,0.83017,0.75985,0.82852,0.7506,0.79249,0.78745,0.87195,0.79127,0.77062,0.80442,0.79045,0.77019,0.69996,0.78822,0.727,0.63033,0.56989,0.50527,0.70082,0.55439,0.58742,0.46239,0.66629,0.47494,0.57583,0.43919,0.40999,0.35028,0.34056,0.44842,0.43093,0.42546,0.22785,0.23587,0.30585,0.23745,0.080162,-0.018699,0.103,0.10429,0.27795,0.080272,0.013285,-0.16972,0.15065,-0.032757,-0.051903,-0.15033,-0.014978,0.00015563,-0.10766,-0.28023,0.017322,-0.022823,0.023319,-0.20501,0.11657,-0.13591,-0.035008,-0.1857,-0.27419,-0.018587,0.18855,-0.15224,-0.14875,-0.10274,-0.045657,-0.27032,-0.12473,-0.27258,0.13458,-0.18946,-0.24897,-0.07629,-0.086059,-0.081493,-0.094904,-0.028408,0.12299,0.012737,-0.20039,0.048773,-0.050082,-0.060711,-0.073572,-0.10443,-0.13548,-0.025983,-0.12755,-0.0034227,0.18985,0.26142,-0.085461,0.38243,-0.12407,0.066999,0.10324,0.045328,-0.28427,0.094597,0.38342,-0.11099,-0.20368,-0.023234,-0.13291,0.28498,0.11763,0.20379,0.16076,-0.16117,0.16624,0.023976,-0.095226
8,0.8859,0.87766,0.87805,0.83248,0.86609,0.89241,0.88987,0.81436,1,0.87638,0.86775,0.80872,0.87326,0.85308,0.92187,0.81636,0.81295,0.86669,0.83164,0.83751,0.75873,0.77611,0.81114,0.82183,0.68779,0.70771,0.79383,0.78585,0.67435,0.62301,0.50683,0.73898,0.4812,0.57382,0.48389,0.6437,0.54523,0.43332,0.29795,0.34293,0.2758,0.38242,0.35132,0.58462,0.64584,0.27104,0.25377,0.18225,0.29583,0.057173,-0.0046609,0.10485,0.11167,0.18253,0.042021,0.10443,-0.16684,0.15138,0.01806,-0.2417,-0.13975,-0.0088971,-0.094637,-0.20968,-0.1529,-0.030961,0.062461,-0.082585,-0.24975,-0.0067062,-0.071341,-0.027399,-0.21688,-0.30343,0.002617,0.19591,-0.083215,-0.047597,-0.063699,-0.19669,-0.26441,-0.11357,-0.27526,0.2889,-0.18604,-0.27975,-0.11008,-0.13708,0.11635,0.012616,0.016898,0.081798,-0.032282,-0.059592,0.017193,-0.040385,0.012002,-0.082517,-0.2182,-0.033664,0.043619,-0.00078036,-0.078716,0.28361,0.20446,-0.08569,0.31903,-0.060006,0.15866,0.1603,-0.042621,-0.2635,0.11515,0.38401,0.04244,-0.052219,-0.023156,-0.022522,0.33857,0.12146,0.21273,0.11776,-0.17269,0.23064,-0.0091797,-0.17602
9,0.85698,0.78436,0.83201,0.79241,0.86526,0.83319,0.84851,0.82414,0.87638,1,0.84659,0.79153,0.82345,0.74458,0.78459,0.85533,0.78637,0.7759,0.79887,0.82714,0.70501,0.76372,0.78989,0.83798,0.76833,0.70798,0.79896,0.73485,0.56513,0.6298,0.46996,0.7162,0.43961,0.60901,0.42952,0.53933,0.53259,0.31944,0.37584,0.29137,0.23186,0.3116,0.43909,0.46058,0.58194,0.20271,0.29418,0.25051,0.23974,0.037871,-0.031067,0.105,0.21895,0.27535,-0.021419,0.1699,-0.26005,0.16,-0.10556,-0.1479,-0.12818,-0.099402,-0.067186,-0.096108,-0.070862,0.0053809,0.056061,-0.085584,-0.21425,0.036173,-0.13885,-0.050924,-0.21443,-0.35671,-0.040638,0.25271,-0.1389,-0.14986,0.034473,-0.13726,-0.23259,0.0045097,-0.19792,0.36928,-0.16356,-0.2918,-0.080554,-0.15809,0.031034,-0.025749,0.09402,-0.020927,0.0018362,-0.15922,0.094618,-0.12709,0.040725,-0.058522,-0.11635,-0.088136,0.0622,-0.042312,-0.15839,0.083983,0.31714,-0.17826,0.35367,-0.023918,0.093208,0.17783,0.0097763,-0.26294,0.14664,0.37802,0.035872,-0.071376,-0.0042799,-0.013749,0.31445,0.14417,0.19773,0.22986,-0.17359,0.14679,-0.14407,-0.036425
