,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,1,0.88526,0.85696,0.82668,0.81129,0.76207,0.8381,0.75966,0.82629,0.52567,0.67746,0.84721,0.67184,0.59845,0.55989,0.59894,0.45446,0.29261,0.28087,0.34409,0.40307,0.30622,-0.064668,0.13378,-0.063066,-0.042985,0.10169,-0.24888,-0.020364,-0.31072,-0.14081,-0.098332,-0.14368,-0.078046,-0.2572,0.0039573,-0.19084,-0.44167,-0.33046,-0.39822,-0.38311,-0.30717,-0.17024,-0.40462,-0.15718,-0.40872,-0.33312,-0.16434,-0.31553,-0.32683,-0.52712,-0.13359,0.091982,-0.29583,-0.37718,-0.029942,-0.36417,-0.054104,-0.43852,-0.12522,-0.0019784,-0.12699,0.0024873,0.073946,0.25517,-0.15997,-0.067785,-0.14224,-0.35788,0.27823,-0.093969,0.018535,0.08813,-0.081943,0.10576,0.13213,-0.26504,0.079466,0.11712,-0.26019,0.032245,-0.084751,0.12347,0.076026,0.15738,-0.096288,0.25405,-0.0070522,0.091988,0.033724,0.23721,-0.10036,0.086291,0.24483,-0.14694,0.13724,-0.10105,0.23833,0.31974,0.26625,-0.22312,0.13506,0.16971,0.15766,0.10586,-0.055258
1,0.88526,1,0.83014,0.8379,0.80487,0.79251,0.79933,0.7258,0.81997,0.58333,0.64663,0.70388,0.60814,0.58354,0.52089,0.615,0.4986,0.2219,0.30456,0.20673,0.37758,0.17225,-0.026967,0.14422,-0.1083,0.054931,0.16839,-0.19137,-0.0021064,-0.23224,-0.012318,-0.11249,-0.13594,-0.063018,-0.22464,-0.04161,-0.21684,-0.46977,-0.36985,-0.37332,-0.22363,-0.20578,-0.13494,-0.25037,-0.17068,-0.41252,-0.3301,-0.1016,-0.30131,-0.33904,-0.44281,-0.15136,0.091808,-0.19542,-0.30073,-0.029142,-0.2814,-0.11483,-0.42276,-0.037237,-0.11535,-0.1684,-0.00096084,-0.0013267,0.22165,-0.2194,-0.037981,-0.086729,-0.38477,0.16818,-0.021541,0.14787,0.0075709,0.078643,-0.0082636,0.085113,-0.27976,0.10945,-0.029689,-0.16977,0.029741,-0.073704,0.13253,-0.01107,0.20809,0.042825,0.24933,-0.098698,0.034545,-0.0039364,0.21873,-0.10815,0.19078,0.23462,-0.073712,0.09298,-0.10398,0.2511,0.4433,0.16204,-0.37838,0.19089,0.086305,0.20059,0.18722,-0.070134
2,0.85696,0.83014,1,0.80524,0.78184,0.65995,0.70203,0.67692,0.79847,0.47995,0.65682,0.75085,0.59842,0.61421,0.49852,0.56909,0.23014,0.34138,0.36658,0.2641,0.33502,0.24844,-0.019203,0.038711,-0.064613,-0.054746,0.17483,-0.0067075,0.11257,-0.22808,-0.11456,-0.15974,-0.23038,-0.019694,-0.20369,-0.0127,-0.19733,-0.36316,-0.31852,-0.23562,-0.24752,-0.2624,-0.16824,-0.35942,-0.12985,-0.40598,-0.25064,-0.056179,-0.19489,-0.3834,-0.42583,-0.21506,0.15167,-0.19313,-0.40417,0.044258,-0.38682,-0.17465,-0.37406,-0.14296,-0.019029,0.04005,-0.037036,0.063371,0.27356,-0.063699,-0.12671,-0.053608,-0.20589,0.36629,-0.086936,0.16699,0.062444,-0.030672,0.0848,0.11441,-0.35874,0.13025,0.0091017,-0.2049,-0.028253,-0.039266,-0.040918,0.005368,0.30787,-0.17381,0.33407,-0.092061,0.099939,0.043275,0.36529,-0.14387,0.062583,0.22991,-0.0072508,0.017084,0.017318,0.20118,0.47373,0.26928,-0.35901,0.17906,0.14409,0.11018,-0.021577,-0.061561
3,0.82668,0.8379,0.80524,1,0.71808,0.77841,0.763,0.63462,0.64431,0.45311,0.68364,0.6801,0.5338,0.59883,0.44488,0.61362,0.45861,0.32418,0.14069,0.2673,0.43157,0.27479,0.024821,0.0039746,-0.098509,0.0095363,0.042315,-0.07929,-0.080792,-0.24915,-0.050559,-0.25109,-0.065364,-0.094608,-0.24248,-0.18006,-0.26944,-0.30498,-0.29551,-0.30236,-0.15969,-0.15739,-0.095444,-0.28152,-0.15973,-0.44674,-0.36424,-0.087835,-0.2863,-0.32456,-0.33596,-0.064368,0.18754,-0.21423,-0.3555,-0.087998,-0.28378,-0.26826,-0.31246,-0.18671,-0.036465,-0.057824,-0.099296,0.031514,0.072755,-0.072591,-0.11272,-0.05879,-0.34912,0.21214,-0.018607,0.11496,0.11533,-0.056804,-0.087903,0.02806,-0.37716,0.1327,0.0076506,-0.12404,0.064779,0.043241,0.090938,0.045724,0.19002,0.055622,0.27552,-0.095236,0.031501,0.076848,0.35934,-0.050121,0.08333,0.18033,-0.21814,0.013602,-0.11058,0.1716,0.45592,0.13346,-0.32323,0.11136,0.11826,0.12165,0.14438,0.13429
4,0.81129,0.80487,0.78184,0.71808,1,0.69281,0.68678,0.76839,0.7346,0.60479,0.66525,0.69989,0.56454,0.66131,0.59314,0.50562,0.38747,0.40638,0.26508,0.2752,0.39393,0.18956,-0.21465,0.17267,-0.16273,-0.024297,0.18014,-0.094051,-0.11833,-0.1571,-0.12607,-0.15227,-0.18855,-0.032639,-0.24451,0.0019386,-0.21907,-0.36136,-0.32987,-0.29941,-0.23061,-0.30225,-0.10516,-0.30541,-0.08332,-0.33359,-0.27672,-0.23587,-0.34596,-0.27106,-0.46081,-0.15088,0.05899,-0.2939,-0.37667,0.098606,-0.32412,-0.13187,-0.3296,0.010836,-0.16773,-0.13528,-0.089198,0.088861,0.1609,-0.19105,-0.30829,-0.072588,-0.32417,0.24761,-0.039814,0.23461,-0.0089037,0.039912,-0.013006,0.0146,-0.15445,0.089948,0.034637,-0.20136,0.018669,-0.025575,0.099632,-0.014117,0.12562,-0.11029,0.19289,-0.070369,0.11013,0.14015,0.19013,-0.047714,0.089017,0.28278,0.0066526,0.10997,-0.015005,0.14569,0.30877,0.17136,-0.36308,0.10866,0.084271,0.0066279,0.11911,-0.034234
5,0.76207,0.79251,0.65995,0.77841,0.69281,1,0.69605,0.538,0.63149,0.57563,0.67542,0.6277,0.40543,0.49118,0.4774,0.34292,0.46162,0.308,0.29511,0.1994,0.45112,0.31341,-0.015644,0.14839,-0.0059826,-0.038232,0.02677,-0.12036,0.036292,-0.23042,0.061651,-0.066477,0.032589,-0.073513,-0.023918,-0.0076429,-0.29412,-0.36191,-0.30106,-0.29566,-0.14729,-0.015252,-0.12829,-0.18572,-0.0953,-0.41574,-0.1387,-0.19811,-0.11605,-0.14678,-0.47351,-0.10826,0.13321,-0.10726,-0.40429,-0.013305,-0.20128,-0.29065,-0.28148,-0.098316,-0.060145,-0.2068,-0.068858,0.046696,0.30859,-0.12739,-0.0083603,-0.097745,-0.43506,0.11717,0.053072,0.10272,0.13383,0.068811,-0.03192,0.2034,-0.36671,0.082251,0.24088,-0.12015,0.027809,-0.1409,0.14434,0.0016773,0.24843,0.071298,0.17952,-0.12995,0.13763,0.19108,0.22939,-0.14925,0.061737,0.098726,-0.073695,0.091621,-0.094487,0.27689,0.30425,0.18828,-0.22479,0.20959,0.16436,0.17845,0.14358,-0.051116
6,0.8381,0.79933,0.70203,0.763,0.68678,0.69605,1,0.62555,0.67504,0.55839,0.60631,0.72546,0.59197,0.57856,0.52727,0.53437,0.56197,0.16548,0.32582,0.34245,0.35522,0.20306,-0.068269,0.25727,-0.012194,-0.14327,0.0094931,-0.29923,-0.024993,-0.19896,-0.19791,-0.12087,-0.076166,0.093475,-0.33697,0.024503,-0.12752,-0.30549,-0.38759,-0.34234,-0.23104,-0.18024,-0.21263,-0.22495,-0.12665,-0.34277,-0.24716,-0.15136,-0.12207,-0.33136,-0.43076,-0.038882,-0.07057,-0.15959,-0.19664,-0.13701,-0.11602,-0.12824,-0.49317,0.0032338,0.068039,-0.063517,0.032709,0.115,0.16579,-0.053331,-0.034553,-0.16138,-0.37277,0.27891,0.024067,0.1548,0.22943,-0.044029,-0.047564,0.17352,-0.30543,-0.073673,0.17402,-0.13605,0.010586,0.079121,0.0083484,0.20435,0.16481,0.067011,0.19927,-0.12049,0.023802,-0.061123,0.18053,-0.065533,0.16039,0.32416,-0.12481,0.14783,-0.2861,0.20255,0.31022,0.18486,-0.10914,-0.036335,0.18605,0.19209,0.13491,-0.0021796
7,0.75966,0.7258,0.67692,0.63462,0.76839,0.538,0.62555,1,0.60778,0.59046,0.58237,0.65774,0.53803,0.52301,0.47507,0.60694,0.44939,0.37381,0.36173,0.22683,0.30666,0.20112,-0.29274,0.024913,-0.011309,-0.034764,0.14055,-0.28222,-0.0037935,-0.3356,-0.13094,-0.15859,-0.074862,-0.15708,-0.32238,-0.0011171,-0.058927,-0.37886,-0.35382,-0.28359,-0.35047,-0.16732,-0.065929,-0.41333,-0.20957,-0.18256,-0.26254,-0.078385,-0.29758,-0.27516,-0.2928,-0.022033,0.060787,-0.30361,-0.26756,0.085898,-0.16776,-0.10057,-0.30512,0.026715,-0.11128,-0.057086,-0.19238,0.052038,0.17616,-0.22453,-0.269,0.014119,-0.30022,0.3021,0.0009941,0.1465,0.14066,-0.025559,0.15333,0.27833,-0.014531,-0.07597,-0.029264,-0.28318,-0.10011,-0.059812,0.10429,-0.24342,0.064087,-0.055837,0.37937,-0.032517,-0.10076,0.22975,0.086871,-0.049519,0.0068453,0.19051,-0.0059821,0.09142,0.057485,0.012532,0.099553,0.10185,-0.20386,0.11821,0.0055812,0.032662,0.15106,0.045138
8,0.82629,0.81997,0.79847,0.64431,0.7346,0.63149,0.67504,0.60778,1,0.49172,0.60031,0.76358,0.63113,0.45329,0.57832,0.50016,0.30808,0.2534,0.27498,0.27161,0.38556,0.17006,-0.17504,0.12016,-0.078169,-0.0052227,0.19933,-0.13816,0.11923,-0.22268,-0.052188,-0.0073476,-0.15393,-0.05813,-0.21918,0.050237,-0.14596,-0.30033,-0.27125,-0.33779,-0.22868,-0.34144,-0.09951,-0.23064,-0.089635,-0.26192,-0.2997,-0.10899,-0.21768,-0.25349,-0.43368,-0.14323,0.089109,-0.044716,-0.22813,0.05677,-0.35626,0.0034673,-0.41679,-0.010634,0.084739,-0.1094,0.080614,0.042391,0.21485,-0.25774,-0.08717,-0.12092,-0.25178,0.23232,-0.070708,0.14753,0.10449,0.11881,0.092905,-0.049812,-0.19671,0.1381,0.20386,-0.13711,0.030942,-0.084039,0.22684,0.043598,0.26233,-0.051205,0.11365,-0.020715,-0.06244,-0.003908,0.25467,-0.13969,0.17305,0.17419,0.0193,0.039406,-0.086159,0.25826,0.37725,0.34412,-0.26447,0.082684,0.093332,0.16056,-0.0092739,-0.1243
9,0.52567,0.58333,0.47995,0.45311,0.60479,0.57563,0.55839,0.59046,0.49172,1,0.4762,0.47635,0.27993,0.35381,0.37758,0.37078,0.44318,0.28296,0.35064,-0.00093086,0.34113,0.0062523,-0.054862,0.14256,0.11508,-0.27349,0.084223,-0.33738,0.077314,-0.0049754,-0.050785,-0.14037,-0.034525,-0.14177,-0.24767,0.19531,-0.17757,-0.37674,-0.26114,-0.20863,0.019081,-0.22575,0.020302,-0.30235,0.053891,-0.24471,-0.23219,-0.14487,-0.017971,-0.10047,-0.3212,0.030728,0.077435,-0.067492,-0.35179,-0.11036,0.081835,-0.23137,-0.29686,0.20997,-0.032354,-0.097519,0.017298,0.064521,0.38681,-0.22455,-0.17282,0.044621,-0.30857,0.11217,0.086345,0.3319,0.18808,0.062501,-0.11871,0.18373,-0.056156,-0.10188,0.10768,-0.21748,0.0089371,-0.20045,-0.020531,-0.1334,0.12135,0.076532,0.11212,-0.1023,-0.1112,0.14809,-0.012025,0.16131,0.015089,0.21593,-0.045318,-0.051458,0.17793,0.041681,0.14422,0.14005,-0.029821,0.098435,0.20341,0.19475,-0.022636,-0.04447
