,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185
0,1,0.79566,0.76147,0.81124,0.90422,0.82207,0.81587,0.83554,0.80357,0.6259,0.79257,0.84222,0.84408,0.7494,0.87204,0.86996,0.80073,0.75148,0.78249,0.86413,0.70432,0.85504,0.89717,0.77789,0.7936,0.83109,0.82014,0.80859,0.75712,0.73935,0.76644,0.76598,0.77188,0.79311,0.75833,0.72129,0.71363,0.76867,0.70694,0.74196,0.74816,0.73332,0.69866,0.71018,0.71207,0.74579,0.69495,0.71828,0.77273,0.72569,0.69454,0.63306,0.7222,0.63233,0.64047,0.71946,0.60757,0.38589,0.60792,0.49481,0.51292,0.59423,0.51976,0.35959,0.40056,0.44642,0.517,0.35225,0.26675,0.31995,0.30098,0.55561,0.46428,0.43235,0.1598,0.43264,0.097967,0.27593,0.17748,0.33738,0.32348,0.38556,0.18128,0.14515,0.59536,0.32877,0.23327,0.12055,0.058832,0.3319,0.27298,0.29851,0.24119,-0.090536,0.066957,-0.036588,0.12732,0.0067991,0.46906,0.19359,0.062398,0.18001,0.1129,-0.26553,-0.18094,-0.013374,0.29254,0.11494,0.026522,0.31169,0.23412,0.028854,0.23413,-0.036872,0.17054,-0.12352,-0.012322,0.0028351,-0.031945,-0.13576,-0.011034,0.1343,0.22224,-0.020321,0.028441,-0.10732,-0.015348,0.14947,-0.037023,0.13715,0.10431,0.092433,0.14274,-0.1251,-0.034505,0.12789,-0.18922,-0.080865,-0.25136,-0.060897,0.019059,-0.20016,-0.21602,-0.089542,-0.013054,0.2793,0.16829,0.17089,0.3454,0.11852,0.19469,0.20256,-0.057167,0.14761,-0.035413,-0.10037,-0.06302,-0.011759,0.13778,0.0051994,-0.20608,0.014096,0.046184,-0.18065,0.026556,-0.26556,-0.27044,-0.0080927,0.11018,-0.019558,0.15842,0.070607,-0.03188,-0.20633,-0.020419,-0.245,-0.23941,-0.15788,-0.006129,-0.04387,0.039441,0.21693,-0.18547,-0.078956,-0.090668,
1,0.79566,1,0.83993,0.85376,0.84208,0.80021,0.87473,0.82106,0.8306,0.79159,0.86968,0.86685,0.83697,0.78854,0.83764,0.81758,0.76331,0.8331,0.87291,0.8208,0.73574,0.86198,0.83163,0.83852,0.86345,0.85552,0.82123,0.80866,0.80568,0.86674,0.86494,0.84151,0.80386,0.78293,0.79153,0.76402,0.66888,0.83168,0.68096,0.83993,0.75205,0.77582,0.71579,0.70522,0.76136,0.73659,0.74375,0.72402,0.76681,0.73405,0.74203,0.68767,0.75214,0.69302,0.52423,0.73529,0.53965,0.39055,0.70336,0.5098,0.59234,0.67813,0.58683,0.34638,0.54896,0.48571,0.64821,0.45317,0.24164,0.44918,0.29244,0.58984,0.35898,0.35074,0.28714,0.44953,0.15184,0.35172,0.16079,0.21776,0.33837,0.36649,0.057813,0.1213,0.54833,0.32986,0.28017,0.056677,0.044936,0.21326,0.28101,0.27945,0.24629,-0.14231,0.078818,-0.0013214,0.26589,-0.0013457,0.42413,0.15899,0.10863,0.066961,0.10977,-0.37825,-0.21507,0.022461,0.15177,0.14141,0.089164,0.15992,0.21484,-0.014103,0.052991,-0.056216,0.10255,-0.11173,-0.01837,-0.15568,-0.020155,-0.15052,-0.13247,-0.021015,0.14657,-0.15005,-0.065327,-0.15021,-0.25371,0.23778,-0.21791,0.16394,-0.035105,-0.03413,0.13183,-0.15908,-0.084079,0.040551,-0.18843,0.12086,-0.26238,0.05345,-0.03516,-0.039371,-0.19465,-0.16455,-0.052306,0.080185,0.12309,0.086656,0.37324,0.059486,0.15246,0.1444,0.037973,0.18538,-0.069468,-0.038086,0.041014,-0.076875,0.050297,-0.00091064,-0.35974,-0.073716,-0.0019388,-0.17381,-0.11259,-0.26321,-0.013539,0.094184,0.12902,-0.055661,0.1253,0.10764,0.070587,-0.12461,-0.022485,-0.22139,-0.31028,-0.27045,-0.076733,0.10276,0.067515,0.10891,-0.11106,-0.062211,-0.21043,
2,0.76147,0.83993,1,0.83394,0.80467,0.83242,0.82999,0.79905,0.79282,0.74129,0.85502,0.81157,0.81526,0.78127,0.82684,0.78925,0.72419,0.72794,0.86792,0.79132,0.71676,0.83806,0.79631,0.76347,0.72387,0.7909,0.84949,0.76112,0.73617,0.80013,0.78178,0.81853,0.79127,0.77086,0.80948,0.67694,0.70861,0.76961,0.72248,0.82877,0.70212,0.66441,0.74181,0.64719,0.72848,0.76907,0.72539,0.70552,0.80781,0.65148,0.71938,0.60477,0.66895,0.64803,0.59636,0.74566,0.56826,0.29335,0.61045,0.52282,0.516,0.68485,0.55564,0.33867,0.56142,0.48263,0.67284,0.37939,0.25889,0.45006,0.28344,0.62839,0.32137,0.44315,0.20196,0.38783,0.072576,0.28808,0.012296,0.19577,0.29841,0.30239,0.030275,0.14015,0.54832,0.39627,0.35219,0.20129,0.088093,0.25157,0.19784,0.26475,0.16394,-0.10746,0.11384,0.093418,0.2703,-0.018664,0.34389,0.016324,-0.020456,0.21065,0.050006,-0.23107,-0.17342,0.10313,0.18312,0.22791,0.14847,0.079738,0.31645,-0.034529,0.071171,0.08488,0.070636,-0.1779,-0.047403,-0.030052,0.0065054,-0.03267,-0.079465,0.076803,0.25415,-0.12094,-0.13358,-0.23632,-0.15655,0.12474,-0.20701,0.2076,0.071682,0.0043212,0.25531,-0.036272,-0.058178,-0.018988,-0.14206,0.070501,-0.37582,0.034332,-0.052878,-0.17714,-0.19837,-0.067685,-0.0074244,0.080884,0.14717,0.18677,0.37202,0.080656,0.17175,0.11946,-0.033687,0.20415,-0.050981,-0.057357,-0.161,-0.076101,0.071998,0.023354,-0.39324,-0.13016,0.12084,-0.11912,-0.11742,-0.31672,-0.094982,-0.071123,0.12639,-0.047094,0.12823,-0.023839,-0.14086,-0.01008,-0.0066994,-0.35925,-0.30742,-0.1927,0.082939,0.053405,0.050325,0.051255,-0.047973,0.05689,-0.12677,
3,0.81124,0.85376,0.83394,1,0.87655,0.82732,0.87729,0.82188,0.82118,0.76293,0.83509,0.85041,0.83594,0.75505,0.81828,0.81558,0.75898,0.84831,0.8516,0.81651,0.69013,0.86403,0.84266,0.79434,0.80152,0.84453,0.80168,0.829,0.75507,0.76783,0.86768,0.79575,0.82065,0.87267,0.79513,0.75572,0.7018,0.75197,0.75117,0.82325,0.78968,0.72491,0.78951,0.7323,0.70718,0.82183,0.71196,0.82428,0.82048,0.69432,0.72212,0.65603,0.72715,0.7844,0.54524,0.79207,0.52173,0.52358,0.73083,0.51384,0.61122,0.70258,0.51802,0.3631,0.48087,0.57876,0.55752,0.42242,0.32482,0.47589,0.25001,0.6171,0.3002,0.51425,0.073995,0.37875,0.16796,0.41416,0.10357,0.31116,0.46165,0.37929,0.11098,0.16865,0.57927,0.39537,0.26789,0.1113,0.14085,0.29095,0.22961,0.36669,0.19653,-0.1577,0.035665,0.16341,0.085841,0.023433,0.41219,0.060253,0.032498,0.15442,0.14614,-0.22135,-0.1487,0.12307,0.26634,0.1559,0.1439,0.11234,0.28435,-0.011519,0.13323,0.018882,0.16576,-0.077588,0.013904,-0.14423,-0.071242,-0.079932,-0.18512,0.020227,0.23519,-0.13477,0.051928,-0.080991,-0.22664,0.28744,-0.22461,0.22874,0.038835,0.1304,0.19774,-0.092773,-0.046075,-0.10389,-0.22229,0.18894,-0.26704,0.12381,-0.012422,-0.22021,-0.12539,-0.03384,-0.16062,0.15669,0.2334,0.16505,0.42264,0.13672,0.049908,0.10639,-0.086623,0.11069,-0.054225,-0.083573,-0.0345,-0.081493,0.01937,0.030993,-0.41133,-0.024,0.054563,-0.069897,-0.0019815,-0.23314,-0.10046,-0.0094028,0.085408,-0.0096614,0.12682,0.11732,-0.16727,-0.17495,0.029242,-0.25399,-0.22501,-0.18679,0.032495,0.05097,0.04957,0.15184,-0.13215,0.080769,-0.21422,
4,0.90422,0.84208,0.80467,0.87655,1,0.85703,0.86149,0.83685,0.82209,0.74493,0.77579,0.86158,0.79138,0.78681,0.8497,0.88765,0.80919,0.80266,0.83959,0.83558,0.72851,0.88229,0.848,0.79747,0.82452,0.8825,0.82118,0.87081,0.83021,0.80115,0.85224,0.82589,0.81543,0.84335,0.77618,0.70715,0.67927,0.85601,0.73547,0.77896,0.77155,0.76583,0.7542,0.70164,0.6689,0.74064,0.72048,0.72356,0.79714,0.78197,0.76722,0.70949,0.74782,0.71774,0.61724,0.77736,0.51372,0.42162,0.69355,0.46276,0.58464,0.64486,0.63187,0.37707,0.50683,0.51533,0.53324,0.50404,0.30214,0.37192,0.27448,0.51724,0.48317,0.51608,0.13325,0.48241,0.0080963,0.28087,0.17648,0.29824,0.30994,0.4109,0.062965,0.088054,0.6128,0.36023,0.32842,0.040349,0.18028,0.23053,0.24874,0.40911,0.20176,-0.1127,0.027026,-0.042252,0.10745,0.02849,0.47403,0.15625,0.13517,0.25299,0.020192,-0.22101,-0.16553,0.073567,0.30289,0.11651,0.028876,0.13122,0.2716,0.014969,0.14901,0.030479,0.098,-0.10464,0.0056149,-0.10882,-0.12442,-0.17456,-0.047029,0.011986,0.19245,-0.047821,0.010362,-0.11169,-0.15358,0.17052,-0.22885,0.14842,0.051768,0.10383,0.11569,-0.12153,-0.037211,0.11696,-0.25105,-0.014924,-0.33538,-0.021061,-0.020109,-0.21914,-0.12054,-0.089847,-0.065448,0.17335,0.20604,0.17448,0.36432,0.080737,0.21036,0.12286,-0.046547,0.15244,0.022365,-0.15567,-0.011897,-0.089182,0.13397,0.10619,-0.32314,0.11928,-0.058002,-0.13618,0.0638,-0.28416,-0.13992,-0.028078,0.13913,-0.065644,0.11226,0.14499,-0.08835,-0.15746,-0.032338,-0.17775,-0.1343,-0.22396,0.061774,0.0036861,-0.027128,0.12088,-0.14079,0.069552,-0.12236,
5,0.82207,0.80021,0.83242,0.82732,0.85703,1,0.85364,0.77741,0.86279,0.74731,0.77738,0.83253,0.81675,0.77533,0.85542,0.84247,0.75699,0.85081,0.86647,0.84127,0.7341,0.89508,0.82226,0.80332,0.73646,0.84157,0.8182,0.818,0.69513,0.73933,0.77091,0.77291,0.76941,0.80823,0.78342,0.74117,0.76153,0.80592,0.74225,0.8141,0.75544,0.74773,0.73887,0.68855,0.74749,0.70043,0.74004,0.71519,0.81301,0.74351,0.72824,0.62937,0.62609,0.70928,0.61914,0.7637,0.54762,0.37524,0.66618,0.58216,0.46922,0.58906,0.6017,0.37951,0.63572,0.6056,0.57776,0.42647,0.39644,0.40742,0.31499,0.6617,0.45612,0.4882,0.099824,0.40352,0.11052,0.28506,0.098399,0.33802,0.39264,0.41226,0.11183,0.11454,0.62115,0.34434,0.1627,0.19327,0.13644,0.36719,0.28389,0.31974,0.16562,-0.11396,0.10428,0.08921,0.27444,-0.10664,0.47169,0.048722,0.041874,0.28119,0.065072,-0.19351,-0.27129,0.038756,0.22577,0.28743,0.18321,0.21606,0.22562,0.037683,-0.014836,0.094162,0.085341,-0.20871,-0.097902,-0.094164,-0.10182,-0.085599,-0.043704,0.039956,0.2818,0.034197,0.11739,-0.18344,-0.16533,0.26453,-0.12853,0.2625,0.11978,0.13383,0.15487,-0.046845,0.01375,0.015486,-0.23674,0.068972,-0.2378,0.025987,0.072119,-0.15119,-0.097495,-0.16454,0.029169,0.2072,0.18059,0.18137,0.3348,-0.082903,0.020631,0.19508,-0.005414,0.20236,-0.085101,-0.054852,-0.095114,-0.10292,0.12038,0.0065094,-0.35371,-0.065841,-0.031411,-0.13761,0.06244,-0.11402,-0.076544,-0.060709,0.16824,-0.077691,0.031295,0.0096459,-0.12272,-0.032849,0.11555,-0.29796,-0.15226,-0.31702,-0.00095781,0.017303,-0.016358,0.16218,-0.14157,0.15463,-0.20979,
6,0.81587,0.87473,0.82999,0.87729,0.86149,0.85364,1,0.83213,0.84983,0.72167,0.84405,0.88533,0.8328,0.75955,0.87253,0.82645,0.7723,0.83939,0.8491,0.82732,0.76561,0.86258,0.84481,0.85002,0.8413,0.84785,0.79637,0.82956,0.77715,0.74443,0.82528,0.84677,0.80933,0.83073,0.76187,0.78239,0.71242,0.79527,0.72351,0.84574,0.77107,0.76677,0.72041,0.70592,0.75661,0.74873,0.74386,0.7637,0.7435,0.74754,0.71464,0.65609,0.67937,0.73883,0.60132,0.70563,0.52669,0.4312,0.72878,0.53294,0.60046,0.62723,0.55205,0.3531,0.55283,0.5609,0.61845,0.44734,0.24552,0.44505,0.2233,0.62838,0.40934,0.46938,0.18669,0.45212,0.10123,0.28401,0.15049,0.18223,0.43161,0.24987,0.070353,0.16658,0.57014,0.27082,0.33818,0.21186,0.17783,0.34632,0.19322,0.37024,0.26653,-0.088047,0.073502,0.063728,0.16833,-0.041825,0.40695,0.16374,0.079863,0.097247,0.10714,-0.15694,-0.16198,-0.02404,0.13705,0.13299,0.033304,0.17318,0.34447,0.0048188,0.098857,-0.012299,0.11035,-0.16009,-0.02573,-0.092999,-0.076485,-0.13952,-0.06284,0.025738,0.23165,0.01002,0.07576,-0.097164,-0.18656,0.17226,-0.11252,0.20066,-0.031672,0.17299,0.18629,-0.11705,-0.16752,-0.0066927,-0.25411,0.0095796,-0.3026,0.07935,0.053228,-0.19352,-0.16683,-0.040203,0.021076,0.20849,0.12595,0.16636,0.41141,0.064008,0.12589,0.18712,0.023506,0.10464,-0.10135,-0.10371,0.081502,0.032778,0.039718,0.021746,-0.3476,-0.0099043,-0.045234,-0.085006,0.0071555,-0.1113,-0.12546,-0.065235,0.22262,-0.14034,0.080625,0.093916,-0.12304,-0.14683,0.051203,-0.21011,-0.15059,-0.23527,-0.0068671,-0.034838,0.001402,0.12475,-0.098968,0.11452,-0.226,
7,0.83554,0.82106,0.79905,0.82188,0.83685,0.77741,0.83213,1,0.79983,0.66163,0.75935,0.79099,0.7842,0.73177,0.84866,0.82288,0.76369,0.7722,0.79896,0.78969,0.61975,0.78663,0.76836,0.75901,0.78393,0.82922,0.78409,0.71247,0.78329,0.78955,0.77481,0.76025,0.79495,0.81618,0.75823,0.69103,0.67716,0.77065,0.72708,0.69497,0.7677,0.70602,0.67417,0.77467,0.70193,0.70594,0.68408,0.72954,0.69157,0.68625,0.63997,0.62387,0.67772,0.68339,0.51646,0.66522,0.37656,0.40103,0.57962,0.38361,0.51681,0.57791,0.45932,0.21422,0.5797,0.47766,0.51881,0.29762,0.35788,0.40863,0.37661,0.54273,0.34486,0.39252,0.1403,0.46697,0.13933,0.20534,0.16714,0.27605,0.36754,0.24793,0.061249,0.16503,0.60618,0.21723,0.23785,0.0854,0.041188,0.29582,0.093223,0.24619,0.22993,-0.036168,0.028771,0.018725,0.23443,-0.081801,0.44548,0.046077,0.060629,0.084472,-0.070628,-0.20537,-0.22402,-0.033691,0.14116,0.10295,0.021717,0.11719,0.20763,-0.04091,0.086953,0.1227,0.011648,-0.11973,-0.10172,-0.0020659,0.0079345,-0.049925,-0.14347,0.048218,0.1092,-0.118,0.03826,-0.098919,-0.27061,0.11987,-0.20422,0.15315,0.07248,0.12418,0.13445,-0.23549,-0.14764,-0.00031515,-0.15552,-0.029577,-0.3692,-0.025168,-0.019629,-0.21148,-0.20102,-0.16171,-0.0097792,0.18518,0.082134,0.13845,0.32322,0.13599,0.14843,0.13241,-0.069809,0.098372,-0.10091,-0.12858,0.0080176,-0.083706,0.21274,0.11145,-0.37124,-0.074896,0.078896,-0.22964,-0.06931,-0.15266,-0.19528,0.0079567,0.10571,-0.017963,0.25011,0.10289,-0.12586,-0.039108,0.026258,-0.20764,-0.26414,-0.24525,-0.083476,-0.022441,0.063719,0.015165,-0.10469,-0.19466,-0.095525,
8,0.80357,0.8306,0.79282,0.82118,0.82209,0.86279,0.84983,0.79983,1,0.79333,0.79312,0.84041,0.8056,0.78776,0.86009,0.78693,0.80755,0.84432,0.86458,0.84721,0.74912,0.87986,0.80306,0.83515,0.83823,0.78279,0.76214,0.77242,0.8054,0.79283,0.76723,0.84353,0.75882,0.76172,0.79431,0.73449,0.81406,0.76607,0.70247,0.80987,0.8322,0.76064,0.68946,0.77109,0.74399,0.73331,0.62733,0.68416,0.71909,0.77661,0.75239,0.79715,0.59776,0.7257,0.55554,0.72277,0.39886,0.31508,0.57752,0.51001,0.50447,0.54994,0.53315,0.36921,0.64303,0.62868,0.61259,0.47403,0.34143,0.45725,0.35523,0.60705,0.42327,0.39579,0.27547,0.40613,0.14848,0.32367,0.17813,0.29812,0.42927,0.24763,0.058225,0.03729,0.44537,0.41083,0.16031,0.15136,-0.048138,0.33584,0.27841,0.32163,0.2887,-0.19329,0.096029,0.095523,0.27832,0.038743,0.41856,0.098521,-0.040023,0.13326,0.046349,-0.13454,-0.16323,0.040526,0.22534,0.20789,0.2514,0.1009,0.19347,0.1676,0.032136,-0.024675,0.11616,-0.33855,-0.1113,-0.13081,-0.041698,-0.012557,0.015793,0.14852,0.30305,-0.036851,0.16211,-0.15008,-0.044969,0.3115,-0.1633,0.096238,0.095284,0.082691,0.17009,-0.17985,-0.1239,0.001672,-0.1919,0.12702,-0.26341,-0.00073411,0.046138,-0.12937,-0.098442,-0.18951,0.0039653,0.17624,0.090738,0.089932,0.3524,0.045944,0.08142,0.17256,-0.064082,0.17541,-0.0054333,-0.12617,-0.023685,-0.024527,0.045176,-0.054184,-0.23216,-0.048155,-0.059304,-0.1263,0.045614,-0.1815,-0.092096,0.018774,0.27076,-0.12319,0.090305,0.026064,0.060959,-0.060688,0.16515,-0.25031,-0.21214,-0.39454,-0.072869,-0.030422,0.037355,0.1866,-0.00815,0.069338,-0.21217,
9,0.6259,0.79159,0.74129,0.76293,0.74493,0.74731,0.72167,0.66163,0.79333,1,0.73827,0.77017,0.70491,0.7296,0.68904,0.68335,0.65198,0.76068,0.83479,0.68703,0.66968,0.76641,0.64201,0.76135,0.70679,0.67801,0.68788,0.66487,0.73089,0.81091,0.78089,0.78955,0.61004,0.5788,0.66986,0.65221,0.6066,0.67104,0.50623,0.68134,0.69754,0.64098,0.62256,0.52948,0.63525,0.67306,0.60415,0.54152,0.66825,0.60634,0.72811,0.682,0.60938,0.68609,0.36244,0.69313,0.39199,0.32568,0.56993,0.47308,0.38367,0.58184,0.38961,0.37423,0.57681,0.48485,0.55379,0.38334,0.34414,0.38163,0.21775,0.49535,0.39184,0.34385,0.33642,0.36049,0.16576,0.29146,0.1594,0.32614,0.37322,0.31258,0.032893,-0.0065301,0.44902,0.41277,0.22121,0.062358,0.041693,0.19806,0.24304,0.38969,0.17297,-0.22676,0.16403,0.08886,0.30447,0.057638,0.36434,0.071706,-0.044586,0.1177,0.11521,-0.11025,-0.16695,0.21603,0.27235,0.1916,0.20528,-0.01644,0.11752,0.03333,-0.092846,0.070232,0.10761,-0.1708,-0.14769,-0.13918,-0.12436,-0.21273,-0.25222,0.016408,0.21726,-0.19249,0.04136,-0.24888,-0.23012,0.3306,-0.27953,0.12897,0.056678,-0.024715,0.021979,0.098795,0.073508,0.021417,-0.24338,0.055171,-0.22913,0.15468,-0.13889,0.047198,-0.072666,-0.20827,-0.093854,0.046466,0.24662,0.17527,0.28043,-0.06181,0.0099686,-0.038731,0.037122,0.15397,-0.042147,-0.06207,0.021739,-0.066162,0.021066,-0.020907,-0.28088,0.12263,-0.043328,0.099251,-0.062278,-0.30872,-0.058892,0.011595,0.25611,-0.21344,0.035936,0.12859,0.013462,-0.03934,0.19181,-0.19559,-0.15015,-0.29733,-0.034234,0.22938,0.029382,0.0033705,0.001119,0.15524,-0.21112,
