,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0,1,0.92526,0.89628,0.9014,0.865,0.9198,0.878,0.89754,0.92561,0.89177,0.82578,0.87454,0.81753,0.89235,0.86109,0.84818,0.88004,0.81982,0.91787,0.84343,0.81671,0.80225,0.80536,0.73704,0.80384,0.74353,0.75687,0.7429,0.74965,0.68658,0.68898,0.47173,0.70092,0.67373,0.69717,0.49573,0.64976,0.57623,0.42048,0.52773,0.3448,0.38116,0.37974,0.53464,0.4875,0.21905,0.36425,0.27449,0.36403,0.23269,0.089561,0.020151,0.095038,-0.01642,0.12535,-0.16159,-0.067659,0.03611,0.082871,0.32854,-0.17445,-0.187,-0.1168,0.031067,-0.070997,-0.10983,-0.26207,0.06368,-0.021855,-0.20133,0.0026211,0.065002,-0.21831,-0.14014,-0.18533,0.16337,-0.068343,-0.25271,0.13697,-0.19356,-0.21011,-0.17478,-0.21908,-0.051892,0.28018,-0.0076558,-0.073094,0.12241,0.083615,0.099151,-0.22176,-0.087627,-0.0043561,-0.16471,-0.3036,0.02392,-0.012568,0.15644,-0.057272,-0.31847,-0.10823,-0.46974,0.30438,-0.011676,0.10423,0.01077,-0.054575,0.10366,-0.15685,0.071388,0.33403,0.075565,0.20208,-0.10499,0.13957,-0.035089,0.22407,-0.044167,0.11339,0.18126,0.27705,0.028693,0.23025,0.15912,0.38615,0.29154,0.17926
1,0.92526,1,0.90928,0.89167,0.89104,0.9058,0.90259,0.86636,0.88942,0.87052,0.84138,0.88821,0.86093,0.87575,0.87782,0.8385,0.85671,0.82379,0.8493,0.80484,0.77015,0.82621,0.80361,0.75683,0.807,0.71054,0.74997,0.78197,0.6982,0.63962,0.68714,0.46959,0.68773,0.63927,0.64757,0.43721,0.56562,0.60565,0.47953,0.47589,0.27527,0.38466,0.43402,0.62289,0.52367,0.14159,0.36252,0.29093,0.29838,0.26682,0.10166,0.093503,0.095444,0.044044,0.15196,-0.17983,-0.11395,-0.024576,-0.0041264,0.20014,-0.2252,-0.1041,-0.088584,-0.0053397,-0.049226,-0.020326,-0.25183,-0.0038493,-0.083073,-0.21193,-0.055259,-0.10548,-0.33613,-0.17875,-0.12738,0.20512,-0.14884,-0.14594,0.097087,-0.16662,-0.18514,-0.10883,-0.22925,-0.13254,0.21737,-0.08543,-0.0091574,0.097768,0.05382,0.093137,-0.26597,-0.1348,-0.013005,-0.23619,-0.23853,0.001038,0.033256,0.15479,-0.039361,-0.29667,-0.15658,-0.38936,0.30141,0.058082,0.061099,0.0057068,0.015155,0.081739,-0.22586,0.042829,0.33649,0.12455,0.1942,-0.15382,0.19908,0.0035246,0.15789,-0.043532,0.21002,0.1444,0.25155,0.1803,0.17405,0.042569,0.37331,0.26344,0.18317
2,0.89628,0.90928,1,0.88902,0.85179,0.86616,0.84913,0.86133,0.89825,0.88036,0.82962,0.91381,0.82951,0.88204,0.90548,0.83412,0.86331,0.77214,0.89988,0.74902,0.72194,0.82239,0.79649,0.73371,0.80479,0.7533,0.81173,0.76104,0.72248,0.66245,0.71324,0.50702,0.62525,0.69201,0.68462,0.47389,0.55532,0.60515,0.41578,0.49695,0.34515,0.51394,0.47231,0.5453,0.54394,0.22879,0.43595,0.26541,0.32233,0.20153,-0.025051,0.081784,0.20399,0.081362,0.062116,-0.21111,-0.053927,-0.11082,0.0077861,0.246,-0.24659,-0.1218,-0.17774,0.00030247,-0.12347,-0.017759,-0.30933,0.062122,-0.12785,-0.14689,-0.15442,-0.12327,-0.27217,-0.21772,-0.14434,0.090619,-0.043182,-0.23923,0.13235,-0.10198,-0.098665,-0.080732,-0.26934,-0.1389,0.24454,-0.09536,-0.00048428,0.06653,0.15431,0.1222,-0.14188,-0.055829,0.031622,-0.11789,-0.21567,-0.0015783,-0.10607,0.15237,-0.0081989,-0.30508,-0.14564,-0.32433,0.29092,-0.039834,0.086813,0.044328,0.086478,0.045651,-0.264,0.10466,0.26967,0.056532,0.18488,-0.027659,0.1571,-0.041511,0.14015,-0.065334,0.26382,0.088955,0.27279,0.1599,0.1629,0.030419,0.37735,0.25396,0.22896
3,0.9014,0.89167,0.88902,1,0.88668,0.8807,0.86722,0.85316,0.87951,0.84814,0.81482,0.83276,0.83979,0.85652,0.79025,0.84548,0.86378,0.80051,0.8502,0.79633,0.81241,0.83201,0.8387,0.69978,0.79817,0.72143,0.77313,0.74935,0.65101,0.59631,0.6779,0.43134,0.71361,0.62046,0.6281,0.49062,0.5936,0.61438,0.38163,0.46973,0.39286,0.38911,0.442,0.40483,0.43904,0.1819,0.42089,0.34333,0.29456,0.085474,-0.039302,-0.064758,0.084471,-0.050457,0.070112,-0.13733,-0.089088,-0.058087,-0.0061813,0.29335,-0.1467,-0.17224,-0.11678,-0.0052206,-0.10761,-0.12834,-0.20058,0.038692,-0.079955,-0.26877,-0.080649,-0.093213,-0.28788,-0.21823,-0.15541,0.27038,-0.073039,-0.30127,0.021883,-0.19803,-0.18634,-0.12591,-0.35353,0.021271,0.28805,-0.15684,-0.15857,0.030128,0.025083,0.087993,-0.20201,-0.14681,-0.0334,-0.19196,-0.31444,-0.06295,-0.14661,0.12148,0.0092459,-0.28962,-0.084726,-0.35588,0.33607,0.06709,0.042198,-0.012268,-0.021122,0.047944,-0.092864,-0.034673,0.27519,0.046048,0.12936,-0.092714,0.21958,-0.056577,0.21595,-0.11186,0.3325,0.093819,0.29058,0.11691,0.11356,0.14609,0.44388,0.24176,0.15425
4,0.865,0.89104,0.85179,0.88668,1,0.86404,0.83847,0.84068,0.79141,0.83003,0.83632,0.7787,0.79861,0.83245,0.80839,0.79513,0.78565,0.81167,0.78338,0.696,0.76846,0.72756,0.76014,0.66616,0.74885,0.62634,0.7253,0.701,0.69429,0.63065,0.73735,0.46769,0.62338,0.63876,0.60079,0.44788,0.61824,0.58567,0.39087,0.53456,0.31487,0.39227,0.37608,0.50337,0.42008,0.20357,0.42113,0.28286,0.31441,0.1285,-0.052578,0.074986,0.070222,-0.078029,0.12771,-0.07832,-0.15583,-0.052878,-0.030127,0.15687,-0.23929,-0.15263,-0.14525,0.016991,-0.090827,-0.030778,-0.18699,-0.019423,-0.068993,-0.22282,-0.15502,-0.17202,-0.20071,-0.11728,-0.15372,0.2156,-0.1656,-0.22456,0.067825,-0.22755,-0.18944,-0.0437,-0.22594,0.038526,0.31496,-0.16842,0.0038504,0.12159,-0.03088,-0.057261,-0.26866,-0.13162,-0.052321,-0.26175,-0.22832,-0.055767,-0.10736,0.15239,-0.014511,-0.33218,-0.075082,-0.39466,0.19246,0.10336,-0.0016486,0.11792,0.087798,0.058502,-0.21199,-0.05902,0.2155,0.087201,0.044398,-0.1342,0.13101,-0.067923,0.27084,-0.10144,0.28122,0.11375,0.11364,0.14275,0.049106,0.035526,0.35536,0.17665,0.17224
5,0.9198,0.9058,0.86616,0.8807,0.86404,1,0.86165,0.85184,0.87524,0.84799,0.82547,0.85137,0.80143,0.89902,0.86232,0.83982,0.79199,0.80335,0.86047,0.76192,0.79215,0.77628,0.77559,0.76442,0.78113,0.67968,0.73964,0.7799,0.6811,0.66828,0.67806,0.41273,0.719,0.66308,0.65741,0.49879,0.56659,0.61305,0.39604,0.52053,0.46838,0.36077,0.47774,0.54932,0.5065,0.27006,0.41445,0.23662,0.34921,0.11836,0.14697,0.061278,0.14865,0.028299,0.17159,-0.12026,-0.12899,-0.015209,-0.01829,0.27822,-0.23196,-0.18127,-0.074037,0.12731,-0.10536,-0.01961,-0.22313,0.023339,-0.093566,-0.19454,-0.12249,0.012905,-0.29626,-0.12468,-0.1809,0.27985,-0.033841,-0.21169,0.053131,-0.27094,-0.22613,-0.079688,-0.21767,-0.10495,0.26033,-0.038797,0.010643,0.14951,0.055515,-0.022592,-0.24876,-0.18578,-0.079501,-0.1549,-0.30119,0.075083,-0.068905,0.12537,-0.067705,-0.3136,-0.16676,-0.34009,0.32138,0.096345,0.035157,-0.062638,0.051723,0.16663,-0.16352,0.050188,0.20945,0.16161,0.20092,-0.15386,0.16717,-0.12432,0.27722,-0.095668,0.1675,0.099864,0.24207,0.16992,0.14223,0.052172,0.36182,0.30971,0.18169
6,0.878,0.90259,0.84913,0.86722,0.83847,0.86165,1,0.82316,0.86093,0.84723,0.83274,0.85913,0.77447,0.82626,0.835,0.79541,0.81181,0.82244,0.85714,0.78523,0.82339,0.81395,0.78156,0.72682,0.7651,0.68385,0.76606,0.74457,0.59945,0.60603,0.68826,0.42376,0.73343,0.6375,0.56392,0.35761,0.52699,0.60076,0.38265,0.43623,0.27006,0.31847,0.31275,0.58677,0.46905,0.057691,0.45324,0.20232,0.27682,0.21212,-0.067959,0.073772,0.053057,-0.062919,0.24988,-0.23045,-0.24918,0.071814,-0.13047,0.17465,-0.28604,-0.091106,-0.049062,-0.054634,-0.12285,-0.088499,-0.27268,-0.012857,-0.19063,-0.12617,-0.055115,0.0095351,-0.34454,-0.12093,-0.25667,0.21492,-0.14391,-0.14417,0.087125,-0.13796,-0.16585,-0.12038,-0.17752,-0.10385,0.35323,-0.094189,0.0055969,0.091548,0.12133,0.022172,-0.41982,-0.18142,0.062566,-0.20807,-0.30493,-0.060557,0.03228,0.19913,-0.064919,-0.36999,-0.018026,-0.40107,0.37944,-0.028186,0.093768,-0.025432,0.10019,0.11803,-0.23416,0.068538,0.28541,0.091098,0.28488,-0.099248,0.19775,-0.0054262,0.28221,-0.11752,0.24423,0.25106,0.23506,0.10071,0.14264,0.048545,0.33259,0.33566,0.19277
7,0.89754,0.86636,0.86133,0.85316,0.84068,0.85184,0.82316,1,0.87809,0.86473,0.82499,0.85396,0.79416,0.85428,0.84882,0.79408,0.85284,0.76681,0.85191,0.8042,0.78582,0.70618,0.80703,0.71931,0.80168,0.69338,0.79616,0.71911,0.79316,0.63125,0.65211,0.48529,0.66212,0.64448,0.68854,0.42374,0.54076,0.56433,0.42104,0.58892,0.42006,0.4245,0.36621,0.52865,0.50218,0.2194,0.46828,0.40029,0.32701,0.14669,-0.064333,0.10071,0.12972,-0.083945,0.17201,-0.11331,-0.031165,0.021695,0.13384,0.3646,-0.3045,-0.10593,-0.20293,0.064419,-0.037936,-0.067292,-0.2445,0.039499,0.017565,-0.23257,-0.016135,-0.022917,-0.2509,-0.20231,-0.22948,0.19783,-0.11147,-0.18211,0.068551,-0.18345,-0.16561,-0.15421,-0.21295,-0.071722,0.25587,-0.12944,-0.1442,0.046958,0.042594,0.016837,-0.27904,-0.13691,-0.0019403,-0.11085,-0.16883,-0.050075,-0.093115,0.14698,-0.019576,-0.30549,-0.14794,-0.43991,0.37703,0.033028,-0.0042267,0.057417,-0.028957,0.066713,-0.056225,0.11146,0.39332,0.055412,0.18384,-0.049368,0.21106,0.018027,0.17769,0.010883,0.23433,0.090063,0.24624,0.06979,0.26319,0.0079876,0.34629,0.30537,0.1228
8,0.92561,0.88942,0.89825,0.87951,0.79141,0.87524,0.86093,0.87809,1,0.8356,0.81556,0.90752,0.8532,0.85476,0.88942,0.84779,0.87938,0.78408,0.86376,0.84724,0.73994,0.77645,0.82955,0.72908,0.89215,0.72977,0.75097,0.73528,0.76603,0.61053,0.69334,0.47284,0.65866,0.7357,0.65903,0.56996,0.49735,0.57594,0.36062,0.50226,0.32814,0.39537,0.40618,0.53253,0.53621,0.25526,0.48256,0.30623,0.38571,0.17791,0.04633,0.012708,0.23648,0.065186,0.10995,-0.2049,-0.14767,-0.054411,0.0012937,0.32333,-0.2131,-0.20157,-0.15822,0.06545,-0.13133,-0.083905,-0.36396,0.085691,-0.17076,-0.14068,0.01918,0.12426,-0.2721,-0.21023,-0.18946,0.14434,0.029259,-0.28331,0.081892,-0.11371,-0.17075,-0.21801,-0.27724,-0.11854,0.28873,-0.099065,-0.091658,-0.012983,0.11405,0.070106,-0.15995,-0.080711,0.060793,-0.086309,-0.20693,0.074874,-0.068914,0.16185,-0.031714,-0.34286,-0.13019,-0.41878,0.27415,-0.1206,0.034935,-0.058177,0.016793,0.039037,-0.26578,0.16891,0.39092,0.057902,0.19829,-0.040571,0.17606,0.017029,0.11951,-0.032466,0.21588,0.14296,0.35157,-0.036679,0.27884,0.054639,0.32381,0.24639,0.27415
9,0.89177,0.87052,0.88036,0.84814,0.83003,0.84799,0.84723,0.86473,0.8356,1,0.7936,0.83311,0.803,0.87991,0.787,0.74253,0.87026,0.72111,0.88129,0.78029,0.77204,0.74112,0.74813,0.6999,0.79682,0.77947,0.76139,0.74311,0.67694,0.64821,0.64579,0.46776,0.6477,0.6825,0.61291,0.50033,0.6334,0.60469,0.41139,0.48324,0.31745,0.40208,0.3544,0.57225,0.54644,0.1698,0.38997,0.26968,0.32875,0.29504,0.021764,0.063961,0.11939,-0.031108,0.14809,-0.20092,-0.031915,-0.1308,0.015953,0.22342,-0.2863,-0.083033,-0.12614,0.078186,-0.068551,-0.051981,-0.20128,0.099796,0.025546,-0.12393,-0.053095,-0.11288,-0.3254,-0.24293,-0.20032,0.076673,0.0050674,-0.15098,0.2082,-0.14527,-0.11578,-0.13265,-0.21438,-0.11555,0.42085,-0.051306,-0.081133,0.10226,0.14653,0.055543,-0.26231,-0.064899,-0.0041901,-0.14576,-0.21938,0.043535,-0.13456,0.11646,0.0015611,-0.2074,-0.15428,-0.39682,0.40636,-0.019911,0.099136,0.049961,0.09712,0.046842,-0.033413,0.092283,0.31524,0.032058,0.1916,-0.06617,0.12518,-0.10665,0.35032,-0.14651,0.19127,0.17259,0.21401,0.11112,0.17049,0.15911,0.3953,0.2817,0.14965
