,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,1,0.87283,0.8616,0.88754,0.83581,0.7974,0.86636,0.81817,0.86712,0.74846,0.87246,0.79865,0.80337,0.72816,0.78802,0.80314,0.85752,0.77868,0.78493,0.82015,0.73989,0.81993,0.85464,0.86054,0.80131,0.75128,0.61999,0.69357,0.7116,0.68498,0.60109,0.65825,0.53181,0.56333,0.57466,0.57954,0.53244,0.65427,0.58629,0.50784,0.35439,0.17002,0.4508,0.12389,0.33804,0.42262,0.41593,0.51845,0.30783,0.16284,0.28099,0.31327,-0.0065445,0.19218,-0.17345,-0.088454,-0.011599,-0.14289,0.06277,-0.095327,0.019387,0.015104,-0.13492,0.27093,-0.19026,-0.056252,-0.23687,-0.1031,-0.16889,-0.15482,-0.26022,0.0072063,0.040891,-0.28134,0.13649,-0.21414,-0.16756,-0.064759,0.065718,-0.15073,-0.1522,-0.22793,-0.27958,-0.19449,-0.18047,-0.061823,0.1236,0.0061614,0.089441,0.033436,-0.0055061,0.00090771,0.041089,-0.08414,0.069001,-0.096815,-0.11607,0.15108,-0.021631,0.28644,0.066113,-0.13774,-0.013508,0.19635,0.11177,0.27941,-0.047687,-0.084704,0.34584,0.20142,-0.11254,0.013649,0.19101,-0.22032,0.1222,0.15051,-0.32411,-0.1433,-0.11556,0.0035782,0.13309,0.14598,0.023894,0.051451,-0.064189,-0.16256,-0.11588,0.06538,0.060745
1,0.87283,1,0.88664,0.86852,0.87063,0.83568,0.90193,0.80998,0.88545,0.78598,0.85202,0.84931,0.88024,0.76824,0.81497,0.85817,0.8429,0.85133,0.77857,0.81724,0.81396,0.84605,0.79437,0.8531,0.84877,0.68938,0.74967,0.73414,0.71121,0.65622,0.74219,0.67772,0.56005,0.65369,0.6373,0.58351,0.58786,0.71012,0.63611,0.47452,0.36422,0.26204,0.49123,0.22765,0.27691,0.45128,0.42431,0.57377,0.39064,0.27686,0.24982,0.30442,0.079407,0.37051,-0.064064,-0.045728,-0.082568,-0.086539,0.07758,0.060121,0.0020581,-0.029603,-0.011758,0.10174,-0.19131,0.0070057,-0.27559,-0.067336,-0.149,-0.069073,-0.27826,0.12004,0.061159,-0.22026,0.17053,-0.22047,-0.053671,0.011378,0.0358,0.013979,-0.14743,-0.1853,-0.26821,-0.24274,-0.046848,-0.049553,0.10632,-0.03144,0.14169,-0.1516,0.07718,-0.12988,-0.041091,-0.043048,0.15213,-0.15453,-0.16731,0.15955,0.0030025,0.16072,0.088637,-0.12482,0.10436,0.19332,-0.0080599,0.3942,-0.028941,0.0029664,0.31984,0.07433,-0.14089,0.085057,0.22398,-0.13938,0.13951,0.082345,-0.32661,-0.11165,-0.0088414,-0.028752,0.1462,0.066333,-0.063541,0.010521,-0.075996,0.04717,-0.17842,0.07867,-0.14895
2,0.8616,0.88664,1,0.8749,0.90739,0.90179,0.90189,0.83058,0.88025,0.84533,0.86481,0.83285,0.84674,0.78348,0.82796,0.86634,0.8848,0.85658,0.83744,0.86968,0.84455,0.8151,0.76644,0.89257,0.7559,0.73894,0.70168,0.69414,0.72675,0.77483,0.73501,0.69561,0.50503,0.65003,0.66852,0.66431,0.63918,0.66116,0.58215,0.46786,0.36738,0.25411,0.3665,0.16291,0.35771,0.34101,0.41791,0.46661,0.30302,0.15105,0.19093,0.39201,0.013623,0.24943,-0.11287,-0.0089022,-0.10609,-0.13731,-0.034739,0.035561,-0.022677,0.006264,-0.024814,0.086701,-0.078697,-0.056493,-0.32454,-0.18414,-0.15761,-0.25404,-0.21549,0.037434,-0.014545,-0.28898,0.22672,-0.12332,-0.09608,-0.03295,0.060037,-0.10915,-0.042388,-0.31235,-0.40932,-0.21099,0.059552,-0.030018,0.20126,-0.042432,0.1584,-0.16647,-0.032191,-0.19992,0.049436,0.053259,0.083504,-0.15425,-0.32751,0.059371,-0.085132,0.14929,-0.058728,-0.18998,0.083411,0.13788,0.032613,0.26275,0.040776,-0.018376,0.13073,0.073107,-0.23262,-0.029923,0.18583,-0.15774,0.0058319,-0.0065429,-0.3396,-0.17032,-0.024753,-0.031019,0.15436,0.10416,-0.16544,-0.087646,-0.05387,-0.058854,-0.21564,-0.083289,0.010084
3,0.88754,0.86852,0.8749,1,0.88858,0.81824,0.86789,0.84457,0.8855,0.78863,0.90096,0.82557,0.81884,0.79383,0.85339,0.82118,0.84854,0.78192,0.80719,0.83564,0.74011,0.79689,0.78365,0.8363,0.85612,0.74421,0.73943,0.70752,0.70994,0.67713,0.75452,0.66203,0.5917,0.58196,0.63944,0.59418,0.5273,0.66311,0.61503,0.44287,0.39382,0.31023,0.41511,0.16744,0.43553,0.51123,0.38118,0.46077,0.26702,0.22743,0.21683,0.30698,0.10464,0.30215,-0.029035,-0.10607,-0.15271,-0.1245,0.096637,-0.065988,-0.067128,-0.092519,-0.13771,0.10782,-0.16486,-0.038886,-0.25588,-0.11385,-0.25102,-0.13119,-0.28767,0.00030423,-0.061508,-0.36316,0.16679,-0.16444,-0.097567,0.056798,0.080879,-0.085554,-0.20879,-0.14544,-0.37371,-0.30708,-0.035804,-0.1209,0.2066,-0.0019711,0.065087,-0.038258,-0.10483,-0.12006,-0.0064166,-0.056737,0.25755,-0.20958,-0.28535,0.17434,-0.048038,0.30726,-0.032433,-0.28199,0.051008,0.092655,0.092916,0.13595,0.082327,-0.070283,0.26691,0.1336,-0.15986,0.13602,0.1929,-0.1197,0.085899,0.046323,-0.23343,-0.1089,-0.10973,0.036164,0.15033,0.15996,0.10138,0.043507,-0.11602,-0.084637,-0.11878,-0.016441,0.036464
4,0.83581,0.87063,0.90739,0.88858,1,0.85903,0.88631,0.83862,0.89373,0.77004,0.83823,0.85885,0.81204,0.82647,0.85886,0.84272,0.86626,0.8037,0.80184,0.82432,0.78307,0.82752,0.78377,0.84759,0.77057,0.6739,0.75392,0.68935,0.67461,0.65193,0.71705,0.65276,0.46465,0.60867,0.71741,0.60774,0.6127,0.59853,0.5595,0.48788,0.38241,0.29006,0.27271,0.10865,0.43566,0.43312,0.30875,0.49975,0.36713,0.23796,0.171,0.33535,0.034689,0.36797,-0.0424,0.02408,-0.059277,-0.063685,0.11072,-0.0095373,0.062349,-0.023042,-0.074587,0.0042212,-0.078492,0.074925,-0.36485,-0.1043,-0.18143,-0.15629,-0.26693,-0.0017604,-0.0016485,-0.25466,0.093607,-0.13625,-0.046665,0.0046826,0.10049,-0.032576,-0.14242,-0.21757,-0.31007,-0.33905,-0.042225,-0.027602,0.15452,-0.13184,0.055217,-0.11731,-0.054937,-0.15926,0.043846,0.0091734,0.13446,-0.093489,-0.23967,0.026755,-0.082435,0.23745,-0.022139,-0.16638,0.11347,0.15183,0.1011,0.31565,0.083249,-0.054311,0.16782,0.12345,-0.25034,0.12835,0.1459,-0.08714,0.072326,-0.01433,-0.31231,-0.10587,-0.0052373,-0.082281,0.070664,0.089154,-0.025873,-0.0013488,-0.097733,-0.083695,-0.19752,0.025996,-0.003338
5,0.7974,0.83568,0.90179,0.81824,0.85903,1,0.87392,0.77818,0.86379,0.82894,0.85245,0.86537,0.79577,0.77745,0.82595,0.79521,0.81818,0.84018,0.79284,0.79114,0.76402,0.7929,0.72905,0.80919,0.73221,0.74986,0.68998,0.67045,0.68026,0.74883,0.64908,0.66559,0.51066,0.67125,0.6746,0.60755,0.51829,0.64998,0.57029,0.43212,0.36999,0.39736,0.30744,0.22508,0.51871,0.39527,0.42983,0.46101,0.27307,0.074242,0.20299,0.27296,0.029324,0.27458,0.019431,0.0066762,-0.055332,-0.083995,0.0048901,-0.079314,-0.046161,0.11718,-0.11421,0.23824,-0.043098,0.057046,-0.3329,-0.053409,-0.059921,-0.20694,-0.27431,0.072636,0.032698,-0.26646,0.16362,-0.12168,-0.038822,0.1009,0.15382,-0.053012,-0.023052,-0.17136,-0.3595,-0.10453,0.071693,0.068125,0.19979,-0.097418,0.14534,-0.10282,-0.039954,-0.072812,0.08389,-0.0096066,0.049433,-0.16339,-0.23051,-0.0039319,-0.01468,0.10256,-0.062275,-0.095273,0.048384,0.10693,0.12071,0.32546,0.041407,-0.034391,0.19388,0.11886,-0.27129,0.023868,0.18394,-0.21768,-0.002325,0.081279,-0.26288,-0.096325,0.067828,0.030069,0.13895,0.086955,-0.21331,-0.076679,-0.027141,-0.042474,-0.097799,-0.075439,0.045032
6,0.86636,0.90193,0.90189,0.86789,0.88631,0.87392,1,0.84136,0.88357,0.81143,0.88068,0.87818,0.85506,0.77305,0.83028,0.90491,0.84947,0.85179,0.83798,0.83752,0.78166,0.86567,0.76846,0.83773,0.8069,0.78182,0.72536,0.71084,0.66454,0.72923,0.70943,0.62876,0.51046,0.61824,0.68936,0.68038,0.58583,0.59735,0.52715,0.48066,0.38607,0.31763,0.43261,0.18384,0.41012,0.4269,0.44372,0.47666,0.26036,0.17928,0.17641,0.31089,0.098449,0.29263,-0.12335,-0.066711,-0.0079528,-0.16629,0.082565,-0.044784,0.014344,-0.043041,-0.072417,0.11645,-0.069738,-0.0036192,-0.25866,-0.12541,-0.17774,-0.15658,-0.16874,0.152,0.049111,-0.17686,0.2575,-0.20259,-0.015114,0.039196,0.10095,-0.016412,-0.1112,-0.18011,-0.27847,-0.21148,0.015662,-0.11595,0.12915,-0.010684,0.050355,-0.1217,0.014235,-0.12857,-0.025511,-0.051135,0.06935,-0.14087,-0.19989,0.089603,0.009575,0.19878,-0.054856,-0.2073,0.0082656,0.18466,-0.078902,0.30513,0.034168,-0.027812,0.18068,0.20061,-0.087731,0.017573,0.23662,-0.2199,0.086707,-0.063324,-0.20107,-0.20186,-0.0088139,-0.041152,0.076739,0.14555,-0.11407,-0.062485,0.038086,-0.042217,-0.29606,-0.0059305,-0.044404
7,0.81817,0.80998,0.83058,0.84457,0.83862,0.77818,0.84136,1,0.82936,0.80068,0.82369,0.81485,0.83082,0.75305,0.80788,0.86684,0.8166,0.79006,0.75172,0.79274,0.66224,0.83342,0.73025,0.77037,0.78556,0.72402,0.69612,0.64718,0.65338,0.6774,0.63068,0.65077,0.50484,0.64101,0.61227,0.6189,0.46522,0.6747,0.59661,0.38491,0.31454,0.26846,0.35066,0.025251,0.45076,0.3669,0.39444,0.45637,0.23989,0.2564,0.11124,0.27834,0.087421,0.24274,-0.14973,0.04822,-0.081331,-0.055326,0.054127,-0.069516,-0.042345,-0.066671,-0.16967,-0.026192,-0.16098,0.077679,-0.25519,-0.12466,-0.29717,-0.20049,-0.20919,0.040268,-0.0059615,-0.26652,0.19326,-0.19656,-0.21156,0.017089,0.069521,-0.028384,-0.17784,-0.067781,-0.27615,-0.24048,-0.14548,-0.085762,0.14741,-0.054974,0.012996,0.026177,0.028982,-0.15322,-0.012109,-0.094949,0.026921,-0.096775,-0.15379,0.083388,-0.030459,0.23379,0.034398,-0.12221,0.15682,0.17848,0.12302,0.31898,0.14088,-0.055671,0.15416,-0.0019157,-0.14549,0.0021916,0.19017,-0.052194,0.036885,-0.030338,-0.3198,-0.11853,-0.12295,-0.03641,-0.050888,0.087077,-0.029074,0.16921,-0.066954,-0.093676,-0.19022,0.048778,-0.053576
8,0.86712,0.88545,0.88025,0.8855,0.89373,0.86379,0.88357,0.82936,1,0.76861,0.8903,0.88279,0.79027,0.81276,0.88156,0.82753,0.83971,0.83347,0.78317,0.83927,0.76697,0.80012,0.75527,0.83357,0.81702,0.63612,0.74473,0.69757,0.71969,0.74647,0.71123,0.61092,0.58449,0.55899,0.66259,0.59821,0.63177,0.66139,0.60812,0.39566,0.42199,0.36125,0.38278,0.25022,0.40835,0.45909,0.37387,0.45616,0.29398,0.15135,0.26481,0.39728,-0.022941,0.35148,-0.070978,-0.068084,-0.082415,-0.12994,0.16258,-0.029662,-0.019987,-0.018553,0.053431,0.10642,-0.17496,0.086607,-0.33279,-0.096302,-0.17255,-0.19867,-0.24348,0.084258,-0.078789,-0.22555,0.14253,-0.14196,-0.0639,-0.010153,0.19934,-0.048152,-0.20957,-0.20347,-0.24778,-0.15829,-0.057762,-0.053094,0.14494,0.036814,0.023908,-0.042556,-0.097826,-0.082928,0.074769,-0.035654,0.031488,-0.038626,-0.1265,0.11764,-0.091001,0.15373,-0.014298,-0.21363,0.047091,0.14836,0.18723,0.31299,0.086958,-0.12064,0.33517,0.19048,-0.22833,0.13886,0.13946,-0.094641,0.098871,0.00092072,-0.42171,-0.17948,-0.080351,0.0022731,0.096255,0.2223,0.041789,0.032498,-0.063627,-0.13023,-0.15876,0.065489,-0.066444
9,0.74846,0.78598,0.84533,0.78863,0.77004,0.82894,0.81143,0.80068,0.76861,1,0.79865,0.83858,0.80874,0.7481,0.73996,0.81476,0.78378,0.78448,0.79234,0.71797,0.72058,0.72407,0.62645,0.73484,0.74218,0.7365,0.68961,0.63068,0.6224,0.61873,0.61468,0.6536,0.60298,0.62094,0.5597,0.56659,0.4804,0.56751,0.61963,0.25772,0.41011,0.39456,0.33746,0.17524,0.55003,0.3353,0.47167,0.36454,0.26407,0.21285,0.24526,0.33028,0.082559,0.2782,0.0061667,0.024993,-0.12403,-0.12351,-0.07559,-0.029736,-0.001348,0.045838,-0.10091,0.11819,-0.068535,-0.015828,-0.26774,-0.16609,-0.13792,-0.21233,-0.1182,0.029356,0.051554,-0.27979,0.20226,-0.31476,-0.044723,-0.068307,0.042292,-0.038358,0.01322,-0.1171,-0.36147,-0.18495,0.11256,-0.14942,0.11055,-0.069253,0.096343,-0.099871,0.067499,-0.080616,0.10277,0.13659,0.04475,-0.21028,-0.31277,-0.060198,0.0072689,0.20102,-0.035219,-0.18815,0.13926,0.096921,-0.023021,0.4003,0.049456,0.077264,0.022144,0.10145,-0.20758,0.087452,0.19058,-0.16443,-0.050022,0.065381,-0.24199,-0.17409,0.096663,-0.000817,0.098316,0.056856,-0.22506,0.026156,-0.15649,-0.059775,-0.13463,-0.059603,-0.0064003
