,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,1,0.78085,0.81523,0.81446,0.81259,0.78943,0.81758,0.76724,0.65492,0.72681,0.75155,0.70494,0.71281,0.56016,0.62085,0.57056,0.30639,0.64484,0.19113,0.37431,-0.020918,0.18748,0.47177,0.008883,0.16321,-0.25945,0.006182,-0.046447,-0.21925,-0.15959,0.023111,0.084688,-0.15117,-0.38911,-0.18021,-0.37438,-0.35195,-0.21115,-0.49282,-0.38398,-0.20253,-0.25846,-0.50149,-0.43152,-0.084132,-0.20248,-0.20451,-0.039801,-0.45517,-0.31847,-0.31618,-0.54783,-0.13928,-0.23468,-0.40884,0.11797,-0.070811,-0.36775,-0.16985,-0.3408,-0.28904,-0.069521,-0.021343,-0.01162,0.1937,0.031229,0.12609,0.072244,-0.093448,-0.19067,-0.095481,0.14316,0.26445,0.14011,-0.12281,-0.089785,-0.23511,0.03529,0.11563,0.17533,-0.077993,0.036211,0.20174,-0.14708,0.40136,0.14602,0.11007,0.072549,-0.15617,0.12391,0.082489,-0.26747,-0.12562,-0.072993,-0.0034835,0.17134,0.036334,0.18975,-0.071409,-0.016105,0.24634,0.29593,-0.054206,0.2399,0.25928,-0.097247,0.11335,0.12979,-0.043064
1,0.78085,1,0.77661,0.70702,0.81497,0.72888,0.81075,0.74586,0.71277,0.60536,0.69918,0.76532,0.64988,0.43257,0.58385,0.52924,0.4535,0.50946,0.30937,0.20395,0.028992,0.29485,0.39469,-0.013317,0.061259,-0.23653,-0.072204,-0.018781,-0.34486,-0.13838,0.094729,-0.10403,-0.091248,-0.33705,-0.14283,-0.41097,-0.3047,-0.2843,-0.45705,-0.18763,-0.016302,-0.27029,-0.41405,-0.26912,-0.0022554,-0.082244,-0.12264,-0.048622,-0.43109,-0.21869,-0.28441,-0.56786,-0.19239,-0.35048,-0.3645,-0.053111,0.052012,-0.32564,-0.25549,-0.35168,-0.33736,-0.015837,-0.039368,-0.086956,0.15334,-0.011687,0.092451,0.020304,-0.17705,-0.10553,-0.06316,0.13631,0.095161,-0.023928,0.086559,-0.037208,-0.28145,0.11418,0.085994,0.16199,-0.073357,0.036282,0.27157,0.015265,0.31519,0.1186,0.063455,-0.10451,-0.19001,0.080948,0.12166,-0.30352,-0.17003,-0.14806,0.023648,0.19805,-0.039592,0.21806,-0.031484,0.28895,0.29671,0.35088,-0.023234,0.18954,0.38595,0.041696,0.057626,0.13729,-0.2006
2,0.81523,0.77661,1,0.7982,0.80209,0.79938,0.83695,0.79045,0.71377,0.57502,0.72522,0.66548,0.70635,0.51083,0.5298,0.60001,0.25839,0.56582,0.35465,0.34124,-0.186,0.25477,0.57881,-0.016025,0.15705,-0.10671,0.056662,-0.0065912,-0.41131,-0.095832,0.039116,-0.040268,-0.13949,-0.33592,-0.1663,-0.34272,-0.22797,-0.14366,-0.39148,-0.35106,-0.035735,-0.20362,-0.36029,-0.412,-0.081816,-0.16402,-0.083014,-0.028629,-0.35839,-0.20088,-0.33638,-0.51621,-0.16452,-0.2444,-0.46893,0.10171,-0.058113,-0.2849,-0.20787,-0.20333,-0.36564,0.12872,-0.057517,0.0022515,0.028592,-0.013854,0.16725,0.049693,-0.19781,-0.2556,-0.15283,0.18051,0.15712,0.083473,-0.070565,-0.020051,-0.22871,0.0051953,0.21729,0.10464,-0.097618,-0.11014,0.10675,-0.025952,0.29599,0.12705,0.054373,-0.039434,-0.16709,0.14332,0.096035,-0.23998,-0.04025,-0.049321,0.058555,0.0084972,0.0093259,0.13001,0.050009,0.14022,0.14819,0.22136,-0.031681,0.16599,0.32948,-0.042835,0.016363,-0.024495,0.041404
3,0.81446,0.70702,0.7982,1,0.8109,0.75243,0.739,0.73332,0.61713,0.59148,0.74297,0.61555,0.66281,0.51876,0.41275,0.52342,0.26504,0.61212,0.44673,0.28705,-0.16642,0.15246,0.37806,-0.097418,0.22274,-0.12913,-0.023493,0.055847,-0.34253,-0.10326,0.10972,-0.061533,-0.070348,-0.31486,-0.19266,-0.26752,-0.30121,-0.11942,-0.56816,-0.34345,-0.17859,-0.22983,-0.35917,-0.422,-0.02408,-0.13523,-0.12138,-0.040476,-0.57062,-0.23108,-0.3769,-0.55455,-0.11478,-0.20125,-0.40108,-0.034759,-0.16199,-0.33408,-0.27021,-0.37593,-0.35434,-0.083525,0.096433,-0.073823,0.090194,0.016983,0.22677,0.017799,-0.090809,-0.15485,-0.10253,0.13642,0.18154,0.034233,-0.10524,-0.026841,-0.064612,-0.063621,0.30173,0.10974,-0.08642,-0.16087,0.1208,-0.24634,0.34823,0.077379,0.094022,0.15651,-0.16836,0.08478,0.092752,-0.22024,-0.084557,-0.018378,-0.13174,0.077572,0.13141,0.076382,-0.016754,0.081295,0.23272,0.23079,-0.036351,0.10346,0.14135,0.018627,0.061107,0.11622,0.056654
4,0.81259,0.81497,0.80209,0.8109,1,0.76414,0.74703,0.80875,0.59753,0.5917,0.64435,0.60098,0.72538,0.48007,0.5016,0.52907,0.31126,0.57702,0.30493,0.40378,-0.017406,0.22616,0.40497,-0.056738,0.096678,-0.23754,0.047872,-0.046283,-0.33413,-0.13137,0.042336,-0.090749,-0.076665,-0.30307,-0.23448,-0.31811,-0.32358,-0.12082,-0.45571,-0.2685,-0.16643,-0.18596,-0.35828,-0.50143,-0.064247,-0.24317,-0.13973,0.0070862,-0.43969,-0.1559,-0.32955,-0.53758,-0.16808,-0.17206,-0.25304,-0.064551,-0.012043,-0.31541,-0.23098,-0.3074,-0.26411,-0.077532,0.0021489,0.0858,0.22127,-0.017725,0.32381,0.046671,-0.13307,-0.12379,-0.069531,0.19912,0.25076,0.0033761,0.0044903,-0.021379,-0.1777,0.099577,0.023293,0.14498,-0.1875,-0.048809,0.19136,-0.13217,0.40717,0.079336,-0.11112,0.15251,-0.14057,0.090072,0.085516,-0.19983,-0.075664,-0.051571,-0.11758,0.18807,-0.050849,0.13582,-0.090415,0.13006,0.30574,0.18329,-0.10001,0.12515,0.14545,0.074623,0.10253,0.011624,-0.10545
5,0.78943,0.72888,0.79938,0.75243,0.76414,1,0.72398,0.72718,0.57395,0.535,0.60945,0.60927,0.59632,0.54075,0.57299,0.47226,0.34561,0.5735,0.16742,0.42517,-0.21326,0.23676,0.54288,-0.0818,0.045346,-0.33982,0.071593,0.047471,-0.17557,-0.021662,-0.048015,-0.13198,-0.17743,-0.37247,-0.085564,-0.39067,-0.29097,-0.13805,-0.39674,-0.41948,-0.093718,-0.13583,-0.38123,-0.49615,0.0094043,-0.14234,-0.01095,-0.13303,-0.28278,-0.23463,-0.31806,-0.53849,-0.21033,-0.18458,-0.36892,-0.037518,-0.0019991,-0.33975,-0.074483,-0.24361,-0.36239,-0.12324,-0.013117,-0.095145,0.0026427,-0.01681,0.08259,0.11357,-0.14918,-0.34468,-0.034526,0.09434,0.32636,0.039762,0.0071812,-0.090946,-0.13042,0.027198,0.053143,0.16312,-0.1726,-0.11784,0.17873,-0.17868,0.23026,-0.00030623,0.033932,0.060039,-0.12566,0.25769,0.13149,-0.2418,-0.031536,0.017799,0.027596,0.10029,-0.067728,-0.074896,-0.14765,0.026299,0.2635,0.23005,0.05466,0.22553,0.21028,-0.15963,0.042138,0.094297,-0.18864
6,0.81758,0.81075,0.83695,0.739,0.74703,0.72398,1,0.72271,0.72852,0.62367,0.70297,0.63055,0.70146,0.49622,0.56216,0.59507,0.15597,0.51552,0.22412,0.22582,-0.051919,0.31841,0.41694,-0.043969,0.23502,-0.1013,-0.048101,-0.041711,-0.31526,-0.14422,0.098579,-0.078658,-0.061192,-0.34696,-0.081931,-0.42537,-0.42259,-0.15457,-0.47511,-0.34346,-0.075259,-0.29823,-0.35703,-0.34072,-0.04806,-0.19051,-0.056973,0.037352,-0.40523,-0.26671,-0.28683,-0.62735,-0.14361,-0.32383,-0.38696,0.063168,-0.026317,-0.33582,-0.043113,-0.21606,-0.37698,0.026673,-0.015381,0.029134,0.20736,0.029245,0.11631,0.15521,-0.21103,-0.25432,-0.10978,0.11566,0.13732,0.18334,-0.097985,-0.052444,-0.32877,0.053968,0.1114,0.11323,0.02318,-0.082729,0.15325,0.0055621,0.30601,0.12688,0.25544,-0.15856,-0.20404,0.1746,0.086654,-0.21565,-0.036369,-0.12623,0.1313,0.17304,-0.02377,0.12358,-0.012042,0.084909,0.13767,0.26006,0.021302,0.19144,0.16881,-0.10393,-0.06599,-0.085144,-0.091421
7,0.76724,0.74586,0.79045,0.73332,0.80875,0.72718,0.72271,1,0.64018,0.68039,0.69807,0.67471,0.68368,0.57384,0.48197,0.49891,0.34389,0.61419,0.26108,0.26014,0.047674,0.20133,0.47636,-0.01526,0.22162,-0.083862,0.0044379,-0.031948,-0.17643,-0.048534,-0.05492,-0.070777,-0.050195,-0.25335,-0.069285,-0.2925,-0.158,-0.18991,-0.36968,-0.39789,-0.1793,-0.19303,-0.29903,-0.4138,-0.08474,-0.26959,-0.033836,-0.0036677,-0.41404,-0.30999,-0.19436,-0.60793,-0.10427,-0.14124,-0.39495,0.10334,-0.016284,-0.33495,-0.28254,-0.26842,-0.36793,-0.031257,-0.016782,-0.0075501,0.045874,-0.073088,0.14025,0.013752,-0.056433,-0.21144,-0.096828,0.24602,0.10652,-0.02283,-0.16662,0.040415,-0.28712,-0.0026776,0.041526,0.11617,-0.080097,0.11519,0.039747,-0.15872,0.31362,0.18133,0.0585,0.1258,-0.048832,0.075076,0.32736,-0.12504,-0.13835,-0.12716,-0.14443,0.306,0.055425,0.062455,-0.043856,0.13069,0.16882,0.14769,-0.041717,0.13951,0.12805,0.0203,0.069647,0.0094585,-0.12362
8,0.65492,0.71277,0.71377,0.61713,0.59753,0.57395,0.72852,0.64018,1,0.605,0.73505,0.59136,0.56398,0.40336,0.56645,0.38565,0.34508,0.3869,0.27547,0.15021,0.027626,0.39851,0.5069,0.083244,0.25157,-0.0050376,-0.042081,0.038388,-0.19162,-0.10574,0.24107,-0.03743,-0.010976,-0.29937,0.0581,-0.28563,-0.23622,-0.21986,-0.40739,-0.11653,-0.16145,0.017198,-0.29949,-0.236,0.00064057,-0.004213,-0.18554,-0.030972,-0.42911,-0.12929,-0.14367,-0.40891,0.11656,-0.33444,-0.1682,0.149,-0.029226,-0.25682,-0.22501,-0.25342,-0.29321,-0.025991,-0.21802,-0.027911,0.059795,0.12108,0.041573,0.13303,-0.075007,0.026352,-0.23677,0.09154,0.082507,0.037201,0.00082568,-0.067103,-0.35902,0.072312,0.24295,0.27276,0.12935,-0.17325,0.23224,0.10537,0.31137,0.19649,0.12712,-0.13499,-0.19515,0.069586,0.15271,-0.12912,-0.015455,-0.18338,0.079118,0.093218,0.095649,-0.13558,0.016351,0.35939,0.28738,0.13247,0.0054946,0.12006,0.28649,0.12165,-0.14876,-0.077287,-0.076836
9,0.72681,0.60536,0.57502,0.59148,0.5917,0.535,0.62367,0.68039,0.605,1,0.55735,0.52194,0.47715,0.34327,0.385,0.44345,0.24054,0.4878,0.098752,0.22464,-0.0022112,0.17482,0.56617,0.033823,0.20077,-0.26747,0.039264,0.016924,-0.15979,-0.050163,0.031649,0.21888,0.16448,-0.41325,-0.12448,-0.27119,-0.43532,-0.21547,-0.38679,-0.085452,-0.27935,-0.28216,-0.33229,-0.2344,-0.12234,-0.32596,-0.073823,0.01032,-0.47239,-0.25458,-0.26274,-0.33676,-0.039547,-0.28659,-0.27297,0.20391,-0.095254,-0.25458,-0.24815,-0.26427,-0.22229,-0.10892,-0.23099,0.11876,0.14173,0.05267,0.021741,-0.0064333,-0.15913,-0.0034831,-0.022718,0.1936,0.038202,0.26515,-0.16134,-0.19805,-0.31493,-0.061301,0.10745,0.05577,-0.055542,0.18871,0.16935,-0.041725,0.24251,0.30932,0.082068,0.017891,0.12866,0.14647,0.23918,-0.31226,0.0033631,-0.24516,-0.019342,0.29616,0.025816,0.10228,-0.17133,0.028812,0.22728,0.20623,-0.05468,0.17648,0.13464,-0.058306,0.17128,0.040995,-0.18873
