,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,all realizations
0,1277902810117.6116,193903.0,474039.0,679643.0,751473.0,2099058.0
1,1309830078860.0757,194111.0,470962.0,667695.0,734694.0,2067462.0
2,1341763553909.397,194119.0,466591.0,654007.0,715059.0,2029776.0
3,1373673535878.3645,192994.0,461729.0,638888.0,693536.0,1987147.0
4,1405611086010.0833,192534.0,454091.0,621511.0,668485.0,1936621.0
5,1437557381727.9905,191805.0,448536.0,604651.0,644167.0,1889159.0
6,1474775249557.1687,254877.0,587594.0,780364.0,820166.0,2443001.0
7,1512087972805.2883,189541.0,432764.0,565885.0,585124.0,1773314.0
8,1549323517179.6658,251531.0,564229.0,728196.0,743155.0,2287111.0
9,1586677145287.917,187953.0,414700.0,527231.0,528588.0,1658472.0
10,1623872005527.2473,248127.0,541894.0,675876.0,669053.0,2134950.0
11,1666469137772.4666,245326.0,530164.0,648047.0,628891.0,2052428.0
12,1709084132667.4048,242909.0,517701.0,623740.0,590878.0,1975228.0
13,1751685089028.8286,241153.0,505296.0,597130.0,556143.0,1899722.0
14,1794267139010.4185,239360.0,494711.0,572469.0,525389.0,1831929.0
15,1836882630514.5854,237561.0,482809.0,548590.0,493372.0,1762332.0
16,1879476504573.4995,234178.0,470069.0,527024.0,464974.0,1696245.0
17,1927336652076.4182,289297.0,573499.0,626917.0,542472.0,2032185.0
18,1975333322955.883,229383.0,446184.0,479686.0,405827.0,1561080.0
19,2023165403648.0273,283532.0,542676.0,573771.0,474525.0,1874504.0
20,2071142696202.2678,225178.0,422901.0,438096.0,356417.0,1442592.0
21,2118986041677.5652,279507.0,515267.0,522909.0,418752.0,1736435.0
22,2172239719484.0032,275493.0,500518.0,499426.0,388500.0,1663937.0
23,2225522289173.2246,273172.0,487192.0,474920.0,363398.0,1598682.0
24,2284026065443.262,325352.0,568710.0,543440.0,405209.0,1842711.0
25,2342678402889.0776,269449.0,460786.0,431106.0,315754.0,1477095.0
26,2395945829239.9126,269712.0,452367.0,413101.0,294931.0,1430111.0
27,2454466712256.038,323222.0,531058.0,474646.0,329691.0,1658617.0
28,2518405521184.351,323383.0,520387.0,453560.0,307655.0,1604985.0
29,2582292943689.5845,324780.0,510929.0,436052.0,287650.0,1559411.0
30,2646196678886.7812,325806.0,501929.0,419408.0,270394.0,1517537.0
31,2710053287544.309,326483.0,494227.0,403862.0,253740.0,1478312.0
32,2773978196625.4556,325993.0,483346.0,388726.0,239795.0,1437860.0
33,2843104853029.723,377737.0,551778.0,435611.0,261649.0,1626775.0
34,2912382040083.8804,320697.0,459279.0,356200.0,212109.0,1348285.0
35,2981554664906.2,370937.0,519668.0,396631.0,232055.0,1519291.0
36,3056054999351.3525,363560.0,500681.0,374343.0,217437.0,1456021.0
37,3130636703254.9863,358791.0,481498.0,355934.0,202748.0,1398971.0
38,3205154694765.113,352211.0,462905.0,335297.0,190112.0,1340525.0
39,3284899375508.117,391786.0,504634.0,359912.0,201016.0,1457348.0
40,3370078433598.3887,383763.0,481424.0,335132.0,185494.0,1385813.0
41,3455307597374.7266,373725.0,456303.0,312713.0,171305.0,1314046.0
42,3540499101556.5933,364212.0,435929.0,291615.0,156514.0,1248270.0
43,3625674357402.548,355569.0,414193.0,271862.0,144422.0,1186046.0
44,3710862017167.06,346496.0,394240.0,253488.0,132693.0,1126917.0
45,3801322781953.1895,380410.0,420927.0,264026.0,136246.0,1201609.0
46,3897189968276.629,370163.0,399109.0,245605.0,123721.0,1138598.0
47,3993034190353.4307,359496.0,376933.0,227082.0,112184.0,1075695.0
48,4088880970224.5776,350473.0,359224.0,210408.0,101872.0,1021977.0
49,4189948460753.2153,378126.0,376132.0,216922.0,102272.0,1073452.0
50,4296468668263.8564,367287.0,356459.0,200313.0,91927.0,1015986.0
51,4402983906548.341,356267.0,336143.0,183961.0,83342.0,959713.0
52,4509475090801.015,347118.0,317920.0,171773.0,74860.0,911671.0
53,4621204787459.007,369930.0,331807.0,173802.0,74066.0,949605.0
54,4733140102903.621,327027.0,284220.0,146826.0,60591.0,818664.0
55,4844904179183.646,349269.0,295884.0,148949.0,60418.0,854520.0
56,4967221873255.54,370757.0,304640.0,149496.0,58126.0,883019.0
57,5089808586687.19,327781.0,263650.0,126096.0,47576.0,765103.0
58,5212188011275.788,347768.0,271149.0,127648.0,46989.0,793554.0
59,5340065584808.656,336378.0,255808.0,117887.0,41874.0,751947.0
60,5473052286535.173,353316.0,260142.0,117291.0,41052.0,771801.0
61,5611535386534.889,341792.0,245011.0,107144.0,36311.0,730258.0
62,5750001710679.796,331498.0,230821.0,99066.0,32314.0,693699.0
63,5888408880088.815,320770.0,217078.0,90933.0,28724.0,657505.0
64,6032078427490.285,334777.0,220276.0,90640.0,27284.0,672977.0
65,6181210262775.644,322582.0,205871.0,83258.0,24696.0,636407.0
66,6335403792682.675,334513.0,207050.0,81222.0,23617.0,646402.0
67,6490170509997.737,302717.0,181716.0,69767.0,19469.0,573669.0
