,mass bin,1st Xoff,2nd Xoff,3rd Xoff,4th Xoff,full sample
0,1277835107956.226,3381.0,8498.0,13358.0,17140.0,42377.0
1,1309904706954.1453,3293.0,8609.0,13592.0,16995.0,42489.0
2,1341873195229.1274,3186.0,8335.0,13100.0,16770.0,41391.0
3,1374007816711.5903,3339.0,8669.0,12962.0,16348.0,41318.0
4,1405585496648.385,3282.0,8325.0,12737.0,15807.0,40151.0
5,1437476483516.4834,3185.0,8219.0,12332.0,15304.0,39040.0
6,1474905975637.7844,4351.0,10806.0,16010.0,19581.0,50748.0
7,1512094981527.0935,3248.0,8006.0,11615.0,14059.0,36928.0
8,1549393950504.1248,4364.0,10659.0,15200.0,18040.0,48263.0
9,1586690572495.333,3214.0,7705.0,11183.0,12947.0,35049.0
10,1623991151062.3396,4283.0,10165.0,14262.0,16544.0,45254.0
11,1666659975932.6113,4155.0,9955.0,13721.0,15586.0,43417.0
12,1709064734068.0403,4174.0,9862.0,13476.0,14518.0,42030.0
13,1751779531174.4805,4138.0,9775.0,12930.0,14052.0,40895.0
14,1794406305870.9834,4139.0,9425.0,12266.0,13117.0,38947.0
15,1836962157695.9395,4236.0,9306.0,11951.0,12598.0,38091.0
16,1879194831351.6138,4121.0,9050.0,11520.0,11920.0,36611.0
17,1927431011146.4968,5024.0,10979.0,13738.0,13871.0,43612.0
18,1975508636137.3818,4018.0,8612.0,10518.0,10825.0,33973.0
19,2022940314136.1257,4966.0,10668.0,12541.0,12333.0,40508.0
20,2071235750790.9468,4109.0,8324.0,9842.0,9308.0,31583.0
21,2119353968582.0586,4838.0,9960.0,11864.0,10853.0,37515.0
22,2172320460097.72,4912.0,9841.0,11375.0,10211.0,36339.0
23,2226028512988.3413,4889.0,9650.0,10666.0,9707.0,34912.0
24,2284189621342.5127,5810.0,11211.0,12119.0,10907.0,40047.0
25,2342984915147.706,4773.0,9103.0,9829.0,8565.0,32270.0
26,2395926595970.3076,4715.0,8744.0,9255.0,8055.0,30769.0
27,2454513180670.754,5546.0,10264.0,10823.0,9064.0,35697.0
28,2518154228591.649,5652.0,9981.0,10127.0,8321.0,34081.0
29,2581894532947.1396,5524.0,9755.0,9653.0,7804.0,32736.0
30,2646713940282.103,5459.0,9363.0,9169.0,7101.0,31092.0
31,2710622105643.994,5528.0,9124.0,8765.0,6879.0,30296.0
32,2774016337555.8867,5368.0,9055.0,8623.0,6573.0,29619.0
33,2843592605690.4033,6221.0,10182.0,9370.0,7155.0,32928.0
34,2912542918776.965,5331.0,8727.0,7818.0,5637.0,27513.0
35,2981688236213.092,6401.0,9780.0,8788.0,6203.0,31172.0
36,3056757418942.661,6261.0,9911.0,8539.0,5877.0,30588.0
37,3131030631060.2446,6291.0,9699.0,8047.0,5317.0,29354.0
38,3205847944775.651,6374.0,9534.0,7791.0,5218.0,28917.0
39,3285476066383.2124,7291.0,10698.0,8675.0,5625.0,32289.0
40,3369796384211.979,7246.0,10215.0,8264.0,5406.0,31131.0
41,3455075310859.3535,7238.0,10018.0,7860.0,5058.0,30174.0
42,3540544098027.8423,6896.0,9683.0,7608.0,4604.0,28791.0
43,3625096928028.0864,6836.0,9391.0,7188.0,4468.0,27883.0
44,3711431636256.6216,6796.0,9005.0,6752.0,4216.0,26769.0
45,3801780736196.319,7335.0,9677.0,7070.0,4515.0,28597.0
46,3897491401006.7114,7152.0,9105.0,6640.0,4260.0,27157.0
47,3993726931376.7803,6951.0,8947.0,6370.0,3811.0,26079.0
48,4089457128698.853,7063.0,8409.0,6062.0,3698.0,25232.0
49,4189785942827.1704,7626.0,8915.0,6318.0,3732.0,26591.0
50,4296387135720.233,7206.0,8509.0,5937.0,3475.0,25127.0
51,4403435135135.135,7178.0,8088.0,5637.0,3199.0,24102.0
52,4509515794812.346,6901.0,7749.0,5071.0,2941.0,22662.0
