  z   OmegaM  h
1.274 0.3071 0.678
1st line: Mass_Bins   2nd line: dn/dlnM 1st realization  3rd line: dn/dlnM 2nd realization ... 
Here follow 6 mass functions, one for each quartile of the parameter Xoff and then the full realization and the full sample (all realizations)
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198
1.278e+12,1.31e+12,1.342e+12,1.374e+12,1.406e+12,1.438e+12,1.475e+12,1.512e+12,1.55e+12,1.587e+12,1.624e+12,1.666e+12,1.709e+12,1.752e+12,1.794e+12,1.837e+12,1.879e+12,1.928e+12,1.975e+12,2.023e+12,2.071e+12,2.119e+12,2.172e+12,2.226e+12,2.284e+12,2.343e+12,2.396e+12,2.455e+12,2.519e+12,2.582e+12,2.647e+12,2.71e+12,2.774e+12,2.843e+12,2.913e+12,2.982e+12,3.056e+12,3.131e+12,3.205e+12,3.285e+12,3.37e+12,3.455e+12,3.54e+12,3.626e+12,3.711e+12,3.801e+12,3.897e+12,3.992e+12,4.089e+12,4.19e+12,4.297e+12,4.403e+12,4.51e+12,4.622e+12,4.734e+12,4.845e+12,4.968e+12,5.09e+12,5.212e+12,5.34e+12,5.474e+12,5.612e+12,5.75e+12,5.889e+12,6.032e+12,6.181e+12,6.335e+12,6.491e+12,6.649e+12,6.815e+12,6.981e+12,7.151e+12,7.327e+12,7.507e+12,7.693e+12,7.884e+12,8.077e+12,8.275e+12,8.482e+12,8.689e+12,8.903e+12,9.121e+12,9.343e+12,9.578e+12,9.812e+12,1.005e+13,1.03e+13,1.055e+13,1.081e+13,1.108e+13,1.135e+13,1.163e+13,1.192e+13,1.221e+13,1.251e+13,1.282e+13,1.314e+13,1.345e+13,1.378e+13,1.413e+13,1.447e+13,1.483e+13,1.519e+13,1.557e+13,1.595e+13,1.634e+13,1.674e+13,1.715e+13,1.757e+13,1.801e+13,1.845e+13,1.891e+13,1.937e+13,1.985e+13,2.034e+13,2.084e+13,2.135e+13,2.188e+13,2.241e+13,2.296e+13,2.354e+13,2.41e+13,2.47e+13,2.531e+13,2.593e+13,2.657e+13,2.722e+13,2.79e+13,2.857e+13,2.93e+13,3e+13,3.073e+13,3.15e+13,3.226e+13,3.307e+13,3.387e+13,3.473e+13,3.556e+13,3.644e+13,3.733e+13,3.826e+13,3.918e+13,4.016e+13,4.113e+13,4.216e+13,4.319e+13,4.424e+13,4.534e+13,4.649e+13,4.76e+13,4.878e+13,4.997e+13,5.117e+13,5.249e+13,5.378e+13,5.509e+13,5.638e+13,5.783e+13,5.92e+13,6.069e+13,6.217e+13,6.375e+13,6.527e+13,6.686e+13,6.853e+13,7.024e+13,7.196e+13,7.373e+13,7.555e+13,7.741e+13,7.922e+13,8.124e+13,8.312e+13,8.519e+13,8.752e+13,8.965e+13,9.172e+13,9.395e+13,9.639e+13,9.857e+13,1.011e+14,1.034e+14,1.062e+14,1.088e+14,1.116e+14,1.139e+14,1.168e+14,1.199e+14,1.226e+14,1.259e+14,1.288e+14,1.319e+14,1.353e+14,1.387e+14,1.417e+14,1.454e+14,1.484e+14,1.528e+14,1.568e+14
0.0002059,0.000206,0.0002085,0.0002049,0.0002022,0.0002062,0.000271,0.0001962,0.0002698,0.0002018,0.0002634,0.0002556,0.0002526,0.0002498,0.000249,0.0002456,0.0002496,0.000301,0.000239,0.000301,0.0002324,0.0002922,0.0002975,0.0002933,0.0003516,0.0002833,0.0002817,0.0003469,0.0003417,0.0003324,0.0003459,0.0003294,0.0003322,0.0003766,0.0003221,0.0003641,0.0003617,0.0003517,0.0003411,0.0003781,0.0003625,0.0003525,0.0003495,0.0003348,0.0003223,0.0003482,0.0003495,0.0003274,0.000322,0.0003484,0.0003403,0.0003229,0.0003152,0.0003288,0.000296,0.0003071,0.0003285,0.0002864,0.0003088,0.0002932,0.0003079,0.0002913,0.0002712,0.0002713,0.0002759,0.0002671,0.0002785,0.000254,0.0002687,0.0002464,0.0002516,0.0002408,0.0002446,0.0002373,0.000244,0.0002343,0.0002173,0.0002254,0.0002266,0.0002033,0.0002252,0.0001981,0.0002067,0.0002017,0.0001896,0.0001925,0.0001815,0.0001897,0.0001747,0.0001761,0.0001737,0.0001759,0.0001621,0.0001548,0.0001588,0.0001482,0.0001472,0.0001403,0.0001417,0.0001335,0.000135,0.0001324,0.0001218,0.0001186,0.0001197,0.0001107,0.0001114,0.000105,0.000101,0.0001029,9.885e-05,9.305e-05,8.708e-05,8.63e-05,8.243e-05,7.716e-05,7.778e-05,7.564e-05,6.766e-05,6.675e-05,6.589e-05,6.321e-05,6.103e-05,5.832e-05,5.552e-05,5.214e-05,5.087e-05,5.177e-05,4.725e-05,4.548e-05,4.173e-05,4.198e-05,3.811e-05,3.696e-05,3.63e-05,3.449e-05,3.379e-05,3.14e-05,3.066e-05,2.844e-05,2.729e-05,2.469e-05,2.617e-05,2.552e-05,2.14e-05,2.021e-05,2.082e-05,1.951e-05,1.79e-05,1.593e-05,1.753e-05,1.58e-05,1.453e-05,1.383e-05,1.428e-05,1.292e-05,1.325e-05,1.255e-05,1.091e-05,1.202e-05,1.082e-05,9.63e-06,8.272e-06,7.367e-06,7.696e-06,6.914e-06,8.354e-06,6.338e-06,5.967e-06,5.762e-06,5.144e-06,5.103e-06,4.486e-06,4.157e-06,4.486e-06,4.28e-06,3.869e-06,3.539e-06,2.84e-06,2.716e-06,2.346e-06,2.922e-06,2.346e-06,2.881e-06,2.017e-06,1.975e-06,2.181e-06,1.399e-06,9.466e-07,1.605e-06,1.276e-06,9.466e-07,1.317e-06,1.111e-06,1.07e-06,8.231e-07,1.193e-06,9.466e-07,1.029e-06
0.0002153,0.0002217,0.0002156,0.0002171,0.0002162,0.0002174,0.0002854,0.000206,0.0002713,0.0002066,0.0002721,0.0002726,0.0002656,0.0002631,0.0002645,0.0002523,0.0002553,0.0003157,0.0002499,0.0003073,0.0002458,0.0003037,0.0002994,0.0002961,0.0003503,0.000298,0.0002929,0.0003464,0.0003424,0.0003545,0.0003404,0.0003431,0.0003333,0.0003834,0.0003333,0.0003695,0.0003609,0.0003519,0.0003482,0.0003849,0.0003718,0.0003592,0.0003508,0.0003475,0.0003268,0.0003575,0.0003481,0.0003471,0.0003257,0.0003453,0.0003346,0.0003245,0.0003168,0.0003319,0.0002919,0.0003094,0.0003246,0.000291,0.0003006,0.0002927,0.0002967,0.0002974,0.000287,0.000269,0.0002799,0.0002666,0.0002762,0.0002529,0.0002754,0.0002439,0.0002522,0.000245,0.0002468,0.0002408,0.0002391,0.0002312,0.0002197,0.0002269,0.000228,0.0002094,0.0002154,0.0002008,0.0002109,0.0002067,0.0001972,0.0001905,0.0001852,0.0001896,0.0001752,0.0001707,0.0001729,0.0001678,0.000164,0.0001637,0.000152,0.0001491,0.0001476,0.0001401,0.0001438,0.0001375,0.0001323,0.0001289,0.0001247,0.0001202,0.0001189,0.0001125,0.0001077,0.000107,0.000102,9.98e-05,9.758e-05,9.375e-05,8.918e-05,8.301e-05,8.383e-05,8.177e-05,7.577e-05,7.219e-05,7.116e-05,6.807e-05,6.486e-05,6.255e-05,5.844e-05,5.795e-05,5.478e-05,5.33e-05,5.21e-05,4.967e-05,4.646e-05,4.309e-05,4.432e-05,4.029e-05,4.202e-05,3.7e-05,3.704e-05,3.762e-05,3.605e-05,3.132e-05,3.037e-05,3.07e-05,2.58e-05,2.572e-05,2.519e-05,2.387e-05,2.461e-05,2.177e-05,2.107e-05,2.045e-05,1.749e-05,1.7e-05,1.605e-05,1.523e-05,1.453e-05,1.428e-05,1.445e-05,1.309e-05,1.226e-05,1.152e-05,1.193e-05,1.049e-05,1.033e-05,1e-05,8.519e-06,8.601e-06,7.531e-06,7.819e-06,7.326e-06,5.967e-06,5.062e-06,6.544e-06,5.021e-06,5.35e-06,5.391e-06,4.774e-06,4.239e-06,4.609e-06,3.58e-06,3.251e-06,2.799e-06,2.84e-06,2.799e-06,2.51e-06,2.675e-06,2.469e-06,2.099e-06,1.852e-06,1.893e-06,1.605e-06,1.358e-06,1.276e-06,1.399e-06,1.44e-06,1.235e-06,7.408e-07,1.152e-06,5.35e-07,9.466e-07,9.466e-07,7.408e-07
0.0002175,0.0002204,0.0002223,0.0002211,0.0002223,0.0002147,0.0002861,0.0002148,0.0002812,0.0002122,0.0002717,0.0002732,0.0002688,0.000269,0.0002675,0.0002605,0.0002627,0.0003183,0.0002628,0.0003091,0.000244,0.0003016,0.0002966,0.0003011,0.0003568,0.0002909,0.0002948,0.0003581,0.0003515,0.0003474,0.0003495,0.0003412,0.0003372,0.0003904,0.0003264,0.0003758,0.0003646,0.0003511,0.000346,0.0003831,0.0003757,0.0003647,0.0003545,0.0003408,0.000328,0.0003615,0.000344,0.000337,0.0003257,0.0003482,0.0003338,0.0003274,0.0003127,0.0003321,0.0002948,0.0003073,0.000326,0.0002831,0.0003014,0.0002901,0.0003083,0.0002963,0.0002856,0.0002683,0.0002833,0.000272,0.0002767,0.0002545,0.0002786,0.0002506,0.0002514,0.0002468,0.0002509,0.000239,0.0002431,0.000236,0.000225,0.0002219,0.000232,0.0002071,0.0002178,0.0002,0.0002112,0.0002029,0.0001967,0.0001942,0.000186,0.0001911,0.0001728,0.0001741,0.0001729,0.0001731,0.0001619,0.0001652,0.0001637,0.0001487,0.0001477,0.000143,0.0001423,0.0001329,0.0001327,0.0001335,0.0001244,0.000121,0.0001184,0.0001133,0.0001069,0.0001071,9.803e-05,9.861e-05,9.725e-05,9.354e-05,8.7e-05,9.083e-05,8.309e-05,8.079e-05,7.725e-05,7.301e-05,6.963e-05,6.815e-05,6.605e-05,6.552e-05,5.98e-05,5.848e-05,5.437e-05,5.593e-05,5.099e-05,4.749e-05,4.815e-05,4.371e-05,4.177e-05,4.066e-05,3.971e-05,4.021e-05,3.572e-05,3.408e-05,3.198e-05,3.338e-05,3.033e-05,2.885e-05,2.473e-05,2.56e-05,2.494e-05,2.354e-05,2.305e-05,2.099e-05,2.037e-05,1.893e-05,1.786e-05,1.786e-05,1.601e-05,1.613e-05,1.605e-05,1.379e-05,1.42e-05,1.214e-05,1.214e-05,1.156e-05,1.033e-05,1.095e-05,9.26e-06,9.342e-06,8.272e-06,8.025e-06,7.408e-06,7.202e-06,6.502e-06,6.42e-06,6.626e-06,5.144e-06,6.832e-06,4.486e-06,4.445e-06,5.021e-06,4.198e-06,3.951e-06,3.951e-06,2.675e-06,2.716e-06,2.716e-06,3.169e-06,2.181e-06,2.716e-06,1.893e-06,2.058e-06,2.757e-06,1.276e-06,1.687e-06,1.482e-06,1.893e-06,1.276e-06,1.235e-06,1.317e-06,9.466e-07,1.235e-06,1.07e-06,9.877e-07,4.939e-07,6.173e-07
0.0002156,0.0002141,0.0002189,0.0002132,0.0002136,0.0002047,0.0002824,0.000207,0.0002706,0.0002026,0.0002711,0.000267,0.0002701,0.0002645,0.0002576,0.0002552,0.0002511,0.0003087,0.000245,0.0003045,0.0002413,0.0003037,0.0002926,0.0002889,0.00035,0.0002867,0.000285,0.0003514,0.0003429,0.0003437,0.0003371,0.000337,0.0003396,0.0003822,0.0003258,0.0003717,0.0003599,0.0003549,0.0003363,0.0003823,0.0003678,0.0003567,0.0003451,0.0003383,0.0003284,0.0003541,0.0003448,0.0003375,0.0003193,0.0003387,0.0003342,0.0003256,0.0003131,0.0003306,0.0002874,0.0003095,0.000323,0.0002775,0.0003113,0.0002883,0.0002988,0.0002973,0.0002821,0.0002684,0.0002844,0.0002674,0.0002827,0.0002518,0.0002724,0.0002422,0.0002585,0.0002426,0.0002475,0.0002365,0.0002427,0.0002349,0.0002266,0.0002277,0.0002287,0.0002105,0.0002218,0.0002016,0.0002074,0.0002019,0.0001902,0.0001936,0.0001833,0.0001928,0.0001764,0.000181,0.0001743,0.0001677,0.0001611,0.0001567,0.0001537,0.0001508,0.0001448,0.000141,0.0001422,0.0001332,0.0001341,0.0001301,0.000127,0.0001153,0.0001223,0.0001155,0.00011,0.0001041,0.0001027,9.762e-05,9.951e-05,9.326e-05,8.918e-05,8.338e-05,9.021e-05,8.009e-05,7.782e-05,7.161e-05,7.14e-05,6.828e-05,6.799e-05,6.42e-05,6.087e-05,5.622e-05,5.613e-05,5.556e-05,5.185e-05,4.914e-05,4.712e-05,4.535e-05,4.354e-05,4.292e-05,3.922e-05,3.753e-05,3.737e-05,3.58e-05,3.296e-05,3.037e-05,2.885e-05,2.638e-05,2.593e-05,2.502e-05,2.428e-05,2.329e-05,2.206e-05,2.004e-05,2.103e-05,2.045e-05,1.914e-05,1.782e-05,1.552e-05,1.605e-05,1.461e-05,1.486e-05,1.465e-05,1.243e-05,1.231e-05,1.148e-05,1.107e-05,1.066e-05,9.795e-06,9.795e-06,8.972e-06,8.478e-06,8.19e-06,7.449e-06,7.079e-06,6.132e-06,5.967e-06,5.967e-06,5.268e-06,4.692e-06,5.021e-06,4.362e-06,3.58e-06,4.527e-06,3.786e-06,2.881e-06,3.539e-06,3.21e-06,2.799e-06,3.045e-06,2.346e-06,2.181e-06,2.099e-06,1.975e-06,1.811e-06,1.811e-06,1.482e-06,1.482e-06,1.276e-06,1.152e-06,9.466e-07,7.408e-07,1.029e-06,7.819e-07,7.408e-07,8.231e-07,7.819e-07
0.0002076,0.000213,0.0002121,0.0002065,0.0002085,0.0002118,0.0002703,0.0002059,0.0002692,0.0002017,0.0002678,0.0002666,0.000265,0.0002538,0.0002528,0.0002496,0.0002442,0.0003091,0.0002455,0.0003016,0.000237,0.0002977,0.0002909,0.0002853,0.0003485,0.0002868,0.0002817,0.0003503,0.0003444,0.0003352,0.0003429,0.0003375,0.0003286,0.0003821,0.0003186,0.0003717,0.0003629,0.0003513,0.0003431,0.0003775,0.0003688,0.0003638,0.000341,0.0003362,0.0003224,0.0003612,0.0003489,0.0003316,0.0003258,0.0003405,0.0003363,0.0003239,0.0003111,0.0003326,0.0002947,0.0003076,0.0003244,0.0002841,0.0003064,0.0002846,0.0002984,0.0002907,0.0002806,0.0002697,0.0002831,0.0002704,0.0002775,0.0002474,0.0002769,0.000245,0.0002526,0.0002431,0.0002501,0.0002384,0.0002447,0.0002273,0.0002203,0.0002267,0.0002257,0.0002025,0.0002227,0.0002017,0.000214,0.0001991,0.0001847,0.0001968,0.0001819,0.0001931,0.0001772,0.0001768,0.0001778,0.0001733,0.0001617,0.0001576,0.0001589,0.0001498,0.0001517,0.0001427,0.0001415,0.0001374,0.000136,0.0001293,0.0001298,0.0001196,0.0001184,0.000116,0.000108,0.0001052,0.0001056,0.0001014,0.0001024,9.334e-05,8.824e-05,8.828e-05,8.478e-05,7.959e-05,7.754e-05,7.243e-05,7.177e-05,6.922e-05,6.247e-05,6.432e-05,6.132e-05,5.576e-05,5.515e-05,5.42e-05,5.013e-05,4.823e-05,4.338e-05,4.399e-05,4.177e-05,4.074e-05,3.852e-05,3.696e-05,3.552e-05,3.461e-05,3.247e-05,3.074e-05,2.901e-05,2.782e-05,2.72e-05,2.617e-05,2.457e-05,2.593e-05,2.202e-05,2.107e-05,1.98e-05,1.889e-05,1.922e-05,1.58e-05,1.659e-05,1.531e-05,1.407e-05,1.375e-05,1.358e-05,1.202e-05,1.247e-05,1.095e-05,1.062e-05,1.091e-05,9.959e-06,9.466e-06,8.807e-06,7.943e-06,8.272e-06,7.902e-06,6.585e-06,6.502e-06,6.297e-06,6.379e-06,5.35e-06,5.021e-06,5.185e-06,4.733e-06,3.827e-06,4.568e-06,3.21e-06,3.91e-06,3.992e-06,3.745e-06,3.334e-06,2.675e-06,2.552e-06,2.222e-06,2.099e-06,2.017e-06,2.017e-06,9.877e-07,1.399e-06,1.276e-06,1.111e-06,1.605e-06,1.029e-06,8.642e-07,1.111e-06,7.819e-07,9.877e-07,9.877e-07,4.115e-07
0.0002048,0.0001981,0.0002001,0.0001979,0.0001975,0.0002,0.0002636,0.0001968,0.000263,0.0001977,0.0002529,0.0002567,0.0002553,0.0002476,0.0002427,0.0002404,0.0002418,0.0002999,0.0002338,0.0002886,0.0002263,0.0002836,0.0002824,0.0002819,0.0003354,0.0002747,0.0002717,0.0003322,0.0003261,0.0003324,0.0003282,0.0003299,0.0003277,0.0003715,0.0003171,0.000362,0.0003574,0.0003451,0.0003382,0.000375,0.0003596,0.0003511,0.0003376,0.0003368,0.000328,0.0003496,0.0003404,0.0003266,0.0003242,0.000344,0.0003278,0.0003182,0.0003049,0.0003243,0.0002961,0.0003048,0.0003219,0.0002846,0.0002977,0.0002873,0.0002954,0.0002846,0.0002774,0.0002721,0.000278,0.0002732,0.0002743,0.0002492,0.0002785,0.0002445,0.0002529,0.0002438,0.0002383,0.0002399,0.0002402,0.0002273,0.0002244,0.0002274,0.0002308,0.0002117,0.0002156,0.000197,0.000207,0.0002049,0.0001922,0.0001903,0.0001808,0.0001912,0.0001771,0.0001758,0.0001721,0.0001711,0.0001558,0.0001607,0.0001601,0.0001463,0.0001481,0.0001391,0.0001463,0.0001364,0.0001342,0.0001333,0.0001293,0.0001137,0.0001193,0.000111,0.0001106,0.0001085,0.0001021,9.828e-05,9.819e-05,9.231e-05,8.877e-05,8.375e-05,8.103e-05,7.774e-05,7.63e-05,7.313e-05,7.144e-05,6.852e-05,6.486e-05,6.186e-05,5.86e-05,5.811e-05,5.634e-05,5.49e-05,5.144e-05,4.967e-05,4.441e-05,4.671e-05,4.272e-05,4.276e-05,3.967e-05,3.819e-05,3.445e-05,3.338e-05,3.395e-05,3.185e-05,2.889e-05,2.914e-05,2.687e-05,2.671e-05,2.585e-05,2.247e-05,2.049e-05,1.914e-05,1.963e-05,1.753e-05,1.947e-05,1.728e-05,1.584e-05,1.65e-05,1.49e-05,1.399e-05,1.309e-05,1.218e-05,1.251e-05,1.128e-05,1.058e-05,9.712e-06,8.56e-06,7.819e-06,8.354e-06,8.519e-06,7.326e-06,6.832e-06,6.132e-06,6.585e-06,6.791e-06,5.885e-06,4.897e-06,4.65e-06,4.65e-06,4.815e-06,3.21e-06,4.692e-06,3.827e-06,3.292e-06,2.963e-06,3.375e-06,3.251e-06,2.264e-06,2.593e-06,2.305e-06,2.14e-06,2.14e-06,2.428e-06,1.687e-06,1.482e-06,1.44e-06,1.358e-06,1.44e-06,1.193e-06,1.235e-06,8.642e-07,1.07e-06,8.231e-07,4.939e-07,4.527e-07
0.0002215,0.0002123,0.0002162,0.0002189,0.0002144,0.000211,0.0002818,0.0002104,0.0002749,0.0001997,0.0002773,0.0002671,0.000265,0.0002645,0.0002605,0.0002604,0.0002543,0.0003159,0.0002468,0.0003105,0.0002384,0.0003013,0.0002915,0.0002973,0.0003538,0.0002923,0.0002947,0.0003429,0.0003408,0.000347,0.0003378,0.0003448,0.0003357,0.0003814,0.0003296,0.0003682,0.0003585,0.0003564,0.0003395,0.0003843,0.0003634,0.0003548,0.0003495,0.0003367,0.0003298,0.0003645,0.0003476,0.0003266,0.0003246,0.0003476,0.0003402,0.0003264,0.0003147,0.0003329,0.0002927,0.0003102,0.0003334,0.0002878,0.0003041,0.000294,0.0003059,0.0002969,0.0002782,0.0002678,0.0002859,0.0002738,0.0002782,0.0002464,0.0002743,0.0002536,0.0002575,0.0002443,0.000255,0.0002384,0.0002444,0.0002352,0.0002235,0.0002223,0.0002277,0.0002057,0.0002173,0.0002003,0.0002066,0.0001993,0.0001919,0.0001959,0.000181,0.0001871,0.0001713,0.000177,0.0001682,0.0001697,0.000167,0.0001635,0.0001563,0.0001522,0.0001477,0.0001384,0.0001431,0.0001306,0.0001318,0.0001316,0.0001251,0.000116,0.0001192,0.0001128,0.0001121,0.0001022,0.0001014,0.0001005,9.782e-05,9.28e-05,8.877e-05,8.507e-05,8.737e-05,7.856e-05,7.84e-05,7.391e-05,6.992e-05,6.791e-05,6.441e-05,6.371e-05,6.046e-05,5.77e-05,5.836e-05,5.185e-05,5.087e-05,5.103e-05,4.585e-05,4.539e-05,4.404e-05,3.885e-05,4.124e-05,3.778e-05,3.506e-05,3.478e-05,3.593e-05,3.329e-05,2.93e-05,2.873e-05,2.761e-05,2.654e-05,2.371e-05,2.288e-05,2.173e-05,2.066e-05,2.078e-05,1.893e-05,1.852e-05,1.716e-05,1.687e-05,1.527e-05,1.589e-05,1.523e-05,1.247e-05,1.284e-05,1.333e-05,1.231e-05,1.185e-05,1.148e-05,9.054e-06,8.313e-06,9.466e-06,8.066e-06,9.095e-06,7.902e-06,6.749e-06,6.379e-06,6.009e-06,6.091e-06,4.939e-06,4.815e-06,4.404e-06,4.692e-06,3.745e-06,3.951e-06,4.321e-06,3.251e-06,2.51e-06,2.799e-06,2.222e-06,2.346e-06,2.222e-06,2.058e-06,1.893e-06,1.975e-06,2.222e-06,1.975e-06,1.029e-06,1.111e-06,1.276e-06,1.193e-06,9.877e-07,1.235e-06,5.35e-07,9.877e-07,9.054e-07,5.35e-07,5.35e-07
0.0002082,0.0002041,0.0002033,0.0002069,0.0002067,0.0002077,0.0002697,0.0001966,0.0002689,0.0001996,0.000258,0.0002532,0.0002535,0.0002534,0.0002515,0.0002467,0.0002416,0.0002999,0.0002364,0.0002923,0.0002364,0.000293,0.0002904,0.0002913,0.0003406,0.000288,0.0002819,0.0003355,0.0003412,0.0003389,0.0003364,0.0003355,0.0003299,0.0003818,0.0003145,0.0003641,0.0003557,0.0003396,0.0003311,0.000384,0.0003667,0.0003536,0.000343,0.0003345,0.0003252,0.0003562,0.0003409,0.0003369,0.0003214,0.0003453,0.0003296,0.0003254,0.0003061,0.0003299,0.0002853,0.000303,0.0003231,0.0002799,0.0003025,0.0002896,0.0003025,0.0002895,0.0002768,0.0002769,0.0002838,0.0002631,0.000274,0.0002428,0.0002729,0.000249,0.0002455,0.0002393,0.0002508,0.0002369,0.0002398,0.0002324,0.0002247,0.0002243,0.0002302,0.0002046,0.0002156,0.000197,0.0002117,0.0002043,0.0001925,0.0001886,0.0001825,0.000188,0.0001759,0.0001708,0.000178,0.0001642,0.0001589,0.0001625,0.0001583,0.0001539,0.0001507,0.0001471,0.0001463,0.0001368,0.0001316,0.0001284,0.0001219,0.0001214,0.0001177,0.0001098,0.0001113,0.000106,0.0001024,9.733e-05,9.424e-05,9.482e-05,8.375e-05,8.358e-05,8.4e-05,7.947e-05,7.692e-05,7.21e-05,7.309e-05,6.437e-05,6.441e-05,6.49e-05,5.873e-05,5.618e-05,5.461e-05,5.358e-05,5.169e-05,4.914e-05,4.556e-05,4.367e-05,4.284e-05,4.317e-05,3.943e-05,3.724e-05,3.786e-05,3.473e-05,3.12e-05,3.148e-05,3.157e-05,2.774e-05,2.79e-05,2.473e-05,2.358e-05,2.255e-05,2.292e-05,2.049e-05,2.054e-05,2.008e-05,1.737e-05,1.848e-05,1.696e-05,1.63e-05,1.552e-05,1.436e-05,1.383e-05,1.202e-05,1.259e-05,1.062e-05,1.177e-05,1.029e-05,9.466e-06,8.354e-06,9.054e-06,7.943e-06,6.667e-06,7.943e-06,6.914e-06,6.749e-06,6.42e-06,5.35e-06,5.309e-06,4.568e-06,5.556e-06,4.404e-06,3.91e-06,3.663e-06,3.827e-06,3.128e-06,3.087e-06,2.675e-06,2.552e-06,2.51e-06,2.428e-06,2.757e-06,2.181e-06,1.564e-06,2.181e-06,1.646e-06,1.482e-06,1.152e-06,1.317e-06,1.482e-06,1.07e-06,1.44e-06,1.07e-06,9.466e-07,6.996e-07,5.762e-07,5.35e-07
0.0001968,0.0002028,0.0001951,0.0001975,0.0002008,0.0001989,0.0002683,0.0001968,0.0002599,0.0001935,0.000255,0.0002458,0.0002494,0.0002441,0.0002465,0.0002422,0.0002385,0.0002979,0.0002406,0.000292,0.000234,0.0002852,0.0002845,0.0002813,0.0003331,0.0002815,0.0002808,0.0003391,0.0003313,0.0003341,0.0003266,0.0003302,0.0003271,0.0003662,0.0003117,0.0003563,0.00035,0.0003408,0.0003373,0.000375,0.000362,0.0003479,0.0003415,0.0003385,0.0003131,0.0003576,0.0003375,0.0003272,0.0003171,0.0003398,0.0003264,0.0003222,0.0003118,0.0003282,0.0002819,0.0003063,0.0003169,0.000287,0.0002937,0.0002861,0.0002961,0.00029,0.0002798,0.0002714,0.0002877,0.0002724,0.0002726,0.0002476,0.0002722,0.0002452,0.0002503,0.0002452,0.0002473,0.0002413,0.0002428,0.0002335,0.000225,0.0002132,0.0002302,0.0002036,0.0002154,0.0001957,0.0002084,0.0002007,0.0001891,0.0001921,0.0001856,0.0001853,0.0001705,0.0001734,0.0001728,0.0001688,0.0001632,0.0001604,0.0001597,0.0001439,0.00015,0.000141,0.0001416,0.0001335,0.0001348,0.0001233,0.0001255,0.0001149,0.0001219,0.0001139,0.0001075,0.000107,0.0001081,0.0001025,9.992e-05,9.165e-05,9.21e-05,8.445e-05,8.799e-05,7.963e-05,7.766e-05,7.391e-05,6.836e-05,7.066e-05,6.539e-05,6.371e-05,6.239e-05,5.795e-05,5.494e-05,5.35e-05,5.144e-05,4.963e-05,4.869e-05,4.716e-05,4.436e-05,3.934e-05,4.107e-05,3.926e-05,3.432e-05,3.457e-05,3.288e-05,3.202e-05,3.107e-05,2.807e-05,2.86e-05,2.395e-05,2.638e-05,2.194e-05,2.251e-05,2.033e-05,2.033e-05,1.951e-05,1.819e-05,1.597e-05,1.687e-05,1.584e-05,1.502e-05,1.379e-05,1.214e-05,1.235e-05,1.321e-05,1.074e-05,1.008e-05,1.082e-05,1.008e-05,7.819e-06,8.684e-06,8.025e-06,7.737e-06,7.037e-06,6.667e-06,7.202e-06,5.803e-06,6.585e-06,5.515e-06,4.774e-06,4.609e-06,3.91e-06,3.539e-06,3.91e-06,4.115e-06,3.251e-06,3.128e-06,3.087e-06,2.757e-06,2.963e-06,2.469e-06,2.428e-06,2.264e-06,1.687e-06,1.358e-06,1.687e-06,1.687e-06,9.466e-07,1.235e-06,1.358e-06,9.877e-07,7.408e-07,4.939e-07,1.029e-06,8.231e-07,7.819e-07,4.939e-07
