  z   OmegaM  h
2.001 0.3071 0.678
Mass_Bins   Counts   dn/dlnM     error
1.055e+12  1.439e+05  0.001319   3.477e-06
1.176e+12  1.449e+05  0.001329   3.49e-06
1.308e+12  1.225e+05  0.001123   3.209e-06
1.456e+12  1.247e+05  0.001143   3.238e-06
1.626e+12  1.091e+05  0.001   3.028e-06
1.812e+12  1.012e+05  0.0009279   2.917e-06
2.019e+12  9.353e+04  0.0008575   2.804e-06
2.249e+12  8.879e+04  0.000814   2.732e-06
2.503e+12  7.809e+04  0.0007159   2.562e-06
2.79e+12  6.818e+04  0.0006251   2.394e-06
3.107e+12  5.82e+04  0.0005336   2.212e-06
3.463e+12  4.893e+04  0.0004486   2.028e-06
3.856e+12  4.233e+04  0.0003881   1.886e-06
4.297e+12  3.544e+04  0.000325   1.726e-06
4.79e+12  3.024e+04  0.0002773   1.594e-06
5.337e+12  2.547e+04  0.0002335   1.463e-06
5.945e+12  2.169e+04  0.0001989   1.35e-06
6.623e+12  1.878e+04  0.0001722   1.256e-06
7.379e+12  1.537e+04  0.0001409   1.137e-06
8.218e+12  1.306e+04  0.0001197   1.048e-06
9.157e+12  1.146e+04  0.000105   9.814e-07
1.02e+13  9216  8.449e-05   8.801e-07
1.137e+13  7778  7.131e-05   8.086e-07
1.265e+13  6362  5.833e-05   7.313e-07
1.41e+13  5209  4.776e-05   6.617e-07
1.57e+13  4398  4.032e-05   6.08e-07
1.75e+13  3700  3.392e-05   5.577e-07
1.949e+13  2998  2.749e-05   5.02e-07
2.174e+13  2359  2.163e-05   4.453e-07
2.422e+13  1944  1.782e-05   4.042e-07
2.696e+13  1606  1.472e-05   3.674e-07
3.006e+13  1228  1.126e-05   3.213e-07
3.351e+13  944  8.655e-06   2.817e-07
3.727e+13  771  7.069e-06   2.546e-07
4.14e+13  579  5.308e-06   2.206e-07
4.628e+13  459  4.208e-06   1.964e-07
5.135e+13  326  2.989e-06   1.655e-07
5.764e+13  257  2.356e-06   1.47e-07
6.42e+13  163  1.494e-06   1.171e-07
7.146e+13  136  1.247e-06   1.069e-07
7.925e+13  101  9.26e-07   9.214e-08
8.776e+13  78  7.151e-07   8.097e-08
9.789e+13  45  4.126e-07   6.15e-08
1.072e+14  37  3.392e-07   5.577e-08
1.215e+14  30  2.75e-07   5.022e-08
1.371e+14  10  9.168e-08   2.899e-08
1.508e+14  8  7.335e-08   2.593e-08
1.756e+14  10  9.168e-08   2.899e-08
1.958e+14  2  1.834e-08   1.297e-08
