  z   OmegaM  h  Xoff_median
1.537 0.3071 0.678  0.09384
Mass_Bins   Counts   dn/dlnM     error   Mass_Bins1   Counts1   dn/dlnM1     error1   Mass_Bins2   Counts2   dn/dlnM2     error2
1.325e+12  7.581e+06  0.001746   6.341e-07   1.325e+12  2.425e+06  0.0005584   3.586e-07   1.325e+12  5.156e+06  0.001187   5.229e-07
1.462e+12  7.805e+06  0.001798   6.434e-07   1.463e+12  2.683e+06  0.0006179   3.772e-07   1.462e+12  5.122e+06  0.00118   5.212e-07
1.611e+12  6.695e+06  0.001542   5.959e-07   1.612e+12  2.502e+06  0.0005761   3.643e-07   1.611e+12  4.194e+06  0.0009659   4.717e-07
1.776e+12  6.865e+06  0.001581   6.034e-07   1.777e+12  2.795e+06  0.0006437   3.85e-07   1.775e+12  4.07e+06  0.0009373   4.646e-07
1.962e+12  6.093e+06  0.001403   5.685e-07   1.963e+12  2.711e+06  0.0006243   3.792e-07   1.961e+12  3.382e+06  0.0007789   4.236e-07
2.164e+12  5.701e+06  0.001313   5.499e-07   2.166e+12  2.759e+06  0.0006353   3.825e-07   2.163e+12  2.942e+06  0.0006776   3.95e-07
2.388e+12  5.369e+06  0.001236   5.336e-07   2.389e+12  2.819e+06  0.0006493   3.867e-07   2.386e+12  2.549e+06  0.0005871   3.677e-07
2.638e+12  5.265e+06  0.001213   5.285e-07   2.639e+12  2.982e+06  0.0006868   3.977e-07   2.636e+12  2.283e+06  0.0005258   3.48e-07
2.913e+12  4.757e+06  0.001096   5.023e-07   2.914e+12  2.867e+06  0.0006603   3.9e-07   2.911e+12  1.89e+06  0.0004352   3.166e-07
3.215e+12  4.242e+06  0.000977   4.743e-07   3.217e+12  2.714e+06  0.0006251   3.794e-07   3.212e+12  1.528e+06  0.0003518   2.846e-07
3.55e+12  3.672e+06  0.0008456   4.413e-07   3.551e+12  2.496e+06  0.0005747   3.638e-07   3.546e+12  1.176e+06  0.0002709   2.498e-07
3.917e+12  3.137e+06  0.0007225   4.079e-07   3.918e+12  2.258e+06  0.0005201   3.461e-07   3.912e+12  8.789e+05  0.0002024   2.159e-07
4.32e+12  2.731e+06  0.000629   3.806e-07   4.322e+12  2.067e+06  0.0004762   3.312e-07   4.315e+12  6.638e+05  0.0001529   1.876e-07
4.767e+12  2.357e+06  0.0005427   3.535e-07   4.769e+12  1.866e+06  0.0004297   3.146e-07   4.761e+12  4.91e+05  0.0001131   1.614e-07
5.261e+12  2.058e+06  0.000474   3.304e-07   5.262e+12  1.694e+06  0.0003901   2.997e-07   5.253e+12  3.647e+05  8.399e-05   1.391e-07
5.808e+12  1.781e+06  0.0004101   3.073e-07   5.81e+12  1.516e+06  0.0003491   2.836e-07   5.8e+12  2.645e+05  6.093e-05   1.185e-07
6.409e+12  1.527e+06  0.0003516   2.846e-07   6.41e+12  1.34e+06  0.0003085   2.666e-07   6.399e+12  1.869e+05  4.304e-05   9.956e-08
7.073e+12  1.345e+06  0.0003097   2.671e-07   7.074e+12  1.21e+06  0.0002787   2.533e-07   7.06e+12  1.347e+05  3.101e-05   8.452e-08
7.807e+12  1.15e+06  0.0002649   2.47e-07   7.808e+12  1.059e+06  0.0002439   2.37e-07   7.791e+12  9.12e+04  2.1e-05   6.955e-08
8.614e+12  1e+06  0.0002304   2.303e-07   8.615e+12  9.386e+05  0.0002162   2.231e-07   8.597e+12  6.169e+04  1.421e-05   5.72e-08
9.511e+12  8.716e+05  0.0002007   2.15e-07   9.513e+12  8.306e+05  0.0001913   2.099e-07   9.486e+12  4.092e+04  9.425e-06   4.659e-08
1.05e+13  7.426e+05  0.000171   1.985e-07   1.05e+13  7.164e+05  0.000165   1.949e-07   1.048e+13  2.623e+04  6.041e-06   3.73e-08
1.158e+13  6.374e+05  0.0001468   1.839e-07   1.158e+13  6.199e+05  0.0001428   1.813e-07   1.156e+13  1.751e+04  4.033e-06   3.048e-08
1.278e+13  5.513e+05  0.000127   1.71e-07   1.278e+13  5.394e+05  0.0001242   1.691e-07   1.277e+13  1.191e+04  2.744e-06   2.514e-08
1.411e+13  4.701e+05  0.0001083   1.579e-07   1.411e+13  4.614e+05  0.0001063   1.564e-07   1.41e+13  8723  2.009e-06   2.151e-08
1.558e+13  4.021e+05  9.261e-05   1.46e-07   1.558e+13  3.952e+05  9.101e-05   1.448e-07   1.557e+13  6965  1.604e-06   1.922e-08
1.719e+13  3.389e+05  7.805e-05   1.341e-07   1.719e+13  3.329e+05  7.666e-05   1.329e-07   1.719e+13  6051  1.394e-06   1.792e-08
1.897e+13  2.866e+05  6.6e-05   1.233e-07   1.897e+13  2.813e+05  6.478e-05   1.221e-07   1.897e+13  5313  1.224e-06   1.679e-08
2.094e+13  2.425e+05  5.584e-05   1.134e-07   2.094e+13  2.374e+05  5.467e-05   1.122e-07   2.096e+13  5079  1.17e-06   1.641e-08
2.311e+13  2.044e+05  4.707e-05   1.041e-07   2.311e+13  1.997e+05  4.599e-05   1.029e-07   2.314e+13  4678  1.077e-06   1.575e-08
2.551e+13  1.692e+05  3.896e-05   9.472e-08   2.551e+13  1.649e+05  3.798e-05   9.353e-08   2.551e+13  4243  9.772e-07   1.5e-08
2.815e+13  1.392e+05  3.207e-05   8.594e-08   2.815e+13  1.352e+05  3.115e-05   8.47e-08   2.818e+13  3995  9.201e-07   1.456e-08
3.107e+13  1.151e+05  2.651e-05   7.814e-08   3.107e+13  1.115e+05  2.568e-05   7.691e-08   3.111e+13  3603  8.298e-07   1.382e-08
3.429e+13  9.364e+04  2.157e-05   7.048e-08   3.429e+13  9.025e+04  2.079e-05   6.919e-08   3.433e+13  3393  7.814e-07   1.342e-08
3.784e+13  7.572e+04  1.744e-05   6.337e-08   3.784e+13  7.262e+04  1.673e-05   6.207e-08   3.786e+13  3096  7.13e-07   1.281e-08
4.176e+13  6.141e+04  1.414e-05   5.707e-08   4.176e+13  5.859e+04  1.349e-05   5.575e-08   4.177e+13  2821  6.497e-07   1.223e-08
4.609e+13  4.917e+04  1.132e-05   5.107e-08   4.609e+13  4.682e+04  1.078e-05   4.984e-08   4.612e+13  2343  5.396e-07   1.115e-08
5.087e+13  3.944e+04  9.083e-06   4.574e-08   5.087e+13  3.746e+04  8.627e-06   4.458e-08   5.087e+13  1979  4.558e-07   1.025e-08
5.617e+13  3.086e+04  7.108e-06   4.046e-08   5.617e+13  2.915e+04  6.714e-06   3.932e-08   5.613e+13  1708  3.934e-07   9.518e-09
6.197e+13  2.418e+04  5.568e-06   3.581e-08   6.198e+13  2.280e+04  5.252e-06   3.478e-08   6.192e+13  1372  3.16e-07   8.531e-09
6.839e+13  1.860e+04  4.285e-06   3.141e-08   6.839e+13  1.75e+04  4.03e-06   3.047e-08   6.84e+13  1105  2.545e-07   7.656e-09
7.549e+13  1.436e+04  3.307e-06   2.76e-08   7.549e+13  1.346e+04  3.1e-06   2.672e-08   7.549e+13  897  2.066e-07   6.898e-09
8.329e+13  1.08e+04  2.488e-06   2.394e-08   8.329e+13  1.012e+04  2.33e-06   2.317e-08   8.335e+13  685  1.578e-07   6.028e-09
9.194e+13  8082  1.861e-06   2.07e-08   9.194e+13  7510  1.73e-06   1.996e-08   9.198e+13  572  1.317e-07   5.508e-09
1.014e+14  5899  1.359e-06   1.769e-08   1.014e+14  5464  1.258e-06   1.702e-08   1.017e+14  435  1.002e-07   4.803e-09
1.119e+14  4428  1.02e-06   1.533e-08   1.119e+14  4103  9.45e-07   1.475e-08   1.121e+14  325  7.485e-08   4.152e-09
1.235e+14  3090  7.117e-07   1.28e-08   1.235e+14  2816  6.485e-07   1.222e-08   1.238e+14  274  6.31e-08   3.812e-09
1.363e+14  2295  5.286e-07   1.103e-08   1.363e+14  2071  4.77e-07   1.048e-08   1.368e+14  224  5.159e-08   3.447e-09
1.507e+14  1531  3.526e-07   9.011e-09   1.506e+14  1388  3.197e-07   8.58e-09   1.509e+14  143  3.293e-08   2.754e-09
