  z   OmegaM  h  Xoff_median
1.274 0.3071 0.678  0.0936
Mass_Bins   Counts   dn/dlnM     error     Mass_Bins1   Counts1   dn/dlnM1     error1   Mass_Bins2   Counts2   dn/dlnM2     error2
1.325e+12  8.04e+06  0.001852   6.53e-07   1.326e+12  2.445e+06  0.000563   3.601e-07   1.325e+12  5.595e+06  0.001289   5.448e-07
1.463e+12  8.345e+06  0.001922   6.653e-07   1.463e+12  2.724e+06  0.0006275   3.801e-07   1.462e+12  5.62e+06  0.001294   5.46e-07
1.612e+12  7.207e+06  0.00166   6.183e-07   1.613e+12  2.55e+06  0.0005872   3.677e-07   1.611e+12  4.657e+06  0.001073   4.97e-07
1.776e+12  7.443e+06  0.001714   6.283e-07   1.777e+12  2.869e+06  0.0006608   3.901e-07   1.775e+12  4.573e+06  0.001053   4.925e-07
1.962e+12  6.633e+06  0.001528   5.932e-07   1.963e+12  2.796e+06  0.000644   3.851e-07   1.961e+12  3.837e+06  0.0008837   4.511e-07
2.164e+12  6.239e+06  0.001437   5.753e-07   2.166e+12  2.861e+06  0.0006589   3.896e-07   2.163e+12  3.378e+06  0.0007779   4.233e-07
2.388e+12  5.911e+06  0.001361   5.599e-07   2.39e+12  2.952e+06  0.0006799   3.957e-07   2.386e+12  2.959e+06  0.0006815   3.962e-07
2.638e+12  5.877e+06  0.001353   5.583e-07   2.64e+12  3.167e+06  0.0007294   4.099e-07   2.636e+12  2.71e+06  0.000624   3.791e-07
2.913e+12  5.405e+06  0.001245   5.354e-07   2.915e+12  3.102e+06  0.0007144   4.056e-07   2.912e+12  2.303e+06  0.0005305   3.495e-07
3.215e+12  4.886e+06  0.001125   5.091e-07   3.217e+12  2.979e+06  0.0006861   3.975e-07   3.213e+12  1.907e+06  0.0004391   3.18e-07
3.55e+12  4.277e+06  0.0009849   4.763e-07   3.552e+12  2.779e+06  0.0006399   3.839e-07   3.546e+12  1.498e+06  0.000345   2.819e-07
3.917e+12  3.683e+06  0.0008483   4.42e-07   3.919e+12  2.541e+06  0.0005852   3.671e-07   3.913e+12  1.143e+06  0.0002632   2.462e-07
4.321e+12  3.236e+06  0.0007452   4.143e-07   4.323e+12  2.357e+06  0.0005428   3.536e-07   4.316e+12  8.787e+05  0.0002024   2.159e-07
4.767e+12  2.814e+06  0.0006481   3.863e-07   4.769e+12  2.151e+06  0.0004955   3.378e-07   4.761e+12  6.625e+05  0.0001526   1.875e-07
5.261e+12  2.485e+06  0.0005723   3.631e-07   5.263e+12  1.984e+06  0.0004568   3.244e-07   5.254e+12  5.014e+05  0.0001155   1.631e-07
