  z   OmegaM  h
0.9973 0.3071 0.678
Mass_Bins    dn/dlnM ... 
Here follow 4 mass functions, one for each quartile of the parameter Xoff
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48
1.326e+12,1.464e+12,1.613e+12,1.778e+12,1.964e+12,2.166e+12,2.391e+12,2.641e+12,2.917e+12,3.219e+12,3.554e+12,3.92e+12,4.325e+12,4.772e+12,5.265e+12,5.811e+12,6.416e+12,7.08e+12,7.812e+12,8.621e+12,9.515e+12,1.051e+13,1.159e+13,1.279e+13,1.412e+13,1.558e+13,1.721e+13,1.898e+13,2.094e+13,2.312e+13,2.551e+13,2.817e+13,3.107e+13,3.431e+13,3.787e+13,4.177e+13,4.613e+13,5.087e+13,5.617e+13,6.202e+13,6.843e+13,7.554e+13,8.327e+13,9.203e+13,1.015e+14,1.12e+14,1.237e+14,1.37e+14,1.506e+14
0.0001618,0.0001874,0.0001865,0.0002162,0.0002206,0.0002373,0.0002574,0.0002897,0.0003089,0.0003144,0.0003152,0.0003056,0.000303,0.0002996,0.0002919,0.0002801,0.0002706,0.000259,0.0002457,0.0002367,0.0002261,0.0002101,0.0001971,0.0001861,0.0001681,0.0001568,0.0001412,0.0001253,0.0001087,9.689e-05,8.425e-05,7.045e-05,5.959e-05,5.163e-05,4.569e-05,3.657e-05,3.191e-05,2.617e-05,2.12e-05,1.825e-05,1.462e-05,1.238e-05,1.012e-05,7.631e-06,6.455e-06,4.54e-06,3.689e-06,2.675e-06,1.946e-06
0.0001711,0.0001951,0.0001894,0.000222,0.0002244,0.0002417,0.00026,0.0003014,0.0003119,0.000317,0.000319,0.0003107,0.0003064,0.0002994,0.0002904,0.0002804,0.000265,0.000259,0.0002459,0.0002358,0.0002228,0.0002113,0.0001978,0.0001847,0.0001694,0.0001544,0.0001407,0.0001248,0.0001093,9.48e-05,8.49e-05,7.028e-05,6.212e-05,5.094e-05,4.41e-05,3.847e-05,3.156e-05,2.673e-05,2.225e-05,1.848e-05,1.441e-05,1.201e-05,9.759e-06,7.762e-06,5.817e-06,4.905e-06,3.77e-06,2.989e-06,1.824e-06
0.0001712,0.0001972,0.0001888,0.0002226,0.0002295,0.0002454,0.0002601,0.0003006,0.0003158,0.0003203,0.000321,0.0003129,0.0003063,0.0002952,0.0002927,0.000282,0.0002673,0.0002601,0.0002459,0.0002379,0.0002292,0.000209,0.0001953,0.0001868,0.00017,0.0001556,0.0001407,0.0001261,0.0001111,9.521e-05,8.416e-05,7.225e-05,5.944e-05,5.293e-05,4.401e-05,3.693e-05,3.134e-05,2.552e-05,2.182e-05,1.808e-05,1.43e-05,1.199e-05,9.617e-06,7.479e-06,5.959e-06,4.408e-06,3.526e-06,2.746e-06,1.936e-06
0.0001654,0.0001881,0.000188,0.0002199,0.0002232,0.0002419,0.0002609,0.0002983,0.0003085,0.0003158,0.0003163,0.000307,0.000306,0.000297,0.0002893,0.0002791,0.0002699,0.0002608,0.0002498,0.0002375,0.0002272,0.0002104,0.0001994,0.0001841,0.0001707,0.0001564,0.00014,0.0001243,0.0001092,9.657e-05,8.515e-05,7.239e-05,6.126e-05,5.305e-05,4.394e-05,3.801e-05,3.059e-05,2.582e-05,2.225e-05,1.754e-05,1.483e-05,1.218e-05,9.596e-06,7.185e-06,6.06e-06,5.006e-06,3.334e-06,2.483e-06,2.067e-06
0.0001661,0.0001924,0.0001868,0.0002164,0.000223,0.000239,0.0002593,0.0002966,0.0003098,0.0003183,0.0003142,0.0003116,0.0003048,0.0002975,0.0002923,0.0002805,0.000268,0.0002605,0.0002467,0.0002378,0.000225,0.0002088,0.0001965,0.0001853,0.0001697,0.0001564,0.00014,0.0001276,0.0001099,9.649e-05,8.307e-05,7.256e-05,6.236e-05,5.103e-05,4.395e-05,3.648e-05,3.015e-05,2.507e-05,2.075e-05,1.833e-05,1.424e-05,1.127e-05,9.384e-06,7.641e-06,5.837e-06,4.661e-06,3.567e-06,3.141e-06,2.229e-06
0.0001588,0.0001846,0.0001801,0.0002121,0.0002179,0.0002301,0.000252,0.0002875,0.0003059,0.0003148,0.0003106,0.0003096,0.000302,0.0002989,0.0002926,0.0002807,0.0002693,0.000259,0.0002465,0.0002329,0.0002259,0.0002084,0.0001976,0.0001855,0.0001677,0.0001568,0.0001404,0.0001262,0.0001085,9.643e-05,8.471e-05,7.165e-05,6.116e-05,5.189e-05,4.298e-05,3.731e-05,3.087e-05,2.621e-05,2.153e-05,1.834e-05,1.447e-05,1.163e-05,9.617e-06,7.337e-06,5.584e-06,4.418e-06,3.638e-06,2.766e-06,2.199e-06
0.0001704,0.0001936,0.0001887,0.000224,0.0002244,0.0002424,0.0002619,0.0002992,0.0003107,0.0003144,0.0003155,0.0003091,0.0003048,0.0002977,0.000293,0.0002824,0.0002685,0.0002583,0.0002445,0.000236,0.000227,0.0002094,0.0001975,0.0001855,0.0001693,0.0001544,0.0001392,0.0001243,0.0001095,9.78e-05,8.301e-05,7.167e-05,6.124e-05,5.265e-05,4.491e-05,3.763e-05,3.13e-05,2.578e-05,2.17e-05,1.817e-05,1.484e-05,1.202e-05,1.015e-05,7.742e-06,6.019e-06,4.661e-06,3.364e-06,2.736e-06,2.027e-06
0.0001625,0.0001889,0.0001829,0.0002133,0.0002218,0.0002347,0.0002577,0.0002929,0.0003056,0.0003188,0.0003168,0.000309,0.0003052,0.0002967,0.000291,0.0002759,0.0002663,0.0002604,0.0002447,0.0002369,0.0002257,0.0002094,0.0001991,0.0001848,0.0001694,0.0001569,0.0001402,0.0001242,0.0001103,9.531e-05,8.11e-05,7.251e-05,6.077e-05,5.276e-05,4.38e-05,3.662e-05,3.161e-05,2.63e-05,2.17e-05,1.775e-05,1.474e-05,1.124e-05,9.738e-06,7.235e-06,6.07e-06,4.428e-06,3.709e-06,2.736e-06,1.925e-06
0.0001593,0.0001843,0.0001782,0.0002099,0.0002138,0.0002317,0.0002534,0.0002873,0.0003045,0.0003079,0.0003128,0.0003058,0.0002993,0.0002984,0.0002906,0.0002813,0.0002688,0.0002606,0.0002468,0.0002312,0.000224,0.0002112,0.0001953,0.0001861,0.0001686,0.0001562,0.0001384,0.0001227,0.0001105,9.794e-05,8.249e-05,7.192e-05,6.15e-05,5.206e-05,4.468e-05,3.806e-05,3.099e-05,2.633e-05,2.119e-05,1.805e-05,1.458e-05,1.222e-05,9.049e-06,7.752e-06,5.898e-06,4.793e-06,3.476e-06,2.858e-06,2.047e-06
