#1st col: mass bin     2nd col: merged_bins 3-47 col: halos per bin in each realization   48-92 col: dndlnM per bin in each realization
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,1.278e+12,1,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,7.752e+05,0.0007301,0.0007225,0.0007248,0.0007373,0.0007136,0.0007297,0.0007318,0.0007165,0.0007103,0.000728,0.0007219,0.0007289,0.0007299,0.0007267,0.0007256,0.000726,0.00072,0.000723,0.0007331,0.0007229,0.0007305,0.0007248,0.0007194,0.0007296,0.0007241,0.0007255,0.0007315,0.0007132,0.0007204,0.0007324,0.000737,0.0007299,0.0007237,0.0007263,0.0007298,0.0007291,0.000724,0.0007299,0.0007303,0.0007146,0.0007186,0.0007178,0.0007168
1,1.31e+12,1,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,7.5958e+05,0.0007076,0.0007196,0.0007139,0.0007003,0.0007137,0.0007079,0.0007107,0.0007076,0.0007101,0.0007046,0.0007031,0.0007089,0.000708,0.0007023,0.000705,0.0007131,0.00071,0.0007169,0.0007151,0.0007267,0.0007108,0.0007091,0.0007124,0.0007058,0.0007096,0.0006942,0.0007153,0.0007032,0.0007137,0.0007125,0.0007189,0.0007182,0.0007063,0.000721,0.000709,0.0007122,0.0007133,0.0007132,0.0007074,0.0007056,0.000711,0.0007128,0.0007055
2,1.342e+12,1,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,7.4014e+05,0.000686,0.0006966,0.0006938,0.0006971,0.0006997,0.0006984,0.0006927,0.0006912,0.00068,0.0006817,0.000683,0.0006944,0.0006913,0.0006949,0.0006939,0.0006886,0.0006959,0.0006969,0.0006953,0.0006894,0.0006976,0.0006937,0.0006869,0.0006919,0.000693,0.0006948,0.0006968,0.0006856,0.0006981,0.0006971,0.0006897,0.0006859,0.0006891,0.0006963,0.0007019,0.00069,0.0006949,0.0006905,0.0006905,0.0006856,0.0006942,0.0006878,0.0006953
3,1.374e+12,1,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,7.1872e+05,0.0006725,0.0006707,0.0006625,0.0006757,0.000668,0.000673,0.0006729,0.0006788,0.0006625,0.0006703,0.0006672,0.0006694,0.000672,0.000675,0.0006673,0.0006649,0.0006829,0.0006806,0.0006724,0.0006789,0.0006621,0.0006695,0.0006838,0.0006795,0.0006644,0.0006686,0.0006707,0.0006672,0.0006679,0.000679,0.000668,0.0006806,0.0006699,0.0006704,0.0006782,0.000678,0.0006756,0.0006742,0.0006721,0.0006748,0.0006743,0.0006671,0.0006707
4,1.406e+12,1,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,6.9472e+05,0.0006418,0.0006531,0.000661,0.0006342,0.0006559,0.0006496,0.0006426,0.0006465,0.0006514,0.0006613,0.0006463,0.0006527,0.000649,0.0006509,0.0006519,0.000652,0.0006495,0.0006509,0.0006465,0.0006525,0.0006447,0.0006473,0.0006493,0.0006483,0.0006544,0.0006432,0.0006541,0.0006435,0.0006572,0.0006518,0.0006469,0.000659,0.0006498,0.0006495,0.0006526,0.0006479,0.000639,0.0006477,0.0006463,0.0006552,0.0006575,0.0006518,0.0006386
5,1.438e+12,1,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,6.7201e+05,0.0006357,0.0006271,0.0006255,0.0006265,0.0006223,0.000631,0.0006289,0.0006263,0.0006304,0.0006165,0.0006247,0.0006268,0.0006273,0.0006248,0.0006251,0.0006247,0.0006307,0.0006286,0.0006284,0.0006388,0.0006282,0.0006312,0.0006237,0.0006265,0.0006317,0.000623,0.000626,0.0006215,0.0006353,0.0006374,0.0006339,0.0006332,0.0006241,0.0006238,0.0006267,0.0006251,0.0006476,0.0006238,0.0006284,0.0006311,0.0006244,0.0006385,0.0006267
6,1.475e+12,1,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,8.5679e+05,0.0008155,0.0007949,0.0007953,0.0007925,0.0008069,0.0008065,0.0007976,0.0007953,0.0008065,0.0008119,0.0008012,0.0008103,0.0008033,0.0008049,0.0007947,0.0007972,0.0007985,0.0008046,0.0008081,0.0008079,0.0008007,0.0007961,0.0007919,0.0007895,0.0007996,0.0007954,0.0008018,0.0007982,0.000807,0.0007934,0.0007983,0.0008149,0.0007968,0.0008004,0.0008029,0.0007974,0.0008004,0.0007958,0.0008077,0.0007986,0.0008124,0.0007965,0.0008031
7,1.512e+12,1,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,6.131e+05,0.0005717,0.0005706,0.0005702,0.0005726,0.0005775,0.0005725,0.000573,0.0005795,0.0005728,0.0005772,0.0005708,0.0005746,0.0005777,0.0005832,0.0005694,0.0005794,0.0005761,0.0005733,0.0005672,0.0005693,0.0005776,0.0005703,0.0005717,0.0005669,0.0005689,0.0005702,0.000581,0.0005709,0.0005707,0.0005739,0.0005757,0.000582,0.0005797,0.0005675,0.0005705,0.0005756,0.0005646,0.0005716,0.0005758,0.0005652,0.0005738,0.0005676,0.0005792
8,1.549e+12,1,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,7.8058e+05,0.0007275,0.000713,0.0007291,0.0007281,0.0007312,0.0007225,0.000727,0.0007281,0.0007314,0.0007282,0.0007394,0.0007233,0.0007319,0.00073,0.0007249,0.0007193,0.0007323,0.0007339,0.0007349,0.0007379,0.0007484,0.000737,0.0007234,0.0007373,0.000728,0.0007257,0.0007246,0.0007155,0.00073,0.0007381,0.0007314,0.0007345,0.0007331,0.0007251,0.0007274,0.0007293,0.0007337,0.0007305,0.0007321,0.000726,0.0007381,0.0007347,0.0007364
9,1.587e+12,1,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,5.5653e+05,0.0005097,0.0005182,0.0005119,0.0005095,0.0005168,0.0005244,0.000522,0.0005218,0.0005235,0.0005169,0.0005176,0.0005341,0.0005161,0.000524,0.0005205,0.0005209,0.0005249,0.0005214,0.0005218,0.0005206,0.000523,0.0005104,0.0005256,0.0005165,0.0005111,0.0005244,0.0005252,0.0005204,0.0005283,0.0005216,0.000523,0.0005156,0.0005212,0.0005203,0.0005334,0.0005152,0.0005223,0.0005277,0.0005225,0.0005269,0.0005223,0.0005117,0.0005223
